[2026-09-11 23:53:58] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-10
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202609100000+TO+202609102359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[ACM] 2026-9-10 | Research on Intelligent Logistics Information Sensing Method Based on RFID Anti-interference Coding
[IEEE] 2026-9-11 | Performance Comparison of Planar, Cylindrical, and Spherical Fabry-PéRot Cavity Antennas for mmWave Applications
[IEEE] 2026-9-11 | ADC-Free Compute-in-Memory for Error-Resilient and Energy-Efficient AI Accelerators
[IEEE] 2026-9-11 | Distributed Safety-Aware Motion Planning for Dual-Arm Systems Via Gaussian Belief Propagation With Application to Catenary Dropper Assembly_supp1-3732969.mp4
[IEEE] 2026-9-11 | Additively Manufactured Multilayer Fan-Out Interposer
[IEEE] 2026-9-11 | An Improved YOLOv8 Object Detection Method With Dual Attention and Adaptive Weighting
[IEEE] 2026-9-11 | Surface Integral Equation Simulation of Acoustic Metasurfaces with Willis Impedance Boundary Conditions
[IEEE] 2026-9-11 | Orbital-Aware S-Band Payload-Data Downlink and Antenna Integration Assessment for USMSpace-1
[IEEE] 2026-9-11 | Spatial-Only Representations for Multi-Channel Speaker Diarization
[IEEE] 2026-9-11 | Localization of Distributed Phased Array Antennas in Partially Connected Networks Using Matrix Completion
[IEEE] 2026-9-11 | Physics-Anchored Unsupervised Domain Adaptation for Radio Environment Mapping in Indoor Industrial Environments
[IEEE] 2026-9-11 | Intrinsic Cylindrical Lensing: Turning Curvature Into Gain in Flexible Antipodal Vivaldi Antennas
[IEEE] 2026-9-11 | Efficient Wideband Beamforming for Full-Duplex Fixed-Subarray Massive MIMO Systems
[IEEE] 2026-9-11 | Deep Learning Surrogate Modeling of Body-Area Networks via Equivalent Electromagnetic Sources
[IEEE] 2026-9-11 | A GNSS Record-and-Replay Channel Emulator Using an AMD $4 \times 2$ RFSoC
[IEEE] 2026-9-11 | Spatiotemporal Prediction of Strong Earthquake Risk in the Sichuan-Yunnan Region Using a GAN-RNN Fusion Model
[IEEE] 2026-9-11 | ISSET 2026 TOC
[IEEE] 2026-9-11 | Table of Contents
[IEEE] 2026-9-11 | HVDC-Enabled Smart Grid Architecture for Long-Distance Renewable Power Transfer and Wide-Area Grid Interconnection
[IEEE] 2026-9-11 | Integrating Live Sensor Data and Machine Learning in Digital Twin Simulations
[IEEE] 2026-9-11 | A 500-MHz BW Beamforming Chiplet Pair with Analog Approximate-DFT and Dual 10-Gb/s Links
[IEEE] 2026-9-11 | A Study on the Prediction of Deformation in Steep Slopes Using an ARIMA-LSTM Hybrid Model with Residual Correction
[IEEE] 2026-9-11 | Source-Free Few-Shot Soil Recognition via Vision-Language Token Recalibration
[IEEE] 2026-9-11 | Compensation of Platform Magnetic Interference via Coil-Calibrated Physical Model and Attention Network
[IEEE] 2026-9-11 | Multi-Bit Based RCS Reduction for Circularly Polarized Phased Array
[IEEE] 2026-9-11 | Motion-Aware Kalman Filtering Based Adaptive Beam Tracking for Mmwave Communications in High-Speed Moving Scenarios
[IEEE] 2026-9-11 | Design of a Circularly Polarized Crossed-Dipole Antenna with Polarization Agility
[IEEE] 2026-9-11 | A Compact SDR Approach for RF Near-Field Wearable Vital Sign Sensing in Non-Contact Healthcare Applications
[IEEE] 2026-9-11 | Experimental Verification of an X-band Data Downlink Phased Array Antenna Using Infrared Thermography
[IEEE] 2026-9-11 | Transient Modeling of Electromagnetic Interactions with Homogeneous Penetrable Bodies of Revolution Based on Temporal-Domain Electric Field Integral Equations
[IEEE] 2026-9-11 | Chirp Signal Controlled Reconfigurable Leaky Wave Antennas Array by Adding Varactors
[IEEE] 2026-9-11 | The Effect of Oxygen Exchange Layer on the Switching Properties of Tantalum Oxide RRAMs for In-Memory Computing
[IEEE] 2026-9-11 | Genetic Algorithm-Based Optimization of Sparse Phased Array Antennas for Direct-To-Vehicle Satellite Communication
[IEEE] 2026-9-11 | Efficient Reconstruction of Homogeneous Penetrable Objects Based on Augmented Surface Integral Equations
[IEEE] 2026-9-10 | Before the First Token: Characterizing Affective Modality Conflict through Pre-generation State Patterns
[IEEE] 2026-9-11 | Impact of Feed Location on Reflector Integrated Wideband Metasurface Antenna
[IEEE] 2026-9-11 | High-Gain Beamforming-Capable Bi-Directional D-Band Transmitarray for FMCW Radar via Integrated Packaging-Aware Multi-Channel AoP
[IEEE] 2026-9-11 | A Time-domain Computing-in-memory with twin Bit-cell Array for Efficient Multi-bit Analog MAC Operation
[IEEE] 2026-9-11 | Recent AI-Driven Design Advancements in EM Components and Systems of Smart EM Environments
[IEEE] 2026-9-11 | Simple Frequency- and Pattern-Reconfigurable Liquid-Metal Antenna with Zero Static Power
[IEEE] 2026-9-11 | 2026 International Conference on Unmanned System and Intelligent Technology (USIT)
[IEEE] 2026-9-11 | Investigation of the Effects of Photovoltaic Panel Cooling Using Hydroelectric Power Plant Discharge Water on Energy Production and System Efficiency
[IEEE] 2026-9-11 | Improved Active Power Tracking Scheme of Hybrid-Synchronization-Controlled Energy Storage Converters
[IEEE] 2026-9-11 | Multi-Source Feature Integration for Short-Term Load Forecasting in Off-Grid Residential Microgrids Using Stacked LSTM Networks
[IEEE] 2026-9-11 | Resilient Dynamic Event-Triggered Containment Control for Second-Order Nonlinear Multi-Agent Systems Under Hybrid Cyber-Attacks
[IEEE] 2026-9-11 | Sstdr-Based Microwave Imaging for Inflammatory Veterinary Disease Detection: a Staged Path Toward Breast Cancer Screening
[IEEE] 2026-9-10 | Deep Tactile Learning for Tumor Detection and Depth Classification in Robot-Assisted Surgery
[IEEE] 2026-9-11 | A Synchronized Phase-Shifted Time-Multiplexed Uplink Wireless Power and Data Transfer System for Implantable Voltammetry
[IEEE] 2026-9-11 | Terramechanics-Aware Adaptive Quadrupedal Locomotion Via Foot-Terrain Interaction Model_supp1-3732903.mp4
[IEEE] 2026-9-11 | Compact Dual-Port Self-Duplexing Antenna for Head-Implantable Wireless Medical Devices
[IEEE] 2026-9-10 | A Low-Complexity Joint Fractional Delay and Doppler Frequency Estimator for AFDM-Enabled Vehicular LEO-ICAN Systems
[IEEE] 2026-9-11 | Gradient-Based PSLL Minimization for Uniformly Excited Sparse Linear Arrays
[IEEE] 2026-9-11 | A Hardware-Efficient TinyML-Based Fault Detection Framework for Reliable AI Accelerators
[IEEE] 2026-9-11 | Computing Without Learning: An Information-Theoretically Secure Multiparty Evaluation of Deterministic Pushdown Automata
[IEEE] 2026-9-11 | Scaling LLMs Via Collaboration: Efficient LLM Inference Across Resource-Constrained Devices
[IEEE] 2026-9-11 | Investigating OAM Scattered Fields Using a Scaled Terahertz Time-Domain Spectroscopy Radar System
[IEEE] 2026-9-11 | A Practical ULF/VLF Transmitter Based on Earth's Magnetic Field Modulation
[ACM] 2026-9-11 | Json-SysML: A Bidirectional JSON-Based Representation for SysML Models Enabling LLM-Augmented Model-Based Systems Engineering
[ACM] 2026-9-11 | Not All Differences Matter: Variability Exploration of Domain Models via Agentic AI
[IEEE] 2026-9-10 | A Language Model-Based Method for Malicious Threat Analysis in Industrial Control Networks
[IEEE] 2026-9-10 | CMT-Net: Cross-Modal Multi-Task Learning for Automated Inspection of Integrated Circuits in Printed Circuit Boards
[IEEE] 2026-9-10 | Physical Reservoir Computing with Electric Double Layer Transistors for Anomaly Detection using Power Analysis
[IEEE] 2026-9-10 | Experimental Evaluation of Polarization-Graded AlGaN/GaN HEMTs With Electric Field Management and Improved Breakdown Performance
[IEEE] 2026-9-10 | Characterization of Beam-Squint and Beam-Split Effects in RIS-assisted Multi-Frequency Networks
[IEEE] 2026-9-10 | Adaptive Radar for Uncooperative Spectrum Sharing: GLRT Asymptotic Performance
[IEEE] 2026-9-10 | Prescribed-Time Tracking Control of Linear Motors with Guaranteed Performance under Uncertainties
[IEEE] 2026-9-10 | A Physics-Guided Message Passing Neural Network for Mesh Smoothing in Moving Conductor Eddy Current Simulations
[IEEE] 2026-9-10 | Phase-Shifted DR Based HVDC Link Dedicated to Filter-Free Distant Offshore Wind Farms
[IEEE] 2026-9-10 | AutoNet: A Two-Stage Router Configuration Recommendation Framework Integrating Structured Semantic Modeling and Constraint Solving
[ACM] 2026-9-10 | Design of a Multimodal Intelligent Analysis and Generation System for University Brand Communication Videos
[ACM] 2026-9-10 | Q-DRFormer: Query-Position Mapping Flow Prediction with Progressive Refinement for Document Rectification
[IEEE] 2026-9-11 | Deep Learning-Based Fault Detection for Chiplet Interconnect Signals
[IEEE] 2026-9-11 | Air-gap Field Modulation-Based EMN Model Applied for LNG Pump Cryogenic PMSM
[ACM] 2026-9-11 | TEXMET: A Deep Learning Benchmark for Archaeological Textile Reconstruction
[ACM] 2026-9-11 | The Promise and Pitfalls of GenAI-Powered Mobile Apps: Perspectives from User Reviews
[IEEE] 2026-9-11 | Bandwidth Enhancement of Connected Array Antennas Using Controlled Reflection
[IEEE] 2026-9-11 | Experimental Validation of FR2 RIS-Assisted Dual-Stream Multi-User OFDMA Communication Testbed
[IEEE] 2026-9-10 | Real-Time Network IDS for SOHO Using Hybrid Edge Machine Learning Techniques
[IEEE] 2026-9-11 | Unified Small-Signal Modeling and Stability Analysis of a Current-Mode Controlled Three-Level Bidirectional Flying Capacitor Converter
[IEEE] 2026-9-11 | A Novel Compact Spherical Phased Array with Omnidirectional Radiation and Beam Scanning for 5G Micro Base Stations
[IEEE] 2026-9-11 | A High-Throughput and Low-Overhead FPGA Design and Implementation of a Quasi-Cyclic LT Concatenated Decoder
[IEEE] 2026-9-11 | Research on Low Probability of Intercept Technology for Netted LPI Radar System Based on Deep Learning
[IEEE] 2026-9-11 | Co-identification of Vibration, Structural Looseness, and Surface Damage in Industrial Equipment Operation Videos
[IEEE] 2026-9-11 | Quantifying Trapped-Charge Evolution in High-Temperature β-Ga
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    MOSFETs Using the Charge-Neutrality Point
[IEEE] 2026-9-11 | CITPT: A Concurrency-Induced Throughput Phase Transition in Blocking Client–Server Architectures under Extreme Concurrency: An A-MAPSS Based Experimental Study
[IEEE] 2026-9-11 | Tree-Based Ensemble Forecasting of PV Generation, Load Demand, and Battery SOC in Tropical Island Microgrids: A Multi-Horizon Cross-Season Evaluation
[IEEE] 2026-9-11 | Joint Prediction of SOC and Traction Load for Hybrid Locomotives Based on Multi-task BiLSTM-Attention
[IEEE] 2026-9-11 | Smart Integration of Electric Vehicle Charging Infrastructure within Hybrid Renewable Microgrids
[IEEE] 2026-9-11 | Small Object Detection Using Improved YOLOv11n
[IEEE] 2026-9-11 | Integrated Machine Learning–Based SOC Prediction, Regenerative Energy Optimization, and Battery Health Assessment for Urban Logistics Electric Vehicles
[IEEE] 2026-9-11 | Reducing RF Front-End Capacitance Effects on Antenna-Integrated SAR Proximity Sensing
[IEEE] 2026-9-11 | Ultrawideband Electromagnetic Interference Shielding Using a Frequency Selective Surface
[IEEE] 2026-9-11 | A Cross-Domain Survey of Medical and Remote Sensing Image Registration Methods_supp1-3732595.pdf
[IEEE] 2026-9-11 | Beyond UHF RFID: Broadband Characterization of Passive RFID ICs for Application in Reconfigurable Electromagnetic Systems
[IEEE] 2026-9-10 | FlowVLA: Visual Chain of Thought-Based Motion Reasoning for Vision-Language-Action Models
[IEEE] 2026-9-11 | Women in Antennas and Propagation: A European Perspective
[IEEE] 2026-9-11 | A Technology Difference Identification Method Based on BERTopic and Cosine Similarity
[IEEE] 2026-9-11 | Design and Analysis of an Ultrawideband Probe-Fed Conformal Array Antenna for High-Power RF Applications
[IEEE] 2026-9-11 | A Novel Dual-Polarization, Ultra-Thin, Air-Gap-Free Energy-Selective Surface
[IEEE] 2026-9-11 | Optimized Ensemble Deep Learning for User Load Forecasting and Residual-Based Anomaly Detection
[IEEE] 2026-9-10 | Early sound-based meal onset detection using Hidden Markov Models (HMMs)
[IEEE] 2026-9-11 | Computationally-Tractable Synthesis of an MXene Metamaterial Absorber with a 3D-Printable Spatially Variable Substrate by a Local Approach
[IEEE] 2026-9-11 | Personalized Blood Pressure Estimation with a Topological Prior Vector from Minimal Per-Subject Data
[IEEE] 2026-9-11 | On the Performance Advantages of Magneto-Dielectric Absorbers
[IEEE] 2026-9-10 | Variable-structure Soft Actuator for Multi-mode Grasping
[IEEE] 2026-9-11 | Title Page
[IEEE] 2026-9-11 | Per-Simon Kildal: Scientific Vision, Innovation, and Lasting Impact in Antenna Engineering
[IEEE] 2026-9-11 | Flexible Performance Function Based Time-Varying Formation Control for Second-Order Systems under Safety Constraints
[IEEE] 2026-9-11 | A Formal Approach to LLM Hallucination Detection and Mitigation
[IEEE] 2026-9-10 | Analytical Model for Electromagnetic-Vibration Prediction in Inverter-Fed Synchronous Reluctance Motor
[IEEE] 2026-9-11 | A Compact Dual-Polarized Aperture-in-Aperture Antenna for Concurrent GPS L1 and Ka-Band UAV Application
[IEEE] 2026-9-11 | A Noise-Free Method for Generating Speech Adversarial Examples Against ASR Systems
[IEEE] 2026-9-10 | FluidTac: A Vision-Based Arrayed Artificial Lateral Line Sensor for Underwater Ego-Motion Estimation
[IEEE] 2026-9-10 | AI as an Insider Threat: A Vision of the Future and Conceptual Risk Assessment Model
[IEEE] 2026-9-11 | An Adaptive Dispatching Method for Call-Handling Intelligent Agents Based on Multidimensional Features
[IEEE] 2026-9-11 | Evaluating Decision Tree Regression and Light-GBM Models for Short-Term Solar Irradiance Forecasting
[IEEE] 2026-9-11 | Programmable Notch Synthesis in Multichannel Non-Uniform DT FIR Receivers Using Harmonic Transfer Function Diversity
[IEEE] 2026-9-11 | End-to-End GNSS Interference Classification Using CNNs with Neural Engine Acceleration
[IEEE] 2026-9-11 | Comparative Study on PSO and Improved Cuckoo-Incremental Conductance for Multi-Peak PV MPPT
[IEEE] 2026-9-11 | A PAPR Reduction Method for OFDM Systems Based on CNN and Enhanced Residual Connections
[IEEE] 2026-9-11 | MOSAIC-1M: A Large-Scale Multi-Modal Dataset with Automated Semantic Annotations for Visual Content Understanding
[IEEE] 2026-9-10 | An ultra-wideband tightly coupled phased array antenna with low-profile and wide-angle scanning
[IEEE] 2026-9-10 | A Miniaturized Atomic Clock with Low-Power Mode and Adjustable-Precision 1PPS Synchronization
[IEEE] 2026-9-10 | An Ultra-Wideband LDMOS Power Amplifier Based on Filter Network Synthesis Technology
[IEEE] 2026-9-10 | A Voltage-Mode Schmitt Trigger Based on A Single VCII and Its Application to A Square/Triangular Wave Generator
[IEEE] 2026-9-10 | A 2D Inverse Scattering Method for Metallic Targets Based on the Finite-Difference Frequency-Domain
[IEEE] 2026-9-10 | Design of Ku-band Microwave Driver Amplifier for Microwave Photonic Radar Imaging
[IEEE] 2026-9-10 | LFFN: A Locality-Aware Feed-Forward Network for Efficient Transformer Architectures
[IEEE] 2026-9-10 | GS-YOLO: Lightweight Weed Detection via a Shared Convolutional Detection Head
[IEEE] 2026-9-10 | Compact Broadband 2×2 MIMO Array Based on Multi-Mode Resonance for Wireless Communication Systems
[IEEE] 2026-9-10 | A Resistorless Electronically Tunable Grounded Inductance Simulator Using Voltage Conveyor Transconductance Amplifiers
[IEEE] 2026-9-10 | Texture Attribute-Based Classification of GPR Data Recorded Along Railway Tracks
[IEEE] 2026-9-10 | Agentic AI and LLMs for Dynamic Content Generation: an Architectural and Communication Framework for Carbon Footprint Management
[IEEE] 2026-9-10 | A Wide Dynamic Range Efficiency-Enhanced Class-D Power Amplifier Using Hybrid Power Control Techniques for LPWAN Applications
[IEEE] 2026-9-10 | Physics-Informed Generative Beamforming for Terahertz Holographic Metasurface Antennas
[IEEE] 2026-9-10 | WVES: A Weighted Ensemble Framework for Student Mental Health Assessment
[IEEE] 2026-9-10 | Design of Ultrawideband Dual-Polarized Base Station Antenna for 2/3/4/5G
[IEEE] 2026-9-10 | A Highly Integrated Quantum Wide- field Microscope Based on NV Centers
[IEEE] 2026-9-10 | An Accelerated MUSIC Algorithm for GTD Scattering Center Parameter Estimation
[IEEE] 2026-9-10 | Long-Horizon Load Stability Testing and Degradation Forecasting for High-Concurrency Cloud Storage
[IEEE] 2026-9-10 | Optimizing Loop Inductance via Strategic Decap Placement and Fast Assessment
[IEEE] 2026-9-10 | Efficient Electro-Thermal Co-Analysis of GaN HEMTs Based on Neural Network
[IEEE] 2026-9-10 | Design and Implementation of System-Independent Data Encryption Software: Case Study of Exploration and Development Data Lake
[IEEE] 2026-9-10 | VeriRAG-Agent: A Retrieval-Augmented Agent Framework with Dynamic Tool Calling for Smart Contract Auditing
[IEEE] 2026-9-10 | A High Frequency-Selectivity Polarization Converter for X-Band Applications
[IEEE] 2026-9-10 | GPR Missing Data Reconstruction via Curvelet-Domain Optimization
[IEEE] 2026-9-10 | Multi-Objective Optimization Using LSTM and Genetic Algorithm with Multi-Agent Simulation: Application to Glacier Conservation Planning
[IEEE] 2026-9-10 | A Simplified Multi-Port Calibration Method Based on 2-N Switch Matrix De-embedding Using a Single Thru Standard
[IEEE] 2026-9-10 | Design of an STM32-Based Smoke Monitoring System Using Dual-Threshold Hysteresis Control
[IEEE] 2026-9-10 | A Decoupling Structure Based on Reconfigurable Elements for Wideband Patch Antennas
[IEEE] 2026-9-10 | Design of 3-Bit Reconfigurable Intelligent Surface with Wide-Angle Continuous Steering Beams
[IEEE] 2026-9-10 | Compact Dual-Band Bandpass Filter With Adjustable Frequency Ratio Using Novel Folded Substrate-Integrated Waveguide Cavities
[IEEE] 2026-9-10 | Single-Layer SIW Cavity-Backed Slot Antenna Array Using High-Order Mode
[IEEE] 2026-9-10 | Human Respiration Sensing Using 24 GHz Coupled-Resonator Frequency-Scanning Antenna
[IEEE] 2026-9-10 | A Low-Profile Shared-Aperture Antenna for High-Performance Base Station Applications
[IEEE] 2026-9-10 | Optimizing Structural MRI for Alzheimer's Diagnosis: A Preprocessing Approach Using FSL
[IEEE] 2026-9-10 | Factors Influencing the Success of Instructional Management in the Metaverse: A Structural Equation Modeling Approach
[IEEE] 2026-9-10 | Design of a Dual-Band Bandpass Filter Based on Spoof Surface Plasmon Polaritons
[IEEE] 2026-9-10 | Tighter Security Proof for IBE from MP-LWE Assumption in the Random Oracle Model
[ACM] 2026-9-11 | ConfuGuard: Using Metadata to Detect Active and Stealthy Package Confusion Attacks Accurately and at Scale
[ACM] 2026-9-11 | Write Your Own Code Checker: An Automated Test-Driven Checker Development Approach with LLMs
[ACM] 2026-9-11 | Six Million (Suspected) Fake Stars on GitHub: A Growing Spiral of Popularity Contests, Spams, and Malware
[ACM] 2026-9-11 | FM4MC: Improving Feature Models for Microservice Chains—Towards More Efficient Configuration and Validation
[ACM] 2026-9-11 | SymRadar: PoC-Centered Bounded Verification for Vulnerability Repair
[ACM] 2026-9-11 | FoundRoot: Towards Foundation Model for Root Cause Analysis via Structured Deep Thinking
[ACM] 2026-9-11 | TypeCare: Boosting Python Type Inference Models via Context-Aware Re-Ranking and Augmentation
[ACM] 2026-9-11 | Argus: A Multi-agent Sensitive Information Leakage Detection Framework Based on Hierarchical Reference Relationships
[ACM] 2026-9-11 | Towards Understanding and Characterizing Vulnerabilities in Intelligent Connected Vehicles through Real-World Exploits
[ACM] 2026-9-11 | Model Migration by Example (MbEx): Understanding Model Co-Evolution from User Adaptations
[IEEE] 2026-9-11 | Sequential Pattern Mining of Fire Incident Escalation and High-Damage Precursors in Central Luzon: a Provincial and Municipal Scale Analysis
[IEEE] 2026-9-11 | Disentanglement Multi-Task Learning Based on Hyperbolic Space for Multimodal Sentiment Analysis
[IEEE] 2026-9-11 | Uniform Field Coil Design in a Magnetically Shielded Cylinder With Ferromagnetic Coupling Suppression and Coil Constant Constraints
[IEEE] 2026-9-11 | Fundamental Limits, Radiation Resistance, and Throughput in Electrically Small Antennas
[IEEE] 2026-9-10 | Input-Data Information Preservation and Protocol-Specific Error Mitigation in Noisy Fixed-Parameter Quantum Front Ends: A Reproducible Simulation Study
[IEEE] 2026-9-11 | NLOS-Aided Joint OTA Synchronization and Off-Grid Imaging for Distributed MIMO Systems
[IEEE] 2026-9-11 | A Physics-Grounded Hybrid Framework for Statistical Prediction of Cavity Scattering Under Interior Uncertainty
[ACM] 2026-9-10 | Design of a Fact-Verification System for Music Theory Question Answering Based on Large Language Models
[ACM] 2026-9-10 | Weighted Readiness Evaluation Algorithm and Modular AI System Design for Cross-Border Foreign Trade SMEs
[IEEE] 2026-9-10 | A Survey of Relation Extraction: From Deep Learning to Large Language Models
[IEEE] 2026-9-10 | AIHT-MPI: Accelerated Iterative Hard Thresholding via Moore-Penrose Pseudo-Inverse with Conjugate Gradient Refinement for Sparse Signal Recovery
[IEEE] 2026-9-10 | Spherical Fuzzy Set Adaptive Decoupling Network: Principled Multi-Task Optimization for Robust Low-Light Image Enhancement
[IEEE] 2026-9-10 | Manifold-based Robust Beamforming Design for RIS-Assisted LEO Satellite in SAGIN-ISAC Systems
[IEEE] 2026-9-10 | Turbulence-Resilient Multicasting of OAM Beams Using a Hybrid Optical-Electronic Neural Network
[IEEE] 2026-9-10 | A New Academic–Industry Partnership Grant and the Last IERA Award [Industry Activities]
[IEEE] 2026-9-10 | Table of Contents
