[2026-02-17 09:35:37] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-16
正在获取论文...
[arXiv] 2026-02-16 | ALiA: Adaptive Linearized ADMM
[arXiv] 2026-02-16 | The geometry of invariant learning: an information-theoretic analysis of data augmentation and generalization
[arXiv] 2026-02-16 | The higher order group inverse in a ring
[arXiv] 2026-02-16 | The Multiparameter Frontier: Metrological Hierarchy and Robustness in Dispersive Quantum Interferometry
[arXiv] 2026-02-16 | WavePhaseNet: A DFT-Based Method for Constructing Semantic Conceptual Hierarchy Structures (SCHS)
[arXiv] 2026-02-16 | Establishing the Primary HEFT as a Precision Benchmark for UV-HEFT Matching
[arXiv] 2026-02-16 | The Role of Measured Covariates in Assessing Sensitivity to Unmeasured Confounding
[arXiv] 2026-02-16 | Online Architecture Search for Compressed Sensing based on Hypergradient Descent
[arXiv] 2026-02-16 | Learning Proposes, Geometry Disposes: A Modular Framework for Efficient Spatial Reasoning
[arXiv] 2026-02-16 | "I Felt Bad After We Ignored Her": Understanding How Interface-Driven Social Prominence Shapes Group Discussions with GenAI
[arXiv] 2026-02-16 | TruthStance: An Annotated Dataset of Conversations on Truth Social
[arXiv] 2026-02-16 | A convergent finite element method with minimal deformation rate for mean curvature flow
[arXiv] 2026-02-16 | Scope: A Scalable Merged Pipeline Framework for Multi-Chip-Module NN Accelerators
[arXiv] 2026-02-16 | Flux-Balanced Patankar-type Schemes for the Compressible Euler Equations
[arXiv] 2026-02-16 | ASA: Adaptive Smart Agent Federated Learning via Device-Aware Clustering for Heterogeneous IoT
[arXiv] 2026-02-16 | A Q-Learning Approach for Dynamic Resource Management in Three-Tier Vehicular Fog Computing
[arXiv] 2026-02-16 | Beyond Token-Level Policy Gradients for Complex Reasoning with Large Language Models
[arXiv] 2026-02-16 | Triangulated categories with a compact silting object, Brown-Comenetz duality and Brown representability theorems
[arXiv] 2026-02-16 | Fine-Grained Complexity for Quantum Problems from Size-Preserving Circuit-to-Hamiltonian Constructions
[arXiv] 2026-02-16 | A Computational Framework for Financial Structures
[arXiv] 2026-02-16 | Event-based Visual Deformation Measurement
[arXiv] 2026-02-16 | Differentially Private Retrieval-Augmented Generation
[arXiv] 2026-02-16 | Mixed precision and mixed accuracy explicit two-derivative Runge--Kutta methods
[arXiv] 2026-02-16 | A Trajectory-Based Safety Audit of Clawdbot (OpenClaw)
[arXiv] 2026-02-16 | Image Generation with a Sphere Encoder
[arXiv] 2026-02-16 | Gravitational Wave Echoes of the First Order Phase Transition in a Kination-Induced Big Bang
[arXiv] 2026-02-16 | Scaling Beyond Masked Diffusion Language Models
[arXiv] 2026-02-16 | Signatures of Dynes superconductivity in the THz response of ALD-grown NbN thin films
[arXiv] 2026-02-16 | Spectral Convolution on Orbifolds for Geometric Deep Learning
[arXiv] 2026-02-16 | Instruction-Set Architecture for Programmable NV-Center Quantum Repeater Nodes
[arXiv] 2026-02-16 | Rotational Quantum Friction via Spontaneous Decay
[arXiv] 2026-02-16 | On the Topology of T-manifolds of Higher Codimension
[arXiv] 2026-02-16 | Orthogonalized Multimodal Contrastive Learning with Asymmetric Masking for Structured Representations
[arXiv] 2026-02-16 | Counterfactual Fairness Evaluation of LLM-Based Contact Center Agent Quality Assurance System
[arXiv] 2026-02-16 | PhyScensis: Physics-Augmented LLM Agents for Complex Physical Scene Arrangement
[arXiv] 2026-02-16 | Practical and improved density functionals for computational catalysis on metal surfaces
[arXiv] 2026-02-16 | Sovereign Agents: Towards Infrastructural Sovereignty and Diffused Accountability in Decentralized AI
[arXiv] 2026-02-16 | Kalman Filtering Based Flight Management System Modeling for AAM Aircraft
[arXiv] 2026-02-16 | Gradient Networks for Universal Magnetic Modeling of Synchronous Machines
[arXiv] 2026-02-16 | Pattern preservation in finite to infinite-horizon optimal control problems for dissipative systems
[arXiv] 2026-02-16 | Edge-ends versus topological ends of graphs
[arXiv] 2026-02-16 | Balanced Stochastic Block Model for Community Detection in Signed Networks
[arXiv] 2026-02-16 | Kami of the Commons: Towards Designing Agentic AI to Steward the Commons
[arXiv] 2026-02-16 | Fault Detection in Electrical Distribution System using Autoencoders
[arXiv] 2026-02-16 | Lattice XBAR Filters in Thin-Film Lithium Niobate
[arXiv] 2026-02-16 | A robust and efficient method to calculate electromagnetic modes on a cylindrical step-index nanofibre
[arXiv] 2026-02-16 | Wrivinder: Towards Spatial Intelligence for Geo-locating Ground Images onto Satellite Imagery
[arXiv] 2026-02-16 | MAC-AMP: A Closed-Loop Multi-Agent Collaboration System for Multi-Objective Antimicrobial Peptide Design
[arXiv] 2026-02-16 | Light dilaton from top-down holographic confinement with magnetic fluxes
[arXiv] 2026-02-16 | Additive Control Variates Dominate Self-Normalisation in Off-Policy Evaluation
[arXiv] 2026-02-16 | Position: Introspective Experience from Conversational Environments as a Path to Better Learning
[arXiv] 2026-02-16 | Adjoint-based Shape Optimization, Machine Learning based Surrogate Models, Conditional Variational Autoencoder (CVAE), Voith Schneider propulsion (VSP), Self-propelled Ship, Propulsion Model, Hull Optimization
[arXiv] 2026-02-16 | Tarnished by Tools: Cost of Systematics in Golden Dark Siren Cosmology
[arXiv] 2026-02-16 | Web-Scale Multimodal Summarization using CLIP-Based Semantic Alignment
[arXiv] 2026-02-16 | A few remarks on sections of the Picard bundle of family of curves
[arXiv] 2026-02-16 | CT-Bench: A Benchmark for Multimodal Lesion Understanding in Computed Tomography
[arXiv] 2026-02-16 | Probing topological Floquet states in graphene with ultrafast terahertz scanning tunneling microscopy
[arXiv] 2026-02-16 | Affordance Transfer Across Object Instances via Semantically Anchored Functional Map
[arXiv] 2026-02-16 | interID -- An Ecosystem-agnostic Verifier-as-a-Service with OpenID Connect Bridge
[arXiv] 2026-02-16 | EmbeWebAgent: Embedding Web Agents into Any Customized UI
[arXiv] 2026-02-16 | Quasilocalization under coupled mutation-selection dynamics
[arXiv] 2026-02-16 | Bias analysis of a linear order-statistic inequality index estimator: Unbiasedness under gamma populations
[arXiv] 2026-02-16 | Fair Allocation with Initial Utilities
[arXiv] 2026-02-16 | Existence of large-data solutions to a thermo-piezoelectric system and forward operator analysis for associated inverse problems
[arXiv] 2026-02-16 | Gravitational Decoherence Estimation in Optomechanical Systems
[arXiv] 2026-02-16 | Dark higher-form fields and triangle anomalies
[arXiv] 2026-02-16 | Asymmetry in laser wakefields driven by intense pulses
[arXiv] 2026-02-16 | The Global Representativeness Index: A Total Variation Distance Framework for Measuring Demographic Fidelity in Survey Research
[arXiv] 2026-02-16 | Robot-Wearable Conversation Hand-off for Navigation
[arXiv] 2026-02-16 | On the behavior of analytic torsion for twisted canonical bundles under degenerations
[arXiv] 2026-02-16 | Beyond Retractions: Forensic Scientometrics Techniques to Identify Research Misconduct, Citation Leakage, and Funding Anomalies
[arXiv] 2026-02-16 | What hackers talk about when they talk about AI: Early-stage diffusion of a cybercrime innovation
[arXiv] 2026-02-16 | Evidence for the merger hypothesis in V4332 Sgr: a low $^{12}$C/$^{13}$C ratio and multiple outbursts
[arXiv] 2026-02-16 | ROSA: Roundabout Optimized Speed Advisory with Multi-Agent Trajectory Prediction in Multimodal Traffic
[arXiv] 2026-02-16 | Localization Tensor Revisited: Geometric-Probabilistic Foundations and a Structure-Factor Criterion under Periodic Boundaries
[arXiv] 2026-02-16 | Infrared period-luminosity relations of Galactic Miras based on multi-epoch photometry and the Gaia parallax uncertainty
[arXiv] 2026-02-16 | GOT-JEPA: Generic Object Tracking with Model Adaptation and Occlusion Handling using Joint-Embedding Predictive Architecture
[arXiv] 2026-02-16 | On the Parameterized Tractability of Packing Vertex-Disjoint A-Paths with Length Constraints
[arXiv] 2026-02-16 | A-H Premium and the Shanghai-Hong Kong Stock Connect
[arXiv] 2026-02-16 | A strengthening of the Blaschke-Santaló inequality for $o$-symmetric planar convex bodies
[arXiv] 2026-02-16 | Topological and arithmetic characteristics about products of projective lines with complex tori
[arXiv] 2026-02-16 | Probabilistic Cutoffs in Homogeneous Quantum Repeater Chains
[arXiv] 2026-02-16 | Systematic Review of Lightweight Cryptographic Algorithms
[arXiv] 2026-02-16 | D2-LoRA: A Synergistic Approach to Differential and Directional Low-Rank Adaptation
[arXiv] 2026-02-16 | Grid-free linear hypergraphs via Cayley-Bacharach
[arXiv] 2026-02-16 | Actions of Lie 2-algebras and comomentum maps
[arXiv] 2026-02-16 | Matching conditions for scattering solutions of scalar wave equations on extremal Reissner-Nordström spacetimes
[arXiv] 2026-02-16 | Adaptive Autoguidance for Item-Side Fairness in Diffusion Recommender Systems
[arXiv] 2026-02-16 | Unbiased Approximate Vector-Jacobian Products for Efficient Backpropagation
[arXiv] 2026-02-16 | 4U 1556-60 as a very faint neutron star X-ray binary at 700 pc with an undetected radio jet
[arXiv] 2026-02-16 | Demonstrating and Benchmarking Classical Shadows for Lindblad Tomography
[arXiv] 2026-02-16 | Crowdsourcing Piedmontese to Test LLMs on Non-Standard Orthography
[arXiv] 2026-02-16 | Near-Optimal Best-of-Both-Worlds Fairness for Few Agents
[arXiv] 2026-02-16 | Real-time Monocular 2D and 3D Perception of Endoluminal Scenes for Controlling Flexible Robotic Endoscopic Instruments
[arXiv] 2026-02-16 | Advances in Global Solvers for 3D Vision
[arXiv] 2026-02-16 | Segment-Based Two-Loop Adaptive Iterative Learning Control for Spacecraft Position and Attitude Tracking
[arXiv] 2026-02-16 | Investigating the impact of quasi-universal relations on neutron star constraints in third-generation detectors
[arXiv] 2026-02-16 | Computing $A$-resultants via direct images
[arXiv] 2026-02-16 | An Embarrassingly Simple Way to Optimize Orthogonal Matrices at Scale
[arXiv] 2026-02-16 | Data-Efficient Machine learning for Predicting Dopant Formation Energies in TiO$_2$ Monolayer
[arXiv] 2026-02-16 | Common overlattices in trees and trees with fins
[arXiv] 2026-02-16 | Second-order conditions for bang-bang control of elliptic equations in arbitrary dimensions
[arXiv] 2026-02-16 | Resurgent structure of the 't Hooft-Polyakov monopole
[arXiv] 2026-02-16 | Comments on Symplectic bipotentials arXiv:2410.23122
[arXiv] 2026-02-16 | Computations on the tautological basis of the cohomology ring of the Peterson variety
[arXiv] 2026-02-16 | Rings whose Non-Units are a Unit Multiple of an Element from $\sqrt{Δ(R)}$
[arXiv] 2026-02-16 | Non-commutative Dynamic Approaches to the Kibble-Zurek Scaling Limit with an Initial Gapless Order
[arXiv] 2026-02-16 | New a posteriori error estimates for full-space transmission problems
[arXiv] 2026-02-16 | CLAP-Based Automatic Word Naming Recognition in Post-Stroke Aphasia
[arXiv] 2026-02-16 | Feedback Stabilization and Tracking for Heat Equations Using Thermo-Plasmonic Nanoparticles as Actuators
[arXiv] 2026-02-16 | DriveFine: Refining-Augmented Masked Diffusion VLA for Precise and Robust Driving
[arXiv] 2026-02-16 | Information-Theoretic Approach to Financial Market Modelling
[arXiv] 2026-02-16 | An Empirical Study of the Evolution of GitHub Actions Workflows
[arXiv] 2026-02-16 | Human versus Artificial Intelligence; various significant examples in astrophysics
[arXiv] 2026-02-16 | Compositional Metrology of Atom Probe Applied to non-Metallic Materials
[arXiv] 2026-02-16 | Dissipative Spectroscopy
[arXiv] 2026-02-16 | Sparse identification of quantum Hamiltonian dynamics via quantum circuit learning
[arXiv] 2026-02-16 | Characterization of argon recoils at the keV scale with ReD and ReD+
[arXiv] 2026-02-16 | On the Existence of Koopman Linear Embeddings for Controlled Nonlinear Systems
[arXiv] 2026-02-16 | Explainable Token-level Noise Filtering for LLM Fine-tuning Datasets
[arXiv] 2026-02-16 | Efficient Sampling with Discrete Diffusion Models: Sharp and Adaptive Guarantees
[arXiv] 2026-02-16 | Altermagnetic Even-Odd Effects in CsV$_2$Te$_2$O Josephson Junctions
[arXiv] 2026-02-16 | On the Learning Dynamics of RLVR at the Edge of Competence
[arXiv] 2026-02-16 | Synthetic Aperture Communication: Principles and Application to Massive IoT Satellite Uplink
[arXiv] 2026-02-16 | Complementarity of di-top and four-top searches in interpreting possible signals of new physics
[arXiv] 2026-02-16 | Parapositronium decay into three photons and implications for the neutral pion
[arXiv] 2026-02-16 | Modeling medium and low voltage grids using population density
[arXiv] 2026-02-16 | SAILS: Segment Anything with Incrementally Learned Semantics for Task-Invariant and Training-Free Continual Learning
[arXiv] 2026-02-16 | Orcheo: A Modular Full-Stack Platform for Conversational Search
[arXiv] 2026-02-16 | Infrared spectra of methane-containing ice mixtures for JWST data analysis
[arXiv] 2026-02-16 | Long Context, Less Focus: A Scaling Gap in LLMs Revealed through Privacy and Personalization
[arXiv] 2026-02-16 | 3d Conformal Field Theories via Fuzzy Sphere Algebra
[arXiv] 2026-02-16 | Generalization from Low- to Moderate-Resolution Spectra with Neural Networks for Stellar Parameter Estimation: A Case Study with DESI
[arXiv] 2026-02-16 | Majorana Signatures in Planar Tunneling through a Kitaev Spin Liquid
[arXiv] 2026-02-16 | Hunt Globally: Deep Research AI Agents for Drug Asset Scouting in Investing, Business Development, and Search & Evaluation
[arXiv] 2026-02-16 | The projective coinvariant algebra, Young invariants and bigraded coordinate rings of Segre embeddings
[arXiv] 2026-02-16 | Cold-Start Personalization via Training-Free Priors from Structured World Models
[arXiv] 2026-02-16 | Hidden Markov Individual-level Models of Infectious Disease Transmission
[arXiv] 2026-02-16 | PDE foundation models are skillful AI weather emulators for the Martian atmosphere
[arXiv] 2026-02-16 | Low Depth Unitary Coupled Cluster Algorithm for Large Chemical Systems
[arXiv] 2026-02-16 | On the Semantics of Primary Cause in Hybrid Dynamic Domains
[arXiv] 2026-02-16 | Scaling QAOA: transferring optimal adiabatic schedules from small-scale to large-scale variational circuits
[arXiv] 2026-02-16 | On a Gödel-like Solution in Non-Relativistic Gravity
[arXiv] 2026-02-16 | Faster Molecular Dynamics with Neural Network Potentials via Distilled Multiple Time-Stepping and Non-Conservative Forces
[arXiv] 2026-02-16 | DM0: An Embodied-Native Vision-Language-Action Model towards Physical AI
[arXiv] 2026-02-16 | Large Transverse Thermoelectric Effect in Weyl Semimetal TaIrTe$_4$ Engineered for Photodetection
[arXiv] 2026-02-16 | Morphing of and writing with a scissor linkage mechanism
[arXiv] 2026-02-16 | On Liouville's theorem for the Hessian quotient equation $σ_2/σ_1$
[arXiv] 2026-02-16 | AnchorWeave: World-Consistent Video Generation with Retrieved Local Spatial Memories
[arXiv] 2026-02-16 | Stick-slip dynamics in an interleaved system with self-amplified friction
[arXiv] 2026-02-16 | Ferrocene-functionalized covalent organic framework exceeding the ultimate hydrogen storage targets: a first-principles multiscale computational study
[arXiv] 2026-02-16 | Inclusive hadroproduction of $χ_{c1}(3872)$, $X_b$ and pentaquarks
[arXiv] 2026-02-16 | The Tetrahedral (or $6j$) Symbol
[arXiv] 2026-02-16 | Galois automorphisms and blocks covering unipotent blocks
[arXiv] 2026-02-16 | Algorithmic Simplification of Neural Networks with Mosaic-of-Motifs
[arXiv] 2026-02-16 | Conservative geometric functors via purity
[arXiv] 2026-02-16 | Electron-phonon coupling in EuAl4 under hydrostatic pressure
[arXiv] 2026-02-16 | Numerical exploration of the range of shape functionals using neural networks
[arXiv] 2026-02-16 | Goldilocks RL: Tuning Task Difficulty to Escape Sparse Rewards for Reasoning
[arXiv] 2026-02-16 | Fluidic Shaping over arbitrary domains: theory and high order finite-elements solver
[arXiv] 2026-02-16 | A Pragmatic Method for Comparing Clusterings with Overlaps and Outliers
[arXiv] 2026-02-16 | John-type decompositions for affinely-optimal positions of convex bodies
[arXiv] 2026-02-16 | Relative Character Asymptotics Beyond Stability for $\mathrm{PGL}_2 \times \mathrm{GL}_1$
[arXiv] 2026-02-16 | Statistical Validation and Vetting of Exoplanet Candidate TOI 7475.01
[arXiv] 2026-02-16 | A universal critical accretion rate for black hole jet formation
[arXiv] 2026-02-16 | Hodge theory for twisted log-differential forms
[arXiv] 2026-02-16 | Testimole-Conversational: A 30-Billion-Word Italian Discussion Board Corpus (1996-2024) for Language Modeling and Sociolinguistic Research
[arXiv] 2026-02-16 | Learning State-Tracking from Code Using Linear RNNs
[arXiv] 2026-02-16 | Physical Commonsense Reasoning for Lower-Resourced Languages and Dialects: a Study on Basque
[arXiv] 2026-02-16 | Continuous functions over a pure C*-algebra
[arXiv] 2026-02-16 | Carbon chain diversity in L1544 and IRAS 16293-2422: an astrochemical pathfinder study for the SKAO
[arXiv] 2026-02-16 | Return of the Schema: Building Complete Datasets for Machine Learning and Reasoning on Knowledge Graphs
[arXiv] 2026-02-16 | Non-quasi-$F$-split canonical affine fourfolds in any characteristic
[arXiv] 2026-02-16 | On the Stability of Nonlinear Dynamics in GD and SGD: Beyond Quadratic Potentials
[arXiv] 2026-02-16 | New Randomized Global Generalized Minimum Residual (RGl-GMRES) method
[arXiv] 2026-02-16 | Spin qubit shuttling between coupled quantum dots with inhomogeneous Landé g-tensors
[arXiv] 2026-02-16 | Architectural Insights for Post-Tornado Damage Recognition
[arXiv] 2026-02-16 | Accelerating Posterior Inference from Pulsar Light Curves via Learned Latent Representations and Local Simulator-Guided Optimization
[arXiv] 2026-02-16 | MedVAR: Towards Scalable and Efficient Medical Image Generation via Next-scale Autoregressive Prediction
[arXiv] 2026-02-16 | Adaptive Finite Elements with Algebraic Stabilization for Convection-Dominated Transport
[arXiv] 2026-02-16 | Bounding Probabilities of Causation with Partial Causal Diagrams
[arXiv] 2026-02-16 | Homological origin of transversal implementability of logical diagonal gates in quantum CSS codes
[arXiv] 2026-02-16 | Modular generalized Nahm sums with arbitrary rank $r$
[arXiv] 2026-02-16 | On the Rate-Distortion-Complexity Tradeoff for Semantic Communication
[arXiv] 2026-02-16 | Constrained and Composite Sampling via Proximal Sampler
[arXiv] 2026-02-16 | Learning Transferability: A Two-Stage Reinforcement Learning Approach for Enhancing Quadruped Robots' Performance in U-Shaped Stair Climbing
[arXiv] 2026-02-16 | Circular orbits and observational features of the rotating Simpson-Visser black hole surrounded by a thin accretion disk
[arXiv] 2026-02-16 | Traceable Latent Variable Discovery Based on Multi-Agent Collaboration
[arXiv] 2026-02-16 | Cramer--Rao Bounds for Magneto-Inductive Integrated Sensing and Communications
[arXiv] 2026-02-16 | Holographic Subregion Complexity and Fidelity Susceptibility in Noncommutative Yang--Mills Theory
[arXiv] 2026-02-16 | Noncooperative Virtual Queue Coordination via Uncertainty-Aware Correlated Equilibria
[arXiv] 2026-02-16 | Phonon Echo from Multi-Level Systems and Many-Body Interactions in Low-Temperature Glasses
[arXiv] 2026-02-16 | A unified framework for evaluating the robustness of machine-learning interpretability for prospect risking
[arXiv] 2026-02-16 | The Physical Properties of PS1-12sk and the Implications to Its Progenitor System
[arXiv] 2026-02-16 | A More Realistic Z-pinch Snowplow Model
[arXiv] 2026-02-16 | Near-Threshold J/$ψ\to μ^+μ^-$ Photoproduction and the Gluonic Gravitational Form Factors of the Proton
[arXiv] 2026-02-16 | The small Deborah number limit for the compressible fluid-particle flows
[arXiv] 2026-02-16 | Feature Recalibration Based Olfactory-Visual Multimodal Model for Fine-Grained Rice Deterioration Detection
[arXiv] 2026-02-16 | Adapting VACE for Real-Time Autoregressive Video Diffusion
[arXiv] 2026-02-16 | Syntomic cohomology of truncated Brown--Peterson spectra
[arXiv] 2026-02-16 | A Study on Multi-Class Online Fuzzy Classifiers for Dynamic Environments
[arXiv] 2026-02-16 | Square-bracket operations clubs
[arXiv] 2026-02-16 | InnoEval: On Research Idea Evaluation as a Knowledge-Grounded, Multi-Perspective Reasoning Problem
[arXiv] 2026-02-16 | LiSFC-Search: Lifelong Search for Network SFC Optimization under Non-stationary Drifts
[arXiv] 2026-02-16 | Key Considerations for Domain Expert Involvement in LLM Design and Evaluation: An Ethnographic Study
[arXiv] 2026-02-16 | Reciprocal Specific Relative Entropy between Continuous Martingales
[arXiv] 2026-02-16 | The unintended effects of universalizing social pensions: Evidence from Mexico
[arXiv] 2026-02-16 | Learning Structural Hardness for Combinatorial Auctions: Instance-Dependent Algorithm Selection via Graph Neural Networks
[arXiv] 2026-02-16 | Multi-Agent Comedy Club: Investigating Community Discussion Effects on LLM Humor Generation
[arXiv] 2026-02-16 | Pulsar based modeling of point spread function of Fermi Large Area Telescope
[arXiv] 2026-02-16 | Universal Algorithm-Implicit Learning
[arXiv] 2026-02-16 | Constant-Time Dynamic Enumeration of Word Infixes in a Regular Language
[arXiv] 2026-02-16 | An x-ray regenerative amplifier free-electron laser with a step-tapered-undulator
[arXiv] 2026-02-16 | Faster Optimal Decoder for Graph Codes with a Single Logical Qubit
[arXiv] 2026-02-16 | Deep Image Prior for Computed Tomography Reconstruction
[arXiv] 2026-02-16 | It's a Matter of Time: Three Lessons on Long-Term Motion for Perception
[arXiv] 2026-02-16 | $L_\infty$-morphisms between twisted Courant $r$-Lie algebras and untwisted Courant $(r{+}1)$-Lie algebroids
[arXiv] 2026-02-16 | Qute: Towards Quantum-Native Database
[arXiv] 2026-02-16 | Weak Poincaré inequalities for Deterministic-scan Metropolis-within-Gibbs samplers
[arXiv] 2026-02-16 | On the kinetic equation arising from the large-scale limit of the Cucker-Smale model
[arXiv] 2026-02-16 | Exposing Diversity Bias in Deep Generative Models: Statistical Origins and Correction of Diversity Error
[arXiv] 2026-02-16 | ST-EVO: Towards Generative Spatio-Temporal Evolution of Multi-Agent Communication Topologies
[arXiv] 2026-02-16 | NISQ-compatible quantum cryptography based on Parrondo dynamics in discrete-time quantum walks
[arXiv] 2026-02-16 | From User Preferences to Base Score Extraction Functions in Gradual Argumentation
[arXiv] 2026-02-16 | Pseudo-differential-enhanced physics-informed neural networks
[arXiv] 2026-02-16 | Temporally Flexible Transport Scheduling on Networks with Departure-Arrival Constriction and Nodal Capacity Limits
[arXiv] 2026-02-16 | Dominant One-Loop Seesaw Contribution Induced by Non-Invertible Fusion Algebra
[arXiv] 2026-02-16 | Rewriting Induction for Existentially Quantified Equations in Logically Constrained Rewriting (Full Version)
[arXiv] 2026-02-16 | Alignment Adapter to Improve the Performance of Compressed Deep Learning Models
[arXiv] 2026-02-16 | Kakeya conjecture and High-Rank Lattice von Neumann algebras
[arXiv] 2026-02-16 | Stochastic Burgers equation driven by multiplicative Rosenblatt noise: local existence, uniqueness and regularity
[arXiv] 2026-02-16 | Higher-Order Hit-&-Run Samplers for Linearly Constrained Densities
[arXiv] 2026-02-16 | On the challenge of simulating dipolar contributions to spin relaxation with generalized cluster correlation expansion methods
[arXiv] 2026-02-16 | A Bayesian Approach to Low-Discrepancy Subset Selection
[arXiv] 2026-02-16 | Towards Selection as Power: Bounding Decision Authority in Autonomous Agents
[arXiv] 2026-02-16 | Before the Vicious Cycle Starts: Preventing Burnout Across SOC Roles Through Flow-Aligned Design
[arXiv] 2026-02-16 | FO and MSO Model Checking on Temporal Graphs
[arXiv] 2026-02-16 | Automated Classification of Source Code Changes Based on Metrics Clustering in the Software Development Process
[arXiv] 2026-02-16 | RNM-TD3: N:M Semi-structured Sparse Reinforcement Learning From Scratch
[arXiv] 2026-02-16 | Assessing Large Language Models for Medical QA: Zero-Shot and LLM-as-a-Judge Evaluation
[arXiv] 2026-02-16 | Magnetic excitations in the Kitaev material Na$_2$IrO$_3$ studied by neutron scattering
[arXiv] 2026-02-16 | Forked Physics Informed Neural Networks for Coupled Systems of Differential equations
[arXiv] 2026-02-16 | Replanning Human-Robot Collaborative Tasks with Vision-Language Models via Semantic and Physical Dual-Correction
[arXiv] 2026-02-16 | Inner Loop Inference for Pretrained Transformers: Unlocking Latent Capabilities Without Training
[arXiv] 2026-02-16 | The cost of speed: Time-optimal thermal control of trapped Brownian particles
[arXiv] 2026-02-16 | GREAT-EER: Graph Edge Attention Network for Emergency Evacuation Responses
[arXiv] 2026-02-16 | VariViT: A Vision Transformer for Variable Image Sizes
[arXiv] 2026-02-16 | Mutual k-Visibility in Graphs
[arXiv] 2026-02-16 | Lower Estimates for $L_1$-Distortion of Transportation Cost Spaces
[arXiv] 2026-02-16 | Interwoven SDP in Primal-Dual Proximal Splitting Methods for Adjustable Robust Convex Optimisation with SOS-Convex Polynomial Constraints
[arXiv] 2026-02-16 | Evaluation of Dynamic Vector Bin Packing for Virtual Machine Placement
[arXiv] 2026-02-16 | TikArt: Aperture-Guided Observation for Fine-Grained Visual Reasoning via Reinforcement Learning
[arXiv] 2026-02-16 | Mixed precision solvers with half-precision floating point numbers for Lattice QCD on A64FX processor
[arXiv] 2026-02-16 | Gel'fand's inverse problem under Ricci curvature bounds
[arXiv] 2026-02-16 | TWISTED-RL: Hierarchical Skilled Agents for Knot-Tying without Human Demonstrations
[arXiv] 2026-02-16 | Magnetic Neumann problems with Aharonov-Bohm potentials: boundary asymptotics of eigenvalues and splitting phenomena
[arXiv] 2026-02-16 | DeepMTL2R: A Library for Deep Multi-task Learning to Rank
[arXiv] 2026-02-16 | Behavioral Feature Boosting via Substitute Relationships for E-commerce Search
[arXiv] 2026-02-16 | Query as Anchor: Scenario-Adaptive User Representation via Large Language Model
[arXiv] 2026-02-16 | Flavor dependence of chiral symmetry breaking and the conformal window
[arXiv] 2026-02-16 | When OpenClaw AI Agents Teach Each Other: Peer Learning Patterns in the Moltbook Community
[arXiv] 2026-02-16 | HyperRAG: Reasoning N-ary Facts over Hypergraphs for Retrieval Augmented Generation
[arXiv] 2026-02-16 | Silent Inconsistency in Data-Parallel Full Fine-Tuning: Diagnosing Worker-Level Optimization Misalignment
[arXiv] 2026-02-16 | Integral Numerical Radius and Operator Matrix Bounds
[arXiv] 2026-02-16 | On Two-Stage Householder Orthogonalization
[arXiv] 2026-02-16 | Tribonacci Numbers That Are Products of Two Lucas Numbers
[arXiv] 2026-02-16 | Selective Synchronization Attention
[arXiv] 2026-02-16 | Controlling Your Image via Simplified Vector Graphics
[arXiv] 2026-02-16 | CAIRO: Decoupling Order from Scale in Regression
[arXiv] 2026-02-16 | Sustainable Investment: ESG Impacts on Large Portfolio
[arXiv] 2026-02-16 | Integral Transformations for Conformally Invariant Celestial Gluon Amplitudes
