[2026-03-28 22:30:08] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-27
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202603270000+TO+202603272359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[IEEE] 2026-3-27 | Doeblin Curves
[IEEE] 2026-3-27 | scaleTRIM: Scalable TRuncation-Based Integer Approximate Multiplier with Linearization and Compensation
[IEEE] 2026-3-27 | A Reinforcement Learning Framework for UAV Path Planning Automation in Complex Fire and Rescue Environments
[ACM] 2026-3-27 | Invited: From Evolutionary Algorithms to Analog Design, Electromigration, 3D Integration, and Beyond: On Jens Lienig's Contributions to Advance Physical Design
[IEEE] 2026-3-27 | Activation Analyses in Support of the Integration of the ITER Diagnostic Equatorial Ports
[IEEE] 2026-3-27 | Effects of Voltage Increase Rate on Paschen’s Curve in Air
[IEEE] 2026-3-27 | Advanced Optimization of THz Biosensor for Breast Cancer Detection Through Machine Learning
[IEEE] 2026-3-27 | Leveraging AI Agents for Autonomous Networks: A Reference Architecture and Empirical Studies
[IEEE] 2026-3-27 | CHAINOPT: Heterogeneity-aware Blockchain Performance Optimization for Dynamic Workloads
[IEEE] 2026-3-27 | 2026 International Conference on Medical Microwave Imaging Applications (ICMWIA)
[IEEE] 2026-3-27 | Research on an Intelligent Optimization Algorithm for Indoor Space Design Based on Deep Learning
[IEEE] 2026-3-27 | High-Slot-Loaded Two-Element Patch Antenna Arrays: A Performance Comparison for 5G Applications
[IEEE] 2026-3-27 | Early Damage Detection in Bridges Using Magnetostrictive Sensors Under Traffic Loading Scenarios
[IEEE] 2026-3-27 | Comparative Study on Power Converter Topologies for Multilevel Converter-Based Sonar Power Amplifiers
[IEEE] 2026-3-27 | DrinkSync: A Sustainable, Universally Compatible Hydration Tracking System
[IEEE] 2026-3-27 | Research on audio signal preprocessing based on neural network
[IEEE] 2026-3-27 | AI-Driven Optimization of EV Battery Charging
[IEEE] 2026-3-27 | Efficient Distributed TDMA Scheduling and Graph Construction in Heterogeneous Wireless Sensor Networks with Enhanced Aggregation and Energy Optimizations
[IEEE] 2026-3-27 | Intelligent EV Charging Algorithm
[IEEE] 2026-3-27 | Research on Complex Multi Objective Systems Based on Intelligent Feedback Optimization Framework and Improved Genetic Algorithm
[IEEE] 2026-3-27 | What Are They Asking? Analyzing Multilingual Student Questions to ChatGPT in Computer Science Education
[IEEE] 2026-3-27 | Spoken Language Evaluation Through Aienhanced Pronunciation Feedback Systems
[IEEE] 2026-3-27 | Method for Error State Assessment of Current Transformers Based on Multimodal Global-Local Fusion Network
[IEEE] 2026-3-27 | Target Detection using Optimized AIRBORNE SAR System in Stripmap mode
[IEEE] 2026-3-27 | Application of Multimodal Artificial Intelligence Fusion Model in Individualized Prediction of Depression
[IEEE] 2026-3-27 | Electro-Thermal Coupling Modelling for Liquid Metal Battery Based on Equivalent Circuit Model
[IEEE] 2026-3-27 | An Intelligent Online Monitoring Method Based on the VQ-VAE Model
[IEEE] 2026-3-27 | Detection of Low Attachment and High Use of Safety Ropes Based on Mmpose+Qwen2-VL Model
[IEEE] 2026-3-27 | A Review of Electrification Challenges with e-Aircraft for Consumer Potential Use
[IEEE] 2026-3-27 | Copper Price Forecasting of COMEX Copper Based on Machine Learning: A Comparative Study of LSTM, ARIMA, and SVR Models
[IEEE] 2026-3-27 | Design of Low Voltage Electrical Cabinet for New Energy Vehicle Workshop Based on EPLAN PRO PANEL
[IEEE] 2026-3-27 | Flip-flop resource expansion method for FPGAs using latches created on look-up tables
[IEEE] 2026-3-27 | Research on Lightweight Transformer for Hybrid Force-Position Control of Flexible Manipulators
[IEEE] 2026-3-27 | Signal Propagation and Energy Consumption in Multiband Wi-Fi: A Case Study on Mobile Devices
[IEEE] 2026-3-27 | SkyShield: A Smart Drone Swarm for Real-Time UAV Identification and Threat Mitigation
[IEEE] 2026-3-27 | Adaptive Semantic Gates for Reliable Multi-Agent LLMs
[IEEE] 2026-3-27 | A Synergistic Cyber-Physical Framework for Motorcyclist Safety: Integrating Automated SOS, Heads-Up Navigation, and Hands-Free Communication
[IEEE] 2026-3-27 | Integrated Blockchain and Machine Learning Framework for Polystyrene Waste Traceability
[IEEE] 2026-3-27 | Real-Time Controller Implementation Using dSPACE RTI1202 and MATLAB/Simulink: Architecture, Integration, and Applications
[IEEE] 2026-3-27 | DiffCNN: A Neural Network-based Diffusion Model for Identification and Quantification of Cracks in Concrete Bridges
[IEEE] 2026-3-27 | Emotion-Aware Smart Home Automation Based on the eBICA Model
[IEEE] 2026-3-27 | Dendritic-Spine-Inspired Structural Optimization in a Lightweight Bowel Sound Analysis System for On-Device Colorectal Cancer Screening
[IEEE] 2026-3-27 | Decision Making Assistance for Electricity Spot Market Based on CNN-XGBoost Integrated Algorithm
[IEEE] 2026-3-27 | Boost-Integrated Dual-Bridge llc Resonant Converter with Fault-Tolerant Capability for Battery Charging Applications
[IEEE] 2026-3-27 | Research on Robust Day-Ahead Dispatch for Dual-Type Demand Response in New Power Systems
[IEEE] 2026-3-27 | Fault Branch Location Method for Substation Grounding Grid Based on ICSA Algorithm
[IEEE] 2026-3-27 | Construction and Application of a Digital Platform for Carbon Footprint of Electrical Equipment Based on Time-sharing Dynamic Power Carbon Emission Factors
[IEEE] 2026-3-27 | Research on Energy Management Method for Hydrogen-Powered Intercity EMU Cluster Power System
[IEEE] 2026-3-27 | MPC-Based Six-Switch MFC Using Novel Bobcat Optimized Cascaded Control in a Grid-Interactive Micro Grid Operation
[IEEE] 2026-3-27 | LLM-Based Bitrate Selection Method for CMR-Supported Audio Codec
[IEEE] 2026-3-27 | Image Recognition of Textile Healing Effect Based on Transformer-LSTM
[IEEE] 2026-3-27 | Conference Organization
[ACM] 2026-3-27 | GrandPlan: Differentiable, Simultaneous Top-Level Floorplanning and Partition-Level Cell Placement for Large-Scale IP-Cores
[ACM] 2026-3-27 | A Graph-Based Approach for Optimizing Pin Access in Nanosheet FET Standard Cell Library Synthesis
[ACM] 2026-3-27 | CHASE: A
                    <u>CH</u>
                    iplet
                    <u>A</u>
                    rchitecture
                    <u>S</u>
                    imulation and
                    <u>E</u>
                    xploration Framework with Decoupled Multi-Fidelity Optimization
[IEEE] 2026-3-27 | ICCE 2026 List Reviewer Page
[IEEE] 2026-3-27 | QW-HHL: A Quantum Computer Amenable General Matrix Equation Solver
[IEEE] 2026-3-27 | Multi-Horizon Direction of Arrival Forecasting with Temporal Fusion Transformers: A Time-Series Learning Approach to Target Tracking
[IEEE] 2026-3-27 | FCMD: Fine-Grained Text-Driven Cohesive Motion Generation With Diffusion Model_supp1-3677594.mp4
[IEEE] 2026-3-27 | FWFR-SLAM: A Robust Monocular SLAM System for Flapping-Wing Flying Robots_supp1-3676200.mp4
[IEEE] 2026-3-27 | Machine Learning-Aided Latency Prediction in Packet-Switched Xhaul Networks
[IEEE] 2026-3-27 | Clutter-Aware Integrated Sensing and Communication: Models, Methods, and Future Directions
[IEEE] 2026-3-27 | A Novel Magnetic Integrated Three-Phase EMI Filter for Differential-Mode and Common-Mode Interference Suppression in PMSM Drive Systems
[IEEE] 2026-3-27 | Resilient Current Sampling Method With Fault- Tolerant Capability for Dual Three-Phase PMSM
[IEEE] 2026-3-27 | Inflation forecasting in Thailand: Bayesian Shrinkage and Factor Models in a small open economy
[IEEE] 2026-3-27 | A comprehensive study on the quality of commercially available medium voltage surge arresters
[IEEE] 2026-3-27 | Large Area Micro-Transfer-Printed TFLN-on-SiN Racetrack Resonators for Nonlinear Photonics
[IEEE] 2026-3-27 | Type-II Fuzzy Lion Optimization with Chaotic Map-Enhanced Relevance Vector Machine (T2-FLOCM-RVM) for Chronic Kidney Disease Prediction
[IEEE] 2026-3-27 | Road Sign Classification with Denoising Pipeline Approach
[IEEE] 2026-3-27 | Research on Cable Anomaly Early Warning Technology Based on Multi-Source Data Fusion
[IEEE] 2026-3-27 | A Note on Quantifying Mogul Skiers’ Turning Movements Based on Pose Estimation
[IEEE] 2026-3-27 | Delta-Attention-Based Deep Learning Model for Diabetes Prediction in Consumer Health Monitoring Systems
[IEEE] 2026-3-27 | Research on a Dynamic Priority Allocation Algorithm for Interactive and Collaborative Control of Flexible Resources in Cross-Regional Power Grids
[IEEE] 2026-3-27 | Multi Objective Optimization Scheduling and Operation Control Method for Distributed Energy Storage Power Plants Based on Reinforcement Learning
[IEEE] 2026-3-27 | D-FINE with Sparse Attention and Grid Mask for Power Equipment Detection
[IEEE] 2026-3-27 | Feature Mining Method for Distributed PV Performance Fluctuation Based on Multi-Scale Decomposition
[IEEE] 2026-3-27 | Mitigating Renewable Fluctuations via Price-Driven EV Coordination: A Microgrid Case Study
[IEEE] 2026-3-27 | Spatiotemporal Wind Power Forecasting across Multiple Wind Farms Using GAT-BiLSTM with Online Adaptation
[IEEE] 2026-3-27 | DCS-Oriented Optimal Control for Frequency Regulation of a Steam-Molten-Salt Integrated Unit
[IEEE] 2026-3-27 | Research on Nonlinear Control System of High Voltage Electrical Equipment Incorporating Fuzzy Adaptive Algorithm
[IEEE] 2026-3-27 | Thermal Image-Based Bed Posture Recognition and Bed-Exit Detection System with Electronic Activity Log
[IEEE] 2026-3-27 | Stabilizing Reinforcement Learning for Systems with Disturbances Based on Youla-Kucera Prameterization
[IEEE] 2026-3-27 | DDoS Attack Detection using Machine Learning Trained Models
[IEEE] 2026-3-27 | AI-Powered Review Analyzer for Mobile Applications
[IEEE] 2026-3-27 | Hybrid Convolutional Autoencoder with Spiking Neural Network-Based Compression Approach with Binary Spike Latent for Telemedicine and Archival
[IEEE] 2026-3-27 | Algorithm Research on an Agricultural Environmental Intelligent Decision Support System
[IEEE] 2026-3-27 | Generative AI Based Network Element Configuration Generator Using Large Language Models
[IEEE] 2026-3-27 | Emerging Trends in Malware Detection: The Role of Generative AI in Cyber Defense
[IEEE] 2026-3-27 | Grid Forming Inverters (GFM) for Active Front End (AFE) Variable Frequency Drives (VFDs)
[IEEE] 2026-3-27 | State Estimation based Indoor Localization System for Complex Indoor Environments Using UWB
[IEEE] 2026-3-27 | Implementation and Evaluation of a Zero-Trust-Based IoT security framework for Autonomous Mobile Robots
[IEEE] 2026-3-27 | Selection and Simulation Verification of Transformer Dc Blocking Devices Based on Transient Fault Conditions
[IEEE] 2026-3-27 | Versatile LLC Converter Based Multi-Input Multi-Output Bidirectional Onboard Charger for EV Battery and APM
[IEEE] 2026-3-27 | A Multi-modal Emotion Recognition Algorithm Based on Multi-scale Temporal Attention
[IEEE] 2026-3-27 | Power Demand Forecasting and Decision Optimization Technology Based on Human-in-the-Loop
[IEEE] 2026-3-27 | Design of Multi-Output Power Supply System for Distribution
[IEEE] 2026-3-27 | Discrimination Method of Aging Degree of Oil Paper Insulation Based on Raman Spectroscopy and Machine Learning Interpretable Model
[IEEE] 2026-3-27 | Linear decomposed Image processing in FPGA
[IEEE] 2026-3-27 | Evaluating the Influence of Machine Learning on Accounting Practices and Tax Compliance
[IEEE] 2026-3-27 | A Novel Approach for Dc Balancing in Three-Level Neutral Point Clamped Inverter Based Statcom
[IEEE] 2026-3-27 | Research on Traffic Sign Recognition Algorithm Based on Deep Learning
[IEEE] 2026-3-27 | A Method and System for Generating Safety Measure Tickets Based on Relay Protection Secondary Drawings
[IEEE] 2026-3-27 | Deep Learning-Based Gas Well Gas Recovery Prediction Study
[IEEE] 2026-3-27 | Quantifying the Economic Value of Electric Vehicles User Experience via Conjoint Analysis
[IEEE] 2026-3-27 | Optimisation Study of Oil Well Production Prediction Method Based on Sparrow Search and Gradient Boosting
[IEEE] 2026-3-27 | Enhancing Hybrid Detection in Network Security: An Advanced IDS/IPS Framework Using Signature-Based Detection,Machine Learning and VirusTotal
[IEEE] 2026-3-27 | Investigation of Longitudinal-Mode Guided Wave Propagation in Corrugated Aluminum Sheaths of High-Voltage Cables
[IEEE] 2026-3-27 | Big Data Analysis of Student Mental Health Based on Artificial Intelligence and Feature Extraction
[IEEE] 2026-3-27 | Design and Experimental Study of a Dance Imitation Scoring System Based on Computer Vision
[IEEE] 2026-3-27 | A Dynamic Compensated Gradient-Based Recurrent Neural Network Model for Dynamic Tensor Inversion in Time-Varying Systems
[IEEE] 2026-3-27 | A Methodology for Femm-Simulink Co-Simulation for Accurate Simulation of High Frequency Magnetics
[IEEE] 2026-3-27 | Research on Real-Time Straw Density and Morphology Detection and Adaptive Baling Control Algorithm Based on Machine Vision
[IEEE] 2026-3-27 | IoT-Assisted Hybrid Multiport Converter for Battery Swapping Charging Station with V2G Capability
[IEEE] 2026-3-27 | Research on Photovoltaic Power Prediction Based on Multi-Scale Feature Fusion and Cycle-Enhanced Transformer
[IEEE] 2026-3-27 | AeroRescue-AI: A Reinforcement-Driven and Risk-Adaptive UAV Framework for Intelligent Search and Rescue Operations
[IEEE] 2026-3-27 | Si CMOS Electronic Sensors for Terahertz Biomedical Characterization
[IEEE] 2026-3-27 | QuickCut: A Speech and Gesture Driven Framework for Automated Video Editing
[IEEE] 2026-3-27 | Optimizing the Thermal Performance of Oilimmersed Transformers Through Transverse Duct Width Design
[IEEE] 2026-3-27 | MARTO: A Modular Multi-Agent Framework for Adaptive Botnet Detection, Reinforcement-Based Mitigation, Autonomous Rule Generation with Embedded Software Testing
[IEEE] 2026-3-27 | Design and Performance Comparison of Three-Loop Pid Control Strategy for 7-Dof Manipulator Based on Particle Swarm Optimization
[IEEE] 2026-3-27 | Brain Tumor Detection Using Quantum Convolution Neural Networks
[ACM] 2026-3-28 | Arabic-based Agent for Authorship Style Transfer
[IEEE] 2026-3-27 | Research on the Working Condition Recognition Technology of Rod Pumping System Based on Deep Learning
[IEEE] 2026-3-27 | Energy-Accuracy Tradeoff in Energy-Aware YOLOv11 Optimization for Edge AI
[IEEE] 2026-3-27 | AI-Enhanced Predictive Maintenance of BLDC Motors Using Machine Learning for Fault Diagnosis and Prevention
[IEEE] 2026-3-27 | Contextual Text Analysis for Assessing Reading Comprehension in Digital Education Tools
[IEEE] 2026-3-27 | Design and Implementation of a Lightweight Intrusion Detection System for Controller Area Network Communication in Automotive Cybersecurity
[IEEE] 2026-3-27 | Research on Low Frequency Load Reduction of Distributed Photovoltaic Proportion Integrated Grid
[IEEE] 2026-3-27 | Thermal Performance Study of a Lithium-Ion Battery Based on a Bionic Fishbone-Shaped Flow Channel Liquid Cooling Plate
[IEEE] 2026-3-27 | Deep Learning Architectures for Skin Lesion Classification: A Comparative Study of CNN, Transformer and Hybrid Models
[IEEE] 2026-3-27 | Cracks Under the Lens of AI: A Deep Learning Review for Smarter Concrete Inspection
[IEEE] 2026-3-27 | Swin-Transformer-Based Atmospheric Turbulence Compensator for Vortex Beams
[IEEE] 2026-3-27 | “Smart Railway Crossing Gate Automation System with AI Human Detection”
[IEEE] 2026-3-27 | OpenMMLab-Based Road Surface Crack Detection with Faster R-CNN, YOLOv5s and YOLOv7
[IEEE] 2026-3-27 | Explainable AI (XAI) for Cyber Threat Intelligence and Decision Making
[IEEE] 2026-3-27 | Research on Information Security Protection in Power Scheduling Networks Based on Distributed Intrusion Tolerance Technology
[IEEE] 2026-3-27 | Improving Fraud Detection in Banking with Machine Learning Innovations to Secure Financial Transactions
[IEEE] 2026-3-27 | Research on AI Indoor Smoke Warning Technology Based on Image Recognition
[IEEE] 2026-3-27 | Estimating Snapping Shrimps Biovolume: An Improved Simulation-Based Approach
[IEEE] 2026-3-27 | Short-Term Load Forecasting During Pandemic: The Cambodia Case Study
[IEEE] 2026-3-27 | Neural Text Generation Model for Personalized Storytelling in Primary Education
[IEEE] 2026-3-27 | Thickness Measurement of Silicon Carbide Epitaxial Layer Based on Savitzky-Golay Filtering
[IEEE] 2026-3-27 | A Hybrid Heterogeneous CNN-LSTM Ensemble Framework for Sentiment Classification via Meta-Learning
[IEEE] 2026-3-27 | A Method for Separating Temperature in Electric Drive Systems Considering Torque-Temperature Time Delay and Adaptive Robust Regression
[IEEE] 2026-3-27 | Valuation of Carbon Emission Allowances Based on an Improved PCV Model: Low-Carbon Technology Parameterization and Engineering Validation
[IEEE] 2026-3-27 | Design of 60 Steel Rail Surface Damage Recognition and Detection System Based on Deep Learning
[IEEE] 2026-3-27 | Adaptive and Stress-Responsive Wearable Self-Defense System with Concealed Multi-Modal Actuation for Women Safety
[IEEE] 2026-3-27 | Adaptive Graph-Based Risk Scoring for Real-Time Instant Payment Systems
[IEEE] 2026-3-27 | Generation-Side Primary Frequency Control Strategy of Compressed Air Energy Storage
[IEEE] 2026-3-27 | Research on State Identification and Control Signal Fusion Methods for Elevating Platforms of Substation Equipment Aimed at Intelligent Operation and Maintenance
[IEEE] 2026-3-27 | A New Control Scheme for Adjustable Speed Drives Using 3-Phase 2-Level Cascaded Boost Inverter
[IEEE] 2026-3-27 | Research on the quality and efficiency evaluation model of power full business scheduling based on multi-dimensional feature fusion
[IEEE] 2026-3-27 | A Two-Stage Robust Optimization Framework for Dynamic Aggregation of Virtual Power Plant Feasible Power Regions
[IEEE] 2026-3-27 | Face Liveness Detection Against Spoofing Attacks
[IEEE] 2026-3-27 | AI-Driven Precision Medicine: From Genomic Variant Detection to Explainable and Ethical Clinical Decision Support
[IEEE] 2026-3-27 | Cross-Site Evaluation of Private 5G LANs Interconnected via Public WAN for Synchronised Immersive Applications: Connecting Fan Zones
[IEEE] 2026-3-27 | 750kV Tank Circuit Breaker Closing Resistor Component Structural Design Optimization Simulation Analysis
[IEEE] 2026-3-27 | Performance Evolution of Enhanced Quadratic-Gain Converter with Voltage Multiplier and Reduced Devices Voltage Stress for Solar PV Integration
[IEEE] 2026-3-27 | C-HIL Validation of Reduced Device Stress Multilevel PFC Rectifier for EV Charging Application Using OPAL-RT
[ACM] 2026-3-27 | A Feature-Driven Analysis of Global Cybersecurity Regulations and their Impact on Safeguarding Data Value
[IEEE] 2026-3-27 | Author Index
[IEEE] 2026-3-27 | Evaluation of a 3D-Printed Capacitor Applied to the Circuit Line of a 10/100 Mbps Ethernet PCB
[IEEE] 2026-3-27 | Design and Characterization of a Novel MOS Photodetector for Chemiluminescence
[IEEE] 2026-3-27 | Research on the Design Method of Coil for the Cos-theta High-Field Low-Temperature Superconducting Magnet With Small Round Superconducting Cable
[IEEE] 2026-3-27 | 75dBm EIRP W-band Electronic 2-D Beam-steering Antenna Integrated with a GaAs Array Transmitter via Quasi-Optical Spatial Power Combining
[IEEE] 2026-3-27 | Inter-Agent Beliefs for Learning to Communicate in Large-Scale Multi-Robot Visual Object Search_supp3-3677944.mp4
[IEEE] 2026-3-27 | Index Modulation for Streaming QR Codes
[IEEE] 2026-3-27 | M-AuRA: Mutual Authentication and Remote Attestation over EDHOC
[IEEE] 2026-3-27 | Joint Beamforming and Reflection Design for Hardware-Impaired MIMO-ISABC Systems
[IEEE] 2026-3-27 | A Closed-Loop Adaptive Gate Delay Control for Fast Dynamic Voltage Balancing of Series-Connected SiC MOSFETs
[IEEE] 2026-3-27 | One Trigger, Multiple Victims: Clean-Label Neighborhood Backdoor Attacks on Graph Neural Networks
[IEEE] 2026-3-27 | ELEXCOM 2025 Cover Page
[ACM] 2026-3-28 | Breaking the Scalability Barrier of Content Addressable Memories: A Probabilistic Alternative for Large-Key Associative Search
[ACM] 2026-3-28 | AI4DSE: Leveraging Dynamic Graph Neural Networks and Large Language Models for Optimizing High-Level Synthesis Design Space Exploration
[IEEE] 2026-3-27 | Proceedings
[IEEE] 2026-3-27 | Acknowledgements ICTCT 2025
[IEEE] 2026-3-27 | Plenary Keynotes &amp; Tutorials
[IEEE] 2026-3-27 | Guest Editorial—Selected Papers From the 2025 IEEE International Symposium on Circuits and Systems
[IEEE] 2026-3-27 | LandScope: Embodied Interaction and Situational Experience of Chinese Landscape Painting in VR-Based System
[IEEE] 2026-3-27 | Advances in Hybrid Modular Climbing Robots: Design Principles and Refinement Strategies_supp1-3678003.mp4
[IEEE] 2026-3-27 | Effects of fast polarization perturbation on self-starting pathways of a mode-locked fiber laser
[IEEE] 2026-3-27 | Table of Contents
[IEEE] 2026-3-27 | The Use of Value Propositions in DevOps Software Product Management
[IEEE] 2026-3-27 | Towards an FEM Approach to Radial Resistance Prediction in Solder-Impregnated HTS Coils
[IEEE] 2026-3-27 | Active Style-Content Dual-Branch Domain Adaptation for Semi-Supervised SAR Object Detection
[IEEE] 2026-3-27 | ARION: Aggregated Routing for In-Order Optimized Network Load Balancing in Data Centers
[IEEE] 2026-3-27 | Research on Intelligent Agent and Automated Decision Support System for Distribution Network Planning Based on Large Language Models
[IEEE] 2026-3-27 | SSNeT: A Lightweight Residual Network for Single Image Super Resolution
[IEEE] 2026-3-27 | A Health Status Assessment Method for Ultra High Voltage GIS Based on Data and Guidelines
[IEEE] 2026-3-27 | Research on Intelligent Waste Classification Detection Based on an Enhanced ResNet50
[IEEE] 2026-3-27 | Development and Engineering Realization of a Multi-Mode Control System for an Air–Sea Cross-Medium UAV
[IEEE] 2026-3-27 | Smart Community Microgrid Energy Planning Strategy Based on Improved Grey Wolf Algorithm
[IEEE] 2026-3-27 | A Deep Learning-Based Intelligent Detection Algorithm for Athlete Movement Recognition
[IEEE] 2026-3-27 | GAN-Based Quantization Table Optimization for Enhanced JPEG Image Compression
[IEEE] 2026-3-27 | Machine Vision Technology Empowers AI-Powered Ship Target Recognition Algorithms for Maritime Navigation
[IEEE] 2026-3-27 | PR-EWC: Period Replay and EWC for Class-Incremental Maritime Vessel Detection
[IEEE] 2026-3-27 | Differential Capacitance-Based Flow Transducer Using Dual Semicylindrical Sensors at Pipe Constriction
