[2026-08-17 22:23:35] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-16
正在获取论文...
[ACM] 2026-8-17 | Introduction to the Special Section on USENIX FAST 2025
[IEEE] 2026-8-17 | PRED: Probabilistic Routing Expert Diffusion for High-Level Design of Sigma-Delta Modulators
[IEEE] 2026-8-17 | Private Browsing Under the Microscope: Residual Artifacts in Firefox
[IEEE] 2026-8-17 | Optimization of Marine Propellers Efficiency Using Metaheuristics: A Comparative Study
[IEEE] 2026-8-17 | Reinforcement Learning-Enhanced Sliding Mode Control for Robust SCARA Robot Trajectory Tracking
[IEEE] 2026-8-17 | Machine-Learning-Aided Screening of Heat-Network Renewal Pressure in Kazakhstan's CHP-Linked Power System during the Green-Economy Transition
[IEEE] 2026-8-17 | Stepwise Final-Approach Control for Electromagnetically Constrained Underwater Docking
[IEEE] 2026-8-17 | Dual-Beam Dual-Circularly Polarized Leaky Elliptical Waveguide Antenna With 2×2 MIMO Capability
[IEEE] 2026-8-17 | Deep Learning for Stroke Mortality Prediction in eICU: A Dual-Tower Transformer Framework
[IEEE] 2026-8-17 | Road Type Prediction System Using Machine Learning Method Based on Voltage and Current Data of Steering DC Motor
[IEEE] 2026-8-17 | Workload-Aware Early-Stage Power Delivery Network Optimization via Architectural Power Traces
[IEEE] 2026-8-17 | Developing a Framework for Analysis of WPA3 and Router Attacks
[IEEE] 2026-8-17 | Hybrid STSMC Observer and AI-Based Anomaly Detection in Smart Grids with EV Integration
[IEEE] 2026-8-17 | Bamboo Slips Scribe Verification Based on Multi-Scale Dynamic Routing and Dual-Sparse Channel Attention
[IEEE] 2026-8-17 | LLM-Driven Resource Optimization for Multi-Cell Secure ISAC Systems
[IEEE] 2026-8-17 | A Comparative Study of Bayesian Contextual Bandits for Real-Time Warehouse Sorter Optimization
[IEEE] 2026-8-17 | Electro-Optic Modulator Control of Multi-Mode Photonic Processing Units for Optical Quantum Computing
[IEEE] 2026-8-17 | GCON 2026 Breaker Page
[IEEE] 2026-8-17 | A Novel Electromagnetic Flexible Clamping Mechanism for Vascular Interventional Surgery Robot
[IEEE] 2026-8-17 | Task-Oriented Multi-Objective Optimization of a Redundant Manipulator for TBM Cutter Replacement
[IEEE] 2026-8-17 | Ship Collision Avoidance Behavior Extraction Based on AIS Data and Attention Mechanism
[IEEE] 2026-8-17 | A Credibility-Aware Multi-Source Decision-Level Fusion Framework for Performance Evaluation of Submersible Pumps
[IEEE] 2026-8-17 | A Novel 1650Nm Tunable DFB Laser Featuring a Dual-electrode Structure
[IEEE] 2026-8-17 | Design and Evaluation of A Hybrid-Actuated Floating-Based Upper-Limb Rehabilitation Robot
[IEEE] 2026-8-17 | Improvement in Cutting Performance and Surface Quality of TC18 Titanium Alloy via Ultrasonic-Assisted Vibration Peripheral Milling under Dry Cutting Conditions
[IEEE] 2026-8-17 | Novel Unipolar Stacked FET (USFET) Architecture Enabled by Tri-Layer Dummy Gate, Quasi-GAA SD Process, and Interconnect Innovations
[IEEE] 2026-8-17 | Causally Explainable and Responsible AI: Safety-Critical Intelligent Transportation Systems
[IEEE] 2026-8-17 | Dynamic Path Planning Based on Direction-Aware Time-Varying Risk Field for Mobile Robots
[IEEE] 2026-8-17 | Modeling and Side-Channel Attack Resistant VGSOT-MTJ PUF Using ML and DL Analysis
[IEEE] 2026-8-17 | Research on a Rule-Driven Diagnosis and Automatic Refactoring Framework for IEC 61131-3 XML Control Programs
[IEEE] 2026-8-17 | Investigation of Deep Learning Image Processing Algorithms for Real-Time Video Analytics
[IEEE] 2026-8-17 | Digitally Integrated Modular DWS-WEDM Compound Wire-Cutting System with Active Tension Control
[IEEE] 2026-8-17 | Gesture Recognition Using Tapered Double C-Shaped Polymer Optical Fiber for Multi-Scenario Human-Computer Interaction_supp1-3724049.mp4
[IEEE] 2026-8-17 | An IoT-Enabled Smart MPPT-Controlled Photovoltaic-Solid Polymer Electrolyte System for Real-Time Optimized Hydrogen Production
[IEEE] 2026-8-17 | Comments by the Editors
[IEEE] 2026-8-17 | Decentralized Edge Learning Under Weak Smoothness: A Normalized Random Walk Gradient Approach
[IEEE] 2026-8-17 | light-YOLOv26: A Lightweight Object Detector with Enhanced Feature Aggregation for Breast Lesions
[IEEE] 2026-8-17 | LLM-GRU-GAN: a Multi-Modal Adversarial Framework for Transactional Fraud Detection
[IEEE] 2026-8-17 | GenAI for Reproducibility: Auto-Benchmarking Legacy (Hardware) Research – A Perspective
[IEEE] 2026-8-17 | Exact Fringe Capacitance Modeling via Schwarz–Christoffel Mapping: A Kirchhoff Benchmark for Parallel Plates
[IEEE] 2026-8-17 | Mobile Agent approach to search for distributed information using fuzzy logic set
[IEEE] 2026-8-17 | The Joys, Challenges, and Value of Academic Collaboration: Experiences and insights from a personal journey. [Young Professionals]
[IEEE] 2026-8-17 | EchoST-SSL: Self-Supervised Spatiotemporal Representation Learning for Label-Efficient Processing of Echosounder Data_supp1-3720358.pdf
[IEEE] 2026-8-17 | Fault Detectability for Learning-Augmented LPV Systems
[IEEE] 2026-8-17 | A Study on Laser SLAM Technology and Interactive Guided Vehicle Systems in Complex Campus Environments
[IEEE] 2026-8-17 | Neighborhood difference-based passive localization with automatic annotation in visible light sensing
[IEEE] 2026-8-17 | GR-Net: Robust Gravitation &amp; Repulsion Fusion Network for End-to-End Audio-Visual Speech Recognition
[IEEE] 2026-8-17 | An Ultra-Wideband Quad-Mode-Composite Complementary Source Antenna Array for B5G/6G Millimeter-Wave Applications
[ACM] 2026-8-17 | Assertions for Free: Transferring Invariants from Algorithm to Implementation Proofs (Functional Pearl)
[ACM] 2026-8-17 | Set-Theoretic Types for Erlang in Practice (Experience Report)
[IEEE] 2026-8-17 | Spatio-Temporal Tube Self-Attention Mechanism for Quality Assessment of Skiing Actions
[IEEE] 2026-8-17 | A Hybrid DenseNet–Vision Transformer Framework for Diabetic Retinopathy Classification
[IEEE] 2026-8-17 | Open-Source Intrusion Detection and Prevention System for Small Home and Office Networks Using Suricata and OpenCanary on Raspberry Pi
[IEEE] 2026-8-17 | Ergonomics-Oriented Optimization of Master Console Layout and Manipulator Configuration for Minimally Invasive Surgical Robots
[IEEE] 2026-8-17 | Development and Evaluation of a Posture Monitoring and Feedback System for Improving Posture Awareness and Reducing Sedentary Behavior
[IEEE] 2026-8-17 | Implementation of Ant Colony Optimization for UAV Waypoint Ordering Optimization with CoppeliaSim Simulation Validation
[IEEE] 2026-8-17 | Structural Adaptation Risk in AI-Enabled Security Systems: Framework for Architecture-Centric Control
[IEEE] 2026-8-17 | Hyperparameter Impact Evaluation on LSTM Forecasting Model for Apparent Power Consumption Monitoring in Injection Molding
[IEEE] 2026-8-17 | Towards Augmented Security Operations Centers: A Cognitive State-Aware Approach for Proactive Analyst Fatigue Monitoring
[IEEE] 2026-8-17 | An Energy-efficient TSO dual-V
                    <sub>dd</sub>
                    22 nm 8T MSD XOR Gate for Gray-to-Binary Encoder Design
[IEEE] 2026-8-17 | A Group Denoising Capsule Network for Mechanical Fault Diagnosis
[IEEE] 2026-8-17 | UAV-Driven Infrastructural Crack Detection on Concrete Surfaces and Severity Classification
[IEEE] 2026-8-17 | Vision-Based Predictive Control for Dual-Arm Nonprehensile Transportation
[IEEE] 2026-8-17 | Local Stiffness Modeling Method for Thin-Walled Blades Based on Abaqus Secondary Development
[IEEE] 2026-8-17 | A Multimodal Model for Classifying Thyroid Nodules by Integrating Ultrasound Images and Clinical Data
[IEEE] 2026-8-17 | Evaluating AI Implementation in Government Agencies: A Project Management Approach
[IEEE] 2026-8-17 | Hydrodynamic Study of a Coaxial Propulsion System with a Cycloidal-Helical Twin-Screw Configuration
[ACM] 2026-8-17 | Efficient Discovery of Motif Transition Process for Large-Scale Temporal Graphs
[IEEE] 2026-8-17 | Incremental Learning Method for Intelligent Identification of Asphalt Pavement Distress Based on YOLOv11
[IEEE] 2026-8-17 | Scalable Quantum-Classical DFT Embedding for NISQ Molecular Simulation
[IEEE] 2026-8-17 | Phys-LPS: A Physics-Aware TinyML Framework for Latency-Resilient Threat Detection in Smart Grids
[IEEE] 2026-8-17 | Fixed-Time Synchronization of Networked Neutral-Type Filippov Systems With Application to RLC Transmission Line Models
[IEEE] 2026-8-17 | Fast Multilevel Domain-Decomposition Scheme in Frequency-Domain TLM Method
[IEEE] 2026-8-17 | First EurAAP Small Antenna Super-Gain Challenge
[IEEE] 2026-8-17 | ROPSCON: Linear BFT From Schnorr Threshold Signatures
[IEEE] 2026-8-17 | A Probabilistic Framework for Early-Stage Scalability Analysis in the Software Development Life Cycle
[IEEE] 2026-8-17 | HARMONY: Hybrid Aggregation and Reputation Mechanism for Cooperative Federated Survival Analysis
[IEEE] 2026-8-17 | Adaptive Variational Mode Decomposition Algorithm Based on PDE Enhancement and its Application
[IEEE] 2026-8-17 | Repurposing the
                    <i>Escherichia coli</i>
                    HU as a Universal dsDNA Amplicon Detection Tool
[IEEE] 2026-8-17 | Title: Cybersecurity Resilience in SmartCities: A Critical Analysis of IoT Protocols
[IEEE] 2026-8-17 | A Three-Objective Optimization for Fuel Cell-Metal Hydride System Cold Start Using MOPSO Algorithm
[IEEE] 2026-8-17 | Data-Driven Digital Twin Framework for Predictive Monitoring of Industrial Systems
[IEEE] 2026-8-17 | Anomaly Detection in Engineering Systems Using Unsupervised Machine Learning Approaches: A Systematic Comparative Study
[IEEE] 2026-8-17 | Real-Time lidar-IMU Odometry for Wheeled Robots via 3D-to-2D Feature Projection
[IEEE] 2026-8-17 | Integrated Multi-Layer Cyber-Physical Defense for Resource-Constrained Quadruped Robots
[IEEE] 2026-8-17 | Comparative Reliability of Chip-Off and Logical Methods in SSD Forensic Analysis
[IEEE] 2026-8-17 | Self-Triggered Model Predictive Control for a 6-DOF Robotic Manipulator: Niryo NED-2
[IEEE] 2026-8-17 | Enhancing Encrypted IoT Traffic Classification with Directional-Context and Masked Autoencoder
[IEEE] 2026-8-17 | SPLNet: Self-Distilled Progressive Learning Network for Deformable Medical Image Registration
[IEEE] 2026-8-17 | Joint Position, Rotation, and Beamforming Optimization for 6DMA Base Stations Assisted by RIS
[IEEE] 2026-8-17 | Blind Deconvolution via Game-Theoretic Framework: Adaptive TV-NL and Fractional-Order Derivatives
[IEEE] 2026-8-17 | YOLO-EA: A Railway Clearance Foreign Object Intrusion Detection Method Based on YOLO11n
[IEEE] 2026-8-17 | Weak Dielectrophoretic Force Measurement Using DEP-Driven Drift of a Confined Micro-Air Bubble in a Liquid-Filled Hollow-Core Fiber
[IEEE] 2026-8-17 | Step Wear Analysis Based on Improved Computer Vision and Mathematical Modeling for Infrastructure Condition Assessment
[IEEE] 2026-8-17 | Robust Sensorless Diagnosis of Induction-Generator Wind Energy Systems Using Online Stator-Resistance Estimation
[IEEE] 2026-8-17 | Robust Object Detection via GAN-Based Data Augmentation
[IEEE] 2026-8-17 | LSCD-LQE-YOLO: Channel-Attended Features and Quality-Weighted Localization for Fine-Grained Oriented Aircraft Detection in Optical Remote Sensing Imagery
[IEEE] 2026-8-17 | Path Planning for Mobile Robots Based on the Integration of Improved A* and DWA
[IEEE] 2026-8-17 | Detection and Mitigation of Data Poisoning in Financial LLMs Using a Hybrid Static-Dynamic Framework
[IEEE] 2026-8-17 | An Early Warning System for Systemic Cyber Risk in Banking Sectors Using Machine Learning and Network Analytics
[IEEE] 2026-8-17 | Energy-Efficient Autonomous Robot Navigation Using a BWO-Optimized Energy A-Star and Fuzzy-PID Control
[IEEE] 2026-8-17 | Comparative Analysis of CNN-TDNN and CNN-LSTM Architectures for Voice Activity Detection under Low Signal-to-Noise Ratio Conditions
[IEEE] 2026-8-17 | Design and Real-Time Implementation of an Autonomous Indoor Navigation System for Service Robots
[IEEE] 2026-8-17 | Shannon Entropy Based DDoS Attack Detection Using Adaptive Threshold
[IEEE] 2026-8-17 | Adapting Monocular 3D Object Detectors to Fisheye Images
[IEEE] 2026-8-17 | Anomaly Detection Based on Deep Learning in Sales Gas Compressor Sensor Reading Systems for Predictive Maintenance
[IEEE] 2026-8-17 | CoPL: Counterfactual Offline Policy Learning via Large Language Models
[IEEE] 2026-8-17 | Trusted Collaborative Method for Multi-Agent Semantic Strategy Based on Reversible Data Hiding
[IEEE] 2026-8-17 | A Review of Data-Driven Co-Speech Gesture Generation: Methods, Datasets, and Challenges
[IEEE] 2026-8-17 | Model-Based Fault-Tolerant Control for Automotive Traction Motors
[IEEE] 2026-8-17 | FAST-TCN: A Frequency-Aware Spatio-Temporal Network for sEMG-Based Continuous Motion Prediction in Upper Limb Rehabilitation Robotics
[IEEE] 2026-8-17 | A Frequency-Guided Edge-Texture Dual-Assisted Camouflaged Object Detection Method
[IEEE] 2026-8-17 | Hyperspectral Anomaly Detection: A Benchmark
[IEEE] 2026-8-17 | Artificial Intelligence Integration as a Catalyst for SMEs Transformation: Determinants and Performance Impact
[ACM] 2026-8-17 | Package Managers à la Carte: A Formal Model of Dependency Resolution
[ACM] 2026-8-17 | Demand-on-Demand Control-Flow Analysis
[IEEE] 2026-8-17 | Automation Design flow of Analog Circuits
[IEEE] 2026-8-17 | FJID: Fast Joint Intra-Channel and Inter-Channel Variation Demosaicing for Bayer Pattern
[IEEE] 2026-8-17 | Design of a Conveyor-Based Material Handling System for Extruder-to-Molding Transfer in Roof Tile Manufacturing
[IEEE] 2026-8-17 | Conditioned Hybrid-Action Reinforcement Learning for Joint Task Offloading and Resource Allocation in MEC
[IEEE] 2026-8-17 | An Optimized DenseNet-121 Framework for Highly Sensitive and Interpretable Pneumonia Detection from Chest X-Rays
[IEEE] 2026-8-17 | Obstacle Modeling and State Estimation for Mobile Robots Toward Real-World Deployment of Non-Reciprocal ORCA
[IEEE] 2026-8-17 | Pre-Silicon Side-Channel Leakage Detection and Localization in ECC-Based ECDH Hardware
[IEEE] 2026-8-17 | 3D Radio Environment Map Reconstruction Under Sparse Sampling Scenario via Bayesian Neural Fields
[IEEE] 2026-8-17 | DRISHTIKON-P: A Multilingual Dataset for Evaluating Semantic Consistency in Indic Vision Language Models
[IEEE] 2026-8-17 | Predicting Particulate Matter 2.5 Concentration in Beijing Using Weather and Pollution Indicators With Machine Learning
[IEEE] 2026-8-17 | Air-to-Ground Channel Measurement and Analysis in Low-Rise Building Obstructed Scenarios
[IEEE] 2026-8-17 | Author Index
[IEEE] 2026-8-17 | A Comparative Preliminary Study of HGS, PSO and GWO for ECG Feature Selection in Arrhythmia Classification
[IEEE] 2026-8-17 | Motor Imagery Eeg Classification Based on Sub- Band Common Spatio-Spectral Patterns and Adaptive Feature Ranking
[IEEE] 2026-8-17 | Early Forest Fire and Smoke Detection: Comparative Study of YOLO Framework
[IEEE] 2026-8-17 | Cross-Modal Feature Enhancement Based DIBR 3D Image Watermarking
[IEEE] 2026-8-17 | Preserving Forensic Indicators in Mobile Text Preprocessing: An Android 15 Case Study
[IEEE] 2026-8-17 | Stress Identification from Facial Thermal Images using FTS-Net
[IEEE] 2026-8-17 | Wavelength-Invariant E-band Nanolasers Enabled by Area-Compensated Quasi-Bound States in the Continuum Metasurfaces
[IEEE] 2026-8-17 | Spatiotemporal Characteristics of Compound Hot-Dry Events and Lagged Impacts on Vegetation Productivity in Central Asia
[IEEE] 2026-8-17 | Short-term electric load forecasting based on improved black-winged kite algorithm
[IEEE] 2026-8-17 | Human–Machine Interface Design for Smart Modular Fitness Systems: A User-Centered Approach Integrating Usability, Interaction, and Adoption
[IEEE] 2026-8-17 | A Novel Approach Based on Transformer Autoencoder for Multivariate SCADA Sensor Reconstruction in Wind Turbines
[IEEE] 2026-8-17 | 2026 22nd International Conference on Synthesis, Modeling, Analysis and Simulation Methods, and Applications to Circuits Design (SMACD)
[IEEE] 2026-8-17 | Design of Fractional-Order Sliding Mode Control Optimized by Genetic Algorithms for Tracking Error Minimization
[IEEE] 2026-8-17 | Design and Evaluation of an AI-Based Journaling and Emotional Support Prototype
[IEEE] 2026-8-17 | UAV-Enabled Covert ISAC with Hardware Impairments and Imperfect CSI
[IEEE] 2026-8-17 | Research on Health Assessment of Nuclear Power RCV Pumps Based on Physics-Informed NTKAN
[IEEE] 2026-8-17 | Modeling of the Longitudinal Dynamic Braking System for a High-Speed Train
[IEEE] 2026-8-17 | Development of ML model for triboelectric nanogenerator based sign language detection system
[IEEE] 2026-8-17 | A Low-Cost Open-Source Private 5G Lab Testbed Design
[IEEE] 2026-8-17 | Towards Predictive Maintenance 5.0: Life Cycle Sustainability Assessment of Enabling Technologies
[IEEE] 2026-8-17 | Stanza-Level Sentiment Analysis with Poem-Level Aggregation for Menglongshi
[IEEE] 2026-8-17 | Bring Your Own Encryption (BYOE) in Government and Enterprise Systems: Architecture, Benefits, and Challenges
[IEEE] 2026-8-17 | A Hybrid Graph Reinforcement Learning Approach for Resilience Planning Under Dynamic Uncertainty in Import Fertilizer Supply Chains
[IEEE] 2026-8-17 | RailSC-YOLO: Lightweight Surface Defect Detection for Railway Metal Components
[IEEE] 2026-8-17 | A Frequency-Aware Multi-Stream CNN Approach for Diabetic Foot Ulcer Detection
[IEEE] 2026-8-17 | The Impact of Agent-Inspired Rule Layers on ML Intrusion Detection
[IEEE] 2026-8-17 | Tiny Impurity Detection in Baijiu Bottles using YOLOv8s-P2 and Dark-Field Imaging
[IEEE] 2026-8-17 | A Deterministic PDE Backstepping Observer for Visual Delay Compensation in Optoelectronic Tracking
[IEEE] 2026-8-17 | Self-Supervised Deep Learning for Early Detection of Voice Pathologies
[IEEE] 2026-8-17 | Radio Map Construction Using Graph Neural Network with Adaptive Sampling
[IEEE] 2026-8-17 | A Study of API Security Attacks, Vulnerabilities, and Mitigation Techniques
[IEEE] 2026-8-17 | Trie Based Spell-Checker for English, Hindi, Bengali and Manipuri
[IEEE] 2026-8-17 | KAN-FND: Global-Local Attention for Interpretable Multi-Domain Fake News Detection
[IEEE] 2026-8-17 | Loss Reduction and Excitation Optimization of High-Power Wound Rotor Synchronous Machine with Profiled Magnetic Slot Wedges
[IEEE] 2026-8-17 | Dissipative Feedback and Hybrid Lyapunov-Reinforcement Learning Control for NV-Center Quantum Sensing
[IEEE] 2026-8-17 | Object-Consistent Distillation for Text-to-3D Generation
[IEEE] 2026-8-17 | Deep Learning for Mobility Management in Next-Generation Wireless Networks: Models, Applications, and Challenges
[IEEE] 2026-8-17 | Elastic Constrained Decision Transformer for Energy-Efficient UAV-Assisted Communications
[IEEE] 2026-8-17 | Energy-Aware Control Optimization Strategies for Multimodal Collaborative Robotic Platforms
[IEEE] 2026-8-17 | Pavement Marking Damage Assessment Method Based on Oriented Object Detection
[IEEE] 2026-8-17 | Fast Design of Fuel-optimal Maneuver Trajectories for Satellite Constellations via a Hybrid Binary Classification and Physics-regularized Neural Network
[IEEE] 2026-8-17 | Direction-Constrained Control for Efficient Physical Human–Robot Interaction Under Hierarchical Tasks
[IEEE] 2026-8-17 | The Digital Twin as a Mechanism for Continuous Cybersecurity Policy Verification: A Functional Analysis of the Policy-to-Practice Translation
[IEEE] 2026-8-17 | Road Defect Detection with Transformer Using Contrastive Learning and Adaptive Computing
[IEEE] 2026-8-17 | Author Index
[IEEE] 2026-8-17 | Real-time Dense 3D Reconstruction of Non-rigid Objects for Robotic Manipulation: A Mask-constrained Two-stage Fast Upsampling Framework from a Single RGB-D Stream
[IEEE] 2026-8-17 | Filter Bank Multicarrier System Analysis in the Presence of IQ Mismatch
[IEEE] 2026-8-17 | Efficient Autonomous Target Search for AUV in Unknown Environments Based on a Hierarchical Planning Architecture
[IEEE] 2026-8-17 | Deepfakes and identity theft in the age of AI
[IEEE] 2026-8-17 | A Spatial-Frequency Enhanced U-Net With Residual Gated Fusion for Hyperspectral Image Denoising
[IEEE] 2026-8-17 | Spatially Adaptive Expert Routing and Multi-Scale Semantic Alignment for Cross-View Geo-Localization
[IEEE] 2026-8-17 | A Context-Based Keyframe Extraction Method for Action Videos
[IEEE] 2026-8-17 | Real-Time Yoga Pose Detection and Correction Using Deep Learning and Machine Learning
[IEEE] 2026-8-17 | R-T-OLSR: A Hybrid Routing Protocol for UAV Emergency Networks with Routing Repair Mechanism
[IEEE] 2026-8-17 | The Design of Internet of Things Control Box for Smart Greenhouses in Cold Regions
[IEEE] 2026-8-17 | A Reinforcement Learning Framework for Shear Wave Velocity Map Reconstruction in Ultrasound Elastography
[IEEE] 2026-8-17 | Multimodal Analysis of Voice, Gait and Handwriting Signals for Parkinson Disease Detection
[IEEE] 2026-8-17 | Design and Implementation of a PID-Based Automated Fan–Mist Control System for Thermal Comfort in Open-Space Restaurants
[IEEE] 2026-8-17 | Keynote Speaker
[IEEE] 2026-8-17 | A Semantic-Consistent Privacy Middleware for MCP-Driven Penetration Testing
[IEEE] 2026-8-17 | Toward a Digital Twin Framework for Environmental Surveillance
[IEEE] 2026-8-17 | Failure Mechanism Analysis of Key Rotor Components in High-Speed Permanent Magnet Generators
[IEEE] 2026-8-17 | Reliability Aware Gaussian Splatting for Dynamic Sensor Platform SLAM
[IEEE] 2026-8-17 | An Explainable Multi-Modal AI Framework for Automated Crime Scene Analysis and Forensic Reporting
[IEEE] 2026-8-17 | SKC2PSA-SimLite: A Lightweight Tail Semantic Enhancement for YOLOv11n in Shore-Based Water-Surface Floating Object Detection
[IEEE] 2026-8-17 | Path Planning and Control Strategy of Offshore Photovoltaic Cleaning Robot
[IEEE] 2026-8-17 | Improving Next-Best View Discrete Network with Continuous Coverage Gains for Object Reconstruction
[IEEE] 2026-8-17 | Temporal Drift in Enterprise Truth Systems: Detecting and Correcting Financial Semantics Decay Across Master Data, Billing, and Analytics Layers
[IEEE] 2026-8-17 | Comparative Study of Fault Detection and Classification in EHV Transmission Line using Support Vector Machine and Random Forest
[IEEE] 2026-8-17 | A Novel Adaptive Dual Phase Hybrid Time Switching-Power Splitting Protocol for IoT Networks
[IEEE] 2026-8-17 | Geometric Characterization of Dynamic Control Errors in Five-Axis Machine Tools via Mini S-Shaped RTCP Test
[IEEE] 2026-8-17 | Development of Large Language Model for Intelligent Root Cause Failure Analysis in Induced Draft Fan Systems
[IEEE] 2026-8-17 | ST-BrailleNet: An Attention-Guided Spatiotemporal Network for Dynamic Tactile Braille Recognition
[IEEE] 2026-8-17 | A Joint Feature Space Based Visualization Platform for Amplitude Estimation Results of Mixed Signal
[IEEE] 2026-8-17 | ECG Signal Processing: From Conventional Methods to AI-Driven Approaches
[IEEE] 2026-8-17 | Enhancing Motor Imagery Performance with Real-time Augmented Reality Feedback
[IEEE] 2026-8-17 | A Hybrid Transformer Network with Pyramid Attention and Content-Aware Upsampling for Breast Lesion Segmentation
[IEEE] 2026-8-17 | Influence of Strike Locations on Transient Responses of Buried Cables from Rocket-Triggered Lightning
[IEEE] 2026-8-17 | Blank Page
[IEEE] 2026-8-17 | A Synergistic Framework Integrating EDGAN and RAD-KAN for PQD Recognition Under Incomplete Data
[IEEE] 2026-8-17 | A Minimally-Stateful PAM Fallback for Self-Service Lockout Recovery in Legacy Services
[IEEE] 2026-8-17 | DuS-Net: Spatial-Semantic Dual-Collaborative Architecture for MRI Glioma Segmentation
[IEEE] 2026-8-17 | Dynamic Cycle Mapping and Burst-Aware Scheduling for Multi-Domain Deterministic Networks
[IEEE] 2026-8-17 | Predictive Analysis of Soil Nutrient Levels Using Machine Learning Algorithms for Sustainable Agriculture
[IEEE] 2026-8-17 | Performance Evaluation of Bird Sound Classification Models in Realistic Acoustic Environments
[IEEE] 2026-8-17 | Adaptive AI Malware: The Rise of Self-Evolving Threats That Learn to Evade Defenses
[IEEE] 2026-8-17 | Yaw Pitch and Roll Prediction Using Tiny Regression Models with Loss Analysis
[IEEE] 2026-8-17 | Mass Sensor equipped with Electrochemical cell for Metal Ions Analysis through Unsupervised Learning Algorithm
[IEEE] 2026-8-17 | A Lightweight Upper Limb Intention Recognition Method Based on sEMG-IMU Fusion and PCA
[IEEE] 2026-8-17 | Enhanced Nonlinear Energy Harvesting and Energy Storage-Aware Beamforming Optimization for RIS-Assisted Communications
[IEEE] 2026-8-17 | Kinematic Modeling and Performance Analysis of a Parallel Waist Rehabilitation Mechanism
[IEEE] 2026-8-17 | EnclavePatch: Automated Vulnerability Patching for SGX Applications
[IEEE] 2026-8-17 | The Watermark Shortcut: How Provenance Marking Sabotages Audio Deepfake Detection
[IEEE] 2026-8-17 | An Information-Theoretic Framework for Quantifying Intelligence in Household Appliances
[IEEE] 2026-8-17 | AS-GHM-Based Expected Error Probability Evaluation and Minimization for SPC over Rayleigh Fading
[IEEE] 2026-8-17 | Stability-Aware Coordinated Control Framework for Active Rear Steering and Direct Yaw Moment Control for Independent Drive Electric Vehicles
[IEEE] 2026-8-17 | High-speed Microwave Photonic Directional Modulation for Wideband QPSK Physical-Layer Secure Communications
[IEEE] 2026-8-17 | Symbolic Regression based Mining of Fractional-order Dynamics with Industrial Implementation
[IEEE] 2026-8-17 | NEKC: Few-shot Anomaly Knowledge Completion for Intelligent Network Management
[IEEE] 2026-8-17 | Development of a Position-Sensitive Monolithic Planar Scintillator for Gamma-Ray Imaging
[IEEE] 2026-8-17 | Miniaturized High-Gain Superstrate Antenna Using In-House Fabricated High-Permittivity Dielectric Material for C-Band Downlink Satellite Communications
