[2026-02-10 09:46:13] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-09
正在获取论文...
[arXiv] 2026-02-09 | GaussianCaR: Gaussian Splatting for Efficient Camera-Radar Fusion
[arXiv] 2026-02-09 | CLEAR: A Knowledge-Centric Vessel Trajectory Analysis Platform
[arXiv] 2026-02-09 | Boltzmann sampling and optimal exact-size sampling for directed acyclic graphs
[arXiv] 2026-02-09 | TriC-Motion: Tri-Domain Causal Modeling Grounded Text-to-Motion Generation
[arXiv] 2026-02-09 | Selberg and Brolin on value distribution of complex dynamics
[arXiv] 2026-02-09 | Neutrinoless double beta decays of hyperons in covariant chiral perturbation theory
[arXiv] 2026-02-09 | Ozonation of Dielectric Fosters Self-Healing Efficiency in Metalized-Film Capacitors: Quantum-Chemical Simulation
[arXiv] 2026-02-09 | Dynamically entangled oscillating state in a Bose gas with an attractive polaron
[arXiv] 2026-02-09 | SteerVLA: Steering Vision-Language-Action Models in Long-Tail Driving Scenarios
[arXiv] 2026-02-09 | Exact Stationary State of a $d$-dimensional Run-and-Tumble Particle in a Harmonic Potential
[arXiv] 2026-02-09 | NovaMoon: A Strategic Lunar Reference Station for Positioning, Timing, and Largely Enhanced Science in the Earth-Moon System Serena
[arXiv] 2026-02-09 | USBD: Universal Structural Basis Distillation for Source-Free Graph Domain Adaptation
[arXiv] 2026-02-09 | On- and off-chain demand and supply drivers of Bitcoin price
[arXiv] 2026-02-09 | Radial Müntz-Szász Networks: Neural Architectures with Learnable Power Bases for Multidimensional Singularities
[arXiv] 2026-02-09 | A Bayesian regression framework for circular models with INLA
[arXiv] 2026-02-09 | Movable Antenna Enabled Reconfigurable Array Topologies for Structured Beam Communications
[arXiv] 2026-02-09 | Optimizing Spectral Prediction in MXene-Based Metasurfaces Through Multi-Channel Spectral Refinement and Savitzky-Golay Smoothing
[arXiv] 2026-02-09 | Intelligent support for Human Oversight: Integrating Reinforcement Learning with Gaze Simulation to Personalize Highlighting
[arXiv] 2026-02-09 | On Protecting Agentic Systems' Intellectual Property via Watermarking
[arXiv] 2026-02-09 | SCOUT-RAG: Scalable and Cost-Efficient Unifying Traversal for Agentic Graph-RAG over Distributed Domains
[arXiv] 2026-02-09 | $C^{1,α}$-regularity for Mixed Local and Nonlocal Degenerate Elliptic Equations in the Heisenberg Group
[arXiv] 2026-02-09 | D$^2$-VR: Degradation-Robust and Distilled Video Restoration with Synergistic Optimization Strategy
[arXiv] 2026-02-09 | Altruism and Fair Objective in Mixed-Motive Markov games
[arXiv] 2026-02-09 | Cross-Modal Bottleneck Fusion For Noise Robust Audio-Visual Speech Recognition
[arXiv] 2026-02-09 | Probing $α$ clustering in $^{12}\mathrm{C}$ at CSR energies using the Jet AA Microscopic Transport Model
[arXiv] 2026-02-09 | ReefFlex: A Generative Design Framework for Soft Robotic Grasping of Organic and Fragile objects
[arXiv] 2026-02-09 | Tighnari v2: Mitigating Label Noise and Distribution Shift in Multimodal Plant Distribution Prediction via Mixture of Experts and Weakly Supervised Learning
[arXiv] 2026-02-09 | Pitot-Aided Attitude and Air Velocity Estimation with Almost Global Asymptotic Stability Guarantees
[arXiv] 2026-02-09 | Optimal Transmit Beamforming for MIMO ISAC with Unknown Target and User Locations
[arXiv] 2026-02-09 | SynthAgent: A Multi-Agent LLM Framework for Realistic Patient Simulation -- A Case Study in Obesity with Mental Health Comorbidities
[arXiv] 2026-02-09 | Software Testing at the Network Layer: Automated HTTP API Quality Assessment and Security Analysis of Production Web Applications
[arXiv] 2026-02-09 | Linearization Explains Fine-Tuning in Large Language Models
[arXiv] 2026-02-09 | Adaptive Matrix Online Learning through Smoothing with Guarantees for Nonsmooth Nonconvex Optimization
[arXiv] 2026-02-09 | Some Patterns of Research in Mathematics
[arXiv] 2026-02-09 | Comparing Mixture, Box, and Wasserstein Ambiguity Sets in Distributionally Robust Asset Liability Management
[arXiv] 2026-02-09 | CoRect: Context-Aware Logit Contrast for Hidden State Rectification to Resolve Knowledge Conflicts
[arXiv] 2026-02-09 | Thermodynamic Isomorphism of Transformers: A Lagrangian Approach to Attention Dynamics
[arXiv] 2026-02-09 | LLMs and people both learn to form conventions -- just not with each other
[arXiv] 2026-02-09 | Complementary Roles of Distance and Growth Probes in Testing Time-Varying Dark Energy
[arXiv] 2026-02-09 | Geospatial-Reasoning-Driven Vocabulary-Agnostic Remote Sensing Semantic Segmentation
[arXiv] 2026-02-09 | Epitaxial Growth of Anisotropic SnSe on GaAs(001) via Step-Edge Orientation Control
[arXiv] 2026-02-09 | Dreaming in Code for Curriculum Learning in Open-Ended Worlds
[arXiv] 2026-02-09 | Nexus: Inferring Join Graphs from Metadata Alone via Iterative Low-Rank Matrix Completion
[arXiv] 2026-02-09 | Highly Polarized and Long Range Dissipationless Spin Transport Due to Counterflowing Electron and Hole Edge Channels
[arXiv] 2026-02-09 | Heavy quark collisional energy loss in a nonextensive quark-gluon plasma
[arXiv] 2026-02-09 | Grounding Generative Planners in Verifiable Logic: A Hybrid Architecture for Trustworthy Embodied AI
[arXiv] 2026-02-09 | GKM Theory for Manifolds of Isospectral Matrices in Lie Type D
[arXiv] 2026-02-09 | Intimate relationship between spin configuration in the triplet pair and superconductivity in UTe$_2$
[arXiv] 2026-02-09 | E-VAds: An E-commerce Short Videos Understanding Benchmark for MLLMs
[arXiv] 2026-02-09 | To Tango or to Disentangle? Making Ethnography Public in the Digital Age
[arXiv] 2026-02-09 | OPE: Overcoming Information Saturation in Parallel Thinking via Outline-Guided Path Exploration
[arXiv] 2026-02-09 | Vec-QMDP: Vectorized POMDP Planning on CPUs for Real-Time Autonomous Driving
[arXiv] 2026-02-09 | PACC: Protocol-Aware Cross-Layer Compression for Compact Network Traffic Representation
[arXiv] 2026-02-09 | Grokking in Linear Models for Logistic Regression
[arXiv] 2026-02-09 | "I Can't Keep Up": Accessibility Barriers in Video-Based Learning for Individuals with Borderline Intellectual Functioning
[arXiv] 2026-02-09 | Autoregressive Image Generation with Masked Bit Modeling
[arXiv] 2026-02-09 | Contact-Anchored Policies: Contact Conditioning Creates Strong Robot Utility Models
[arXiv] 2026-02-09 | Dexterous Manipulation Policies from RGB Human Videos via 4D Hand-Object Trajectory Reconstruction
[arXiv] 2026-02-09 | Next-Gen CAPTCHAs: Leveraging the Cognitive Gap for Scalable and Diverse GUI-Agent Defense
[arXiv] 2026-02-09 | Complete discrete Schoenberg-Delsarte theory for homogeneous spaces
[arXiv] 2026-02-09 | Data Science and Technology Towards AGI Part I: Tiered Data Management
[arXiv] 2026-02-09 | Next Concept Prediction in Discrete Latent Space Leads to Stronger Language Models
[arXiv] 2026-02-09 | Platform Design, Earnings Transparency and Minimum Wage Policies: Evidence from A Natural Experiment on Lyft
[arXiv] 2026-02-09 | Equivalent definitions of fusion category arising from separability
[arXiv] 2026-02-09 | How Should We Model the Probability of a Language?
[arXiv] 2026-02-09 | pixelLOG: Logging of Online Gameplay for Cognitive Research
[arXiv] 2026-02-09 | No Word Left Behind: Mitigating Prefix Bias in Open-Vocabulary Keyword Spotting
[arXiv] 2026-02-09 | The Reawakening of 4U 1755-338 after 25 Years of Quiescence: Spectro-temporal Analysis Using Multi-instrument X-ray Data
[arXiv] 2026-02-09 | Seasonal Variation of Polar Ice: Implications for Ultrahigh Energy Neutrino Detectors
[arXiv] 2026-02-09 | Analysis of Converged 3D Gaussian Splatting Solutions: Density Effects and Prediction Limit
[arXiv] 2026-02-09 | The Scrollar Invariants of Curves Mapping to a Hirzebruch Surface
[arXiv] 2026-02-09 | A Mathematical Theory of Redox Biology
[arXiv] 2026-02-09 | Rethinking IPv6 Defense: A Unified Edge-Centric Zero-Trust Data-Plane Architecture
[arXiv] 2026-02-09 | DeepQuali: Initial results of a study on the use of large language models for assessing the quality of user stories
[arXiv] 2026-02-09 | AnomSeer: Reinforcing Multimodal LLMs to Reason for Time-Series Anomaly Detection
[arXiv] 2026-02-09 | Global well-posedness for one-dimensional compressible Navier--Stokes system in dynamic combustion with small $BV\cap L^1$ initial data
[arXiv] 2026-02-09 | Rethinking Graph Generalization through the Lens of Sharpness-Aware Minimization
[arXiv] 2026-02-09 | Cutting Through the Noise: On-the-fly Outlier Detection for Robust Training of Machine Learning Interatomic Potentials
[arXiv] 2026-02-09 | Deciding the Satisfiability of Combined Qualitative Constraint Networks
[arXiv] 2026-02-09 | Unconventional magnetoelectric conductivity and electrochemical response from dipole-like sources of Berry curvature
[arXiv] 2026-02-09 | Division of labor enables efficient collective decision-making under uncertainty
[arXiv] 2026-02-09 | Glow with the Flow: AI-Assisted Creation of Ambient Lightscapes for Music Videos
[arXiv] 2026-02-09 | AMEM4Rec: Leveraging Cross-User Similarity for Memory Evolution in Agentic LLM Recommenders
[arXiv] 2026-02-09 | VideoVeritas: AI-Generated Video Detection via Perception Pretext Reinforcement Learning
[arXiv] 2026-02-09 | Josephson tunneling through a Yu-Shiba-Rusinov state: Interplay of $π$-shifts in Josephson current and local superconducting order parameter
[arXiv] 2026-02-09 | Perfect all-angle asymmetric transmission via normal susceptibilities: exact spatial derivative by local meta-atoms and nonlocal metasurfaces
[arXiv] 2026-02-09 | Any-to-All MRI Synthesis: A Unified Foundation Model for Nasopharyngeal Carcinoma and Its Downstream Applications
[arXiv] 2026-02-09 | Two-Dimensional Kelvin-Helmholtz Instability with Anisotropic Pressure
[arXiv] 2026-02-09 | Towards resurgence of Joyce structures
[arXiv] 2026-02-09 | Equilibria: Fair Multi-Tenant CXL Memory Tiering At Scale
[arXiv] 2026-02-09 | CryptoGen: Secure Transformer Generation with Encrypted KV-Cache Reuse
[arXiv] 2026-02-09 | MOVA: Towards Scalable and Synchronized Video-Audio Generation
[arXiv] 2026-02-09 | Microquasar Remnants as Pevatrons Illuminating the Galactic Cosmic Ray Knee
[arXiv] 2026-02-09 | Non-Hermitian Renormalization Group from a Few-Body Perspective
[arXiv] 2026-02-09 | Learning Credal Ensembles via Distributionally Robust Optimization
[arXiv] 2026-02-09 | Bi-Adapt: Few-shot Bimanual Adaptation for Novel Categories of 3D Objects via Semantic Correspondence
[arXiv] 2026-02-09 | Averaging Dynamics and Wong-Zakai approximations for a Fast-Slow Navier-Stokes System Driven by fractional Brownian Motion
[arXiv] 2026-02-09 | High-resolution numerical simulations of turbulent non-catalytic reverse water gas shift
[arXiv] 2026-02-09 | Complex harmonic mean
[arXiv] 2026-02-09 | 2.5D co-packaged optical I/O chipsets on a SiON/Si interposer for 4 $\times$ 100G optical interconnection
[arXiv] 2026-02-09 | DexFormer: Cross-Embodied Dexterous Manipulation via History-Conditioned Transformer
[arXiv] 2026-02-09 | Linguistics and Human Brain: A Perspective of Computational Neuroscience
[arXiv] 2026-02-09 | Language Modeling and Understanding Through Paraphrase Generation and Detection
[arXiv] 2026-02-09 | When Do Multi-Agent Systems Outperform? Analysing the Learning Efficiency of Agentic Systems
[arXiv] 2026-02-09 | A few-shot and physically restorable symbolic regression turbulence model based on normalized general effective-viscosity hypothesis
[arXiv] 2026-02-09 | Quantization-aware Photonic Homodyne computing for Accelerated Artificial Intelligence and Scientific Simulation
[arXiv] 2026-02-09 | Stochastic many-body perturbation theory for high-order calculations
[arXiv] 2026-02-09 | Constraint-Aware Generative Auto-bidding via Pareto-Prioritized Regret Optimization
[arXiv] 2026-02-09 | Towards Optimal Semantic Communications: Reconsidering the Role of Semantic Feature Channels
[arXiv] 2026-02-09 | Modules of minimal multiplicity over one-dimensional Cohen-Macaulay local rings
[arXiv] 2026-02-09 | Quo vadis biophotonics? Wearing serendipity and slow science as a badge of pride, and embracing biology
[arXiv] 2026-02-09 | Mixing properties of bi-disperse ellipsoid assemblies: Mean-field behaviour in a granular matter experiment
[arXiv] 2026-02-09 | Relating visual attention and learning in an online instructional physics module
[arXiv] 2026-02-09 | STEP: Warm-Started Visuomotor Policies with Spatiotemporal Consistency Prediction
[arXiv] 2026-02-09 | SkillRL: Evolving Agents via Recursive Skill-Augmented Reinforcement Learning
[arXiv] 2026-02-09 | Tutti: Expressive Multi-Singer Synthesis via Structure-Level Timbre Control and Vocal Texture Modeling
[arXiv] 2026-02-09 | Generating Adversarial Events: A Motion-Aware Point Cloud Framework
[arXiv] 2026-02-09 | Investigating Writing Professionals' Relationships with Generative AI: How Combined Perceptions of Rivalry and Collaboration Shape Work Practices and Outcomes
[arXiv] 2026-02-09 | ByteHouse: A Cloud-Native OLAP Engine with Incremental Computation and Multi-Modal Retrieval
[arXiv] 2026-02-09 | Constitutive flow law for hydrogel granular rafts near the brittle-ductile transition
[arXiv] 2026-02-09 | RECUR: Resource Exhaustion Attack via Recursive-Entropy Guided Counterfactual Utilization and Reflection
[arXiv] 2026-02-09 | DrugR: Optimizing Molecular Drugs through LLM-based Explicit Reasoning
[arXiv] 2026-02-09 | Improved Conditional Logistic Regression using Information in Concordant Pairs with Software
[arXiv] 2026-02-09 | An Experimental Study on Fine-Grained Bistatic Sensing of UAV Trajectory via Cellular Downlink Signals
[arXiv] 2026-02-09 | JWST spectral retrieval of cold directly imaged planet WD0806 b and the first measurement of altitude-dependent K$_{zz}$ in exoplanet atmospheres
[arXiv] 2026-02-09 | Fork, Explore, Commit: OS Primitives for Agentic Exploration
[arXiv] 2026-02-09 | PEGAsus: 3D Personalization of Geometry and Appearance
[arXiv] 2026-02-09 | NeuroScaler: Towards Energy-Optimal Autoscaling for Container-Based Services
[arXiv] 2026-02-09 | ZipFlow: a Compiler-based Framework to Unleash Compressed Data Movement for Modern GPUs
[arXiv] 2026-02-09 | Nansde-net: A neural sde framework for generating time series with memory
[arXiv] 2026-02-09 | Relations and Derivatives of Multiple Eisenstein Series
[arXiv] 2026-02-09 | Self-Supervised Bootstrapping of Action-Predictive Embodied Reasoning
[arXiv] 2026-02-09 | Black Flower Microstates
[arXiv] 2026-02-09 | Mind the Gap: Learning Implicit Impedance in Visuomotor Policies via Intent-Execution Mismatch
[arXiv] 2026-02-09 | VedicTHG: Symbolic Vedic Computation for Low-Resource Talking-Head Generation in Educational Avatars
[arXiv] 2026-02-09 | Default Machine Learning Hyperparameters Do Not Provide Informative Initialization for Bayesian Optimization
[arXiv] 2026-02-09 | Small Rarefaction, Large Consequences: Limits of Navier Stokes Turbulence Simulations
[arXiv] 2026-02-09 | Efficient Brain Extraction of MRI Scans with Mild to Moderate Neuropathology
[arXiv] 2026-02-09 | Germanium Thermophotovoltaic Devices Achieving 7.3% Efficiency Under High-Temperature Emission by Empirical Calorimetry
[arXiv] 2026-02-09 | Small Seifert 3-manifolds with non-reduced $\mathrm{SL}_2(\mathbb{C})$-character scheme
[arXiv] 2026-02-09 | DyMA-Fuzz: Dynamic Direct Memory Access Abstraction for Re-hosted Monolithic Firmware Fuzzing
[arXiv] 2026-02-09 | Tree Pairs for Algebraic Bieri-Strebel Groups
[arXiv] 2026-02-09 | A Variational Principle for the Topological Pressure of Non-autonomous Iterated Function Systems on Subsets
[arXiv] 2026-02-09 | Preprint: Sheath thickness measurements with the biased plasma impedance probe, Agreement with Child Langmuir scaling
[arXiv] 2026-02-09 | Welfarist Formulations for Diverse Similarity Search
[arXiv] 2026-02-09 | Map of Encoders -- Mapping Sentence Encoders using Quantum Relative Entropy
[arXiv] 2026-02-09 | Moments of C$β$E field partition function, $\mathsf{Sine}_β$ correlations and stochastic zeta
[arXiv] 2026-02-09 | Cell strain-stiffening drives cell breakout from embedded spheroids
[arXiv] 2026-02-09 | Post-Newtonian accelerations of a Mercury orbiter
[arXiv] 2026-02-09 | Influence of octupole field on quadrupole mass filter performance in the second stability zone
[arXiv] 2026-02-09 | Technosocial risks of ideal emotion recognition technologies: A defense of the (social) value of emotional expressions
[arXiv] 2026-02-09 | Friedkin-Johnsen Social Influence Dynamics on Networks: A Boundary-Value Formulation and Influenceability Measures
[arXiv] 2026-02-09 | Homotopy types of finite étale spaces and generalized inflations
[arXiv] 2026-02-09 | Abstract integrodifferential equations and applications
[arXiv] 2026-02-09 | SoK: The Pitfalls of Deep Reinforcement Learning for Cybersecurity
[arXiv] 2026-02-09 | Dashed Line Defense: Plug-And-Play Defense Against Adaptive Score-Based Query Attacks
[arXiv] 2026-02-09 | Input-Adaptive Spectral Feature Compression by Sequence Modeling for Source Separation
[arXiv] 2026-02-09 | Reliable one-bit quantization of bandlimited graph data via single-shot noise shaping
[arXiv] 2026-02-09 | Three lectures on tropical algebra
[arXiv] 2026-02-09 | WiFlow: A Lightweight WiFi-based Continuous Human Pose Estimation Network with Spatio-Temporal Feature Decoupling
[arXiv] 2026-02-09 | Two-Stage Data Synthesization: A Statistics-Driven Restricted Trade-off between Privacy and Prediction
[arXiv] 2026-02-09 | Compact linearly uncoupled resonators for efficient spontaneous parametric downconversion via angular phase matching
[arXiv] 2026-02-09 | Weighted composition operators on weighted Dirichlet spaces: boundedness, compactness and spectral properties
[arXiv] 2026-02-09 | Projected Gradient Ascent for Efficient Reward-Guided Updates with One-Step Generative Models
[arXiv] 2026-02-09 | Fully coupled implicit finite-volume algorithm for viscoelastic interfacial flows
[arXiv] 2026-02-09 | Inverse problem for the geometric Navier-Stokes equations
[arXiv] 2026-02-09 | State policy heterogeneity analyses: considerations and proposals
[arXiv] 2026-02-09 | Topological beam stirring in a multicore fiber
[arXiv] 2026-02-09 | We Should Separate Memorization from Copyright
[arXiv] 2026-02-09 | Quantum Wasserstein isometries of the $n$-qubit state space: a Wigner-type result
[arXiv] 2026-02-09 | First-principles discovery of stable, anisotropic, semiconducting Sb2X2O (X = S, Se) and Janus Sb2SSeO nanosheets for optoelectronics and photocatalysis
[arXiv] 2026-02-09 | VocalNet-MDM: Accelerating Streaming Speech LLM via Self-Distilled Masked Diffusion Modeling
[arXiv] 2026-02-09 | Mimic Intent, Not Just Trajectories
[arXiv] 2026-02-09 | Kissan-Dost: Bridging the Last Mile in Smallholder Precision Agriculture with Conversational IoT
[arXiv] 2026-02-09 | SDFed: Bridging Local Global Discrepancy via Subspace Refinement and Divergence Control in Federated Prompt Learning
[arXiv] 2026-02-09 | Magnon confinement and trapping at the nanoscale
[arXiv] 2026-02-09 | PRISM: A Principled Framework for Multi-Agent Reasoning via Gain Decomposition
[arXiv] 2026-02-09 | Uphill transport in competitive drift-diffusion models with volume exclusion
[arXiv] 2026-02-09 | Random Polyhedral Cones: Distributional Results via Gale Duality
[arXiv] 2026-02-09 | retinalysis-vascx: An explainable software toolbox for the extraction of retinal vascular biomarkers
[arXiv] 2026-02-09 | An arithmetic method algorithm optimizing k-nearest neighbors compared to regression algorithms and evaluated on real world data sources
[arXiv] 2026-02-09 | RankGR: Rank-Enhanced Generative Retrieval with Listwise Direct Preference Optimization in Recommendation
[arXiv] 2026-02-09 | Modeling Tidal Disruption Events and Compact Object Plunges in Nuclear Star Clusters
[arXiv] 2026-02-09 | Agent-Supported Foresight for AI Systemic Risks: AI Agents for Breadth, Experts for Judgment
[arXiv] 2026-02-09 | M-Loss: Quantifying Model Merging Compatibility with Limited Unlabeled Data
[arXiv] 2026-02-09 | Automating Computational Reproducibility in Social Science: Comparing Prompt-Based and Agent-Based Approaches
[arXiv] 2026-02-09 | QARM V2: Quantitative Alignment Multi-Modal Recommendation for Reasoning User Sequence Modeling
[arXiv] 2026-02-09 | GOT-Edit: Geometry-Aware Generic Object Tracking via Online Model Editing
[arXiv] 2026-02-09 | How Do Language Models Understand Tables? A Mechanistic Analysis of Cell Location
[arXiv] 2026-02-09 | Can Mirror Symmetry Challenge Local Realism? Probing Photon Entanglement from Positronium via Compton Scattering
[arXiv] 2026-02-09 | Coarse grained modeling of self assembled DNA 3D structure using pragmatic soft ellipsoid contact potential
[arXiv] 2026-02-09 | The stability of boundary equilibria of three-dimensional Filippov systems
[arXiv] 2026-02-09 | Causal Schrödinger Bridges: Constrained Optimal Transport on Structural Manifolds
[arXiv] 2026-02-09 | Global observables and identified-hadron production in pp, O-O and Pb-Pb collisions at LHC Run 3 energies with EPOS4
[arXiv] 2026-02-09 | EvoCorps: An Evolutionary Multi-Agent Framework for Depolarizing Online Discourse
[arXiv] 2026-02-09 | Consumption-Investment with anticipative noise
[arXiv] 2026-02-09 | Characteristics, Management, and Utilization of Muscles in Musculoskeletal Humanoids: Empirical Study on Kengoro and Musashi
[arXiv] 2026-02-09 | Preserving Hamiltonian Locality in Real-Space Coarse-Graining via Kernel Projection
[arXiv] 2026-02-09 | Characterizing, Evaluating, and Optimizing Complex Reasoning
[arXiv] 2026-02-09 | Empirical Study of Observable Sets in Multiclass Quantum Classification
[arXiv] 2026-02-09 | Emergence of Superintelligence from Collective Near-Critical Dynamics in Reentrant Neural Fields
[arXiv] 2026-02-09 | Existence and Regularity of Minimizers for a Plateau Approximation Problem
[arXiv] 2026-02-09 | A building block of quantum repeaters for scalable quantum networks
[arXiv] 2026-02-09 | A Two-Week In-the-Wild Study of Screen Filters and Camera Sliders for Smartphone Privacy in Public Spaces
[arXiv] 2026-02-09 | Non-Markovianity induced by Pauli-twirling
[arXiv] 2026-02-09 | Wave propagation in the frequency regime in one-dimensional quasiperiodic media -Limiting absorption principle
[arXiv] 2026-02-09 | Towards FAIR Astrophysical Simulations
[arXiv] 2026-02-09 | Reconfigurable Low-Complexity Architecture for High Resolution Doppler Velocity Estimation in Integrated Sensing and Communication System
[arXiv] 2026-02-09 | Temporal Trends in Incidence of Dementia in a Birth Cohorts Analysis of the Framingham Heart Study
[arXiv] 2026-02-09 | From Assistant to Double Agent: Formalizing and Benchmarking Attacks on OpenClaw for Personalized Local AI Agent
[arXiv] 2026-02-09 | High-resolution X-ray spectroscopy of Cen X-3 with XMM-Newton
[arXiv] 2026-02-09 | Stationary densities in a weakly nonconserving asymmetric exclusion processes with finite resources
[arXiv] 2026-02-09 | RealSynCol: a high-fidelity synthetic colon dataset for 3D reconstruction applications
[arXiv] 2026-02-09 | Modalities, a PyTorch-native Framework For Large-scale LLM Training and Research
[arXiv] 2026-02-09 | Testing Backward-Flatness of Nonlinear Discrete-Time Systems
[arXiv] 2026-02-09 | Towards Real-World Industrial-Scale Verification: LLM-Driven Theorem Proving on seL4
[arXiv] 2026-02-09 | Beam Alignment in Multipath Environments for Integrated Sensing and Communication using Bandit Learning
[arXiv] 2026-02-09 | Schrödinger bridge problem via empirical risk minimization
[arXiv] 2026-02-09 | Roadmap to Quantum Aesthetics
[arXiv] 2026-02-09 | Quantum-classical framework for many-fermion response and structure
[arXiv] 2026-02-09 | Search for the QCD Critical Point in High Energy Nuclear Collisions: A Status Report
[arXiv] 2026-02-09 | Does Your Reasoning Model Implicitly Know When to Stop Thinking?
[arXiv] 2026-02-09 | What, Whether and How? Unveiling Process Reward Models for Thinking with Images Reasoning
[arXiv] 2026-02-09 | Generalized Wintgen inequalities for submanifolds of conformally flat manifolds
[arXiv] 2026-02-09 | An Attention-over-Attention Generative Model for Joint Multiple Intent Detection and Slot Filling
