[2026-09-25 00:18:12] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-24
正在获取论文...
[IEEE] 2026-9-24 | Spatio-Temporal Deep Learning for Three-Dimensional Underwater Acoustic Transmission Loss Modeling
[IEEE] 2026-9-24 | AI-Enabled Beam Hopping for Next-Generation Satellite Communications: A Survey of Methodologies, Recent Advances, and Open Challenges
[IEEE] 2026-9-24 | A Compact Wideband Co-polarized IBFD Antenna with Combined Decoupling Resonator and Distributed Feeding Network
[IEEE] 2026-9-24 | An interaction-aware framework for ICESat-2 elevation control point extraction using photon-level distribution metrics and joint threshold optimization
[IEEE] 2026-9-24 | Inversion of lunar thermal infrared emissivity using deep learning: comparison with the Hapke model_supp1-3730963.xlsx
[IEEE] 2026-9-24 | Source-Validated Personalized Fusion for Calibration-Efficient Static Wrist sEMG Gesture Recognition
[IEEE] 2026-9-24 | Explainable AI and TinyML for Trustworthy and Efficient IoT: A Survey
[IEEE] 2026-9-24 | Enhancement of High-Temperature Dielectric and Energy Storage Properties in Styrene–Acrylonitrile–Maleic Based Organic Films via a Crosslinked Structure
[IEEE] 2026-9-24 | WamBANet: A Wavelet-Guided State Space Modeling and Semantic Regularization for Weakly Supervised Salient Object Detection in Optical Remote Sensing Images
[IEEE] 2026-9-24 | A review of distributed and quasi-distributed optical fiber radiation dosimetry: state of the art, challenges, and future directions
[IEEE] 2026-9-24 | Shadow-Aware Inverse Rendering in Gaussian Splatting
[IEEE] 2026-9-24 | A Multi-Layer Deep Graph Attention Model for Decoding lncRNA-miRNA-mRNA Communication Networks_supp1-3720579.pdf
[IEEE] 2026-9-24 | SAMReg: SAM-enabled Image Registration with ROI-based Correspondence
[IEEE] 2026-9-24 | IEEE Sensors Council
[IEEE] 2026-9-24 | Adaptive Partial Gravity Compensation for Upper-Limb Exoskeletons: Effects on Muscle Activation and Perceived Effort
[IEEE] 2026-9-24 | SynTrust-FL: Forensic-Aware Robust Federated Learning for Edge-Intelligent IoT
[IEEE] 2026-9-24 | Cutsize Minimization for Green Communications: Novel k-Balanced Netlist Partitioning Framework with Role-Based Mean Field Q-learning
[IEEE] 2026-9-24 | Composite Information Element-Based Self-Triggered Control for Distributed UAV Systems with Asymmetric Time-Varying Communication Delays
[IEEE] 2026-9-24 | Improving Cross-City $NO_{2}$ Prediction via Transfer Learning: Integrating Satellite Data and SHAP Interpretability
[IEEE] 2026-9-24 | Lightweight PUF and Hash Token Based Mutual Authentication and Key Management Scheme for IoT-Enabled Smart Grids
[IEEE] 2026-9-24 | Robust Variational Bayesian Filtering for Markov Jump Systems via Natural Gradient Optimization
[ACM] 2026-9-24 | It Works, But Why? A Case Study of Artifact Consumption in Machine Learning Systems
[IEEE] 2026-9-24 | A 65-nm Cryo-CMOS-Based 4–7-GHz Wideband Noise-Canceling Receiver for Superconducting Multi-Qubits Readout
[IEEE] 2026-9-24 | Fast Frequency-Sweep Finite-Element Analysis of Magnetic Components With Multiple Resonances Using Bayesian Proper Orthogonal Decomposition
[IEEE] 2026-9-24 | Distributed Deep Reinforcement Learning-Based Satellite Handover Management in Satellite-Terrestrial Integrated Networks
[IEEE] 2026-9-24 | Multi-Task Learning With Physics-Informed Neural Network for Bending Eavesdropping Detection and Localization
[IEEE] 2026-9-24 | A Unified Framework for Code Vulnerability Detection via Adaptive Pooling and Symbolic Relational Graph Representation
[IEEE] 2026-9-24 | IEEE Open Journal Of Systems Engineering Information for Authors
[IEEE] 2026-9-24 | A ResNet–GAN–Transformer Hybrid Framework for Multi-Source Data–Driven Fractional Vegetation Cover Downscaling in Alpine Grasslands
[IEEE] 2026-9-24 | Bit-Rate Allocation for Quantized Kalman Filtering via Rate-Distortion Theory
[IEEE] 2026-9-24 | Scalable Adaptive Fuzzy Voltage Control for DC Microgrids With Plug-and-Play Operations and Constant Power Loads
[IEEE] 2026-9-24 | Colony: Robust Personalized ML with Contribution-Driven Connectivity and Resource Allocation in P2P Networks
[IEEE] 2026-9-24 | Rapid Prediabetes Screening With a VOC Nanosensor: A Novel Saturation-Onset Prediction Driven Classifier
[IEEE] 2026-9-24 | LoRA-RC: Reservoir Computing with Low-Rank Adaptation
[IEEE] 2026-9-24 | Experimental Investigation of an Improved G-Band Metasurface Slow Wave Structure With Novel Couplers
[IEEE] 2026-9-24 | Symmetry-Restoring First-Order Jet Calibration for Blind Joint Offset, Gain and Timing Mismatch Correction in TI-ADCs
[IEEE] 2026-9-24 | Table of Contents
[IEEE] 2026-9-24 | High-Performance GPU Implementation of Filtered Back Projection for Hemispherical Array Photoacoustic Tomography
[IEEE] 2026-9-24 | Advanced Cross-attack Backdoor Detector Based on Disturbance Immunity Learned from Classic Backdoor Attacks
[IEEE] 2026-9-24 | AstraFL: Decentralized Federated Learning for Space AI With Energy-Efficient Block Minifloat Computing
[IEEE] 2026-9-24 | FAME: Mask-Guided Multimodal Fashion Attribute Editing
[IEEE] 2026-9-24 | Intelligent Spectrum Sharing Allocation and Decision-Making Based on Deep Learning in HSR NOMA-T2X Networks
[IEEE] 2026-9-24 | A 1 GHz High CMRR On-Chip Rogowski Coil Current Sensor Integrated with a 650 V GaN HEMT
[IEEE] 2026-9-24 | Dual-Dynamic In-Context Learning for Medical Image Segmentation
[IEEE] 2026-9-24 | Impact of Interface and Dielectric Defects on HKMG MOSFETs Down to Cryogenic Temperatures
[IEEE] 2026-9-24 | Front Cover
[IEEE] 2026-9-24 | Power Factor Correction of Linear Loads Under Unbalanced Voltage Conditions
[IEEE] 2026-9-24 | Minimum Resonant Network Loss Optimization for LCC-S Compensated Single-Stage AC-DC WPT Systems with Wide ZVS Range
[IEEE] 2026-9-24 | Transmission Mechanism and Performance Analyses for Multi-beam Opportunistic Interference Alignment in Multi-cell Networks
[IEEE] 2026-9-24 | Adversarial Robustness of Deep Learning-Based Intrusion Detection Systems: A Systematic Literature Review of Attacks, Defenses, Datasets, and Open Challenges
[IEEE] 2026-9-24 | Dual-Channel Complex-Vector Resolver System for Wide-Speed Operation
[IEEE] 2026-9-24 | Sensing-assisted Secure Communication via Reconfigurable Intelligent Surface
[IEEE] 2026-9-24 | Physics-Informed Adaptive Gaussian Process Regression Meta-Model for Rapid Characterization of Permanent Magnet Synchronous Machines
[IEEE] 2026-9-24 | Horizon-Aware Conformal Calibration of SOC Reserve Demand for Rolling Battery Scheduling
[IEEE] 2026-9-24 | A Novel U-shaped Riemannian Manifold Learning Neural Network for Motor Imagery EEG Decoding
[IEEE] 2026-9-24 | Location-Guided Dual-Scale Spatiotemporal Inference and Role-Enhanced QMIX for Closed-Loop Multi-Task Sparse Crowdsensing
[IEEE] 2026-9-24 | Regime-Aware Hybrid BLE Fingerprinting for Mobile Robot Localization
[IEEE] 2026-9-24 | When does data-driven strategic decision-making enable firms to overcome the “filtering effect” for exploration?_supp1-3733155.docx
[IEEE] 2026-9-24 | IEEE Member Discounts
[IEEE] 2026-9-24 | Robust Eavesdropping in the Presence of Adversarial Communications for RF Fingerprinting
[IEEE] 2026-9-24 | DAS: Deployable Dynamic Adaptation System for Pest Detection via Edge-Cloud Collaboration
[IEEE] 2026-9-24 | Front Cover
[IEEE] 2026-9-24 | Personalized Location-Based Query Processing Unleashed: Privacy, Verifiability, and Efficiency
[IEEE] 2026-9-24 | IEEE Systems, Man, and Cybernetics Society Information
[IEEE] 2026-9-24 | xDevSM: An Open-Source Framework for Portable, AI-Ready xApps Across Heterogeneous O-RAN Deployments
[IEEE] 2026-9-24 | An Econometric Approach for Impact of Uncertainties in TCO of Transmission Lines
[IEEE] 2026-9-24 | Scalable Incremental Online Weighted Fuzzy Clustering Algorithms for Big Data
[IEEE] 2026-9-24 | Energy Management for Airport Thermo-Electrical Microgrids: A Physics-Based RL Approach
[IEEE] 2026-9-24 | UFO
                    <sub>s</sub>
                    : An Ultra-Fast Toolkit for Multiparty Computation on Small Elements
[IEEE] 2026-9-24 | What Makes Effective Knowledge Distillation for Large Language Models in Code Generation?
[IEEE] 2026-9-24 | Spatio-Temporal Modeling of Urban Electric Vehicle Charging Demand Incorporating Real-World Traffic Dynamics
[IEEE] 2026-9-24 | Learning-Based Stealthy Load Redistribution Attacks for Market Price Manipulation in Smart Grids
[IEEE] 2026-9-24 | Energy-Like Stability of Interconnected Grid-Forming Inverters with Potential-Sensitive Virtual Inertia
[IEEE] 2026-9-24 | Context-Aware Evasion of PMU-Based Intrusion Detection Systems in Wide-Area Control
[IEEE] 2026-9-24 | Voltage-Induced Frequency Disturbance Analysis Considering Fault Type and Network Location
[IEEE] 2026-9-24 | A Diffusion Prior-based Framework for Imperceptible and Flexible Unrestricted Adversarial Attacks
[IEEE] 2026-9-24 | Physics-informed Neural Network for Transformer Thermal Modelling
[IEEE] 2026-9-24 | Ill-Conditioned Power Flow Analysis Using a Quantized State-Based Approach
[IEEE] 2026-9-24 | Strategic Data Center Load Shifting: Implications for Market Efficiency and Transmission Value
[IEEE] 2026-9-24 | A Multi-State Adaptive Virtual Impedance Controller for Fault-Responsive Heterogeneous Parallel GFMs
[IEEE] 2026-9-24 | Real-time Implementation of a Delay Compensation Block in the Power Plant Controller of a Renewable Energy Complex using MLPNN
[IEEE] 2026-9-24 | A Single-Unit 2-bit Wideband Reflection-Type Phase Shifter With 90° Phase Steps Using Impedance-Based Phase Slope Tuning Technique
[IEEE] 2026-9-24 | Personalized Home Energy Management Using Non-Intrusive Load Monitoring and Human-in-the-Loop Reinforcement Learning
[IEEE] 2026-9-24 | Meta-Learning-based Power System Security Assessment under Topology Changes
[IEEE] 2026-9-24 | Causal Feature Selection for Weather-Driven Residential Load Forecasting
[IEEE] 2026-9-24 | Disaggregating Distributed PV Power from Aggregate Measurements in Transmission Systems
[IEEE] 2026-9-24 | Evaluating the Suitability of a Grid Topology Discovery Algorithm for Utility Deployment
[IEEE] 2026-9-24 | Interface Congestion Management in Load Pockets Using Dynamic Nodal Reserve Modeling
[IEEE] 2026-9-24 | Digest of Literature on Dielectrics Volume 28 1964
[IEEE] 2026-9-24 | Fidelity-Aware Dynamic Network Reduction of Distribution Grids with Heterogeneous IBRs
[IEEE] 2026-9-24 | Distributed Strategy Design for Aggregative Games With Coupled Constraints in Open Multi-Agent Systems
[IEEE] 2026-9-24 | Wavelet Coherence-Based Ambient Masking for Noise Removal in Functional Near-Infrared Spectroscopy Measurements
[IEEE] 2026-9-24 | A Passive Front-End Receiver for RF Reflectometry Readout in Spin Qubits
[IEEE] 2026-9-24 | Temperature-Dependent Enhanced Gyrator-Capacitor SPICE Model for Ferrite-Core Inductors with High Permeability
[IEEE] 2026-9-24 | Learning-Based Nonlinear State Estimation With Unknown System Dynamics
[IEEE] 2026-9-24 | A Fast Presynchronization Strategy for Grid-Forming Converters
[IEEE] 2026-9-24 | Residual-Corrected Physics-Based Modelling for SF
                    <sub>&gt;6</sub>
                    Density Prediction and Anomaly Detection
[IEEE] 2026-9-24 | A hybrid-actuation compliant gripper with vibrational adaptive alignment for micro-parts assembly
[IEEE] 2026-9-24 | Joint Secure Primary and Secondary Transmission Enhancement via Active STAR-RIS in Spectrum Sharing Cognitive Radio Networks
[IEEE] 2026-9-24 | Triangulating Learning Styles: Cross-Framework Behavioral Modeling of FSLSM and VRK Using Hybrid Machine Learning
[IEEE] 2026-9-24 | Spectral Unmixing-Guided Prompt Network for Cross-Domain Hyperspectral Image Classification
[IEEE] 2026-9-24 | Monolithic Passive Dual-Resonator Smart Washer Fabricated by Multi-Material Jetting for Near-Field Monitoring
[IEEE] 2026-9-24 | TFCDiff: Robust ECG Denoising via Time-Frequency Complementary Diffusion_supp1-3732677.mp4
[IEEE] 2026-9-24 | Efficient Modeling and Experimental Verification of Path Loss for Reconfigurable Intelligent Surface Based on Field-Aggregation Pooling
[IEEE] 2026-9-24 | Price-Simulation Oriented Forecasting of Individual Bidding Behaviors in Electricity Markets
[ACM] 2026-9-24 | Effective Fuzzing-based Prototype Pollution Detection via Forced Execution and Template Synthesis
[IEEE] 2026-9-24 | Palm and Coir Fiber Composite Mat for Wide-Linear-Range Flexible Piezoresistive Pressure Sensing_supp1-3730810.docx
[IEEE] 2026-9-24 | Physics-inspired Single Image Detail Enhancement Based on Kirchhoff's Current Law
[IEEE] 2026-9-24 | What Do LLM Judges Evaluate in Recommendation Assessment? Disentangling Relevance, Local Diversity, and System-Level Diversity
[IEEE] 2026-9-24 | P CDM: Directional Charger Deployment Mechanism Design based on Budget-feasible Auction with Personalized Privacy Preserving_supp1-3730811.pdf
[IEEE] 2026-9-24 | Cost-Effective Single-Bit Hardware Acquisition System for Full Matrix Capture and Lightweight Ultrasonic Images
[IEEE] 2026-9-24 | Upcoming 2026 Aerospace &amp; Electronic Systems Society Meetings and Conferences
[IEEE] 2026-9-24 | Causal Emergence Guided Point Cloud Compression: Effective Information Regularizer for Rate-Distortion Optimization
[IEEE] 2026-9-24 | Explicit-Implicit Collaborative Attention Guided Weakly Supervised Object Detection in Remote Sensing Images
[IEEE] 2026-9-24 | IEEE Transactions on Systems, Man, and Cybernetics: Systems Information for Authors
[IEEE] 2026-9-24 | HomeGuardian: Detecting Behavioral Anomalies Through Implicit Profiling in Smart Home Systems_supp1-3730188.pdf
[IEEE] 2026-9-24 | Map Construction with Multi-Observation on Geographic Perspective
[IEEE] 2026-9-24 | Aircraft Classification Using Convolutional Neural Networks on RCS Data and ISAR Images
[IEEE] 2026-9-24 | Spectro-Temporal Indicators of Leakage Current for Pre-Flashover Regime Assessment in Polluted High-Voltage Insulators
[IEEE] 2026-9-24 | Joint Near-Field Channel Estimation and Activity Detection for mMTC with Distributed Arrays
[IEEE] 2026-9-24 | Last-Swap-Kernel Polar Codes: A Structure to Improve Polarization under Finite-State Modulation
[IEEE] 2026-9-24 | Table of Contents
[IEEE] 2026-9-24 | IEEE Women in Engineering
[IEEE] 2026-9-24 | From Material Models and Soap Films to Stereoscopy: On Computer-generated Visualizations of Minimal Surfaces
[IEEE] 2026-9-24 | Design of anAbsorption-Scattering Integrated Metagrating for Dual-Frequency Operation
[IEEE] 2026-9-24 | Ergodic Trajectory Planning With Dynamic Sensor Footprints_supp1-3731532.mp4
[IEEE] 2026-9-24 | Generalizing on Diverse Shifts: A Unified Topology-Aware Reweighting Algorithm for Graphs
[IEEE] 2026-9-24 | IEEE Transactions on Systems, Man, and Cybernetics: Systems Information for Authors
[ACM] 2026-9-24 | Fuzzy Mathematics in Archaeology: Foundations, Methods and Applications
[IEEE] 2026-9-24 | Transient Synchronization Stability Analysis and Control of GFLC and GFMC Hybrid Systems under Current Limiting Constraints
[IEEE] 2026-9-24 | Hierarchical Optimization for Multi-RSU ISAC Beamforming in V2X: A CRLB-Minimized Solution
[IEEE] 2026-9-24 | IEEE Transactions on Biomedical Engineering Handling Editors Information
[IEEE] 2026-9-24 | Joint and Streamwise Distributed MIMO Satellite Communications with Multi-Antenna Ground Users
[IEEE] 2026-9-24 | Dual-Granularity Consistency Optimization Framework for Unsupervised Aerial Cross-Modality Person Re-Identification
[IEEE] 2026-9-24 | ParSL Accelerated Parallel Grid Plane Fitting for Near Real-Time LiDAR Road Segmentation of Arctic Roads
[IEEE] 2026-9-24 | OmniPlanner: Universal Exploration and Inspection Path Planning Across Robot Morphologies_supp2-3733788.mp4
[IEEE] 2026-9-24 | Thermo-Mechanical Failure Mode of Wafer-Level IGCTs under Severe Surge Conditions
[IEEE] 2026-9-24 | QoS-CORE: QoS-Aware Joint Communication and Computing Resource Orchestration in Software-Defined Open RAN
[IEEE] 2026-9-24 | RWPNet: A Receptance Weighted Key Value Based Deep Fusion Network for Pansharpening
[IEEE] 2026-9-24 | IEEE Engineering in Medicine and Biology Society Publication Information
[IEEE] 2026-9-24 | Managing Appropriability in Open Innovation
[IEEE] 2026-9-24 | IEEE Women in Engineering
[IEEE] 2026-9-24 | A Fast 3-D Near-Field Imaging Method Using MMW MIMO Antenna Array System
[IEEE] 2026-9-24 | Event-Triggered Probability-Guaranteed State Estimation for Uncertain Complex Networks: A Compression–Decompression Framework
[IEEE] 2026-9-24 | IEEE Transactions on Games Publication Information
[IEEE] 2026-9-24 | TinyMyo: a Tiny Foundation Model for Flexible EMG Signal Processing at the Edge
[IEEE] 2026-9-24 | A Lightweight Rainfall Underwater Noise Perception Model for Environment-aware Underwater Acoustic Communication Scenarios
[IEEE] 2026-9-24 | WORKLOADAWARE: A Resource Allocation and Consolidation Technique for Heterogeneous Clouds
[IEEE] 2026-9-24 | ZeroDiff++: Generative Test-Time Adaptation for Zero-shot Learning_supp1-3728839.pdf
[IEEE] 2026-9-24 | Minimizing voltage deviations by using optimal Volt/VAr curves dynamic control in smart inverters for photovoltaic installations
[IEEE] 2026-9-24 | Forecasting Fused Magnesia Furnace Demand with Fuzzy Stochastic Configuration Networks and System Identification Techniques
[IEEE] 2026-9-24 | Decision letter for "Spaceborne Passive Microwave Signatures of Volcanic Eruptions: Hunga, Fukutoku-Oko-no-Ba, and Raikoke"
[IEEE] 2026-9-24 | Data Agents: Agentic Data Systems
[IEEE] 2026-9-24 | Precision Tracking Control for Fast Steering Mirror in Wide-range Aerial Scanning Imaging System
[IEEE] 2026-9-24 | Volumetric Plane-Based Gaussian Selection for Internal View Synthesis with 3D Gaussian Splatting
[IEEE] 2026-9-24 | EFE-TSC: Efficient Fuel-Economic Traffic Signal Control via Hotspot-Aware Multi-Objective Learning
[IEEE] 2026-9-24 | Effects of PMU Bias Errors In System Inertia Estimation
[IEEE] 2026-9-24 | A Predict-then-Schedule framework for Power Distribution Networks with AI Data Centers
[IEEE] 2026-9-24 | False Data Injection Attack Detection for DC Microgrids Using Partial Load Measurements
[IEEE] 2026-9-24 | Mode-Aware Short-Horizon Forecasting for Residential Heat Pump Water Heaters under Realistic Draws
[IEEE] 2026-9-24 | Evaluation of full impact of Carrington – equivalent GMD Event on Power Transformers on New Zealand’s Transmission Network
[IEEE] 2026-9-24 | Hierarchical Bayesian Tree-Weighted Light Gradient Boosting for Probabilistic Long-Term Conventional Load Forecasting
[IEEE] 2026-9-24 | Spatiotemporal Energy Optimization for Electrified Railways Based on a Mobile Energy Storage System
[IEEE] 2026-9-24 | Electricity Flexibility Evaluation of Hydrogen-Based Steelmaking with Solar PV Electrolysis
[IEEE] 2026-9-24 | Rethinking Research in Computer Science: Beyond Metrics, Toward Scientific Evolution
[IEEE] 2026-9-24 | Interactive Personalized Clustering: Navigating beyond Rigid Criteria and Sample Ambiguity
[IEEE] 2026-9-24 | A Fast and Soft Startup Strategy for Single-Stage Interleaved Totem-Pole DAB AC–DC Converter
[IEEE] 2026-9-24 | Data-Driven Graph Learning for Transmission Network Partitioning under N-1 Contingencies
[IEEE] 2026-9-24 | GLM-Net: A Mamba-Based Building Extraction Network with Global-Local Feature Collaboration for Remote Sensing Imagery
[IEEE] 2026-9-24 | Miniaturized Traveling-Wave Directional Filter Using Source–Load Coupling for LO Extraction and Signal Routing in Wireless Receivers
[IEEE] 2026-9-24 | Trusted Human Authority in Agentic Artificial Intelligence Systems: Rethinking Identity Assurance for Machine-Scale Operations
[IEEE] 2026-9-24 | Test Time Training for AC Power Flow Surrogates via Physics and Operational Constraint Refinement
[IEEE] 2026-9-24 | RFS Filtering for a Known Number of Targets
[IEEE] 2026-9-24 | Uncertainty Quantification and Measurement Error Correlation in Linear State Estimation
[IEEE] 2026-9-24 | Computationally Efficient Induction Machine Model Incorporating Magnetic Saturation and Air-Gap Flux Harmonics for Offline and Real-Time Analysis
[IEEE] 2026-9-24 | Time-Variant Problem of Distribution System Security Region: Phenomena, Reason and Solution
[IEEE] 2026-9-24 | A Probabilistic Load Margin Assessment Method for Active Distribution Networks
[IEEE] 2026-9-24 | A High Velocity Single-Crystal Silicon Edge-Anchored Micromachined Disk Resonator
[IEEE] 2026-9-24 | Efficient Solution for System Frequency Security-Constrained Optimization via Combined Smooth Approximation and Trajectory Sensitivity
[IEEE] 2026-9-24 | Harmonic Distortion Effects on Low-Voltage Distribution Transformers under Rising EV and Nonlinear Load Penetration
[IEEE] 2026-9-24 | A Physics-informed Convex Data Driven Model for Grid-interactive Reverse Osmosis Desalination Plant
[IEEE] 2026-9-24 | Technical Perspectives on Fault Current Injection Requirements in IEEE Std 2800-2022: Clarifications and Recommendations for Improvement
[IEEE] 2026-9-24 | Beyond Energy Functions and Numerical Integration: A New Methodology to Determine Transient Stability at the Initial State
[IEEE] 2026-9-24 | Authenticity Verification of Optical Satellite Imagery via Multi-color Space Evidential Fusion
[IEEE] 2026-9-24 | Voting-Based Hybrid Framework for Robust Anomaly Detection in Smart Grid Communication Networks
[IEEE] 2026-9-24 | Modified Synchronization Sliding Mode Control of a 6-DOF Closed-Kinematic Chain Mechanism Robot Manipulator
