[2026-09-09 23:51:22] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-08
正在获取论文...
[arXiv] 2026-09-08 | Neptune: An AI model for Global Ocean Subseasonal Prediction
[arXiv] 2026-09-08 | AURORA: Active Uncertainty-Driven Re-Orientation for In-Hand Reconstruction
[arXiv] 2026-09-08 | News from NA61/SHINE
[arXiv] 2026-09-08 | A Foundation Model for Large-Scale Wireless Network Planning , Operation and Optimization
[arXiv] 2026-09-08 | An Evidence Model for Agentic Processes: Evidence Claims, Trust Assumptions, and Policy Assessment
[arXiv] 2026-09-08 | Cahn-Hilliard phase-field modeling of tumor growth via locally adaptive isogeometric analysis with THB-splines
[arXiv] 2026-09-08 | Second-order regularity for weighted widely degenerate problems with explicit $u$-dependence
[arXiv] 2026-09-08 | Nonperturbative functional renormalization group for Higgs-singlet models with physics-informed neural networks
[arXiv] 2026-09-08 | Selective boundary condition reduction via learned error gating
[arXiv] 2026-09-08 | The Forgotten History of Wave Function Variance Optimization and its Relevance for Neural-Network VMC
[arXiv] 2026-09-08 | SequenceO1: End-to-End Ultra-Long (100K) Sequence Modeling in Recommendation with Low-Rank Caching
[arXiv] 2026-09-08 | AI-Native Orchestration in the 6G Continuum: Evolving Operator Platforms with Agentic AI
[arXiv] 2026-09-08 | Bayesian Group Testing Regression with a Shape-Free Dilution Curve
[arXiv] 2026-09-08 | EvolveScaler: Synthesizing Information-Evolution Contexts via Executable State Machines and Natural-Language Rendering
[arXiv] 2026-09-08 | Second derivatives of $p$-adic $L$-functions and the Shafarevich--Tate group of rank-two CM elliptic curves
[arXiv] 2026-09-08 | Fiber-based electro-optic dual-comb light source for fast linear and nonlinear spectroscopy
[arXiv] 2026-09-08 | Efficient quantum state preparation on Quantinuum hardware
[arXiv] 2026-09-08 | Policy Gains or Household Need? The Allocation Logic of China's Dibao Program
[arXiv] 2026-09-08 | Coverage Path Planning for Redundant Manipulators using Generalized Spanning Trees
[arXiv] 2026-09-08 | Localized Visual Feature Aggregation via Focus Pooling for Visuomotor Policies
[arXiv] 2026-09-08 | Performance of the subcarrier-wave quantum key distribution in the presence of spontaneous Raman scattering noise generated by classical DWDM channels
[arXiv] 2026-09-08 | Towards Embodied Air-Ground Cooperative Object Search: Benchmark, Dataset and Agentic Method
[arXiv] 2026-09-08 | Light cone distributions of $P$-wave quarkonia
[arXiv] 2026-09-08 | BRAHMS: A cross-platform graphical toolkit for (3+1)D simulation of three-wave mixing in $χ^{(2)}$ nonlinear media, with GPU and CPU backends
[arXiv] 2026-09-08 | How to Make the Gradient Mapping Small for Constrained Stochastic Min-Max Problems and Beyond
[arXiv] 2026-09-08 | Authority Is Not a String: A Capability-Scoped Harness for Prompt-Injection-Resistant Coding Agents
[arXiv] 2026-09-08 | ReMoMask-2: Latent Retrieval-Augmented Masked Motion Generation
[arXiv] 2026-09-08 | SentryLine: Evidence-Grounded Question Answering over Evolving Documents in Oncology Care
[arXiv] 2026-09-08 | A hypercontractive proof of the sharp bound for cancellative pairs
[arXiv] 2026-09-08 | Quantitative Parisi formulas and fluctuations in the Sherrington-Kirkpatrick model
[arXiv] 2026-09-08 | The Trudinger inequality is true for $M^{1,s}$ spaces
[arXiv] 2026-09-08 | Curriculum Learning as Transport: Understanding Curricula with Wasserstein Geodesics
[arXiv] 2026-09-08 | The Surprising Effectiveness of Approximate Value Iteration in Self-Play
[arXiv] 2026-09-08 | ToolLoop: Closed-Loop Tool-Use Data Synthesis via Decomposed Generation and Dynamic Self-Feedback
[arXiv] 2026-09-08 | A Distributed Consensus Particle Filter for Target Tracking using Autonomous Surface Vessels
[arXiv] 2026-09-08 | On the complement of a union of cosets
[arXiv] 2026-09-08 | Sharp Fractional Riesz Estimates on the Hypercube
[arXiv] 2026-09-08 | Wolf-Rayet stars and black holes: mass distributions and evolutionary connection
[arXiv] 2026-09-08 | Some weighted modular inequalities in variable Lebesgue spaces
[arXiv] 2026-09-08 | Task-driven Processing with Coarse-to-Fine Glimpse-based Active Perception
[arXiv] 2026-09-08 | Fish navigate a hydrodynamic maze via yaw-mediated lateral migration
[arXiv] 2026-09-08 | Combined JWST and HST Deep Imaging to Characterize the Smallest Known Trans-Neptunian Objects
[arXiv] 2026-09-08 | 5d SCFT fixtures
[arXiv] 2026-09-08 | Evaluation of Contextual Understanding in Large Language Models
[arXiv] 2026-09-08 | Endpoint and Vanishing-Density Asymptotics for Hardy--Szegő Zero Counts
[arXiv] 2026-09-08 | A Sublinear Approximation Algorithm for Minimum Dilation Trees in the Plane
[arXiv] 2026-09-08 | Triaxiality of the Milky Way dark matter halo and the microlensing optical depth towards the Large Magellanic Cloud
[arXiv] 2026-09-08 | Omni Interaction Agent Technical Report
[arXiv] 2026-09-08 | On the Two-Weight Problem for One-Sided Maximal Operators in Higher Dimensions
[arXiv] 2026-09-08 | Limit Sets and Global Bifurcation Structure in Planar Control Models with Large Hysteresis
[arXiv] 2026-09-08 | A growth gap for anisotropic minimal graphs
[arXiv] 2026-09-08 | On $p$-Spread Measures
[arXiv] 2026-09-08 | The Delta of a Variance Swap
[arXiv] 2026-09-08 | Quantum spacetime and gravity from the IKKT matrix model: an invitation
[arXiv] 2026-09-08 | Prior-free relative 6D pose estimation of multiple object instances
[arXiv] 2026-09-08 | FINALLY: A Dataset Recommender System for Recommender-Systems Research
[arXiv] 2026-09-08 | A virtual reality extension for the Geant4 toolkit
[arXiv] 2026-09-08 | CoSA: Correlation-Guided Change A ttention with Learnable Residual Gating for Remote Sensing Change Detection
[arXiv] 2026-09-08 | Zirconium Carbide as a High-Temperature Benchmark for the Beyond Quasi-Harmonic Method
[arXiv] 2026-09-08 | To Stop or Not to Stop: Exploring the Intention-Behavior Gaps in Smartphone Usage
[arXiv] 2026-09-08 | The BatchNorm Illusion: Diagnosing Normalization Artifacts in Machine Unlearning Evaluation
[arXiv] 2026-09-08 | On the Stability of the Independence Number in Random Distance Graphs
[arXiv] 2026-09-08 | On Weighted Mathai-Haubold Entropy Measures
[arXiv] 2026-09-08 | Phase transition for strongly correlated percolation models on supercritical Bernoulli clusters
[arXiv] 2026-09-08 | The Double-Edged Sword of Short-Selling Bans
[arXiv] 2026-09-08 | High-Order Discontinuous Cut Finite Element Methods for Scalar Hyperbolic Conservation Laws
[arXiv] 2026-09-08 | Controlling Hydrogen Isotope Retention at Helium Cavities through Radiation-Induced Segregation in Fusion Steels
[arXiv] 2026-09-08 | Covariant Phase Space and Carroll-Weyl $χ$ Symmetry of Carroll Non-BPS D$_p$-branes
[arXiv] 2026-09-08 | Towards Standardized Evaluation of GPU Memory Safety with GMSBench
[arXiv] 2026-09-08 | REDSI: Addressing the Reproducibility and Evaluation Consistency of Differentiable Search Indexing for Document Retrieval
[arXiv] 2026-09-08 | DSE-VTG: Dual-Side Enhancement for Training-Free Video Temporal Grounding
[arXiv] 2026-09-08 | On 2D Scattering for a Critical Nonlinear Schrödinger Flow
[arXiv] 2026-09-08 | Leveraging Visual and Geometric Priors for Metric-scale and Complete Vehicle Gaussian Reconstruction from Limited Views
[arXiv] 2026-09-08 | Orbital choice in constructing model Hamiltonians
[arXiv] 2026-09-08 | Asynchronous Model Predictive Control Under Model Mismatch: Stability and Performance Guarantees
[arXiv] 2026-09-08 | Hyperfine-driven polarization effects in elastic muon scattering by atomic nuclei
[arXiv] 2026-09-08 | From Local Context to Climate Science: Low-Cost Experimentation in the Initial Training of Physics Teachers
[arXiv] 2026-09-08 | Approval-Based Multiwinner Voting with Candidate Qualities
[arXiv] 2026-09-08 | Low-Temperature Large Deviations for the Two-Dimensional Wick-Ordered Cubic Wave Equation
[arXiv] 2026-09-08 | Neutral scalar particle in a charged wormhole background
[arXiv] 2026-09-08 | When does nonreciprocity matter? Scale-dependence and nonequilibrium signatures
[arXiv] 2026-09-08 | Beyond Gait: Person Identification from Millimeter-Wave Point Clouds Across Activities of Daily Living
[arXiv] 2026-09-08 | Critical structures of inner functions II
[arXiv] 2026-09-08 | Eliciting Weak-to-Strong Generalization with On-Policy Reverse Distillation
[arXiv] 2026-09-08 | Non-destructive 3D doping imaging of silicon sensors
[arXiv] 2026-09-08 | Theory updates for parton distributions in Hessian formalism
[arXiv] 2026-09-08 | Kairos: A Dataset for Fine-Grained Video-Language Modeling over Space, Time, and Dynamics
[arXiv] 2026-09-08 | Optimal input design via Frank-Wolfe
[arXiv] 2026-09-08 | Decorated electronic kagome lattice in twisted bilayer germanene
[arXiv] 2026-09-08 | On the cardinality of the exception set in Littlewood's discrete conjecture
[arXiv] 2026-09-08 | Sharp regularity and small ball probabilities for the stochastic heat equation on bounded domains
[arXiv] 2026-09-08 | Closing the Loop: Non-Causal Computation, Partial Traces, & Postselected Entanglement
[arXiv] 2026-09-08 | Coloring Small $K_t$-Minor-Free Graphs
[arXiv] 2026-09-08 | MorphoOrgaAgent: A Foundation-Model-Based Multi-Agent System for Autonomous Organoid Analysis
[arXiv] 2026-09-08 | HDA-MoE: Hybrid Parallelism and Dynamic, Adaptive Scheduling for Mixture-of-Experts with 3D Near-Memory Processing
[arXiv] 2026-09-08 | Beyond Fixed Fault Models: Comparing LLM-Based and Rule-Based Fault Injection in OpenStack
[arXiv] 2026-09-08 | The Auslander-Reiten conjecture for algebras with radical cube zero
[arXiv] 2026-09-08 | Observation of linear magnetoresistance and planar Hall effect in the Dirac semimetal PdTe
[arXiv] 2026-09-08 | Learning to build covering structures with continuous adjustments
[arXiv] 2026-09-08 | Long-term behaviour of the CAO-system: Optimal polynomial $H^1$-convergence to degenerate equilibria
[arXiv] 2026-09-08 | CoordFormer: Give Me Any Coordinates and I Will Give You Labels
[arXiv] 2026-09-08 | TriCCOT: Tri-part Convolutional Conformal Transformer for Onboard Space Object Detection
[arXiv] 2026-09-08 | Charts Are Beyond Pixels: Probing for Layer-Wise Chart Understanding and Editing
[arXiv] 2026-09-08 | Persistence of measurement-induced nonlocality in uniformly accelerating Unruh-DeWitt detectors
[arXiv] 2026-09-08 | Combating Instruction Conflict via Energy-Driven Latent Conflict Detection
[arXiv] 2026-09-08 | An Inverse Random Source Problem for the Moore-Gibson-Thompson Equation Driven by Fractional Brownian Motion
[arXiv] 2026-09-08 | The Interplay of Symmetry Energy Uncertainties, Nonlinear $σ-δ$ Coupling, and Dark Matter in Neutron Star Macroscopic Properties
[arXiv] 2026-09-08 | MFVINS: Multiple Fisheye Camera-Based Visual Inertial System
[arXiv] 2026-09-08 | Latin Squares with Few Transversals
[arXiv] 2026-09-08 | Target-Independent Micro-Interventions for Predicting Training Response Across Language-Model Families
[arXiv] 2026-09-08 | A Chvátal-type codegree condition for Hamiltonian cycles in $k$-uniform hypergraphs
[arXiv] 2026-09-08 | Around higher-order Godbersen conjectures
[arXiv] 2026-09-08 | Cursive: The Trace from the Curse of Dimensionality
[arXiv] 2026-09-08 | Artificial Intelligence-Assisted Digital Inventory of Cultural Heritage & Traditional Knowledge: Case for Indonesian Open Digital Library of Culture
[arXiv] 2026-09-08 | CIVI: A Framework for Diagnosing Search Agent Failures in Civic Information
[arXiv] 2026-09-08 | Construction of three-solitons with logarithmic distance for the mass-critical gKdV equations
[arXiv] 2026-09-08 | Proactive Context-Forecasted Safety Constraints for Nonstationary Reinforcement Learning
[arXiv] 2026-09-08 | Mapping Dynamic, Hierarchical Quantum Circuits
[arXiv] 2026-09-08 | Finite-Precision Symmetric Krylov Methods: Exact Rounding Examples, Block Paige Identities,and a Variable-Block Lanczos Model
[arXiv] 2026-09-08 | Segment Any Motion with Radar: Robust Multimodal Moving-Object Segmentation and Tracking
[arXiv] 2026-09-08 | Thresholdless corner vortex solitons in fractal Sierpiński topological insulators
[arXiv] 2026-09-08 | A Multi-Modal Perception Pipeline for Object Detection and Tracking in Autonomous Racing
[arXiv] 2026-09-08 | Do Input-Level Defenses Transfer to Observation-Level Attacks on VideoLLMs?
[arXiv] 2026-09-08 | Nonexistence of a Strongly Regular Graph with Parameters (266,45,0,9): A Certificate-Free Lean Proof
[arXiv] 2026-09-08 | Non-Coherent Over-the-Air Federated Learning: Protocol, Convergence, and Device Scheduling
[arXiv] 2026-09-08 | Spectral asymptotics of sub-Riemannian Laplacians on compact Heisenberg manifolds
[arXiv] 2026-09-08 | A Measurement Study of LLM Inference Trade-offs Across Edge Continuum Hardware
[arXiv] 2026-09-08 | TRIUNE-Net: Harmonizing Scale, Shape, and Efficiency in Pancreatic Tumor Segmentation
[arXiv] 2026-09-08 | Interior $W^{2,p}$ regularity for the sigma-$2$ equation
[arXiv] 2026-09-08 | Tracking-by-detection in Multi-object Tracking: Survey and Experiments
[arXiv] 2026-09-08 | Nuclear slowing-down factors in alkali-metal vapors
[arXiv] 2026-09-08 | CircuTutor: Transforming Static Circuit Problems into Intelligent and Dynamic Tutoring
[arXiv] 2026-09-08 | Variational Bayesian Data Detection for Multiuser MIMO Systems Corrupted by Phase Noises
[arXiv] 2026-09-08 | zScore-N: A Neural Network for On-Chain Wallet Reputation Scoring
[arXiv] 2026-09-08 | Beyond Residuals: Energy based solutions of partial differential equations using scientific machine learning
[arXiv] 2026-09-08 | TTGBench: Benchmarking Topological Evolution and Semantic Drift in Text-attributed Temporal Graphs
[arXiv] 2026-09-08 | Multi-Objective Composite Longitudinal Biomarker Scores for Improved Cancer Risk Assessment
[arXiv] 2026-09-08 | Vision: Data-Centric Anchoring for Robust and Interpretable Agentic AI
[arXiv] 2026-09-08 | Viscoelasticity reshapes the frequency response of a rotating magnetic particle
[arXiv] 2026-09-08 | SIM: Subspace Interaction-based Method for Token-Level Text Anomaly Detection
[arXiv] 2026-09-08 | Pressure Evolution of Atomic Volume Systematics in Transition Metals
[arXiv] 2026-09-08 | Integrated yoctosecond-precision timing detector
[arXiv] 2026-09-08 | BeamFocusNet: Beamforming-based Explicit Spatial Signal Focusing for Robust DoA Estimation under Low-SNR and Single-Snapshot Conditions
[arXiv] 2026-09-08 | Does Deeper Reasoning Compromise Alignment? Revealing and Mitigating of Alignment Collapse in Large Reasoning Models
[arXiv] 2026-09-08 | Topology of Photonic Time Crystals under Complex Refractive Index Modulation
[arXiv] 2026-09-08 | Safe Harness Self-Evolution: A Theoretical Analysis of Feasibility and Limits
[arXiv] 2026-09-08 | Optimal Slice-Adaptive Tuning of Hybrid Slice Sampling
[arXiv] 2026-09-08 | Classical Active-Space Hybrid Quantum Subspace Expansion (CASH-QSE): Quantum Corrections without Remeasuring the Classically Calculable Energy
[arXiv] 2026-09-08 | Geodesic-informed Generative Diffusion Model For Topology-preserved Image Video Generation
[arXiv] 2026-09-08 | Topology-induced Operators Reveal Complementary Graph Representations without Training
[arXiv] 2026-09-08 | M-duality in fixed-point problems for general normed spaces
[arXiv] 2026-09-08 | Search for Axion Dark Matter around \texorpdfstring{$15.6\,μ\text{eV}$}{15.6 microeV} with a Broadly Tunable High-Temperature Superconducting Cavity
[arXiv] 2026-09-08 | The Fibonacci numbers are not an additive uniqueness set for multiplicative functions
[arXiv] 2026-09-08 | GPU-Enabled Large-Scale Optimization Using Randomized Linear Algebra
[arXiv] 2026-09-08 | Jacap: Robust KV Cache Eviction via Jacobian-Based Nonlinear Information Capacity Preservation
[arXiv] 2026-09-08 | Scalarized Einstein-Euler-Heisenberg black holes at the approach to extremality
[arXiv] 2026-09-08 | A Two-Dimensional Test of Cosmological Parity Violation with the 3-Point Correlation Function
[arXiv] 2026-09-08 | Orthogonal signed graphs of degree 5
[arXiv] 2026-09-08 | Three formulas for the Ising and Potts invariants of a knot or link
[arXiv] 2026-09-08 | Active galactic nucleus activity in brightest cluster galaxies at intermediate redshifts in Sunyaev-Zel'dovich--selected clusters
[arXiv] 2026-09-08 | Controllability for 2D water waves: effects of bottom topography and constant vorticity
[arXiv] 2026-09-08 | Interpretable Hyperspectral Unmixing Framework with Fixed Endmember Prior and Structured Residual Refinement
[arXiv] 2026-09-08 | A Discontinuous Galerkin Method for the Intrinsic Beam Model with Kelvin-Voigt Damping
[arXiv] 2026-09-08 | Orthogonal complex structures on flat tori
[arXiv] 2026-09-08 | Distributed Quantum Property Testing with Quantum Carrier Pigeons
[arXiv] 2026-09-08 | FedGenSC: Federated Generative Semantic Communication with Channel-Aware Adaptation
[arXiv] 2026-09-08 | Marigold V2: Revisiting Diffusion Transformers for Monocular Depth Estimation
[arXiv] 2026-09-08 | When Can One Obtain Certificates of Optimality Using Positivstellensaetze?
[arXiv] 2026-09-08 | Windows Malware Detector as a Compound AI System: Trade-Offs in Accuracy, Efficiency, and Adversarial Robustness
[arXiv] 2026-09-08 | Neutron disappearance and the LZ nuclear recoil event
[arXiv] 2026-09-08 | CreaMem: A Scene-Aware Memory Architecture for Personalized Agents
[arXiv] 2026-09-08 | Few-body bound states in the anyon-Hubbard model
[arXiv] 2026-09-08 | Time-Dependent Density Functional Theory with Coulomb Interactions
[arXiv] 2026-09-08 | EBSDmagus: Managing Multi-Stage Dynamical Electron Backscatter Diffraction Simulations
[arXiv] 2026-09-08 | Learning Length-Extrapolatable Recurrent Models
[arXiv] 2026-09-08 | SyncWorld: Visual Calibration Enables World Models as Zero-Shot Simulators
[arXiv] 2026-09-08 | Proxy Policy Steering
[arXiv] 2026-09-08 | Green's Functions from Sample-based Krylov Quantum Diagonalization: An Impurity Solver for Dynamical Mean-Field Theory
[arXiv] 2026-09-08 | Are trees really just butterflies in disguise?
[arXiv] 2026-09-08 | A Data-Driven Framework for Identifying and Prioritizing RPA Opportunities in Healthcare Processes
[arXiv] 2026-09-08 | MeClear: Cooperative Game-Theoretic Attribution and Risk-Aware Memory Clearance for Long-Horizon LLM Agents
[arXiv] 2026-09-08 | The absence of a central metal ion destabilizes phthalocyanine on In$_2$O$_3$(111)
[arXiv] 2026-09-08 | STSG-VQA: Evidence-Grounded Temporal Question Answering from Surgical Spatio-Temporal Scene Graphs
[arXiv] 2026-09-08 | NOAH: Learning the Full Patient Journey. A Longitudinal Multimodal Time-Aware Model for Representation and Forecasting
[arXiv] 2026-09-08 | Copying explains the collective behavior of AI agents in the wild
[arXiv] 2026-09-08 | The size and mass distribution of cold classical TNOs for $5<H<13$
[arXiv] 2026-09-08 | A graph reconstruction problem involving common neighbors
[arXiv] 2026-09-08 | The $\mathrm{L}^1$-Stokes Semigroup
[arXiv] 2026-09-08 | NOvA Dual-Baseline Search for Active-to-Sterile Neutrino Oscillations using Neutrino- and Antineutrino-Enriched Samples
[arXiv] 2026-09-08 | Jointly Satisfying Pareto Optimality and Justified Representation is NP-Hard in Approval-Based Multiwinner Voting
[arXiv] 2026-09-08 | RepoNav: From Snippet Retrieval to File-Centered Repository Navigation for Code Agents
[arXiv] 2026-09-08 | Presenting mirabolic quantum Schur algebras $\mathcal{MS}_v(2,d)$
[arXiv] 2026-09-08 | Nearest structured matrix having an eigenvalue with prescribed lower bounds of algebraic and geometric multiplicities
[arXiv] 2026-09-08 | Instantaneous-Frame Theory of Strongly Driven Parametric Gates
[arXiv] 2026-09-08 | CoVeR: Coverage-Based Token Pruning for Multi-View 3D Reasoning in VLMs
[arXiv] 2026-09-08 | TV-Regulated OPD: Direction Matters in On-Policy Distillation
[arXiv] 2026-09-08 | Ultralow Frequency Magnetic Comb Using Pulse Modulated Spin Maser
[arXiv] 2026-09-08 | Tool Retrievers Are Underestimated: Annotation Expansion Reveals True Capability
[arXiv] 2026-09-08 | AttnCompress: Dynamic Attention-Guided Trajectory Compression for Software Engineering Agents
[arXiv] 2026-09-08 | Supervised Cross-Modal Feature Alignment for Zero-Wearable Freezing of Gait Detection in Parkinsonism
[arXiv] 2026-09-08 | Probing the $B^{0}$ meson in a hot medium with finite baryon chemical potential
[arXiv] 2026-09-08 | Convolutional Codes from Cyclic Codes with Guaranteed Free and Local Minimum Distances
[arXiv] 2026-09-08 | Entropy bounds and global couplings for union-closed families
[arXiv] 2026-09-08 | A Perfectoid Pro-Étale Lie Torsor Can Have a Non-Surjective Sen Map
[arXiv] 2026-09-08 | HypLTSF: A Hyperbolic Geometric View of Multi-Scale Hierarchies for Long-Term Time Series Forecasting
[arXiv] 2026-09-08 | Physics of Information Geometry - Part I: Principle of Least Action on the Probability Simplex
[arXiv] 2026-09-08 | Global Existence and Stability of 3D Stochastic NSEs in Bounded and Unbounded Domains Driven by a Special Multiplicative Wiener Process
[arXiv] 2026-09-08 | SAM3-O2D2: Zero-Shot Object Out-of-Distribution Detection by Object Class Prompting of the SAM3-Image Model
[arXiv] 2026-09-08 | MemForest: Efficient Agent Memory Management via EventTree Partitioning and Progressive Merging
[arXiv] 2026-09-08 | Light-facilitated ferroelectric switching in wurtzite crystals
[arXiv] 2026-09-08 | Quasi-split iYangians: minimalistic presentations and coideal structures
[arXiv] 2026-09-08 | Synergistic Fusion of Topological Structure and Temporal Semantics of Mobility for Urban Region Embedding
[arXiv] 2026-09-08 | Todd's relation conjecture and binary relations for multiple zeta values in positive characteristic
[arXiv] 2026-09-08 | Necessary and Sufficient Condition of Existence for the $p$-Laplacian Quadrature Surfaces Free Boundary Problem in Riemannian Geometry
[arXiv] 2026-09-08 | Existence and strong-field asymptotics of skyrmions in a fourth-order model of frustrated ferromagnets
[arXiv] 2026-09-08 | Revisiting Spectral Representations in Generative Diffusion Models
[arXiv] 2026-09-08 | Agentic ML Exploration (A-MLE) for Ads Ranking
[arXiv] 2026-09-08 | CS-CLIP: Compositional Scene Graph-guided CLIP for Robust Compositional Reasoning
[arXiv] 2026-09-08 | Style Over Substance: Content-Invariant Wrappers Flip LLM Safety-Judge Verdicts
[arXiv] 2026-09-08 | Distribution-free inference on the number of changepoints
[arXiv] 2026-09-08 | Bridging Language and Physics: Automated Design of Continuum Robots with Large Language Models
[arXiv] 2026-09-08 | Drive by Hindsight and Foresight: Tool-Grounded Synergistic Reasoning over Hierarchical Memory for Autonomous Driving
[arXiv] 2026-09-08 | TacClip: a clip-on sensor measures dynamic contact forces without covering the fingerpads
[arXiv] 2026-09-08 | Asymptotically good binary triorthogonal codes and higher-level transversal gates
[arXiv] 2026-09-08 | Beyond Cut Balance: Spectral Sparsification of the Nonlinear Directed Laplacian
[arXiv] 2026-09-08 | Saving resources through repeat-until-success positive-operator-valued-measure measurements in quantum computation
[arXiv] 2026-09-08 | Boundary Voting Network for Ambiguity-Aware Timestamp-Supervised Action Segmentation
[arXiv] 2026-09-08 | Snugi-AI-v2 @ eRisk 2026 Task 2: Early Depression Detection via a Learned Stopping Policy with Sustained Confidence Gate
[arXiv] 2026-09-08 | Transport properties and topological phase transitions for a Creutz-Su-Schrieffer-Heeger ladder
[arXiv] 2026-09-08 | Global mild solutions and the semiclassical limit for the Fermi--Dirac BGK model
[arXiv] 2026-09-08 | Observe Before You Alert: Adaptive Driver Alerting with Vision-Language Models
[arXiv] 2026-09-08 | Regular Bundles on Orbifolds: A Short Proof of Presentability
[arXiv] 2026-09-08 | Negative contacts in genus one: a comparison of punctured and root stack Gromov-Witten theories
[arXiv] 2026-09-08 | Target-adapted Green-Bessel SVGD: uniform-in-time propagation of chaos and last-iterate consistency
[arXiv] 2026-09-08 | Positive biorthogonal curvature on $S^2\times T^2$
[arXiv] 2026-09-08 | Router Prior Bias: Preserving Base Routing Structure in MoE Post-Training
[arXiv] 2026-09-08 | Atomistic modeling of molecular beam epitaxy growth of SrTiO3 and Sr2TiO4 thin films
[arXiv] 2026-09-08 | Procedural Graphs: Self-Evolving Execution Structures for LLM Agents
[arXiv] 2026-09-08 | The border Waring rank of $x_1\cdots x_n$ is $2^{n-1}$
[arXiv] 2026-09-08 | Mixing-suppressed inelastic dark matter: a minimal model for the LZ 248 keV event
[arXiv] 2026-09-08 | On the size of the fibers of a morphism of algebraic varieties
[arXiv] 2026-09-08 | Complex Scalar Dark Matter with a Vector-Like Quark and Lepton: Precision, Flavor, and HL-LHC
[arXiv] 2026-09-08 | Hydrodynamic attractors
[arXiv] 2026-09-08 | On universal elements for doubling geodesic trees
[arXiv] 2026-09-08 | Earth System World Model for What-If Simulations: A Case Study for Terrestrial Ecosystems
[arXiv] 2026-09-08 | Graph-based automata
[arXiv] 2026-09-08 | On the cost of reaching an attainable state for the boundary-controlled 1-D heat equation
[arXiv] 2026-09-08 | Indirect Measurement of the $\rm S^*(E)$ Factor for $\rm {}^{12}C({}^{12}C,\mathit{p}){}^{23}Na$ at Gamow Energies via the Trojan Horse Method with Near-0 degree Spectator Detection
[arXiv] 2026-09-08 | Hybrid Continuous DoA Estimation with Shared-Radius Co-Prime Circular Arrays
[arXiv] 2026-09-08 | $\rm S^*(E)$ measurement of the $\rm {}^{12}C({}^{12}C,α){}^{20}Ne$ reaction at astrophysical energies via the Trojan horse method with $\rm ^{16}O$ quasi-free breakup
[arXiv] 2026-09-08 | Dynamic Latent Space Modeling of Inhomogeneous Poisson Network Processes with Applications to International Relations
[arXiv] 2026-09-08 | Contrasting roles of the superexchange and direct exchange interactions in the metal-insulator transitions of the 2D ferromagnetic $1T$-Fe$X_2$ ($X$=Cl, Br, I) monolayers
[arXiv] 2026-09-08 | Graph-Based Safe Reinforcement Learning for Multi-Agent Systems with Time-Varying Topology
[arXiv] 2026-09-08 | A study of $m$-ary partitions whose conjugates are $q$-ary
[arXiv] 2026-09-08 | The Rater Ising-Potts Model with LLM-Derived Weights: An Application to Multi-Category Scoring Reliability
[arXiv] 2026-09-08 | The Vámos Matroid Has No Second Symmetric Power
[arXiv] 2026-09-08 | Compton-induced HE -- VHE $γ$-rays from pair cascade emissions in the SEDs of radio galaxies: NGC 1275
