[2026-06-25 23:18:03] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-24
正在获取论文...
[arXiv] 2026-06-24 | Euclid Quick Data Release (Q2) -- The Euclid Galactic Bulge Survey
[arXiv] 2026-06-24 | NeuXtalViz: Interactive Three-Dimensional Visualization and Analysis for Single-Crystal Neutron Diffraction
[arXiv] 2026-06-24 | DFMU: Data-Frugal Machine Unlearning
[arXiv] 2026-06-24 | Teach-to-Reason: Competition-Guided Reasoning with a Self-Improving Teacher
[arXiv] 2026-06-24 | The Lp centro-sectional Minkowski problem
[arXiv] 2026-06-24 | HEART: Coordination of Heterogeneous Expert Agents for Physically Grounded Robotic Task Planning
[arXiv] 2026-06-24 | TabClean: Reusable LLM-Synthesized Programs for Tabular Data Cleaning
[arXiv] 2026-06-24 | The tilting property of Whittaker averaged central sheaves
[arXiv] 2026-06-24 | Data-inspired simulation of AR 11158
[arXiv] 2026-06-24 | Sarashina2.2-TTS: Tackling Kanji Polyphony in Japanese Speech Generation via Data Scaling and Targeted Data Synthesis
[arXiv] 2026-06-24 | TheoremGraph: Bridging Formal and Informal Mathematics
[arXiv] 2026-06-24 | Learning Optimization Proxies for Sequential Contextual Stochastic Programs: An Order Fulfillment Application
[arXiv] 2026-06-24 | Agentic Knowledge Tracing: A Multi-Agent LLM Architecture for Stealth Assessment of Financial Literacy in Serious Games
[arXiv] 2026-06-24 | Cache-Resident LLM Inference in GB-Scale Last-Level Caches
[arXiv] 2026-06-24 | AI Coaching for Accelerating Human Skill Development with Reinforcement Learning
[arXiv] 2026-06-24 | Efficient Remote Sensing Instance Segmentation with Linear-Time State Space Distilled Visual Foundation Models
[arXiv] 2026-06-24 | Cross-Subject Predictive Validity for Learning Outcomes of Delayed Start Behavior
[arXiv] 2026-06-24 | Zipf's law before the monetary economy and written administration: volume distribution of kofun, ancient Japanese burial mounds
[arXiv] 2026-06-24 | KidRisk: Benchmark Dataset for Children Dangerous Action Recognition
[arXiv] 2026-06-24 | A note on $\text{ded }κ$ and the part-whole principle
[arXiv] 2026-06-24 | GaN Power Devices and Converter Architectures for AI Data Centers: Efficiency, Reliability, and Deployment Pathways
[arXiv] 2026-06-24 | UC-Search: Risk-Aware Test-Time Search for Delayed Constrained Time-Series Control
[arXiv] 2026-06-24 | CoGeoAD: Hierarchical Color-Geometric Fusion with Multi-View Attention for Zero-Shot 3D Anomaly Detection
[arXiv] 2026-06-24 | Learning Interpretable Text Signals for Structured Responses
[arXiv] 2026-06-24 | Diversity, Equity and Inclusivity in the Australian and New Zealand Medical Physics Workforce
[arXiv] 2026-06-24 | Pre-Warm: Input-Conditioned Weight Initialization for Convolutional Neural Networks
[arXiv] 2026-06-24 | Cross-Modality Structural Guidance in 3D Latent Diffusion for Robust FLAIR Super-Resolution
[arXiv] 2026-06-24 | Sponsored Group Signature and its Application to Privacy-preserving Guest Access in Smart Environments
[arXiv] 2026-06-24 | M-EPDet: Real-Time Real-Bogus Classification and Transient Candidate Judgement for the EP-WXT Pipeline via Multi-Modal Data
[arXiv] 2026-06-24 | A hybrid method for reconstruction of the equation of state of dark energy and its application to Pantheon+SH0ES data
[arXiv] 2026-06-24 | Leptonic CP asymmetry and heavy neutrino searches in seesaw scenario
[arXiv] 2026-06-24 | Minimum-Weight Steiner Triangulation of Convex Polygons Requires Interior Steiner Points
[arXiv] 2026-06-24 | Automorphisms of the Artin group of type $D_5$
[arXiv] 2026-06-24 | A cross-process welding penetration status prediction algorithm based on unsupervised domain adaptation in laser and TIG welding
[arXiv] 2026-06-24 | Model Forensics: Investigating Whether Concerning Behavior Reflects Misalignment
[arXiv] 2026-06-24 | Polynomiality of the Generalized Verschiebung Degree
[arXiv] 2026-06-24 | When Certainty Is an Artifact: Keyword Lexicon Blindness and the (Mis)Measurement of Rhetorical Stance
[arXiv] 2026-06-24 | Deviance-style normalization for jointly overdispersed counts
[arXiv] 2026-06-24 | RoboAtlas: Contextual Active SLAM
[arXiv] 2026-06-24 | Detect, Unlearn, Restore: Defending Text Summarization Models Against Data Poisoning
[arXiv] 2026-06-24 | Every Nonnegative Integer Is a Sum of a Triangular, a Pentagonal, and a Heptagonal Number
[arXiv] 2026-06-24 | Can Trustless Agents Be Trusted? An Empirical Study of the ERC-8004 Decentralized AI Agent Ecosystem
[arXiv] 2026-06-24 | A Simple Numerical Method for Non-Gaussian Signal Ensembles in Nonlinear Power Amplifiers
[arXiv] 2026-06-24 | Primary damage and mechanical degradation of WTaCrV refractory high-entropy alloy: effects of solid-solution and chemical ordering
[arXiv] 2026-06-24 | MIMFlow: Integrating Masked Image Modeling with Normalizing Flows for End-to-End Image Generation
[arXiv] 2026-06-24 | The Tatoxa System for Text Detoxification in Low-Resource Languages: The Case of Tatar
[arXiv] 2026-06-24 | FAR-LIO: Enabling High-Speed Autonomy through Fast, Accurate, and Robust LiDAR-Inertial Odometry
[arXiv] 2026-06-24 | Dziri Voicebot: An End-to-End Low-Resource Speech-to-Speech Conversational System for Algerian Dialect
[arXiv] 2026-06-24 | Hierarchical Reinforcement Learning for Neural Network Compression (HiReLC): Pruning and Quantization
[arXiv] 2026-06-24 | BlowLive: Blow-Based Multi-Factor Biometrics with Liveness Detection and Revocability
[arXiv] 2026-06-24 | Relativity Without Light: Homogeneity, Isotropy, and Determinism Force Quadratic Spacetime Metrics
[arXiv] 2026-06-24 | Poisoning effect of ammonia on the performance and transport process of proton exchange membrane fuel cells
[arXiv] 2026-06-24 | Capturing Nuclear Quantum Effects in Hydrogen Diffusion through MoS2 via Machine-Learning-Enhanced Path-Integral Simulations
[arXiv] 2026-06-24 | SpeechEQ: Benchmarking Emotional Intelligence Quotient in Socially Aware Voice Conversational Models
[arXiv] 2026-06-24 | The Inference-Compute Frontier and a Latency-Efficient Architecture for Limit Order Book Prediction
[arXiv] 2026-06-24 | FoleySet: A Multi-Level Human-Annotated Foley Sound Dataset
[arXiv] 2026-06-24 | Monitoring Discounted Sum Properties
[arXiv] 2026-06-24 | Multi-Agent Goal Recognition with Team- and Goal-Conditioned Reinforcement Learning and Factorized Branch-and-Bound
[arXiv] 2026-06-24 | Tensor network characterization and mitigation of readout errors
[arXiv] 2026-06-24 | A Sensorised Lattice Footplate for a Semi-Active Prosthetic Foot
[arXiv] 2026-06-24 | A Benchmark for Heterogeneous Stereo Deblurring with Physically- and Epipolar-constrained Cross Attention
[arXiv] 2026-06-24 | SE-AGCNet: An End-to-End Framework for Joint Speech Enhancement and Loudness Control in Meeting Scenarios
[arXiv] 2026-06-24 | Pulmonary Embolism Risk Stratification from CTPA and Medical Records: Vascular Graphs Are Not All You Need
[arXiv] 2026-06-24 | Do (Not) Tell Me About My Insecurities: Assessing the Status Quo of Coordinated Vulnerability Disclosure in Germany Amid New EU Cybersecurity Regulations
[arXiv] 2026-06-24 | A $\operatorname{prox}$-Based Semi-Smooth Newton Method for Convex Variational Problems
[arXiv] 2026-06-24 | Finite-sample bounds for regularized optimal transport
[arXiv] 2026-06-24 | DeformGen: Dynamics-Based Topology Augmentation for Deformable Manipulation Policy Learning
[arXiv] 2026-06-24 | Event-Aware Loss Design for Forecasting of Convective Precipitation and Lightning
[arXiv] 2026-06-24 | Overview of HIPE-2026: Person-Place Relation Extraction from Multilingual Historical Texts
[arXiv] 2026-06-24 | Klein--Gordon Dynamics from Intrinsic Phase Periodicity
[arXiv] 2026-06-24 | Knowledge Cascade: Reverse Knowledge Distillation on Nonparametric Multivariate Functional Estimation
[arXiv] 2026-06-24 | A Tattered Cloak of Invisibility: Measuring Anonymity Loss in Railgun on Ethereum
[arXiv] 2026-06-24 | Improving Richardson--Lucy Deconvolution with Diffusion Priors for Fluorescence Microscopy
[arXiv] 2026-06-24 | $\text{DT}^2$: Decision-Targeted Digital Twins
[arXiv] 2026-06-24 | On the link between optoacoustic imaging and selective photothermolysis
[arXiv] 2026-06-24 | Orientation Mapping via Dictionary Indexing of AC-STEM Kikuchi patterns using Open-source Software
[arXiv] 2026-06-24 | Spectral deferred corrections parallelized across the method for differential-algebraic equations
[arXiv] 2026-06-24 | In-context Region-based Drag: Drag Any Region to Any Shape
[arXiv] 2026-06-24 | OracleAnalyser: Analysing Implicit Semantics of Oracle Bone Scripts through MLLMs with Post-training
[arXiv] 2026-06-24 | Count data modeling and forecasting of malaria incidence using generalized time series regression
[arXiv] 2026-06-24 | Amalgam approach to compactness in (quasi-)Banach function spaces
[arXiv] 2026-06-24 | On-Sky Single-photon Time resolution of 35 ps with White Rabbit synchronization: towards the measurement of the size of a White Dwarf star
[arXiv] 2026-06-24 | Developing fast, accurate and spin pure calculations of organic diradical electronic structure
[arXiv] 2026-06-24 | Harnessing electrostatics through temperature modulations to control ferroelectrics
[arXiv] 2026-06-24 | Convergence of the Safeguarded Augmented Lagrangian Method under the Polyak-Lojasiewicz constraint qualification for Constrained Composite Optimization
[arXiv] 2026-06-24 | On the Viability of Requirements Generation From Code: An Experience Report
[arXiv] 2026-06-24 | Accreting Compact Object Binaries with the SKA
[arXiv] 2026-06-24 | EmuGEMM: Fused Tensor Core Kernels for Precision Emulation in Matrix Multiplication
[arXiv] 2026-06-24 | Strong coupling regimes of an organic exciton mirror in a microcavity
[arXiv] 2026-06-24 | Spectral properties and phase diagrams of sparse antagonistic random matrices with diagonal disorder and Jacobian-like structure
[arXiv] 2026-06-24 | Compact radio galaxies: the case of FR0s
[arXiv] 2026-06-24 | AGN Jets from Formation to Dissipation
[arXiv] 2026-06-24 | Opinion Dynamics over Migration Networks
[arXiv] 2026-06-24 | Computing canonical labellings of finite solvable groups
[arXiv] 2026-06-24 | CV-Rules: Serializability Verification of Concurrency Control Protocols via Explicit Transaction Ordering
[arXiv] 2026-06-24 | Helpful or Harmful? Evaluating LLM-Assisted Vulnerability Patching via a Human Study
[arXiv] 2026-06-24 | AI translation of literary texts is "fine", but readers still prefer human translations
[arXiv] 2026-06-24 | Fractionalized Vortices Drive Kosterlitz-Thouless Transitions in Dipole-Conserving Systems
[arXiv] 2026-06-24 | Fault of Our Stars: Behavioral Drivers of Rating-Sentiment Incongruence
[arXiv] 2026-06-24 | On the Encodability of Reversible Process Calculi
[arXiv] 2026-06-24 | Segment Watchman Routes
[arXiv] 2026-06-24 | Conflict-Free Coloring Planar Graphs with 4 Colors
[arXiv] 2026-06-24 | Quantum tomography of free electrons
[arXiv] 2026-06-24 | Wold-type decomposition and Beurling-Type Theorem for Covariant Representations
[arXiv] 2026-06-24 | A Free Sphere Reverses the Rebound Direction of a Near-Wall Cavitation Bubble
[arXiv] 2026-06-24 | Decoupling Semantics and Geometric Grounding: Spatial Visual Prompts for Language-Conditioned Imitation Learning
[arXiv] 2026-06-24 | Geometric Block Exponents and a Uniform Mixed-Alphabet Sumset Inequality
[arXiv] 2026-06-24 | Geometry-Anchored Transport Framework for Exemplar-Free Class-Incremental Learning
[arXiv] 2026-06-24 | Stagnant Neuron: Towards Understanding the Plasticity Loss in Multi-Agent Reinforcement Learning Value Factorization Methods
[arXiv] 2026-06-24 | Decoupling Reconnaissance and Exploitation: Measuring the Capability Boundaries of LLM-Based Web Penetration Testing
[arXiv] 2026-06-24 | Improved Large Language Diffusion Models
[arXiv] 2026-06-24 | Routing Codes: High-Rate Quantum LDPC Codes with Short, Parallel Non-Local Connectivity
[arXiv] 2026-06-24 | Quantum thermodynamics of ergotopy for a relativistic battery as a witness to Unruh-Hawking thermality in curved (A)dS spacetimes
[arXiv] 2026-06-24 | Coarse-Grained Resolution and Pressure-Flux Work Depletion for Navier-Stokes CKN Badness
[arXiv] 2026-06-24 | Data-Driven Evolution of Library and Information Science Research Methods (1990-2022): A Perspective Based on Fine-grained Method Entities
[arXiv] 2026-06-24 | LEVIRDet: A Million-Scale 159-Category Dataset and Foundation Model for Universal Remote Sensing Object Detection
[arXiv] 2026-06-24 | A convolutional neural network surrogate for hierarchical homogenization: fast elastic moduli prediction of digital rocks
[arXiv] 2026-06-24 | Variational Inference via Entropic Transport Descent
[arXiv] 2026-06-24 | Closed Quantum Boltzmann Bridges: Coherent Revivals, Hidden Microstates, and the Emergence of Classical Two-Time Entropy Conditioning
[arXiv] 2026-06-24 | Automatic Generation of Highlights for Academic Paper Via Prompt-based Learning
[arXiv] 2026-06-24 | Multilingual Hematology Visual Question Answering Dataset
[arXiv] 2026-06-24 | The Power of Small Symmetries
[arXiv] 2026-06-24 | A Physics-Informed Statistical Learning Model for Long-Term Fragmentation Cloud Propagation
[arXiv] 2026-06-24 | An Isochron-Free Framework for Phase Reduction and Coupling Inference
[arXiv] 2026-06-24 | Robustness and Leadership in Markov-switching Consensus Networks
[arXiv] 2026-06-24 | AI-Assisted Computational Reproducibility on the FABRIC Testbed
[arXiv] 2026-06-24 | From Cosmological Cuts to Yang--Mills Wavefunctions in de Sitter Space
[arXiv] 2026-06-24 | Sensitivity of Fitting High Order Zernikes
[arXiv] 2026-06-24 | Evolving Quantum Error-Correcting Encodings for Molecular Simulation
[arXiv] 2026-06-24 | LLM-Based Discovery of Latent Requirements from Stakeholder Conversations: Preliminary Results from Industry
[arXiv] 2026-06-24 | A Combined Tight Binding with Machine Learning Potential Model for Magnesium Compounds
[arXiv] 2026-06-24 | Effective Computation of Mutation Paths and Generators of Cluster Automorphism Groups
[arXiv] 2026-06-24 | Naturalness Predicts but Does Not Cause Transferability in Image Encodings of Real-World Streams
[arXiv] 2026-06-24 | Spontaneous spin splitting and tunable valley polarization in a two-dimensional fully compensated ferrimagnet
[arXiv] 2026-06-24 | Search for long-lived particles decaying into muons in proton-proton collisions at $\sqrt{s}$ = 13.6 TeV using data scouting
[arXiv] 2026-06-24 | Variation on a theme of Beauville-Voisin
[arXiv] 2026-06-24 | Coupling of negative-positive trapped-ion pairs
[arXiv] 2026-06-24 | Beyond Function Calling: Benchmarking Tool-Using Agents under Tool-Environment Unreliability
[arXiv] 2026-06-24 | Positron Emission Tomography with quantum-entangled Compton events: first imaging results at clinically relevant activities
[arXiv] 2026-06-24 | MIL-LC: A Robust Magnetometer-Inertial-LiDAR Fusion Multimodal Localization Framework
[arXiv] 2026-06-24 | Biharmonic Wintgen ideal submanifolds in Riemannian manifolds of constant sectional curvature
[arXiv] 2026-06-24 | A Short Note on the Generators of Controlled Quantum Gates
[arXiv] 2026-06-24 | A lifting theorem for generalized Turán numbers of triangles
[arXiv] 2026-06-24 | Category Theoretic Framework for Chemistry I: a Tower of Chemistry
[arXiv] 2026-06-24 | Dual Distribution Estimation for Zero-shot Noisy Test-Time Adaptation with VLMs
[arXiv] 2026-06-24 | OPERA: Aligning Open-Ended Reasoning via Objective Perplexity-based Reinforcement Learning
[arXiv] 2026-06-24 | A Novel Methodology for Evaluating Positive Phase Blast Wave Loading Parameters Using High Speed Video
[arXiv] 2026-06-24 | Exploring the physics of ram pressure stripping with radio continuum observations in the SKA era
[arXiv] 2026-06-24 | A Theory of Bootstrap Coverage Calibration for Generalized Posterior Credible Sets
[arXiv] 2026-06-24 | Position Spaces and Graphs
[arXiv] 2026-06-24 | Mechanical control of the height distribution of adsorbed viral capsids
[arXiv] 2026-06-24 | Learning Asynchronous Upper-body Task-space Trajectory Tracking Policy for Humanoid Robots
[arXiv] 2026-06-24 | DANTE: A Reference-Guided Unsupervised Pipeline for Extended-Transient Anomaly Characterization in LIGO O4a
[arXiv] 2026-06-24 | Sylow theory and the nilpotency class of left nilpotent skew braces
[arXiv] 2026-06-24 | Dissociable Spatial and Temporal Effects of Interaction Latency in Virtual Reality
[arXiv] 2026-06-24 | Brunn--Minkowski Inequality for the First Complex $σ_{2}$-Hessian Eigenvalue
[arXiv] 2026-06-24 | Exploring Gravitational Wave Science Frontiers with the SKAO
[arXiv] 2026-06-24 | Quantum Detectability in Invisibility Cloaks
[arXiv] 2026-06-24 | Features of long particle beam self-modulated in plasma
[arXiv] 2026-06-24 | Steering Vision-Language Models with Joint Sparse Autoencoders
[arXiv] 2026-06-24 | Retrieval-Grounded Multilingual LLM Assistance for Island Smallholder Farmers
[arXiv] 2026-06-24 | An economic cascadic tensor multigrid method for solving high dimensional elliptic linear partial differential problems
[arXiv] 2026-06-24 | Optimization-Based Velocity-Integral Sliding-Window Coarse Alignment: Attitude Error Analysis and Validation
[arXiv] 2026-06-24 | One Model, Many Latencies: Universal Speech Enhancement for Diverse Real-Time Applications
[arXiv] 2026-06-24 | Bar-recursion and Preservation of Cardinals
[arXiv] 2026-06-24 | IntentTester: Intent-Driven Multi-agent Framework for Cross-Library Test Migration
[arXiv] 2026-06-24 | Performance Analysis for Heterogeneous Air-Ground ISAC in Coordinated Multipoint Networks
[arXiv] 2026-06-24 | argosim: a Python package for radio interferometric simulations
[arXiv] 2026-06-24 | VesNet: Neural network accelerated solver for simulating Stokesian vesicle suspensions
[arXiv] 2026-06-24 | Energy-Efficient CNN Acceleration with MSDF Digit-Serial Arithmetic on FPGA
[arXiv] 2026-06-24 | Efficient Cross-Scale Invertible Hiding Network with Spatial-Frequency Collaboration and Non-Invertible Mechanism
[arXiv] 2026-06-24 | SAC$^2$-Net: Semantic Anchoring and Complementary-Consensus Fusion for Multimodal Micro-Expression Recognition
[arXiv] 2026-06-24 | Global existence of weak solutions for the Maxwell--Stefan system in the whole space
[arXiv] 2026-06-24 | Evaluating LLMs on Real-World Software Performance Optimization
[arXiv] 2026-06-24 | Numerical thermalization in $n$-D particle-in-cell simulations
[arXiv] 2026-06-24 | Beyond One-Size-Fits-All: Diagnosis-Driven Online Reinforcement Learning with Offline Priors
[arXiv] 2026-06-24 | Unveiling the nature of barium stars. I. Asteroseismic masses and the evolutionary link between Ba dwarfs and giants
[arXiv] 2026-06-24 | ASSCG: Just-Right Gating over Chattering for Fast-Slow LLM Planning in Autonomous Driving
[arXiv] 2026-06-24 | AISPO: Enhancing Depth Reliability for Robotic Manipulation of Non-Lambertian Objects via Affine-Invariant Shape Prior
[arXiv] 2026-06-24 | Holonomies and Boundary Symmetries in the Discrete BF Formulation of Carroll Dilaton Gravity
[arXiv] 2026-06-24 | SAGE-Nav: Leveraging LLM Planning and Alignment Fusion for Hierarchical Scene Graph-Guided Navigation
[arXiv] 2026-06-24 | HG-Bench: A Benchmark for Multi-Page Handwritten Answer-Region Grounding in Automated Homework Assessment
[arXiv] 2026-06-24 | The renormalization of the shell-model neutrinoless double-beta decay operator starting from effective field theory (I)
[arXiv] 2026-06-24 | Prescribed lifts of 2-dimensional representations
[arXiv] 2026-06-24 | Cross-View Variance Correlation in Path-Traced Stereo:A Hidden Shortcut in Synthetic Training Data
[arXiv] 2026-06-24 | Rate-Aware Quantum-Inspired Trajectory Learning for Interference-Limited Multi-UAV Networks
[arXiv] 2026-06-24 | TACO: Towards Task-Consistent Open-Vocabulary Adaptation in Video Recognition
[arXiv] 2026-06-24 | Generative AI for Safe and Photorealistic Drone Light Shows
[arXiv] 2026-06-24 | Towards an HRS Category in TermCOMP
[arXiv] 2026-06-24 | C3-Bench: A Context-Aware Change Captioning Benchmark
[arXiv] 2026-06-24 | Does Translation-Enhanced Speech Encoder Pre-training Affect Speech LLMs?
[arXiv] 2026-06-24 | Three-Dimensional Positive-Cone Oldroyd-B Flows:Geometric Continuation and Residual-Work Criteria
[arXiv] 2026-06-24 | LinStereo: Linear-Complexity Global Attention for Multi-Scale Iterative Stereo Matching
[arXiv] 2026-06-24 | Above the Inner Loop: Exceeding Accelerate at LLM Prefill GEMM on the M1 AMX
[arXiv] 2026-06-24 | Center-Fed Pinching Antenna System for Uplink Environment Sensing
[arXiv] 2026-06-24 | Beyond Next-Observation Prediction: Agent-Authored World Modeling for Sequential Decision Making
[arXiv] 2026-06-24 | Emergence of Quasi-two-dimensional Superconductivity in W-doped Bulk Noncentrosymmetric 3$R$-TaSe$_2$
[arXiv] 2026-06-24 | S2-CAR: Segmentation-Supervised Complexity-Adaptive Recommendation
[arXiv] 2026-06-24 | Spin-imbalanced fermion on a dynamic lattice
[arXiv] 2026-06-24 | Positron-Emitting and Electron-Capturing Double-Beta Processes in the Standard Model and Beyond
[arXiv] 2026-06-24 | On the entropic convergence for piecewise deterministic samplers: speedup and obstruction
[arXiv] 2026-06-24 | Converging on bound states in coupled-channel calculations
[arXiv] 2026-06-24 | Quantum Back-Action Expands the Excitonic Hilbert Space in a Soft Polar Semiconductor
[arXiv] 2026-06-24 | Oscillation inequalities, lower ball growth and Sobolev embeddings on metric measure spaces
