[2026-05-06 22:53:38] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-05
正在获取论文...
[arXiv] 2026-05-05 | LIPPEN: A Lightweight In-Place Pointer Encryption Architecture for Pointer Integrity
[arXiv] 2026-05-05 | ZK-Value: A Practical Zero-Knowledge System for Verifiable Data Valuation
[arXiv] 2026-05-05 | Non-Markovian Electroweak Baryogenesis: Memory Effects on CP-Violating Transport and Gravitational Waves
[arXiv] 2026-05-05 | Optical Variability Structure Function of Low-Luminosity AGN using ATLAS Lightcurves
[arXiv] 2026-05-05 | Experimental demonstration of a coherent detector blinding attack on a real CV-QKD system
[arXiv] 2026-05-05 | Optimal Navigation in Stochastic and Disordered Gridworlds
[arXiv] 2026-05-05 | HeadQ: Model-Visible Distortion and Score-Space Correction for KV-Cache Quantization
[arXiv] 2026-05-05 | Local interaction of two systems with saddle-node bifurcations: mutualistic and mixed cases
[arXiv] 2026-05-05 | Optimal Union Probability Interval Is NP-Hard
[arXiv] 2026-05-05 | On the shape of the positivity region for a free boundary problem describing cell polarization
[arXiv] 2026-05-05 | DALPHIN: Benchmarking Digital Pathology AI Copilots Against Pathologists on an Open Multicentric Dataset
[arXiv] 2026-05-05 | Searching For Fast Radio Transients And Radio Pulsars Using SPOTLIGHT
[arXiv] 2026-05-05 | Kolmogorov-Smirnov distance and discrepancies versus Wasserstein distances
[arXiv] 2026-05-05 | Parametrizing Convex Sets Using Sublinear Neural Networks
[arXiv] 2026-05-05 | Scale-Dependent Input Representation and Confidence Estimation for LLMs in Materials Property Prediction
[arXiv] 2026-05-05 | Growth rates of indecomposable summands in tensor powers of representations of quivers
[arXiv] 2026-05-05 | Self-Interaction Bounds on Ultralight Dark Matter Couplings to Matter
[arXiv] 2026-05-05 | Large Language Models are Universal Reasoners for Visual Generation
[arXiv] 2026-05-05 | Localic Relations with Open Cones
[arXiv] 2026-05-05 | OpenSeeker-v2: Pushing the Limits of Search Agents with Informative and High-Difficulty Trajectories
[arXiv] 2026-05-05 | Probabilistic-bit Guided CDCL for SAT Solving using Ising Consensus Assumptions
[arXiv] 2026-05-05 | Conditional Diffusion Sampling
[arXiv] 2026-05-05 | SymptomAI: Towards a Conversational AI Agent for Everyday Symptom Assessment
[arXiv] 2026-05-05 | PySME v1.0: improved modelling of stellar spectra for survey-scale applications
[arXiv] 2026-05-05 | Domain-Adaptive Dense Retrieval for Brazilian Legal Search
[arXiv] 2026-05-05 | Structural Limits of OHLCV-Based Intraday Signals in MNQ Futures: A Systematic Falsification Study
[arXiv] 2026-05-05 | Physics-Grounded Multi-Agent Architecture for Traceable, Risk-Aware Human-AI Decision Support in Manufacturing
[arXiv] 2026-05-05 | EQUITRIAGE: A Fairness Audit of Gender Bias in LLM-Based Emergency Department Triage
[arXiv] 2026-05-05 | Joint Design of Piggyback and Conjugate Transformation Functions for Repair Bandwidth Reduction in Piggybacking Codes
[arXiv] 2026-05-05 | Classification of irreducible Harish-Chandra modules over extended Divergence-zero Lie algebras
[arXiv] 2026-05-05 | Flow Sampling: Learning to Sample from Unnormalized Densities via Denoising Conditional Processes
[arXiv] 2026-05-05 | An $\widetilde{O} (n^{3/7})$ Round Parallel Algorithm for Matroid Bases
[arXiv] 2026-05-05 | Quantum metrology of mixed states via purification
[arXiv] 2026-05-05 | Inverse-designed release-free optomechanical crystal with high photon-phonon coupling
[arXiv] 2026-05-05 | Near-Field Beam Focusing Characterization for 2D Waveguide-Fed Metasurface Antennas
[arXiv] 2026-05-05 | Sequential vs. Simultaneous Entanglement Swapping under Optimal Link-Layer Control
[arXiv] 2026-05-05 | Fast, accurate, high-resolution simulation of large-scale Fermi-Hubbard models on a digital quantum processor
[arXiv] 2026-05-05 | Ringdown Analysis of GW250114 with Orthonormal Modes
[arXiv] 2026-05-05 | A connection between minimal nilpotent orbits of types A and D via Hamiltonian reduction
[arXiv] 2026-05-05 | Graph Reconstruction from Differentially Private GNN Explanations
[arXiv] 2026-05-05 | Harnessing DEN models for quantum computing tasks on neutral atom QPUs
[arXiv] 2026-05-05 | Nonuniform superconducting states from Majorana flat bands
[arXiv] 2026-05-05 | Resonances as signatures of scalar clouds in eccentric extreme-mass-ratio inspirals
[arXiv] 2026-05-05 | Variational Joint Magnetometry and Gradiometry on Dipolar Spin Chains
[arXiv] 2026-05-05 | WorldJen: An End-to-End Multi-Dimensional Benchmark for Generative Video Models
[arXiv] 2026-05-05 | Quantum Resource Estimation for Minimising Energy Grid Losses
[arXiv] 2026-05-05 | Asymptotic properties of random monomial ideals
[arXiv] 2026-05-05 | A duality for definable subcategories and its application to torsion classes
[arXiv] 2026-05-05 | VL-SAM-v3: Memory-Guided Visual Priors for Open-World Object Detection
[arXiv] 2026-05-05 | High-Redshift Gravitational Lens Discoveries in JWST NIRCam Using AnomalyMatch
[arXiv] 2026-05-05 | Exposing LLM Safety Gaps Through Mathematical Encoding:New Attacks and Systematic Analysis
[arXiv] 2026-05-05 | Demonstration of a compact optical resonator-based displacement sensing technique with sub-femtometer precision
[arXiv] 2026-05-05 | DD-pair production in the parton Reggeization approach taking into account single and double parton scattering scenarios
[arXiv] 2026-05-05 | DynaTab: Dynamic Feature Ordering as Neural Rewiring for High-Dimensional Tabular Data
[arXiv] 2026-05-05 | Replacing Parameters with Preferences: Federated Alignment of Heterogeneous Vision-Language Models
[arXiv] 2026-05-05 | Behaviour of Certain Crystalline Representations modulo $2$
[arXiv] 2026-05-05 | Adaptive Dual-Path Framework for Covert Semantic Communication
[arXiv] 2026-05-05 | Identification of Clock Ensemble Noise Parameters Using Differential Measurement Analysis
[arXiv] 2026-05-05 | Flow instability in Stokes layer of Carreau fluids
[arXiv] 2026-05-05 | Critical study of A. Eswari and S. Sarvana kumar, "Chronoamperometric response of electrochemical reaction diffusion system: a new theoretical and numerical investigation for EC2 scheme", in J. Iran. Chem. Soc. 21(8), (2024), 2183-2199
[arXiv] 2026-05-05 | DACP: A Scientific Data Access and Collaboration Protocol
[arXiv] 2026-05-05 | Sparkling bubbles in chiral active fluids
[arXiv] 2026-05-05 | Adaptive Estimation and Optimal Control in Offline Contextual MDPs without Stationarity
[arXiv] 2026-05-05 | Two Calls, Two Moments, and the Vote-Accuracy Curve of Repeated LLM Inference
[arXiv] 2026-05-05 | Learning Dynamics of Zeroth-Order Optimization: A Kernel Perspective
[arXiv] 2026-05-05 | SoDa2: Single-Stage Open-Set Domain Adaptation via Decoupled Alignment for Cross-Scene Hyperspectral Image Classification
[arXiv] 2026-05-05 | Scalar bosonic oscillator fields in LV-wormholes
[arXiv] 2026-05-05 | Optimal error bounds on the exponential wave integrator for nonlinear Schrödinger equations with highly singular potential
[arXiv] 2026-05-05 | VLMaxxing through FrameMogging Training-Free Anti-Recomputation for Video Vision-Language Models
[arXiv] 2026-05-05 | The depth function of powers of cover ideals of path graphs
[arXiv] 2026-05-05 | Inclusive breakup of three-body projectiles: A unified four-body framework for pair-detected and single-particle observables
[arXiv] 2026-05-05 | Automated Large-scale CVRP Solver Design via LLM-assisted Flexible MCTS
[arXiv] 2026-05-05 | Superposition of quasi coherent Bohm Madelung waves
[arXiv] 2026-05-05 | Explosion versus decay for boundary derivatives of $p$-harmonic functions as $p$ tends to 1: nonlocality
[arXiv] 2026-05-05 | Does $ψ(4660)$ exist?
[arXiv] 2026-05-05 | Forward--Backward Green Cosine Geometry for Directed Community Detection and Overlap Expansion
[arXiv] 2026-05-05 | Quantitative cavity-enhanced photothermal dynamics in TMDC-integrated ultrahigh-Q microcavities
[arXiv] 2026-05-05 | TACO: Trajectory Aligning Cross-view Optimisation
[arXiv] 2026-05-05 | When to Think, When to Speak: Learning Disclosure Policies for LLM Reasoning
[arXiv] 2026-05-05 | LLM-XTM: Enhancing Cross-Lingual Topic Models with Large Language Models
[arXiv] 2026-05-05 | Neural Control: Adjoint Learning Through Equilibrium Constraints
[arXiv] 2026-05-05 | Characterizing Finite Groups via Subgroup Perfect Codes
[arXiv] 2026-05-05 | The consecutive lifting-projection flow as an approximation of Boltzmann and Landau flow
[arXiv] 2026-05-05 | Ultrafast acoustic modulation of second-harmonic generation in monolayer transition metal dichalcogenides
[arXiv] 2026-05-05 | Partial Effective Information Decomposition for Synergistic Causality
[arXiv] 2026-05-05 | Intrinsic effective sample size for manifold-valued Markov chain Monte Carlo via kernel discrepancy
[arXiv] 2026-05-05 | MultiLRSGA: A method for multi-player differentiable games
[arXiv] 2026-05-05 | The Right Answer, the Wrong Direction: Why Transformers Fail at Counting and How to Fix It
[arXiv] 2026-05-05 | Revisiting the Stress Field Inside an Elastic Sphere Subjected to a Concentrated Load
[arXiv] 2026-05-05 | Modular flow of Celestial Conformal Field Theory
[arXiv] 2026-05-05 | Exploring Sustainability in Scientific Software through Code Quality & Test Coverage Metrics
[arXiv] 2026-05-05 | On Model-Based Clustering With Entropic Optimal Transport
[arXiv] 2026-05-05 | Squid-inspired soft superpropulsion
[arXiv] 2026-05-05 | A Closed-Form Adaptive-Landmark Kernel for Certified Point-Cloud and Graph Classification
[arXiv] 2026-05-05 | What is a resonance? And why does it matter?
[arXiv] 2026-05-05 | A Berry-Esseen Bound for Quantum Lattice Systems
[arXiv] 2026-05-05 | Design and Analysis of Quantum Dual-Containing CSS LDPC Codes based on Quasi-Dyadic Matrices
[arXiv] 2026-05-05 | Transformers with Selective Access to Early Representations
[arXiv] 2026-05-05 | Novel Realizations of Warp Drive Spacetimes as Solutions of General Relativity
[arXiv] 2026-05-05 | Reservoir property image slices from the Groningen gas field for image translation and segmentation
[arXiv] 2026-05-05 | Extended-variable relaxations for the constrained generalized maximum-entropy sampling problem
[arXiv] 2026-05-05 | Generating Proof-of-Vulnerability Tests to Help Enhance the Security of Complex Software
[arXiv] 2026-05-05 | MOSAIC-Bench: Measuring Compositional Vulnerability Induction in Coding Agents
[arXiv] 2026-05-05 | Magnetic geodesics, Hodge Laplacian eigenvalues, and isoperimetric inequalities
[arXiv] 2026-05-05 | Towards Open World Sound Event Detection
[arXiv] 2026-05-05 | Magic-Informed Quantum Architecture Search
[arXiv] 2026-05-05 | Optimal Posterior Sampling for Policy Identification in Tabular Markov Decision Processes
[arXiv] 2026-05-05 | A frictional control mechanism of circumpolar transport in barotropic reentrant channel models
[arXiv] 2026-05-05 | Task-Aware Scanning Parameter Configuration for Robotic Inspection Using Vision Language Embeddings and Hyperdimensional Computing
[arXiv] 2026-05-05 | Searching for long-lived particles with the ILD experiment
[arXiv] 2026-05-05 | Contextual Multi-Objective Optimization: Rethinking Objectives in Frontier AI Systems
[arXiv] 2026-05-05 | The Keplerian disk, envelope, and streamers surrounding an early O-type protostar in the Sagittarius C cloud of the Central Molecular Zone
[arXiv] 2026-05-05 | Multipole Functions for Image Analysis II: Equal Area Weighting and Application to Supernova Remnant Images
[arXiv] 2026-05-05 | Phase-Corrected Near-Field Microwave Imaging via Inverse Source Reconstruction with Modulated Signals
[arXiv] 2026-05-05 | Spatiotemporal Convolutions on EEG signal -- A Representation Learning Perspective on Efficient and Explainable EEG Classification with Convolutional Neural Nets
[arXiv] 2026-05-05 | Surviving the Edge: Federated Learning under Networking and Resource Constraints
[arXiv] 2026-05-05 | On Adaptivity in Zeroth-Order Optimization
[arXiv] 2026-05-05 | A Foundation for the Core Mathematician
[arXiv] 2026-05-05 | Holomorphically parallelizable solvmanifolds with special metrics and their deformations
[arXiv] 2026-05-05 | Parameter-Efficient Multi-View Proficiency Estimation: From Discriminative Classification to Generative Feedback
[arXiv] 2026-05-05 | Mechanical Conscience: A Mathematical Framework for Dependability of Machine Intelligenc
[arXiv] 2026-05-05 | SOAR: Real-Time Joint Optimization of Order Allocation and Robot Scheduling in Robotic Mobile Fulfillment Systems
[arXiv] 2026-05-05 | TRACE: A Metrologically-Grounded Engineering Framework for Trustworthy Agentic AI Systems in Operationally Critical Domains
[arXiv] 2026-05-05 | A Domain Incremental Continual Learning Benchmark for ICU Time Series Model Transportability
[arXiv] 2026-05-05 | KVerus: Scalable and Resilient Formal Verification Proof Generation for Rust Code
[arXiv] 2026-05-05 | IRIS NUV diagnostics for Ellerman bombs: spectral properties, thermodynamics, and formation height
[arXiv] 2026-05-05 | A Directivity-Dependent Rician K-Factor Model for Indoor Industrial Channels
[arXiv] 2026-05-05 | Agentic-imodels: Evolving agentic interpretability tools via autoresearch
[arXiv] 2026-05-05 | ScrapMem: A Bio-inspired Framework for On-device Personalized Agent Memory via Optical Forgetting
[arXiv] 2026-05-05 | Towards accurate extreme event likelihoods from diffusion model climate emulators
[arXiv] 2026-05-05 | Sparse Rank Regression for Restricted-Access Economic Data
[arXiv] 2026-05-05 | Central series of cocommutative Hopf braces
[arXiv] 2026-05-05 | A note on cycles in cyclically $4$-edge-connected cubic planar graphs
[arXiv] 2026-05-05 | ReLeaf: Benchmarking Leaf Segmentation across Domains and Species
[arXiv] 2026-05-05 | VERSUS: An excursion-set-inspired void-finder for the Stage-IV era
[arXiv] 2026-05-05 | Gossamer Superconductivity in Moiré WSe$_2$ Bilayer
[arXiv] 2026-05-05 | Benchmarking Parameter-Efficient Fine-Tuning of Large Language Models for Low-Resource Tajik Text Generation with the Tajik Web Corpus
[arXiv] 2026-05-05 | Defect-Engineered Beryllium Dinitride (BeN2) Monolayer with Light-Metal Decoration for Reversible High-Capacity Hydrogen Storage
[arXiv] 2026-05-05 | On existence of local and global strong solutions for the stochastic tamed Navier-Stokes equations on $\mathbb{R}^3$
[arXiv] 2026-05-05 | A Correction Method for Crack Area Overestimation in Phase-Field Fracture
[arXiv] 2026-05-05 | Linear and Non-Linear Rheology of Single and Double Cross-Linked Biopolymer Networks under Viscous Shear Flow
[arXiv] 2026-05-05 | Detecting Stealth Sycophancy in Mental-Health Dialogue with Dynamic Emotional Signature Graphs
[arXiv] 2026-05-05 | FINER-SQL: Boosting Small Language Models for Text-to-SQL
[arXiv] 2026-05-05 | Cubic edge dispersion in a semi-Dirac Chern insulator
[arXiv] 2026-05-05 | Analysis and Design of Double-Transmitting Coil Systems based on Parity-Time Symmetry
[arXiv] 2026-05-05 | A Comparison of Traditional Machine Learning Algorithms and LSTM-Based Deep Learning Models for Email Sentiment Analysis
[arXiv] 2026-05-05 | Promoting Fair Online Resource Allocation with Indivisible Units
[arXiv] 2026-05-05 | Quantum Hierarchical Reinforcement Learning via Variational Quantum Circuits
[arXiv] 2026-05-05 | FIBER: A Differentially Private Optimizer with Filter-Aware Innovation Bias Correction
[arXiv] 2026-05-05 | Deepfake Audio Detection Using Self-supervised Fusion Representations
[arXiv] 2026-05-05 | A Proximal Augmented Lagrangian Method Based on Quadratic Approximations for Weakly Convex Optimization
[arXiv] 2026-05-05 | Geometry over Density: Few-Shot Cross-Domain OOD Detection
[arXiv] 2026-05-05 | Robust Agent Compensation (RAC): Teaching AI Agents to Compensate
[arXiv] 2026-05-05 | Reflections on future problems in cluster science
[arXiv] 2026-05-05 | PODiff: Latent Diffusion in Proper Orthogonal Decomposition Space for Scientific Super-Resolution
[arXiv] 2026-05-05 | Design and Implementation of BNN-Based Object Detection on FPGA
[arXiv] 2026-05-05 | Monogenity of pure quintic fields: the power of sieving
[arXiv] 2026-05-05 | DECKER: Domain-invariant Embedding for Cross-Keyboard Extraction and Recognition
[arXiv] 2026-05-05 | Population-Aware Imitation Learning in Mean-field Games with Common Noise
[arXiv] 2026-05-05 | Finite Knot Theory via Ropelength-Filtered Reidemeister Graphs
[arXiv] 2026-05-05 | Toward Structural Multimodal Representations: Specialization, Selection, and Sparsification via Mixture-of-Experts
[arXiv] 2026-05-05 | Finite-frequency fluctuation-response bounds for open quantum systems
[arXiv] 2026-05-05 | Centralizing Task-based Approach to Quantum Network Control
[arXiv] 2026-05-05 | WGAN based Inverse Design of Active Dual Band FSS with Switchable Transmission
[arXiv] 2026-05-05 | COCONUT: Toward practical time-evolving Sun-to-Earth magnetohydrodynamic modeling
[arXiv] 2026-05-05 | A Search for High Frequency Oscillations in TESS Cycle 7
[arXiv] 2026-05-05 | Single-Step Six-Dimensional Movable Antenna Reconfiguration for High-Mobility IoV: Modeling, Analysis, and Optimization
[arXiv] 2026-05-05 | A joint longitudinal-survival framework for dynamic treatment regimen evaluation in sequential multiple assignment randomized trials
[arXiv] 2026-05-05 | AHPA: Adaptive Hierarchical Prior Alignment for Diffusion Transformers
[arXiv] 2026-05-05 | MemFlow: Intent-Driven Memory Orchestration for Small Language Model Agents
[arXiv] 2026-05-05 | Stable Multimodal Graph Unlearning via Feature-Dimension Aware Quantile Selection
[arXiv] 2026-05-05 | SHIELD: A Diverse Clinical Note Dataset and Distilled Small Language Models for Enterprise-Scale De-identification
[arXiv] 2026-05-05 | Smoothed estimation of Wasserstein barycenters
[arXiv] 2026-05-05 | Cheap Expertise: Mapping and Challenging Industry Perspectives in the Expert Data Gig Economy
[arXiv] 2026-05-05 | Imbalanced Classification under Capacity Constraints
[arXiv] 2026-05-05 | VEBench:Benchmarking Large Multimodal Models for Real-World Video Editing
[arXiv] 2026-05-05 | Beyond Similarity Search: A Unified Data Layer for Production RAG Systems
[arXiv] 2026-05-05 | RLDX-1 Technical Report
[arXiv] 2026-05-05 | Operationalizing Software Engineering Theories for Practical Validation
[arXiv] 2026-05-05 | Mirror Quantum Tomography Finds Unexpected Polarization Phenomena in Z Boson Production in pp Collisions at the LHC
[arXiv] 2026-05-05 | Ortho-Hydra: Orthogonalized Experts for DiT LoRA
[arXiv] 2026-05-05 | Spectral correspondence for cyclic Higgs bundles
[arXiv] 2026-05-05 | OptiLookUp: An Optical ROM-Based Loop up Table Engine for Photonic Accelerators
[arXiv] 2026-05-05 | The First Look of Gaia: Daily data quality and instrument health assessment with automated early warnings
[arXiv] 2026-05-05 | Rose-SQL: Role-State Evolution Guided Structured Reasoning for Multi-Turn Text-to-SQL
[arXiv] 2026-05-05 | Modular functors and CFT correlators via double categories
[arXiv] 2026-05-05 | SprayCheck: Finding Gray Failures in Adaptive Routing Networks
[arXiv] 2026-05-05 | Statistical Inference via T-Posterior Randomised Estimators
[arXiv] 2026-05-05 | Deterministic positioning of circular Bragg gratings using atomic force lithography for high-performance quantum dot light sources
[arXiv] 2026-05-05 | ELAS: Efficient Pre-Training of Low-Rank Large Language Models via 2:4 Activation Sparsity
[arXiv] 2026-05-05 | Sensorless State Estimation and Control for Agile Cable-Suspended Payload Transport by Quadrotors
[arXiv] 2026-05-05 | Feasibility-aware Hybrid Control for Motion Planning under Signal Temporal Logics
[arXiv] 2026-05-05 | Lectures on Condensed Mathematics
[arXiv] 2026-05-05 | Cross-Slice Co-Location Risk-Aware SFC Provisioning in Multi-Slice LEO Satellite Networks
[arXiv] 2026-05-05 | Lectures on Analytic Geometry
[arXiv] 2026-05-05 | Virasoro flow, monodromy, and indecomposable structures in critical AdS$_3$ topologically massive gravity
[arXiv] 2026-05-05 | On the partition function of a class of Mallows model
[arXiv] 2026-05-05 | Turbophoresis of inertial particles in inhomogeneous turbulence produced by oscillating grids
[arXiv] 2026-05-05 | A Note on the Laplacian Eigenvectors of Threshold Graphs
[arXiv] 2026-05-05 | Characteristic-free approaches around Yu's construction
[arXiv] 2026-05-05 | Information Plane Analysis of Binary Neural Networks
[arXiv] 2026-05-05 | Robust chemotaxis beyond sensing limits: signal, noise, and strategy
[arXiv] 2026-05-05 | Primordial high energy neutrinos
[arXiv] 2026-05-05 | Leveraging Code Automorphisms for Improved Syndrome-Based Neural Decoding
[arXiv] 2026-05-05 | The Infinite Mutation Engine? Measuring Polymorphism in LLM-Generated Offensive Code
[arXiv] 2026-05-05 | Pressure-equilibrium-preserving and fully conservative discretization of compressible flow equations for real and thermally perfect gases
[arXiv] 2026-05-05 | Cusped singularities organize mixed-mode oscillations in mutually inhibitory slow-fast systems
[arXiv] 2026-05-05 | Dante: An Open Source Model Pre-Training and Fine-Tuning Tool for the Dafne Federated Framework for Medical Image Segmentation
[arXiv] 2026-05-05 | Poisson Empirical Bayes via Gamma-Smoothed Nonparametric Maximum Likelihood
[arXiv] 2026-05-05 | Pressure induced Electronic and Structural Transition in Ba$_2$NiTeO$_6$
[arXiv] 2026-05-05 | Flow Matching on Symmetric Spaces
[arXiv] 2026-05-05 | Role of $a_0(1710)$ in the $J/ψ\toρ^+ρ^-ω$ and $J/ψ\toγρ^0ω$ reactions
[arXiv] 2026-05-05 | Stochastic Schrödinger Diffusion Models for Pure-State Ensemble Generation
[arXiv] 2026-05-05 | Resource Allocation and AoI-Aware Detection for ISAC with Stacked Intelligent Metasurfaces
[arXiv] 2026-05-05 | Pseudovorticity of 2+1D optical solitons
[arXiv] 2026-05-05 | Hyper-Minimization for Deterministic Register Automata
[arXiv] 2026-05-05 | Understanding Self-Supervised Learning via Latent Distribution Matching
[arXiv] 2026-05-05 | Rational Communication Shapes Morphological Composition
[arXiv] 2026-05-05 | Interface pinch-off in the presence of a soluble surfactant
[arXiv] 2026-05-05 | Interpreting Galaxy Physical Properties Using Stellar Population Synthesis
[arXiv] 2026-05-05 | Bandits attack function optimization
[arXiv] 2026-05-05 | Adaptive graph-based algorithms for conditional anomaly detection and semi-supervised learning
[arXiv] 2026-05-05 | Real-Time Evaluation of Autonomous Systems under Adversarial Attacks
[arXiv] 2026-05-05 | Orientation-Aware Unsupervised Domain Adaptation for Brain Tumor Classification Across Multi-Modal MRI
[arXiv] 2026-05-05 | Weighted algebraic topology, II (Relative metrics)
[arXiv] 2026-05-05 | First-principles prediction of chiral-phonon-induced orbital accumulation
