[2026-09-15 23:59:06] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-14
正在获取论文...
[arXiv] 2026-09-14 | On the number of solutions to $S$-unit equations
[arXiv] 2026-09-14 | The Robust Ten Martini Problem
[arXiv] 2026-09-14 | When Is a Relevance Threshold Statistically Resolvable? Minimax Limits for Effect Classification
[arXiv] 2026-09-14 | Shannon Integrals and Applications to Reimann-Hilbert Problems
[arXiv] 2026-09-14 | The Economics of Recursive Self-Improvement
[arXiv] 2026-09-14 | Gaussian Comparison Theorems for High-Dimensional Posterior Inference
[arXiv] 2026-09-14 | On the intrinsic hydrostatic energy structure of the barotropic compressible primitive equations
[arXiv] 2026-09-14 | Microstructure-Resolved Impedance Modeling of Solid-State Batteries
[arXiv] 2026-09-14 | MoveBench: A Benchmark for Global-Scale Wildlife Movement Forecasting
[arXiv] 2026-09-14 | EvoOntology: A Self-Evolving Ontology Layer for Data Agents
[arXiv] 2026-09-14 | Proximity-induced charge density waves in a moiré heterobilayer
[arXiv] 2026-09-14 | Ab Initio Emergence and Collapse of Nuclear Collectivity near N = Z = 40
[arXiv] 2026-09-14 | The Strong Naor--Schechtman Convolution Inequality on the Product of Cyclic Groups
[arXiv] 2026-09-14 | Deep Koopman Sensing
[arXiv] 2026-09-14 | OASIS: Online Adaptive Video Compression via Closed-loop Feedback Control
[arXiv] 2026-09-14 | Using the Circumgalactic Medium of Dwarf Galaxies as a Calorimetric Dark Matter Detector
[arXiv] 2026-09-14 | A Modular, Topology-Aware Software Stack for Entanglement-Based Distributed Quantum Computing
[arXiv] 2026-09-14 | On the Malliavin calculus on product spaces and an infinite de Jong theorem
[arXiv] 2026-09-14 | Iron Nuclei with Energy of 10^19 eV in Extragalactic Cosmic Rays Near Earth
[arXiv] 2026-09-14 | The Case Against Hall-Petch Hardening in High Entropy Carbide Ceramics
[arXiv] 2026-09-14 | Beyond Accuracy: Robustness, Cost, and Governance Trade-offs for Vision-Language Models in Templated Document Extraction
[arXiv] 2026-09-14 | The variety generated by all semirings of order three is nonfinitely based
[arXiv] 2026-09-14 | OpenQARP: a modular framework for quantum application research
[arXiv] 2026-09-14 | Complete Suffix Prediction for Recommendation via Latent Retrieval over Process Graphs
[arXiv] 2026-09-14 | EEG-Xplain: Decoding Neural Black-Boxes of EEG Foundation Models
[arXiv] 2026-09-14 | Projection-Free Multi-level Algorithms for Stochastic Constrained Compositional Optimization
[arXiv] 2026-09-14 | Certificate Complexity of Elementary Symmetric Boolean Functions of Arbitrary Degree
[arXiv] 2026-09-14 | OpenEnded: An Open-Response Speech Corpus for Speaking Proficiency Assessment with Human Annotations and ALM Supervision
[arXiv] 2026-09-14 | Hyperon polarization in deep inelastic scattering
[arXiv] 2026-09-14 | Multivariate stability of powered triangular recurrences and parametrised Eulerian polynomials
[arXiv] 2026-09-14 | Independent Sets and Balanced Cycle-Linkings in 2-Connected Graphs
[arXiv] 2026-09-14 | Trillion-Parameter MoE in a Box: Decoupling Memory Provisioning with High-Bandwidth Flash
[arXiv] 2026-09-14 | ModaLens: Measuring Image Sensitivity in Report-Conditioned Medical VLMs
[arXiv] 2026-09-14 | Percolation threshold in cluster-assembled nanogranular palladium films and related strategies for hydrogen detection
[arXiv] 2026-09-14 | DeepSeek-V4-Flash on AMD gfx90a: Correctness Recovery and Inference Performance Engineering
[arXiv] 2026-09-14 | Diversified and Perceptible Counterfactual Examples Leveraging Expert Knowledge
[arXiv] 2026-09-14 | Global Sobolev convergence of Howard iteration for parabolic Bellman equations with controlled diffusion
[arXiv] 2026-09-14 | Effect of inelastic scalar dark matter in hidden $U(1)$ scenario after the LZ nuclear recoil
[arXiv] 2026-09-14 | On questions posed by Gundersen and Yang concerning a certain binomial differential equation
[arXiv] 2026-09-14 | Classical Solutions for a Finite-Horizon Exit-Time Problem with Degenerate Diffusion Control
[arXiv] 2026-09-14 | What a gated sensing pipeline never looks at: bandwidth reduction and the misses behind it
[arXiv] 2026-09-14 | Towards the new NNPDF4.1 global analysis
[arXiv] 2026-09-14 | Leveraging hologenomic data for phenotypic prediction: potential and pitfalls
[arXiv] 2026-09-14 | PIVOT: Physics-Grounded Verification for AI-Generated Audio-Video Detection
[arXiv] 2026-09-14 | Don't Count the Edits, Judge by the Outcome Alone: Reward-Based Evaluation for Grammatical Error Correction
[arXiv] 2026-09-14 | Increase of the electromechanical coupling of piezoelectric vibration harvesters through lateral bars
[arXiv] 2026-09-14 | A sharp bound for sampling widths in the uniform norm: kernel $D$-optimal designs and oversampling
[arXiv] 2026-09-14 | Synthesizing State-of-the-Art Structure Predictions from Soup of Co-folding Models
[arXiv] 2026-09-14 | Gate-tunable magnetic damping in van der Waals Heterostructures
[arXiv] 2026-09-14 | Sliding contact fraction in gravity-driven dense cohesionless granular flows
[arXiv] 2026-09-14 | A mathematical modelling of rheumatoid arthritis
[arXiv] 2026-09-14 | The Misery of Mechanistic Interpretability: A Formal Perspective
[arXiv] 2026-09-14 | Beyond Noise: Understanding and Overcoming Temperature Effects in Analog DNN Inference
[arXiv] 2026-09-14 | Infinite families of 3-designs from linear and nonlinear codes
[arXiv] 2026-09-14 | Automating Attack Graph Construction for Agentic Pentesting. Towards Neuro-Symbolic Vulnerability Hunting
[arXiv] 2026-09-14 | End-to-End Verifiable and Robust Federated Learning
[arXiv] 2026-09-14 | Existence of least-area discs
[arXiv] 2026-09-14 | Same path, different: a mechanistic comparison of looped and stacked transformer encoders on 12-lead ECG
[arXiv] 2026-09-14 | The Troy Moment of AI: Why SomeWill Cheat and SomeWill Follow?
[arXiv] 2026-09-14 | Detecting transiting exoplanets in simulated PLATO data: A comparison of light curve filter and transit search algorithms
[arXiv] 2026-09-14 | Optimal Sensitivity of the general Wheatstone Bridge
[arXiv] 2026-09-14 | efficient matrix-free gauss-newton traveltime tomography on full-metric deformed grids
[arXiv] 2026-09-14 | Discrete Antenna Positioning and Beamforming Design for RIS-Assisted MA Secure ISAC Systems
[arXiv] 2026-09-14 | CAL-MOS: Bridging Layers with Adapters for Robust MOS Prediction Across Speech Foundation Models
[arXiv] 2026-09-14 | Cloud Workflow Scheduling Based on Graph Attention-Driven Hierarchical Reinforcement Learning
[arXiv] 2026-09-14 | Short-term forecasting of wildfire spread: A network epidemiology approach
[arXiv] 2026-09-14 | Credible Bounds for Causal Quantities with Continuous Outcomes
[arXiv] 2026-09-14 | The Heavy Chain PDE: Rapid Stabilization by Backstepping
[arXiv] 2026-09-14 | The Dynamic Organization of Sustained Human-AI Cognition: From Construct-Level Change to Relational Structure
[arXiv] 2026-09-14 | Two-term dilogarithms, mixed-base Nahm sums, and Fricke symmetry
[arXiv] 2026-09-14 | Entanglement free Metrology Exploiting Multimode Hong Ou Mandel Sensor Advantage
[arXiv] 2026-09-14 | Torsion, Betti rank, and small points in semiabelian schemes
[arXiv] 2026-09-14 | Riemann-Roch Polynomials, MBM Classes and Poor IHS Manifolds
[arXiv] 2026-09-14 | Externalizing Requirement-to-Repair Artifacts as Observable Traces for LLM-Based Program Repair
[arXiv] 2026-09-14 | Sensemaking as Artifact: Accumulated Influence in AI-Mediated Information Environments
[arXiv] 2026-09-14 | Polynomial Growth of Complex Polynomial Hardy--Littlewood Constants
[arXiv] 2026-09-14 | HydroMap: Probabilistic Water Surface Elevation Mapping for Semantic Scene Representation in Inland Waterways
[arXiv] 2026-09-14 | Tracing Stellar Populations through the Mg-Al Anti-Correlation in Gaia-ESO Globular Clusters
[arXiv] 2026-09-14 | First Impressions: How Placement Shapes the Influence of AI Summaries
[arXiv] 2026-09-14 | A proof of Sylvester's conjecture
[arXiv] 2026-09-14 | An explicit solution of the five-expert prediction PDE and the exact optimality set of COMB
[arXiv] 2026-09-14 | Chronos: Efficient Bolt-on Branching Across Data Stores for Stateful Agentic Applications
[arXiv] 2026-09-14 | PeerPen: AI-Assisted Writing for Online Mental Health Peer Support
[arXiv] 2026-09-14 | SeqMaestro: From nucleotide sequences to biological hypotheses through interpretable machine learning
[arXiv] 2026-09-14 | Toward Sustainable AI Deployment: A Carbon-Aware Decision Framework for Enterprise Supply Chain Systems
[arXiv] 2026-09-14 | Fast Stencil Computations on a Single Arbitrarily Moving Interval
[arXiv] 2026-09-14 | MedVA: An End-to-End Neuro-Symbolic Agentic System for Medical Volume Visualization
[arXiv] 2026-09-14 | A Strongly Subquadratic $(3+\varepsilon)$-Approximation for Weighted Edit Distance over Arbitrary Metrics
[arXiv] 2026-09-14 | Field-Level Baryon Acoustic Oscillation Reconstruction of the DESI DR1 Luminous Red Galaxies with Linear Field Transformer (LiFT)
[arXiv] 2026-09-14 | Gate Design and Stage-Dependent Incentives in Retail Proprietary-Trading Evaluations: Why Passing Is Not Standalone Evidence of Skill, and Why the Product Fails to Pay Under Measured Trading Constraints
[arXiv] 2026-09-14 | ModularRSI: Modular and Generalizable Recursive Harness Self-Improvement
[arXiv] 2026-09-14 | CWM: Controllable White-Box Meta-Prompting for Adaptive Retrieval-Augmented Generation and Reasoning Ability
[arXiv] 2026-09-14 | Long-to-Short Video Evidence Reasoning for Grounded Question Answering
[arXiv] 2026-09-14 | Augmenting Large Audio-Language Models with Frame-Level Grounding for Fine-Grained Temporal Perception
[arXiv] 2026-09-14 | Results on young stellar clusters with the WEAVE LIFU
[arXiv] 2026-09-14 | Riemann Map Operator for Solar Front Diagnostics
[arXiv] 2026-09-14 | TEAR: Table Extraction with Attribute Recommendation from Texts via Large Language Models
[arXiv] 2026-09-14 | Subwavelength exceptional points in dispersive resonator arrays
[arXiv] 2026-09-14 | What Limits Us? Analyzing Self-Reported Limitations in NLP Research
[arXiv] 2026-09-14 | Cross-Lingual F5-TTS 2: A Simplified Framework for Language-Agnostic Voice Cloning
[arXiv] 2026-09-14 | Rethinking Correctness for Uncertainty Estimation in Clinical Prediction with Vision-Language Models
[arXiv] 2026-09-14 | Temporal Self-Distillation: Faster Inference in Discrete Diffusion Language Models
[arXiv] 2026-09-14 | On the Uniqueness of a Nonlinear Discrete Calderón Problem
[arXiv] 2026-09-14 | Nearly Minimax-Optimal Regret for Linear Contextual Bandits with Arbitrary Adaptive Action Sets
[arXiv] 2026-09-14 | CITECHOICE: A Causal Audit of How Document Presentation Redistributes Citation Credit in Agentic Search
[arXiv] 2026-09-14 | LieSpline-DP: Lie-Group B-Spline Diffusion Policy for Smooth Robot Manipulation
[arXiv] 2026-09-14 | T-LoopFormer: Token-Level Elastic-Depth Looped Transformers for Latent Reasoning With Dynamic Routing
[arXiv] 2026-09-14 | Evaluating Predicted Densities, Hamiltonians, and Density Matrices as Periodic SCF Initializers
[arXiv] 2026-09-14 | A train--prune--readout--rewrite workflow for interpretable quantum learning
[arXiv] 2026-09-14 | Heavy-quark expansion at leading power for local QCD operators in gradient flow
[arXiv] 2026-09-14 | Demonstrate of High-Performance Top-Gate ALD Crystalline In2O3 Transistor Enabled by Lattice-Matched HfO2 and In2O3 Heterostructure
[arXiv] 2026-09-14 | DNF-SR: Dual-Input and Negative-Aware Feature Fine-Tuning for Real-World Image Super-Resolution
[arXiv] 2026-09-14 | Did LZ see modified gravity?
[arXiv] 2026-09-14 | Enhanced Spin-Orbit Interaction of Light through Complex Fresnel Reflection
[arXiv] 2026-09-14 | New runner removal theorems for the cyclotomic Hecke algebras of type $G(r,1,n)$
[arXiv] 2026-09-14 | Integer Maximization over $\ell_p$ Balls: Hardness and Exact Algorithms
[arXiv] 2026-09-14 | Pullback Attractors for a Non-Autonomous Plate System with Strong Damping and Delay
[arXiv] 2026-09-14 | When the Wrong Key Wins: Understanding and Detecting Hallucinations in LLMs
[arXiv] 2026-09-14 | Biorthogonal Time-Dependent Variational Principle for Non-Hermitian Systems
[arXiv] 2026-09-14 | Bias and Correlations in Quasiperiodicity: Impact on Localization in an Extended Aubry-André Model
[arXiv] 2026-09-14 | ER-EDF: A Psychology-Grounded Emotion Regulation Framework for Speech Empathetic Dialogue Generation in Large Audio-Language Models
[arXiv] 2026-09-14 | Obstructions to coloring arithmetic graphs
[arXiv] 2026-09-14 | The Köthe conjecture via point modules
[arXiv] 2026-09-14 | Analytical Grad-Shafranov equilibria for prescribed boundaries: shape effects and Shafranov shift reversal
[arXiv] 2026-09-14 | The Komlós conjecture for complex discrepancy
[arXiv] 2026-09-14 | DA-DLM: Explicitly Modeling Token Dependencies in Diffusion Language Models
[arXiv] 2026-09-14 | Rethinking Procedural Audio Pre-training: Source Scaling and Objective Adaptation
[arXiv] 2026-09-14 | Sensory Precision Inference for Multimodal Arbitration under Uncertainty
[arXiv] 2026-09-14 | Observation of complex orbital order in MnV2O4
[arXiv] 2026-09-14 | Fast Label-Filtering Approximate Nearest Neighbor Search via Progressive Label Set Stratification
[arXiv] 2026-09-14 | BusMA: A Bus Communication Substrate for Multi-Agent Systems
[arXiv] 2026-09-14 | Laurent coefficients of Zagier-type zeta function {à} la Ishibashi and arithmetic aspects of extended Ramanujan period function
[arXiv] 2026-09-14 | Not All Prompts Are Equal: Exploration-Guided Prompt Scaffolding for Multimodal Reinforcement Post-Training
[arXiv] 2026-09-14 | Validating Hybrid-State Cache Recovery for GLM-5.3-Flash with vLLM and LMCache
[arXiv] 2026-09-14 | Pick Your Poison: Learning to Select Poison Sets for Stronger LLM Backdoor Attacks
[arXiv] 2026-09-14 | Matrix Spencer: Eight Standard Deviations Suffice and an Almost-Linear Time Algorithm for Dense Input
[arXiv] 2026-09-14 | Spherical $t$-Designs on $\mathbb S^2$ with $54t^2$ Points
[arXiv] 2026-09-14 | Overflip: Repetition-Induced Label Flips in Guardrail Models
[arXiv] 2026-09-14 | CoMem: Collective-Individual Memory Synergy for Evolutionary Multi-Agent Systems
[arXiv] 2026-09-14 | IMPACT-VLA: Interaction-aware Multimodal Propagation Attribution via Counterfactual Trajectories for Vision-Language-Action Policies
[arXiv] 2026-09-14 | Optical spectroscopy of the VHE flat-spectrum radio quasar PKS 0903-57
[arXiv] 2026-09-14 | MTAC-IFBench: Benchmarking Instruction-Following in Multi-Turn Agentic Coding
[arXiv] 2026-09-14 | On Detecting Multiple Simultaneous Change-points in High Dimensional Non-Stationary Time Series
[arXiv] 2026-09-14 | Two Strategies to Measure Spin-Orbit-Torque Efficiency Acting on the Insulating Magnet Li$_{0.5}$Al$_{0.7}$Fe$_{1.8}$O$_4$
[arXiv] 2026-09-14 | Mobility- and Feedback-Aware Multi-Level Conflict-Triggered Hybrid Beamforming for Multi-User mmWave UAV Systems
[arXiv] 2026-09-14 | Multigap superconductivity in Ising superconductors: The case of (LaSe)1.14(NbSe2)m misfit layer compounds
[arXiv] 2026-09-14 | One-loop renormalization of the quark TMD in projectile light-cone gauge
[arXiv] 2026-09-14 | Sharp non-uniqueness of weak solutions to the semilinear wave equation
[arXiv] 2026-09-14 | Profiling Handwriting-Process Deviations in Developmental Dysgraphia: An Open, Normatively-Referenced Instrument
[arXiv] 2026-09-14 | Effect of Near-surface Thermal Spikes on Radiation Hardness of Gallium Oxide
[arXiv] 2026-09-14 | A nonlinear hydrodynamic theory of ultrafast laser self-organization
[arXiv] 2026-09-14 | Integral cohomology of the spherical and affine Artin groups of infinite classical families
[arXiv] 2026-09-14 | Large Complete Minors from a Cheeger Condition
[arXiv] 2026-09-14 | Who Teaches Which Token? Verifier-Gated Multi-Expert On-Policy Distillation for Scientific Reasoning
[arXiv] 2026-09-14 | CodeTS: Verifiable Text-to-Time Series Generation via Executable Code
[arXiv] 2026-09-14 | Differentially Private Multicolor Discrepancy and Fair Division of Indivisible Goods
[arXiv] 2026-09-14 | SlopShape: Identifying AI-Generated Commercial Web Content
[arXiv] 2026-09-14 | Sparse Channel Estimation and Signal Recovery for Reduced-PAPR Visible Light Optical OFDM Systems Relying on Bayesian Learning
[arXiv] 2026-09-14 | When Digitalization Transforms Itself: AI, Software, and the Next Technical Order
[arXiv] 2026-09-14 | Forced Coincidence and Its Boundary in Finite Condition Structures
[arXiv] 2026-09-14 | TractSpLearn: Specialized Shared-Manifold Learning for Individualized Detection of Subtle White Matter Alterations in Mild Traumatic Brain Injury
[arXiv] 2026-09-14 | Optical properties of As2Se3 from first principles
[arXiv] 2026-09-14 | On the arithmetic of Tate-Shafarevich groups via Kolyvagin's conjecture
[arXiv] 2026-09-14 | Evaluation Metrics for Safe Reinforcement Learning
[arXiv] 2026-09-14 | Large Universe Subset Predicate Encryption with IND-CCA Security (with Constant-size Ciphertext and Keys)
[arXiv] 2026-09-14 | Deterministic denoising of long-duration gravitational-wave signal candidates with $α$-(de)blending
[arXiv] 2026-09-14 | Impute-EM: Native Mixed-State Diffusion Models for Heterogeneous Data Imputation
[arXiv] 2026-09-14 | Feature-Adaptive Fusion in Hybrid Quantum-Classical Neural Networks for Robust Biomedical Image Classification
[arXiv] 2026-09-14 | A new method to cleanly separate hot and cool populations using just Gaia and 2MASS photometry
[arXiv] 2026-09-14 | Agentic Porting, Construction and Initial Verification and Validation of Libraries within the Open Source Unified TRAnsient Multi-Physics Advanced Reactor simulation Kit (Outram Park) Part II: Nuclear Data and Neutronics
[arXiv] 2026-09-14 | A Faster Undirected Single-Source Shortest Path Algorithm
[arXiv] 2026-09-14 | A cylindrical sintering method for more realistic grain boundaries in nanocrystalline thin films
[arXiv] 2026-09-14 | Empirical Evaluation of Open-Source Large Language Models for Retrieval-Augmented Generation in ESG Domain
[arXiv] 2026-09-14 | Strategic Index Reconstitution: Differential Games, Closed-Loop Equilibria and Mean-Field Dynamics
[arXiv] 2026-09-14 | Atria Dawn: The Dawn of Agentic Superintelligence
[arXiv] 2026-09-14 | Through the Eyes of the Beholder: Biometric and Demographic Conditioning for Multimodal Sexism Detection
[arXiv] 2026-09-14 | Assessing nnU-Net Generalization across Brain Tumor Populations in BraTS-GoAT 2026
[arXiv] 2026-09-14 | Strongly enstrophy-stable integrators for the incompressible Navier-Stokes equations
[arXiv] 2026-09-14 | LLM-enabled Behavior Driven Development Workflow for Formally Verified Hardware Designs
[arXiv] 2026-09-14 | Data storytelling meets interpretable machine learning: Decoding AI decisions for non-experts without revealing sensitive data and model details
[arXiv] 2026-09-14 | Variational Real-Time Dynamics on Reduced Operator Manifolds
[arXiv] 2026-09-14 | Structured Features Overfit Where Random Features Grok
[arXiv] 2026-09-14 | Level structures on tropical abelian varieties
[arXiv] 2026-09-14 | Geometric realizations of Brauer classes on K3 surfaces from hyperkähler contractions
[arXiv] 2026-09-14 | The Lorenz braid index and hyperbolic volume
[arXiv] 2026-09-14 | FOSSIL: Thermo-mechanical architecture
[arXiv] 2026-09-14 | Toward Precision Kinetic Sunyaev-Zel'dovich Cosmology---1. The Matter - Momentum Bispectrum at One-Loop Order
[arXiv] 2026-09-14 | CiteGuard-RAG: A Validation-Centered AI System for Evidence-Grounded Question Answering
[arXiv] 2026-09-14 | TwinICL: Diagnosing Multimodal In-Context Learning through Paired Counterfactuals
[arXiv] 2026-09-14 | Micro-to-macro derivation and stability analysis of an Aw-Rascle-Zhang-type model with driver-dependent acceleration
[arXiv] 2026-09-14 | Limits of descent-biased trees
[arXiv] 2026-09-14 | Conditional-Moment Estimation and Inference in the BLP Model
[arXiv] 2026-09-14 | Thresholds and Fluctuations for Colorful Arithmetic Progressions in Sparse Random Colorings
[arXiv] 2026-09-14 | Tractable Defense against Advanced Persistent Threats in Networked Settings
[arXiv] 2026-09-14 | Variational properties of Perron's extremal solutions in the Bernoulli one-phase problem
[arXiv] 2026-09-14 | Salesforce Koa: An Enterprise Language Model for Agentic Tool Use
[arXiv] 2026-09-14 | SyntheticDoc: A Large Synthetic Dataset for Document Unwarping and Illumination Correction
[arXiv] 2026-09-14 | FastPair: GPU-Optimized String Decoding
[arXiv] 2026-09-14 | CatchMonitor: a machine learning system for automated fish discard quantification
[arXiv] 2026-09-14 | GSLAD: Prototype-Regularized Graph Structure Learning for Multivariate Time Series Anomaly Detection
[arXiv] 2026-09-14 | When AI Companions Disappear: Relational Continuity and Collective Contestation during China's National AI Regulatory Transition
[arXiv] 2026-09-14 | HISPO: Hierarchical Importance-Sampling Policy Optimization with Entropy-Derived Segments
[arXiv] 2026-09-14 | Harmonic sums and the Galois group of the Mellin-KZ difference equation
[arXiv] 2026-09-14 | Discrete q-Hermitian Clifford analysis
[arXiv] 2026-09-14 | AnchorGUI: Asymmetric Memory for Dual-Scale Learning in GUI Navigation
[arXiv] 2026-09-14 | Planar Pendulums in Complex Coordinates
[arXiv] 2026-09-14 | Learning to Exploit Passive Dynamics for Energy-Efficient Target Hopping of a Spring-Legged Quadcopter
[arXiv] 2026-09-14 | Analysis of Granular Flow in a Wedge-Shaped Hopper
[arXiv] 2026-09-14 | Graph Matching Relaxations and Amortization for Supervised Graph Prediction
[arXiv] 2026-09-14 | Benchmarking Embedding Models for ESG Data
[arXiv] 2026-09-14 | A Conservative OCR-Enabled Workflow for R214 Sodium Screening of South African Packaged Foods
[arXiv] 2026-09-14 | Mapping justice as a plural and contested concept in human--computer interaction
[arXiv] 2026-09-14 | Data-Aided Variational Bayesian Inference for CSI Estimation over Doubly-Selective DCO-OTFS MIMO VLC Systems with Affine-Precoded Superimposed Training Sequences
[arXiv] 2026-09-14 | Can AI systems have free will?
[arXiv] 2026-09-14 | A Non-intrusive Approach for the Imposition of Strong Dirichlet Boundary Conditions in Unfitted Boundary Meshes
[arXiv] 2026-09-14 | IWC-Bench: Evaluating Web Application Generation from a Software Testing Perspective
[arXiv] 2026-09-14 | Representing Clinical Conditions on Vital Signs from Healthy Individuals using Latent Modeling
[arXiv] 2026-09-14 | Volt-VAr-Watt Optimization in Four-Wire Low-Voltage Networks: Exact Nonlinear Models and Smooth Approximations - Extended Version
[arXiv] 2026-09-14 | MAPS: Memory-Aware Predictive Scheduling Framework for Large Language Model Serving
[arXiv] 2026-09-14 | Robust Multi-Model Fitting through Learning Neighbor Regions
[arXiv] 2026-09-14 | Improving precision scaling via backaction-evading continuous measurement in a driven-dissipative Kerr parametric oscillator
[arXiv] 2026-09-14 | Optimal Time-Dependent Jump Truncation for Time-Singular Lévy Processes
[arXiv] 2026-09-14 | Concept-Grounded Reasoning with Prompt-Driven Localization for Interpretable Structured Report Generation
[arXiv] 2026-09-14 | On Erdős Problem 767: Cycles with Chords
[arXiv] 2026-09-14 | Statistical levels and spatial modes of Fock-space heterogeneity in many-body localization crossovers
[arXiv] 2026-09-14 | Planning in the Backbone: DiffAdapterVLA for Native Continuous Trajectory Generation with Driving VLMs
[arXiv] 2026-09-14 | RT-VSS: In-House Ray Tracing for Vital Signs Sensing in the FR3 Band
[arXiv] 2026-09-14 | Benchmarking Machine-Learning Interatomic Potentials for Dynamical Stability in Inorganic Semiconductor Nanocrystals: A CdSe Case Study
[arXiv] 2026-09-14 | Highly Ionized Oxygen in the Circumgalactic Medium of TNG100 Galaxies: Distributions, Thermal States, and Ionization Mechanisms
[arXiv] 2026-09-14 | Reason What Matters: Retrieval-Grounded Reasoning for Universal Multimodal Embeddings
[arXiv] 2026-09-14 | ProIQA: A Process-Based Framework for Fine-Grained Math Item Quality Assessment
[arXiv] 2026-09-14 | Spectral Chaos from a Fluctuating Quantum Horizon
[arXiv] 2026-09-14 | Growth of superconducting boron doped diamond on 4inch silicon wafers
[arXiv] 2026-09-14 | Artificial entrepreneurial cognition: Locating and causally steering an opportunity recognition dial inside large language models (LLMs)
[arXiv] 2026-09-14 | Low Clearance Hinge Joint Mechanism Based on 3D Printing on Sheet Fabrication Methodology
[arXiv] 2026-09-14 | Synthetic SU(1,1) Gauge Control of Non-Hermitian Light
[arXiv] 2026-09-14 | Conformal Individual Treatment Effect Estimation under Networked Interference
[arXiv] 2026-09-14 | Observation of $Ξ_{b}^{0} \to Ξ^{0} J/ψ$ and evidence for $Ξ_{b}^{0} \to Ξ^{0} ψ(2S)$ decays
[arXiv] 2026-09-14 | TREDD: Robust Trend-Based Reference Evaluation for Interpretable Degradation Detection
[arXiv] 2026-09-14 | Two-Stage Personalized Gait Phase Estimation in Stroke Survivors During Exoskeleton-Assisted Walking: An Offline Feasibility Study
[arXiv] 2026-09-14 | LazFormer: Scaling Transformers for Industrial Recommendation via Transferable Generative Pre-training
[arXiv] 2026-09-14 | A Corpus-Aligned Uthmani-to-Standard Quranic Word Mapping and a Deterministic Recitation Validator
[arXiv] 2026-09-14 | Forecasting Coupled Dark Energy Parameters with the One-Loop Galaxy Power Spectrum
