[2026-04-24 22:39:26] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-23
正在获取论文...
[arXiv] 2026-04-23 | pygridsynth: A fast numerical tool for ancilla-free Clifford+T synthesis
[arXiv] 2026-04-23 | Infinite Horizon Optimal Control Problems with Discount Factors
[arXiv] 2026-04-23 | CHRep: Cross-modal Histology Representation and Post-hoc Calibration for Spatial Gene Expression Prediction
[arXiv] 2026-04-23 | Measuring Opinion Bias and Sycophancy via LLM-based Coercion
[arXiv] 2026-04-23 | Diffraction in the ASPIICS coronagraph: observations and modeling
[arXiv] 2026-04-23 | Probabilistic Verification of Neural Networks via Efficient Probabilistic Hull Generation
[arXiv] 2026-04-23 | Gmd: Gaussian mixture descriptor for pair matching of 3D fragments
[arXiv] 2026-04-23 | Pohozaev identities and bubbling obstruction for Yang-Mills fields in conformal dimension
[arXiv] 2026-04-23 | Quantum jump correlations in long-range dissipative spin systems
[arXiv] 2026-04-23 | OptiVerse: A Comprehensive Benchmark towards Optimization Problem Solving
[arXiv] 2026-04-23 | BioMiner: A Multi-modal System for Automated Mining of Protein-Ligand Bioactivity Data from Literature
[arXiv] 2026-04-23 | GeoMind: An Agentic Workflow for Lithology Classification with Reasoned Tool Invocation
[arXiv] 2026-04-23 | Design optimization of flux concentrators for magnetic tunnel junctions-based sensors
[arXiv] 2026-04-23 | XRISM High-Resolution X-ray Spectroscopy of Cygnus X-1 -- highly ionized Iron absorption structures
[arXiv] 2026-04-23 | How English Print Media Frames Human-Elephant Conflicts in India
[arXiv] 2026-04-23 | Generalizing Numerical Reasoning in Table Data through Operation Sketches and Self-Supervised Learning
[arXiv] 2026-04-23 | Monolithically Integrated VO$_2$ Mott Oscillators for Energy-Efficient Spiking Neurons
[arXiv] 2026-04-23 | Suppressing the Erasure Error of Fusion Operation in Photonic Quantum Computing
[arXiv] 2026-04-23 | Drug Synergy Prediction via Residual Graph Isomorphism Networks and Attention Mechanisms
[arXiv] 2026-04-23 | Ufil: A Unified Framework for Infrastructure-based Localization
[arXiv] 2026-04-23 | Do MLLMs Understand Pointing? Benchmarking and Enhancing Referential Reasoning in Egocentric Vision
[arXiv] 2026-04-23 | Single-crystal growth and magnetic, magnetoelectric, and optical properties of ferroaxial-type SrMn$_2$Ni$_6$Te$_3$O$_{18}$
[arXiv] 2026-04-23 | $O(d,d)$ symmetric gravity and finite coupling holography
[arXiv] 2026-04-23 | HiCrew: Hierarchical Reasoning for Long-Form Video Understanding via Question-Aware Multi-Agent Collaboration
[arXiv] 2026-04-23 | 2L-LSH: A Locality-Sensitive Hash Function-Based Method For Rapid Point Cloud Indexing
[arXiv] 2026-04-23 | BV photometry of the ultracompact binary star GP Com
[arXiv] 2026-04-23 | UHR-DETR: Efficient End-to-End Small Object Detection for Ultra-High-Resolution Remote Sensing Imagery
[arXiv] 2026-04-23 | Brief chatbot interactions produce lasting changes in human moral values
[arXiv] 2026-04-23 | Optical hopfions with arbitrary two winding numbers
[arXiv] 2026-04-23 | Demand Curvature and Pass-Through in Differentiated Oligopoly
[arXiv] 2026-04-23 | Differentially Private De-identification of Dutch Clinical Notes: A Comparative Evaluation
[arXiv] 2026-04-23 | Energy Loss of Newborn Magnetars by Schwinger Process
[arXiv] 2026-04-23 | A Study of Non-Singular Bounce in Myrzakulov-type $f(R,T)$ Gravity with Chaplygin Gas
[arXiv] 2026-04-23 | An Alternate Agentic AI Architecture (It's About the Data)
[arXiv] 2026-04-23 | S1-VL: Scientific Multimodal Reasoning Model with Thinking-with-Images
[arXiv] 2026-04-23 | Holographic complexity of conformal fields in global de Sitter spacetime
[arXiv] 2026-04-23 | Comparing relativistic and non-relativistic quark pair creation models
[arXiv] 2026-04-23 | Identifying Oriented Spin Space Groups and Related Physical Properties Using an Online Platform FINDSPINGROUP
[arXiv] 2026-04-23 | EdgeFormer: local patch-based edge detection transformer on point clouds
[arXiv] 2026-04-23 | Navigating Order-(Dis)Order Family Trees via Group-Subgroup Transitions
[arXiv] 2026-04-23 | Active Inference of Extended Finite State Machine Models with Registers and Guards
[arXiv] 2026-04-23 | A formal proof of the Sands-Sauer-Woodrow theorem using the Rocq prover and mathcomp/ssreflect
[arXiv] 2026-04-23 | The Geometry Underlying the Quantum Harmonic Oscillator
[arXiv] 2026-04-23 | Distributed Zeroth-Order Optimization with Rademacher Perturbations and Momentum Gradient Tracking
[arXiv] 2026-04-23 | A chain of $\mathbb{C}^{*}$-flips of the moduli spaces of $\mathcal{O}$-twisted rank 2 constrained framed Hitchin pairs on a smooth curve
[arXiv] 2026-04-23 | Shadow and percolation III: chemical distance in continuous landscapes with correlations
[arXiv] 2026-04-23 | RPG: Robust Policy Gating for Smooth Multi-Skill Transitions in Humanoid Fighting
[arXiv] 2026-04-23 | Trust-SSL: Additive-Residual Selective Invariance for Robust Aerial Self-Supervised Learning
[arXiv] 2026-04-23 | Beyond Single Plots: A Benchmark for Question Answering on Multi-Charts
[arXiv] 2026-04-23 | Modulating Cross-Modal Convergence with Single-Stimulus, Intra-Modal Dispersion
[arXiv] 2026-04-23 | Anti-Ramsey numbers for cancellative configurations in p-graphs
[arXiv] 2026-04-23 | On the algebra of Koopman eigenfunctions and on some of their infinities
[arXiv] 2026-04-23 | Direct Problem for Gas Diffusion in Polar Firn with Variable Coefficients
[arXiv] 2026-04-23 | Iterative Receiver Processing at Relays in PNC-Enabled Multi-Hop Underwater Acoustic Networks
[arXiv] 2026-04-23 | Generalized Two-Dimensional Index Modulation in the Code-Spatial Domain for LPWAN
[arXiv] 2026-04-23 | Multiscale Super Resolution without Image Priors
[arXiv] 2026-04-23 | Quotient-Space Diffusion Models
[arXiv] 2026-04-23 | Recursive Structure of Hulls of PRM Codes
[arXiv] 2026-04-23 | MINDS: Intertwined evolution of dust and gas in large planet-forming disks. A diversity driven by halted pebble drift?
[arXiv] 2026-04-23 | Optical nonlinear anomalous Hall effect reveals the hidden spin order in antiferromagnets
[arXiv] 2026-04-23 | SyMTRS: Benchmark Multi-Task Synthetic Dataset for Depth, Domain Adaptation and Super-Resolution in Aerial Imagery
[arXiv] 2026-04-23 | Variance Geometry of Exact Pauli-Detecting Codes: Continuous Landscapes Beyond Stabilizers
[arXiv] 2026-04-23 | Learning to Communicate: Toward End-to-End Optimization of Multi-Agent Language Systems
[arXiv] 2026-04-23 | Eclipses on Zippers
[arXiv] 2026-04-23 | Partial oracles quantum algorithm framework -- Part I: Analysis of in-place operations
[arXiv] 2026-04-23 | Only Brains Align with Brains: Cross-Region Alignment Patterns Expose Limits of Normative Models
[arXiv] 2026-04-23 | Local error estimates for a finite element method combining linear and nonlinear stabilization for the linear hyperbolic transport equation
[arXiv] 2026-04-23 | Physics of Computation and Behavior in Plants
[arXiv] 2026-04-23 | Novel dynamics for an inertial polar tracer in an active bath
[arXiv] 2026-04-23 | StructMem: Structured Memory for Long-Horizon Behavior in LLMs
[arXiv] 2026-04-23 | A Brief History of Fréchet Distances: From Curves and Probability Laws to FID
[arXiv] 2026-04-23 | IR behaviour of one-loop complex $\mathbb{R}\times S^3$ saddles
[arXiv] 2026-04-23 | A semiparametric two-sample homogeneity test with nonignorable nonresponse using callback data
[arXiv] 2026-04-23 | A Compact Peristaltic Pump Based on Magneto-Elastic Hysteresis with Single Pneumatic Control
[arXiv] 2026-04-23 | Near-Term Reduction in Nonlocal Gate Count from Distributed Logical Qubits
[arXiv] 2026-04-23 | Delving into the depths of NGC 3783 with XRISM: V. Broad-band modeling of ionized outflows
[arXiv] 2026-04-23 | Disorder-induced crossover from phase-averaging to mode-mixing regimes in magnetic domain walls of a second-order topological insulator
[arXiv] 2026-04-23 | Stealthy Backdoor Attacks against LLMs Based on Natural Style Triggers
[arXiv] 2026-04-23 | SLAM as a Stochastic Control Problem with Partial Information: Optimal Solutions and Rigorous Approximations
[arXiv] 2026-04-23 | StyleID: A Perception-Aware Dataset and Metric for Stylization-Agnostic Facial Identity Recognition
[arXiv] 2026-04-23 | Resilience Revisited: A Multidimensional Framework Derived from Realistic Attack Scenarios
[arXiv] 2026-04-23 | Integrating opportunities and parametrized signatures for improved mutational processes estimation in extended sequence contexts
[arXiv] 2026-04-23 | Self-consistent evaluation of the Berry connection for Wannier functions
[arXiv] 2026-04-23 | Shaping nematic order in bacterial films with single-cell resolution patterning
[arXiv] 2026-04-23 | Modeling of the magnetic stellar wind braking of the ssrAp 33 Lib (HD137949)
[arXiv] 2026-04-23 | Exploring the statistical anisotropy of primordial curvature perturbations with pulsar timing arrays
[arXiv] 2026-04-23 | The KMS and GNS Spectral Gap of Quantum Markov Semigroups
[arXiv] 2026-04-23 | Local Neighborhood Instability in Parametric Projections: Quantitative and Visual Analysis
[arXiv] 2026-04-23 | $γZ$-exchange contribution in elastic $ep$ scattering by perturbative QCD
[arXiv] 2026-04-23 | Process-Mining of Hypertraces: Enabling Scalable Formal Security Verification of (Automotive) Network Architectures
[arXiv] 2026-04-23 | The Smallest Invariant Factor of Elliptic Curves, and Coincidences
[arXiv] 2026-04-23 | Language as a Latent Variable for Reasoning Optimization
[arXiv] 2026-04-23 | AgenticQwen: Training Small Agentic Language Models with Dual Data Flywheels for Industrial-Scale Tool Use
[arXiv] 2026-04-23 | Mapping the Political Discourse in the Brazilian Chamber of Deputies: A Multi-Faceted Computational Approach
[arXiv] 2026-04-23 | Loss-biased fault-tolerant quantum error correction
[arXiv] 2026-04-23 | One-dimensional non-Hausdorff manifolds and CW complexes
[arXiv] 2026-04-23 | Replay-buffer engineering for noise-robust quantum circuit optimization
[arXiv] 2026-04-23 | Orbital angular momentum radiation and polarization of relativistic electrons in magnetic fields
[arXiv] 2026-04-23 | Sampling from the Hardcore Model on Random Regular Bipartite Graphs above the Uniqueness Threshold
[arXiv] 2026-04-23 | Multi-Nucleon Transfer Reactions and the Creation and the Evolution of the Compound Nucleus
[arXiv] 2026-04-23 | Causality-Encoded Diffusion Models for Interventional Sampling and Edge Inference
[arXiv] 2026-04-23 | Reshoot-Anything: A Self-Supervised Model for In-the-Wild Video Reshooting
[arXiv] 2026-04-23 | Assessing the Impact of Requirement Ambiguity on LLM-based Function-Level Code Generation
[arXiv] 2026-04-23 | Multi-wavelength study of EP250416a / GRB 250416C: An Optically Dark Long GRB with a Late Jet Break
[arXiv] 2026-04-23 | Bianchi-I Cosmology with Radiation in Asymptotically Safe Gravity
[arXiv] 2026-04-23 | Institutionalizing Best Practices in Research Computing: A Framework and Case Study for Improving User Onboarding
[arXiv] 2026-04-23 | Preferences of a Voice-First Nation: Large-Scale Pairwise Evaluation and Preference Analysis for TTS in Indian Languages
[arXiv] 2026-04-23 | Long-Horizon Manipulation via Trace-Conditioned VLA Planning
[arXiv] 2026-04-23 | Algorithmic Locality via Provable Convergence in Quantum Tensor Networks
[arXiv] 2026-04-23 | Vista4D: Video Reshooting with 4D Point Clouds
[arXiv] 2026-04-23 | Neuromorphic Computing Based on Parametrically-Driven Oscillators and Frequency Combs
[arXiv] 2026-04-23 | Birational Geometry of Quot Schemes on smooth projective curves via Stable Pairs
[arXiv] 2026-04-23 | Deterministic generation of grid states with programmable nonlinear bosonic circuits
[arXiv] 2026-04-23 | Design of MDP Convolutional Codes and Maximally Recoverable Codes Through the Lens of Matrix Completion
[arXiv] 2026-04-23 | First measurement of wind line formation regions in an early O-type star
[arXiv] 2026-04-23 | Inferring High-Level Events from Timestamped Data: Complexity and Medical Applications
[arXiv] 2026-04-23 | Encoder-Free Human Motion Understanding via Structured Motion Descriptions
[arXiv] 2026-04-23 | Seeing Isn't Believing: Uncovering Blind Spots in Evaluator Vision-Language Models
[arXiv] 2026-04-23 | A Universal Quantum Information Preserving Photonic Switch for Scalable Quantum Networks
[arXiv] 2026-04-23 | Designing interferometers within a single optical beam
[arXiv] 2026-04-23 | Linear Constraints
[arXiv] 2026-04-23 | A Robust Framework for Two-Sample Mendelian Randomization under Population Heterogeneity
[arXiv] 2026-04-23 | Reconstructing the full kinematic dependence of GPDs from pseudo-distributions
[arXiv] 2026-04-23 | Tracking Magnetic Topological Change in a Time-Dependent Coronal Model
[arXiv] 2026-04-23 | Optimal e-variables under constraints
[arXiv] 2026-04-23 | Beyond Expected Information Gain: Stable Bayesian Optimal Experimental Design with Integral Probability Metrics and Plug-and-Play Extensions
[arXiv] 2026-04-23 | Hierarchical organization of critical brain dynamics
[arXiv] 2026-04-23 | Black-Box Skill Stealing Attack from Proprietary LLM Agents: An Empirical Study
[arXiv] 2026-04-23 | Alignment has a Fantasia Problem
[arXiv] 2026-04-23 | Quantum mechanics with a ghost: Counterexamples to spectral denseness
[arXiv] 2026-04-23 | An RXTE Search for the Sterile Neutrino Decay in Galaxy Clusters
[arXiv] 2026-04-23 | $H_2/H_{\infty}$ Control for Stochastic Differential Systems with Partial Observation
[arXiv] 2026-04-23 | Informative Priors on Primordial Non-Gaussianity Bias $b_φ$ From Galaxy Formation
[arXiv] 2026-04-23 | Compliance Moral Hazard and the Backfiring Mandate
[arXiv] 2026-04-23 | Ground-state properties of superheavy $Z=122$ isotopes within the deformed relativistic Hartree-Bogoliubov theory in continuum
[arXiv] 2026-04-23 | Direct observation of surface bandgap shrinkage and negative electronic compressibility in SrTiO3
[arXiv] 2026-04-23 | Nearly Complete Charge--Spin Conversion via Strain-Eliminated Fermi Pockets in a $d$-Wave Altermagnet
[arXiv] 2026-04-23 | Symplectic split-operator method for the time-dependent unitary Tavis-Cummings model
[arXiv] 2026-04-23 | Molecular dynamics simulations of Nafion thin films at a platinum catalyst surface: Correlating structure with charging behaviour
[arXiv] 2026-04-23 | Back to Source: Open-Set Continual Test-Time Adaptation via Domain Compensation
[arXiv] 2026-04-23 | Generalizing Test Cases for Comprehensive Test Scenario Coverage
[arXiv] 2026-04-23 | Misinformation Span Detection in Videos via Audio Transcripts
[arXiv] 2026-04-23 | Thinking with Reasoning Skills: Fewer Tokens, More Accuracy
[arXiv] 2026-04-23 | Interpretable facial dynamics as behavioral and perceptual traces of deepfakes
[arXiv] 2026-04-23 | Multistakeholder Impacts of Profile Portability in a Recommender Ecosystem
[arXiv] 2026-04-23 | CuRast: Cuda-Based Software Rasterization for Billions of Triangles
[arXiv] 2026-04-23 | High-speed hyperspectral 3D ghost imaging LiDAR
[arXiv] 2026-04-23 | Twisted Kazhdan-Lusztig conjecture for $p$-adic general linear group
[arXiv] 2026-04-23 | Ramen: Robust Test-Time Adaptation of Vision-Language Models with Active Sample Selection
[arXiv] 2026-04-23 | AEL: Agent Evolving Learning for Open-Ended Environments
[arXiv] 2026-04-23 | A Riesz Representer Perspective on Targeted Learning
[arXiv] 2026-04-23 | Effects of Swarm Size Variability on Operator Workload
[arXiv] 2026-04-23 | Can Large Language Models Assist the Comprehension of ROS2 Software Architectures?
[arXiv] 2026-04-23 | Fixation Sequences as Time Series: A Topological Approach to Dyslexia Detection
[arXiv] 2026-04-23 | A-IC3: Learning-Guided Adaptive Inductive Generalization for Hardware Model Checking
[arXiv] 2026-04-23 | WorldMark: A Unified Benchmark Suite for Interactive Video World Models
[arXiv] 2026-04-23 | A Sociotechnical, Practitioner-Centered Approach to Technology Adoption in Cybersecurity Operations: An LLM Case
[arXiv] 2026-04-23 | Bayesian Sparsity Modeling of Shared Neural Response in Functional Magnetic Resonance Imaging Data
[arXiv] 2026-04-23 | Counterfactual Multi-task Learning for Delayed Conversion Modeling in E-commerce Sales Pre-Promotion
[arXiv] 2026-04-23 | Estimator-Aligned Prospective Sample Size Determination for Designs Using Inverse Probability of Treatment Weighting
[arXiv] 2026-04-23 | Stable Wave-Function Zeros Indicate Exciton Topology
[arXiv] 2026-04-23 | Geometric Characterisation and Structured Trajectory Surrogates for Clinical Dataset Condensation
[arXiv] 2026-04-23 | Aspects of gravitational clustering and structure formation in the Universe
[arXiv] 2026-04-23 | Dilepton Production as a Probe of Pion Condensation in Hot and Dense QCD Matter
[arXiv] 2026-04-23 | Event-Triggered Distributed Target Tracking via PRIMEX
[arXiv] 2026-04-23 | Spatiotemporal 2-D Polar Codes over Non-Uniform MIMO Channels: A Reliability-Aware Construction Approach
[arXiv] 2026-04-23 | Process Supervision via Verbal Critique Improves Reasoning in Large Language Models
[arXiv] 2026-04-23 | On the hamiltonicity problem of bicirculants: a reduction to cyclic Haar graphs
[arXiv] 2026-04-23 | Mitigate or Fail: How Risk Management Shapes Cybersecurity Competency
[arXiv] 2026-04-23 | DryRUN: On the Role of Public Tests in LLM-Driven Code Generation
[arXiv] 2026-04-23 | Efficient Bayes Factor Sensitivity Analysis via Posterior Density Ratios
[arXiv] 2026-04-23 | Generative Learning Enhanced Intelligent Resource Management for Cell-Free Delay Deterministic Communications
[arXiv] 2026-04-23 | Derivation of Gibbs measure from Gibbs state with the fractional Bessel interaction in Two Dimensions
[arXiv] 2026-04-23 | A Metamorphic Testing Approach to Diagnosing Memorization in LLM-Based Program Repair
[arXiv] 2026-04-23 | Research Streams in Biodiversity Finance: A Bibliometric Analysis and Research Agenda
[arXiv] 2026-04-23 | Hybrid Deep Learning Approach for Coupled Demand Forecasting and Supply Chain Optimization
[arXiv] 2026-04-23 | Magnetic-flux tunable electronic transport through domain walls in a three-dimensional second-order topological insulator
[arXiv] 2026-04-23 | Superconductivity induced by altermagnetic spin fluctuations in high-pressure MnB$_4$
[arXiv] 2026-04-23 | Quantum plasmonics with N emitters: bright hybrid continuum selection
[arXiv] 2026-04-23 | Dean-Kawasaki fluctuating hydrodynamics for backscattering hard rods
[arXiv] 2026-04-23 | Informed Asymmetric Dirichlet Priors for Multivariate Bernoulli Mixture Models
[arXiv] 2026-04-23 | Unified Hydrodynamic Analogue of Aharonov-Bohm and Lense-Thirring Effects
[arXiv] 2026-04-23 | A Characterization of Integral Input-to-state Stability for Hybrid Systems with Memory
[arXiv] 2026-04-23 | UKP_Psycontrol at SemEval-2026 Task 2: Modeling Valence and Arousal Dynamics from Text
[arXiv] 2026-04-23 | Pairing mechanism and superconductivity in 1313 phase La$_3$Ni$_2$O$_7$
[arXiv] 2026-04-23 | Architectures for Robust Self-Organizing Energy Systems under Information and Control Constraints
[arXiv] 2026-04-23 | Job Skill Extraction via LLM-Centric Multi-Module Framework
[arXiv] 2026-04-23 | DiffNR: Diffusion-Enhanced Neural Representation Optimization for Sparse-View 3D Tomographic Reconstruction
[arXiv] 2026-04-23 | Satisfying Rationality Postulates of Structured Argumentation Through Deductive Support -- Technical Report
[arXiv] 2026-04-23 | How to quantify long-time rotational motion in molecular systems
[arXiv] 2026-04-23 | Analyzing directional errors in spatial orientation using nonparametric circular regression with mixed covariates
[arXiv] 2026-04-23 | MISTY: High-Throughput Motion Planning via Mixer-based Single-step Drifting
[arXiv] 2026-04-23 | Frozen LLMs as Map-Aware Spatio-Temporal Reasoners for Vehicle Trajectory Prediction
[arXiv] 2026-04-23 | Spectral radius and edge-disjoint spanning trees of $(k+1)$-edge-connected graphs
[arXiv] 2026-04-23 | Cross-Domain Data Selection and Augmentation for Automatic Compliance Detection
[arXiv] 2026-04-23 | Gaussian pulse scattering by a chiral spherical shell
[arXiv] 2026-04-23 | Conditional anomaly detection with soft harmonic functions
[arXiv] 2026-04-23 | One's loss is (not) another's gain: Isotropic re-emission destabilizes mass transfer from radiative donor stars
[arXiv] 2026-04-23 | Instance-level Visual Active Tracking with Occlusion-Aware Planning
[arXiv] 2026-04-23 | AI-Gram: When Visual Agents Interact in a Social Network
[arXiv] 2026-04-23 | Reconfigurable ultrafast perovskite polariton logic gates via nonlinear dynamics
[arXiv] 2026-04-23 | Investigation of White-light Emission in Compact Flares
[arXiv] 2026-04-23 | A Green-Integral-Constrained Neural Solver with Stochastic Physics-Informed Regularization
[arXiv] 2026-04-23 | Full-Duplex Interaction in Spoken Dialogue Systems: A Comprehensive Study from the ICASSP 2026 HumDial Challenge
[arXiv] 2026-04-23 | A Task Decomposition and Planning Framework for Efficient LLM Inference in AI-Enabled WiFi-Offload Networks
[arXiv] 2026-04-23 | Existence and uniqueness for singular stochastic differential equations with piecewise well-behaved coefficients
[arXiv] 2026-04-23 | Filter Design for Estimating the Stellar Metallicity of Metal-poor Stars from Gaia XP Spectra
[arXiv] 2026-04-23 | Estimation of Unknown Parameters in Presence of Perturbations and Noises with Application to GPEBO Design
[arXiv] 2026-04-23 | Taylor-SWFT: fast discrete Statistical Wave Field Theory using Taylor expansion for late reverberation Work under review
[arXiv] 2026-04-23 | A Replicable Robotics Awareness Method Using LLM-Enabled Robotics Interaction: Evidence from a Corporate Challenge
[arXiv] 2026-04-23 | MKJ at SemEval-2026 Task 9: A Comparative Study of Generalist, Specialist, and Ensemble Strategies for Multilingual Polarization
[arXiv] 2026-04-23 | A Markovian Traffic Equilibrium Model for Ride-Hailing
[arXiv] 2026-04-23 | Decoupled Travel Planning with Behavior Forest
[arXiv] 2026-04-23 | CARE: Counselor-Aligned Response Engine for Online Mental-Health Support
[arXiv] 2026-04-23 | Vertical Shuttling Protocols for Trapped Ions in Multi-Rail, Multi-Zone Surface Ion Trap Architectures
[arXiv] 2026-04-23 | $A^p_α$ classes in the Dirichlet range: inner-outer factorization, Carleson measures and weak products
[arXiv] 2026-04-23 | The First Challenge on Remote Sensing Infrared Image Super-Resolution at NTIRE 2026: Benchmark Results and Method Overview
[arXiv] 2026-04-23 | an interpretable vision transformer framework for automated brain tumor classification
[arXiv] 2026-04-23 | CI-Work: Benchmarking Contextual Integrity in Enterprise LLM Agents
[arXiv] 2026-04-23 | WPGRec: Wavelet Packet Guided Graph Enhanced Sequential Recommendation
[arXiv] 2026-04-23 | Scalable Sensor Scheduling for Continuous-Discrete Kalman Filtering via Information-Form Surrogate Dynamics
[arXiv] 2026-04-23 | Explainable Disentangled Representation Learning for Generalizable Authorship Attribution in the Era of Generative AI
[arXiv] 2026-04-23 | On the blowup rate of vorticity for the Euler equations in a bounded domain
[arXiv] 2026-04-23 | Higher odd-order nonlinear Hall effect in magnetic topological insulator Mn(Bi1-xSbx)2Te4
[arXiv] 2026-04-23 | GraphLeap: Decoupling Graph Construction and Convolution for Vision GNN Acceleration on FPGA
[arXiv] 2026-04-23 | Electrically switchable vacancy state revealed by in-operando positron experiments
[arXiv] 2026-04-23 | Hidden Dependencies and Component Variants in SBOM-Based Software Composition Analysis
[arXiv] 2026-04-23 | Do LLM Decoders Listen Fairly? Benchmarking How Language Model Priors Shape Bias in Speech Recognition
[arXiv] 2026-04-23 | CLT-Optimal Parameter Error Bounds for Linear System Identification
[arXiv] 2026-04-23 | Coherence toroidal vortices and statistic-veiled correlation topologies
[arXiv] 2026-04-23 | Calibeating Prediction-Powered Inference
[arXiv] 2026-04-23 | Observation of a new excited charm-strange meson $D_{s1}(2933)^+$ in $B^0\to D^+ D^- K^+ π^-$ decays
[arXiv] 2026-04-23 | How it cools? Studying the heat flow out of a semi-infinite slab in welding: An analytical approach
[arXiv] 2026-04-23 | An Efficient Wireless iBCI Headstage with Adaptive ADC Sample Rate
[arXiv] 2026-04-23 | On the role of inertia and self-sustaining mechanism in two-dimensional elasto-inertial turbulence
[arXiv] 2026-04-23 | ReCAPA: Hierarchical Predictive Correction to Mitigate Cascading Failures
[arXiv] 2026-04-23 | Smoothness of Inertial Manifold for the Burgers Equation
[arXiv] 2026-04-23 | The Feedback Hamiltonian is the Score Function: A Diffusion-Model Framework for Quantum Trajectory Reversal
[arXiv] 2026-04-23 | Monitoring photon entanglement in coupled cavities
[arXiv] 2026-04-23 | Refining Covariance Matrix Estimation in Stochastic Gradient Descent Through Bias Reduction
[arXiv] 2026-04-23 | WildSplatter: Feed-forward 3D Gaussian Splatting with Appearance Control from Unconstrained Images
[arXiv] 2026-04-23 | Graph Neural Network-Informed Predictive Flows for Faster Ford-Fulkerson and PAC-Learnability
[arXiv] 2026-04-23 | Explicit positronium source modeling for Geant4 PET pipelines: controlled 2-gamma and 3-gamma generation and validation
[arXiv] 2026-04-23 | Advanced manifold-metric pairs
[arXiv] 2026-04-23 | Position Paper: Denial-of-Service Against Multi-Round Transaction Simulation
