[2026-09-10 23:45:39] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-09
正在获取论文...
[arXiv] 2026-09-09 | Stencil Computation at the Intersection of AI and HPC
[arXiv] 2026-09-09 | LiteRAG: Cost-Efficient Graph-Based Retrieval-Augmented Generation
[arXiv] 2026-09-09 | On the Tightness of Standard Relaxations for Mixed-Integer Bilevel Linear Programs
[arXiv] 2026-09-09 | Mitigating Degradation Attacks in Cooperative Autonomous Driving via Intention Sharing: A Vehicle-in-the-Loop Study
[arXiv] 2026-09-09 | UOT-Gap: A Variational Principle for the Modality Gap in Vision-Language Models via Unbalanced Optimal Transport
[arXiv] 2026-09-09 | Convergence Rate toward Rarefaction Wave under Periodic Perturbation for Generalized Korteweg-de Vries-Burgers equation
[arXiv] 2026-09-09 | MHD Modelling of magnetic reconnection heating and jets in the solar corona
[arXiv] 2026-09-09 | Moderate Deviations for Nonlinear Hawkes Processes
[arXiv] 2026-09-09 | Are You Learning Biological Signal or Shortcuts? Auditing and Mitigating Bias in Protein-Protein Interaction Datasets
[arXiv] 2026-09-09 | pyeCE: A Python Implementation of the Embedded Cluster Expansion
[arXiv] 2026-09-09 | Fast, Accurate, and Scalable Fermionic Neural Networks via Translation Equivariance
[arXiv] 2026-09-09 | From Laboratory Aging Studies to Field Predictions: Quantifying Uncertainty in Battery Storage Lifetime Predictions
[arXiv] 2026-09-09 | Hopf decomposition of the actions of subgroups of the mapping class group
[arXiv] 2026-09-09 | Embedding Model-form Uncertainty in Probabilistic Calibration of Digital Twins for Bridges
[arXiv] 2026-09-09 | Multi-Robot Scanner for Automated Full-Body Dermoscopic Imaging
[arXiv] 2026-09-09 | Untangling EIT Waves: What a Measured Speed Actually Traces
[arXiv] 2026-09-09 | Boundary-Level-Constrained Refinement for Suppressing Trimming-Induced High-Frequency Outliers in Explicit Isogeometric Analysis
[arXiv] 2026-09-09 | The internal kinematics and chemistry of 20 Milky Way strings
[arXiv] 2026-09-09 | Observational constraints on a damped harmonic oscillator model of dark energy
[arXiv] 2026-09-09 | Assembling Two Parts in One Hand
[arXiv] 2026-09-09 | Context operations to architecture modelling output from large language models and evaluation criteria for their use in systems engineering design
[arXiv] 2026-09-09 | Controlled harmonic map heat flow and blow-up from the disk to the sphere
[arXiv] 2026-09-09 | Hadronic origin of gamma rays and neutrinos from blazars: Multi-messenger implications and observational constraints
[arXiv] 2026-09-09 | SAGE: Semantic-Aware Geographic Error Recovery for AI Data Movement
[arXiv] 2026-09-09 | Renewal process's guide to fractional Navier-Stokes equations
[arXiv] 2026-09-09 | Pullbacks of Groupoid $C^*$-Algebras over Disjoint Invariant Sets
[arXiv] 2026-09-09 | Marker-free eye-gaze estimation using a single image and depth from defocus
[arXiv] 2026-09-09 | The Car Resequencing Problem with Makespan Minimization
[arXiv] 2026-09-09 | Ulrich bundles on intersections of two quadrics
[arXiv] 2026-09-09 | Teacher Geometry Shapes Learnability in Teacher-Student Networks
[arXiv] 2026-09-09 | Inclusive productions of $J/ψ+η_c$ in $e^{+}e^{-}$ annihilation at Belle
[arXiv] 2026-09-09 | Signal Correlation, IC, and PnL Dependence
[arXiv] 2026-09-09 | Distillation of Synthetic Data for Time Series Foundation Models
[arXiv] 2026-09-09 | Characterizing Multi-Cell Pinching-Antenna Transmission: Revealing the Other Side of the Coin
[arXiv] 2026-09-09 | The validity of the Stokes-Einstein relation in ionic liquids
[arXiv] 2026-09-09 | Geometric organization of olfactory descriptor data in the Poincaré disk
[arXiv] 2026-09-09 | Learning with Synthetic Data via SGD in High-Dimensional Linear Regression
[arXiv] 2026-09-09 | Positional task conditioning for scalable defect detection across product families in large product catalogs
[arXiv] 2026-09-09 | The Vibe Shift in Software Engineering: Evaluating AI-Led Conversational Programming for Performance, Cognition, and Responsible Adoption
[arXiv] 2026-09-09 | Differential Stochastic Simulated Annealing Processor for Fully Connected 2048-Spin Optimization
[arXiv] 2026-09-09 | High-probability guarantees for linear accessibility in feature superposition
[arXiv] 2026-09-09 | Arbitrary Cipher Attacks Against Large Language Models Do Not Require Fine-Tuning
[arXiv] 2026-09-09 | An Efficient and Effective Agentic Group Shilling Attack on Recommender Systems
[arXiv] 2026-09-09 | Development of Ultrafast and Radiation-Hard GAGG for the Next-Generation of High-Energy Physics Calorimeters
[arXiv] 2026-09-09 | Storage-Scalable Progressive Semantic Communication via Knowledge-Base Reuse
[arXiv] 2026-09-09 | Derived equivalences between diagram categories of finite posets
[arXiv] 2026-09-09 | Enabling New Discoveries with Machine Learning
[arXiv] 2026-09-09 | Infinite ergodic theory and functional statistics of non-confined Feller process
[arXiv] 2026-09-09 | Joint nonlinearity in a stiffened aluminium wingbox panel and what it requires of a reduced basis
[arXiv] 2026-09-09 | Stochastic Lanczos Quadrature for Computational Uncertainty in Linear Algebra
[arXiv] 2026-09-09 | Probing the Electromagnetic Structure of Heavy-Light Hybrid Mesons with Vector and Axial-Vector Quantum Numbers
[arXiv] 2026-09-09 | Stability of Edelstein Hidden-Variable Fractal Interpolation Functions
[arXiv] 2026-09-09 | Execution-Time Opacity Logic: A Logic for Ensuring ET-Opacity in Timed Systems
[arXiv] 2026-09-09 | Aubin--Lions Compactness for Stieltjes--Bochner Evolution Graphs
[arXiv] 2026-09-09 | Reference-Based Bias Detection in LLMs via Relative Representations of Hidden States
[arXiv] 2026-09-09 | Accelerating A*-Based Algorithms for Decoding Quantum Low-Density Parity-Check Codes
[arXiv] 2026-09-09 | Grounding Generated Video Plans in Simulation Towards Versatile Dexterous Controllers
[arXiv] 2026-09-09 | Quantum computational resources and validation protocols for a three-mode non-Gaussian trilinear Hamiltonian
[arXiv] 2026-09-09 | Evidence of a Low-Energy Cutoff in the Injected Spectrum of a Pulsar Wind Nebula
[arXiv] 2026-09-09 | Parametric bootstrap simultaneous confidence interval based on doubly type-II censoring
[arXiv] 2026-09-09 | RoboDrop: Curating VLA Post-Training Data via Local Gradient Compatibility
[arXiv] 2026-09-09 | An Explainable Machine Learning Framework for Predicting Blood-Brain Barrier Permeability Using Molecular Descriptors
[arXiv] 2026-09-09 | What Makes Adversarial Examples Transfer Across Deepfake Detectors?
[arXiv] 2026-09-09 | Convergence of a single-ensemble multilevel scheme for McKean-Vlasov SDEs
[arXiv] 2026-09-09 | Coded Clifford Measurements for Multiqubit Magic-State Cultivation
[arXiv] 2026-09-09 | Efficient protocol for the Markovian Mpemba effect in $N$-level systems
[arXiv] 2026-09-09 | A Sharp Barrier for Consistent Submodular Maximization: Any Improvement over $2-\sqrt{2}$ Entails Exponential Queries or Linear Recourse
[arXiv] 2026-09-09 | VLX-VR: An Agentic-Aware Video Reasoning Model
[arXiv] 2026-09-09 | Optimal Value Inference for Reinforcement Learning
[arXiv] 2026-09-09 | Deep Neural Networks for Learning Intent from sEMG Signals to Support Hardware Devices for Post-Stroke Neurorehabilitation
[arXiv] 2026-09-09 | Over-Tightening-Aware Pseudo-Labeling for Tight-Boundary Speaker Diarization
[arXiv] 2026-09-09 | CrossLink: Breaking Location Privacy by Linking Device Identifiers Across Protocols
[arXiv] 2026-09-09 | Vague2Detect: Handling Ambiguous Prompts in Knowledge-Based Open-World Detection
[arXiv] 2026-09-09 | Boundary control for optimal mixing by two-dimensional second-grade fluids
[arXiv] 2026-09-09 | Quantum MDS codes from complements of unions of finite-field subsets
[arXiv] 2026-09-09 | Configurational-space separation and structure selection in three hard squares
[arXiv] 2026-09-09 | Long-slit spectroscopy of the bipolar planetary nebula ESO\,428$-$05
[arXiv] 2026-09-09 | The Global Asymptotic Stability Problem for Linear MPC Is Undecidable
[arXiv] 2026-09-09 | Prospects of electromagnetic follow-up of neutron star-black hole mergers in the LIGO-India era
[arXiv] 2026-09-09 | Dimensional Control of Excitonic Interactions in Exfoliated 2D Molecular Crystals
[arXiv] 2026-09-09 | High-charge, highly polarized positron beams generated from a laser-driven nanowire-array target
[arXiv] 2026-09-09 | Beyond Conventional Federated Learning via High-Order Regularization
[arXiv] 2026-09-09 | SphereVAE: Hyperspherical Latent Autoencoders for Robust Autoregressive Speech Representation Modeling
[arXiv] 2026-09-09 | Strangers to Themselves: What Language Models Say About Themselves Is Generic
[arXiv] 2026-09-09 | StreetDiff: Multi-view Street Scenes Generation via Cross-view Consistent Multi-view Stable Diffusion with Structure Prompts
[arXiv] 2026-09-09 | When Does Defendant Statement Matter? A Study of Bias and Persuasion in LLM-Simulated Jurors
[arXiv] 2026-09-09 | Albedo Estimation via Latent Bridge Matching
[arXiv] 2026-09-09 | Studies of Two Post Common Envelope Binary Stars
[arXiv] 2026-09-09 | From Pixels to Hierarchical Sequences: Quadtree Mask Encoding for Vision-Language Binary Change Detection
[arXiv] 2026-09-09 | Computation of unknotting numbers: which knot breaks the Bernhard-Jablan Conjecture
[arXiv] 2026-09-09 | How an Economy Shrinks in Space: Concavity-on-Jobs and Upward Consolidation under Demographic Decline
[arXiv] 2026-09-09 | With a Thermomix You Lose the Ability to Cook: A Kitchen Machine Analogy for Applications of Generative AI in Education
[arXiv] 2026-09-09 | $S^3$-Bench: Evaluating Speech Interaction Models as Scientific Voice Assistants
[arXiv] 2026-09-09 | Subgroup Membership Inference Audits of Differentially Private Synthetic Text
[arXiv] 2026-09-09 | Simple QKD keyrate computations from tangent-line bounds
[arXiv] 2026-09-09 | Entropy-Regularized Optimal Transport for Time-Varying Multi-Agent Coverage Control
[arXiv] 2026-09-09 | Layerwise Tunable Lifting Scheme for the Convolutional Neural Network
[arXiv] 2026-09-09 | In Medical Claims Data, Enhancing Predictive Performance for Major Adverse Cardiovascular Events Using Cross Attention
[arXiv] 2026-09-09 | The hyperbolic class and vanishing laws in a TMF-valued four-manifold invariant
[arXiv] 2026-09-09 | Outward minimizing $p$-capacity, horizons, and Schwarzschild rigidity
[arXiv] 2026-09-09 | Online Inverse Integer Linear Optimization via Small-Gradient Skipping: Constant Regret and Finite Mistakes
[arXiv] 2026-09-09 | Small-Bias Quantum Approximate Counting via the Multiplicative Adversary Method
[arXiv] 2026-09-09 | Learning-Aided Short Code Design for ISAC based on MIMO-OFDM
[arXiv] 2026-09-09 | A practical DIRECT-type algorithm for medium-scale black-box global optimization
[arXiv] 2026-09-09 | Spatial LLM Workload Shifting Needs Foresight: Model Commitment for AI Data Center Operation under Power Grid Constraints
[arXiv] 2026-09-09 | BRACE: Anchored Bellman-Residual Correction for Stale Critics in Asynchronous RL
[arXiv] 2026-09-09 | Power quasinormal operators and the root problem
[arXiv] 2026-09-09 | Facile hBN-hBN Interfacial Overlap Engineering for Enhanced Quantum Emitter Formation
[arXiv] 2026-09-09 | MethaneFuse: Learning from Multi-Sensor Satellite Observations for Methane Plume Detection
[arXiv] 2026-09-09 | Arithmetic Scar Accessibility and Generic Schrodinger Control on Metric Graphs
[arXiv] 2026-09-09 | Generalized Fidelity and the Data Processing Inequality
[arXiv] 2026-09-09 | HiRAD: A Flexible Large-Scale AGV Routing System
[arXiv] 2026-09-09 | A counterexample to Huang's weak majorization conjecture
[arXiv] 2026-09-09 | Euler-Poincare Reduction: A Geometric Treatment of the Relativistic Spinning Particle
[arXiv] 2026-09-09 | From Pythagorean Runs to Pell-Generated Cubic Runs
[arXiv] 2026-09-09 | Efficient Graph Neural Networks for Multicarrier Wideband Hybrid Beamforming Optimization
[arXiv] 2026-09-09 | AppetiteCheck: Feasibility of Momentary Vagus Nerve Stimulation as an Implicit Intervention for Eating Behavior
[arXiv] 2026-09-09 | Looped GPT-BERT: Trading Parameters for Computation in Small Language Modeling
[arXiv] 2026-09-09 | A Self-Contained Proof of the Portmanteau Theorem
[arXiv] 2026-09-09 | Automated Generation of Commensurate Magnetic Structures based on Spin Space Groups and Graph Theory
[arXiv] 2026-09-09 | Recovering Biomechanical Signals from Missing Keypoints Using Temporal Interpolation in Monocular Gait Analysis
[arXiv] 2026-09-09 | PRAGMA: Evaluating Personalized Guidance with Memory Alignment in Lifelong Conversations
[arXiv] 2026-09-09 | Perfect State Transfer from a Localised Two-Excitation State to a Dicke State via Static Spin-Network Hamiltonians
[arXiv] 2026-09-09 | Probabilistic Symbol-Level Precoding based Affine Frequency Division Multiplexing Transmission
[arXiv] 2026-09-09 | UNISON: A Co-Designed Near-Memory Scheduler of Session KV Residency for LLM Agents
[arXiv] 2026-09-09 | Sharp Typical Distance and Exponential Small-Ball Bounds in One-Step-Cliff Nielsen Geometry
[arXiv] 2026-09-09 | Stabilization index of V-number of powers of edge ideals of graphs
[arXiv] 2026-09-09 | A Sum-of-Squares Hierarchy with Quadratic Convergence for Quantum Channel Coding
[arXiv] 2026-09-09 | Who Are They to Each Other? Multi-Agent Reasoning for Speaker Relationship Inference
[arXiv] 2026-09-09 | Seven Sources of Physical AI Capability Formation
[arXiv] 2026-09-09 | Scalable Composition of Byzantine Agreements under Reorder Attacks
[arXiv] 2026-09-09 | CougarTail & CUB: A General-Purpose Mast and Central Utility Board for Cylindrical Underwater Enclosures
[arXiv] 2026-09-09 | Thermodynamics of Kerr-Newman-Bertotti-Robinson black holes
[arXiv] 2026-09-09 | Through-thickness coupling of diffusion and viscoelastic relaxation in the transient bending of bilayer microcantilevers
[arXiv] 2026-09-09 | Graph-Based Characterization of Vision-Derived Dynamic Modes for Structural Damage Identification
[arXiv] 2026-09-09 | Null String Holography, Null Strings Probe Projective Boundary of Their Target Spaces
[arXiv] 2026-09-09 | Birational cubic fourfolds via an Enriques Cremona transformation
[arXiv] 2026-09-09 | Search for refractive substructure in active galactic nuclei using ground-based VLBI observations
[arXiv] 2026-09-09 | Non-Existence of PMMS Allocations and a $4/3$-PMMS Guarantee for Additive Chores
[arXiv] 2026-09-09 | Analytical properties of polygonal Stokes and BGG Hessian complexes with application to Kirchhoff--Love plates
[arXiv] 2026-09-09 | The magnetic field in M16: new results from the JCMT BISTRO survey
[arXiv] 2026-09-09 | Primordial turbulence from inflation: a new inflaton-driven turbulent regime
[arXiv] 2026-09-09 | Phase transitions in first-detection statistics of monitored long-range quantum walks
[arXiv] 2026-09-09 | Can Foundation Models Moderate Online Content? Evaluating Instruction- vs. Example-Driven Policy Operationalization
[arXiv] 2026-09-09 | The Cuntz-Pimsner algebra of the simplest Motzkin subproduct system is 2-subhomogeneous
[arXiv] 2026-09-09 | Magnetically Driven Obliquity in Circumplanetary Disks and Twisted Bipolar-jet Formation
[arXiv] 2026-09-09 | Gromov--Hausdorff Distance Between Euclidean Unit Balls
[arXiv] 2026-09-09 | Semi-device-independent quantum randomness certification in semiconductor spin-noise measurements
[arXiv] 2026-09-09 | Overcoming Transport Layer Bottlenecks to Quantify Ionic Parameters from Transient Ion Current Measurements of Perovskite Solar Cells
[arXiv] 2026-09-09 | Cosmic-ray electron propagation in the peculiar barred spiral galaxy NGC 2442
[arXiv] 2026-09-09 | Stable, Compact, and Direct Ghost-Cell Reconstruction: A Non-Iterative Approach for Embedded-Boundary Methods
[arXiv] 2026-09-09 | The FU Ori outburst of PR Ori B
[arXiv] 2026-09-09 | A computer-assisted proof of robust transitivity
[arXiv] 2026-09-09 | IdeaAMBIG: Benchmarking Implementation-Critical Gaps in Research-Idea Specifications
[arXiv] 2026-09-09 | For Whom Does Bell Hold?
[arXiv] 2026-09-09 | A sharp threshold for mixed $Q$-curvature rigidity
[arXiv] 2026-09-09 | Characterizing Language Generation in the Limit: Finite Witnesses and a Separation-Width Hierarch
[arXiv] 2026-09-09 | Precision in Rice Variety Classification using Stacking-Based Ensemble Learning
[arXiv] 2026-09-09 | Rogue-like waves from collision of mKdV solitons
[arXiv] 2026-09-09 | A Candidate Innermost Fifth Planet In the HR 8799 System Revealed By JWST NIRISS Aperture Masking Interferometry
[arXiv] 2026-09-09 | Wicked Problem, Parsimonious Solution: Securing Electric Vehicle Charging Station Software
[arXiv] 2026-09-09 | Testing the Binary Rank with Polynomial Query Complexity
[arXiv] 2026-09-09 | Artificial Intelligence Literacy and Sustainable Development: An Ethical Governance and Development Goals Framework
[arXiv] 2026-09-09 | Difference Equations for Local Gromov-Witten Potentials of Threefold Flops
[arXiv] 2026-09-09 | Box dimension prints
[arXiv] 2026-09-09 | Open Inextensible Filaments in Planar Stokes Flow: Well-Posedness, Endpoint Asymptotics, and Straightening
[arXiv] 2026-09-09 | Invariant domain preservation for hybrid point-value and cell-average discretizations of hyperbolic equations on general meshes
[arXiv] 2026-09-09 | Symmetry structure dependent diagnostic of the Quantum Mpemba Effect
[arXiv] 2026-09-09 | MotionCanvas: Learning Implicit Motion Planning from Composable Kinematic Cues
[arXiv] 2026-09-09 | Advanced Brain Tissue Imaging with Data-Consistent Diffusion Priors in Laminographic X-Ray Nanoimaging
[arXiv] 2026-09-09 | Coherent advantage in the computational expressivity of excitonic networks
[arXiv] 2026-09-09 | Building Multilingual Bridges: Data Mixing as the Pillar of Generalization for In-Language Reasoning
[arXiv] 2026-09-09 | Mobility Information Capacity in the Sky: A Gaussian Channel Perspective
[arXiv] 2026-09-09 | Assessing extreme flood impacts on urban rail transit: A passenger-oriented, resilience-informed framework
[arXiv] 2026-09-09 | Faster Computation with the Generalized Laplacian Quantum Walk
[arXiv] 2026-09-09 | Cascade models of anisotropic turbulence in magnetized plasma of solar wind
[arXiv] 2026-09-09 | The Schrödinger equation with fluctuating nonlinearity in the energy space
[arXiv] 2026-09-09 | Towards Scalable and Cost-Efficient Vulnerability Detection: A Study on Automatic Query Generation
[arXiv] 2026-09-09 | HybridFLow: SDN-Orchestrated Client Partitioning for Hybrid Federated Learning
[arXiv] 2026-09-09 | Rosetta at AlexandriaX-2026: LoRA-Adapted NileChat for Context-Aware Dialectal Arabic Dialogue Translation
[arXiv] 2026-09-09 | Wide Field Localization Using Fixed Modulation Collimators
[arXiv] 2026-09-09 | Searching for New Physics with Reinforcement Learning
[arXiv] 2026-09-09 | Extremal entropy for products of Fuchsian representations
[arXiv] 2026-09-09 | Violet: Enabling Full Virtualization for M-mode RTOS on RISC-V
[arXiv] 2026-09-09 | On Two Open Problems by Johnson and Kollár
[arXiv] 2026-09-09 | Thermal Quantum Sensing: Fisher Information and Work Beyond Gaussian Signals
[arXiv] 2026-09-09 | Avatar: Toward Autonomous End-to-End Orchestration of Scientific Workflows using LLMs
[arXiv] 2026-09-09 | Anomalies at the End of the Universe?
[arXiv] 2026-09-09 | From Retrieval to Weights: Parametric Individualization of Small Language Models with Individual Text Corpora
[arXiv] 2026-09-09 | Monitoring Hierarchies in Knowledge Production
[arXiv] 2026-09-09 | Extending Symmetric Layer-Rainbow Latin Cubes
[arXiv] 2026-09-09 | Sharp Conditioning for Matrix Recovery by Finite Affine Orbits
[arXiv] 2026-09-09 | Planetary Nebula Central Stars as Tracers of Planetary Nebula-Star Cluster Associations in the Galaxy
[arXiv] 2026-09-09 | Probing quantum chaos near a wormhole throat with a circular string
[arXiv] 2026-09-09 | Convex-Gaussianity of fermionic Gibbs states in perturbation theory
[arXiv] 2026-09-09 | Tile sets consisting of two types of concave polygons derived from periodic tilings corresponding to non-periodic tilings with hat and turtle tiles
[arXiv] 2026-09-09 | Composing group automorphisms with colour-preserving automorphisms of Cayley graphs
[arXiv] 2026-09-09 | Beyond Top Words: MonoTM for Topic Modeling with Interpretable Monosemantic Features
[arXiv] 2026-09-09 | Nonclassical Weyl laws and Connes' Integration for weak Lorentz ideals, II
[arXiv] 2026-09-09 | Composition and Surface Termination Control Band Alignments in P3HT/Perovskite Heterostructures
[arXiv] 2026-09-09 | Robust Industrial Cyber Physical Classification Using Neuromorphic Temporal Embeddings and Hybrid SNN XGBoost Under Machine Unlearning Attacks
[arXiv] 2026-09-09 | Curvature-Induced Geometric Universality in Non-Hermitian Anderson Transitions
[arXiv] 2026-09-09 | Towards Automatic Evolution Tree Generation from Citation Graphs
[arXiv] 2026-09-09 | $F$-depth and $F$-nilpotent rings: generalizations and applications
[arXiv] 2026-09-09 | From Certifying Rank $k$ Projectors To Non-Positivity, Entanglement, And Non-Hermitian Witnesses Through Traces Of Matrix Powers
[arXiv] 2026-09-09 | Contextual Utility of Quantization Moves in Extreme Low-Bit LLMs
[arXiv] 2026-09-09 | Universal norms and de Rham representations
[arXiv] 2026-09-09 | MPFA: A Pareto Front Approximation Method for Riemannian Bi-objective Optimization
[arXiv] 2026-09-09 | When Does a Quantum Speedup Survive End-to-End?
[arXiv] 2026-09-09 | Can AI Agents Detect and Repair Artifact Drift in Network Experiments?
[arXiv] 2026-09-09 | Semi-Cooperative Passive Integrated Sensing and Communication by Utilizing Physical Layer Information of 5G Signals
[arXiv] 2026-09-09 | TempTPI: Informer-Based trajectory prediction for maritime vessels
[arXiv] 2026-09-09 | Proximity Gaps for Gabidulin Codes and Applications
[arXiv] 2026-09-09 | Robust Device-Independent Certification of Boolean-Phase Gates
[arXiv] 2026-09-09 | HyperTrace: Hypothesis-Based Preference Tracing for Online LLM Personalization
[arXiv] 2026-09-09 | Proportional-limit asymptotics for Diaconis-Ylvisaker-penalised logistic regression with fitted intercept
[arXiv] 2026-09-09 | Stable vortex soliton arrays in disclination-fractal systems
[arXiv] 2026-09-09 | Validity of the CRD limit for modeling scattering polarization in the photospheric Sr I 4607 Å line
[arXiv] 2026-09-09 | Comprehensive Study of L-Menthol and Octanoic Acid as a Hydrophobic Eutectic Solvent
[arXiv] 2026-09-09 | Classification of finite-dimensional Nichols algebras of rank two in twisted Yetter--Drinfeld categories
[arXiv] 2026-09-09 | GTA-2: A Multi-VLM Framework for Synthesizing Robot Manipulation Skills via Grounded Task Axes
[arXiv] 2026-09-09 | uFlowCSP: Crystal Structure Prediction using Mean flow generative models
[arXiv] 2026-09-09 | Uniform Chebyshev approximations of functions satisfying a variation-type condition: reconstruction of time-varying signals on graphs
[arXiv] 2026-09-09 | More QCD Masterclass Lectures on Jet Physics and Machine Learning
[arXiv] 2026-09-09 | Optimal dimension-dependent $\ell^p$ and $\ell^{1,\infty}$ estimates of the second-order discrete Riesz transforms
[arXiv] 2026-09-09 | Closed-loop $α$-Potential Stochastic Differential Games via a BSDE Approach
[arXiv] 2026-09-09 | Epoch: Compiling Diffusion Blocks for Sparse MoE Serving
[arXiv] 2026-09-09 | Heavy-Ball Method under Randomized Schedules
[arXiv] 2026-09-09 | A counterexample to the periodicity conjecture for finite-dimensional algebras
[arXiv] 2026-09-09 | Record-Breaking Elemental Superconductivity in Tetralayer Kagome Borophene
[arXiv] 2026-09-09 | EFQ-Softmax: Exp-Free Quantization for Softmax
[arXiv] 2026-09-09 | Enhancing Pauli Correlation Encoding for quantum optimization via systematic expressivity analysis
[arXiv] 2026-09-09 | VFNet: Multi-View Spatio-Temporal Model for Void Fraction Estimation in Gas-Liquid Two-Phase Flow
[arXiv] 2026-09-09 | The Evolution of Thermal and Non-thermal Emission Components in GRB 250920C
[arXiv] 2026-09-09 | Boundary-layer scheme selection outweighs microphysics in WRF simulations of the August 2018 Kerala extreme rainfall event
[arXiv] 2026-09-09 | Counterexamples for BFGS-type methods under arbitrary strong Wolfe constants
[arXiv] 2026-09-09 | ALIGN-HOLD: Experience Alignment for Real-Time Hold Control in Large-Scale Ride-Hailing Matching at DiDi
[arXiv] 2026-09-09 | Which Medical Questions Deserve Rationales? Perturbation-Sensitive Selection for Robust QA
[arXiv] 2026-09-09 | Beyond Accuracy: ARIA-Rubrics for Evaluating Audio Reasoning in Large Audio Language Models
[arXiv] 2026-09-09 | X2-NativeCursor: Native-Token Text Progress Tracking for Incremental-Text Streaming Codec TTS
[arXiv] 2026-09-09 | Muon-C: Operator-Aligned Muon for Convolutional Kernels
[arXiv] 2026-09-09 | SEA-SpeechBench: A Large-Scale Multitask Benchmark for Speech Understanding Across Southeast Asia
[arXiv] 2026-09-09 | Koopman Spectral Reduced-Order Modeling of Spherical Diffusion in Lithium-Ion Batteries
[arXiv] 2026-09-09 | Pulse Signal Simulation of Pulsars
[arXiv] 2026-09-09 | The three Kanade-Russell identities modulo nine
[arXiv] 2026-09-09 | A polar-harmonic unified gas-kinetic scheme for magnetized ion dynamics from cyclotron kinetics to the Hall-Pedersen constitutive limit
[arXiv] 2026-09-09 | UnsafeChecker: Finding Soundness Bugs in Rust Safe Abstractions
[arXiv] 2026-09-09 | Analysis and stability of the FitzHugh-Nagumo system with rapidly oscillating Neumann boundary condition
[arXiv] 2026-09-09 | Macroscale vortex impingement at a porous-fluid interface induces local heat-transfer enhancement
[arXiv] 2026-09-09 | Littlewood subordination for de Branges--Rovnyak spaces
[arXiv] 2026-09-09 | Beyond Training: A Feasibility Taxonomy for Inference-Time AI Governance
[arXiv] 2026-09-09 | LinearMask-GS: Stable-Mask Importance Pruning for Compact 3D Gaussian Splatting
[arXiv] 2026-09-09 | Laboratory X-ray Microscopy Using Fresnel Zone Plate: Method and Practice
[arXiv] 2026-09-09 | Haar-Bayesian Pure-State Prediction under Relative-Entropy Loss: Arbitrary-Effect Reduction and Global Optimality
[arXiv] 2026-09-09 | MetroLLM-Bench: Evaluating Language Models as Transit Kiosk Runtimes
[arXiv] 2026-09-09 | Effect of Spherical Confinement on the 2-TIPS of Soft Repulsive Spherocylinders
