[2026-06-27 23:02:59] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-26
正在获取论文...
[ACM] 2026-6-26 | VFDelta: A Framework for Detecting Silent Vulnerability Fixes by Enhancing Code Change Learning
[IEEE] 2026-6-26 | Traversing the Untraversable: Enabling UAV Navigation in the Extremely Dense Wild by Contact-driven Adaptation_supp3-3705701.mp4
[ACM] 2026-6-26 | Porting the code_saturne CFD Solver to GPU: Methodology, Feedback, and Insights
[ACM] 2026-6-26 | Interpretable WBC Analysis through Pathologist-Aligned Reasoning
[IEEE] 2026-6-26 | Artificial Intelligence and FinTech for Sustainable Financial Systems: A Systematic Review
[IEEE] 2026-6-26 | EEG Emotion Detection via Dynamic Coherence Connectivity and Temporal Deep Learning
[IEEE] 2026-6-26 | The impact of Artificial General Intelligence on ESG Performance: Through smart taxes and smart customs
[IEEE] 2026-6-26 | SUSTAIN: A Comprehensive Methodology for Integrating Sustainability Principles in Software Architecture
[IEEE] 2026-6-26 | A Survey on Machine Learning-Based IoT Classification and Fingerprinting
[IEEE] 2026-6-26 | Big Data Analysis as a Mediator in The Impact of Supply Chain Agility on Sustainable Performance
[IEEE] 2026-6-26 | Intelligent Vision-Based Quality Control Algorithms for Automated Mechanical Component Inspection
[IEEE] 2026-6-26 | Interpretable Attention Integration in EfficientNetV2 S: A Robust 2.5D Framework for Multiclass Lung CT Nodule Classification
[IEEE] 2026-6-26 | Prediction and Optimization of Mutual Coupling in Closely Spaced MIMO Arrays Using Deep Neural Networks
[IEEE] 2026-6-26 | Synergizing HR Analytics and Employer Branding: A Conceptual AI Framework for Sustainable Engineering Competitiveness
[ACM] 2026-6-27 | Implications of Supporting Compressed Instructions in Area-Optimized Bit-Serial RISC-V Cores
[ACM] 2026-6-27 | Row-wise Inter-Phase Pipelining for Hardware-Efficient GCN Acceleration
[ACM] 2026-6-27 | Robust Quantum Communication for Space Systems Through an Heterogeneous RISC-V based FPGA/SoC Platform
[ACM] 2026-6-27 | A QSP Matrix Multiplication Method for Phase Factor Recovery
[IEEE] 2026-6-26 | Digital Innovation and Credit Risk Evolution in Banking System: A Systematic Review and Conceptual Framing
[IEEE] 2026-6-26 | Moderating Role of the Value Chain Model Between the Relationship of Digital Logistics Industry and Production Analysis
[IEEE] 2026-6-26 | The Graphene Opportunity for AI Chips, GPUs, and Data Centers: Limitations and Challenges
[IEEE] 2026-6-26 | Predict, Explain, and Act: An End-to-End Explainable AI System for Profit-Driven Customer Retention
[IEEE] 2026-6-26 | Zero-Noise Quantum Reinforcement Learning: Error-Resilient Learning Architectures for Scalable Quantum Control Systems
[IEEE] 2026-6-26 | The Impact of Smart Systems in Supply Chains on Resource Sustainability: The Role of Smart Systems in Waste Reduction as a Mediator
[IEEE] 2026-6-26 | Edge AI for Real-Time Fault Detection in Industrial Electric Motors Using Vibration Sensor Data
[ACM] 2026-6-26 | The Risk and Reward of Cross-Engine Query Partitioning: A Case for Partition-Aware Benchmarking
[IEEE] 2026-6-26 | Distortion Control in Self-Interference Cancellation Systems: Residual Signal Analysis and Loop Parameter Optimization
[IEEE] 2026-6-26 | Spatial Dependence of Amplitude-to-Phase Modulation Conversion in Silicon p-i-n Photodiodes
[IEEE] 2026-6-26 | Multi-Perception Crowd: Learning to combine entity and implicit perception for diverse crowd simulation
[IEEE] 2026-6-26 | Influence of Concave Damage and Compensation Structures in Ring-Core Photonic Crystal Fiber on Orbital Angular Momentum Mode Transmission
[IEEE] 2026-6-26 | Modulation Switching Strategy for Collaborative Current Measurement Errors Calibration in Distributed Quad-Motor Drives
[ACM] 2026-6-26 | The Dark Art of Dopamine Engineering
[ACM] 2026-6-26 | Information Transfer on the Wrist: Vibrotactile Signal Characteristics from Single to Multiple Tactors
[ACM] 2026-6-26 | Contiguous Storage of Grid Data for Heterogeneous Parallelism
[ACM] 2026-6-27 | The Influence of Environmental Odors on Student Programmers During Code Comprehension and Code Writing
[IEEE] 2026-6-26 | GAN-Based PAN-to-RGB Image Translation for True-Color 3D Texture Generation Using GaoFen-7 Stereo Imagery
[IEEE] 2026-6-26 | Distributed Acoustic Sensing for Underground Power Distribution Assets: An Evidence-Tiered Review of Deployment-Conditioned Observability and Warning Reliability
[IEEE] 2026-6-26 | Lane-Changing Maneuver Prediction With Urban Arterial Traffic Data From Drones
[IEEE] 2026-6-26 | IEEE Internet of Things Journal Society Information
[IEEE] 2026-6-26 | A Portable Smartphone-Based Fluorescence Detection System for Rapid DNA Semi-Quantification and Water Quality Screening_supp1-3705487.docx
[IEEE] 2026-6-26 | A Resilient AoI-Aware Optimization Framework for Intelligent Transportation Systems Using Deep Reinforcement Learning
[IEEE] 2026-6-26 | Adaptive Affinity Memorization with Layer Mutation for Multimodal Deepfake Continual Detection
[IEEE] 2026-6-26 | Assessing the Adoption of Email Security Measures After Google’s New Sender Guidelines
[IEEE] 2026-6-26 | Unified Practical Finite-Time and Prescribed Performance Attitude Control for Hypersonic Flight Vehicles
[IEEE] 2026-6-26 | Jamming Detection at the Application Layer Using Deep Learning: A Transfer Learning Approach
[IEEE] 2026-6-26 | Resource-aware switching design with self-triggered sampling: a candidate-based switching framework
[IEEE] 2026-6-26 | Towards Generating Unlearnable Examples for Open-Set Face Recognition
[IEEE] 2026-6-26 | IEEE Internet of Things Journal Information for Authors
[IEEE] 2026-6-26 | Blockchain-Enabled Dynamic Spectrum Trading for Next-Generation Wireless Networks
[IEEE] 2026-6-26 | Neural Spatiotemporal Interpolation for Gap Filling of GNSS-R Soil Moisture Data
[IEEE] 2026-6-26 | Double-Sided Funnel-Shaped Through Silicon Via Interposer by Wet-Etching Method for Superconducting Quantum Application
[IEEE] 2026-6-26 | Development of Feature Tokenizer Deep Learning Model for Fault Diagnosis in Marine Propulsion System
[IEEE] 2026-6-26 | A recursive deformable Mamba pyramid network with multi-objective constraints and spatial-aware attention enhancement for unimodal and multimodal brain image registration.
[ACM] 2026-6-26 | Solver-Integrated Lossy and Lossless Compression for Scalable Flow Simulations
[IEEE] 2026-6-26 | AI-Based Food Waste Reduction and Smart Menu Prediction System
[IEEE] 2026-6-26 | Entropic Control in Latent Spaces: Autonomous Racing in the DonkeyCar MiniMonaco Environment using Soft Actor-Critic
[IEEE] 2026-6-26 | Enhancing Bone Marrow Cell Classification: A Hybrid AI Framework with Hyperparameter Optimization
[IEEE] 2026-6-26 | Machine Learning-Based Detection of Students’ Mental Stress: An In-Depth Analytical Study
[IEEE] 2026-6-26 | FinTech Innovations and Their Impact on Sustainable Investment Strategies in Jordan
[IEEE] 2026-6-26 | Artificial Intelligence as a New Factor of Production: Interrelationships with Traditional Factors and Qualitative Differences
[IEEE] 2026-6-26 | The Effect of Digital Transformation on Business Sustainability: The Moderating Role of Digital Corporate Governance
[IEEE] 2026-6-26 | Edge AI Autoencoder Architecture for Real-Time Ground Fault Detection in Industrial Power Systems
[ACM] 2026-6-26 | <scp>Dyn</scp>
                    NPC: Finding More Violations Induced by ADS in Simulation Testing via Dynamic NPC Behavior Generation
[ACM] 2026-6-26 | IsabeLLM: Automated Theorem Proving Applied to Formally Verifying Consensus
[ACM] 2026-6-27 | POSTER: Measuring What Matters: Advancing Green Computing Through the Green Work Efficiency (GWE) Metric
[ACM] 2026-6-27 | Network Folding for Resource-Efficient Implementation of Stream-Dataflow Deep Neural Network Inference on FPGAs
[ACM] 2026-6-27 | Designing and Engineering Gesture User Interfaces
[ACM] 2026-6-27 | Designing beyond human perspectives: Applying BACT framework into practice
[ACM] 2026-6-27 | Non-Euclidean Portals in VR: A Demo of Seamless Room-Scale Navigation Beyond Physical Boundaries
[ACM] 2026-6-26 | Continuous Resilience Testing of a Distributed Database in Long-Running Clusters
[IEEE] 2026-6-26 | Scriptless Atomic Swap with Batch Processing
[IEEE] 2026-6-26 | 16-nm FinFET FIT Measurements Using a 30 MeV Quasi-Monoenergetic Neutron Source and a Spallation Neutron Source
[IEEE] 2026-6-26 | Accepted Papers - ICISCT 2026
[IEEE] 2026-6-26 | TACE-Net: Two-Stage Asymmetric Conditional Enhancement for Weak-Source Recovery in Co-Channel FM
[IEEE] 2026-6-26 | BC-TRUST: Blockchain-Assisted Trust Assessment via Auditable End-to-End Latency Evidence in SIoT
[IEEE] 2026-6-26 | Enhancing Performance Constraints of Nonlinear Networked Systems Under Intermittent Communications and DoS Attacks
[IEEE] 2026-6-26 | Uncertainty Aware Semi-Supervised Learning for Robust INS/GNSS Integrated Navigation on Edge Platforms_supp1-3705670.pdf
[IEEE] 2026-6-26 | Improvement of Spatial Robustness in UWB Fall Detection Via Temporal Differencing
[IEEE] 2026-6-26 | EleTac: Elephant Trunk Tip-Inspired Soft Gripper with Vision-Based Tactile Sensing and Proprioception
[IEEE] 2026-6-26 | Feasibility-Guided Beamforming for Cell-Free ISAC: A Graph Neural Deep-Unrolling Approach
[IEEE] 2026-6-26 | IEEE Internet of Things Journal Publication Information
[IEEE] 2026-6-26 | Matched Direction Detection in Unknown Gaussian Thermal Noise
[IEEE] 2026-6-26 | Design-Oriented Digital Twin Framework for Optimal VSC Setpoint Synthesis in Hybrid AC/DC CIGRE Low-Voltage Networks
[IEEE] 2026-6-26 | Physics-Aware Modal Intensity Modeling for Dynamically Stable Ocean Front Prediction
[IEEE] 2026-6-26 | Multi-Institution Fraud Detection in Cloud Using Federated Learning and Secure Aggregation
[IEEE] 2026-6-26 | Multimodal AI model for wheat yield prediction using NDVI satellite data, weather time series, and soil parameters
[IEEE] 2026-6-26 | Automatic Classification of Banglish and English Text Using TF-IDF and Machine Learning Models
[IEEE] 2026-6-26 | Towards Sustainable Agriculture: Machine Learning-Based Apple Leaf Disease Detection Using Image Processing Techniques
[IEEE] 2026-6-26 | An Experimental Study on Machine Learning Techniques to Predict Alzheimer Disease
[ACM] 2026-6-27 | Real-World Traceability Patterns for Generative AI Systems: With Insights from the Safa Dataset
[IEEE] 2026-6-26 | The Impact of Green Human Resource Management Practices on Sustainability Performance: A Conceptual Study
[IEEE] 2026-6-26 | Deep Learning-Based Scene Segmentation for Autonomous Navigation in Maritime and Urban Transport Systems
[IEEE] 2026-6-26 | Soil moisture prediction using LSTM for precision irrigation with IoT in semi-arid agricultural regions
[IEEE] 2026-6-26 | Trust and Transparency in Artificial Intelligence Chatbots in E-Commerce
[IEEE] 2026-6-26 | Digital Twin Model of a Smart Irrigation System for Water-Efficient Crop Production
[IEEE] 2026-6-26 | PharmaForge: A 3D Simulation Game for Learning Drug Compounding
[ACM] 2026-6-26 | Delay Conditioned Generative Modelling of Resistive Drift in Memristors
[IEEE] 2026-6-26 | HookSteg: A Truly Lossless Steganography Based on Process Hooking for Lossy Network Channels
[IEEE] 2026-6-26 | An Active Cooling Method for Fast Actuation of a Millimeter-Scale Shape Memory Alloy-Based Bending Joint_supp2-3694411.pdf
[IEEE] 2026-6-26 | Edge-assisted Digital Twin-integrated Architecture for Crop Recommendation in Smart Agriculture
[IEEE] 2026-6-26 | 4D Reconstruction of Fetal Left Ventricle from Echocardiography via 2.5D Radial Segmentation and Graph-Fourier Reconstruction
[IEEE] 2026-6-26 | Constraint Control strategy of Radial Active Magnetic Bearings for Maglev Flywheel Rotors: Modelling, Experiment and Prototype
[IEEE] 2026-6-26 | A Novel Lightweight Distributional Knowledge Harmonization Framework for Acoustic Emission-Based Marine Pipeline Leak Pattern Recognition
[IEEE] 2026-6-26 | Correlation study on the initiation characteristics of epoxy resin degradation under multi-harmonic composite voltages in relation to space charge distribution
[IEEE] 2026-6-26 | Buck–Boost ZVqZCS Control for DAB Converters in 7.2 kw GaN-based OBC Applications
[IEEE] 2026-6-26 | A Comparative Study of BIND, CoreDNS, and Technitium performance with respect to DoT and DoH Protocols
[IEEE] 2026-6-26 | Cross-Slice Transformer with Adaptive Slice Fusion for Lymph Node Segmentation in CT Imaging
[IEEE] 2026-6-26 | Impact of Temperature on Amplifier Circuits in 4H-SiC CMOS Technology
[IEEE] 2026-6-26 | Memristive Coupled Dual Rulkov Neuron Model with Multi-type Hyperchaotic Firings and Application to Image Encryption for IoMT
[IEEE] 2026-6-26 | LightMica: Towards Lightweight Mica Sheet Defect Detector via Discriminative Representation Distillation
[IEEE] 2026-6-26 | Towards a Semantic and Goal-Oriented O-RAN Architecture: The 6G-GOALS Approach
[IEEE] 2026-6-26 | Trajectory Planning and User Grouping for NOMA-Assisted UAV Data Collection
[IEEE] 2026-6-26 | On Algebraic Approaches for DNA Code Design with Multiple Constraints
[IEEE] 2026-6-26 | Improving Color Image Steganalysis with Dual Contrastive Learning_supp1-3707497.pdf
[IEEE] 2026-6-26 | Evaluation of Numerical Solution Methods for Equivalent Circuit Battery Models
[IEEE] 2026-6-26 | A Vision-Based Approach for Automated Cattle Tag Reading and Region Detection in Northern Thailand Using YOLO and PaddleOCR
[IEEE] 2026-6-26 | Cross-Layer AI Optimization of Signaling and Media Planes in Cloud-Based Contact Center Architectures
[IEEE] 2026-6-26 | Usage of QR Code Payment in Jordan
[IEEE] 2026-6-26 | Explainable machine learning for identifying key environmental factors causing crop stress in precision agriculture
[IEEE] 2026-6-26 | Integration of HR Analytics and Digital Marketing: Artificial Intelligence in Corporate Reputation Management
[IEEE] 2026-6-26 | Machine Learning for Behavioral Segmentation in E-Commerce: An Adaptive Fuzzy Approach
[IEEE] 2026-6-26 | Hybrid Vision Transformer and Convolutional Neural Network Architectures for Enhanced Multi-Class Classification in Gastrointestinal Endoscopy
