[2026-04-06 22:37:25] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-05
正在获取论文...
[ACM] 2026-4-6 | Learner-Customized Algorithm Visualization Using Generative AI
[IEEE] 2026-4-6 | LiveMatte: Dynamic Scene Background Restoration and Selective Portrait Patch Enhancement
[ACM] 2026-4-6 | P-GSVC: Layered Progressive 2D Gaussian Splatting for Scalable Image and Video
[ACM] 2026-4-6 | ELLMPEG: An Edge-based Agentic LLM Video Processing Tool
[IEEE] 2026-4-6 | IEEE Transactions on Industrial Informatics Information for Authors
[IEEE] 2026-4-6 | Retraction Notice: Home: IOT based home automation using NFC
[IEEE] 2026-4-6 | A Hybrid Framework for Automated Thai Invoice Digitization Integrating YOLO11 and Google Vision OCR
[IEEE] 2026-4-6 | A Study on the Content Analysis of Promotion Skincare Product Through Short Videos on Chinese Market Platforms
[IEEE] 2026-4-6 | Using Correlation Analysis to Detect Excessive Distortion in Audio-Frequency Track Circuit Signals
[IEEE] 2026-4-6 | Study of Neural Network Performance for Enhancing SDN Resilience Against Cyberattacks
[IEEE] 2026-4-6 | Machine Learning-Based Optimization of 5G Network Topology
[IEEE] 2026-4-6 | Symbolic Modeling for Multistage Parametric Amplifiers in the Frequency Domain
[IEEE] 2026-4-6 | Retraction Notice: RTIDS: A Robust Transformer-based Approach for Intrusion Detection System
[IEEE] 2026-4-6 | A System to Detect Unconscious Bias Using Virtual Patients: System Specifications
[IEEE] 2026-4-6 | A SIRA-CTMC Model for Analyzing and Predicting Cybersecurity Threats
[IEEE] 2026-4-6 | Retraction Notice: Bosom Malignant Diseases (Cancer) Identification by using Deep Learning Technique
[IEEE] 2026-4-6 | Retraction Notice: Voice Controlled Human Assistence Robot
[IEEE] 2026-4-6 | Retraction Notice: Enhanced hybrid quality prediction model for 8K UHD H.265 video using ANFIS
[IEEE] 2026-4-6 | Class E Oscillator Stabilized by a Piezoceramic Resonator
[IEEE] 2026-4-6 | Forward-Error-Correction Dynamic Network for High-Accuracy Transmission in Disturbed Multimode Fiber_supp1-3680462.pdf
[IEEE] 2026-4-6 | Retraction Notice: Spam Detection for Social Media Networks Using Machine Learning
[IEEE] 2026-4-6 | Investigating How Brain Stimulation Mitigates Motion Sickness Using Spatiotemporal Nystagmus Parameters Captured in VR
[IEEE] 2026-4-6 | Multimodal Feedback for Handheld Tool Guidance: Combining Wrist-Based Haptics with Augmented Reality
[IEEE] 2026-4-6 | Exploring Freehand Selection Techniques of Polyhedron Faces in VR Environments
[IEEE] 2026-4-6 | Calibration of the Spaceborne GNSS-R Specular Delay Tracking on Fengyun-3 Missions and Its Impact on Ocean Wind Retrieval
[IEEE] 2026-4-6 | Wireless Sensing with Movable Intelligent Surface
[IEEE] 2026-4-6 | Cross-Corpus Speech Emotion Recognition Based on Dynamically Filtering Multi-Stage Diffusion Model
[IEEE] 2026-4-6 | GNSS Multi-Frequency Joint Code Tracking Loop With Dynamic Inter-Frequency Bias Estimation and Compensation
[IEEE] 2026-4-6 | In-situ temperature-compensated puncture force sensing for brain stereotactic puncture needle using fiber Bragg grating
[IEEE] 2026-4-6 | Ultra-Wideband Angularly Stable Reflective Frequency Selective Surface for Millimeter-Wave Applications
[IEEE] 2026-4-6 | Offloading Post-Quantum Cryptography to Data Processing Units: A Performance Analysis of HQC Key Encapsulation
[IEEE] 2026-4-6 | Compound Neural Network based Nonsingular Fixed-Time SMC for Multi-Unit Distributed Permanent Magnet Arc Motor Servo Systems
[IEEE] 2026-4-6 | Stator Current Control Strategy of High-Speed Maglev Train to Simultaneously Suppress Aperiodic and Periodic Disturbances
[IEEE] 2026-4-6 | A Coordinated Control Strategy with a Variable Intermediate Bus Voltage for Efficiency Optimization in Two-Stage Buck-DAB Converters
[IEEE] 2026-4-6 | Joint Optimization of Gateway Placement, Resource Configuration, and Uplink Scheduling for LoRaWAN Bridge Health Monitoring
[IEEE] 2026-4-6 | The Shape of Emotion in Speech: A Topological Data Analysis of Speech Emotion Recognition
[IEEE] 2026-4-6 | Privacy Preserved and Explainable Deep Medical Image Analysis: A Survey
[IEEE] 2026-4-6 | LifelongPR: Lifelong Point Cloud Place Recognition Based on Sample Replay and Prompt Learning
[IEEE] 2026-4-6 | PDP-PINN: A Fourier-Augmented Physics-Informed Neural Network for Pressure Drop Prediction in CO
                    <sub>2</sub>
                    -Injected Porous Media
[ACM] 2026-4-6 | Proceedings of the 2026 10th International Conference on Artificial Intelligence, Automation and Control Technologies
[ACM] 2026-4-6 | MultiSenseVR: An open multimodal dataset for human pose estimation and perception in interactive VR
[ACM] 2026-4-6 | MARs: Multi-Scale Convolution-Attention residual Fusion for Video Summarization
[ACM] 2026-4-6 | More Pixels, Less Bandwidth: A Live Demo of VSR-Bench over WebRTC
[ACM] 2026-4-6 | Clinician Data Needs for Uncontrolled Comorbidities of Metabolic Syndrome: Insights on Assumption Testing
[ACM] 2026-4-6 | Remote Particle Trajectory Tracking using Event-Based Vision Streams
[ACM] 2026-4-6 | Camera-Ready? Exploring Transport-Layer Performance Limits with GigE Vision
[ACM] 2026-4-6 | CADENCE: A Multi-Agent CDN Steering and Experimentation Platform for Dash.js
[IEEE] 2026-4-6 | Retraction Notice: News Recommendation Systems
[IEEE] 2026-4-6 | Retraction Notice: Hash Tag-Based Sentiment Analysis Using A Deep Learning Approach
[IEEE] 2026-4-6 | A Logistic Regression Pipeline for Chiang Mai Air Quality Risk using Scaling, SMOTE, and Splines
[IEEE] 2026-4-6 | Effective English Communication for Food and Beverage Staff to Achieve Guest Satisfaction
[IEEE] 2026-4-6 | Enhancing Research Administration Services in Universities: Research Grant Disbursement Online Tracking System
[IEEE] 2026-4-6 | Ethical AIGC Pipelines for Film and Animation Production
[IEEE] 2026-4-6 | Evolutionary Algorithm for Determining the Data Transmission Route Between Sensor Nodes
[IEEE] 2026-4-6 | The Improved Models for Calculation of Human Body SAR in the Case of Sitting Position
[IEEE] 2026-4-6 | Retraction Notice: A collaborative filtering proposal in view of client conduct and client profile on online interpersonal organization
[IEEE] 2026-4-6 | Cebuano Speech Tutor Using Hybrid TDNN-HMM Phoneme and Prosodic Feature Recognition
[IEEE] 2026-4-6 | Blind Radio Map Construction via Topology Guided Manifold Learning_supp1-3680610.pdf
[IEEE] 2026-4-6 | Photonic Structuration of the Airy-Bessel Beam for High-Performance Fiber-Optic Refractive Index Sensing
[IEEE] 2026-4-6 | Lightweight Edge Intelligence: Adapting 1.5B LLM via LoRA for Log Analysis in Campus Networks
[IEEE] 2026-4-6 | Compact Silicon-Photonics Waveguide- Confined Receiving and Transmitting Antenna with Signal Remodulation for Indoor Optical Wireless Communication
[IEEE] 2026-4-6 | Modality-Mix Learning: Promoting Multimodal Learning Through Multilabel Objective_supp1-3677806.pdf
[IEEE] 2026-4-6 | Joint Optimization in Pinching-Antenna-Assisted NOMA-MEC Systems via DRL
[IEEE] 2026-4-6 | Design of a Low-Profile Wideband Horizontally Polarized Omnidirectional-like Loop Antenna with Characteristic Mode Analysis
[IEEE] 2026-4-6 | A DQN-Guided Genetic Algorithm With Local Intensification for Agile Earth Observation Satellite Scheduling
[IEEE] 2026-4-6 | Front Cover
[IEEE] 2026-4-6 | CVLS-ST: A Cross-View Long-Short Framework for Traffic Risk Prediction in Intelligent Urban Transportation Systems
[IEEE] 2026-4-6 | iSeg: An Iterative Refinement-based Framework for Training-free Segmentation
[IEEE] 2026-4-6 | MaliVD: Source Code Vulnerability Localization
                    <i>via</i>
                    Attention-Based Multi-Modal Learning
[IEEE] 2026-4-6 | Retraction Notice: IoT System Accomplishment using BlockChain in Validating and Data Security with Cloud
[IEEE] 2026-4-6 | Retraction Notice: An IoT-Cloud Based Health Monitoring Wearable Device For Covid Patients
[ACM] 2026-4-6 | NILO: Nested Iterative Optimization for Video Bitrate Ladder Construction
[ACM] 2026-4-6 | A
                    <scp>tom</scp>
                    : Efficient On-Device Video-Language Pipelines Through Modular Reuse
[IEEE] 2026-4-6 | Retraction Notice: Spatio Temporal Feature-based Weapon and Violence Detection from Video Surveillance using Deep Learning
[IEEE] 2026-4-6 | Retraction Notice: An IoT Based Electromyography Signal Transmission from sEMG Electrodes to Client's Server with ICT Infrastructure
[IEEE] 2026-4-6 | Hybrid Anomaly-Based Intrusion Detection System for SDN-Enabled IoT Networks
[IEEE] 2026-4-6 | Enhancement of User Query Processing in Distributed Databases
[IEEE] 2026-4-6 | A Canvas Framework for Participatory Design of Cultural Products Using Generative AI
[IEEE] 2026-4-6 | Method of Preventing Human Operator Errors Using Technology for Identifying Possible Problem Situations during Operation of ERP Systems
[IEEE] 2026-4-6 | Retraction Notice: Nature Inspired Meta-heuristic Optimization Algorithms Capitalized
[IEEE] 2026-4-6 | Retraction Notice: To Discovery The Cloud Services Authentication An Expert Based System Using Multi-Factor Authentication
[IEEE] 2026-4-6 | Retraction Notice: An Efficient Approach for Secured Data Aggregation Against Security Attacks in WSN
[IEEE] 2026-4-6 | Retraction Notice: MAGRISYS: A SMART AND UBIQUITOUS CONTROLLED – ENVIRONMENT AGRICULTURE SYSTEM
[IEEE] 2026-4-6 | Retraction Notice: Monitoring System In Industry Using IoT
[IEEE] 2026-4-6 | Reviewer List
[IEEE] 2026-4-6 | Wearable Antenna Design for Medical WBAN Applications Supporting Next-Generation Wireless Systems (5G/6G)
[IEEE] 2026-4-6 | Retraction Notice: Smart Access Control System For Covid Safety Smart Access Control System during Covid
[IEEE] 2026-4-6 | Joint Degradation-Aware Arbitrary-Scale Super-Resolution for Variable-Rate Extreme Image Compression
[IEEE] 2026-4-6 | IPM-Net: An Interpretable Partial-level Matching Network for Few-shot Fine-grained Classification in Optical Remote Sensing Images
[IEEE] 2026-4-6 | Embedded Vibration Monitoring and Robust Closed-Loop Current Demodulation Using an Eight-State Square-Wave Scheme in Spun QWP-Based Reflective FOCS
[IEEE] 2026-4-6 | DPMVectorNet: End-to-End Ship Detection, Heading, and Velocity Estimation via Dual-Point Motion Vectors in Satellite Imagery
[IEEE] 2026-4-6 | FedSecureFormer: A Fast, Federated and Secure Transformer Framework for Lightweight Intrusion Detection in Connected and Autonomous Vehicles
[IEEE] 2026-4-6 | High Input Impedance Chopper-stabilized Analog Front-end Based on Variable-capacitor Calibration for Bio-consumer Electronics
[IEEE] 2026-4-6 | Zero-Shot Low-Light Enhancement via Coupled Retinex-Scattering Frequency Flows
[IEEE] 2026-4-6 | GOF-Based DMI Integrated Solution to Seamless Navigation for Autonomous Vehicles During GNSS Outages
[IEEE] 2026-4-6 | AdaSch: Load-Adaptive Scheduling for Accelerating Real-Time Edge Video Analysis With Diverse Inference Modes
[ACM] 2026-4-6 | Validation of a High-Sensitivity Identification Algorithm for Cerebral Hemorrhage Cases Using Machine Learning Models in MID-NET
                    <sup>®</sup>
[IEEE] 2026-4-6 | Design of a Physics-Informed Neural Network for PCF-Based Multi-Analyte Biosensors
[IEEE] 2026-4-6 | Reduced On-Resistance and Jitter of GaAs PCSS with Low Optical Energy in Quasi-Linear Mode
[IEEE] 2026-4-6 | CarbonWise CX: An Agentic AI Framework for Carbon-Aware Customer Support Analytics Using RAG and LLM-Based Code Generation
[IEEE] 2026-4-6 | Recent Advancements in Course Recommendation Systems in the Era of Large Language Models (2022–2025)
[IEEE] 2026-4-6 | <i>FlockCounter:</i>
                    Automated Counting for Large-Scale Bird Flocks
[IEEE] 2026-4-6 | Dual-Attention Weighting for Multi-Agent Collaborative Perception
[IEEE] 2026-4-6 | Evolutionary Stackelberg Routing for Social Cost Reduction in Traffic Networks
[IEEE] 2026-4-6 | EAP-LSTM: A Bi-LSTM-based Deep Learning Framework for Quantitatively Predicting Enhancer Activity in Drosophila and Human Cell Lines_supp1-3620986.pdf
[IEEE] 2026-4-6 | IEEE Computational Intelligence Society
[IEEE] 2026-4-6 | AquaFed: Ascending Quantized Federated Learning on Heterogeneous Devices
[IEEE] 2026-4-6 | IEEE Journal of Biomedical and Health Informatics Information for Authors
[ACM] 2026-4-6 | Cross-Locomotion Task Generalization in sEMG-Based Gait Phase Prediction Using Artificial Neural Networks
[ACM] 2026-4-6 | Reconstruct Then Match: An End-to-End Generative Match Framework for Efficient Semantic Relation Understanding
[ACM] 2026-4-6 | Study on MPC Control Strategy of Autonomous Driving Semi-trailer Truck Fleet
[ACM] 2026-4-6 | Unified Compression of Point Cloud Geometry and Attributes through Variable-Rate Conditioning
[ACM] 2026-4-6 | Passing on Passwords
[IEEE] 2026-4-6 | Development of a Smart Warehouse Logistics Virtual Reality (VR) Simulator for Experiential Learning in Logistics Education
[IEEE] 2026-4-6 | SqueezeNet-Based Extraction of Compact Feature Vectors from Inspection Video Streams
[IEEE] 2026-4-6 | RectLU: A Novel Activation Function Based on a Rectangle
[IEEE] 2026-4-6 | Unraveling the Degradation Mechanisms of AlGaN-Based UVC-LEDs: A Comprehensive Analysis
[IEEE] 2026-4-6 | 2026 IEEE 18th International Conference on Advanced Trends in Radioelectronics, Telecommunications and Computer Engineering (TCSET)
[IEEE] 2026-4-6 | Phased UAV Swarm Mission Reliability Assessment Considering Cascading Failures
[IEEE] 2026-4-6 | Retraction Notice: An Effective and Efficient Heart Disease Prediction Model Using Distributed High Performance Light GBM
[IEEE] 2026-4-6 | Retraction Notice: Enhanced DDOS Attack Detection Algorithm to Increase Network Lifetime in Cloud Environment
[IEEE] 2026-4-6 | Recall-First Temporal Routing for Low-Base-Rate IDS: Debuggable Unified Preprocessing and Low-Base FPR Evaluation Protocol
[IEEE] 2026-4-6 | Port-Hamiltonian Modeling and Control Design for Single-Phase Pwm Rectifiers
[IEEE] 2026-4-6 | Assessing Image Similarity with Color Histograms to Reveal Security-Related Distortions
[IEEE] 2026-4-6 | Mapping Digital Public Opinion on Prabowo Subianto's Un Speech: a Computational Analysis of Sentiment and Political Discourse
[IEEE] 2026-4-6 | Enhancing Security of QUIC Protocol and IoT
[IEEE] 2026-4-6 | The Ga-Scso Algorithm Approach for Breast Cancer Classification
[IEEE] 2026-4-6 | Retraction Notice: Artifact Removal using Elliptic Filter and Classification using 1D-CNN for EEG signals
[IEEE] 2026-4-6 | Adaptable Variational Information Bottleneck for Task-Oriented Edge Inference
[IEEE] 2026-4-6 | A Survey on Interaction-Aware Decision-Making for Autonomous Driving: Challenges, Solutions, and Perspectives
[IEEE] 2026-4-6 | Deploying Large AI Models on Resource-Limited Devices With Split Federated Learning
[IEEE] 2026-4-6 | High-Sensitivity Dual-CSRR-Loaded SIW Sensor for Solid and Liquid Material Characterization at X-Band
[IEEE] 2026-4-6 | Modeling of Coupled Input-Force-Displacement Hysteresis in Pneumatic Artificial Muscles
[IEEE] 2026-4-6 | Design and Experiments of Magnetic-Driven Drug Delivery Capsule Robot based on Magnetic Spring Mechanism
[IEEE] 2026-4-6 | A Lightweight RAW Video Denoiser with Coarse Alignment and Imbalanced Noise Pre-training
[IEEE] 2026-4-6 | Endogenous Interface Pricing for Consistent Transmission–Distribution Co-Optimization with Discrete Distribution Controls
[IEEE] 2026-4-6 | GHz Rate, Watt-Level Femtosecond All-Fiber MOPA System based on Optoacoustically Mode-locked Soliton Fiber Laser with Apodization Filtering
[IEEE] 2026-4-6 | High-temperature performance of all-diamond solar-blind UV photodetector with BDD electrodes
[IEEE] 2026-4-6 | Fine Imaging Method of THz-ViSAR on Sub-aperture Range Migration Algorithm and Distinctive-point Map Drift Algorithm
[IEEE] 2026-4-6 | Retraction Notice: Enhancing Deaf Driver Safety: An IOT-Based Vehicle Sensing System
[ACM] 2026-4-6 | Explainable Multi-Stage Self-Supervised Learning Framework for Intelligent Fault Diagnosis
[ACM] 2026-4-6 | VSR-Bench: An Open-Source Platform for Browser-Native Real-Time VSR Evaluation in WebRTC
[IEEE] 2026-4-6 | Doppler-Domain Warping and Resampling for Semi-Static Human Occupancy Detection Using Low-Resolution SIMO FMCW Radar
[IEEE] 2026-4-6 | Surveillance Data Processing in a Multi-Radar Localization System
[IEEE] 2026-4-6 | Exploring Tourist Behavior and Usability Improvement for Smart Tourism in Secondary Cities: A Case Study of Lamphun Province
[IEEE] 2026-4-6 | Enhancing Recruitment Efficiency through a Performance-Driven AI Agent Workflow for Automated Resume Screening
[IEEE] 2026-4-6 | Retraction Notice: Sensors Systems for Traffic Congestion Reduction Methodologies
[IEEE] 2026-4-6 | Retraction Notice: Solar Powered Automatic Irrigation Monitoring System
[IEEE] 2026-4-6 | Retraction Notice: An Effecient Model for Plant Disease Identification
[IEEE] 2026-4-6 | Towards Robot Skill Learning and Adaptation with Gaussian Processes
[IEEE] 2026-4-6 | Collaborative SOH Estimation for Lithium-ion Batteries by Integrating both Charging and Discharging Profiles
[IEEE] 2026-4-6 | Slice-and-Align for Clothes-Irrelevant Features: A Clothes-Changing Person Re-Identification Approach Without Additional Input
[IEEE] 2026-4-6 | Honest Teacher Knowledge Distillation: A Framework for Uncertainty-Aware Model Compression Using Gaussian Processes
[IEEE] 2026-4-6 | A Robust Model Predictive Current Control Using Cascaded Structure of Noise-Resilient Augmented Observer with Adaptive Data-Driven Iterative Harmonic Identification for PMSM Drives
[IEEE] 2026-4-6 | Misconception-Aware Prompting Can Generate Authentic Analytical Multiple-Choice Questions
[IEEE] 2026-4-6 | A two-stage method for aircraft engine fault detection based on change point
[IEEE] 2026-4-6 | Fault Analysis and Pilot Protection Scheme for Various Single-Phase Line Breaks in Resonant Grounding Systems
[IEEE] 2026-4-6 | Balancing Accuracy-Latency Tradeoff in Hybrid Approximate-Delayed Computing Systems
[IEEE] 2026-4-6 | Two Phase Multi-Task Learning for Cybersickness Prediction and Adaptive Reduction
[IEEE] 2026-4-6 | Sensitivity at the Edges of the Finger Enables Mixed Reality Force Feedback
[IEEE] 2026-4-6 | Monitoring the Long-term VIIRS Calibration Performance at the NIR and SWIR Bands for Ocean Color Remote Sensing
[IEEE] 2026-4-6 | Hardware implementation of configurable chromatic dispersion model for real-time optical fiber communication simulation systems
[IEEE] 2026-4-6 | Ultra-High Sensitivity Fiber Optic Microphone Based on Geometry-Induced Mechanical Compliance
[IEEE] 2026-4-6 | Sliding Finite Window Codes: Near-Optimality and Q-Learning for Zero-Delay Coding
[IEEE] 2026-4-6 | Table of Contents
[IEEE] 2026-4-6 | Retraction Notice: Automatic Detecftion of White Blood Cancer From Blood Cells Using Novel Machine Lerning Techniques
[IEEE] 2026-4-6 | Patient-Specific In-vivo Dynamic Motion of Ascending Thoracic Aortic Aneurysms from Cine CTA
[IEEE] 2026-4-6 | Regulatory Contextual Integrity: Adaptively Regulating Privacy as Contextual Integrity
[IEEE] 2026-4-6 | Unsupervised False-Alarm-Controllable Change Detection in Heterogeneous Remote Sensing Images Based on Copula Theory
[IEEE] 2026-4-6 | Call for Special Issues/Sections
[IEEE] 2026-4-6 | Automated Human Activity Recognition Using Multiple Contactless Ultra-Wideband Radar Signals and Time–Frequency Representations
[IEEE] 2026-4-6 | QIMarker: Can Watermark Embedding Improve Image Quality?
[IEEE] 2026-4-6 | Drift-Resilient Hybrid Feature Learning Framework for Accurate Mixed Industrial Gas Classification Using Chemical Sensor Arrays
[ACM] 2026-4-6 | Quizzing: Exploring the comprehensive benefits of quizzing in college classrooms
[IEEE] 2026-4-6 | Interactive Force-Impedance Control
[IEEE] 2026-4-6 | An Open-Source, Reproducible Tensegrity Robot that can Navigate Among Obstacles
[IEEE] 2026-4-6 | Model-predictive Vibration Reduction of a Suspended Cable-Driven Parallel Robot
[IEEE] 2026-4-6 | A Kind of Flexible Forceps With High Clamping Force and Large Opening Angle for Endoscopic Surgery
[IEEE] 2026-4-6 | A Pneumatically Actuated Robotic Assistant for MRI-Guided Stereotactic Neurosurgery
[IEEE] 2026-4-6 | A promising movement-based prosthesis control tested on valid and arm-amputated participants using first-person teleoperation of humanoid robot Reachy
[IEEE] 2026-4-6 | Two-axis transparent force plate for droplet collision measurement using high speed line-scan camera and sampling moiré method
[IEEE] 2026-4-6 | A Generic Construction of
                    <i>q</i>
                    -ary Near-MDS Codes Supporting 2-Designs with Lengths Beyond
                    <i>q</i>
                    + 1
[IEEE] 2026-4-6 | Physics-Guided Multistage Segmentation for Structural Characterization of TRISO Fuel Particles in X-ray CT Imaging
[IEEE] 2026-4-6 | Descriptor: Solar and Kinetic Energy Harvesting Dataset for Human Activity Recognition (SKEH-HAR)
[IEEE] 2026-4-6 | Signal Processing Techniques for Enhanced Performance of FMCW Radar Altimeter
[IEEE] 2026-4-6 | Retraction Notice: Lifetime Enhancement Using Sleep Switch Over In Wireless Sensor Networks
[IEEE] 2026-4-6 | Tag-Along Virtual Windows Increase Perceived Resistance and Task Load in Augmented Reality
[IEEE] 2026-4-6 | Use Case Matters: Comparing the User Experience and Task Performance across Tasks for Embodied Interaction in VR_supp1-3680577.pdf
[IEEE] 2026-4-6 | Selection of Suitable Battery Technologies for Electric Vehicles Using Entropy Weight and EDAS Methods
[IEEE] 2026-4-6 | Using ADDIE Model to Develop Digital Educational Game for Teaching Permutation Concept
[IEEE] 2026-4-6 | Retraction Notice: Energy Optimized Node Level Trust Based Data Transaction in Wireless Sensor Network
[IEEE] 2026-4-6 | Retraction Notice: Implementation of Image Enhancement and Image Segmentation In Disease Diagnosis (Lung Cancer)
[IEEE] 2026-4-6 | X-PDResNet: An Explainable Residual Neural Network for Discrimination of Partial Discharge Defects in High Voltage Apparatus
[IEEE] 2026-4-6 | Reading Between the Signals: A Comprehensive Tutorial on Harnessing Physical Side-Channels for Anomaly Detection
[IEEE] 2026-4-6 | Quality of Service Enhancement and Security Assurance in Internet of Things Networks: A Survey and Integrated Blockchain Sidechain Architecture
[IEEE] 2026-4-6 | DS²AF: An Iterative Detection to Spectral Similarity-Guided Augmentation Framework for Few-Shot Hyperspectral Image Classification
[IEEE] 2026-4-6 | Geographic and Statistical Analysis of EESS-Passive Satellite Overpasses for Spectrum Coexistence
[IEEE] 2026-4-6 | IEEE Transactions on Neural Networks and Learning Systems Information for Authors
[IEEE] 2026-4-6 | Graph-Based Representation Learning with Beta Uncertainty for Enhanced Multimodal Emotion Recognition_supp1-3678321.pdf
[IEEE] 2026-4-6 | Evolutionary Hyper-Transformation for Multi-AAV Path Planning to Visit Moving Targets_supp1-3678144.pdf
[IEEE] 2026-4-6 | Feature Optimization Approach Arcface-Based Surveillance Face Recognition
[IEEE] 2026-4-6 | Applying the ADDIE Model to Develop a Phygital Pretend Play Learning Kit for Enhancing Wellbeing in Early Childhood Education Through Playful Learning
[IEEE] 2026-4-6 | Application of Convolutional Neural Networks for Enhancing Gemstone Classification Performance
[IEEE] 2026-4-6 | Classifying Burmese (Myanmar) Medical Reviews Using Synthetic Data Approach
[IEEE] 2026-4-6 | TCSET 2026 Cover Page
[IEEE] 2026-4-6 | Reliability in Industry-Academia Assessment: A Framework for Validating Competencies in IT Education
[ACM] 2026-4-6 | Fidelity as Forgetting: Rethinking Reconstruction in Neural Volumetric Media
[IEEE] 2026-4-6 | Automated UAV Controller Synthesis via LLM-Generated Control Logic and Particle Swarm Optimization
[IEEE] 2026-4-6 | Cap4Bridge: Caption-Guided Cross-Modal Contextualization with Stochastic Augmentation for Text-Video Retrieval
[IEEE] 2026-4-6 | Long-Tailed Skeleton-Based Action Recognition via Realistic Mixing and Class-Aware Sampling
[IEEE] 2026-4-6 | IEEE Industrial Electronics Society Publication Information
[IEEE] 2026-4-6 | S$^{3}$aDPWo: Spatial-, Semantic-, and Shape-Aware Diffusion Policy Towards Autonomous Wound Repair
[IEEE] 2026-4-6 | Marking Underwater Infrastructure: A Crab-Like Robot for Traversing Pipes
[IEEE] 2026-4-6 | Flapping Hydrofoil Propulsion for Unmanned Surface Vehicles: Design and Experimental Evaluation
[IEEE] 2026-4-6 | IDC-Integrated SRR-based Printed Differential Microwave Sensor on Biodegradable Substrate for High Sensitivity Material Sensing
[IEEE] 2026-4-6 | Successful Diversity Is Not What You Think: How to Build a Great Start-Up Team
[IEEE] 2026-4-6 | A Review of Neural Networks in Precipitation Prediction
[IEEE] 2026-4-6 | Synthetic AI-Based Ultrasound Images of Breast Cancer on Small Datasets
[IEEE] 2026-4-6 | A Pilot Study on the Feasibility and Preliminary Efficacy of a Virtual Reality System for Stress Reduction
[IEEE] 2026-4-6 | To be Healed or Hacked? - User-Centered Ethical Design for Embodied AI in Mental Health Care_supp1-3680608.mp4
[IEEE] 2026-4-6 | Retraction Notice: Automatic Breast Tumor Cancer Diagnosis Based on a Hybrid Densenet
[IEEE] 2026-4-6 | Title Page
[IEEE] 2026-4-6 | Retraction Notice: Comprehensive solution of Scheduling and Balancing Load in Cloud - A Review
[IEEE] 2026-4-6 | Retraction Notice: Prediction of Juvenile Delinquencies in Correlation with Education
[IEEE] 2026-4-6 | Hybrid Dynamic-Statistical Algorithm for Optimizing CMOS-Type System Configuration
[IEEE] 2026-4-6 | Neural Network Image Quality Enhancement Using Multiscaling, Attention, and Residuals
[IEEE] 2026-4-6 | IEEE Standard for Wearable, Cuffless Blood Pressure Measuring Devices
[IEEE] 2026-4-6 | Retraction Notice: Vegetable Disease Detection Using K-Means Clustering And Svm
[IEEE] 2026-4-6 | Retraction Notice: IOT Based Health Tracking Shoe For Elderly People Using Gait Monitoring System
[IEEE] 2026-4-6 | CDSSL: A Self-Supervised Learning Framework for Cross-Domain Remote Sensing Image Segmentation
[IEEE] 2026-4-6 | A PPO-GAN-Enabled Moving Target Defense for Cyber-Resilient and Cost-Aware Power System Scheduling
