[2026-07-29 22:59:31] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-28
正在获取论文...
[arXiv] 2026-07-28 | OmniQEC: discovering practical quantum error-correcting codes by an AI scientist
[arXiv] 2026-07-28 | Detecting quantum phase transitions via shallow variational quantum circuits
[arXiv] 2026-07-28 | An Interaction Sensitivity Framework in Perturbation Space for the Converter-Driven Stability of Power Systems
[arXiv] 2026-07-28 | $\mathrm{SL}(2,\mathbb{Z})$ Theta Subgroup Structure of Maxwell theory in the Lattice Villain Hamiltonian Formulation
[arXiv] 2026-07-28 | Belief-Aware Influence and Trust (BAIT): Shaping Human Belief During Repeated Human-Robot Interaction
[arXiv] 2026-07-28 | Passive wearable physiology tracks a state-level material-hardship gradient in resting heart rate
[arXiv] 2026-07-28 | Hybrid Analysis for Secure MCP Tool Use in LLM Agents
[arXiv] 2026-07-28 | Instruction-Tuned Language Models Cannot Sample from Distributions They Can Describe
[arXiv] 2026-07-28 | When Does Deep Representation Learning Help Single-Cell Clustering? A Sensitivity-Aware Diagnostic Benchmark for Biomedical AI Pipelines
[arXiv] 2026-07-28 | Self-Supervised Audio Representation Learning for Pediatric Asthma Detection in Emergency Care Using Digital Stethoscope Recordings
[arXiv] 2026-07-28 | ContractHIL-HLS: Contract-Aligned Multi-Agent Workflow with Hardware-in-the-Loop Feedback for HLS Design
[arXiv] 2026-07-28 | Proper Hat-Guessing on Two-Spine Book Graphs
[arXiv] 2026-07-28 | HeAD-CP: Heterophily-Aware Diffused Conformal Prediction Sets for Graph Neural Networks
[arXiv] 2026-07-28 | Robust Hedging Valuation Adjustment for Deep Hedging Policies under Market Frictions
[arXiv] 2026-07-28 | The User Asks, Platforms Compete: How Agentic Recommendation Markets Take Shape
[arXiv] 2026-07-28 | Proximal Gradient Methods for Unconstrained Set Optimization Problems with Set-Valued Maps of Finite Cardinality
[arXiv] 2026-07-28 | Prediction of experimental excited-state absorption spectra by using vibronic transition calculations: Its practical application to a π-conjugated molecule
[arXiv] 2026-07-28 | Structured High-Angular-Momentum Coulomb Tensors from Real and Complex Solid-Harmonic Integral Engines: A Perspective
[arXiv] 2026-07-28 | From Compressing Complexity to Accommodating Complexity: How AI Transforms Standardization and Individualization
[arXiv] 2026-07-28 | Optimization of the directed spanning trees using the weighted matroid intersection algorithm
[arXiv] 2026-07-28 | Diagonal cycles on Shtukas and the adjoint $L$-function
[arXiv] 2026-07-28 | Beyond Single-Episode Optimization: Sliding-Window Aware Generative Auto-Bidding for Long-Term Advertising Effectiveness
[arXiv] 2026-07-28 | Neurai-VN Benchmark: Standardized Machine Learning Models for Multimodal Digital Phenotyping in Mental Health Classification
[arXiv] 2026-07-28 | Isolating Scheme Dependence of Quasi-PDFs in the RI/MOM Scheme
[arXiv] 2026-07-28 | Interpretable Column Annotation with LLM-Symbolized Decision Process Materialization
[arXiv] 2026-07-28 | Preprints Without Curation Are Increasingly Cited by Journals
[arXiv] 2026-07-28 | Leveraging Semantic Maps for City-Scale Cross-View Localization
[arXiv] 2026-07-28 | Everything is a Spin: The Secret Lives of SU(2)
[arXiv] 2026-07-28 | VaLiDRec: Variable-Length LLM-Aligned Semantic IDs for Generative Recommendation
[arXiv] 2026-07-28 | Monodromy, Hidden Conformal Symmetry and Soft Hair in Kerr-MOG Black Hole
[arXiv] 2026-07-28 | Lloyd's $K$-Means Clustering Algorithm Is Frank-Wolfe in Disguise
[arXiv] 2026-07-28 | Heavy Jet Mass in Hadronic Higgs Decays
[arXiv] 2026-07-28 | TabRank: Chain-of-Thought Distillation for Table Re-Rankers
[arXiv] 2026-07-28 | Bekko Embedding: Parameter-Efficient Multilingual Retrieval with Ultra-Compact Encoders
[arXiv] 2026-07-28 | OrganLens: Organ-Specific Representation Learning for CT Foundation Models
[arXiv] 2026-07-28 | On the Irreducibility of the Differential Operators Associated to Random Walks in the Standard Euclidean Lattice
[arXiv] 2026-07-28 | Statistical structure of canonical kinetic equilibrium with sheared flow
[arXiv] 2026-07-28 | Synergistic Role of Electron and Photon Dose in Stepwise Laser-Induced Complete Deoxygenation of Graphene Oxide Revealed by In-situ TEM
[arXiv] 2026-07-28 | Multi-Dimensional Entropy for Vibration Measurement Data Quality Assessment and Erroneous Signal Identification in Wind Turbines
[arXiv] 2026-07-28 | Perspective Central Triangles Formed from a Triangle and a Transversal
[arXiv] 2026-07-28 | Optimization with Dynamic Constraint Learning (DCL)
[arXiv] 2026-07-28 | Counterfactual Quantum Sensing: What Interaction-Free Measurement Can and Cannot Buy
[arXiv] 2026-07-28 | Tracing Obscured AGN Contribution and Number Fraction Across 0 < z < 6 with JWST
[arXiv] 2026-07-28 | Combinatorial Yamabe flow on infinitely triangulated hyperbolic surfaces
[arXiv] 2026-07-28 | First-Principles Wannier Representation of Proximity Effects
[arXiv] 2026-07-28 | Antichiral hinge states in a higher-order photonic nodal ring semimetal
[arXiv] 2026-07-28 | From Deterministic to Generative Deep Learning for Urban Air Quality Reconstruction from Sparse Observations
[arXiv] 2026-07-28 | Mimicking diffusion processes with differential equations
[arXiv] 2026-07-28 | On t-colorable k-plane drawings
[arXiv] 2026-07-28 | Rashomon Alignment
[arXiv] 2026-07-28 | Open-ended innovation in zero-sum games
[arXiv] 2026-07-28 | Relative hybridization textures as local coordinates for band geometry and topology
[arXiv] 2026-07-28 | Bilinear Koopman-Based Robust Model Predictive Control for Unknown Nonlinear Systems via Contraction Metrics
[arXiv] 2026-07-28 | OrchBench: Evaluating Multi-Agent Orchestration Plans in Isolation via Deterministic Simulation
[arXiv] 2026-07-28 | Instruction-based Image Editing: A Survey on Data, Models, Evaluation, and Applications
[arXiv] 2026-07-28 | OmniPhys: Knowledge-Graph-Driven Benchmarking and Collective Optimization for Physical Commonsense in Text-to-Image Generation
[arXiv] 2026-07-28 | Coherent control of subradiant excitations in atomic rings
[arXiv] 2026-07-28 | A Lusin theorem for nonlocal gradients
[arXiv] 2026-07-28 | Omnibus Goodness-of-Fit Testing for Distributions on Stiefel Manifolds
[arXiv] 2026-07-28 | Stealthy point processes and lattice induction
[arXiv] 2026-07-28 | Large Language Model for Operations Research Formulation Selection in Multi-Warehouse Inventory Allocation
[arXiv] 2026-07-28 | Length-Constrained Network Design in Planar Digraphs
[arXiv] 2026-07-28 | Gromov-Hausdorff Limits of Noncollapsed Kähler-Ricci Flows and the Geometry of Ricci Shrinkers
[arXiv] 2026-07-28 | QuickGWecc: Fast Bayesian pipeline for searching eccentric binaries in pulsar timing array data
[arXiv] 2026-07-28 | Recent progress in graph theory using expansion
[arXiv] 2026-07-28 | Photonuclear Neutron Production in OpenMC: Verification Against MCNPX, FLUKA, and a First-Collision Analytical Solution
[arXiv] 2026-07-28 | Iterate Wronskians over $\mathbb{R}^d$ as $N$-ary brackets on $\mathbb{R}[x^1,\ldots,x^d]$: the $N$-bonacci numbers bound the highest total degrees
[arXiv] 2026-07-28 | Path integral approach to the truncated Wigner approximation of driven-dissipative spins
[arXiv] 2026-07-28 | Testing Microbiome Community Differences in High Dimensions: A Bootstrap Approach for Compositional Data
[arXiv] 2026-07-28 | Probing Lepton-Flavor-Violating Four-Lepton Operators at a Muon Collider
[arXiv] 2026-07-28 | UniMem: Complementary Episodic-to-Parametric Memory for Boundary-Agnostic Task Streams
[arXiv] 2026-07-28 | Instruction-Tuned Models Locally Reuse Human Syntax More Than Humans Do
[arXiv] 2026-07-28 | MAC-Gyver: Open, Programmable, Scheduling for AI-RAN 6G Systems
[arXiv] 2026-07-28 | RepoReasoner: Evaluating Repository-Level Code Reasoning Ability of Long-Context Language Models
[arXiv] 2026-07-28 | Carrier ideals, tail obstructions, and remainder traces for ladder-system spaces
[arXiv] 2026-07-28 | E-MagDiP: Electro-Magnetic based Differential Privacy for EEG based Community Sensing
[arXiv] 2026-07-28 | An Investigation into the Effect of Mobile Ions on the Steady State Performance of Perovskite Solar Cells
[arXiv] 2026-07-28 | Orbital Motion and History of Sungrazing Comet C/2026 A1 (MAPS)
[arXiv] 2026-07-28 | Probing the limits on anomalous quartic gauge couplings via $ZZγ$ production in the $\ell\ellννγ$ channel at FCC-hh
[arXiv] 2026-07-28 | Solution of Erdős problem $\# 443$
[arXiv] 2026-07-28 | Constructing two completely independent spanning trees in the dual-cube
[arXiv] 2026-07-28 | A systematic assessment of the short-term X-ray behaviour of the $γ$ Cas analogues
[arXiv] 2026-07-28 | AnnoBench: A Benchmark for Visualization Annotation Generation
[arXiv] 2026-07-28 | $d$-Translated Unit Sensitive Primes
[arXiv] 2026-07-28 | Intersection Cohomology of Igusa Stacks
[arXiv] 2026-07-28 | CONQuER: Hardware-Aware Mixed-Precision Quantisation with Online-Calibrated Surrogates
[arXiv] 2026-07-28 | Data Assimilation for Chemical Reaction Networks and Population Models via a Tunable Observer
[arXiv] 2026-07-28 | Observation of the electroweak production of $γγjj$ at $\sqrt{s}=13$ TeV in $140\ \text{fb}^{-1}$ of $pp$ collision data with the ATLAS detector
[arXiv] 2026-07-28 | Reinformed Dreamer: An Asymmetric World Model Efficiently Trained through Latent Guidance
[arXiv] 2026-07-28 | Equi-Entropic Maps for Four-Partite Quantum States
[arXiv] 2026-07-28 | Toward 3D orbits of wide sdO/B binaries I. Six composite systems spatially resolved with VLTI/GRAVITY
[arXiv] 2026-07-28 | A Unifying Framework for Quasi-Polynomial Optimization of Fixed-degree Polynomials
[arXiv] 2026-07-28 | On the Vanishing of the Brauer-Manin Obstruction for Normic Bundles
[arXiv] 2026-07-28 | Random Trees in Hyperbolic FPP
[arXiv] 2026-07-28 | Room-Mediated Co-occurrence for Zero-Shot Object-Centric Semantic Navigation via Frontier Scoring
[arXiv] 2026-07-28 | The coupling flow for supergravity
[arXiv] 2026-07-28 | Sharpness-Aware Minimization and Muon: Robustness under the Spectral Norm
[arXiv] 2026-07-28 | Long-wave instability of periodic shear flows with constant magnetic field for the 2D resistive MHD equations
[arXiv] 2026-07-28 | On the magnitude, sign and ranking of recanting-twin path-specific effects
[arXiv] 2026-07-28 | Landau Levels on the Surface of a Cube
[arXiv] 2026-07-28 | Pictura: Perspective-View Self-Play at Scale for Driving
[arXiv] 2026-07-28 | Convex sets with vanishing relative width and the reverse Cheeger inequality
[arXiv] 2026-07-28 | On the $2$-Bend Slope Number of $1$-Planar Graphs
[arXiv] 2026-07-28 | Integrated Framework for Long-term Elective Surgery Management under Uncertainty: From Strategic to Tactical Planning
[arXiv] 2026-07-28 | Disconnectivity in Multistationarity Regions of Cascade of Goldbeter--Koshland Loops
[arXiv] 2026-07-28 | Form factors of the $ρ$-meson in chiral perturbation theory
[arXiv] 2026-07-28 | PILA: Plug-and-Play Insertion for LLM-native Advertising
[arXiv] 2026-07-28 | Extending Biconnected Straight-Line Planar Drawings
[arXiv] 2026-07-28 | Topological Classification of Non-Normalizable Vector Fields
[arXiv] 2026-07-28 | Specula: Scaling formal specifications for autonomous model checking of system code
[arXiv] 2026-07-28 | On certain $D(9)$ and $D(64)$ Diophantine triples
[arXiv] 2026-07-28 | Blowup of Multi-Peaked Waveforms in the Two-Dimensional Nonlinear Schroedinger Model
[arXiv] 2026-07-28 | Rician Distribution as a Physically Interpretable Model for Wind-Speed Statistics
[arXiv] 2026-07-28 | Roadside units placement for total travel time minimization in I2X-enabled road networks based on a dynamic traffic flow model
[arXiv] 2026-07-28 | A Numerical Investigation of the Rayleigh-Faber-Krahn Inequality for Polyhedral Domains
[arXiv] 2026-07-28 | Multi-Solver Coupling for Parallel Adaptive Multi-Physics Simulations with Trixi$.$jl and deal$.$II
[arXiv] 2026-07-28 | Collaborative System Failure Prognostics via Federated Longitudinal-Survival Modeling
[arXiv] 2026-07-28 | Tunable state-dependent interactions in collisionally stable mixtures of polar molecules
[arXiv] 2026-07-28 | Interaction-Endowed PT-Symmetry and its Effects on Decoherence, Einselection, and Non-Markovianity in a Central Spin Model
[arXiv] 2026-07-28 | Asymptotically sharp bounds for affine subspace statistics in $\mathbb F_2^n$
[arXiv] 2026-07-28 | A Hodge Theoretic Generalization of $\mathbb{Q}$-Homology Manifolds II: Local Complete Intersections
[arXiv] 2026-07-28 | A Citizen Science Search for Compact Emission Line Nebulae
[arXiv] 2026-07-28 | Shieldstral
[arXiv] 2026-07-28 | Binary-induced mass increase and helium enrichment of the envelopes of Type~IIP supernova progenitors
[arXiv] 2026-07-28 | C-RE-ACT: Causal RE-ACTing Agent for O-RAN Forensic Triage
[arXiv] 2026-07-28 | CHILL-Harness: Counterfactual Harness Learning for Efficient Reasoning in Long-Horizon Agents
[arXiv] 2026-07-28 | Optimal Quantum Eigenvalue Transformation via Linear Combinations of Hermitian Matrices
[arXiv] 2026-07-28 | The Ultimate Ishii-Pastur Theorem for Whole-Line Ergodic Block Jacobi Operators
[arXiv] 2026-07-28 | Integrating moment tensor potentials with finite-element modeling for heat transfer prediction in FLiBe-based molten salt systems
[arXiv] 2026-07-28 | Efficient Lindbladian Learning from Constant-Time Pauli Responses
[arXiv] 2026-07-28 | The Model in the Middle: Toward AI-Native Real-Time Communication
[arXiv] 2026-07-28 | Towards Faithful Sentimental Image Captioning via Evidence-Aware Multi-Agent Reasoning
[arXiv] 2026-07-28 | Variance-Reduced Conditional Gradient Methods under Markovian Sampling for Nonconvex Composite Optimization
[arXiv] 2026-07-28 | Calculating the Expected Value of Sample Information accounting for missing data
[arXiv] 2026-07-28 | Crack-Tip Opening as a Probe for Length-Scale Separation in Geometrically Nonlinear Solids
[arXiv] 2026-07-28 | The Lunar Farside Transients and Technology Telescope (LFT3) Mission
[arXiv] 2026-07-28 | Jacobi polynomials on the simplex of Hermitian matrices and zonal spherical functions on partial flag manifolds
[arXiv] 2026-07-28 | Quantum oscillation spectroscopy of Fermi-surface topologies in tetralayer graphene
[arXiv] 2026-07-28 | Cooperative Multi-UAV Navigation in Complex Environments via Systematic Multi-Agent Deep Reinforcement Learning
[arXiv] 2026-07-28 | Heavy and heavy-light mesons with arbitrary spin and parity in the Covariant Spectator Theory
[arXiv] 2026-07-28 | Classically Augmented Zero-Noise Extrapolation
[arXiv] 2026-07-28 | Late-Time Cosmological Tests of a Minisuperspace Generalized-Uncertainty-Principle Deformation
[arXiv] 2026-07-28 | Physical Mechanism of Vacuole Formation in Liquid Droplets
[arXiv] 2026-07-28 | Tri-Manual Visuomotor Imitation Learning of Robot Policies
[arXiv] 2026-07-28 | Shared Voxel-Map-Based Cooperative Indoor UAV Guidance with a Multi-Agent Soft Actor-Critic Controller
[arXiv] 2026-07-28 | Path-length dependence of parton energy loss across collision systems: a Bayesian analysis of charged-particle RAA, consistent with a universal exponent from O+O to Pb+Pb
[arXiv] 2026-07-28 | Nudging Sustainable Choices through LLM-Generated Recommendation Explanations
[arXiv] 2026-07-28 | Quantum metric quadrupoles in elemental bismuth thin films
[arXiv] 2026-07-28 | Small-scale polarization variations in near-inertial deep Mediterranean horizontal waterflow
[arXiv] 2026-07-28 | SpeechLLM Meets Federated Learning for End-to-End ASR: English and Italian Case Studies
[arXiv] 2026-07-28 | Laser induced optical reconfiguration in Ge_Sb_Te Films with composition dependent response
[arXiv] 2026-07-28 | Impact Detection in Fall Events: Leveraging Spatio-Temporal Graph Convolutional Networks and Recurrent Neural Networks Using 3D Skeletons Data
[arXiv] 2026-07-28 | Categories of tagged lenses
[arXiv] 2026-07-28 | Parameter Estimation of the Stochastic Allen--Cahn Equation via variations
[arXiv] 2026-07-28 | How haptic feedback enables human group synchronization
[arXiv] 2026-07-28 | Face Structure in Partial Facial Reduction of Semidefinite Relaxations of Binary Programs
[arXiv] 2026-07-28 | SignDeepSC: A Semantic Signature-based Approach for Robust Semantic Communication
[arXiv] 2026-07-28 | The 95 GeV Excess in Models with Two Higgs Doublets plus One Singlet: Model Distinction via Four-top Final States and Triple Higgs Couplings
[arXiv] 2026-07-28 | MemSFT: Mitigating Alignment Tax with an External Parametric Memory
[arXiv] 2026-07-28 | Beyond Self-Knowledge: Propagating Uncertainty Across Reasoning and Retrieval in LLMs
[arXiv] 2026-07-28 | Distribution of the magnetic field relative to the plane of the Galaxy in the region of the Sagittarius spiral arm
[arXiv] 2026-07-28 | Finite-temperature Lanczos for anisotropic spin systems using triple-hybrid high-performance computing
[arXiv] 2026-07-28 | Crustal and upper mantle model of the Middle East based on full-waveform inversion
[arXiv] 2026-07-28 | IRIS: Reusable Identity Representations from Frozen LLMs for Entity Alignment
[arXiv] 2026-07-28 | "Dragon Slayer Becomes the Dragon": How Players Perceive and Respond to Inequality in the Game World of Whiteout Survival
[arXiv] 2026-07-28 | The LAIA Dataset: Labelled Attention for Intelligent Automobiles
[arXiv] 2026-07-28 | CORF-GS: Real-Time Wireless Radiance Field Reconstruction via Coupled Optical-RF Gaussian Splatting
[arXiv] 2026-07-28 | ARCHER: Agentic Rule and Compliance Harness for Executable Regulations
[arXiv] 2026-07-28 | ReDesign: Recovering Editable Design Structures from Images via Agentic Decomposition
[arXiv] 2026-07-28 | Ultradilute quasi-two-dimensional Bose-Bose liquid mixtures
[arXiv] 2026-07-28 | The Information Rate of Fiber-Wireless Communication Systems Based on Photonic Generation of RF Signals
[arXiv] 2026-07-28 | OrthKD: Extracting Generalized Clinical Knowledge from Heterogeneous Teachers for Lightweight Deployment
[arXiv] 2026-07-28 | Finding the noise: Zero-shot AI Music Detection
[arXiv] 2026-07-28 | Harmonic analysis on compact standard quotients of non-Riemannian semisimple symmetric spaces
[arXiv] 2026-07-28 | Geometry resolved atomic oxygen risk assessment for very low earth orbit spacecraft
[arXiv] 2026-07-28 | Type A Nilpotent Hessenberg varieties with Hessenberg function $h(i)\le i+1$
[arXiv] 2026-07-28 | Hypernatural numbers in arithmetic Ramsey theory
[arXiv] 2026-07-28 | From weakly to strongly-interacting driven-dissipative bosons in one dimension
[arXiv] 2026-07-28 | Phase Structure in Rotary Attention: A Spectral Framework for Semantic Continuity and Execution-Boundary Governance
[arXiv] 2026-07-28 | From sLLG to Fokker-Planck: Accurate WER Modeling for Non-Axisymmetric MRAM Devices
[arXiv] 2026-07-28 | WASP: A Configurable Framework for Portable Stateful Serverless Applications
[arXiv] 2026-07-28 | An Exact Obstruction to Uniform Average Mixing on $P_{11}$
[arXiv] 2026-07-28 | Coevolution of epidemic dynamics and network topology driven by disease fatality and waning immunity
[arXiv] 2026-07-28 | Anisotropic domain wall velocity profiles in the creep regime: the interplay of chiral damping, stiffness and Dzyaloshinskii-Moriya interaction
[arXiv] 2026-07-28 | Seen, Said, or Forgotten? A Causal Audit of Visual KV Memory Across Dialog Turns
[arXiv] 2026-07-28 | A universal diffuse interface modeling framework for surfactants
[arXiv] 2026-07-28 | Exact discrete-adjoint optimization of trap timing and placement in a Stieltjes-time reaction-diffusion model: A Galicia case study
[arXiv] 2026-07-28 | Emergence of minimal chimera in uncoupled oscillators under common frequency-modulated driving: Theory and experiment
[arXiv] 2026-07-28 | Toward an Organizational Science of Multi-Agent LLM Systems: Decoupling Who, How, and Which Algorithm
[arXiv] 2026-07-28 | Poroelastic aquifer response drives seasonal vertical land motion in southern Louisiana
[arXiv] 2026-07-28 | A matroidal criterion for flow polytopes to be order polytopes
[arXiv] 2026-07-28 | Imaging the Néel Vector in Two-Dimensional Antiferromagnets using Antisymmetric Compton Scattering
[arXiv] 2026-07-28 | Notes on a paper by F. Génot and B. Brogliato on the Painlevé paradox
[arXiv] 2026-07-28 | The category of necklaces is a test category
[arXiv] 2026-07-28 | HANDBOOK.md: A Benchmark for Long-Context Agentic Instruction Following
[arXiv] 2026-07-28 | A smooth projective counterexample to Bondal-Polishchuk's conjecture
[arXiv] 2026-07-28 | SGTP: Sampling-based Game-Theoretic Planning for Real-Time Multi-Vehicle Autonomous Racing
[arXiv] 2026-07-28 | Learned, Relied Upon, or Necessary? Separating Checkpoint Dependence from Task-Level Value in Sheaf GNNs
[arXiv] 2026-07-28 | Beyond endoscopy for the symmetric square representation: The simple trace formula case
[arXiv] 2026-07-28 | Memory for Large Language Models
[arXiv] 2026-07-28 | Cyber-Capable AI Agents: Vulnerabilities, Evaluation Containment, and Defensive Response
[arXiv] 2026-07-28 | Rethinking Likelihood distributions: Student's t Likelihood Boosts Bayesian Neural Network Performance
[arXiv] 2026-07-28 | Logarithmic Aging Diffusion from a Multiplicative Event Clock: Rare Event Statistics, Ultraslow Transport, and Ensemble-Time Inequivalence
[arXiv] 2026-07-28 | Hyperspectral Intrinsic Decomposition: Joint Recovery of Reflectance and Photometric Components for Non-Lambertian Scenes
[arXiv] 2026-07-28 | PanoLess: Environment Reconstruction from Partial Reflective Views
[arXiv] 2026-07-28 | The Case Against Generation for Retrieval: Discriminative Language Models as Effective Retrievers
[arXiv] 2026-07-28 | Remote entanglement of massive oscillators via wire-mediated Coulomb interaction
[arXiv] 2026-07-28 | SPARC: Sequence-aware Progressive Attribute Routing and Compression Framework for Generative Recommendation
[arXiv] 2026-07-28 | Grevo: A Unified Generative Recommendation Framework with Evolutionary Item Indexing
[arXiv] 2026-07-28 | NFR-to-Code Traceability in a Blockchain-IoT System: An Empirical Study
[arXiv] 2026-07-28 | Human-in-the-Loop Signature Bootstrapping for UAV Hyperspectral PFM-1 Mine Detection
[arXiv] 2026-07-28 | Actualization, Records, and the Emergence of Entropic Time
[arXiv] 2026-07-28 | Interferometric molecular line observations toward the 21 μm protoplanetary nebula IRAS 06530-0213
[arXiv] 2026-07-28 | Resonance-Induced Sign Reversal of Optical Gradient Forces and Three-Dimensional Singularity Trapping
