[2026-06-10 23:25:24] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-09
正在获取论文...
[arXiv] 2026-06-09 | One-Step Self-Organized Multifunctional Micromotors via Evaporative Liquid-Liquid Phase Separation
[arXiv] 2026-06-09 | A Systematic Approach for Selecting Trajectories for Data Augmentation
[arXiv] 2026-06-09 | Early Comparative Evaluation of Transformer Models for Multilingual Software Vulnerability Detection
[arXiv] 2026-06-09 | Robust Current Regulation of MMC-based MTDC Power Systems based on Lyapunov Inequality
[arXiv] 2026-06-09 | Beyond Model Size: Probing the Gaps in Visual in-Context Learning by Training a Tiny Model
[arXiv] 2026-06-09 | Comparative Analysis of Inference-Time Defense Methods for Multimodal Large Language Models
[arXiv] 2026-06-09 | Pose-ICL: 3D-Aware In-Context Learning for Pose-Controllable Subject Customization
[arXiv] 2026-06-09 | MV-Actor: Aligning Multi-View Semantics and Spatial Awareness for Bimanual Manipulation
[arXiv] 2026-06-09 | Optimal Post-Training Quantization Scales and Where to Find Them
[arXiv] 2026-06-09 | Sleep EEG Signal Criticality as a Non-Invasive Predictor of Cognitive Decline in Dementia
[arXiv] 2026-06-09 | Listen, Look, and Learn: Learning Without Forgetting through SAM-Audio
[arXiv] 2026-06-09 | Finite free convolution via reproducing kernels and squarefree algebras
[arXiv] 2026-06-09 | Sensitivity Enhancement near High-Order Exceptional Points via Dissipative Couplings
[arXiv] 2026-06-09 | Thermodynamic Approach to Momentum Transport in Dense Fluids
[arXiv] 2026-06-09 | Embodiment-conditioned Generalist Control for Multirotor Aerial Robots
[arXiv] 2026-06-09 | Janus: A Benchmark for Goal-Conditioned Information Distortion in LLMs
[arXiv] 2026-06-09 | On Calabi-Yau Threefolds For Unified LVS Inflation
[arXiv] 2026-06-09 | Geometrically Averaged Hard Target Updates for Linear Q-Learning
[arXiv] 2026-06-09 | Derivatives of Tensor Products and Applications to Spaces $C(K^n,X)$
[arXiv] 2026-06-09 | Attention-Discounted Adaptive Sampler for Masked Diffusion Language Models
[arXiv] 2026-06-09 | The fidelity of controlled quantum teleportation in a noisy environment
[arXiv] 2026-06-09 | Continuous and discontinuous transitions in the Ising-Heisenberg model on the extended Lieb lattice in a magnetic field
[arXiv] 2026-06-09 | IMPACT: Learning Internal-Model Predictive Control for Forceful Robotic Manipulation
[arXiv] 2026-06-09 | Analysis of the young disk around WRAY 15-1880: does it contain a primitive planetary system?
[arXiv] 2026-06-09 | Evaluating Research-Level Math Proofs via Strict Step-Level Verification
[arXiv] 2026-06-09 | On the refined properties of uniformly quasi-greedy bases
[arXiv] 2026-06-09 | A Multimodal RGB and Events Dataset for Hand Detection in First-Person View
[arXiv] 2026-06-09 | Generating functions for aggregation and fragmentation: review
[arXiv] 2026-06-09 | Recovering the Zipfian Distribution in Unsupervised Term Discovery
[arXiv] 2026-06-09 | From Patches to Patients: A study of the tile-to-slide performance transferability in Digital Pathology
[arXiv] 2026-06-09 | On-sky demonstration of reinforcement learning for adaptive optics control
[arXiv] 2026-06-09 | Viable Supply Chain Network Design: Machine Learning-Derived Chance-Constrained Programming
[arXiv] 2026-06-09 | Dynamical Partition Functions of Stochastic Dynamics via Variational Flows
[arXiv] 2026-06-09 | Spontaneous translation of charged droplets during evaporation on dry surfaces
[arXiv] 2026-06-09 | UnReal-B : Real-Space DFT Solver for Matter in Extreme Magnetic Fields
[arXiv] 2026-06-09 | Weighted least action principle for Maxwell equations
[arXiv] 2026-06-09 | Potential detection of ~ 4.2 keV emission line from GRS 1747-312
[arXiv] 2026-06-09 | Detecting Knowledge Gaps from Conversational AI Interactions Using Curriculum Prerequisite Graphs
[arXiv] 2026-06-09 | Patient-Level Diagnosis of Acute Myeloid Leukemia via Deep Learning Analysis of Bone Marrow Smear
[arXiv] 2026-06-09 | Pre-AF 13: An Interpretable Atrial Fibrillation Risk Score Mined from Discharge Reports
[arXiv] 2026-06-09 | Disjointness of rescalings of smooth area preserving flows on surfaces
[arXiv] 2026-06-09 | The Agentic Web Requires New Normative Infrastructure
[arXiv] 2026-06-09 | Effective Reinforcement Learning for Agentic Search by Recycling Zero-Variance Queries During Training
[arXiv] 2026-06-09 | From Observation to Intervention: A Causal Audit of Expert Importance in Mixture-of-Experts Models
[arXiv] 2026-06-09 | Certification of Network Quantum Sensing
[arXiv] 2026-06-09 | Beyond Patches: Superpixel Token-based Transformers for Attribute-Specific Fashion Retrieval
[arXiv] 2026-06-09 | REAL: A Reasoning-Enhanced Graph Framework for Long-Term Memory Management of LLMs
[arXiv] 2026-06-09 | Self-Supervised Relevance Modelling in Autonomous Driving via Counterfactual Analysis
[arXiv] 2026-06-09 | Long-wave KdV hierarchy approximation of the NLS hierarchy with nonzero boundary conditions
[arXiv] 2026-06-09 | PL-KKT-hPINN: Enforcing Nonlinear Equality Constraints on Neural Networks via Piecewise-Linear Projection
[arXiv] 2026-06-09 | Hawking--Page Universality, Thermodynamic Dipoles and Categorical Defects
[arXiv] 2026-06-09 | Multilingual Word-Level Forced Alignment with Self-Supervised Representations and Learned Dynamic Programming
[arXiv] 2026-06-09 | A Comprehensive Study on the Line Profiles and Stark Widths of Ionic Transitions from Laser Produced Aluminum Plasma
[arXiv] 2026-06-09 | Linear relations of four conjugates of an algebraic number of degree eight
[arXiv] 2026-06-09 | $Λ$(1520) as a probe of resonance-driven deuteron formation at the LHC
[arXiv] 2026-06-09 | Decentralized Multi-Agent Systems with Shared Context
[arXiv] 2026-06-09 | Far-field approximations for multi-timescale microswimmers near a boundary
[arXiv] 2026-06-09 | Accounting for AI Inference in Corporate GHG Inventories: A Four-Tier Methodology for Scope 3 Category 1 Reporting
[arXiv] 2026-06-09 | Speaker Group Encoding in Self-supervised Speech Recognition Models
[arXiv] 2026-06-09 | Star-formation variability on the star-forming main sequence during the Epoch of Reionization
[arXiv] 2026-06-09 | RF for accelerators: RF power generation, RF power transport, RF power couplers
[arXiv] 2026-06-09 | ChartLens: A Dual-Branch Framework for Chart Data Correction and Factual Summary Refinement
[arXiv] 2026-06-09 | Piper: A Programmable Distributed Training System
[arXiv] 2026-06-09 | Multi-Faceted Interactivity Alignment in Full-Duplex Speech Models
[arXiv] 2026-06-09 | EEVEE: Towards Test-time Prompt Learning in the Real World for Self-Improving Agents
[arXiv] 2026-06-09 | Sasakian manifolds and spin-c Killing spinors
[arXiv] 2026-06-09 | ABC-Bench: An Agentic Bio-Capabilities Benchmark for Biosecurity
[arXiv] 2026-06-09 | The Yang-Baxter Equation for the Chiral Potts Model and Integrable Parafermions
[arXiv] 2026-06-09 | Strong Approximations for Markov Chains Weakly Converging to Diffusions
[arXiv] 2026-06-09 | Pre-Fault Voltage Discrimination and Time-Domain Protection for Distribution Networks with Inverter-Based Resources
[arXiv] 2026-06-09 | A Resurgent Analytic Framework for Indicial Umbral Calculus via Mellin-Barnes and Borel-Laplace Theories
[arXiv] 2026-06-09 | Resolving SLX 1744-299 and SLX 1744-300 in the hard X-ray band: implications for their ultracompact nature
[arXiv] 2026-06-09 | Overcoming Rank Collapse in Feedback Alignment
[arXiv] 2026-06-09 | Monte Carlo Pass Search: Using Trajectory Generation for 3D Counterfactual Pass Evaluation in Football
[arXiv] 2026-06-09 | Flower-like WO3-modified Vulcan carbon GDEs for photoelectro-Fenton process: Efficient ciprofloxacin degradation and mechanistic insights
[arXiv] 2026-06-09 | FADA: Accessible fetal ultrasound interpretation and annotation with a selectively distilled unified vision-language model
[arXiv] 2026-06-09 | Spatially heterogeneous power-law attenuation with multiple relaxation mechanisms for ultrasound modeling
[arXiv] 2026-06-09 | Edge-regular graphs with non-negative curvature have polynomial growth
[arXiv] 2026-06-09 | Matrix element method at NLO: A fine proof of concept in POWHEG
[arXiv] 2026-06-09 | Unifying Local Communications and Local Updates for LLM Pretraining
[arXiv] 2026-06-09 | How to grow a straight filament
[arXiv] 2026-06-09 | T1-Bench: Benchmarking Multi-Scenario Agents in Real-World Domains
[arXiv] 2026-06-09 | CIAware-Bench: Benchmarking Control Intervention Awareness Across Frontier LLMs
[arXiv] 2026-06-09 | Flexible Kernels for Protein Property Prediction
[arXiv] 2026-06-09 | On pseudogap phase as precursor to a superconducting dome in high-Tc cuprates: Non-analytic T* as a function of doping
[arXiv] 2026-06-09 | The Small-scale Structures in the Wind of Messier 82
[arXiv] 2026-06-09 | GapFuzz: Cross-Plane Divergence Fuzzing for Distributed SDN Controllers
[arXiv] 2026-06-09 | AuRA: Internalizing Audio Understanding into LLMs as LoRA
[arXiv] 2026-06-09 | Influence of CeO$_2$MnO$_x$ heterostructure on Hydrogen Peroxide Electrogeneration on Carbon-Based Catalysts
[arXiv] 2026-06-09 | When Discovery Outpaces Remediation: Modeling AI-Accelerated Vulnerability Discovery in Interconnected Systems
[arXiv] 2026-06-09 | Multi-Channel Soil Moisture Measurement: High Accuracy and Low Crosstalk Through Optical-Semiconductor Based Differential Sensing
[arXiv] 2026-06-09 | Who Brought Easter Eggs to Eid? Auditing Cultural Translation of Math Word Problems Across Diverse Languages and Regions
[arXiv] 2026-06-09 | Revealing the topology of quantum states via Kirkwood-Dirac quasiprobabilities
[arXiv] 2026-06-09 | Lipschitz-free spaces and the isomorphism class of Pełczyński's universal basis space
[arXiv] 2026-06-09 | Multi-UAV Active Sensing with Information Gain-based Planning and Belief Fusion
[arXiv] 2026-06-09 | A Structural Separation Between Chernoff and Convex-Order Optimality in Robust Testing
[arXiv] 2026-06-09 | The link between obscured accretion and mildly relativistic precessing jets
[arXiv] 2026-06-09 | Dismantle and Dissolve, (Re)build, Remix: A Research-creation Inquiry into the Political Economy of Graphics Cards
[arXiv] 2026-06-09 | Architect-Ant: Editable Automatic Furnishing of Architectural Floor Plans
[arXiv] 2026-06-09 | Reconfigurable MDI-QKD and BB84 over 20 km optical channels via EOM-tailored weak coherent states
[arXiv] 2026-06-09 | A Neurosymbolic Prolog Skill for LLM-Driven Service Placement
[arXiv] 2026-06-09 | There are matroid toric ideals without quadratic Gröbner bases
[arXiv] 2026-06-09 | Encoding the Euler Characteristic Transform
[arXiv] 2026-06-09 | DMT: Demographic Conditioning, Morphology-Enhanced Transformer for Cuffless Blood Pressure Estimation from PPG Signals
[arXiv] 2026-06-09 | Finite-Time Orientational Relaxation Restructures Collective Motion in Polar Active Matter
[arXiv] 2026-06-09 | Towards Critical Branching Mechanism in Recurrent Neural Networks
[arXiv] 2026-06-09 | Unidirectional Entropic Solutions of the Pressureless Euler Alignment System
[arXiv] 2026-06-09 | Camera-enabled scalable homodyne detection of multimode quantum light
[arXiv] 2026-06-09 | From the microscope to High Performance Computing centers, a national effort toward automated data workflows for microscopy facility users in France
[arXiv] 2026-06-09 | Solar flare ribbons structured by uncombed chromospheric loops
[arXiv] 2026-06-09 | What Do Deepfake Speech Detectors Actually Hear?
[arXiv] 2026-06-09 | $k$-Nearest Neighbors in Gromov--Wasserstein Space
[arXiv] 2026-06-09 | Platform Sorting Drives Ideological Fragmentation in the Social Media Ecosystem
[arXiv] 2026-06-09 | Tensor Decomposition for Energy-Momentum Correlation Functions
[arXiv] 2026-06-09 | Nonequilibrium Green Functions Simulations for Large Correlated Systems
[arXiv] 2026-06-09 | Simplicity of q-Gaussian C*-algebras
[arXiv] 2026-06-09 | On the Localization of Checkerboarding in Multiaxial Stress Regions under SIMP Penalization
[arXiv] 2026-06-09 | A sporadic strongly regular graph with parameters $(120,56,28,24)$ from a primitive action of the symmetric group on $7$ elements
[arXiv] 2026-06-09 | Chromospheric magnetic field extrapolations reveal the flux-rope configuration of a solar filament
[arXiv] 2026-06-09 | Anchors that Don't Lift: Understanding Supply Chain Driven Kernel Lock-In and Governance-Mediated Mitigation Strategies in SOHO Devices
[arXiv] 2026-06-09 | Turbulent Diffusion of Magnetic Field Lines in the Heliosphere
[arXiv] 2026-06-09 | Geometric obstructions to Lipschitz transport between weighted Hessian $\mathrm{CD}(κ,\infty)$ manifolds
[arXiv] 2026-06-09 | Arbitrage-free Data Pricing
[arXiv] 2026-06-09 | Mitigating Bias in Low-SNR Financial Reinforcement Learning via Quantum Representations
[arXiv] 2026-06-09 | SpenseGPT: Practical One-shot Pruning Enabling Sparse and Dense GEMMs for LLM Inference
[arXiv] 2026-06-09 | At the Origins of Electroculture: A Retrodictive Modelling of Bertholon's 18th-Century Electrovegetometer in the Pre-Corona Regime
[arXiv] 2026-06-09 | Experimental implementation of continuous-variable QAOA on a quad-rail lattice cluster state
[arXiv] 2026-06-09 | Vision-Assisted Foundation Model for Solving Multi-Task Vehicle Routing Problems
[arXiv] 2026-06-09 | Dynamic Optimization of Virtual Inertia and Damping in Converter-Based Power Systems
[arXiv] 2026-06-09 | Supermoiré Chern mosaic in helical trilayer WSe2
[arXiv] 2026-06-09 | Superheating field of clean superconductors near the type-I--type-II boundary: the low-temperature Meissner stability limit of niobium
[arXiv] 2026-06-09 | Antiferromagnetic order and magnetic polarons in lightly doped Li$_x$CoO$_2$ (x $\sim$ 0.9)
[arXiv] 2026-06-09 | On superspecial hyperelliptic curves of Rosenhain forms
[arXiv] 2026-06-09 | Soul Computing: A Theoretical Framework and Technical Architecture for Intelligent Agents with Independent Consciousness
[arXiv] 2026-06-09 | FOGO: Forgetting-aware Orthogonalization Optimizer
[arXiv] 2026-06-09 | Improved selector behavior in ultrathin chromium-doped V$_2$O$_3$ films
[arXiv] 2026-06-09 | Foveated-Imaging Geometry CT Architecture and Seeded Diffusion Model Enabling Global Super-Resolution Reconstruction
[arXiv] 2026-06-09 | Belief-Space Control for Personalized Cancer Treatment via Active Inference
[arXiv] 2026-06-09 | Equation Asymmetry: An Algebraic Framework for Unifying Secrecy and Covertness in Information-Theoretic Security
[arXiv] 2026-06-09 | KFC-KWS: Keyframe Fusion with CTC for User-Defined Keyword Spotting
[arXiv] 2026-06-09 | ViP-VL: Vietnamese Self-supervised Speech Pretraining Model with Vector-Quantization Learning
[arXiv] 2026-06-09 | Atomic Intent Reasoning: Bringing LLM Semantics to Industrial Cross-Domain Recommendations
[arXiv] 2026-06-09 | Reasoning or Memorization? Direction-Aware Diversity Exploration in LLM Reinforcement Learning
[arXiv] 2026-06-09 | Rank Collapse, Fixed Points, and the Renormalization Group Structure of MLP Residual Networks
[arXiv] 2026-06-09 | Baseline-Free Policy Optimization for Neural Combinatorial Optimization
[arXiv] 2026-06-09 | Nonreciprocal Photon Blockade in an Asymmetric Cavity
[arXiv] 2026-06-09 | Optomechanical system with tunable dissipative and dispersive couplings
[arXiv] 2026-06-09 | Invariance principles for additive functionals of voter models
[arXiv] 2026-06-09 | Early-Token Confidence Predicts Reasoning Quality in Multi-Agent LLM Debate
[arXiv] 2026-06-09 | MIRAGE: A Polarity-Flipping Encoding Subspace in LLM Agents
[arXiv] 2026-06-09 | Fundamentals of NOMA in Low-Earth Orbit Coordinated Multi-Satellite Networks
[arXiv] 2026-06-09 | Vortex pinning of Ba$_{0.62}$K$_{0.38}$BiO$_3$ investigated by magneto-optical Kerr-effect and magnetization measurements
[arXiv] 2026-06-09 | How Many Submissions May an Author Make? A Harmonic Quota for Submissions under Coauthorship
[arXiv] 2026-06-09 | The Linux IOCTL Census: A Source-Derived Database of the Linux Kernel Control-Code Surface
[arXiv] 2026-06-09 | First Principles Magnetohydrodynamical Theory for the Expanding Box Model
[arXiv] 2026-06-09 | Coupling-split clusters in a swarmalator model with uniform coupling disorder
[arXiv] 2026-06-09 | Leveraging Machine-Learned Advice in Strategic Interactions with No-Regret Learners
[arXiv] 2026-06-09 | Distributional embeddings of the first limit Bourgain-Rosenthal-Schechtman space
[arXiv] 2026-06-09 | Using the YOLOv12 Model for Verifying the Correct Color Sequence of Wires in Network Cables (Patch Cords) on the Production Line
[arXiv] 2026-06-09 | Don't waste SAM
[arXiv] 2026-06-09 | A Processing Workflow for Cassini VIMS Jupiter Cubes
[arXiv] 2026-06-09 | Chiral Plasma under Strong Magnetic Fields: A Holographic Analysis of Transport Phenomena
[arXiv] 2026-06-09 | An adaptive framework for the axisymmetric pulsar magnetosphere using physics-informed Kolmogorov-Arnold networks
[arXiv] 2026-06-09 | Balancing bias, baryons, and scale cuts in LSST 3x2pt analysis
[arXiv] 2026-06-09 | Full one-fluid dusty gas with multiple grain species in SPH
[arXiv] 2026-06-09 | On the Complexity of Signed Domination
[arXiv] 2026-06-09 | Equilibrating continuous-variable open quantum systems using stochastic classical trajectories in path-integral space
[arXiv] 2026-06-09 | STEDiff: Strengthening Text Embedding for Text-to-Image Alignment in Diffusion Model
[arXiv] 2026-06-09 | Dynamic Linear Attention
[arXiv] 2026-06-09 | Layer Order Semantics for Automata-Based Cybersecurity
[arXiv] 2026-06-09 | Hawking-Page phase transition for pure Lovelock black holes
[arXiv] 2026-06-09 | On concatenation of matrices for reversible linear codes over a finite commutative ring and applications to DNA codes
[arXiv] 2026-06-09 | Critical quasi-linear Schrödinger system with $p$-Laplacian
[arXiv] 2026-06-09 | snaproot: Decentralized File Integrity Verification Using Blockchain-Anchored Cryptographic Hashing
[arXiv] 2026-06-09 | Can Image Models Imagine Time? ImageTime: A Novel Benchmark for Probing Visual World Modeling Through Spatiotemporal Consistency
[arXiv] 2026-06-09 | Overlooking 3d dualities from mezzanines and balconies
[arXiv] 2026-06-09 | Learning What to Remember: Observability-Safe Memory Retention via Constrained Optimization for Long-Horizon Language Agents
[arXiv] 2026-06-09 | Dexterous Point Policy: Learning Point-based Dexterous Hand Policies from Human Demonstrations
[arXiv] 2026-06-09 | The isoperimetric problem for the Favard length
[arXiv] 2026-06-09 | Synergy between the gravitational potential decay rate and other structure growth probes in testing gravity
[arXiv] 2026-06-09 | ContextCodec: Content-Focused Context Guidance for Ultra-Low Bitrate Speech Coding
[arXiv] 2026-06-09 | Higher integrability for parabolic double phase equations with an improved gap bound
[arXiv] 2026-06-09 | NOVA: Symbolic Regression Discovery of Interpretable Car-Following and Lane-Change Models with Driver Heterogeneity
[arXiv] 2026-06-09 | Constraints on the Higgs-gluon effective coupling through $h \to γγ$ decays at the LHC
[arXiv] 2026-06-09 | Improving Adversarial Transferability on Vision-Language Pre-training Models via Surrogate-Specific Bias Correction
[arXiv] 2026-06-09 | Extending Field Limits in Nanoscale Magnetic Imaging with Metamaterial-inspired Magnetic Flux Concentrators
[arXiv] 2026-06-09 | MeV-GeV Gamma-Ray Astrophysics in the Multimessenger Era
[arXiv] 2026-06-09 | The emergence of a new sound research methodology in the field of health: designo-therapy ?
[arXiv] 2026-06-09 | Deterministic Denominator Design for Localized Tamed Stochastic-Gradient Langevin Dynamics
[arXiv] 2026-06-09 | Structured deformations for energies with general surface terms
[arXiv] 2026-06-09 | Optical-like interference control polar-phonons dispersions in 2D materials
[arXiv] 2026-06-09 | From Stacks to Circuits: A Regenerative Socio-Technical Roadmap for AI Infrastructure within Planetary Boundaries
[arXiv] 2026-06-09 | Prefilling-dLLM: Predictive Prefilling for Long-Context Inference in Diffusion Language Models
[arXiv] 2026-06-09 | Audio-Visual Exchange-Aware Token Pruning for Efficient Audio-Visual Captioning
[arXiv] 2026-06-09 | Multiscale modeling for problems with high contrast heterogeneous coefficients by the CEM-GMsFEM
[arXiv] 2026-06-09 | GUI-AC: Enhancing Continual Learning in GUI Agents
[arXiv] 2026-06-09 | LAFP: Preserving Latent Action Structure in Latent Policy Learning via Flow Matching
[arXiv] 2026-06-09 | Contact Tulczyjew Geometry for Continuous and Discrete Dissipative Dynamics on Skew Algebroids
[arXiv] 2026-06-09 | A Deployment-Oriented Framework for Explainable AI-Assisted eBPF/XDP Mitigation at the IoT Edge
[arXiv] 2026-06-09 | Virial stress in systems of active Brownian particles in the presence of translational and rotational inertia
[arXiv] 2026-06-09 | Strain-programmable exciton diffusion in moiré heterostructures
[arXiv] 2026-06-09 | AnisoLift: Anisotropic Latent Representations for Coarse Particle Liquid Enhancement
[arXiv] 2026-06-09 | Trading Utility for Dynamic Fairness in Multiple Resource Division with Sequential Demand
[arXiv] 2026-06-09 | ERAlign: Energy-based Representation Alignment of GNNs and LLMs on Text-attributed Graphs
[arXiv] 2026-06-09 | Minimum Distortion Quantization with Specified Output Distribution
[arXiv] 2026-06-09 | Generative Explainability for Next-Generation Networks: LLM-Augmented XAI with Mutual Feature Interactions
[arXiv] 2026-06-09 | Spectral Koopman Approach for Reconstructing State-space Geometry of Cislunar Restricted 3-Body Problem
[arXiv] 2026-06-09 | Democratising Camera Trap AI: An Open-Source Model for Detecting UK Mammals
[arXiv] 2026-06-09 | It Takes One to Bias Them All: Breaking Bad with One-Shot GRPO
[arXiv] 2026-06-09 | Task Robustness via Re-Labelling Vision-Action Robot Data
[arXiv] 2026-06-09 | Role-Agent: Bootstrapping LLM Agents via Dual-Role Evolution
[arXiv] 2026-06-09 | From Prompt to Purchase: How AI Brand Recommendations Move Consumers on the Open Web
[arXiv] 2026-06-09 | A single-step lithography process for reconfigurable SiN photonics with TiN heaters and Al interconnects
[arXiv] 2026-06-09 | Balanced Sperner families via the topological Tverberg theorem
[arXiv] 2026-06-09 | When Do Autoregressive Sequence Models Forecast Physical Wavefields? A Controlled Study on Synthetic Seismograms
[arXiv] 2026-06-09 | An Exposure-Time-Aligned Primary-Path Architecture for Autonomous-Driving ECUs
