[2026-06-30 23:13:04] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-29
正在获取论文...
[arXiv] 2026-06-29 | Real-Time Underwater Image Enhancement via Frequency-Guided Dual-Path Attention
[arXiv] 2026-06-29 | Dirichlet-Neumann waveform relaxation for heterogeneous heat equations: continuous and time discrete L2 analysis
[arXiv] 2026-06-29 | Hephaestus: Toward a Cybersecurity AI Scientist
[arXiv] 2026-06-29 | First-Order Temporal Logic Tensor Networks
[arXiv] 2026-06-29 | DuoMem: Towards Capable On-Device Memory Agents via Dual-Space Distillation
[arXiv] 2026-06-29 | IHDec: Divergence-Steered Contrastive Decoding for Securing Multi-Turn Instruction Hierarchies
[arXiv] 2026-06-29 | Soft-Radiation-Induced Decoherence of Heavy-Quark Spin Entanglement at the Electron-Ion Collider
[arXiv] 2026-06-29 | WARP: Whole-Body Retargeting for Learning from Offline Human Demonstrations
[arXiv] 2026-06-29 | Revisiting "A universal model for the Lorenz curve with novel applications''
[arXiv] 2026-06-29 | Bifurcation structure of soliton self-injection locking in microresonators
[arXiv] 2026-06-29 | Flying to Image-Specified Objects: 3D Quadrotor Navigation via Cross-Graph Memory and Viewpoint Planning
[arXiv] 2026-06-29 | On the existence of canonical multi-phase free boundary Brakke flows: a case study
[arXiv] 2026-06-29 | High-Redshift Signatures from the Cosmic Dawn and the Epoch of Reionization
[arXiv] 2026-06-29 | AdaGrad does not adapt to Hölder-smoothness for composite objectives
[arXiv] 2026-06-29 | Same Concept, Different Directions: Cross-Modal Feature Heterogeneity in Sparse Autoencoders
[arXiv] 2026-06-29 | AUSLUN: A Fixed-Hover UAV--USV System for GNSS-Denied Maritime Search and Navigation
[arXiv] 2026-06-29 | Smooth Scaling Laws Hide Stepwise Token Learning
[arXiv] 2026-06-29 | Nonperturbative Leakage Elimination Operator-Based Quantum Control Pulse Design Beyond the High Frequency Driving Regime
[arXiv] 2026-06-29 | Hessian sparsity-constrained self-supervised network for near-infrared single-photon single-pixel imaging
[arXiv] 2026-06-29 | Quantum Eigenvalue Transformation via Linear Combination of Hamiltonian Simulation: A Weyl Calculus Approach
[arXiv] 2026-06-29 | Theory of Continual Learning Against Data Poisoning Attacks
[arXiv] 2026-06-29 | A Sieve-Accelerated Quadrature Method for Exact Privacy Accounting in the 2020 U.S. Decennial Census
[arXiv] 2026-06-29 | High Resolution Spectroscopic Analysis of Chromospheric Line Evolution during an Energetic Flare on AD Leo
[arXiv] 2026-06-29 | Noise Sensitivity Governed by Continuous-Time Random Walks on the Symmetric Group
[arXiv] 2026-06-29 | Spin-1 Dirac dispersion and Chern insulating phases in 2D honeycomb Sierpiński fractal
[arXiv] 2026-06-29 | Rethinking Collaborative Trust for Verifiably Decentralized Blockchain Systems
[arXiv] 2026-06-29 | Neural Procedural Memory: Empowering LLM Agents with Implicit Activation Steering
[arXiv] 2026-06-29 | Experience Graphs: The Data Foundation for Self-Improving Agents
[arXiv] 2026-06-29 | Predicting Timbre Traits for Interpretable Assessment of Musical Sound Synthesizers
[arXiv] 2026-06-29 | FutureNav: Unified World-Action Modeling for Vision-and-Language Navigation
[arXiv] 2026-06-29 | Mean-field theory of rich oscillatory dynamics in low-rank recurrent networks with activity-dependent adaptation
[arXiv] 2026-06-29 | CouCE: A Unified Causal Framework for Debiased Deep Metric Learning
[arXiv] 2026-06-29 | ReactiveBFM: Reactive Closed-Loop Motion Planning Towards Universal Humanoid Whole-Body Control
[arXiv] 2026-06-29 | Hidden Defect Chemistry in Ion-Irradiated MoS$_2$ Field-Effect Transistors Revealed by Photocurrent Loss
[arXiv] 2026-06-29 | Generalized Hermite Polynomials and Spectral Degeneracies of a Singular Sextic Oscillator
[arXiv] 2026-06-29 | A Non-integer Dimensional Space Approach to the Moisil-Teodorescu Operator
[arXiv] 2026-06-29 | Early Cue Precision Shapes Visual Shortcut Learning in Controlled Cue-Manipulation Benchmarks
[arXiv] 2026-06-29 | REAR: Test-time Preference Realignment through Reward Decomposition
[arXiv] 2026-06-29 | Cohort-amortized personalization: navigating the privacy-utility frontier for virtual brain twins
[arXiv] 2026-06-29 | On the structure of the singular triplet monoid and its virtual extension
[arXiv] 2026-06-29 | Expansion rate of the young, oxygen-rich supernova remnant G292.0+1.8
[arXiv] 2026-06-29 | LeVo 2: Stable and Melodious Song Generation via Hierarchical Representation Modeling and Progressive Post-Training
[arXiv] 2026-06-29 | GROW$^2$: Grounding Which and Where for Robot Tool Use
[arXiv] 2026-06-29 | Pessimism's Paradox: Conservative Offline Training Amplifies Reward Hacking During Online Adaptation in Reasoning Models
[arXiv] 2026-06-29 | DOPD: Dual On-policy Distillation
[arXiv] 2026-06-29 | Prescriptions for the stochasticity effect on the integrated X-ray luminosity of star-forming galaxies:Implications for selecting star-forming galaxies and AGN in X-ray surveys
[arXiv] 2026-06-29 | Why can genetic algorithms work in high-dimensional search spaces?
[arXiv] 2026-06-29 | Sequential Planning via Anchored Robotic Keypoints
[arXiv] 2026-06-29 | PyMETA: A Benchmark Dataset for Hierarchical Student Code Error Classification with Python-Interpreter-Based Labels
[arXiv] 2026-06-29 | C$^{2}$R: Cross-sample Consistency Regularization Mitigates Feature Splitting and Absorption in Sparse Autoencoders
[arXiv] 2026-06-29 | Repetition-code-based readout error detection and correction across hardware platforms and generations
[arXiv] 2026-06-29 | Goku: A Million-Scale Universal Dataset and Benchmark for Instruction-Based Video Editing
[arXiv] 2026-06-29 | Equilibrium and non-equilibrium phases of microwave-dressed polar molecules beyond rotational symmetries
[arXiv] 2026-06-29 | A Hybrid Framework For Crypto-Ransomware Detection In Enterprise Shared Storage
[arXiv] 2026-06-29 | Realtime Wind Estimation using Low Cost Quadrotor Uncrewed Aerial Vehicles
[arXiv] 2026-06-29 | APRIL-MedSeg: A Modular Medical Image Segmentation Toolbox Embracing Modern Paradigms
[arXiv] 2026-06-29 | Beyond 2D Matching: A Unified Single-Stage Framework for Geometry-Aware Cross-View Object Geo-Localization
[arXiv] 2026-06-29 | Morphing into Hybrid Attention Models
[arXiv] 2026-06-29 | The threshold for the asymmetric vertex-Ramsey property in randomly perturbed graphs
[arXiv] 2026-06-29 | Teaching Prompt-Based Programming with LLMs: A 45-Minute Lesson with Guided Practice for End-User Programmers
[arXiv] 2026-06-29 | Latent Actions from Factorized Transition Effects under Agent Ambiguity
[arXiv] 2026-06-29 | A Kac system interacting with two heat reservoirs: the shearing case
[arXiv] 2026-06-29 | Bayesian Analysis with Markov Chain Monte Carlo for Global Optimization and Degeneracy Diagnosis in Nuclear Mass Models
[arXiv] 2026-06-29 | Quantization and Biphoton Statistics of k-Gap Solitons in Nonlinear Photonic Time Crystals
[arXiv] 2026-06-29 | Ultrasound Evidence for a Low-Temperature Anomaly Inside the Superconducting State of 4Hb-TaS$_2$
[arXiv] 2026-06-29 | Doubly Robust Adaptive Conformal Inference for Causal Effects Under Temporal Dependence
[arXiv] 2026-06-29 | RBE-Flow: Recurrent Bayesian Estimation on Feature Manifolds for Cross-Modal Registration
[arXiv] 2026-06-29 | From Frames to Features: Scalable Zigzag Persistence for Binary Video
[arXiv] 2026-06-29 | An entropic analogue of the MMS conjecture
[arXiv] 2026-06-29 | Grasp-Oriented Non-Prehensile Manipulation via Learning a Graspability Field
[arXiv] 2026-06-29 | Field Order Should Not Matter: Permutation-Invariant Embedding Model Fine-Tuning for Structured Metadata Retrieval
[arXiv] 2026-06-29 | Structure-preserving dynamical low-rank approximation for parametric elastic guided waves
[arXiv] 2026-06-29 | NQS-Agent: Health-Aware Agentic Hyperparameter Optimization for Neural-Network Quantum States
[arXiv] 2026-06-29 | Stable invariant measures in linear dynamics
[arXiv] 2026-06-29 | MuonSSM: Orthogonalizing State Space Models for Sequence Modeling
[arXiv] 2026-06-29 | The Schur--Zassenhaus Theorem for finite skew braces
[arXiv] 2026-06-29 | Estimating Free Energy Differences with Virtually Escorted Trajectories
[arXiv] 2026-06-29 | A Quantum Spectral Solver for Periodic Incompressible Stokes Flow
[arXiv] 2026-06-29 | CARMApy: An Open-Source Python Framework for Simulating Microphysical Clouds in Planetary Atmospheres
[arXiv] 2026-06-29 | The massless Boltzmann equation in Minkowski spacetime
[arXiv] 2026-06-29 | On homological finiteness properties and free inverse monoids
[arXiv] 2026-06-29 | Arko-T: A Foundation Model for Text-to-Structured 3D Generation
[arXiv] 2026-06-29 | Preprocessing for Physical-Layer Security in Wireless THz-Communication
[arXiv] 2026-06-29 | ENC-ODE: Event-level Neurodegenerative Modeling in Continuous Time with Neural ODEs
[arXiv] 2026-06-29 | Model Predictive Current Control with Harmonic Correction for Single-Phase AC-DC EV Charging
[arXiv] 2026-06-29 | From some Pisot numerations to topological groups
[arXiv] 2026-06-29 | When Does Online Imitation Learning Help in LLM Post-Training? The Role of (Non-)Realizability Beyond Horizon
[arXiv] 2026-06-29 | Photonic Violation of Wigner's Inequality
[arXiv] 2026-06-29 | Deformed W-algebras and chiralized cluster seeds: subregular W-algebras and Inverse Quantum Hamiltonian Reduction
[arXiv] 2026-06-29 | Steinberg Algebras of Ample Semicategories and their Boolean-Cartan Restriction Semigroups
[arXiv] 2026-06-29 | Modeling survey-window and integral-constraint effects on PNG in the galaxy power spectrum with light-cone mocks
[arXiv] 2026-06-29 | Set-Inclusive Uncertainty Modeling for Robust Brain Tumor Segmentation
[arXiv] 2026-06-29 | MUSE: Unlocking Timestep as Native Task Steering for One-Step Dense Prediction
[arXiv] 2026-06-29 | On positive cones of finite quotients of a normal variety
[arXiv] 2026-06-29 | Translating Natural Language to Strategic Temporal Specifications via LLMs
[arXiv] 2026-06-29 | Compaction function in stochastic inflation: a \texttt{FOREST} of type I and II primordial black holes
[arXiv] 2026-06-29 | Criteria of isolated weighted homogeneous hypersurface singularities using Logarithmic vector fields
[arXiv] 2026-06-29 | Unbiased Hamiltonian Simulation by Reversing Trotter Error Dynamics
[arXiv] 2026-06-29 | Staged Hybridisation for Visual Quantum Reinforcement Learning via Knowledge Distillation
[arXiv] 2026-06-29 | Primordial Black Holes in a Radiation-Dominated Universe
[arXiv] 2026-06-29 | Small-2 Sets Are Riesz Sets
[arXiv] 2026-06-29 | Wave Optics Effects from Gravitational Wave Propagation Through Dark Matter Halos
[arXiv] 2026-06-29 | Arduino based interferometer stabilizer equipped with a digital lock-in amplifier
[arXiv] 2026-06-29 | The impact of numerical derivatives on radial velocity extraction
[arXiv] 2026-06-29 | Rectangles, triangles and Schrödinger waves
[arXiv] 2026-06-29 | On the Internet, Nobody Knows You're an LLM Bot: Unmasking Web Agents with Multi-Layer Fingerprinting
[arXiv] 2026-06-29 | Golden Hour Divide: Trauma Care Accessibility and Resource Vulnerability in Sri Lanka
[arXiv] 2026-06-29 | Measure-valued valuations on star bodies
[arXiv] 2026-06-29 | The SKA-VLBI Perspective on Radio-Quiet AGN
[arXiv] 2026-06-29 | Thermometry with multilevel transmon probes
[arXiv] 2026-06-29 | Argus: Metric Panoramic 3D Reconstruction for Indoor Scenes
[arXiv] 2026-06-29 | Gappy Reconstruction of Bubbly Flows by Guided Diffusion Models
[arXiv] 2026-06-29 | Peelings and Wrappings of Families of Convex Sets with Applications to Strongly Convex Sets Generated by Random Samples
[arXiv] 2026-06-29 | Swimming in Dark Water: When Cartels Mimic Competition
[arXiv] 2026-06-29 | Deciding the Common Fragment of CTL with Past and LTL
[arXiv] 2026-06-29 | FlexTab: A Flexible Encoder-Decoder Architecture for In-Context Learning Across Diverse Tabular Tasks
[arXiv] 2026-06-29 | T3R: Deeper Test-Time Adaptation for Graph Neural Networks via Gradient Rotation
[arXiv] 2026-06-29 | The CRISTAL Method: Neurosymbolic analysis from AI-synthesized world models
[arXiv] 2026-06-29 | The Squealer: Sensification of model exploration and model misfit
[arXiv] 2026-06-29 | Spandana: Reconciling Strict SLOs with Low Cost under Fine-Grained Load Fluctuations
[arXiv] 2026-06-29 | Optimal Stable Coresets for Geometric Median via Uniform Sampling
[arXiv] 2026-06-29 | Exclusive Dyon Production in High-Energy Collisions
[arXiv] 2026-06-29 | Quantum complexity resource in Gaussian boson sampling: Core structure of the semidefinite program
[arXiv] 2026-06-29 | Pathway variability, coat stiffening and mechanical adaptation during clathrin-mediated endocytosis
[arXiv] 2026-06-29 | Chronos: A Physics-Informed Full-History Framework for Non-Markovian Long-Horizon Manipulation
[arXiv] 2026-06-29 | DialogPII: A multilingual dataset of synthetic dialog transcripts to detect personal information
[arXiv] 2026-06-29 | Research Entity Extraction and Topic Detection from UKRI Grant Proposals
[arXiv] 2026-06-29 | Existence and convergence of the area-constrained elastic flow
[arXiv] 2026-06-29 | An independent equational basis for the variety of reflexive Nelson algebras
[arXiv] 2026-06-29 | Spatially Coherent and Intermittent Alfvénic Fluctuations in Solar Polar Spicules
[arXiv] 2026-06-29 | Exact Helicity-Orbital Coupled Dynamics in Chiral Media: An Optical Dirac Framework for Photonic Rabi Oscillations
[arXiv] 2026-06-29 | VisReflect: Latent Visual Reflection for Fine-Grained Perception in Long Visual Context
[arXiv] 2026-06-29 | Blow-up for weakly superlinear heat equations and blow-up controllability of the linear heat equation
[arXiv] 2026-06-29 | Action on the Sphere: An Interfering Mean-Field Propagator for the Bose-Hubbard Dimer
[arXiv] 2026-06-29 | ActiveVital: Geometry-Aware Embodied Vital Signs Monitoring for Home Healthcare Robots
[arXiv] 2026-06-29 | Differential Invariants of Carrollian Spacetimes
[arXiv] 2026-06-29 | Towards Continual Motion-Language Agents: LoRA Variants for Incremental Motion Understanding and Generation
[arXiv] 2026-06-29 | When Is a Draft Accepted? A Theory of Acceptance in Speculative Decoding
[arXiv] 2026-06-29 | Multi-Agentic System Leveraging Open-Source LLMs to Mitigate Disinformation Threats
[arXiv] 2026-06-29 | Inoculation Adapters: Improved Selective Generalization of Capabilities with Fewer Surprising Backdoors
[arXiv] 2026-06-29 | TACO: Tool-Augmented Credit Optimization for Agentic Tool Use
[arXiv] 2026-06-29 | Semantic-Driven Scale and Spatial Selection for Efficient Cross-Modal Alignment in Referring Remote Sensing Image Segmentation
[arXiv] 2026-06-29 | Stabilizing effect of a background magnetic field on the 2D damped wave-type MHD equations
[arXiv] 2026-06-29 | Complex Phase Structure and Widom line for Euler Heisenberg black holes
[arXiv] 2026-06-29 | How is Water released in Hydrogen-Based Metal Oxide Reduction? Unraveling the Kinetic Bottleneck in Sustainable Metal Production
[arXiv] 2026-06-29 | Solitary waves for a higher order Boussinesq system: Stability and numerical experiments
[arXiv] 2026-06-29 | On symbol-pair distance of repeated-root constacyclic codes of length $4p^s$ over $\mathbb{F}_{p^m}+u\mathbb{F}_{p^m}+u^2\mathbb{F}_{p^m}$
[arXiv] 2026-06-29 | Doubly charmed baryon-light meson scattering in chiral effective theory with lattice constraints
[arXiv] 2026-06-29 | On a two-color partition series and its companions
[arXiv] 2026-06-29 | Operational capabilities and on-sky performance of SAMOS at the completion of science commissioning
[arXiv] 2026-06-29 | The Many-Body Problem of the Data Centre
[arXiv] 2026-06-29 | Comb-enabled spectral-domain image transport through perturbation-prone multimode fibers
[arXiv] 2026-06-29 | A survey of trust-region radius update mechanisms. Part I: First-order analysis
[arXiv] 2026-06-29 | Dynamo: Dynamic Skill-Tool Evolution for Vision-Language Agents
[arXiv] 2026-06-29 | MirrorCode: AI can rebuild entire programs from behavior alone
[arXiv] 2026-06-29 | CORTEX: High-Quality Cross-Domain Organization of Web-Scale Corpora through Ontological Corpus Graph
[arXiv] 2026-06-29 | Spectroscopic performance of the electrical functional models for the eXTP SFA-T detectors
[arXiv] 2026-06-29 | Revenue Guarantee of Anonymous Pricing for Mixed Bidders:Bridging Value and Utility Maximizers
[arXiv] 2026-06-29 | Physically-Constrained Harmonic Separation for Robust Heart and Respiratory Rate Estimation from Wrist Photoplethysmography
[arXiv] 2026-06-29 | Fusion-power amplification by compressive hydrodynamic fluctuations
[arXiv] 2026-06-29 | T2LDM++: A Self-Conditioned Representation Guided Diffusion Model for Realistic Text-to-LiDAR Scene Generation
[arXiv] 2026-06-29 | DNA Language Models: An Assessment of Pre-Training for Fine-Tuning Tasks
[arXiv] 2026-06-29 | Relevance Is Not Permission: Warranted Attention for Value Contributions
[arXiv] 2026-06-29 | Far-ultraviolet flux distribution in Orion and its relation to stellar accretion
[arXiv] 2026-06-29 | Does Verbose Chain-of-Thought Really Help? In-Distribution Evidence that Content, Not Length, Matters
[arXiv] 2026-06-29 | Kinetic energy from the cubic sum rule of the dynamic structure factor
[arXiv] 2026-06-29 | A polynomial moment approach to a rank condition for continuous-stage Runge--Kutta methods
[arXiv] 2026-06-29 | Asymmetric nightside CO2 features, inefficient heat transport, and precise evolutionary constraints: Spectroscopic phase curves reveal the past and present of a white dwarf-brown dwarf binary
[arXiv] 2026-06-29 | LEO-NA Walker Constellation Design with Bi-objective Optimisation Approaches
[arXiv] 2026-06-29 | A lattice Boltzmann scheme with equilateral triangles for diffusion and acoustics
[arXiv] 2026-06-29 | Efficient Retrieval-Augmented Generation via Token Co-occurrence Graphs
[arXiv] 2026-06-29 | Projection Is All You Need: Interpreting Polarization Measurements in the Orion Clouds with Sub-Alfvénic MHD Simulations
[arXiv] 2026-06-29 | ACPO: Agent-Chained Policy Optimization for Multi-Agent Reinforcement Learning
[arXiv] 2026-06-29 | Predictive Objectives Discard Exogenous Control-Relevant Features: A Controlled Mechanistic Study
[arXiv] 2026-06-29 | Neural Subspace Reallocation: Continual Learning as Retrieval-Based Subspace Memory Management
[arXiv] 2026-06-29 | Harder's conjecture and Hermitian automorphic forms
[arXiv] 2026-06-29 | Bridging the Gap Between Image Restoration and Navigational Safety in Hazy Conditions: A New Visibility Estimation Metric for Maritime Surveillance
[arXiv] 2026-06-29 | A note on the transcendental basepoint-free conjecture for Calabi-Yau manifolds
[arXiv] 2026-06-29 | Nonlinear nature of near-equilibrium viscous fluids
[arXiv] 2026-06-29 | Heads, Not Backbones: Output Heads Dominate Architectures on Fat-Tailed Returns
[arXiv] 2026-06-29 | IBRSteG: Learning a Generalizable Steganography Framework for 3D Gaussian Splatting
[arXiv] 2026-06-29 | Multiphase formulation of the Vlasov-Navier-Stokes equations
[arXiv] 2026-06-29 | Analytical approximations of dispersion laws and ultra-complex conductivity diagrams
[arXiv] 2026-06-29 | Are We Measuring Strategy or Phrasing? The Gap Between Surface- and Approach-Level Diversity in LLM Math Reasoning
[arXiv] 2026-06-29 | Stabilizing Extrapolation in Looped Transformers via Learned Stochastic Stopping
[arXiv] 2026-06-29 | Beyond Uniform Experts: Cost-Aware Expert Execution for Efficient Multi-Device MoE Inference
[arXiv] 2026-06-29 | Fluid Antenna-assisted Unsourced ISAC Massive Access
[arXiv] 2026-06-29 | NeuReasoner: Theory-grounded Mapping of Reasoning Elicitation Boundaries
[arXiv] 2026-06-29 | From Extraction to Navigation: Progressive Retrieval with Indirectly Infinite Depth
[arXiv] 2026-06-29 | Compactness of composition operator on weighted Bergman spaces of the polydisc
[arXiv] 2026-06-29 | Risk-Sensitive Learning in Population Games under Extreme Events: Bifurcations and Chaotic Dynamics
[arXiv] 2026-06-29 | SWE-Together: Evaluating Coding Agents in Interactive User Sessions
[arXiv] 2026-06-29 | Wave decay and horizon instability on strongly charged extremal Kerr-Newman black holes
[arXiv] 2026-06-29 | New families of asymptotically optimal codebooks from vectorial dual-bent functions
[arXiv] 2026-06-29 | Data-Efficient Multimodal Alignment for Histopathology-based Molecular Prediction
[arXiv] 2026-06-29 | Heterogeneous Tactile Transformer
[arXiv] 2026-06-29 | A Kleene theorem for free many-sorted algebras
[arXiv] 2026-06-29 | SAGA: Scene-Aware, Goal-Evolving Agents for Long-Horizon CivRealm Strategy Planning
[arXiv] 2026-06-29 | EVAF: A Test-Retest Protocol for Selective Parametric Consolidation
