[2026-07-06 23:07:45] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-05
正在获取论文...
[ACM] 2026-7-5 | JunoBench: A Benchmark Dataset of Crashes in Python Machine Learning Jupyter Notebooks
[IEEE] 2026-7-6 | SMED-YOLO: A Multi-Module Enhanced Algorithm for Infrared Ship Detection in Complex Maritime Environments
[IEEE] 2026-7-6 | CMRAF: Cross-Modal Refinement and Adaptive Fusion Network for Joint Registration and Fusion of Multi-Modal Medical Images
[IEEE] 2026-7-6 | $\mathsf {DARTIC}$: Decentralized Anonymous Reputation at Scale for Trustworthy Crowdsourcing
[IEEE] 2026-7-6 | HVI-CIDNet+: Beyond Extreme Darkness for Low-Light Image Enhancement
[IEEE] 2026-7-6 | TaxEL: Taxonomy-Enhanced Entity Representation Learning for Biomedical Entity Linking
[IEEE] 2026-7-6 | Space-Vector Modulation Scheme for Three-Level Switched-Capacitor Boost Inverter with Constant Common-Mode Voltage
[IEEE] 2026-7-6 | A Novel Deep Reinforcement Learning Approach for UAV Path Planning and Obstacle Avoidance for IoT Data Collection in Complex Urban Environment
[IEEE] 2026-7-6 | Development of a Digital Twin for Construction 3D Printer with Machine Learning Defect Detection Algorithm
[IEEE] 2026-7-6 | Interleaved CRC-Polar Codes with Error Correction-Detection Decoding for Short-Packet URLLC
[IEEE] 2026-7-6 | Efficient Lattice-Based Multi-Designated Verifiers Traceable Ring Signature for Conditional Privacy-Preserving Blockchain-Based Anonymous Reporting
[IEEE] 2026-7-6 | A Brain-inspired Event-triggered Consensus Control Framework Based on Spiking Neural Network for MASs
[ACM] 2026-7-6 | Energy Consumption of Dataframe Libraries for End-to-End Deep Learning Pipelines - A Comparative Analysis
[ACM] 2026-7-5 | Deterministic vs. LLM-Controlled Orchestration for COBOL-to-Python Modernization
[ACM] 2026-7-6 | Empirical Studies on UML Sequence Diagrams in Education: A Systematic Literature Review
[ACM] 2026-7-6 | Towards Improving CS Students' Generative AI Literacy
[ACM] 2026-7-6 | LiveC: A Living Curricula Framework for Agile and Responsive Computing Education
[ACM] 2026-7-6 | Exploring Workforce-Informed Competency Pathways in Computing Education
[ACM] 2026-7-6 | Tikka: An Interpreter and Debugger for a Pedagogical Subset of Haskell
[ACM] 2026-7-6 | Multimodal Analogies for Learning Programming Concepts with Vision-Language Models
[ACM] 2026-7-6 | Club Zero: A Comprehensive Cybersecurity and Networking Fundamentals Simulator
[ACM] 2026-7-6 | Teaching Rendering and Modeling with AR/XR in Computer Graphics Courses
[IEEE] 2026-7-6 | Prognostic-Informed Opportunistic Grouping Maintenance Optimization for Multi-Component Systems
[IEEE] 2026-7-6 | Qualitative&amp;Quantitative Meta Graph Transformer for Marine Diesel Engine Health Monitoring
[IEEE] 2026-7-6 | A Real-Time 3D Avatar System for Immersive Virtual Try-On on Public Displays
[IEEE] 2026-7-6 | An Ensemble-Based Approach for Malware Detection Using Encoded Features
[IEEE] 2026-7-6 | Smart IoT-Based Framework for Wall Crack and Leak Detection Using Cloud-Integrated Lightweight CNN
[IEEE] 2026-7-6 | Heterogeneous Resource Allocation for Deadline-aware Dependent Serverless Applications
[IEEE] 2026-7-6 | SSA-KGQA: A Knowledge Graph Question Answering Method Based on Scheduled Sampling and Adversarial Training
[IEEE] 2026-7-6 | AI-Driven Resilient Cybersecurity Framework for Large-Scale Distributed Systems
[IEEE] 2026-7-6 | Beyond Sparsity: A Signal Purification and Enrichment Framework for Graph Contrastive Learning in Long-Tail Recommendation
[IEEE] 2026-7-6 | An AI-Driven Study of Same-Event News Coverage Using Sentence Embeddings and Cosine Similarity
[IEEE] 2026-7-6 | An Adaptive Weight Optimization Algorithm for Market-Based Data Pricing
[IEEE] 2026-7-6 | Zero-Shot Pseudocolor X-ray Domain Translation for Cross-Device Industrial Collaboration
[IEEE] 2026-7-6 | Analyzing MEV Feasibility and Arbitrage Strategies on Algorand: An Empirical Study
[IEEE] 2026-7-6 | LLM-Augmented Multimodal Recommendation with Dynamic Feature Weighting and Multi-Scale Graph Convolution
[IEEE] 2026-7-6 | Unsupervised attenuation of aliased ground roll in undersampled 3D land seismic data
[IEEE] 2026-7-6 | Context-aware Frequency Fusion Attention Network for Sequential Recommendation
[IEEE] 2026-7-6 | A Human-Machine Collaborative Code Translator from ARM NEON to RISC-V Vector
[IEEE] 2026-7-6 | Dual-Cluster-based Trust Aggregation for Poisoning-Resilient Federated Learning
[IEEE] 2026-7-6 | A Hybrid Approach Using Statistics and Unsupervised Learning to Investigate the Impact of Ionospheric Storm Disturbances on Pre-earthquake Total Electron Content Anomalies
[IEEE] 2026-7-6 | Refining Estimates of Vegetation Water Storage From SMAP L-Band VOD Using GEDI Canopy Height Observations
[IEEE] 2026-7-6 | LLM-ISR:Intent-Driven Sequential Recommendation with Large Language Models
[IEEE] 2026-7-6 | No-reference video quality assessment with guidance of keyframe extraction
[IEEE] 2026-7-6 | Integrating Domain Knowledge into Image Generation Models for Textile Design
[IEEE] 2026-7-6 | VGAE4PG: A semantically preserved unsupervised provenance graph reduction framework
[IEEE] 2026-7-6 | A Regularization-Based Strategy for Balancing Cross-Template Temporal Relation Extraction
[IEEE] 2026-7-6 | AI Lesson Plan Generator via Modular Feature Extraction and Synergistic Knowledge Retrieval Technology for Higher Education
[IEEE] 2026-7-6 | MT-CSD: Multi-Trajectory Consensus Self-Distillation for Robust Web Agents Learning
[IEEE] 2026-7-6 | An Analysis of Cultural Tourism Applications in Smart Cities
[IEEE] 2026-7-6 | GFASRec: Dynamically Capturing User Preferences via Gaussian Embedding and Frequency-Adaptive Filtering
[IEEE] 2026-7-6 | Ensemble Graph Neural Spatial Clustering: A Robust Framework for Spatial Domain Discovery in Spatial Transcriptomics
[IEEE] 2026-7-6 | Wine Quality Estimation System using Deep Neural Network with Reduced Measurable Features
[IEEE] 2026-7-6 | Mitigating Prefetcher-Caused Pollution using Informed Caching Policies for Prefetched Blocks
[IEEE] 2026-7-6 | Infrared - Microwave Synergy to Support Characterisation of Polar Lows
[IEEE] 2026-7-6 | Radio Frequency Interference Resilient Passive Microwave Sensor
[IEEE] 2026-7-6 | Improved NSGA-III Based on Chaotic Mapping for Multi-Objective Flexible Job Shop Scheduling
[IEEE] 2026-7-6 | Cloud Data Lake Architecture for Real-Time 5G KPI Telemetry and Predictive Analytics
[IEEE] 2026-7-6 | Multi-Modal Complementary Web API Recommendation with Attentive Context Modeling
[IEEE] 2026-7-6 | A Ground-Truth-Free Denoising Framework for Real-Time Raman-based Distributed Temperature Sensing in Sapphire Fiber
[ACM] 2026-7-6 | Beyond Energy Consumption: Accurate Emission Factors for Production Sites
[IEEE] 2026-7-6 | IEEE Industrial Electronics Society Publication Information
[IEEE] 2026-7-6 | A Unified Trust-Driven Adaptive Control Framework for Connected and Automated Vehicle Platoons under Hybrid Cyberattacks
[IEEE] 2026-7-6 | 4SQR-CodeScanner: A Zero-Overhead Deep Learning Decoder for Resource-Constrained IoT Edge Devices
[IEEE] 2026-7-6 | LSanS: A Pairing-Free Sanitizable Signature Scheme for Accountable VANET Certificate Derivation
[IEEE] 2026-7-6 | Constructing Radio Map via Spatio-Temporal Learning of Crowdsourced Trajectory Data
[IEEE] 2026-7-6 | Med-SORA: Symptom to Organ Reasoning in Abdomen CT Images
[IEEE] 2026-7-6 | FGCSA-Net: A Novel Framework for Medical Report Generation Via Fine-Grained Feature Preservation and Semantic Alignment
[IEEE] 2026-7-6 | Multi-Key Components Power Losses Collaborative Optimization of MMCs Based on Multi-Degree of Freedom Control
[IEEE] 2026-7-6 | Digital Twins for Visual Inspection of Large Structures: A Systematic Review
[IEEE] 2026-7-6 | Design and Analysis of SAWbot: A Robot Generating Continuous Wave
[ACM] 2026-7-6 | The Process of Collaboratively Creating a Global Computing Education Terminology Resource with GenAI-in-the-Loop
[ACM] 2026-7-6 | Using the Potential of GenAI Tools for Accessibility
[ACM] 2026-7-6 | Caliber: AI-Assisted Infrastructure for Mastery-Based Computer Science Education at Scale
[ACM] 2026-7-6 | MiLLy: Embedding Pedagogical Agents inside Assignments
[ACM] 2026-7-5 | Executable but Unlearnable: Designing Code That Resists LLM-Based Learning
[ACM] 2026-7-5 | Do Agents Dream of Root Shells? Partial-Credit Evaluation of LLM Agents in Capture the Flag Challenges
[ACM] 2026-7-6 | Making Sustainability Visible in Agile Practices: A Vision for Team-Level Design Decision-Making
[IEEE] 2026-7-6 | AI-Assisted Stack Break-in for Accelerated Manufacturing of Hydrogen Fuel Cells
[IEEE] 2026-7-6 | Meet the Shannon Awardee at ISIT2025: An Interview with Peter W. Shor
[IEEE] 2026-7-6 | Securing low-cost flexible devices using the TinyJAMBU cipher for authenticated encryption
[IEEE] 2026-7-6 | SpectrumAI: A Methodology for Large-Scale Image-Based RF Spectrum Datasets for AI Applications
[IEEE] 2026-7-6 | Data and Physics Co-Driven Prediction Method for Acoustic Field Uncertainty
[IEEE] 2026-7-6 | A Federated Learning Method Driven by Multi-level Alignment and Adaptive Aggregation
[IEEE] 2026-7-6 | A Novel LLM-based Interpretable Intrusion Detection Framework for the Internet of Things (IoT)
[IEEE] 2026-7-6 | Task Allocation for Scalable Edge Computing with Divisible Group Role Assignment
[IEEE] 2026-7-6 | MFSA-Net: Multi-Frequency and Spatial Aggregation Network for Remote Sensing Image Semantic Segmentation
[IEEE] 2026-7-6 | YOLO-GBPA: Enhanced YOLO11 with Gated Bilinear Pyramid Aggregation for Dust Detection
[IEEE] 2026-7-6 | TPER: Traceable Privacy-Enhanced Event Reporting System with Truth Discovery in IoV
[IEEE] 2026-7-6 | Multi-Objective Battery Energy Storage Strategy for Wind Curtailment Mitigation and Revenue Stacking
[IEEE] 2026-7-6 | MovieTeller: Tool-augmented Movie Synopsis with ID Consistent Progressive Abstraction
[IEEE] 2026-7-6 | A Multi-Task Model for Harness Violation Detection in Aerial Work
[IEEE] 2026-7-6 | Spatio-Temporal Hybrid Deep Reinforcement Learning for Dependent Task Offloading Optimization in Mobile Edge Computing
[IEEE] 2026-7-6 | Balancing Effectiveness and Structural Complexities in Scheduling Heuristics via Multi/Many-objective Multiform Genetic Programming
[IEEE] 2026-7-6 | A Physics-Informed Dual-Stem Neural Network With Data Generation Engine for Label-Scarce and Sparse-Data Inverse Problems
[IEEE] 2026-7-6 | Alpha-Gradient Guided Anisotropic Refinement for RGB-D Depth Maps
[IEEE] 2026-7-6 | A Robust Visual Perception Method Based on the IF-GR Framework for Substation Inspection Robots
[IEEE] 2026-7-6 | Topology Sensing in Flying Ad Hoc Networks via Robust Multi-Sensor Data Fusion
[IEEE] 2026-7-6 | A Framework Guiding Digital Maturity and Interoperability Journey Towards Smart Manufacturing
[IEEE] 2026-7-6 | ContourFD-Net: A Finite-Difference-Driven Contour Attention Network for Efficient Medical Image Segmentation on Edge Devices
[IEEE] 2026-7-6 | Game-Theoretic and Inverse Reinforcement Learning-Based Control for Vehicle Formation Under DoS Attacks
[IEEE] 2026-7-6 | A Security Analysis of an Outsourcing Scheme for Generalized Eigenvalue Decomposition
[IEEE] 2026-7-6 | FAST-Sync: Fast Group Synchronization for any Matrix Lie Group
[IEEE] 2026-7-6 | Improving Temperature and Emissivity Separation Algorithm for Thermal Infrared Hyperspectral Remote Sensing: Considering Ozone Emission Effects
[IEEE] 2026-7-6 | MLC: A Hierarchical Correlation-Based Application Traffic Identification Method
[IEEE] 2026-7-6 | A Theoretical Feedback Mechanism with Reward Shaping for Reinforcement Learning-based Production Scheduling
[IEEE] 2026-7-6 | A Blockchain-Based Scheme for Sensitive Data Sharing with Automated Access Control and Multi-Dimensional Ciphertext Search
[IEEE] 2026-7-6 | SchemaAware-Cache: A Context- and Schema-Aware Semantic Caching Framework for Efficient Text-to-SQL Systems
[IEEE] 2026-7-6 | Distributed Finite-time Game-based Adaptive Secure Optimal Secondary Control for AC Microgrid under Malicious Network
[IEEE] 2026-7-6 | Predictive Control of a Medical Plasma Jet for CO Production and Temperature Tracking
[IEEE] 2026-7-6 | Non-Line-of-Sight Liquid Fingerprinting: A Scalable Deep Learning Framework for RFID Sensing
[IEEE] 2026-7-6 | MAPT: A Dynamic Recommendation Framework Based on Multi-Agent Collaboration and Prompt Self-tuning
[IEEE] 2026-7-6 | EEG Signal Processing for Anxiety Detection Using Selective Spectral Coding
[IEEE] 2026-7-6 | Tool Context Adaptation for Agentic Retrieval-Augmented Generation
[IEEE] 2026-7-6 | TEAMMix: Taxonomy Enrichment Augmentation and Minority-augmented Mixing Strategy for LLM-enhanced Weak-Supervised Hierarchical Text Classification
[IEEE] 2026-7-6 | Aquavac: AI-Driven Autonomous Waste Collection for Enhanced Water Sustainability
[IEEE] 2026-7-6 | IoT Framework for Realtime Return Loss Data Monitoring of Copper Tape Patch Antenna Using Cloud and Android Device
[IEEE] 2026-7-6 | Hybrid Genetic Algorithm and XGBoost Framework for Price Optimization with Cross-price Elasticity
[IEEE] 2026-7-6 | Real-Time Tomato Leaf Disease Detection Using CNN and Web-Based Deployment
[IEEE] 2026-7-6 | Design and Verification of Microwave Hyperspectral Atmospheric Sounder on the China's New Generation Meteorological Satellite
[IEEE] 2026-7-6 | Heirarchical Multiview Dense Ensemble Model for Parkinson’s disease prediction on T2-weighted MRI
[IEEE] 2026-7-6 | Meta-Learning-Driven Adaptive Neural Architectures for Real-Time Decision Intelligence
[IEEE] 2026-7-6 | Research on a Representation Method for TCM Pharmaceutical Service Resources based on Heterogeneous Graph Networks
[IEEE] 2026-7-6 | Fake Detection Based on Balanced Attention and Information Guidance for Collaborative Image Processing Tasks
[IEEE] 2026-7-6 | Einstein Chess Game Algorithm Based on Adaptive Convolution-Channel Interaction Attention and Relation-Aware Dynamic Mixture Attention
[IEEE] 2026-7-6 | Hyperspectral Image Classification Using Partcile Swarm Optimization and Deep Convolution Neural Network
[IEEE] 2026-7-6 | Hybrid Deep Feature Fusion and Meta-Ensemble Learning for DGA Domain Detection
[IEEE] 2026-7-6 | Transfer Learning - Based Automated Identification of Retinal Diseases from Fundus Images
[IEEE] 2026-7-6 | Design of a UAV-Based Visual Monitoring System for Port Air Pollution
[IEEE] 2026-7-6 | Virtual Screening And Molecular Dynamics Analysis Of Natural Inhibitors For Liver Cirrhosis With Emerging AI Applications
[IEEE] 2026-7-6 | A Causality-Aware Vision–Language System for Detection of Non-Verbal Harassment in Public Transport
[IEEE] 2026-7-6 | Comprehensive Analysis of Path Planning Algorithms for Autonomous Navigation of Humanoid Robots
[IEEE] 2026-7-6 | Secure Edge Computing Frameworks for IoT Environments
[IEEE] 2026-7-6 | Real-Time Attendance Tracking Using Ai And Yolo
[IEEE] 2026-7-6 | Lightweight Instance Segmentation for Stacked Goods Inventory
[IEEE] 2026-7-6 | A Comparative Analysis of Social Media Review Behavior in Japan and Vietnam Focusing on UI/UX and Security Issues
[IEEE] 2026-7-6 | Redundancy-Aware Federated Unlearning with Reverse and Selective Distillation
[IEEE] 2026-7-6 | Estrogen Endocrine Disruptors-Driven Cervical Cancer Subtypes: Unraveling Heterogeneity Through Multi-Omics Integration of Estrogen and Immune Profiles
[IEEE] 2026-7-6 | AI-Driven Integration of Imaging, Genetic, and Epigenetic Signals for Alzheimer’s Disease Diagnosis
[ACM] 2026-7-6 | Diagram-Based Learning in Computing Education with Multimodal Language Models
[ACM] 2026-7-6 | Re-Engaging Near-Completion Informatics Students
[ACM] 2026-7-6 | Why Near-Completion Informatics Students Do not Graduate: A Mixed-Methods Study
[ACM] 2026-7-6 | A Framework for Integrating Generative AI in CS Courses
[ACM] 2026-7-6 | Oral Examinations in CS - A Systematic Literature Map
[ACM] 2026-7-6 | 3DGS in Web Gaming: The Shadow of the Czar
[ACM] 2026-7-6 | The Impact of External Libraries on Software Energy Efficiency and Sustainability
[ACM] 2026-7-6 | An Empirical Study of Energy Efficiency Monitoring for Container-Based Data Exchange Systems
[IEEE] 2026-7-6 | Towards Energy-Aware LLM Inference for Text2SQL workflows through Context-Driven Model Routing
[IEEE] 2026-7-6 | Adaptive MTI–Enhanced Range–Phase NHA for Robust FMCW Radar Micro–Displacement Sensing in Dynamic Environments
[IEEE] 2026-7-6 | Revisiting Adversarial Robustness in Large-Scale 3D Vision-Language Models
[IEEE] 2026-7-6 | Blockchain-Assisted Privacy-Preserving and Robust Federated Learning in Edge Computing
[IEEE] 2026-7-6 | Graph-Enhanced Critic Learning for Cooperative Spectrum Access in Multi-UAV Cognitive Radio Networks
[IEEE] 2026-7-6 | FedGMI: Generative Model-Driven Federated Learning for Probabilistic Mixture Inference
[IEEE] 2026-7-6 | Battery Management for Lifelong Operation of Warehouse Robots under Dynamic Demand
[IEEE] 2026-7-6 | Distributed Nash Equilibrium Seeking for Constrained Zero-sum Games with Time-varying Unbalanced Graphs
[IEEE] 2026-7-6 | Single-Round Privacy-Preserving Emergency Alert Protocol for High-Speed V2X Communications
[IEEE] 2026-7-6 | Cooperative Covert Communication and Task Offloading for AI-Empowered Multi-UAV Networks
[IEEE] 2026-7-6 | M2-SAM2: Rethinking SAM2 with Mamba-MoE for Referring Video Object Segmentation
[IEEE] 2026-7-6 | Multiscale and Multiphysics Numerical Analysis of Enteric Nervous Signal Sensing in Wireless Capsule Endoscopy Applications
[IEEE] 2026-7-6 | Exact Cost-Increment Formula for Optimal Control of Semilinear Evolution Equations
[IEEE] 2026-7-6 | Flexible X-Band Sensing Phased Array With Integrated Strain Sensors for Curvature-Compensated Beam Steering
[IEEE] 2026-7-6 | Federated Unlearning via Sparsity-Aware Gradient Ascent
[IEEE] 2026-7-6 | Spatio-Temporal Aware Resource Allocation for V2X Communications via Multi-Agent Deep Reinforcement Learning
[IEEE] 2026-7-6 | Method for Constructing a Data-driven State Diagnosis Model for New Energy Power Generation Equipment
[IEEE] 2026-7-6 | Table of Contents
[IEEE] 2026-7-6 | ICP-Net: Exploiting Iterative Consistency of Pseudo-Labels for Cross-Domain Object Detection in Remote Sensing
[IEEE] 2026-7-6 | Photonics-assisted mmWave Communication System Based on Constant Envelope OTFS
[IEEE] 2026-7-6 | High-capacity reversible data hiding in shared images using difference preservation
[IEEE] 2026-7-6 | Confirmation Bias in Large Language Models: Risks for Clinical Decision Support Systems
[IEEE] 2026-7-6 | Federated Learning with Enhanced Feature Diffusion
[IEEE] 2026-7-6 | Nanoscale-Featured Integrated Photonic Devices in Harsh Radiation Environments
[IEEE] 2026-7-6 | Model Pirating and Backdoor Injection Attacks in Data-Free Setting
[IEEE] 2026-7-6 | Enhancing Medical Visual Question Answering with Keyword-Region Mapping and Feature-Fusion Consistency Analysis
[IEEE] 2026-7-6 | Sequence Recommendation Based on Graph Convolutional Information Fusion and Feature Enhancement
[IEEE] 2026-7-6 | MSF-JDE: Identity-Aware Joint Detection and Embedding for Real-Time Multi-Object Tracking
[IEEE] 2026-7-6 | ELM-Enhanced PSO Algorithm for Global Optimization
[IEEE] 2026-7-6 | Safe: a Semantic-Aware Flexible Evaluation Framework for Large Language Models-Based Sentiment Analysis
[IEEE] 2026-7-6 | Gesture-Controlled Hospital Bed Using IoT for Patient-Centric Care
[IEEE] 2026-7-6 | Architectural Design and Key Technologies of Cross-Domain Heterogeneous Computing Power Resource Interconnection Platform
[IEEE] 2026-7-6 | Back Cover
[IEEE] 2026-7-6 | Eye-Tracking-Based Modeling of Emotional and Engagement States in Human–Computer Interaction
[IEEE] 2026-7-6 | Scene Graph Generation Based on Language Model Assistance
[IEEE] 2026-7-6 | Race Condition Attack on E2 Subscription in O-RAN Near-RT RIC
[IEEE] 2026-7-6 | Closing the Affective Loop in Human-Robot Conversation with Multimodal Affect-Aware Dialogue System and Adaptive Speech Expressiveness
[IEEE] 2026-7-6 | Bootstrapped Unseen Prototypes for Few-Shot Inspired Generative Zero-Shot Learning
[IEEE] 2026-7-6 | Focus Preservation Index: A Perceptually Aligned Metric for Multi-Focus Image Fusion Evaluation
[IEEE] 2026-7-6 | Deep Learning-Based Abnormal Signal Detection and Dynamic Control of Frequency Selective Surfaces
[IEEE] 2026-7-6 | MotionSentinel: ICU Patient Action Recognition Based on an Improved SlowFast Network
[IEEE] 2026-7-6 | Comparative Analysis of Machine Learning Algorithms for Spine Condition Classification: A Multi-Strategy Evaluation Framework
[IEEE] 2026-7-6 | Uncertainty-guided and Progressive Learning for Semi-supervised Histopathological Image Segmentation
[IEEE] 2026-7-6 | LKED: Prompt-Tuning Large Language Models for Knowledge Graph Error Detection and Correction
[IEEE] 2026-7-6 | Multi-Modal Diffusion Network for Medical Image Classification via Imaging and Clinical Data Fusion
[IEEE] 2026-7-6 | MedRex-CMG: Medical Retrieval-Enhanced Cross-Modal Generative VQA with CNN Local Features
[IEEE] 2026-7-6 | A Hybrid Mamba-Transformer Multi-Scale Method for Occupancy Prediction in Electric Vehicle Charging Stations
[IEEE] 2026-7-6 | A Hybrid AI and Blockchain-Enabled Zero-Trust Security Framework for Cloud, Edge, and IoT Systems
[IEEE] 2026-7-6 | Efficient Indexing CP-ABE Mobile Healthcare Data Sharing Scheme with Policy Hiding
[IEEE] 2026-7-6 | Adaptive Hybrid Machine Learning Model for Real-Time Intrusion and Anomaly Detection in Vanet Environments
[IEEE] 2026-7-6 | Design and Performance Analysis of a 4-Element 28 GHz MIMO Antenna for 5G mmWave Applications
[IEEE] 2026-7-6 | AI-Assisted Dynamic Treatment Recommendation System for Chronic Conditions
[IEEE] 2026-7-6 | LLM-Enhanced Probabilistic Forecasting of Multivariate Time Series Using Parallel Spatio-Temporal Encoding
[IEEE] 2026-7-6 | A Two-Stage Collaborative Approach in Lung CT Image Analysis for Clinical Decision Support
[IEEE] 2026-7-6 | Cross-Domain Trajectory Design and Resource Management for UAV-assisted MEC by Federated Multi-Agent Deep Reinforcement Learning
[IEEE] 2026-7-6 | GEFS:APT Tactic/Technique Recognition via Generative and Evolutionary Few-Shot Learning
[IEEE] 2026-7-6 | A Game Theory Dynamic Incentive Optimization Model for Decentralized Federated Learning
[IEEE] 2026-7-6 | TAHOA-HGNN: Temporal-Aware High-Order Attention Hypergraph Neural Network for APT Detection
[IEEE] 2026-7-6 | HERA: Fusing Deliberative Reasoning and Adaptive Hypernetworks for Knowledge-Enhanced Multimodal Sentiment Analysis
[IEEE] 2026-7-6 | EviRFDBind: A Framework for Trustworthy Binding Site Prediction by Decoupling Features and Evidential Uncertainty
[IEEE] 2026-7-6 | Permission-Based Risk-Aware Multigroup Multirole Assignment
[ACM] 2026-7-5 | AgenticFlict: A Large-Scale Dataset of Merge Conflicts in AI Coding Agent Pull Requests on GitHub
[ACM] 2026-7-5 | Neural-Symbolic Multi-objective Optimization for Performance-Aware ORM Database Design
[ACM] 2026-7-5 | How Robustly Do LLMs Understand Execution Semantics?
[ACM] 2026-7-6 | AI-Generated Traces for Novice Programmers: Learning Effects and Learner Differences in a Multi-Institutional Study
[ACM] 2026-7-6 | Q-Aware: A Lightweight Crosscutting Track for Preparing Quantum-Aware Software Developers
