[2026-07-22 23:03:15] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-21
正在获取论文...
[arXiv] 2026-07-21 | DBMol: Design of High-Affinity, Target-Specific Small Molecules through Structure Prediction Models
[arXiv] 2026-07-21 | 3d SUSY enhancement with non-trivial Coulomb branch via 4d $\mathcal{N}=2$ SCFT
[arXiv] 2026-07-21 | A Coordination Theory of NHS Whistleblowing Failure
[arXiv] 2026-07-21 | Resolving the $T_{cc}^+$ with $π$ Exchange from Lattice QCD
[arXiv] 2026-07-21 | Spectral and Geometric Stability for the Reciprocal Sum of Neumann Eigenvalues
[arXiv] 2026-07-21 | MedDDC-Eval: Diagnosis-Decoupled Evaluation of Multi-Turn Medical Consultation Agents
[arXiv] 2026-07-21 | DobicVLM: Aligning Chest X-Ray Report Generation with Clinically-Grounded Programmatic Rewards via Group Relative Policy Optimization
[arXiv] 2026-07-21 | Mi-Memory: A Lifecycle Memory Framework for Personal AI
[arXiv] 2026-07-21 | Influence of local and global solar magnetic fields on medium-term forecasting of the number and parameters of coronal mass ejections
[arXiv] 2026-07-21 | All-angles bisection of polygon area
[arXiv] 2026-07-21 | Variational meta-learning inference for low dimensional neural system identification
[arXiv] 2026-07-21 | Build-Authorized Evidence for Opaque Calls: A Fail-Closed Rewrite-Authority Boundary
[arXiv] 2026-07-21 | Border Bases and Border Basis Schemes
[arXiv] 2026-07-21 | Bose-Einstein Condensates in Time Dependent Traps
[arXiv] 2026-07-21 | The Twist Decomposition of Serial Robots Under Lower-Mobility Tasks
[arXiv] 2026-07-21 | NGPS: GPS-Denied Aerial Geo-Localization and 2.5D Reconstruction via Deep Satellite Image Matching and Multi-Rate Sensor Fusion
[arXiv] 2026-07-21 | Phase equilibria in MnSb2Te4-GeSb2Te4 system and magnetic properties of Mn1-xGexSb2Te4 solid solutions
[arXiv] 2026-07-21 | Learning Explicit Physical Parameter Control and Benchmarking for Video Generation
[arXiv] 2026-07-21 | Circuit Claims Depend on What Is Extracted and How It Is Compared
[arXiv] 2026-07-21 | On the Complexity of Graph Edit Distance in Restricted Graph Classes
[arXiv] 2026-07-21 | Stretched exponential asymptotics for bases of triangular bootstrap percolation
[arXiv] 2026-07-21 | Switchable selective backscatter modulation via the Kerker effect
[arXiv] 2026-07-21 | On Diophantine $m$-tuples related to primitive elements of finite fields
[arXiv] 2026-07-21 | Flexible Intelligent Metasurface-Aided ISAC: User Fairness Optimization and Performance Evaluation
[arXiv] 2026-07-21 | A sublinear bound for the regularity of subspace arrangements
[arXiv] 2026-07-21 | Deterministic cascade coarsening in a Bistable Gene Toggle model
[arXiv] 2026-07-21 | Data-aided Channel Estimation and Sensing With Sparse Bayesian Learning for AFDM-ISAC System
[arXiv] 2026-07-21 | Electrically-pumped near-infrared VCSEL epitaxially-grown on Si
[arXiv] 2026-07-21 | On Generalized (Conformal) Killing Tensors
[arXiv] 2026-07-21 | Learning sufficient low-dimensional structures through conditional optimal transport
[arXiv] 2026-07-21 | Regime-Aware Physics-Guided Early Warning of Lithium-Ion Battery Thermal Runaway Using Thermo-Mechanical Signals
[arXiv] 2026-07-21 | Muon pair production in electron-positron collisions close to threshold in the presence of a strong laser field
[arXiv] 2026-07-21 | Pose-Parameterized Motion Planning and CBF-QP Self-Collision Filtering for a Long-Reach Drilling Boom
[arXiv] 2026-07-21 | The isomorphism problem for random generalized Baumslag-Solitar groups with many edges
[arXiv] 2026-07-21 | Defrosting the Born-Infeld dyonic frozen star with tachyon matter: spectrum of oscillations
[arXiv] 2026-07-21 | Torsionful Killing-Yano Forms under T-Duality: Transformation Conditions and Emergent Isometries
[arXiv] 2026-07-21 | Automated higher-order predictions for ultra-peripheral collisions with full impact-parameter dependence
[arXiv] 2026-07-21 | On the Computational Complexity of Local and Global Covering Numbers
[arXiv] 2026-07-21 | Evaluating medical AI under missing information: same-provider judges and human raters change apparent safety
[arXiv] 2026-07-21 | Wave chirality reversal without passing achirality
[arXiv] 2026-07-21 | VirtualSet: Typed Ontology Worlds as an LLM Generation Target for Grounded Queries and Guarded Decisions
[arXiv] 2026-07-21 | Cloud failure and cyber insurance: calibration of stress scenarios and diversification
[arXiv] 2026-07-21 | A method for energy and radius reconstruction with simulated charge information in a ton-scale liquid scintillator detector like Taishan Antineutrino Observatory
[arXiv] 2026-07-21 | Beyond Transformers: Linear Attention Policy for Open-Vocabulary Object Goal Navigation
[arXiv] 2026-07-21 | Moving Alphabet: A Controlled Study of Training Data for Text-to-Video Generation
[arXiv] 2026-07-21 | Conductivity of the Landau levels of two-dimensional Dirac cones and gapped nodal-rings in the quantum limit under impurity-potentials
[arXiv] 2026-07-21 | Cross-Modal UAV Object Tracking: State-Aware Representation Learning and A Unified Benchmark
[arXiv] 2026-07-21 | Bounding Boxes to Improve Small Language Model Performance on Vision-Based Grading Tasks
[arXiv] 2026-07-21 | Weakly Supervised Pathology-Informed Representation Learning for PET-Based Content Retrieval of Intra-Tumour Heterogeneity
[arXiv] 2026-07-21 | Semi-Analytical Model for the Evolution of Stellar Binaries in the Empty Loss Cone of Massive Black Holes
[arXiv] 2026-07-21 | Polynomiality of Stretched Schubert Structure Constants and Key Coefficients
[arXiv] 2026-07-21 | Regularity and depth of binomial ideals arising from combinatorics
[arXiv] 2026-07-21 | How defensive driving enhances driving safety: A driving simulator study on drivers' defensive driving behaviors
[arXiv] 2026-07-21 | MVP-Tac: A Miniaturized Dual-Modal Vision and Photoelastic Tactile Sensor for Robot-Assisted Minimally Invasive Surgery
[arXiv] 2026-07-21 | The Price of Hidden Curvature: An $\widetildeΩ (d^{5/4} \sqrt{T})$ Lower Bound for Bandit Convex Optimization
[arXiv] 2026-07-21 | Time-Domain Axion Searches with Magnetic White Dwarfs
[arXiv] 2026-07-21 | A Reexamination of Noise-Driven Robustness Evolution in Gene Regulatory Networks
[arXiv] 2026-07-21 | Semantic-Aware Data-Aided Channel Estimation with Large Language Models for MIMO Systems
[arXiv] 2026-07-21 | End-to-end Conditional Diffusion for Realistic and Controllable Visual Traffic Scenario Generation
[arXiv] 2026-07-21 | Dead Reckoning: Counting Your Customers Who Never Say Goodbye
[arXiv] 2026-07-21 | A common finite-density charge-symmetry-breaking response in mirror displacement energies and charge radii
[arXiv] 2026-07-21 | On a certain arithmetic function defined via Bernoulli numbers
[arXiv] 2026-07-21 | A Self-Evolving Default Action for Cooperative Tasks with Continuous Action Space
[arXiv] 2026-07-21 | The XMM-Newton Line Emission Analysis Program (X-LEAP) III: Earth's Magnetospheric X-ray Emission Revealed by 22-Year XMM-Newton Observations
[arXiv] 2026-07-21 | Quantum sensing of low-frequency electric signal enabled by modulated auxiliary field in Rydberg atoms
[arXiv] 2026-07-21 | LFV decays in a 3-3-1 model with singlet leptoquarks
[arXiv] 2026-07-21 | Estimating stellar metallicities from Gaia DR3 XP data using LAMOST DR10
[arXiv] 2026-07-21 | What the Waveform Knows: Transparent-first Speech and Audio Intelligence with Caption Studio
[arXiv] 2026-07-21 | Geometry-Induced Hodge Stars on Rips and Dowker--Rips Complexes
[arXiv] 2026-07-21 | Semantic Primes as Explanans for Emotion in Large Language Models
[arXiv] 2026-07-21 | Quadrature magnetoresistance scaling reflects linear field dependence rather than strange metallicity
[arXiv] 2026-07-21 | Joint Synchronization and Sensing in Networked ISAC via Structured Canonical Polyadic Decomposition
[arXiv] 2026-07-21 | Free energy landscape of Dense Associative Memory
[arXiv] 2026-07-21 | Error Bound and Stability Analysis for a Randomized Singly Diagonally Implicit Runge-Kutta Method
[arXiv] 2026-07-21 | Rank-Based Estimation of U-Shaped Biomarker Risk Curves and Critical Points for Time-to-Event Outcomes
[arXiv] 2026-07-21 | Weighted Inverse Lax-Wendroff Boundary Treatment of Discontinuous Galerkin Methods for Conservation Laws
[arXiv] 2026-07-21 | RoboInter1.5: A Holistic Intermediate Representation Suite for Embodied World Modeling and Robotic Manipulation
[arXiv] 2026-07-21 | Stochastic template banks for GW searches using low-discrepancy sequences
[arXiv] 2026-07-21 | Text Template Tokens Are Implicit Semantic Registers in Diffusion Transformers
[arXiv] 2026-07-21 | Quantum-Enhanced Multi-Objective Optimization
[arXiv] 2026-07-21 | Provable diffusion-based posterior sampling for linear inverse problems via DDIM
[arXiv] 2026-07-21 | Appearance Pointers -- Multimodal Region Control of Diffusion Transformers
[arXiv] 2026-07-21 | Improved Strongly Polynomial Work-Span Tradeoffs for Directed Single Source Shortest Paths
[arXiv] 2026-07-21 | ExpertVerse: A General-Purpose Benchmark for Expert-Level Reasoning in Knowledge-Intensive Visual Synthesis
[arXiv] 2026-07-21 | On the $\mathcal{A}$-transcendence of a Champernowne-type constant
[arXiv] 2026-07-21 | Efficient strain-space hyperreduction in large-deformation solid mechanics
[arXiv] 2026-07-21 | SoK: Adversarial Robustness of the Variational Quantum Eigensolver via Red-Teaming
[arXiv] 2026-07-21 | Staypoint Detection from Noisy Trajectory Data [Experiment Paper]
[arXiv] 2026-07-21 | Complete Hierarchy of Nonrelativistic Odd-Parity Spin Splitting in Collinear Magnets
[arXiv] 2026-07-21 | LLM Detection as an Intervention: Downstream Impact under Strategic User Behavior
[arXiv] 2026-07-21 | The complete massless singlet spectrum in the free-field construction of heterotic strings on Calabi--Yau orbifolds
[arXiv] 2026-07-21 | A general estimation framework for continuous-variable systems
[arXiv] 2026-07-21 | Steady States of a Single Trapped-Ion Spin Coupled to an Engineered Non-Markovian Bath
[arXiv] 2026-07-21 | Stochastic Multi-Objective Kinodynamic Planning Against Adversaries
[arXiv] 2026-07-21 | Calibration of the AdvancedVirgo+ Gravitational Wave Detector and Reconstruction of the Detector Strain h(t) during the Observing Run O4
[arXiv] 2026-07-21 | Toward Auditable Fraud Detection: Combining Graph Features, Model Explanations, and Agentic Case Investigation
[arXiv] 2026-07-21 | A Local Macroscopic Conservative Low-Rank Discontinuous Galerkin Method for the Vlasov-Poisson Equation with Dougherty-Fokker-Planck Collisions
[arXiv] 2026-07-21 | A Flexible Sparsity-Aware FPGA Accelerator with Column-Wise Compression for Efficient CNN Inference
[arXiv] 2026-07-21 | PTSan: A Practical Memory Safety Sanitizer for C/C++ with Pointer-Object Authority
[arXiv] 2026-07-21 | Determinantal Point Process Approximation under Positive and Negative Dependence
[arXiv] 2026-07-21 | AutoIndex: Learning Representation Programs for Retrieval
[arXiv] 2026-07-21 | GARTFIMA Models: A Class of Observation-Driven Models with Tempered Fractional Dynamics
[arXiv] 2026-07-21 | Magnetic exchange interactions in the molecular orbital spin system NaV2O5 from a distributed moment point of view
[arXiv] 2026-07-21 | Biological Amnesia in ICU Time-Series Prediction: A Drift-Adaptive Two-Stream Architecture with Temporal Retrieval
[arXiv] 2026-07-21 | Gaussian Boson Sampling for Asset Clustering in Statistical Arbitrage Portfolios
[arXiv] 2026-07-21 | Sarus: Privacy-Preserving Multi-Vendor Perception Fusion via Homomorphic Encryption
[arXiv] 2026-07-21 | Deep learning-based prediction of time-resolved adhesive forces in viscoelastic Hertzian contacts
[arXiv] 2026-07-21 | Integrable multi-species SSEP with reactive particle species
[arXiv] 2026-07-21 | Lower Bounds on Spectral Gaps of Parent Hamiltonians via Tensor Networks
[arXiv] 2026-07-21 | FinanceComplexQA: Benchmarking Agentic Reasoning on Industrial-grade Financial Documents
[arXiv] 2026-07-21 | Stacky Framework for the Classification of Singular Fibers in Fibered Surfaces
[arXiv] 2026-07-21 | Integral representation of the neutrino mass-squared differences
[arXiv] 2026-07-21 | Agents in the Wild: Where Research Meets Deployment
[arXiv] 2026-07-21 | Refined parameters, formation, and dynamical stability of the wild exoplanet system K2-312=HD 80653
[arXiv] 2026-07-21 | ResearchArena: Evaluating Sabotage and Monitoring in Automated AI R&D
[arXiv] 2026-07-21 | Dark matter searches with a 13 meV threshold superconducting sensor array
[arXiv] 2026-07-21 | Eccentricity-Constrained CNN Training Reveals Adaptive Information Coding Around the Visual Field
[arXiv] 2026-07-21 | ERank in Latent Space as an Image-Complexity and Richness Measure
[arXiv] 2026-07-21 | Distributed Delay-Based BIST for Mixed-Signal Circuits in Flexible Electronics
[arXiv] 2026-07-21 | Riemannian Deep Learning:Modules, Networks, and Geometries
[arXiv] 2026-07-21 | Real-time optimal control with shallow recurrent decoder networks
[arXiv] 2026-07-21 | Optomechanical transfer factors for scattered light noise estimations in the beamtubes of ground-based gravitational wave detectors
[arXiv] 2026-07-21 | Gravitational wave echoes as probes of the maximum mass of strange stars in quadratic curvature-matter coupled gravity
[arXiv] 2026-07-21 | Graph-Based Agentic AI with LangGraph: Workflow Pathways for Long-Running Stateful Business Processes
[arXiv] 2026-07-21 | Metamodel-based methodology for uncertainty propagation and global sensitivity analysis of tailings dam-breach flows
[arXiv] 2026-07-21 | Compactification of the fifth Painlevé foliation
[arXiv] 2026-07-21 | A complete solution to the Boots-Royle/Cao-Vince conjecture
[arXiv] 2026-07-21 | PathAgentBench: Benchmarking Evidence-Seeking Vision-Language Models on Whole-Slide Pathology Image
[arXiv] 2026-07-21 | Basic properties of kappa classes
[arXiv] 2026-07-21 | Variational Bayesian Sparse Negative Binomial Regression
[arXiv] 2026-07-21 | Indexing Range Maximum-Sum Segment Queries with Offsets
[arXiv] 2026-07-21 | Raman-Assisted Multiband Nonlinear Frequency-Conversion Network in a High-Q LTOI Microdisk
[arXiv] 2026-07-21 | Binary quadratic forms and elliptic curves with analytic rank one
[arXiv] 2026-07-21 | Find Before You Fine-Tune: A Diagnostic Study of Small LLMs for Cybersecurity QA
[arXiv] 2026-07-21 | Basic Zero Divisor Mathematics (I)
[arXiv] 2026-07-21 | An Efficient Fault-Tolerance Scheme for CKKS Computation on CPUs
[arXiv] 2026-07-21 | Summary of DCASE 2026 Task 5: Audio-Dependent Question Answering
[arXiv] 2026-07-21 | $\tilde{O}$ptimal Algorithm for 2-Approximate All Pair Shortest Paths -- almost
[arXiv] 2026-07-21 | A Reversible Continuous-Variable Photonic Memory Architecture Based on Displacement-Evolved Coherent-State Dynamics
[arXiv] 2026-07-21 | Universal scaling between magnetar field and initial spin period for short gamma ray bursts
[arXiv] 2026-07-21 | Admissible bases and generic lattice ideals
[arXiv] 2026-07-21 | The Price of Quietness: How a Pandemic Affects City Dwellers' Response to Road Traffic Noise
[arXiv] 2026-07-21 | PeakFlow: Peak-Guided Coarse-to-Refined Modeling for EEG-Based Dynamic Affective Trajectory Prediction
[arXiv] 2026-07-21 | Level structures and cyclic power operations on the homology of $\mathbb{E}_\infty$ spaces
[arXiv] 2026-07-21 | Strong Colouring of the Qualitative Independence Hypergraph $3\text{-}QI(11,2)$
[arXiv] 2026-07-21 | Fusion Embedding: A Unified Embedding Space for Text, Image, Video, and Audio
[arXiv] 2026-07-21 | Morphology-spin connection in the SAMI Galaxy Survey
[arXiv] 2026-07-21 | Current-Sheet Formation in Electron Magnetohydrodynamics with Split Fractional Dissipation
[arXiv] 2026-07-21 | Spaghetti Architect: A Contamination-Resistant, By-Construction-Labelled, Multi-Language Code Dataset Generator
[arXiv] 2026-07-21 | Deep Learning Estimation of Sex, Age, Height, and Weight from CT-derived Digitally Reconstructed Radiographs
[arXiv] 2026-07-21 | Some New Sufficient Conditions for a Graph to be $l$-Deficient
[arXiv] 2026-07-21 | Hospitals/Residents with Inseparable Couples: Finding a Coalition-Stable Assignment Is NP-Hard
[arXiv] 2026-07-21 | Searching for Plans You Can Actually Build: A Realizability-Aware Full-Space Optimizer for MoE Training and Serving
[arXiv] 2026-07-21 | BlurDriving: Investigating How Personalized Blur Techniques Impact Drivers' Performance in Virtual Reality
[arXiv] 2026-07-21 | Periodic Orbits and Gravitational Wave Signatures around the Bonanno--Reuter Regular Black Hole
[arXiv] 2026-07-21 | PLAID-PRF: Pseudo-Relevance Feedback with Centroid-like Tokens in PLAID
[arXiv] 2026-07-21 | CPInj: Uncovering Prompt Injection Risks in Textual Collaborative Prompt Optimization
[arXiv] 2026-07-21 | LatentMT: Machine Translation with Latent Reasoning
[arXiv] 2026-07-21 | Spontaneous optical emission of a randomly oriented chiral quantum source
[arXiv] 2026-07-21 | End-to-End Markov State Sequence Learning for Auditory Attention Decoding
[arXiv] 2026-07-21 | Intelligent Multi-UAV Navigation in ITNTNs: A Hierarchical LLM Approach
[arXiv] 2026-07-21 | Homological rigidity and Schur rigidity of Schubert varieties in rational homogeneous spaces
[arXiv] 2026-07-21 | Stereochemical Vacuum Gap Explains Out-of-Plane Thermal Insulation in MXenes
[arXiv] 2026-07-21 | A note on analytic continuation to Minkowski space relevant for $^3P_0$ decay-model phenomenology
[arXiv] 2026-07-21 | Negative-parity high-spin structure of 105Pd
[arXiv] 2026-07-21 | OntoBook: Ontology-Grounded Synthetic Textbooks for Medical Encoder Pretraining
[arXiv] 2026-07-21 | Towards a reproducible cross-venue method for quantifying crowd noise in stadiums
[arXiv] 2026-07-21 | Reasoning Error from Known Fact: Step-Level Self-Consistency Group Relative Policy Optimization for LLM
[arXiv] 2026-07-21 | Breaking Feedback-Blindness: Utility-Augmented Transformer for Sequential Decision Making
[arXiv] 2026-07-21 | SynGallery: A Synthetic Gallery of Real Paintings for Instance-Level Artwork Recognition
[arXiv] 2026-07-21 | On degenerate geometric rank
[arXiv] 2026-07-21 | Thinking Fast, Thinking Slow: Adaptive Multimodal Transformer-based Sensor Fusion for Depth Estimation on Ultra-low-power MCUs
[arXiv] 2026-07-21 | Metric entropy of the space of holomorphic functions
[arXiv] 2026-07-21 | NaviAIS: A Scenario-Level Vessel Trajectory Prediction Dataset withVectorized Lane Priors and the NaviLane Forecasting Framework
[arXiv] 2026-07-21 | Prime and N-Prime graphs of solvable uniformly semi-rational groups
[arXiv] 2026-07-21 | The Complexity of Domatic Criticality
[arXiv] 2026-07-21 | Physics-Informed Super-Resolution of Atmospheric Data
[arXiv] 2026-07-21 | Absence of hidden analytic conserved quantities in harmonically confined rods
[arXiv] 2026-07-21 | Enhanced NQS via Annealed Gradient Descent
[arXiv] 2026-07-21 | Quantum Dynamics of $H_2^+$ in Orthogonal Two-Color Fields
[arXiv] 2026-07-21 | A generic construction of free algebras in varieties of Hilbert algebras and Brouwerian semilattices
[arXiv] 2026-07-21 | ABOPD: Antibody CDR Design via On-Policy Distillation
[arXiv] 2026-07-21 | CASE: Causal Alignment and Structural Enforcement for Improving Chain-of-Thought Faithfulness
[arXiv] 2026-07-21 | In-Context Learning for Wound Classification with Small Multimodal Language Models
[arXiv] 2026-07-21 | Mixing-Law Uncertainty in Multivariate Normal Mean-Variance Mixtures: Semi-parametric Estimation and Robust Cumulative-Prospect Decisions
[arXiv] 2026-07-21 | Tidal Deformability of Neutron Stars in Bumblebee Gravity: Probing Lorentz Symmetry Breaking with Gravitational Waves
[arXiv] 2026-07-21 | KIC 6464285: A Solar-type Eclipsing Binary in a Hierarchical Triple System with Quasi-periodic Out-of-eclipse Modulations
[arXiv] 2026-07-21 | QScheduler: Adaptive Gradient Sampling for Zeroth-Order On-Device Training on INT8 NPUs
[arXiv] 2026-07-21 | Domain Walls From Confining Bubbles: $SU(N_{c})$ Yang Mills at Finite $θ$
[arXiv] 2026-07-21 | Quantum Sensing Beyond Exceptional Points via Hidden symmetry-protected vacuum-noise fixed point
[arXiv] 2026-07-21 | SkillSight: Seeing Through Shared Descriptions for Accurate Skill Retrieval
[arXiv] 2026-07-21 | Sharp weighted Carleman and Huber isoperimetric inequalities on the unit ball in higher dimensions
[arXiv] 2026-07-21 | Directional Derivatives and Error Bounds of Merit Functions in Vector Optimization
[arXiv] 2026-07-21 | Tau functions and correlation functions of the bosonic universal character hierarchy
[arXiv] 2026-07-21 | CGMap: A Geospatially Aware Deep Learning Framework for Crop Gap Mapping Using UAV
[arXiv] 2026-07-21 | The spaces of Kähler and holomorphically tamed symplectic forms on closed 4-manifolds
[arXiv] 2026-07-21 | PertReason: A Knowledge-Grounded Benchmark and Framework for Cell-State-Conditioned Mechanistic Reasoning of Perturbation Effects
[arXiv] 2026-07-21 | Formulation-Level Auto-Tuning for QUBO-Based Machine Learning: A Case Study Across Multiple Quantum-Inspired Annealers
[arXiv] 2026-07-21 | High-Level Synthesis of Efficient Pipelines with Visibility Control
[arXiv] 2026-07-21 | Koopman DCM: Unstable Eigenfunctions as Data-driven Representations for Legged Balancing
[arXiv] 2026-07-21 | A Second-Moment Theory for Floating-Point Reduction Trees
[arXiv] 2026-07-21 | TrapHunter: Exposing Covert Pathways in Trap Token Contracts
[arXiv] 2026-07-21 | Contraction-Gauge Preconditioning for Quantized Matrix Multiplication
[arXiv] 2026-07-21 | Good access to the crack and integrability of the full gradient for Griffith almost-minimizers in the plane
[arXiv] 2026-07-21 | Quarkyonic Stars with Strangeness
[arXiv] 2026-07-21 | Manifest charge-transfer physics in T$^\prime$-La$_2$NiO$_4$
[arXiv] 2026-07-21 | Do LLMs Ask the Right Questions? Evaluating GPT-Generated Surveys as Instruments for Measuring Social Attitudes
[arXiv] 2026-07-21 | Assessment in Team Problem-Solving Exercises in Computing Education
[arXiv] 2026-07-21 | Homogeneous hypergraph regularity lemmas via $k$-strong honest definitions
[arXiv] 2026-07-21 | Cognitive Dual-Process Planning for Autonomous Driving with Structured Scene Knowledge and Verifiable Reasoning-Action Consistency
[arXiv] 2026-07-21 | The Dimension Conjecture for 2-Nondegenerate Hypersurfaces
[arXiv] 2026-07-21 | Exploring Self-Organization of Charged Dust Dimers in Plasma
[arXiv] 2026-07-21 | Automated Extraction of Techno-Economic Data from 76,000 Energy System Studies
[arXiv] 2026-07-21 | Identifying and Determining Atmospheric Parameters of BHB Stars Based on LAMOST DR11
[arXiv] 2026-07-21 | On the autotopism groups and the equivalence of finite cyclic semifields
[arXiv] 2026-07-21 | On the Slice Rank of Tensors in P-Echelon Form
[arXiv] 2026-07-21 | Quantum Circuits for Quantum Spatial Search on $d$-Dimensional Lattices
[arXiv] 2026-07-21 | Incomplete Observations Boost Evolutionary Performance in Ocean Modeling
[arXiv] 2026-07-21 | Optical Spectroscopy and Temporal Evolution of the Nova V1405 Cas
[arXiv] 2026-07-21 | Quantum limits to chiroptical molecular discrimination
[arXiv] 2026-07-21 | Parameterized Complexity of Odd Domination and its Generalization
[arXiv] 2026-07-21 | Thermal and electrical conductivity of a refractory high-entropy alloy after high-pressure torsion: Electron versus phonon contributions
[arXiv] 2026-07-21 | Latent Riemannian Flow Matching for Geometry-Grounded 3D Foundation Models
[arXiv] 2026-07-21 | Identifiability, Convergence and Nonparametric Estimation of Bivariate Archimax Copulas
[arXiv] 2026-07-21 | Herbrand Game Complexity
[arXiv] 2026-07-21 | From Operations to Elderly Care Outcomes: A Thematic Review of Industrial Engineering and Decision-Support Approaches
[arXiv] 2026-07-21 | Decentralized Linearized Consensus ADMM with Efficient Quantized Communication
[arXiv] 2026-07-21 | Classification of spherical metrics on tori with four singularities, I: half periods
[arXiv] 2026-07-21 | Two Time Scales of Online Discussion: Mixture Distributions of Thread Durations Across Four Reddit Communities
[arXiv] 2026-07-21 | Adopting Reinforcement Learning with Verifiable Rewards for Molecular Generation
[arXiv] 2026-07-21 | Gaze-DETR: Top-Down Guidance Through Priority Maps for Infrared Weak-Small UAV Detection with DETR
[arXiv] 2026-07-21 | IMMoE: Incomplete Multi-View Anomaly Detection via Mixture of View Experts Fusion
