[2025-12-14 09:09:36] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-13
正在获取论文...
[ACM] 2025-12-13 | Abstract machines and small-step semantics: a winning ticket for proof automation?
[ACM] 2025-12-13 | Generative Tonal Art: An Artistic Rendering Workflow using Programmable TAMs
[ACM] 2025-12-13 | Sound’s Influences on Perceptions of Anthropomorphism and Animacy in Interfaces
[ACM] 2025-12-13 | Non/Repeat: Three Case Studies of Non-linear Live-Music Practices
[ACM] 2025-12-13 | Video2Song: Video-to-Song Generation via Retrieval-Augmented Prompt Generation
[ACM] 2025-12-13 | High-Clarity Underwater 3D Display Enabled by Electrolysis-Free Water-Mediated Wireless Power Transmission
[ACM] 2025-12-13 | Spatial Audio Paths – Spatial Expressiveness of Immersive 3D Audio Trajectory Editing
[ACM] 2025-12-13 | The Conduction Series: Live Collaborative Transmission Art across Borders
[ACM] 2025-12-13 | A Sensor is not a Sensor: Diffracting the Preservation of Sonic Microinteraction with the SiFiBand
[ACM] 2025-12-13 | Simulating 3D Thermal Fluid Dynamics in Data Centers with Soft-Constrained Physics-Informed Graph Neural Network
[ACM] 2025-12-13 | Foveation Improves Payload Capacity in Steganography
[ACM] 2025-12-13 | Design of Nonverbal Symbolic Visual Cues for VR Social Interaction Based on AI Semantic Recognition
[ACM] 2025-12-13 | Edible Chromatic Caustics: Designing Colored Caustics of Jelly via Differentiable Rendering
[ACM] 2025-12-13 | The Theater Machine: An Interactive Generative-AI-Based Installation for Participatory Cultural Mediation
[ACM] 2025-12-13 | Proceedings of the 27th International Symposium on Principles and Practice of Declarative Programming
[ACM] 2025-12-13 | Can Vision-Language Models Perceive "Lookalike Effects" Between Humans and Cartoons as We Do?
[ACM] 2025-12-13 | PolyArt: Customizable Multilingual Movie Poster Generation via Diffusion Transformer
[ACM] 2025-12-13 | Graph Q-Learning for Automatic Assembly in Design-to-Construction
[ACM] 2025-12-13 | Investigating the Affective Quality of Audio Designs in Virtual Reality
[ACM] 2025-12-13 | Bridging Generations Through Reconstructed Historical Environments For Spatial User Interfaces
[ACM] 2025-12-13 | MoreOverleaf: A Mixed Reality Solution for Collaborative Document Workflows
[ACM] 2025-12-13 | SWEAR: A Multimodal Dataset and Embodied Emotion Simulation System for Understanding Hyperhidrosis through Interactive Wearable Jewellery
[ACM] 2025-12-13 | Flying in VR: A Therapist-Supervised Prototype for Aviophobia
[ACM] 2025-12-13 | Dynamic Eye Highlight Deformation via Soft-body Simulation in 3D Anime Character Rendering
[ACM] 2025-12-13 | SoniBould: Towards understanding the design of sonified expressions for bouldering
[ACM] 2025-12-13 | Sonification Strategies for Mapping Visible Element Emission Spectra to Perceptually Relevant Sounds While Retaining Tonal Information
[ACM] 2025-12-13 | User-Centered Insights into Analogue and Digital Mixing: Perspectives of Novice Music Producers
[ACM] 2025-12-13 | Counting Qubits and Gates: Resource Analysis in Quantum Programming Languages
[ACM] 2025-12-13 | A Card-Based Design Toolkit for Co-Designing Remote Multimodal Communication and Interaction Systems with Older Adults and Experts.
[ACM] 2025-12-13 | Bamboo Rhyme Craft: Immersive VR Bamboo Weaving through Coordinated Bimanual Gesture Interaction
[ACM] 2025-12-13 | Improving Registration-Based High-Resolution Panorama Depth Estimation with Enhanced Fine Details
[ACM] 2025-12-13 | An Abstract Form Guided Method for Image Generation without Training
[ACM] 2025-12-13 | Komorebi-Mediated Ambient Notifications for Calm Technology
[ACM] 2025-12-13 | Aural Fields: A Real-Time Spatial Audio System Using Grid-Based Probes and Occlusion-Aware Attenuation
[ACM] 2025-12-13 | AMV3D: Adaptive Multi-Layer Volumetric 3D for DICOM
[ACM] 2025-12-13 | Interactive generation and stereoscopic observation of 3DCG scenes based on 2D tabletop drawing
[ACM] 2025-12-13 | Leveraging small datasets for ethical and responsible AI music making
[ACM] 2025-12-13 | HaptiX: A Fusion Framework for Spatiotemporal Cross-Modal Haptic Synthesis on Mobile Devices
[ACM] 2025-12-13 | Determinism Types for Functional Logic Programming
[ACM] 2025-12-13 | Operational Game Semantics for Generative Algebraic Effects and Handlers
[ACM] 2025-12-13 | “TOUCHSTAR”: Exploring Generative AI-Powered Interactive Narrative in Cinematic Virtual Reality
[ACM] 2025-12-13 | Enabling Visually Aware Conversational Data Visualization Through LLM Augmentation
[ACM] 2025-12-13 | Projecting Softness: Finger-Bending Illusions in Tangible Projection Mapping
[ACM] 2025-12-13 | Acoustic Form: Enhancing the Design Process for Assistive Earwear Jewelry via Material-Centric Computational Sound Analysis
[ACM] 2025-12-13 | Comparing Trend-Based and Direct HRV Biofeedback in an Adaptive Game Environment
[ACM] 2025-12-13 | "Body Oracle" Translator: Translating Body Postures into Speculative Hieroglyphs
[ACM] 2025-12-13 | Embodied Motion as Interface: Exploring Abstract Dynamics in Hybrid Environments
[ACM] 2025-12-13 | Mechanized Type Soundness for Substructural Types using Iris
[ACM] 2025-12-13 | LineDiff: Semi-generative Line-drawing Frame Interpolation
[ACM] 2025-12-13 | See, Sense, Spark: Profiling Granularity in Proactive AI for Creative Research Ideation
[ACM] 2025-12-13 | Through Their Eyes: A First-Person VR Experience of Alzheimer's Disease
[ACM] 2025-12-13 | Capturing Size-Aware Draping via Per-Garment 2D Try-On
[ACM] 2025-12-13 | AR-Supported Online Piano Lessons with Bidirectional Visualization of Teacher and Student Hand Movements
[ACM] 2025-12-13 | Floorplan Generation with Graph Beta Diffusion
[ACM] 2025-12-13 | On the Automated Verification of BGP Convergence
[ACM] 2025-12-13 | Poetry Space: Visualization of Poetry Recitation Emotions in VR
[ACM] 2025-12-13 | TextFX: Reconstructing Editable Stylized Typography Through Parametric Text Effect Extraction
[ACM] 2025-12-13 | Simulating Loneliness: Human–Generative Agent Comparative Insights
[ACM] 2025-12-13 | Speed and Direction as two Overlapping Rhythms: Accuracy and Precision in Interpretation and Performance
[ACM] 2025-12-13 | I am the Ball
[ACM] 2025-12-13 | Tentacles Fever: Sound-Responsive SMA Actuators
[ACM] 2025-12-13 | Enhancing Embodiment and Spatial Awareness in VR with Hybrid Visual Presentation via Binocular Rivalry
[ACM] 2025-12-13 | Sketch-in-Scene: Coherent 3D Scene Asset Generation with Sketches
[ACM] 2025-12-13 | TunTun Diary: Exploring AI-Generated Storytelling and Virtual Companionship for Nightmare Relief
[ACM] 2025-12-13 | Underwater Odyssey: Immersive VR Swimming Adventure
[ACM] 2025-12-13 | Formalizing Languages with Binding Operators in Rewriting Logic
[ACM] 2025-12-13 | Beyond Universality: Cultural Diversity in Music and Its Implications for Sound Design and Sonification
[ACM] 2025-12-13 | An Interactive Self-Assembly Swarm Music System in Extended Reality
[ACM] 2025-12-13 | PITAR: an LLM-powered Agent towards Intelligent and Accurate Manipulations in Extended Reality with Multimodal Interactions
[ACM] 2025-12-13 | Meaningful Interactions in Human-AI Musicking
[ACM] 2025-12-13 | CamSketch: Authoring Camera Trajectories for 3D Virtual Concerts via Example-Derived Codes and User Sketching
[ACM] 2025-12-13 | AI-Powered Sculpting: Reviving Digital Sculpture with Generative Workflows
[ACM] 2025-12-13 | Enabling Hybrid Poster Interaction via Face-to-Face Displays and Virtual Screen Sharing
[ACM] 2025-12-13 | My Embodied Fears: Exploring the Negative Emotion Mitigation Role of Generative AI in XR Environments
[ACM] 2025-12-13 | An investigation into the mapping of sonic parameters to pen movement in tablet tasks
[ACM] 2025-12-13 | In the middle of the music: A qualitative study of headset and loudspeaker distributed interactive spatial audio within a musical mixed-reality environment
[ACM] 2025-12-13 | MusicFlower: A Web App and Python Framework for Interactive Music Visualisation
[ACM] 2025-12-13 | Emotion-Aware Autonomous Driving:  A VR-Based Multimodal Analysis Using Gaze and Physiological Signals
[ACM] 2025-12-13 | Generative POPs: Automating Character-Based Promotions on Digital Signage in Retail Stores
[ACM] 2025-12-13 | A Participant-Driven Spatial Narrative for Cultural Exhibitions
[ACM] 2025-12-13 | LayerPack: Training-Free Animation Inbetweening with Cross-Layer Consistency
[ACM] 2025-12-13 | DesignEval: A Human-Centered Framework for Aligning Graphic Designs with User Intent through Quantitative and Multimodal Evaluation
[ACM] 2025-12-13 | Hands in Bloom: An Auditory-Accessible Immersive Experience Based on Chinese Sign Language Recognition and Gesture Tracking
[ACM] 2025-12-13 | VR Competency-Based Pilot Training for Threat and Error Management
[ACM] 2025-12-13 | Sound design for HRI: a case study exploring appropriateness, naturalness, and sociality of a zoomorphic robot
[ACM] 2025-12-13 | Proceedings of the 20th International Audio Mostly Conference
[ACM] 2025-12-13 | A case study of translating sonifications across musical cultures for an educational application
[ACM] 2025-12-13 | Customer-Service Mirrored Avatar That Comes Beside You via Directional Spatial Audio
[ACM] 2025-12-13 | Zenith: Procedural and Diffusion-Driven Generation of Multi-Layered Top-Down Maps
[ACM] 2025-12-13 | Comparing 3D Data Representations for Keypoint Estimation in Humanoid Characters
[ACM] 2025-12-13 | Image-Similarity-Based Scale Estimation for 3D Model
[ACM] 2025-12-13 | Between Us: An Interactive Installation for Parent-Child Relationship Visualization Using NFC and Generative Algorithms
[ACM] 2025-12-13 | Where Things Become Imageries：Visualization Experience of Chinese Poetic Imageries in Immersive VR
[ACM] 2025-12-13 | Amplitude-Guided Phase Masking for Hologram Compression
[ACM] 2025-12-13 | Materials for the Moon: Developing Physically Based Lunar Regolith Assets to Support Space Training and Simulation
[ACM] 2025-12-13 | Whispering Shells: An Immersive Intervention for Coastal Conservation
[ACM] 2025-12-13 | Creating the Ideal Soundscape: Designing Study Friendly Cafe Environments
[ACM] 2025-12-13 | Interface Sound Variations Influence Learned User Responses
[ACM] 2025-12-13 | Towards Wearable-Free Exergame for Orthostatic Dysregulation: Improving Motion Detection with Smartphone-Only Calibration
[ACM] 2025-12-13 | Invertible Video Signal Processing
[ACM] 2025-12-13 | VR K-Heritage Assembler: Exploring Korean Wooden Architecture Through Virtual Gong-po Assembly
[ACM] 2025-12-13 | SIGGRAPH Asia 2025 XR
[ACM] 2025-12-13 | DarkAR: Augmented Reality Expression Method in Dimly lit Environment
[ACM] 2025-12-13 | Detmold musical Instrument Timbre Explorer (DmITE): Interactive visualization of musical instruments radiation pattern using IEEE 1599
[ACM] 2025-12-13 | Seeing What It Looks Like When Interacting with XR-NEDs
[ACM] 2025-12-13 | A Bio-sensing System for Visualizing Material Perceptions through Physiological Computing and Geometric Encoding
[ACM] 2025-12-13 | MindEye: A VR Imagery Training System for Individuals with Acquired Visual Imagery Impairments and Mild Aphantasia
[ACM] 2025-12-13 | A Practical Encoding Approach for Texture Compression: Combining Multi-Processing and Multi-Threading
[ACM] 2025-12-13 | “I’m Always Here”: An Affective Companion Agent for Novice Drivers
[ACM] 2025-12-13 | 360 VSP: Issues and limitations of 360 Virtual Sound Productions for mobile devices
[ACM] 2025-12-13 | Motiv: A Dataset of Latent Space Representations of Musical Phrase Motions
[ACM] 2025-12-13 | Closure Conversion, Flat Environments, and the Complexity of Abstract Machines
[ACM] 2025-12-13 | Yurt Portal: A Nomadic Spatial Interface to Reflect Cross-Cultural Virtual Digital Twins
[ACM] 2025-12-13 | I Become Tentacle, We Become "Tentacus": A Mixed Reality Ritual for Distributed Bodies and Collective Minds
[ACM] 2025-12-13 | SofiBuddy: A Soft Mobile Interface for On-Body Interaction
[ACM] 2025-12-13 | When Birds Bow: An Interactive Audio-Visual Installation for Suona Culture via Collaborative Tangible User Interface
[ACM] 2025-12-13 | AeroVis3R: Geometry-Aware Vision–Language Models for 3D Reasoning over UAV Landmark Videos
[ACM] 2025-12-13 | Bridging Visual Rhetoric and Computer Vision: A Large-Scale Analysis of the Design of Japanese and Original-Language Film Posters
[ACM] 2025-12-13 | Cyclic Patterns and Spatial Orientations in Artificial Impulsive Autonomous Sensory Meridian Response (ASMR) Sounds
[ACM] 2025-12-13 | Ouroboros Code: A Practice-Based Study on Sci-Fi Atmosphere Design under Nonlinear Narrative Structures
[ACM] 2025-12-13 | Bulb-in-Hand Initiation: An Illusory Altered In-Head Sensation via Colored Hemispheres, Audio Panning, and Head Tapping
[ACM] 2025-12-13 | Many-Inbetweens Browsing: Exploring Pre-Generated Inbetweens for 2D Animation
[ACM] 2025-12-13 | Mindscape: Multi-Perspective VR Storytelling in Interactive Psychological Thriller Experiences
[ACM] 2025-12-13 | Predicting Passenger Anxiety with a Spatio-Temporal PIGNN  in VR Autonomous Driving
[ACM] 2025-12-13 | Making a Binaural Microphone: Comparing Audio Quality, Listener Experience, and Costs of DIY with a Commercial Option
[ACM] 2025-12-13 | An Exploratory Phenomenological Study into how Audio Shapes Emotions in Player Experience
[ACM] 2025-12-13 | Mapping the Neighborhood of Microtonal Music Scales Using Self-Organizing Maps
[ACM] 2025-12-13 | An adequate while-language for stochastic hybrid computation
[ACM] 2025-12-13 | Real-Time IK-Based Full-Body and Facial Capture for Stylized 2D Puppets in XR Applications
[ACM] 2025-12-13 | Efficient Visualization of Large-Scale Unstructured Grid Data through Importance-Based Hybrid Reduction
[ACM] 2025-12-13 | School Legacy: Reconstructing Memory Through AI-augmented Social XR
[ACM] 2025-12-13 | Listening Together-Apart: On the Social Mediation of Sound Installation Listening
[ACM] 2025-12-13 | From Installation to Instrument: A Qualitative Inquiry into Gesture, Expression, and Composition with Soundscape
[ACM] 2025-12-13 | Two Empirical Studies on Audiovisual Semiotics of Uncertainty
[ACM] 2025-12-13 | “Hands-on” Light Field Display via Engineering Scalable Optics, Algorithms, and Mounts
[ACM] 2025-12-13 | Transporting Theorems about Typeability in LF Across Schematically Defined Contexts
[ACM] 2025-12-13 | Improving Localization with Localization-guided Structure-from-Motion
[ACM] 2025-12-13 | AniME: Adaptive Multi-Agent Planning for Long Animation Generation
[ACM] 2025-12-13 | HybridDeform4D: Joint Refinement of Mesh and Gaussian Splatting for Video-to-4D Object Generation
[ACM] 2025-12-13 | Deanthropocentric Interfaces: Plant-Driven Interaction Design in the Metaverse Era
[ACM] 2025-12-13 | Force Feedback Button that Focuses on Both Operation and Non-Operation
[ACM] 2025-12-13 | Part-Aware Embedding for Fine-Grained 3D Shape Retrieval
[ACM] 2025-12-13 | Visualizing the Spatio-Temporal Narratives of Hong Kong's Southbound Literati
[ACM] 2025-12-13 | Color-Corrected Full Ray-Based Computer-Generated Holography
[ACM] 2025-12-13 | A Drifting-Object-Based Water Surface Display
[ACM] 2025-12-13 | Improving Angular Parameterization for Compact Neural Materials
[ACM] 2025-12-13 | Toward Real-time Mobile Light Field Displays: An Efficient 3DGS Rendering Framework
[ACM] 2025-12-13 | TryIto: Discrete IMEX Cloth Simulation with Learned Residual Forces
[ACM] 2025-12-13 | Proceedings of the SIGGRAPH Asia 2025 Posters
[ACM] 2025-12-13 | PaperMythXR: Embodied Mixed-Reality Storytelling via Chinese Paper-Cutting
[ACM] 2025-12-13 | Where is That Bird? The Impact of Artificial Birdsong in Public Indoor Environments
[ACM] 2025-12-13 | Distributed, Coordination-Free Programming: 10 Years of Progress Since Lasp
[ACM] 2025-12-13 | OHMNI: Hand-Tracked XR Circuit Prototyping with Integrated SPICE Simulation
[ACM] 2025-12-13 | DJ AI: Optimizing Playlist Alignment and Generating Transitions with Generative and Embedding Models
[ACM] 2025-12-13 | Formalizing Weighted Pushdown Systems in Isabelle/HOL
[ACM] 2025-12-13 | Egocentric 3D Pose Estimation with Temporally Guided Pose Refinement
[ACM] 2025-12-13 | Echoes of Poetry: Recontextualizing Classical Chinese Poetry into Modern Pop Music through Narrative Visualization
[ACM] 2025-12-13 | MLLM-guided Training-free Spherical Panorama Generation from a Single Image
[ACM] 2025-12-13 | Calligraphy Echo: Sonifying Chinese Calligraphy with MIDI-Enabled Brush
[ACM] 2025-12-13 | Fast and Stable Elastic Dynamics with Large-scale Contact Simulation
[ACM] 2025-12-13 | Dependency Pairs for Expected Innermost Runtime Complexity and Strong Almost-Sure Termination of Probabilistic Term Rewriting
[ACM] 2025-12-13 | Sonic Skater Jump: Exploring the Sound Design of Complex Auditory Movement Guidance for Physical Therapy
[ACM] 2025-12-13 | Tactile Data Recording System for Clothing with Motion-Controlled Robotic Sliding
[ACM] 2025-12-13 | The Effect of Shape Differences on Object Impressions and Their Relation to Weight Perception
[ACM] 2025-12-13 | Folding Narrowing for the Analysis of Mutual Exclusion Protocols
[ACM] 2025-12-13 | Navigable Semantic Sound Maps for Auditory Displays
[ACM] 2025-12-13 | ETCE: Efficient Two-Stage Concept Erasure for Text-to-Image Diffusion Models
[ACM] 2025-12-13 | HoverCanvas: Aerial Display Based on a Flying Screen and 100 m Long Range Dynamic Projection
[ACM] 2025-12-13 | RingFlowUI: 3D Interface System using Ring-mounted Camera
[ACM] 2025-12-13 | When Stars Shine through Silence: Affective Visualization as Empowerment for Victims of Subway Harassment
[ACM] 2025-12-13 | Topology-Aware Polymorphism for Embedded Shading Languages
[ACM] 2025-12-13 | Mourning Skins: Using Generative AI for Speculative Visualization on Climate Change
[ACM] 2025-12-13 | Harmonic Materials: Composing with found objects and a camera-based synthesiser
[ACM] 2025-12-13 | Creating Immersive Future Living: An AI-Driven XR Interior Design System
[ACM] 2025-12-13 | HAVM: Designing 3D Hybrid-Anisotropic-Voronoi Cells for Microstructured Metamaterial
[ACM] 2025-12-13 | Shen Shu Yu Jin Wu: XR Virtual Production Empowering the Visual Spatial Construction and Immersive Experience of Chinese Classical Dance Films
[ACM] 2025-12-13 | A Framework for Architectural Geometry Synthesis Using Cellular Automata and Conditioned Diffusion Models
[ACM] 2025-12-13 | Thread Display: A Novel Wind-Driven Spatial Display Technique
[ACM] 2025-12-13 | A Reflection on Task-Oriented Programming
[ACM] 2025-12-13 | Shallowly Embedded Functions
[ACM] 2025-12-13 | Recovering Commutation of Logically Constrained Rewriting and Equivalence Transformations
[ACM] 2025-12-13 | Collaborative Scene Mood Authoring with Voice-driven Multimodal Feedback Design in Virtual Reality
[ACM] 2025-12-13 | Trans-composition
[ACM] 2025-12-13 | Visualizing the Immune Mechanisms: Interactive Storytelling for Pediatric Allergy Engagement
[ACM] 2025-12-13 | Differentiable Rendering Framework for Retroreflective Model Construction in Mid-Air Image Simulation
[ACM] 2025-12-13 | Tangible Immersive Authoring of Dynamic Mixed Reality Scenes with the World in Miniature Paradigm
[ACM] 2025-12-13 | Drawing Lines to Connect
[ACM] 2025-12-13 | Immersive Brain Exploration: A VR-Based Gamified System for Neuroanatomy Education with AI-Augmented Learning
[ACM] 2025-12-13 | CosmicStride: Space-Efficient VR Exploration for LBE Venues
[ACM] 2025-12-13 | Celestial Blossom: A Collaborative, Meditative VR Journey of Fractal Art and Music
[ACM] 2025-12-13 | RhyGlyph: Radial Glyph Visualization of Rhythm Interactions
[ACM] 2025-12-13 | An interactive type checker for dependent types with general recursion (System Description)
[ACM] 2025-12-13 | Percussive Hemispheres: Turning the Head into a Resonating Instrument via Audio-Tactile and Visual Synchrony
[ACM] 2025-12-13 | koloHart: Neck-Worn Tactile Choker for Sensory Substitution and Sensory Enhancement
[ACM] 2025-12-13 | Novel active force feedback glove and control algorithm for a realistic virtual handshake
[ACM] 2025-12-13 | Reimagining the CGI Pipeline with Diffusion Models: A Renderless Workflow for 3D Product Visualization
[ACM] 2025-12-13 | Living Literature: A Collaborative VR Experience for Enhancing Shared Reading Through Affective and Generative Feedback
[ACM] 2025-12-13 | Creative Hair Style Generation and Editing
[ACM] 2025-12-13 | AI-Powered Synthesis of 2.5D Traditional Chinese Paintings
[ACM] 2025-12-13 | Sonic Scribbles – Constructing Sketch Classes from Visual Associations of the Mental Model for Audio
[ACM] 2025-12-13 | Introducing WebPdL2Ork
[ACM] 2025-12-13 | Playing With Sound Beings: A Phenomenological Exploration
共写入 221 条记录，保存到 papers/paper2025-12-13.json。
论文获取成功，文件路径: papers/paper2025-12-13.json
正在筛选、翻译并发送邮件...
[NO] 1/221 | Abstract machines and small-step semantics: a winning ticket for proof automation?
[NO] 2/221 | GPStroke: A Walking Promotion Method using GPS Art with Multiple Walking Paths
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 3/221 | Spatial Audio for Ski Simulation with Visually Impaired Users in Dynamic Environments
[NO] 4/221 | Fast First-Hit Determination for Large and Composite Sparse Volumetric Data Structures with Mesh Shaders
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 5/221 | Effectiveness of "Focus Lines" for Attentional Guidance in Virtual Reality
[NO] 6/221 | Realisability and Complementability of Multiparty Session Types
[NO] 7/221 | ImaginaBook: Guiding Virtual Child Smiles via Behavioral Cues in XR Picture-Book Storytelling
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 8/221 | Fixture Layout Optimization in Wood Industry: A Case Study
[NO] 9/221 | A Hybrid XR Framework for Collaborative Scientific Visualization: Rendering-as-a-Service with ParaView and Real-Time Engines
[NO] 10/221 | Fisheye Patch-Based Automatic Colorization Method for Anime Line-drawings
[NO] 11/221 | Weight Illusion from a "1st+3rd" Person Perspective: Integrating the Strengths of the 1st and 3rd Person Perspectives
[NO] 12/221 | The Stage Comes to You: A Real-Time Tele-Immersive System with 3D Point Clouds and Vibrotactile Feedback
[NO] 13/221 | Plétude
[NO] 14/221 | Sound-driven Design through the lens of four applications for healthcare
[NO] 15/221 | Spatio‑Temporal 3D Gaussian Splatting Alignment via Robust Features and Randomized Sampling
[NO] 16/221 | Echoes of the Matchlock: Playing Shooting Games Using Cultural Heritage in Mixed Reality
[NO] 17/221 | Anime Face Alignment via Guideline-Based Transform for Expression Analysis
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 18/221 | Immersive Interaction and Interpretation of Ancient Spatial and Shape Data: XR for Archaeological Research
[NO] 19/221 | Engine-Integrated Cel-Shading for Unreal Engine 5
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 20/221 | Two-Stage Vector Sketch Generation Using Structure-to-Detail Optimization
[NO] 21/221 | Generative Tonal Art: An Artistic Rendering Workflow using Programmable TAMs
[NO] 22/221 | Sound’s Influences on Perceptions of Anthropomorphism and Animacy in Interfaces
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 23/221 | Non/Repeat: Three Case Studies of Non-linear Live-Music Practices
[NO] 24/221 | Video2Song: Video-to-Song Generation via Retrieval-Augmented Prompt Generation
[NO] 25/221 | High-Clarity Underwater 3D Display Enabled by Electrolysis-Free Water-Mediated Wireless Power Transmission
[NO] 26/221 | Spatial Audio Paths – Spatial Expressiveness of Immersive 3D Audio Trajectory Editing
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 27/221 | The Conduction Series: Live Collaborative Transmission Art across Borders
[NO] 28/221 | A Sensor is not a Sensor: Diffracting the Preservation of Sonic Microinteraction with the SiFiBand
[NO] 29/221 | Simulating 3D Thermal Fluid Dynamics in Data Centers with Soft-Constrained Physics-Informed Graph Neural Network
[NO] 30/221 | Foveation Improves Payload Capacity in Steganography
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 31/221 | Design of Nonverbal Symbolic Visual Cues for VR Social Interaction Based on AI Semantic Recognition
[NO] 32/221 | Edible Chromatic Caustics: Designing Colored Caustics of Jelly via Differentiable Rendering
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 33/221 | The Theater Machine: An Interactive Generative-AI-Based Installation for Participatory Cultural Mediation
[NO] 34/221 | Proceedings of the 27th International Symposium on Principles and Practice of Declarative Programming
[NO] 35/221 | Can Vision-Language Models Perceive "Lookalike Effects" Between Humans and Cartoons as We Do?
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 36/221 | PolyArt: Customizable Multilingual Movie Poster Generation via Diffusion Transformer
[NO] 37/221 | Graph Q-Learning for Automatic Assembly in Design-to-Construction
[NO] 38/221 | Investigating the Affective Quality of Audio Designs in Virtual Reality
[NO] 39/221 | Bridging Generations Through Reconstructed Historical Environments For Spatial User Interfaces
[NO] 40/221 | MoreOverleaf: A Mixed Reality Solution for Collaborative Document Workflows
[NO] 41/221 | SWEAR: A Multimodal Dataset and Embodied Emotion Simulation System for Understanding Hyperhidrosis through Interactive Wearable Jewellery
[NO] 42/221 | Flying in VR: A Therapist-Supervised Prototype for Aviophobia
