[2026-08-03 23:00:04] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-02
正在获取论文...
[IEEE] 2026-8-3 | Closed-Loop Common Mode Current Mitigation for Transformerless Current-Source Soft Open Points
[IEEE] 2026-8-3 | Hierarchical Clustering Based on Sequential Preference Stability
[IEEE] 2026-8-3 | A Fully-Integrated Gear-Train Hybrid DC-DC Converter for Li-Ion-Powered Edge Systems
[IEEE] 2026-8-3 | Research on Balance Risk Identification and Scenario Construction of New Power Systems Based on Multisource Data Coupling
[IEEE] 2026-8-3 | BanglaRain: A Missingness-Aware Spatiotemporal Graph Transformer for Probabilistic Multi-Horizon Rainfall and Extreme Event Forecasting
[IEEE] 2026-8-3 | Behavioral and Mechanistic Analysis of Lightweight INT8 Multilayer Perceptrons on Rare Classes for IIoT Intrusion Detection_supp2-3719067.pdf
[IEEE] 2026-8-3 | Author Index
[IEEE] 2026-8-3 | IEEE Transactions on Intelligent Transportation Systems Information for Authors
[IEEE] 2026-8-3 | Monolithic 3-D Integration of MEMS Non-Volatile Memory on CMOS BEOL for Reconfigurable Logic Applications
[IEEE] 2026-8-3 | Review for "Collection: Benchmark Datasets for the Evaluation of Data Imputation Algorithms"
[ACM] 2026-8-3 | Rethinking Broken Object Level Authorization Attacks Under Zero Trust Principle
[ACM] 2026-8-3 | Understanding and Detecting Android R8 Compiler Bugs
[IEEE] 2026-8-3 | A rapid multibeam water column data mapping method based on pixel-level interpolation templates
[IEEE] 2026-8-3 | Neural Network-Assisted Constitutive Model Predicts Isothermal Compressive Stress Behavior of SAC305 Lead-Free Solder
[IEEE] 2026-8-3 | Prescribed-Performance Decentralized Control with Resilience to Structural Uncertainties and Cyber Attacks
[IEEE] 2026-8-3 | Random Search Deep Neural Networks Driven Koopman Subspace Modeling of Nonlinear Dynamics
[IEEE] 2026-8-3 | Fully Automated, Scalable and Robust Generation of Testbenches for Simulation and Optimization of Amplifier Circuits
[IEEE] 2026-8-3 | Day-Ahead Electricity Market Equilibrium Analysis Based on Multi-Scale Load Forecasting and MADDPG Bidding Strategy
[IEEE] 2026-8-3 | A Feeder Fault Location Method Considering Asymmetry in Multi Energy Scenarios
[IEEE] 2026-8-3 | Preference Modeling and Classification through implication-based Gödel integrals
[IEEE] 2026-8-3 | Unified Seamless Authenticated Key Agreement for Heterogeneous Train-to-Train Direct Communications Based on Distributed SDN
[IEEE] 2026-8-3 | Shumor: A Benchmark and Multi-Perspective Reasoning Framework for Decoding Humor in Game Reviews
[IEEE] 2026-8-3 | MU-IAPO-Based Capacity Optimization for Wind-PV Molten Salt Systems
[IEEE] 2026-8-3 | ICAHS 2025 Copyright Page
[IEEE] 2026-8-3 | Nonlinear False Data Injection Attack Strategy against Cyber-Physical Systems
[IEEE] 2026-8-3 | A Comprehensive Review on Low Power Rectenna Designs for Smart Contact Lens and other Biomedical Applications
[IEEE] 2026-8-3 | TPM-IOSA: Trip-Point-Modulated Differential-Amplification IOSA With Sensing Time Reduction for High-Speed DRAM
[IEEE] 2026-8-3 | PATE-TDPM: Differentially Private Tabular Data Synthesis on Long-tailed Distribution
[IEEE] 2026-8-3 | CURE RIS: Countering the Undesirable Rain Effects on Reconfigurable Intelligent Surfaces
[IEEE] 2026-8-3 | Joint Condition-Based Maintenance and Production Control Under Unknown Production-Deterioration Relationship
[IEEE] 2026-8-3 | Detecting Complex Money Laundering Patterns with Incremental and Distributed Graph Modeling
[IEEE] 2026-8-3 | Multi-Relational Cooperative Representation Constrained by Adaptively Balanced Random Walk Sampling for POI Recommendation
[IEEE] 2026-8-3 | prNet: Data-Driven Phase Retrieval via Stochastic Refinement
[IEEE] 2026-8-3 | Microscopic Aging Characteristics of Distribution Network Cables with Different Service Years in Humid-Thermal Environments
[IEEE] 2026-8-3 | 2026 5th International Conference on New Energy System and Power Engineering (NESP)
[IEEE] 2026-8-3 | GENCO: A Geometric Method for Cooperative Decentralized Onboard Conflict Resolution of UAVs in the 3-D Environment
[IEEE] 2026-8-3 | Neural-Enhanced Mask-Wafer Co-Optimization of Curvilinear ILT for Circular E-beam Mask Writers
[IEEE] 2026-8-3 | Stitching Misaligned Multi-Spectral Images by Versatile Transformation: A Streamlined Solution and Applications
[IEEE] 2026-8-3 | The second minimum weight of Grassmann codes
[IEEE] 2026-8-3 | Reinforcement Learning-Optimized Adaptive Sensing on Intelligent Seats for Energy-Efficient Continuous Monitoring of Biomechanical Deterioration in Menopausal Spinal Cord Injury
[IEEE] 2026-8-3 | Pharmaceuticals in Tunisia: Shift-Share Analysis of Its Global Value Chain Position
[IEEE] 2026-8-3 | Exponential Tracking of Turbulent Dynamics in the Periodic Kuramoto–Sivashinsky Equation
[IEEE] 2026-8-3 | PCOS Care: A Machine Learning-Based Web Application for Early Risk Prediction of Polycystic Ovary Syndrome
[IEEE] 2026-8-3 | Design of a Reconfigurable Flexible slot Antenna with Rotatable planar frequency selective surface Enhance-Gain Wireless Applications at 5.8GHz
[IEEE] 2026-8-3 | Simulation Analysis of a Highly Stable Magnetic- Repulsion Composite Mechanism with Adjustable Opening Speed
[IEEE] 2026-8-3 | Characterisation of the Quantum Fuzzy Measure Based on a Quantum Circuit
[IEEE] 2026-8-3 | Design and Simulation of a Wideband mmWave cross-shaped patch Antenna for 5G Applications
[IEEE] 2026-8-3 | High-Voltage Isolating Switch Fault Diagnosis Based on HHOA-Optimized VMD and BiLSTM Network
[IEEE] 2026-8-3 | Fuzzy Distribution Modeling for Synthetic Tabular Data Generation with Causality Preservation
[IEEE] 2026-8-3 | Non-Gaussian Correction of PAPR Based on Edgeworth Series for OFDM Systems With Limited Number of Subcarriers
[IEEE] 2026-8-3 | Machine-Learning-Based Regional Nowcasting Method for HF Maximum Usable Frequency Driven by Ionospheric Total Electron Content: A Case Study of North China
[IEEE] 2026-8-3 | Analysis and Design of Discrete-Time ΔΣ ADC Using Fast Self-Quenching Floating Inverter Amplifier With Sampling Noise Cancellation
[IEEE] 2026-8-3 | A Controlled Comparative Evaluation of Workflow Configurations for Source-Grounded Academic PDF Analysis
[IEEE] 2026-8-3 | Self-Configurable Receiver for Single-Carrier Underwater Acoustic Communications via Bayesian Optimization
[IEEE] 2026-8-3 | Theoretical Analysis of Different Penalty Functions in Sequential Convex Programming for Model Predictive Control
[IEEE] 2026-8-3 | ICAHS 2025 Copyright Page
[IEEE] 2026-8-3 | Effective Bit Aware OEB-SCL Decoding of Polar Codes With Boundary-Consistent Multi-Bit Decoding
[IEEE] 2026-8-3 | ICAHS 2025 Copyright Page
[IEEE] 2026-8-3 | FuzzyKG: A Neuro-Symbolic Fuzzy Neural Network for Symbolic Knowledge Extraction
[IEEE] 2026-8-3 | Event-Triggered Online Optimization for Cellular-Enabled Air-Ground Cooperative ILAC in Long-Range UAV Logistics
[IEEE] 2026-8-3 | Functional $\mathscr {H}_{\infty }$ Filtering for Descriptor Systems with Incrementally Quadratic Nonlinearities under Disturbances
[IEEE] 2026-8-3 | ICAHS 2025 Copyright Page
[IEEE] 2026-8-3 | Analysis of Pneumatic Hammer Vibration in Porous Air-Floating Bearings for Ultra-Precision Spindles
[IEEE] 2026-8-3 | An Ontology-Based Configuration Framework for Exercise Prescription in Pulmonary Rehabilitation of Post-Discharge COPD Patients: Design and Real-World Evaluation
[IEEE] 2026-8-3 | Hierarchical Fuzzy Model for Human-AI Teaming Security Assessment
[IEEE] 2026-8-3 | Meta-Exploiting Complementary Semantic Consistency for Cross-Domain Few-Shot Learning Promotion_supp1-3716403.pdf
[IEEE] 2026-8-3 | Revisiting the Coopetition–Innovation Performance Nexus: A Multilevel Meta-Analytic Investigation
[IEEE] 2026-8-3 | ICAHS 2025 Copyright Page
[IEEE] 2026-8-3 | A Fuzzy-Based Approach for Interpretable Spike Detection in Living Neural Biocomputers
[IEEE] 2026-8-3 | Hybrid Adaptive OTFS-OTA-OFDM Scheme with Deep Learning-Based Channel Prediction for Enhanced Satellite Network Communications
[IEEE] 2026-8-3 | Is Visual Information Always Useful? Orthogonal Intuitionistic Fuzzy Reprogramming for Robust Multimodal Recommendation
[IEEE] 2026-8-3 | IEEE Journal of Emerging and Selected Topics in Power Electronics Publication Information
[IEEE] 2026-8-3 | Bayesian Cramér-Rao Bound for Sensing Performance in Meta-Backscatter Systems
[IEEE] 2026-8-3 | Graph2Scene: Generating Remote Sensing Imagery and Labels via Scene Graphs and Low-Rank Representation
[IEEE] 2026-8-3 | Towards a Tunisian High-Frequency Audiogram Database in Occupational Health for Epidemiological and Sectoral Risk Analysis
[IEEE] 2026-8-3 | A Single-Layer Beam-Scanning Reconfigurable Reflectarray using Sweep-Holding Control Circuit
[IEEE] 2026-8-3 | Reliability Assessment and Optimal Maintenance Decision-Making for Multi-State Competing Failure Systems with Hidden Failures
[IEEE] 2026-8-3 | Eye-Tracking Data Analysis for Autism Classification
[IEEE] 2026-8-3 | ICAHS 2025 Copyright Page
[IEEE] 2026-8-3 | A Cognitive 6G Communication Framework for Joint Wireless Sensing, Learning, and Ultra-Reliable Data Transmission
[IEEE] 2026-8-3 | Standardization Recommendations and Technical Research of Fire-Rated Cables for Shipboard Equipment
[IEEE] 2026-8-3 | A Predictive Maintenance Framework for Multi-Stage Degradation Systems Under Defect Alarm
[IEEE] 2026-8-3 | Multi-Level Spatiotemporal Framework for Automatic Modulation Classification
[IEEE] 2026-8-3 | Spatiotemporal Wavelet Graph Signal Network for Machine Fault Diagnosis
[IEEE] 2026-8-3 | Megawatt-Scale Partial PHIL Arm-Current Emulation for Submodule-Level Verification of MMC-Based Drives
[IEEE] 2026-8-3 | Geometry-based Forest Structure Extraction from SAR Tomographic data for Terrain and Canopy Modelling
[ACM] 2026-8-3 | Fail-Slow Hardware Failure Bug Analysis and Detection for Cloud Systems
[IEEE] 2026-8-3 | An Inductor-Free Power Management Circuit With Compact System Volume Achieving High Conversion Efficiency for Triboelectric Nanogenerators
[IEEE] 2026-8-3 | SPEAR: Phase-Aware Multi-Noise Removal for Supervised Fault-Event Detection and Localization in Simulated Factory Scenes
[IEEE] 2026-8-3 | Beam Squint Calibration with Forced-Descent Sampling for Mobility-Aware Sensing in the Near-Field Massive MIMO Systems
[IEEE] 2026-8-3 | A CNN-based Approach for Speaker Identification using Spectral Domain Augmentation
[IEEE] 2026-8-3 | LLM-RDO: Large Language Model-guided Rules Dynamic Optimization for Temporal Knowledge Graph Reasoning
[IEEE] 2026-8-3 | DDBMNet: Dual-Domain Background Modeling Network with Anomaly Suppression for Hyperspectral Anomaly Detection
[IEEE] 2026-8-3 | Validation of Gyrotron Operation for the Collective Thomson Scattering Diagnostic at the GDT Open Magnetic Trap
[IEEE] 2026-8-3 | High-Resolution Complementary Golay-Coded Correlation OTDR for Long-Reach PONs
[IEEE] 2026-8-3 | AI-Assisted Antenna State Selection for Throughput Optimization in Higher-Order MIMO Mobile Terminals Under Arbitrary User Scenarios
[IEEE] 2026-8-3 | Mechanism and Effects of Core Segmentation on Electromagnetic Performance in Orthogonal Winding Planar Induction Motor
[IEEE] 2026-8-3 | ClinCheX: Hierarchical Multi-Granularity Representation Learning with Clinical Semantic Anchoring for Congenital Heart Disease Classification from Chest Radiographs
[IEEE] 2026-8-3 | ICAHS 2025 Copyright Page
[IEEE] 2026-8-3 | Study of woman in labour's emotional responses to birth space ambiance using EDA
[IEEE] 2026-8-3 | Tannaka Duality for MTL Algebras
[IEEE] 2026-8-3 | Minor and Major Finger Knuckle Pattern Recognition system based on Deep Rules-Based Classifier
[IEEE] 2026-8-3 | A Novel Temperature-Based Method for Aging Characterization of IGBTs
[IEEE] 2026-8-3 | Message from the Program Chairs
[IEEE] 2026-8-3 | A Method for Identifying the Coupling Coefficient of Wireless Power Transfer Based on Extended Kalman Filtering
[IEEE] 2026-8-3 | A 12-bit 78.8-dB SFDR 625-MS/s Two-step Pipelined-SAR ADC With Self-Adaptive Common-Mode Capacitor Multiplier
[IEEE] 2026-8-3 | Toward Closing the Sim-to-Real Gap for Autonomous Vehicles: A Physics-Guided Learning Approach for LiDAR Intensity Simulation
[IEEE] 2026-8-3 | ICAHS 2025 Copyright Page
[IEEE] 2026-8-3 | The Design of a Waste Classification and Collection Robot for Energy Storage
[IEEE] 2026-8-3 | ICAHS 2025 Copyright Page
[IEEE] 2026-8-3 | A Novel Multi-Objective Optimization Algorithm for Environmental Economic Dispatch of Power Systems
[IEEE] 2026-8-3 | ICAHS 2025 Copyright Page
[IEEE] 2026-8-3 | SSC-YOLO11:An Improved YOLO11 Model for SAR Small Object Detection in Complex Backgrounds
[IEEE] 2026-8-3 | Numerical Study on the Influence of Key Structural Parameters of Banki Wind Turbine on Aerodynamic Performance
[IEEE] 2026-8-3 | Research on Joint Angular Path Planning of Robotic Arm Based on A* Algorithm
[IEEE] 2026-8-3 | Comparative Analysis of Recurrent Neural Network Architectures for Classifying Nanoparticle Properties
[ACM] 2026-8-3 | Modular RAG: Transforming RAG Systems into LEGO-like Reconfigurable Frameworks
[IEEE] 2026-8-3 | IEEE Transactions on Computational Social Systems Information for Authors
[IEEE] 2026-8-3 | A Cloud-Edge Collaborative Large Language Model Inference Framework Based on Historical Context Matching
[IEEE] 2026-8-3 | Maximal Consistent Subsystems of Max-T Fuzzy Relational Equations
[IEEE] 2026-8-3 | Speed-Flux Adaptive Reference Current Based Harmonic Compensation for BLDC Motors
[IEEE] 2026-8-3 | FuzzyLinguistics: A Python Package for Generating, Simplifying, and Comparing Linguistic Summaries of Data
[IEEE] 2026-8-3 | Physics-guided Siamese Neural Networks for Continuous Degradation Severity Evaluation of Vehicle Suspension Dampers with a Minimal Sensor Set
[IEEE] 2026-8-3 | Chance-Constrained Coordinated Scheduling of Distribution Networks with High PV/Wind Penetration and Battery Energy Storage Based on SOCP Relaxation
[IEEE] 2026-8-3 | Healthcare Waste: Classification Systems and Sustainable Logistical Decisions
[IEEE] 2026-8-3 | Agentic AI in Healthcare 5.0: Reference Architecture, Applications, and Challenges
[IEEE] 2026-8-3 | Power Choquet-Inspired Integral: A Family of Tunable Aggregation Functions with Application to Fuzzy Rule-Based Classification Systems
[IEEE] 2026-8-3 | Time--Frequency Channel Prediction in Intelligent High-Speed Railway Communication Systems
[IEEE] 2026-8-3 | Title Page I
[IEEE] 2026-8-3 | Pilot-Aware Physics-Guided Transformers for Efficient MIMO Channel Estimation
[IEEE] 2026-8-3 | Continuum Jacobian based Computational Morphogenesis for Soft Robotic Workspace Optimization_supp1-3716051.pdf
[IEEE] 2026-8-3 | Multi-View Clustering With Hybrid-Order Similarity Learning
[IEEE] 2026-8-3 | 2025 IEEE International Conference on Advanced Healthcare Systems (ICAHS)
[IEEE] 2026-8-3 | Artificial Intelligence Meets IoT for Cardiovascular Diseases Detection
[IEEE] 2026-8-3 | DCRF-Net: Dual-Observation Consistency Residual Feedback Network for Hyperspectral and Multispectral Image Fusion
[IEEE] 2026-8-3 | Message from the Chairs: ISSSR 2026
[IEEE] 2026-8-3 | Fuzzy Stochastic Multi-Agent Control via HJB Optimization for Interpretable Incentive Design
[IEEE] 2026-8-3 | An Effective Continual Few-Shot Video Learning for Dynamic and Resource-Limited Consumer Edge Environments
[IEEE] 2026-8-3 | Sentinel-1/2 Fusion and Multi-Year Joint Training for Consistent Cross-Year Mangrove Mapping and Blue Carbon Assessment in a Tropical Intertidal Estuary
[IEEE] 2026-8-3 | Overcoming Catastrophic Forgetting in Dynamic Traffic Forecasting via Sub-Graph Continual Spatiotemporal Learning
[IEEE] 2026-8-3 | Explainable Object Detection in 360° Images Through Fuzzy Logic Systems and Vision-Language Models Integration
[IEEE] 2026-8-3 | RegTrack: Simplicity Beneath Complexity in Robust Multi-Modal 3D Multi-Object Tracking
[IEEE] 2026-8-3 | Protection-Strategy-Based Distributed State Estimation for Nonlinear Complex Networks Against Random False Data Injection Attacks
[IEEE] 2026-8-3 | A Fuzzy-Logic-Based Attack for Reconstructing Facial Biometric Templates from Memory Controller Electromagnetic Emissions
[IEEE] 2026-8-3 | Impact of Large-Scale Thyristor-Controlled Electrolyzers on Post-Fault Voltage Recovery
[IEEE] 2026-8-3 | MedHallTune: An Instruction-Tuning Benchmark for Mitigating Medical Hallucination in Vision-Language Models
[IEEE] 2026-8-3 | 2026 List of Reviewers
[IEEE] 2026-8-3 | f-EVOVAQ: A GPU-based Framework for Evolutionary Training of Variational Quantum Algorithms
[IEEE] 2026-8-3 | Graph-Based Algorithm for Label Noise Detection and Correction in Cervical Cytology
[IEEE] 2026-8-3 | Two-Level Improved Adaptive Sliding Mode Control for PMSM Servo Drives
[IEEE] 2026-8-3 | Dynamic Maintenance Optimization for Electric Multiple Units Under Extreme Environments: A Multi-State Competing Risk Approach
[IEEE] 2026-8-3 | DriverPose: A Spatio-Temporal Convolutional Network for 3-D Driver Pose Estimation
[IEEE] 2026-8-3 | Interpretable Soil-Robust Bipedal Locomotion on Tilled Soils with Material Curriculum and a Stance-Gated Slip Reward
[IEEE] 2026-8-3 | Event-Triggered-Based Adaptive Practical Fixed-Time Tracking Control for Uncertain Nonlinear Systems With Unmeasurable States
[IEEE] 2026-8-3 | Research on Adaptive Gait Control Algorithm for Hexapod Robots Facing Complex Terrain of Farmland
[IEEE] 2026-8-3 | Spiking Morphological Mamba for Hyperspectral Image Classification
[IEEE] 2026-8-3 | Optimizing Sales Representatives’ Visit Schedules Using a Heuristic Approach: A Case Study in the Pharmaceutical Sector
[IEEE] 2026-8-3 | Adaptive Voltage Regulation Control for PV-Dominated Microgrids Without Energy Storage
[IEEE] 2026-8-3 | Multi-Contextual State Space Models for Compressive Light Field Reconstruction over Coded Aperture
[IEEE] 2026-8-3 | Motion-Aware Low-Power Wearable Photoplethysmography System with Metamaterial-Enhanced Wireless Telemetry
[IEEE] 2026-8-3 | Hierarchical Early Warning of Multi-Period Grid Balance Risk Considering Wind Power Uncertainty
[IEEE] 2026-8-3 | Research on End-to-End Bearing Fault Diagnosis Based on Wavelet Packet Transform and Multi-Scale Convolutional Neural Network
[IEEE] 2026-8-3 | Coordinated Optimization of Multi-Island Energy Systems with Internal Carbon Trading
[IEEE] 2026-8-3 | Stochastic Watermarking Protection Strategy for CPSs Under Linear Stealthy Attacks
[IEEE] 2026-8-3 | AI-Based Tools for Legal Data Extraction using Deep Learning Techniques
[IEEE] 2026-8-3 | High-Strength TPU-Based Flexible Capacitive Compressive Stress Sensors via Hot-press Integration
[IEEE] 2026-8-3 | SSK-RIM: A novel Intensity-Spatial Modulation Scheme for Modulatable IRS-Aided MIMO-VLC
[IEEE] 2026-8-3 | Research on the Abnormal Line Loss Recognition Method for Distribution Networks Based on the GAT—SVDD Algorithm
[IEEE] 2026-8-3 | A Four-Stage Co-Optimization Framework for Island Wind-PV-Hydrogen-Methanol Scheduling
[IEEE] 2026-8-3 | Dual Retrieval Queries Fine-Tuning for Composed Image Retrieval
[IEEE] 2026-8-3 | Automated Parking Planning Based on Safety Corridor Constraints and Parking Space Matching
[IEEE] 2026-8-3 | Operational Space Flexibility Enhancement of Redundant Manipulators via Inverse-Free Neurodynamic Control
