[2026-04-01 22:38:16] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-31
正在获取论文...
[arXiv] 2026-03-31 | Industrial Policy with Network Externalities: Race to the Bottom vs. Win-Win Outcome
[arXiv] 2026-03-31 | VACP: Visual Analytics Context Protocol
[arXiv] 2026-03-31 | Extracting Energy from Magnetized Rotating Black Holes in Horndeski Gravity via the Magnetic Penrose Process
[arXiv] 2026-03-31 | A Preliminary Theory of Infantile Dynamics
[arXiv] 2026-03-31 | Light-Sculpted Azopolymer Colloids: From Patchy Spheres to Porcupine and Pineapple Morphologies
[arXiv] 2026-03-31 | Spectroscopic study of the broad component of [O III]λ5007 profile in type 1 AGNs
[arXiv] 2026-03-31 | An answer regarding automorphisms of finite abelian groups
[arXiv] 2026-03-31 | Differentiable Normative Guidance for Nash Bargaining Solution Recovery
[arXiv] 2026-03-31 | Big2Small: A Unifying Neural Network Framework for Model Compression
[arXiv] 2026-03-31 | Training-Free Dynamic Upcycling of Expert Language Models
[arXiv] 2026-03-31 | Option Pricing on Automated Market Maker Tokens
[arXiv] 2026-03-31 | Generalizing Output-Feedback Covariance Steering to Incorporate Non-Orthogonal Estimation Errors
[arXiv] 2026-03-31 | A criterion for an effective discretization of a continuous Schrödinger spectrum using a pseudostate basis
[arXiv] 2026-03-31 | HyperKKL: Learning KKL Observers for Non-Autonomous Nonlinear Systems via Hypernetwork-Based Input Conditioning
[arXiv] 2026-03-31 | Editing on the Generative Manifold: A Theoretical and Empirical Study of General Diffusion-Based Image Editing Trade-offs
[arXiv] 2026-03-31 | Unbounded Density Ratio Estimation and Its Application to Covariate Shift Adaptation
[arXiv] 2026-03-31 | A new gradient-free active subspace estimation method with application to rare event probability estimation
[arXiv] 2026-03-31 | Beyond Legacy OFDM: A Mobility-Adaptive Multi-Gear Framework for 6G
[arXiv] 2026-03-31 | Adaptive Multilevel Methods for the Maxwell Eigenvalue Problem
[arXiv] 2026-03-31 | The discrete quantum group $su_q(2)$ and its dual
[arXiv] 2026-03-31 | FED-Bench: A Cross-Granular Benchmark for Disentangled Evaluation of Facial Expression Editing
[arXiv] 2026-03-31 | A First Step Towards Even More Sparse Encodings of Probability Distributions
[arXiv] 2026-03-31 | KEditVis: A Visual Analytics System for Knowledge Editing of Large Language Models
[arXiv] 2026-03-31 | Thermal static Potential at Finite Density in (2+1)-flavor QCD
[arXiv] 2026-03-31 | An objective-function-free algorithm for nonconvex stochastic optimization with deterministic equality and inequality constraints
[arXiv] 2026-03-31 | Another simple proof of the 1-dimensional flat chain conjecture
[arXiv] 2026-03-31 | Clinical DVH metrics as a loss function for 3D dose prediction in head and neck radiotherapy
[arXiv] 2026-03-31 | Instabilities in flow through and around a circular array of cylinders
[arXiv] 2026-03-31 | CoRe-DA: Contrastive Regression for Unsupervised Domain Adaptation in Surgical Skill Assessment
[arXiv] 2026-03-31 | STRADAViT: Towards a Foundational Model for Radio Astronomy through Self-Supervised Transfer
[arXiv] 2026-03-31 | Finite Blocklength Covert Communication over Quasi-Static Multiple-Antenna Fading Channels
[arXiv] 2026-03-31 | Optimizing Donor Outreach for Blood Collection Sessions: A Scalable Decision Support Framework
[arXiv] 2026-03-31 | MacTok: Robust Continuous Tokenization for Image Generation
[arXiv] 2026-03-31 | Unify-Agent: A Unified Multimodal Agent for World-Grounded Image Synthesis
[arXiv] 2026-03-31 | ARCOL: Aspect Ratio Constrained Orthogonal Layout
[arXiv] 2026-03-31 | Learning Diagnostic Reasoning for Decision Support in Toxicology
[arXiv] 2026-03-31 | Permutation modules for Ramsey structures
[arXiv] 2026-03-31 | On the application of the SCD semismooth* Newton method to solving Stokes problem with stick-slip boundary conditions
[arXiv] 2026-03-31 | Kondo scaling of $4f$-electron states and the Kondo singlet breakdown in heavy fermions
[arXiv] 2026-03-31 | Quantitative Uniqueness of Kantorovich Potentials
[arXiv] 2026-03-31 | Adaptive Mitigation of Insider Threats via Off-Policy Learning
[arXiv] 2026-03-31 | A Strong Linear Programming Relaxation for Weighted Tree Augmentation
[arXiv] 2026-03-31 | Imprint of the adjoint meson spectrum in the decay patterns of hidden-bottom tetraquarks
[arXiv] 2026-03-31 | Emotion Diffusion Classifier with Adaptive Margin Discrepancy Training for Facial Expression Recognition
[arXiv] 2026-03-31 | Adiabatic Ramsey Interferometry for Measuring Weak Nonlinearities with Super-Heisenberg Precision
[arXiv] 2026-03-31 | Accessibility Percolation with Rough Mount Fuji labels
[arXiv] 2026-03-31 | A note on right-angled Artin subgroups of one-relator groups
[arXiv] 2026-03-31 | Multitype PCR branching processes
[arXiv] 2026-03-31 | Topological sum rule for geometric phases of quantum gates
[arXiv] 2026-03-31 | From Orientations to $\ell$-adic Period Vectors
[arXiv] 2026-03-31 | Exponential Periods for Integrals in Physics
[arXiv] 2026-03-31 | Self-Improving Code Generation via Semantic Entropy and Behavioral Consensus
[arXiv] 2026-03-31 | Entanglement between an NV Center and Chiral Photons in a Topological SWCNT Plasmonic Microtoroid
[arXiv] 2026-03-31 | Social Amplification Dominates Collective Hazard Response
[arXiv] 2026-03-31 | Comment on "Lattice QCD constraints on the critical point from an improved precision equation of state"
[arXiv] 2026-03-31 | ConInfer: Context-Aware Inference for Training-Free Open-Vocabulary Remote Sensing Segmentation
[arXiv] 2026-03-31 | Bilevel MPC for Linear Systems: A Tractable Reduction and Continuous Connection to Hierarchical MPC
[arXiv] 2026-03-31 | Aligning Multimodal Sequential Recommendations via Robust Direct Preference Optimization with Sparse MoE
[arXiv] 2026-03-31 | SuperGrasp: Single-View Object Grasping via Superquadric Similarity Matching, Evaluation, and Refinement
[arXiv] 2026-03-31 | The Actinide-Boost Star LAMOST J122216.85-063345.2: A Detailed R-process Abundance Study with Gemini-S/GHOST
[arXiv] 2026-03-31 | Ripples of Stellar Enrichment (RoSE) -- simulating element production and mixing in the Milky Way star-by-star
[arXiv] 2026-03-31 | Spatiotemporal imaging of gate-controlled multipath dynamics of fractional quantum Hall edge excitations
[arXiv] 2026-03-31 | Beyond pass@1: A Reliability Science Framework for Long-Horizon LLM Agents
[arXiv] 2026-03-31 | Long-Reach Robotic Manipulation for Assembly and Outfitting of Lunar Structures
[arXiv] 2026-03-31 | Sustainable AI Assistance Through Digital Sobriety
[arXiv] 2026-03-31 | SyriSign: A Parallel Corpus for Arabic Text to Syrian Arabic Sign Language Translation
[arXiv] 2026-03-31 | LightHarmony3D: Harmonizing Illumination and Shadows for Object Insertion in 3D Gaussian Splatting
[arXiv] 2026-03-31 | TORCH: Characterizing Invalid Route Filtering via Tunnelled Observation
[arXiv] 2026-03-31 | Optimal stability threshold in lower regularity spaces for the Vlasov-Poisson-Fokker-Planck equations
[arXiv] 2026-03-31 | Quantum anomalous Hall effect in monolayer transition-metal trihalides
[arXiv] 2026-03-31 | The Lee--Yang Edge Exponent via Logarithmic Averaging
[arXiv] 2026-03-31 | IMPACT: Influence Modeling for Open-Set Time Series Anomaly Detection
[arXiv] 2026-03-31 | Dummy-Aware Weighted Attack (DAWA): Breaking the Safe Sink in Dummy Class Defenses
[arXiv] 2026-03-31 | High-efficiency and noise-immune quantum battery
[arXiv] 2026-03-31 | Quasiperiodicity-Engineered Re-entrant Localization-Delocalization aspects in a Diamond Lattice
[arXiv] 2026-03-31 | Interplay of Electric Dipole Spin Resonance and Multilevel Landau-Zener Interference in p-Type Silicon Quantum Dots
[arXiv] 2026-03-31 | Local smooth rigidity of Anosov diffeomorphisms in $\mathbb{T}^{3}$
[arXiv] 2026-03-31 | The axion-photon coupling from lattice Quantum Chromodynamics
[arXiv] 2026-03-31 | Robust Flat Magnetoresistivity in D0$_3$-Fe$_3$Ga Driven by Chiral Anomaly
[arXiv] 2026-03-31 | When Bayes goes bad: Weakly-regularized covariate adjustment leads to a biased estimate of prevalence
[arXiv] 2026-03-31 | Time-resolved role of coherence and delocalization in photosynthetic energy transfer from an extended exciton model
[arXiv] 2026-03-31 | Primal-dual dynamics featuring Hessian-driven damping and variable mass for convex optimization problems
[arXiv] 2026-03-31 | Concept Training for Human-Aligned Language Models
[arXiv] 2026-03-31 | Sampling-Horizon Neural Operator Predictors for Nonlinear Control under Delayed Inputs
[arXiv] 2026-03-31 | 1.5 Million Messages Per Second on 3 Machines: Benchmarking and Latency Optimization of Apache Pulsar at Enterprise Scale
[arXiv] 2026-03-31 | Enhanced Channel Estimation for Flexible Intelligent Metasurface-Aided Communication Systems
[arXiv] 2026-03-31 | APEX-EM: Non-Parametric Online Learning for Autonomous Agents via Structured Procedural-Episodic Experience Replay
[arXiv] 2026-03-31 | WybeCoder: Verified Imperative Code Generation
[arXiv] 2026-03-31 | IQRA 2026: Interspeech Challenge on Automatic Assessment Pronunciation for Modern Standard Arabic (MSA)
[arXiv] 2026-03-31 | Salted Fisher Information for Hybrid Systems
[arXiv] 2026-03-31 | Reward-Based Online LLM Routing via NeuralUCB
[arXiv] 2026-03-31 | EnsembleSHAP: Faithful and Certifiably Robust Attribution for Random Subspace Method
[arXiv] 2026-03-31 | ContextClaim: A Context-Driven Paradigm for Verifiable Claim Detection
[arXiv] 2026-03-31 | Role of the equivalence principle in gauge and axial symmetries of Yukawa coupling, and the strong CP problem
[arXiv] 2026-03-31 | Approximation algorithms for satisfiable and nearly satisfiable ordering CSPs
[arXiv] 2026-03-31 | Refined Detection for Gumbel Watermarking
[arXiv] 2026-03-31 | Noise Inference by Recycling Test Rounds in Verification Protocols
[arXiv] 2026-03-31 | Asymptotic stability of heteroclinic cycles of type Y
[arXiv] 2026-03-31 | Conditional Polarization Guidance for Camouflaged Object Detection
[arXiv] 2026-03-31 | Tracking Equivalent Mechanistic Interpretations Across Neural Networks
[arXiv] 2026-03-31 | Phyelds: A Pythonic Framework for Aggregate Computing
[arXiv] 2026-03-31 | What does the Universe sound like?
[arXiv] 2026-03-31 | Bridging Stochastic Control and Deep Hedging: Structural Priors for No-Transaction Band Networks
[arXiv] 2026-03-31 | Extending MONA in Camera Dropbox: Reproduction, Learned Approval, and Design Implications for Reward-Hacking Mitigation
[arXiv] 2026-03-31 | A counterexample to a conjecture of Sárközy on sums and products modulo a prime
[arXiv] 2026-03-31 | Simplex Layers and Phase Boundaries in the Partition Graph
[arXiv] 2026-03-31 | Pattern Expansion of Spin Glasses
[arXiv] 2026-03-31 | Quantifying Cross-Modal Interactions in Multimodal Glioma Survival Prediction via InterSHAP: Evidence for Additive Signal Integration
[arXiv] 2026-03-31 | Various conjectural series identities
[arXiv] 2026-03-31 | Hilbert's Sixth Problem and Soft Logic
[arXiv] 2026-03-31 | SurgTEMP: Temporal-Aware Surgical Video Question Answering with Text-guided Visual Memory for Laparoscopic Cholecystectomy
[arXiv] 2026-03-31 | NeuroBRIDGE: Behavior-Conditioned Koopman Dynamics with Riemannian Alignment for Early Substance Use Initiation Prediction from Longitudinal Functional Connectome
[arXiv] 2026-03-31 | Think Anywhere in Code Generation
[arXiv] 2026-03-31 | TD$Δ$SCF: Time-Dependent Density Functional Theory with a Non-Aufbau Reference for near-degenerate states
[arXiv] 2026-03-31 | Implementing Basic Arithmetic in $\mathbb{F}_p$ via $\mathbb{F}_2$, and Its Application for Computing the Hamming Distance of Linear Codes
[arXiv] 2026-03-31 | Molecular beam epitaxy of wafer-scale O-band InAs/InGaAs quantum dots on GaAs for quantum photonics
[arXiv] 2026-03-31 | End-to-End Image Compression with Segmentation Guided Dual Coding for Wind Turbines
[arXiv] 2026-03-31 | Abstraction in Style
[arXiv] 2026-03-31 | C-TRAIL: A Commonsense World Framework for Trajectory Planning in Autonomous Driving
[arXiv] 2026-03-31 | Less Is More? Selective Visual Attention to High-Importance Regions for Multimodal Radiology Summarization
[arXiv] 2026-03-31 | Penalized GMM Framework for Inference on Functionals of Nonparametric Instrumental Variable Estimators
[arXiv] 2026-03-31 | The Method of Potentials for the Airy Equation of Fractional Order
[arXiv] 2026-03-31 | Csiszár indices and interpolating copulas
[arXiv] 2026-03-31 | The Instrumented Baffle at the Input Mode Cleaner of Advanced Virgo Plus: Four years of Successful Operation as a Monitor of Stray Light
[arXiv] 2026-03-31 | HLC: A High-Quality Lightweight Mezzanine Codec Featuring High-Throughput Palette
[arXiv] 2026-03-31 | Bayesian methods for the identification of model parameters for water transport in porous media
[arXiv] 2026-03-31 | Operational Criterion for Imaginary-Time Reconstruction in Time-Resolved Electronic Circular Dichroism
[arXiv] 2026-03-31 | Counterfactual Analysis of Brain Network Dynamics
[arXiv] 2026-03-31 | Seeding grain nucleation and dust growth: Ionisation, epoxidation and charge disproportionation effects
[arXiv] 2026-03-31 | Bridging Quantum and Semiclassical Volume: A Numerical Study of Coherent State Matrix Elements in Loop Quantum Gravity
[arXiv] 2026-03-31 | Beyond Expectation Values: Generalized Semiclassical Expansions for Matrix Elements of Gauge Coherent States
[arXiv] 2026-03-31 | Curvature-Guided LoRA: Steering in the pretrained NTK subspace
[arXiv] 2026-03-31 | Short-lived memory in multidimensional spectra encodes full signal evolution
[arXiv] 2026-03-31 | Partial regularity for minimizing constraint maps for the Alt-Phillips energy
[arXiv] 2026-03-31 | Early intrafamily collisions in newly formed asteroid families
[arXiv] 2026-03-31 | Optimal Control of a Mesoscopic Information Engine
[arXiv] 2026-03-31 | SceneTeract: Agentic Functional Affordances and VLM Grounding in 3D Scenes
[arXiv] 2026-03-31 | The WEAVE acquisition and guiding software: pattern recognition-based acquisition and multi-fibre guiding
[arXiv] 2026-03-31 | Rethinking AI Literacy Education in Higher Education: Bridging Risk Perception and Responsible Adoption
[arXiv] 2026-03-31 | SCORE: Statistical Certification of Regions of Attraction via Extreme Value Theory
[arXiv] 2026-03-31 | Learning the Exact Flux: Neural Riemann Solvers with Hard Constraints
[arXiv] 2026-03-31 | Physiological and Semantic Patterns in Medical Teams Using an Intelligent Tutoring System
[arXiv] 2026-03-31 | JEPA-MSAC: A Joint-Embedding Predictive Architecture for Multimodal Sensing-Assisted Communications
[arXiv] 2026-03-31 | An inverted infall profile for the collapse of the massive star-forming IRDC SDC335.579-0.292
[arXiv] 2026-03-31 | Do covariates explain why these groups differ? The choice of reference group can reverse conclusions in the Oaxaca-Blinder decomposition
[arXiv] 2026-03-31 | Detecting speculative leaks with compositional semantics
[arXiv] 2026-03-31 | Tree models for covariate-dependent method agreement with repeated measurements in clinical research
[arXiv] 2026-03-31 | Derivative relations for determinants, Pfaffians and characteristic polynomials in random matrix theory
[arXiv] 2026-03-31 | Optimizing the description of the Delta region in the Ghent Hybrid model for single-pion production
[arXiv] 2026-03-31 | Constraining Lyman-Werner Feedback from Velocity Acoustic Oscillations in the Cosmic Dawn 21 cm Signal
[arXiv] 2026-03-31 | High-Order Perfect Absorption in the Absence of Exceptional Point
[arXiv] 2026-03-31 | Entanglement in prepare-and-measure scenarios without receiver inputs
[arXiv] 2026-03-31 | Double-weak-link interferometer of hard-core bosons in one dimension
[arXiv] 2026-03-31 | Efficient Amortized Bayesian Inference for Markov Random Fields via Gradient-Informed Grid Selection
[arXiv] 2026-03-31 | Convergence analysis for a finite-volume scheme for the Euler- and Navier-Stokes-Korteweg system via energy-variational solutions
[arXiv] 2026-03-31 | The hadronic contribution to the running of the electroweak gauge couplings
[arXiv] 2026-03-31 | Baby Scale: Investigating Models Trained on Individual Children's Language Input
[arXiv] 2026-03-31 | Tucker Attention: A generalization of approximate attention mechanisms
[arXiv] 2026-03-31 | Operator systems and positive extensions over discrete groups
[arXiv] 2026-03-31 | Synthesis imaging with a lunar orbit array: II. Impacts of instrument-induced phase errors
[arXiv] 2026-03-31 | Rewrite the News: Tracing Editorial Reuse Across News Agencies
[arXiv] 2026-03-31 | Anomaly detection in Fink. I. Discovery, follow-up, and classification of unusual sources
[arXiv] 2026-03-31 | Sub-Riemannian structures and non-transitive Cartan geometries via Lie groupoids
[arXiv] 2026-03-31 | Kernel-SDF: An Open-Source Library for Real-Time Signed Distance Function Estimation using Kernel Regression
[arXiv] 2026-03-31 | Holographic Weyl Anomaly and Kounterterms in AdS gravity
[arXiv] 2026-03-31 | Graph Iterative Filtering methods for the analysis of nonstationary signals on graphs
[arXiv] 2026-03-31 | An Empirical Comparison of Security and Privacy Characteristics of Android Messaging Apps
[arXiv] 2026-03-31 | Seymour-tight orientations
[arXiv] 2026-03-31 | Reciprocity of Skew Hall-Littlewood-Schubert Series
[arXiv] 2026-03-31 | Thermalization in high-dimensional systems: the (weak) role of chaos
[arXiv] 2026-03-31 | Atomically Reconfigurable Single-Molecule Optoelectronics
[arXiv] 2026-03-31 | IMPASTO: Integrating Model-Based Planning with Learned Dynamics Models for Robotic Oil Painting Reproduction
[arXiv] 2026-03-31 | The Manipulate-and-Observe Attack on Quantum Key Distribution
[arXiv] 2026-03-31 | Quantization with Unified Adaptive Distillation to enable multi-LoRA based one-for-all Generative Vision Models on edge
[arXiv] 2026-03-31 | Determining the NJL Coupling and AMM in Magnetized QCD Matter via Machine Learning
[arXiv] 2026-03-31 | Benchmarking PhD-Level Coding in 3D Geometric Computer Vision
[arXiv] 2026-03-31 | Nodal degeneration of chiral algebras
[arXiv] 2026-03-31 | Geometric Properties of Level Sets for Domains under Geometric Normal Property
[arXiv] 2026-03-31 | Hybrid Framework for Robotic Manipulation: Integrating Reinforcement Learning and Large Language Models
[arXiv] 2026-03-31 | Scalable AI-assisted Workflow Management for Detector Design Optimization Using Distributed Computing
[arXiv] 2026-03-31 | From Patterns to Policy: A Scoping Review Based on Bibliometric Analysis (ScoRBA) of Intelligent and Secure Smart Hospital Ecosystems
[arXiv] 2026-03-31 | The scalar--Maxwell--$Λ(x)$ system: Wormhole spacetimes without nonlinear electrodynamics in unimodular gravity
[arXiv] 2026-03-31 | Functional models and self-modeling property of minimal Dirac operators on the half-line
[arXiv] 2026-03-31 | Some geometric series for Euler's constant
[arXiv] 2026-03-31 | A Precision Emulation Approach to the GPU Acceleration of Ab Initio Electronic Structure Calculations
[arXiv] 2026-03-31 | High-fidelity entangled photon pairs from a quantum-dot-based single-photon source
[arXiv] 2026-03-31 | Scaling Video Pretraining for Surgical Foundation Models
[arXiv] 2026-03-31 | EC-Bench: Enumeration and Counting Benchmark for Ultra-Long Videos
[arXiv] 2026-03-31 | Growth-rate distributions at stationarity
[arXiv] 2026-03-31 | Implication semilattice of 990 quasigroup equational laws
[arXiv] 2026-03-31 | $p$-adic Character Neural Network
[arXiv] 2026-03-31 | Deep-UV bleaching of charge disorder in encapsulated graphene
[arXiv] 2026-03-31 | "There is literally zero funding": Understanding the Emerging Role of Trusted Flaggers under the EU Digital Services Act
[arXiv] 2026-03-31 | Microscopic Origin of Page Curve
[arXiv] 2026-03-31 | Projection-Free Algorithms for Minimax Problems
[arXiv] 2026-03-31 | Beyond AI advice -- independent aggregation boosts human-AI accuracy
[arXiv] 2026-03-31 | Trotter Scars: Trotter Error Suppression in Quantum Simulation
[arXiv] 2026-03-31 | First energy scan measurement of $e^{+}e^{-}\to K^{+}K^{-}$ around the $ψ(2S)$ resonance
[arXiv] 2026-03-31 | DiSGMM: A Method for Time-varying Microscopic Weight Completion on Road Networks
[arXiv] 2026-03-31 | Friends, Foes, and First Authors: A Game Theory Model of How Power Plays Rewrite Academic Co-Authorship Networks
[arXiv] 2026-03-31 | Copy-Spread-Annihilate Dynamics in Degree-Assortative Networks
[arXiv] 2026-03-31 | SIREN: Spatially-Informed Reconstruction of Binaural Audio with Vision
[arXiv] 2026-03-31 | Multi-paradigm Logic Programming in the ${\cal E}$rgoAI System
[arXiv] 2026-03-31 | Homogeneous stellar parameters for 717,807 TESS FGK stars using Gaia DR3
[arXiv] 2026-03-31 | Floquet Codes from Derived Semi-Regular Hyperbolic Tessellations on Orientable and Non-Orientable Surfaces
[arXiv] 2026-03-31 | Robust and Consistent Ski Rental with Distributional Advice
[arXiv] 2026-03-31 | Computing Topological Transition Sets for Line-Line-Circle Trisectors in $R^3$
[arXiv] 2026-03-31 | Sampling at intermediate temperatures is optimal for training large language models in protein structure prediction
[arXiv] 2026-03-31 | Cooperative Control of Parallel Actuators for Linear Robust Output Regulation of Uncertain Linear Minimum-phase Plants
[arXiv] 2026-03-31 | Non-perturbative CPMG scaling and qutrit-driven breakdown under compiled superconducting-qubit control: a single-qubit study
[arXiv] 2026-03-31 | GeoDistNet: An Open-Source Tool for Synthetic Distribution Network Generation
[arXiv] 2026-03-31 | LLM Probe: Evaluating LLMs for Low-Resource Languages
[arXiv] 2026-03-31 | Gravitational waves from gaps of neutron stars
[arXiv] 2026-03-31 | Lecture Notes on Symmetry Reduction via the Dressing Field Method
[arXiv] 2026-03-31 | Learning to Generate Formally Verifiable Step-by-Step Logic Reasoning via Structured Formal Intermediaries
[arXiv] 2026-03-31 | Calibrated Confidence Expression for Radiology Report Generation
[arXiv] 2026-03-31 | Inference in covariate-adjusted bipartite network models
[arXiv] 2026-03-31 | 30-meter Land Surface Temperature from Landsat via Progressive Self-Training Downscaling
[arXiv] 2026-03-31 | AI-Simulated Expert Panels for Socio-Technical Scenarios and Decision Guidance
[arXiv] 2026-03-31 | Numerical methods for the computation of densities of states of periodic operators
[arXiv] 2026-03-31 | CReF: Cross-modal and Recurrent Fusion for Depth-conditioned Humanoid Locomotion
[arXiv] 2026-03-31 | Near-derivations and their applications to Lie algebras
[arXiv] 2026-03-31 | Polyhedral Unmixing: Bridging Semantic Segmentation with Hyperspectral Unmixing via Polyhedral-Cone Partitioning
[arXiv] 2026-03-31 | mtslearn: Machine Learning in Python for Medical Time Series
[arXiv] 2026-03-31 | Binomial determinants: some closed formulae
[arXiv] 2026-03-31 | Ultra-short-term volatility surfaces
[arXiv] 2026-03-31 | Force Geometry and Irreversibility in Nonequilibrium Dynamics
[arXiv] 2026-03-31 | Concentration of the bootstrap empirical process, with applications to statistical inference
[arXiv] 2026-03-31 | Using Fast Reading Current Integrator for Advanced Ion Beam Diagnostics Across Continuous and Pulsed Modes
[arXiv] 2026-03-31 | Spontaneous BRST symmetry breaking in infrared QCD
[arXiv] 2026-03-31 | The Andersen-Masbaum-Ueno conjecture for the derived subgroup of the Johnson kernel
[arXiv] 2026-03-31 | Effective approach of the tridendriform Schroeder tree algebra
[arXiv] 2026-03-31 | Communication-Aware Synthesis of Safety Controller for Networked Control Systems
[arXiv] 2026-03-31 | Learning Semantic Priorities for Autonomous Target Search
[arXiv] 2026-03-31 | Extend3D: Town-Scale 3D Generation
[arXiv] 2026-03-31 | PromptForge-350k: A Large-Scale Dataset and Contrastive Framework for Prompt-Based AI Image Forgery Localization
[arXiv] 2026-03-31 | Causality-inspired Federated Learning for Dynamic Spatio-Temporal Graphs
[arXiv] 2026-03-31 | How and Why Agents Can Identify Bug-Introducing Commits
[arXiv] 2026-03-31 | Examples of compact embedded mean convex $λ$-hypersurfaces
[arXiv] 2026-03-31 | Decoding Dopant-Induced Electronic Modulation in Graphene via Region-Resolved Machine Learning of XANES
[arXiv] 2026-03-31 | StereoVGGT: A Training-Free Visual Geometry Transformer for Stereo Vision
[arXiv] 2026-03-31 | Time evolution formalism in the complex scaling method: Application to the E1 response of $^6$He
[arXiv] 2026-03-31 | Space-Time Adaptive Beamforming for Satellite Communications: Harnessing Doppler as New Signaling Dimensions
[arXiv] 2026-03-31 | Nomad: Autonomous Exploration and Discovery
[arXiv] 2026-03-31 | Error bounds on analytic Koopman-based Lyapunov functions
[arXiv] 2026-03-31 | Graph Theoretic Framework of Dynamical Systems Through the Boundary Polynomial
[arXiv] 2026-03-31 | Accelerating 5G Synchronization Signal Timing Offset Estimation Using Dual-Rate Sampling
[arXiv] 2026-03-31 | Mexican Burrowing Toads as gravitational wave detectors
[arXiv] 2026-03-31 | Optical spectroscopy of high redshift BL Lac objects
[arXiv] 2026-03-31 | Cow-culation: Reentry Impact Risk to Livestock in the Satellite Megaconstellation Era
