[2026-02-24 09:38:54] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-23
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202602230000+TO+202602232359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-2-23 | WiFi-Based Assessment of Scoliosis-Related Spinal Postures
[IEEE] 2026-2-23 | Phase Shifted Quasi-Elliptical Fringe Patterns for Underwater 3D Imaging
[IEEE] 2026-2-23 | Polarization Reconfigurable Magnetoelectric Dipole Antenna with Broadband Stable Gain for Vehicular Satellite Communication System
[IEEE] 2026-2-23 | Sensing-Assisted Compressive Superimposed CSI Feedback
[IEEE] 2026-2-23 | A highly sensitive electro optic-SPR optical fiber sensor for micro-voltage monitoring
[IEEE] 2026-2-23 | 2025 12th International Conference on Social Networks Analysis, Management and Security (SNAMS)
[IEEE] 2026-2-23 | Advanced Packaging Road Map to 2030: Integrating Memory, Logic, and Systems for Artificial Intelligence
[IEEE] 2026-2-23 | Automated Diabetic Retinopathy Screening Using Custom Convolutional Neural Networks
[IEEE] 2026-2-23 | Boosted Ensemble Classification of Landsat 8 Imagery Over Nainital Region Using Fuzzy C-Means and XGBoost
[IEEE] 2026-2-23 | Inside Knowledge: Graph-based Path Generation with Explainable Data Augmentation and Curriculum Learning for Visual Indoor Navigation
[IEEE] 2026-2-23 | Augmented Multinomial Logistic Regression for Mineral Classification in Charnockite Rock
[IEEE] 2026-2-23 | Kinetostatic Modeling and Analysis of an Exoskeleton Type 3-PFR Rod-Driven Continuum Robot for Wrist Rehabilitation
[IEEE] 2026-2-23 | A Multipath Ghost Removal Algorithm for mm-Wave Radar-Based Indoor Human Detection
[IEEE] 2026-2-23 | An Ultra-Wideband Millimeter-Wave CMOS Power Amplifier for 5G Applications
[IEEE] 2026-2-23 | CricTAL: Introducing Temporal Activity Localisation Using Pose Estimation to Identify Key Phases in Cricket Batting for Downstream Action Quality Assessment
[IEEE] 2026-2-23 | NaVIP: A Low-Cost, Infrastructure-Free Indoor Navigation Solution for Visually Impaired Persons
[IEEE] 2026-2-23 | Demographic Differentials in Face Image Quality: Evaluation and Comparison on Real and Synthetic Data
[IEEE] 2026-2-23 | Investigation of Assessment Techniques for Analysis of Muscle Fatigue
[IEEE] 2026-2-23 | Interpretable Advanced Machine Learning Models for Early Identification of Health Insurance Claim Fraud Detection
[IEEE] 2026-2-23 | AI-Based Cross-Layer Vulnerability Management for Cloud-Native Systems
[IEEE] 2026-2-23 | Deep Learning Based Diagnostic Framework for Pancreatic Cancer Detection Using CT- Images
[IEEE] 2026-2-23 | Hierarchical X-Ray Recognition for Obsolete Semiconductor Chips Combining Rule-Driven and Deep Learning Approaches
[IEEE] 2026-2-23 | SlimComm: Doppler-Guided Sparse Queries for Bandwidth-Efficient Cooperative 3-D Perception
[IEEE] 2026-2-23 | Application of Semantic Segmentation on SEM Images of Rubber Composites and Verification of Correlation with Material Properties
[IEEE] 2026-2-23 | Predictive Modelling of Art Patient Status Using Machine Learning: A Comparative Study of Classification Algorithms
[IEEE] 2026-2-23 | Warehouse Spatial Question Answering with LLM Agent 1st Place Solution of the 9th AI City Challenge Track 3
[IEEE] 2026-2-23 | Research on Non-Cascaded Constrained Model Predictive Control for Direct-Drive Permanent Magnet Synchronous Wind Generators
[IEEE] 2026-2-23 | PreciVision: An integrated platform for multiple diseases detection Using CNN model
[IEEE] 2026-2-23 | Metaheuristic-Enhanced Deep Learning Models for Network Anomaly Detection: Evaluation and Future Outlook
[IEEE] 2026-2-23 | Machines that can Imagine: The Instruments and Methods Used in Generative AI Art
[IEEE] 2026-2-23 | Efficient Real-World Deblurring Using Single Images: AIM 2025 Challenge Report
[IEEE] 2026-2-23 | Smart Routing for Multimodal Video Retrieval: When to Search What
[IEEE] 2026-2-23 | Temporal Multimodal Memory Banks for Agentic Reasoning
[IEEE] 2026-2-23 | Hybrid Intelligence Endpoint Defense (HIED): A Data-Fusion Approach for Proactive Malware Detection
[IEEE] 2026-2-23 | Equilibrium Manifold Tracking Control of Four-Link Active Ankle Assist Mechanism for Human Motion Stability
[IEEE] 2026-2-23 | Unsupervised Learning Approach for Polycystic Ovary Syndrome Diagnosis Through CNN Feature Extraction and Clustering Algorithms
[IEEE] 2026-2-23 | FusionEnsembleNet: An Attention-Based Ensemble of Spatiotemporal Networks for Multimodal Sign Language Recognition
[IEEE] 2026-2-23 | Analysis of Boost Converter Control Performance Considering Output Capacitor Design
[IEEE] 2026-2-23 | Detection and Classification of Edible Mushrooms Using Deep Learning Model YOLOv12s for Market Authentication
[IEEE] 2026-2-23 | Modular Combination Strategies for Chiral Origami Mechanisms Based on Screw Theory
[IEEE] 2026-2-23 | Modeling of Multiple Grid-Forming Devices and Analysis of Oscillation Mechanisms
[IEEE] 2026-2-23 | Machine Learning-Based Leak Detection in Urban Water Distribution Networks
[IEEE] 2026-2-23 | The Impact of Artificial Intelligence on Cancer Biomarker Detection and Analysis
[IEEE] 2026-2-23 | LEVI-SAM: Tightly-Coupled LiDAR-Visual-Inertial Odometry with Event Cameras
[IEEE] 2026-2-23 | Signal Integrity Analysis of Interconnection Structures Using Conformal Finite-Difference Time-Domain Method
[IEEE] 2026-2-23 | Artificial Intelligence in the Diagnosis and Understanding of Primary Dysmenorrhea and Endometriosis: Emerging Insights and Clinical Implications
[IEEE] 2026-2-23 | Feature-Enhanced Relation Extraction with Large Language Models
[IEEE] 2026-2-23 | DC-Link Discharge Resistance Design for Three-Phase Voltage-Source Converter Considering System Stability
[IEEE] 2026-2-23 | BLIP-3: A Family of Open Large Multimodal Models
[IEEE] 2026-2-23 | Hybrid Robotic Hand for Fabric Manipulation with a Single-Finger
[IEEE] 2026-2-23 | Research on Short-Term Load Forecasting Methods for Integrated Mine Energy Systems Considering Source-Load Uncertainty
[IEEE] 2026-2-23 | Operationalising Political Style: A Diagnostic Model for Governmental Speeches During the Pandemic
[IEEE] 2026-2-23 | Tawa: Automatic Warp Specialization for Modern GPUs with Asynchronous References
[IEEE] 2026-2-23 | Binary Diffing via Library Signatures
[IEEE] 2026-2-23 | Integrating AI into DevSecOps Pipelines for Secure Cloud Microservices Management
[IEEE] 2026-2-23 | CoralVOS: Dataset and Benchmark for Dense Coral Video Segmentation
[IEEE] 2026-2-23 | Research on Cooperative Control Algorithm for S-Curve Trajectory Tracking and Dynamic Obstacle Avoidance of Autonomous Vehicles Based on MPC
[IEEE] 2026-2-23 | CrossGAP: Unified Face Anti-Spoofing via Cross-Modal Global-Aware Prompting
[IEEE] 2026-2-23 | Multimodal Representation Alignment for Image Generation: Text-Image Interleaved Control is Easier than You Think
[IEEE] 2026-2-23 | Forgetting-Free Incremental Panoptic Lifting by Maximum-Visibility Viewpoint Selection
[IEEE] 2026-2-23 | Impact of Black-Box Adversarial Attacks on Deep Neural Networks for Skin Imaging
[IEEE] 2026-2-23 | Research and Implementation of Humanoid Robot Footstepping Method Based on Deep Reinforcement Learning and Recurrent Neural Networks
[IEEE] 2026-2-23 | An Intelligent Bid Evaluation System for the Energy Industry Based on Large Language Models
[IEEE] 2026-2-23 | CAFE: Unifying Representation and Generation with Contrastive-Autoregressive Finetuning
[IEEE] 2026-2-23 | ProtoMedX: Towards Explainable Multi-Modal Prototype Learning for Bone Health Classification
[IEEE] 2026-2-23 | Research on Power Frequency Waveform Classification for Transmission Lines Based on a Cascaded XGBoost Model
[IEEE] 2026-2-23 | Lightweight Spatio-Temporal Attention Network with Graph Embedding and Rotational Position Encoding for Traffic Forecasting
[IEEE] 2026-2-23 | Heterogeneous Exoskeleton Teleoperation for Humanoid Upper-bodies: Elbow-Constrained Retargeting with ZNN
[IEEE] 2026-2-23 | A Wideband Decoupling Method for Patch Antennas in MIMO Systems
[IEEE] 2026-2-23 | Knowledge-Enhanced Bayesian Text Modeling and Analysis via Document Embedding and Clustering
[IEEE] 2026-2-23 | Multi-Scale Attention Residual Network for Flexible Sensor-Based Human Activity Recognition
[IEEE] 2026-2-23 | Sweating the Stress: GSR Insights into Cognitive Load and Distraction
[IEEE] 2026-2-23 | A Frequency Selective Rasorber Based on an Integrated Absorptive Structure
[IEEE] 2026-2-23 | An Innovative Approach to Cardiac Care: Using Artificial Intelligence to Predict and Prevent Sudden Cardiac Arrest
[IEEE] 2026-2-23 | BioCrest - A Flexible Adaptive Robotic Hand Based on Idle-Stroke Mechanism*
[IEEE] 2026-2-23 | Investigation of Dielectric Characteristics of Non-Uniform Moisture in Epoxy-Impregnated Paper Based on Frequency Domain Dielectric Spectroscopy
[IEEE] 2026-2-23 | Explainable AI for Early Detection and Treatment of Blood Cancer: Enhancing Transparency and Trust in Oncology
[IEEE] 2026-2-23 | Research on Multi-Modal Data Fusion Technology for Detection and Assessment of Transmission Line Defects
[IEEE] 2026-2-23 | Artificial Intelligence for Predicting Oocyte Maturity and Quality in Assisted
[IEEE] 2026-2-23 | Noise and SNR Characteristics Analysis of an Arctic HF Wideband Channel
[IEEE] 2026-2-23 | Customer Loyalty in the Age of Personalization: A Predictive Analytics Approach for Service-Based Business Models
[IEEE] 2026-2-23 | Research on UAV Trajectory Prediction Method Based on Bi-LSTM with Self-Attention Mechanism
[IEEE] 2026-2-23 | A Method for Power System Condition Recognition and Fault Diagnosis Based on Warped Clustering Strategy
[IEEE] 2026-2-23 | Prediction of Battery Thermal Runaway Gas Products Based on FT-Transformer Neural Network
[IEEE] 2026-2-23 | Machine Learning-Based Fault Prediction in Large- Scale Distributed Systems
[IEEE] 2026-2-23 | Towards Reporting Bias in Visual-Language Datasets: Bi-Modal Data Augmentation by Decoupling Object-Attribute Association
[IEEE] 2026-2-23 | An Information-Theoretic Approach to Diversity Evaluation of Prompt-Based Generative Models
[IEEE] 2026-2-23 | Probabilistic Dynamic Quantization for Memory Constrained Devices
[IEEE] 2026-2-23 | C2D-ISR: Optimizing Attention-Based Image Super-Resolution from Continuous to Discrete Scales
[IEEE] 2026-2-23 | MIRAGE: Unsupervised Single Image to Novel View Generation with Cross Attention Guidance
[IEEE] 2026-2-23 | Low-Rank Prompt Adaptation for Open-Vocabulary Object Detection
[IEEE] 2026-2-23 | VidMP3: Video Editing by Representing Motion with Pose and Position Priors
[IEEE] 2026-2-23 | AdCorDA: Classifier Refinement via Adversarial Correction and Domain Adaptation
[IEEE] 2026-2-23 | Not Only Grey Matter: OmniBrain for Robust Multimodal Classification of Alzheimer's Disease
[IEEE] 2026-2-23 | Multi-Objective Optimization for Deep Neural Network Calibration
[IEEE] 2026-2-23 | A Survey on Reading Order, Table of Contents, and Structure Extraction in Document Analysis
[IEEE] 2026-2-23 | Document Haystack: A Long Context Multimodal Image/Document Understanding Vision LLM Benchmark
[IEEE] 2026-2-23 | A GenAI-Powered Cybersecurity Mesh for Real-Time Risk Detection in Digital Payments
[IEEE] 2026-2-23 | An Integrated Model CINO-CNN-BiLSTM+Pooler for Tibetan Text Sentiment Classification
[IEEE] 2026-2-23 | Region-Aware Pose Modeling and Permutation Decoding for Signer-Independent Sign Language Recognition
[IEEE] 2026-2-23 | A B-Spline Interpolator for Dual-Robot Mirror Milling of Thin-Walled Parts with Optimized Trajectories
[ACM] 2026-2-23 | General Game Playing
[ACM] 2026-2-23 | Reproducibility Report for ACM SIGMOD 2025 Paper: 'Dangers of List Processing in Querying Property Graphs'
[ACM] 2026-2-23 | Reproducibility Report for ACM SIGMOD 2025 Paper: 'Tribase: A Vector Data Query Engine for Reliable and Lossless Pruning Compression using Triangle Inequalities'
[IEEE] 2026-2-23 | CEPET 2025 Copyright Page
[IEEE] 2026-2-23 | A Novel AI-Enhanced Textile-Embedded Wearable Biosensor for Non-Invasive Vocal-Fold Monitoring
[IEEE] 2026-2-23 | Modeling the Impact of Urban Street Geometry on Automotive Radar-Communication Co-Existence
[IEEE] 2026-2-23 | High-Performance 1200-V p-GaN Gate HEMT on Standard 650-V GaN-on-Si Epi-Wafer
[IEEE] 2026-2-23 | Preface
[IEEE] 2026-2-23 | ConvertNet: Training-time Model Scaling for In-vehicle Continuous Learning
[IEEE] 2026-2-23 | Service Function Chain Anomaly Detection Method for Cyber Threat Detection in Aviation Information System
[IEEE] 2026-2-23 | A Prototype Aware Sparse Residual MLP for Robust Hand Gesture Recognition From Multichannel EMG
[IEEE] 2026-2-23 | Front Cover
[IEEE] 2026-2-23 | Gain Modulation using Shunting Inhibition in a Biased Subthreshold CMOS Dendrite
[IEEE] 2026-2-23 | Robot Metacognition: Decision Making with Confidence for Tool Invention
[IEEE] 2026-2-23 | Physics-Aware Initialization Refinement in Code-Aided EM for Blind Channel Estimation
[IEEE] 2026-2-23 | Cost-Effective Sub-THz Signal Generation and Transmission Using a Directly Modulated Laser
[IEEE] 2026-2-23 | A Modeling Attack Resistant PUF-enabled Robust Authentication and Key Agreement Scheme for Industrial Wireless Sensor Networks
[IEEE] 2026-2-23 | CECT-Mamba: A Hierarchical Contrast-Enhanced-Aware Model for Pancreatic Tumor Subtyping from Multi-Phase CECT
[IEEE] 2026-2-23 | On the Generalization of Optical Flow: Quantifying Robustness to Dataset Shifts
[IEEE] 2026-2-23 | MRDNet: A Manifold-Aware Rotated Detector Network for Remote Sensing Images
[IEEE] 2026-2-23 | UKMADNet: Unified KAN-Based Multi-Scale Attention Network with Deformable Downsampling for Jaw Cyst Segmentation
[IEEE] 2026-2-23 | Med-VLM: Enhancing Medical Image Segmentation Accuracy Through Vision-Language Model
[IEEE] 2026-2-23 | AI in Cybersecurity: Fighting Hackers With Smarter Technologies
[IEEE] 2026-2-23 | Dental Disease Detection Using EfficientNet
[IEEE] 2026-2-23 | LLMs as NAO Robot 3D Motion Planners
[IEEE] 2026-2-23 | SOC Estimation Based on OCV-Ah with Differential Amplifier Circuit
[IEEE] 2026-2-23 | An Explainable Machine Learning Framework for Predicting Software Defects in Large-Scale Software Systems
[IEEE] 2026-2-23 | Topology-Preserving Image Segmentation with Spatial-Aware Persistent Feature Matching
[IEEE] 2026-2-23 | DroneRise: A Multi-Temporal UAV Dataset and Benchmark for River Water-Level Rise Detection
[IEEE] 2026-2-23 | A Fault Diagnosis Method for Planetary Gearboxes Based on Current Signal and Symplectic Geometry Modal Decomposition
[IEEE] 2026-2-23 | SupConWI-RL: Wafer Inspection with Reinforcement Learning Enhanced by Supervised Contrastive Learning
[IEEE] 2026-2-23 | Research on the Risk Model of Cost Deviation in the Budget Estimation of Power Transmission and Transformation Projects Based on Bayesian Network
[IEEE] 2026-2-23 | A Multi-Functional Radar Task Scheduling Algorithm Based on Task Augmentation and Graph Neural Networks
[IEEE] 2026-2-23 | Research on Optimization of Enterprise Electricity Consumption Strategy and Cost Control Based on Electricity Price Signal
[IEEE] 2026-2-23 | Adaptive Face Anti-Spoofing Through Enhanced Data Manipulation and Feature Contrast Techniques
[IEEE] 2026-2-23 | ORXE: Orchestrating Experts for Dynamically Configurable Efficiency
[IEEE] 2026-2-23 | AI-Powered Interoperable Blockchain Framework Using Deep Learning and Lightweight Consensus for Enhanced Security and Scalability
[IEEE] 2026-2-23 | Quantum Fourier Transform Inspired Filtering for Enhanced Edge Preservation in SAR Imagery for Ship Detection
[IEEE] 2026-2-23 | Lasso Gripper: A String Shooting-Retracting Mechanism for Shape-Adaptive Grasping
[IEEE] 2026-2-23 | Proton: Towards Multi-level, Adaptive Profiling for Triton
[IEEE] 2026-2-23 | Fusion Supervised and Self-Supervised Learning for Intelligent Case Classification in Telecom CRMs
[IEEE] 2026-2-23 | Microscopic Modeling and Analysis of Bipolar Corona Discharge from a Floating Conductor
[IEEE] 2026-2-23 | Cooperative Monitoring of Unknown Moving Object Using Multi-FW-UAV System Fencing
[IEEE] 2026-2-23 | Research on Energy-Aware Ring Topology Routing Protocol: Location Privacy Protection and Network Lifetime Optimization for WSN Base Stations
[IEEE] 2026-2-23 | Efficient Detection of Diabetic Retinopathy through Deep Learning Using MobileNetV2
[IEEE] 2026-2-23 | Research on Anomaly Detection and Processing Method for Daily Maximum Load of Distribution Transformers Based on STL-S-H-ESD
[IEEE] 2026-2-23 | TAV-Nav: A Tool-Augmented VLM Navigator for Safe and Efficient Lunar Rover Path Planning
[IEEE] 2026-2-23 | Crop Disease Diagnosis Model using Hybrid Model
[IEEE] 2026-2-23 | Seamless Perception-Prediction Switching: A Zero-Shot Approach to Robotic Following Under Occlusion
[IEEE] 2026-2-23 | Detection of Emerging Respiratory Infections Using Chest Radiography
[IEEE] 2026-2-23 | Optimization Design of Magnetic Wheels to Enhance Adhesion Performance for Climbing Robots
[IEEE] 2026-2-23 | BiodiverseNet: Multitask Learning on Fused Multispectral and Radar Data for Scalable Ecosystem Monitoring
[IEEE] 2026-2-23 | Advance in Technology and Artificial Intelligence for Managing Snoring and Obstructive Sleep Apnoea
[IEEE] 2026-2-23 | FSD-DETR: A Lightweight and Accurate Synergistic Network for SAR Ship Detection
[IEEE] 2026-2-23 | Probabilistic Algorithmic Framework to Decrease Risk of Costs and Improve Supply Chain Dependability under Uncertain Condition
[IEEE] 2026-2-23 | Development of a Pipe-diameter Adaptive Wheeled Climbing Robot
[IEEE] 2026-2-23 | YogaVR: An AI and IoT-Based Posture Correction Approach for Yoga in Virtual Reality
[IEEE] 2026-2-23 | AI Enabled Secure Examination Environment with Real Time Surveillance and Automation
[IEEE] 2026-2-23 | Information Entropy-Based Global-Local Path Planning of Robotic Active Sensing for Multivariate Environmental 3D Spatial Estimation
[IEEE] 2026-2-23 | Distributed Model Predictive Control of Grid-forming Power Converter for Wind Turbine System
[IEEE] 2026-2-23 | A Review on Sentiment Analysis Approaches: Using Ensemble Deep Learning for Multimodal Data
[IEEE] 2026-2-23 | From Design to Impact: A UX-Driven Approach to Gamified Online Education
[IEEE] 2026-2-23 | Wearable Sensors and AI for Personalized Football Training and Injury Prevention
[IEEE] 2026-2-23 | Noise is an Efficient Learner for Zero-Shot Vision-Language Models
[IEEE] 2026-2-23 | HiSS: Human-Inspired Semantic Segmentation for Vehicle Interior Scene Understanding
[IEEE] 2026-2-23 | Safety Without Semantic Disruptions: Editing-free Safe Image Generation via Context-preserving Dual Latent Reconstruction
[IEEE] 2026-2-23 | Explainable AI-Generated Image Forensics: A Low-Resolution Perspective with Novel Artifact Taxonomy
[IEEE] 2026-2-23 | M3DocVQA: Multi-Modal Multi-Page Multi-Document Understanding
[IEEE] 2026-2-23 | MG-Gen: Single Image to Motion Graphics Generation
[IEEE] 2026-2-23 | A Malicious Traffic Detection Method based on Adaptive Ensemble
[IEEE] 2026-2-23 | Dual-Band Fixed-Beam Leaky-Wave Antenna for Point-to-Point Communication Applications
[IEEE] 2026-2-23 | DRISHTI: GAN-CNN Based SAR Colorization with K-Means Land Cover Analysis
[IEEE] 2026-2-23 | Configuring the optimal service of an intermodal bulk cargo transport service on the Danube corridor
[IEEE] 2026-2-23 | Fault Detection in Automotive Engines Through ConvNeXt-LSTM and Attention Mechanisms in IoV Systems
[IEEE] 2026-2-23 | A Spatio-Temporal Semantic Algorithm for Video Anomaly Detection from Monitoring Perspectives
[IEEE] 2026-2-23 | Low-Loss Transmission Structures for 650 GHz Vacuum Electron Devices
[IEEE] 2026-2-23 | Dino2-DR: A Trustworthy and Explainable Vision Transformer for Cross-Domain Diabetic Retinopathy Grading
[IEEE] 2026-2-23 | A Miniaturized and High-Isolation Dual-Band Wilkinson Power Divider Based on TSV
[IEEE] 2026-2-23 | Local Implicit Variational Autoencoder for Arbitrary-Scale Super-Resolution
[IEEE] 2026-2-23 | A Metaheuristic Approach to Fake News Detection using Tuned Grey Wolf Optimized SVM
[IEEE] 2026-2-23 | AI-Enhanced Hierarchical Framework for Global Disaster Risk Assessment with Spatiotemporal Prediction and Priority-Based Intervention
[IEEE] 2026-2-23 | Design of Compact OAM Reflectarray Based on Dispersion-Aligned 4-bit Pixel Meta-Atoms
[IEEE] 2026-2-23 | Paired-Sampling Contrastive Framework for Joint Physical-Digital Face Attack Detection
[IEEE] 2026-2-23 | GenEscape: Hierarchical Multi-Agent Generation of Escape Room Puzzles
[IEEE] 2026-2-23 | A Robot Visual Localization Architecture Using Hybrid Map with Explicit-Implicit Combination
[IEEE] 2026-2-23 | KWE-ASG: Key Waypoint Extraction and Action Sequence Generation-based Imitation Learning for Dual-arm-hand Manipulation
[IEEE] 2026-2-23 | Metal Ridge Loaded Semi-Cylindrical Cavity with Test Position-Insensitive Property
[IEEE] 2026-2-23 | Flexible Broadband Symmetrically Folded Dipole Antenna for Head Imaging Systems
[IEEE] 2026-2-23 | AI Based Non-Fatal Dermatological Disease Identification Using Raspberry Pi
[IEEE] 2026-2-23 | Uncertainty-Aware Likelihood Ratio Estimation for Pixel-Wise Out-of-Distribution Detection
[IEEE] 2026-2-23 | DiViD: Disentangled Video Diffusion for Static-Dynamic Factorization
[IEEE] 2026-2-23 | Human Vision Constrained Super-Resolution
[IEEE] 2026-2-23 | Embedded Parking Space Detection Based on Image Processing and SVM
[IEEE] 2026-2-23 | Whole-Body Control with Terrain Estimation of A 6-DoF Wheeled Bipedal Robot
[IEEE] 2026-2-23 | Construction of an IT Operation and Maintenance Data-Driven Decision Support System for Power Grid Based on Multi-Dimensional Monitoring
[IEEE] 2026-2-23 | Advanced Machine Learning and AI-Driven Security Frameworks for Intrusion Detection in Wireless Sensor Networks
[IEEE] 2026-2-23 | Analyzing University Students’ Perceptions of ChatGPT: A Case Study at Ajman University, UAE
[IEEE] 2026-2-23 | Fusing Convolution and Vision Transformer Encoders for Object Height Estimation from Monocular Satellite and Aerial Images
[IEEE] 2026-2-23 | Reconstruction of robot teleoperation force information in simulated time-delay network based on LSTM-Transformer
[IEEE] 2026-2-23 | Power-Weighted Pretraining-Based Feature Extraction for Model Adaptation of RF Power Amplifiers
[IEEE] 2026-2-23 | Building A Model Combining State Policy, Artificial Intelligence (AI), And Folk Knowledge In Responding To Climate Change (CC) In Vietnam: Potentials And Challenges
[IEEE] 2026-2-23 | SELDOM: Scene Editing via Latent Diffusion with Object-Centric Modifications
[IEEE] 2026-2-23 | Automated Anemia Classification with MobileNetV2 and LIME for Enhanced Medical Image Analysis
[IEEE] 2026-2-23 | LIARS: Low-Information Area Recognition for Steganography
[IEEE] 2026-2-23 | Autonomous Trespassing Detection of a Surveillance Robot
[IEEE] 2026-2-23 | A Real-Time Object Detection Model for Indoor Mobile Robots Based on YOLOv8-LCFD
[IEEE] 2026-2-23 | Performance Evaluation of Classical Machine Learning Models for Crime Prediction
[IEEE] 2026-2-23 | An End-Edge-Cloud Collaborative Scheduling Method Based on Deep Reinforcement Learning and Attention Mechanism Integration
[IEEE] 2026-2-23 | CytoDiff: AI-Driven Cytomorphology Image Synthesis for Medical Diagnostics
[IEEE] 2026-2-23 | DeepNetDetect: A Deep Learning-Based Approach for Early Anomaly Detection in Network Traffic
[IEEE] 2026-2-23 | HOSt3R: Keypoint-Free Hand-Object 3D Reconstruction from RGB Images
[IEEE] 2026-2-23 | A Lightweight Deep Learning Based Classification Models for Non-Human Identity Threat Detection
[IEEE] 2026-2-23 | Measurement Verification of the Equivalent Method for Shielding Effectiveness Based on Cylindrical Shields
[IEEE] 2026-2-23 | Ship Classification of Underwater Acoustic Target Using a CNN-Transformer Approach
[IEEE] 2026-2-23 | Valeo Near–Field: A Novel Dataset for Pedestrian Intent Detection
[IEEE] 2026-2-23 | UltraNBA Neural Bundle Adjustment for Pose Refinement in 3D Freehand Ultrasound
[IEEE] 2026-2-23 | TabNet-IDS: A TabNet-Driven Tabular Deep Learning Framework for Intrusion Detection Systems
[IEEE] 2026-2-23 | Research on Special Tests of VSC-HVDC Converter Valve
[IEEE] 2026-2-23 | Real-Time Embedded Vision System for Plastic Bag Detection on Raspberry Pi 5
[IEEE] 2026-2-23 | Enhanced Fisheye Object Detection via YOLO Ensemble Learning and Weighted Box Fusion
[IEEE] 2026-2-23 | A Cascaded Metasurface Antenna Topology for Measurement-Efficient Phaseless Computational Microwave Imaging via Diversity Multiplication
[IEEE] 2026-2-23 | Multi-Agent Reinforcement Learning-Based Configuration of Mobile Network Antenna Parameters
[IEEE] 2026-2-23 | AI-Native Latency Optimization for 6G Industrial IoT: An Interpretable Machine Learning Approach to Robot Control Network Slicing
[IEEE] 2026-2-23 | EDC-YOLO: A Maritime Ship Detection Method with Adaptive Gating and Content-Guided Fusion
[IEEE] 2026-2-23 | Total-Editing: Head Avatar with Editable Appearance, Motion, and Lighting
[IEEE] 2026-2-23 | Multi-Scale Hybrid CNN-Transformer for Smoke Detection in Satellite Images
[IEEE] 2026-2-23 | The Role of Social Network Sites in Raising Awareness of Sustainability Among Communities
[IEEE] 2026-2-23 | Potential Uses and Limitations of AI in Cancer and Infectious Disease Assessment Diagnostics: A Quick Reference
[IEEE] 2026-2-23 | Distributed incremental saturation kernel-based correntropy filter subject to unknown non-Gaussian noise and measurement bias
[IEEE] 2026-2-23 | Dual-view correlation entropy filter for enhanced mechanical prognosis under non-Gaussian interference
[IEEE] 2026-2-23 | Digital twins in forest management using scalable Deep Learning Pipeline
[IEEE] 2026-2-23 | Improving Surface Property Retrievals in Boreal Seasonal Snowpacks through Multiscale Modeling of Subgrid Reflectance
[IEEE] 2026-2-23 | Robust Hierarchical Traveling-Wave Partial Discharge Localization for Efficient Insulation Defect Detection of Medium-Voltage Overhead Lines
