[2026-07-16 22:56:42] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-15
正在获取论文...
[arXiv] 2026-07-15 | The spread construction and non-uniqueness of visible Lagrangians
[arXiv] 2026-07-15 | Bernoulli determinants and cuspidal subgroups
[arXiv] 2026-07-15 | VGIF-Score: Interpretable and Diagnostic Evaluation of Spatio-Temporal Instruction Following in Video Generation
[arXiv] 2026-07-15 | Mapping Diplomatic Representation in Europe, 1648-1715
[arXiv] 2026-07-15 | $λ$PIC: A callback-centric particle-in-cell framework
[arXiv] 2026-07-15 | CODA: How to Mitigate ColumnDisturb for (Almost) Free?
[arXiv] 2026-07-15 | DP-BOA: Dirichlet-Process Birth-or-Assign for On-the-Fly Category Discovery
[arXiv] 2026-07-15 | Energy decay and weak observability for some evolution systems
[arXiv] 2026-07-15 | LAPO: Leave-One-Turn Attribution for Self-Generated Process Rewards in Multi-Turn Search Reasoning
[arXiv] 2026-07-15 | Layered Risk Mapping for Autonomous Patient Transport in Expeditionary Medical Facilities
[arXiv] 2026-07-15 | Pinching-Antenna Systems (PASS)-Based User-Side Navigation: An Anchor-Line-based Approach
[arXiv] 2026-07-15 | Lorentz-Covariant Spectral Bounds from Thermal Quantum Field Theory: Retarded Green's Functions, Kubo Relations, and Holographic Constraints
[arXiv] 2026-07-15 | Deformable State Estimation for Autonomous Surgical Tissue Retraction Under Partial Observability
[arXiv] 2026-07-15 | MyAG: A Graph-Based Framework for Designing and Analyzing Composable LLM Agent Systems
[arXiv] 2026-07-15 | EgoHTR: Egocentric 4D Demonstrations of Human Terrain Traversal
[arXiv] 2026-07-15 | Bring Music The Horizon: Music-Driven 360$^\circ$ Video Generation
[arXiv] 2026-07-15 | Physics-Informed Residual Deep Learning for Constitutive Modeling of Hot Deformation and Dynamic Recrystallization in a Mo-Rich $α+β$ Titanium Alloy
[arXiv] 2026-07-15 | PQFA: Parallel Quantum Feature Augmentation of Fused Representations for Multimodal Classification
[arXiv] 2026-07-15 | DevicesWorld: Benchmarking Cross-Device Agents in Heterogeneous Environments
[arXiv] 2026-07-15 | Security evaluation of quantum distance-bounding protocols via semidefinite programming
[arXiv] 2026-07-15 | Energy Minimization Oriented Resource Allocation for Integrated Sensing and Communication in Marine IoT Networks
[arXiv] 2026-07-15 | Machine Learning Challenges in Intelligent Unmanned Aerial Vehicle Operations in Developing Economie
[arXiv] 2026-07-15 | Stress-Sharing: A Bio-Inspired Approach to Decentralized Fault Repair in Modular Spacecraft
[arXiv] 2026-07-15 | The Environmental Cost of Digital Sovereignty: Water, Energy, and Emissions Impacts of Sovereign AI Infrastructure in the Global South
[arXiv] 2026-07-15 | Further exploration of the machine-learning-based nuclear mass table
[arXiv] 2026-07-15 | PUe: Biased Positive-Unlabeled Learning Enhancement by Causal Inference
[arXiv] 2026-07-15 | ScanFocus: A Coarse-to-Fine Framework for Spatio-Temporal Video Grounding
[arXiv] 2026-07-15 | Resistivity in Dilute Cu-3d Alloys Governed by Disorder-Induced Band Broadening
[arXiv] 2026-07-15 | MultiAnimate: A Unified Framework for Controllable Multi-Character Animation
[arXiv] 2026-07-15 | Evaluating Frontier AI Agents as Autonomous Clinical Security Auditors
[arXiv] 2026-07-15 | Ego-Dynamics-Augmented World Model for Autonomous Driving with Zero-Shot Cross-Chassis Adaptation
[arXiv] 2026-07-15 | AnomExpert: Identifying and Selecting Anatomical Planes for Prenatal Ultrasound Anomaly Diagnosis
[arXiv] 2026-07-15 | WNOJ-LIO: A White-Noise-on-Jerk Motion-Prior EKF for High-Dynamic LiDAR-IMU Fusion
[arXiv] 2026-07-15 | Set-shifting Behavioral Test for Harnessed Agents
[arXiv] 2026-07-15 | Self-Improving is Often Sudden: Enlightenment-style Finetuning for Large-Scale Models
[arXiv] 2026-07-15 | Where Should RL Post-Training Compute Go? Model Size, Search, Learning, and Feedback
[arXiv] 2026-07-15 | Change-Aware Self-Adaptive AI-Aided Kalman Filters With Neural Change Point Detection
[arXiv] 2026-07-15 | Residual-Christoffel Sampling for Random Feature Collocation of Linear PDEs
[arXiv] 2026-07-15 | Isometries between C$^*$-algebras with finite corank
[arXiv] 2026-07-15 | Linear motion (R-FLEX) for minature 6.2 mm pitch optical fiber position robots with polar (R-theta) kinematics
[arXiv] 2026-07-15 | Existence, Uniqueness, and Pathwise Regularity for Multidimensional Semilinear SPDEs with Locally Lipschitz Coefficients and Rough Initial Data
[arXiv] 2026-07-15 | Vision-Based Obstacle Separation for Strawberry Harvesting in Clusters Using Hierarchical Reinforcement Learning
[arXiv] 2026-07-15 | Differences between the uniform diameter two properties
[arXiv] 2026-07-15 | RABBITS IV: Stellar feedback and SMBH merging time-scales in the sub-Milky Way mass regime
[arXiv] 2026-07-15 | Kaleido: Algorithm-Hardware Co-Design for Video Diffusion Transformers by Exploiting Latent Space Correlations
[arXiv] 2026-07-15 | MxGPS: Multiplex Graph Transformers for a Power Grid Foundation Model
[arXiv] 2026-07-15 | Nonstandard likelihood-ratio limits under semidefinite rank constraints
[arXiv] 2026-07-15 | Post-Training Shifts Confidence: A Three-Stage Analysis of How SFT, RL, and OPD Shape Pre-, Intra-, and Post-CoT Calibration
[arXiv] 2026-07-15 | Regularity estimates in transport equations via heat flow and quantitative differentiation
[arXiv] 2026-07-15 | RI/SMOM renormalization for lattice QCD: bilinear and three-quark operators
[arXiv] 2026-07-15 | Contracting for Long-Duration Energy Storage in Incomplete Risk Markets
[arXiv] 2026-07-15 | GRACE-DG: A Discontinuous Galerkin method-based code for general non-linear coagulation-fragmentation equations
[arXiv] 2026-07-15 | Microscopic constitutive theory of stress overshoot, yielding, and strain hardening in amorphous materials
[arXiv] 2026-07-15 | The weak maximizing property for $(L_p([0,1]),L_q([0,1]))$
[arXiv] 2026-07-15 | Cluster with Auctions for Vector Search
[arXiv] 2026-07-15 | Interaction Density as a Behavioural Signature of Exhibit Type: A Minimal-Log Study from a Two-Venue Science Experience Centre
[arXiv] 2026-07-15 | On Milnor and Tjurina numbers of Pairs of Holomorphic Functions Germs
[arXiv] 2026-07-15 | The different methods to calculate cluster membership probabilities
[arXiv] 2026-07-15 | Multi-height Diagnosis of MHD Wave Periods and their Propagation in Solar Plages Using IRIS Observations
[arXiv] 2026-07-15 | Volumetric Inverse Rendering via Neural Radiative Transfer
[arXiv] 2026-07-15 | Norm Inflation for Inviscid and Fully Dissipative Boussinesq Systems in Supercritical Spaces
[arXiv] 2026-07-15 | Proactive URLLC Adaptation for Connected Vehicles Through ML-Based Channel Prediction
[arXiv] 2026-07-15 | Magnetic quadrupole current generation and accumulation in noncentrosymmetric systems
[arXiv] 2026-07-15 | When Bots Join the Team: Bot Adoption and the Institutional Fabric of Open-Source Software Projects
[arXiv] 2026-07-15 | M3F-UAV: A Missing-Modality Multimodal Foundation Model for Low-Altitude Wireless Sensing
[arXiv] 2026-07-15 | Local Certification of Vertex and Edge Connectivity
[arXiv] 2026-07-15 | WAVE-Stereo: Warp-Aligned Volume Encoding for Stereo Matching
[arXiv] 2026-07-15 | Proof of concept of heterodyne interferometry at 10.6 um using photonic correlation
[arXiv] 2026-07-15 | The Hyperspherical Geometry of CLIP Latent Space: A Semantic Mixture Model
[arXiv] 2026-07-15 | T3HG-Editor: Text-driven 3D Human Garment Editing with Body Priors Embedded in SMPL-X
[arXiv] 2026-07-15 | CIMERA: Compute-in-Interconnect and Memory with Reconfigurable Precision for LLM Inference
[arXiv] 2026-07-15 | Human4K: A Large-Scale 4K Multi-View Mocap Dataset for Whole-Body 3D Human Reconstruction
[arXiv] 2026-07-15 | The potential of quantum computers for Particle Image Velocimetry
[arXiv] 2026-07-15 | Assessing the sensitivity to Axion-Like-Particle Dark Matter with very-high-energy gamma-ray observations of selected AGN and galaxy cluster pairs
[arXiv] 2026-07-15 | gDMC: A Generic Distributed Model Counting Framework via Work-Stealing
[arXiv] 2026-07-15 | Phase diagram of one-dimensional bosons with Rydberg-dressed soft-core interactions
[arXiv] 2026-07-15 | Design, Modeling and Experimental Validation of a Miniature Hybrid Underwater Glider With Large-Range Foldable Deflectable Wings
[arXiv] 2026-07-15 | UESF-Bench: Benchmarking and Probing for Unified Embodied Seeking and Following
[arXiv] 2026-07-15 | A Telemetry-Driven Model for Quantifying Upgrade Risk in Durable Workflow Execution
[arXiv] 2026-07-15 | The SIGReg Objective as Variational Free Energy: A Theoretical Active-Inference Account of JEPA World Models
[arXiv] 2026-07-15 | Accelerating gas-network feasibility screening with a physics-informed graph neural network surrogate
[arXiv] 2026-07-15 | Gauge-Invariant, Parameter-Insensitive Regularization for Potential Recovery from Flow on Directed Graphs
[arXiv] 2026-07-15 | Automatic Ordinary Differential Equations Discovery For Biological Systems Using Large Language Model Powered Agentic System
[arXiv] 2026-07-15 | Semantic Anchoring for Robotic Action Representations
[arXiv] 2026-07-15 | Active Trust Management for Successful Human-Robot Teaming: Moving from a Trust Repair to a Trust Satisficing Perspective
[arXiv] 2026-07-15 | SAFETY SENTRY: Context-Aware Human Intervention via EXECUTE-ASK-REFUSE Routing
[arXiv] 2026-07-15 | Non-cancellative varieties, maximal tori, and the Makar-Limanov invariant
[arXiv] 2026-07-15 | Using backscattered thermal neutrons to monitor boron concentration during BNCT: a Monte Carlo feasibility study
[arXiv] 2026-07-15 | Rotation topological states: theory and material realization
[arXiv] 2026-07-15 | IMMNet: Hybrid Fusion of Model-based and Data-driven Approaches for Maneuvering Target Tracking
[arXiv] 2026-07-15 | Grounded world models in biological organisms and future embodied AI
[arXiv] 2026-07-15 | Improving reddening estimates for RR Lyrae stars in the Gaia bands: a machine learning approach to the PAC(Z) relation
[arXiv] 2026-07-15 | Earthquaker-AI: A Retrieval-Augmented Generation Framework with Rubric-Based Assessment for Primary School Earthquake Education
[arXiv] 2026-07-15 | Braid closure union braid axis is ribbon concordance minimal
[arXiv] 2026-07-15 | From Forecasts to Auditable Reports: Evidence Contracts for LLM-Assisted Housing-Guarantee Risk Monitoring
[arXiv] 2026-07-15 | Improving Wind and Solar Power Prediction with Efficient Wrapper-based Feature Selection: An Empirical Study
[arXiv] 2026-07-15 | Thermodynamic and electrical transport properties of the half-Heusler plumbide TbAuPb
[arXiv] 2026-07-15 | AeroMap3D: Anchoring Monocular UAV 6-DoF Localization to Visual-Geometric-Semantic Map Priors
[arXiv] 2026-07-15 | The potential broader complex linked to the key Cepheid SV Vul
[arXiv] 2026-07-15 | Rethinking Penetration Testing for AI-Enabled Systems: From Resource Compromise to Behavioral Objective Violation
[arXiv] 2026-07-15 | Singular limit for nonlocal conservation laws with non-locality in density and velocity
[arXiv] 2026-07-15 | Lyapunov Exponent as Physics-Informed Dense Reward: RL Discovery of Stabilization Beyond the Kapitza Pendulum
[arXiv] 2026-07-15 | The Dynamic Verifiable Multi-Agent Human Agentic Loyalty Loop (DVM-HALL) Model and the Net Human-Agent Score (NHAS) in Autonomous Commerce
[arXiv] 2026-07-15 | $\texttt{iNORG}$: An open-source quantum impurity solver package based on the natural orbitals renormalization group
[arXiv] 2026-07-15 | DARK-HIDE: Dark matter versus hidden dimensions in black hole images
[arXiv] 2026-07-15 | Nonreciprocal Relaxation Acceleration
[arXiv] 2026-07-15 | Universal Quantum Computation with Multi-Mode Schrödinger Cat States Stabilized by Non-Local Dissipation Engineering
[arXiv] 2026-07-15 | Contact-resolved deployment of the Contour Neurovascular System in patient-specific intracranial aneurysms
[arXiv] 2026-07-15 | Dolomite Mineral-Inspired Equilateral Triangular-Lattice Magnets for Quantum Magnetism
[arXiv] 2026-07-15 | Hodge numbers for orbifolds of Calabi-Yau threefolds Ferma type and the Roan pairs
[arXiv] 2026-07-15 | Propagation dynamics of an acid-mediated invasion model with degenerate tumor diffusion
[arXiv] 2026-07-15 | Radiation effects on surface and bulk properties of ATLAS18 silicon sensors under low- and high-dose gamma irradiation and annealing
[arXiv] 2026-07-15 | Cyclone: Diffusion Model for Cycle-Consistent Weather Editing from Unpaired Driving Data
[arXiv] 2026-07-15 | Epidemic Informatics and Control: A Holistic Approach from System Informatics to Epidemic Response and Risk Management in Public Health
[arXiv] 2026-07-15 | Safety-Aware Forward Detection in Networked ISAC for Low-Altitude UAV Flight
[arXiv] 2026-07-15 | PiVoT: A Variational Solution for Real-time Large-scale Multi-object Detection and Tracking under Heavy Clutter
[arXiv] 2026-07-15 | Tailored PDFs for new physics searches
[arXiv] 2026-07-15 | Learning Forward & Reverse Skills from a Single Unfinished Demonstration for Constrained Manipulation Tasks
[arXiv] 2026-07-15 | Task-Oriented Sensing and Covert Transmissions for Collaborative Multi-AUV Systems
[arXiv] 2026-07-15 | Superconducting proximity effect in a strongly correlated charge-transfer insulator
[arXiv] 2026-07-15 | Direct probabilistic IMPT treatment planning with setup and range errors for neuro-oncological patients
[arXiv] 2026-07-15 | Rethinking Speech Foundation Model Fine-tuning: Better SFT or Better Match?
[arXiv] 2026-07-15 | Estimation and Inference for Latent Dual Networks Using High-Dimensional IV Screening
[arXiv] 2026-07-15 | Evaporating cosmologically coupled black holes
[arXiv] 2026-07-15 | Electron Beam Radiolysis-Assisted Growth of Rutile TiO2 Thin Films
[arXiv] 2026-07-15 | Quantum Topological Data Encoding
[arXiv] 2026-07-15 | Post-Critical Meson Dynamics of Kibble-Zurek Excitations in a 5,564-Qubit Quantum Annealer
[arXiv] 2026-07-15 | Wireless millikelvin interconnects for superconducting quantum hardware
[arXiv] 2026-07-15 | The inversion number of a path-reversed tournament: Resolving a conjecture of Belkhechine, Bouaziz, Boudabbous, and Pouzet
[arXiv] 2026-07-15 | Quantitative propagation of chaos for the Boltzmann equation with moderately soft potentials
[arXiv] 2026-07-15 | Assessing the Forensic Viability of Android Memory Analysis Across Production Builds: A Cross-Version Study of Security Hardening and Structure Preservation
[arXiv] 2026-07-15 | Markovian evolution from a novel scheme
[arXiv] 2026-07-15 | AspectCLIP: Optimizing CLIP Representation Space via Aspect-Guided Consistency Regularization
[arXiv] 2026-07-15 | Towards Enhancing 3D Spatial Reasoning in Medical Multimodal Large Language Models
[arXiv] 2026-07-15 | Social Simulations: from Agent-Based Modeling to Digital Twins
[arXiv] 2026-07-15 | A Low-energy Threshold and Multi-messenger Trigger System for the JUNO Experiment
[arXiv] 2026-07-15 | Spectral Analysis and Liouville-Green Asymptotics for a Radial Sturm-Liouville Operator with Variable Coefficients
[arXiv] 2026-07-15 | Inverse Transfer in Non-helical 2D Collisionless Magnetic Turbulence: Island-Merger Picture with Kinetic Effects
[arXiv] 2026-07-15 | A Geometric Derivation of the Einstein Equations from the Causal Action Principle
[arXiv] 2026-07-15 | Implementations of Quantum and Classical Topology-Aligned Architectures for Molecular Property Prediction
[arXiv] 2026-07-15 | Nuclear Charge Radius of $^9$Be from Muonic Atom Spectroscopy Using a Microcalorimeter
[arXiv] 2026-07-15 | Fractional Chern insulators in alternating twisted multilayer MoTe$_{2}$
[arXiv] 2026-07-15 | Merging Reaction to Cognition: A Hybrid Cognitive Strategy for Odour Source Localisation in Natural Environments
[arXiv] 2026-07-15 | Effects of coherent and incoherent measurement imperfections on multipartite quantum nonlocality and quantum key distribution
[arXiv] 2026-07-15 | Characterisation of a Thick Pixelated Silicon Detector for Electron Spectroscopy of Neutron Beta Decay
[arXiv] 2026-07-15 | The even-uniform hypergraph Moore bound
[arXiv] 2026-07-15 | A Simple Obligation to Metric Interval Temporal Logic
[arXiv] 2026-07-15 | To Play or Not to Play: Insights and Lessons Learned from 20 Years of CTFs with ENOFLAG
[arXiv] 2026-07-15 | Elton: Urn Resources for Reasoning about Adversarial Probabilistic Programs
[arXiv] 2026-07-15 | Domination-packing ratio for planar and unit disk graphs
[arXiv] 2026-07-15 | An adaptive inverse-problem framework for one-loop five-gluon BCJ numerators
[arXiv] 2026-07-15 | Demystifying On-Policy Distillation: Roles, Pathologies, and Regulations
[arXiv] 2026-07-15 | TMallGS: Scaling Unified Feature and Sequence Modeling for Generative E-commerce Search
[arXiv] 2026-07-15 | Distinct Velocity Components in the Absorption Lines of the Neutron Star X-ray Binary AX J1745.6-2901
[arXiv] 2026-07-15 | Further thoughts on dimensions of posets
[arXiv] 2026-07-15 | Hybrid GKB Methods for X-Ray Tomography Problems with Unmatched Back Projector
[arXiv] 2026-07-15 | Learned Pairwise Deep Dual-Optimal Inequalities for Stabilizing Column Generation
[arXiv] 2026-07-15 | Quantum annealing in SU(3) multiplet space with nonlocal drivers
[arXiv] 2026-07-15 | TANDE: Disentangling Verbal and Nonverbal Backchannels in Emotional AI-Avatar Conversations with Young Adults
[arXiv] 2026-07-15 | Analysis of singularities of area-minimizing currents, Part III: branch points of planar frequency $\neq$ 2, higher order asymptotics, and the local topology
[arXiv] 2026-07-15 | How Well Can Frontier Large Language Models Generate Structures? High Quality Prediction of Molecular Geometries with Help from Fine-Tuning
[arXiv] 2026-07-15 | A versatile laser-machined rf trap for arrays of 100+ ions
[arXiv] 2026-07-15 | Cost-Pragmatic Quality Gating and Selection-Fusion Multi-Model Combiners for BioASQ Phases A+ and B
[arXiv] 2026-07-15 | JW-ASTClaw: A Generalizable Multi-Agent Framework for Autonomous Solar Telescope and Its Implementation within Chinese Meridian Project
[arXiv] 2026-07-15 | From Novice to Expert: Cost-Aware Bandits for Evolving Worker Performance in Crowdsensing
[arXiv] 2026-07-15 | Gabriel's and Frazer's problems for weighted Bergman spaces and their applications
[arXiv] 2026-07-15 | When T2I Synthetic Data Backfires: Amplified Privacy Risks in Real-Synthetic Mix Training
[arXiv] 2026-07-15 | Scientific-Intention Driven Embodied Intelligent Solar Telescope: Conceptual Design
[arXiv] 2026-07-15 | Computing Strong Rank-Revealing Factorizations for Matrices with Orthonormal Rows
[arXiv] 2026-07-15 | Twist-3 effects in fully inclusive jet production from $e^+e^-$ annihilation
[arXiv] 2026-07-15 | Weak charged current induced electron and positron scattering off proton at JLab and MAMI energies
[arXiv] 2026-07-15 | Kepler-Encoder-v0.1: Towards a Multimodal Embedding Model for Robots
[arXiv] 2026-07-15 | Security Evaluation of Laser-Phase-Noise Quantum Random Number Generators with Intrinsic Correlations
[arXiv] 2026-07-15 | Noninvertibility and Bifurcation Phenomena in a Four-Partitions Piecewise Linear Map
[arXiv] 2026-07-15 | Non-asymptotic Bounds of Learning-based Linear MPC With Input Constraints and Unbounded Stochastic Noise
[arXiv] 2026-07-15 | Basis-Independent Coherence Dynamics of Tripartite States under Pure Dephasing
[arXiv] 2026-07-15 | Reconstruct the ambient noise source from the multi-frequency sparse correlation data
[arXiv] 2026-07-15 | Attention-Free and Lightweight Token Reduction for Efficient Vision-Language Models
[arXiv] 2026-07-15 | CASA-SDF: Curriculum-Aware Spatial Adaptation with Curvature-Guided Density for Neural Implicit Surface Reconstruction
[arXiv] 2026-07-15 | On the Wiener and Harary Indices of Generalized Splitting and Shadow-Splitting Graphs
[arXiv] 2026-07-15 | Golden Finsler Geometry: Local Properties and Global Deformations
[arXiv] 2026-07-15 | Topology-Agnostic Mesh Reconstruction of Deformable Objects from Sparse Touch
[arXiv] 2026-07-15 | VAMP-MR: Vector-Accelerated Motion Planning and Execution for Multi-Robot-Arms
[arXiv] 2026-07-15 | Explainable Artificial Intelligence for Anomaly Detection in Banking Transactions: An Internal Audit Perspective
[arXiv] 2026-07-15 | 2D Rotary Position Embedding for Scene Text Recognition with Transformers
[arXiv] 2026-07-15 | CLIP-Guided Label-Free Discriminative Region Scoring for Fine-Grained Classification
[arXiv] 2026-07-15 | Chiral Landau levels induced by two in-plane pseudomagnetic fields in underwater acoustic metamaterials
[arXiv] 2026-07-15 | RainDancer: RGB-Event Video Deraining with Rain-Oriented Spiking Dynamics
[arXiv] 2026-07-15 | Complete functional calculus bounds for $ρ$-contractions
[arXiv] 2026-07-15 | Commensurating actions and self-similar groups
[arXiv] 2026-07-15 | A spinor-adapted geometric approach for nonlinear Dirac systems and its application to a tensorial wave-Dirac system near Minkowski spacetime
[arXiv] 2026-07-15 | Multihump-Multivalley Soliton Families on a Plane Wave Background in Birefringent Optical Fibers
[arXiv] 2026-07-15 | Unveiling the nature of G6096: a likely hierarchical triple system
[arXiv] 2026-07-15 | Mono-Z Dark Matter Search with Neural Spline Flows Using CMS Run 2015D Open Data
[arXiv] 2026-07-15 | No finite level of the NPA hierarchy is exact for the doubly-tilted CHSH functional near the critical tilt
[arXiv] 2026-07-15 | Time preference effects in forecasting
[arXiv] 2026-07-15 | Evidence for sequential $Υ$(nS) suppression in light ion collisions
[arXiv] 2026-07-15 | Filling 1-cycles, 2-cycle complexity, and torsion growth
[arXiv] 2026-07-15 | Independent Sets in Multiset Profile Graphs via Weighted Local Covers
[arXiv] 2026-07-15 | DAGR: State-Conditioned Goal Representations via Difference-Aware Goal Cross-Attention
[arXiv] 2026-07-15 | N-O Cool-chic: reconcile fast encoding with lightweight decoding for neural image compression
[arXiv] 2026-07-15 | How Agents Ask for Permission: User Permissions for AI Agents, from Interfaces to Enforcement
[arXiv] 2026-07-15 | Illumination bodies for ball-convex bodies
[arXiv] 2026-07-15 | From Metric to Mechanism: Designing Wireless Resilience through Finite Blocklength Dynamics
[arXiv] 2026-07-15 | The Test Oracle Problem in Synthetic LLM-as-Judge Corpora: Disappearance, Distortion and a Validation Protocol
[arXiv] 2026-07-15 | DNA: Dual-stage Native Attribution for Generated Image Source Tracing
[arXiv] 2026-07-15 | Stoner transitions beyond mean-field in two-dimensional electronic systems: a diagrammatic Monte Carlo study
[arXiv] 2026-07-15 | Explaining Reinforcement Learning Agents via Inductive Logic Programming
[arXiv] 2026-07-15 | Consensus as Privileged Context for Label-Free Self-Distillation
[arXiv] 2026-07-15 | Ambient Hardy--Littlewood Maximal Functions on Weighted Musielak--Orlicz Spaces over Domains
[arXiv] 2026-07-15 | Measuring What the Crawler Sees: Discovery Curves, Core Persistence, and Shell Dynamics in Longitudinal Web Crawls
[arXiv] 2026-07-15 | The Value of Perfect Endpoint Forecasts for Offshore-Wind Thermal Firming
[arXiv] 2026-07-15 | Unifying Decision-Making and Trajectory-Planning in Unsignalized Intersections Using Time-Varying Potential Fields
[arXiv] 2026-07-15 | Combined KM3NeT/ARCA and ANTARES search for compact neutrino sources
[arXiv] 2026-07-15 | Extending Liquid Rank Toward Multi-Source Reputation Aggregation
[arXiv] 2026-07-15 | Generalization of Ramanujan's Continued Fractions for Even Order
[arXiv] 2026-07-15 | Right-Handed Neutrino Production by an Axion-like Inflaton: Implications for Leptogenesis
[arXiv] 2026-07-15 | Memory as a Controlled Process: Learned Adaptive Memory Management for LLM Agents
[arXiv] 2026-07-15 | On the Performance of Pinching-Antenna Systems (PASS) Under Dynamic Channels with Blockages
[arXiv] 2026-07-15 | Structured Reinforcement Learning for Bayesian Persuasion : Application to Intelligent Interactive Driving
[arXiv] 2026-07-15 | Tensor Network decoding under inter-qubit correlated errors
[arXiv] 2026-07-15 | GHR-VLM: Making Zero-Shot Transit Video Analytics Realizable with Grounded Hybrid Reasoning
[arXiv] 2026-07-15 | Nexus: Native Mesh Generation with Diffusion
[arXiv] 2026-07-15 | AI advice suppresses people's willingness to say "I don't know", even when the advice is wrong and accuracy is incentivized
[arXiv] 2026-07-15 | Negative shocks versus static patch holography
[arXiv] 2026-07-15 | Groups with Finitely Many Shortlex Cones
[arXiv] 2026-07-15 | Exploiting Graph Structure for Near-Optimal Broadcasting
[arXiv] 2026-07-15 | Supersaturation for Hypergraph-Weighted Independent Sets
[arXiv] 2026-07-15 | Driven Odd Elasticity in Passive Mechanical Metamaterials
[arXiv] 2026-07-15 | Causal Discovery of Radiation Response Mechanisms in Human Cells
[arXiv] 2026-07-15 | Screening Is Effective for Visual Recognition
[arXiv] 2026-07-15 | On the Feyzbakhsh-Thomas programme for Fano $3$-folds
[arXiv] 2026-07-15 | Revealed Attentional Interference
[arXiv] 2026-07-15 | Measuring Sentiment News with Transformer-Based Language Models
[arXiv] 2026-07-15 | ProfMalPlus: Agent-Coordinated Detection of Malicious NPM Packages via Static-Dynamic Analysis Synergy
[arXiv] 2026-07-15 | $V/H$+Jet Production with the Cambridge/Aachen Algorithm
[arXiv] 2026-07-15 | Combinations and chromatography of paths of Kleinian groups
[arXiv] 2026-07-15 | Beyond the $d^{2.5}$-mixing bound for Dikin walks on polytopes
[arXiv] 2026-07-15 | Quantum observables for probabilistic classical particles
[arXiv] 2026-07-15 | NNStar: An end-to-end AI agent for nuclear matter and neutron star physics
[arXiv] 2026-07-15 | Plausible Deniability Guarantees for Whistleblowers
[arXiv] 2026-07-15 | Invariance Preserving Conjugations on the Hardy Space
[arXiv] 2026-07-15 | What are symmetric monoidal categories?
[arXiv] 2026-07-15 | How to Guide LLM Generation: Dual-Surrogate Guided Search for Automated Heuristic Design
[arXiv] 2026-07-15 | Stochastic Yield Catastrophe in Delay-Facilitated Self-Assembly
[arXiv] 2026-07-15 | Unleashing Multimodal Large Language Models for Training-free HOI Detection in the Wild
[arXiv] 2026-07-15 | Temperature-driven sodium-ion dynamical-to-static crossover in the zig-zag ordered phase of Na$_{0.5}$CoO$_2$
[arXiv] 2026-07-15 | From Classification to Consistent Templates: Multiple Permuted-Label Classifier Encoding for Biometric Template Protection
[arXiv] 2026-07-15 | Messy Research, Certification and the Monetization of Science
[arXiv] 2026-07-15 | Maximum non reciprocity in metasurfaces of gyrotropic rods
[arXiv] 2026-07-15 | From Continuous Deployment to Queryable Dataset: Terabyte-Scale AIS-Aligned Passive Acoustic Labelling
[arXiv] 2026-07-15 | Reveal, Correct, Then Pay: Encrypted Mempools and Perpetual Funding Security
[arXiv] 2026-07-15 | The exact minimum total degree threshold for the square of a Hamilton cycle in digraphs
[arXiv] 2026-07-15 | PROBE: Benchmarking Code Generation in Large Language Models
