[2026-09-03 23:48:17] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-02
正在获取论文...
[arXiv] 2026-09-02 | A Survey of Decentralized Physical Infrastructure Network,Research Directions, and Open Challenges
[arXiv] 2026-09-02 | Connectivity of HAPS-Based Solutions for Large-Scale Wireless Networks: A Percolation Theory Analysis
[arXiv] 2026-09-02 | Spatially Aware World Action Model via Geometric Latent Diffusion
[arXiv] 2026-09-02 | Efficient Simulation of Nonreciprocal Many-body Physics via Quantum Feedback
[arXiv] 2026-09-02 | Projected Subgradient Methods for a Class of Nonsmooth and Nonconvex Optimization Problems
[arXiv] 2026-09-02 | Power convexity of the torsion function on horo-convex domains in hyperbolic space
[arXiv] 2026-09-02 | Beauty is in the AI of the beholder: MLLMs systematically overrate facial attractiveness
[arXiv] 2026-09-02 | Algebraic study of quantum configuration spaces of decorated flags
[arXiv] 2026-09-02 | SR-Edit: Region-Aware Image Editing via Self-Refinement
[arXiv] 2026-09-02 | Flexibility of affine cones over blow-ups of weighted projective planes
[arXiv] 2026-09-02 | PragAlign: Feedback-Guided Pragmatic Alignment for Controlled Synthetic Dialogue Generation
[arXiv] 2026-09-02 | VAANI Noise Event Dataset: A curated spontaneous speech dataset annotated with timestamps for noise events
[arXiv] 2026-09-02 | Prominent Dimensional Effects on High-order Harmonic Generation in Strongly Correlated Electron Systems
[arXiv] 2026-09-02 | VIPS: Vehicle-Infrastructure Cooperative Planning Benchmark via Pseudo-Simulation
[arXiv] 2026-09-02 | Addressing Trust in AI Systems through Education: A Didactic Perspective
[arXiv] 2026-09-02 | Scalable Kronecker-Fisher Approximation: Efficient Hessian Analysis for Billion-Parameter Language Models Compression
[arXiv] 2026-09-02 | CACTUS: Mask-Guided Semantic Clean-Label Backdoors in Decentralized Federated Learning
[arXiv] 2026-09-02 | Towards One-for-All Robustness Across a Continuum of Threat Levels
[arXiv] 2026-09-02 | When Decodability Is Not Enough: Logical Validity Representations, Behavioral Dissociation, and Causal Tests in Language Models
[arXiv] 2026-09-02 | Deformations of the $\mathfrak{osp}(n|2)$-action on the superspace of symbols of differential operators on $\R^{1|n}$
[arXiv] 2026-09-02 | On the local well-posedness of the Benjamin-Ono-Zakharov-Kuznetsov equation
[arXiv] 2026-09-02 | A Two-Variable Zeta Function for a Parity-Perturbed Hofstadter Q-Recursion: The Exceptional t = -1 Slice and Gaussian Boundary Layers
[arXiv] 2026-09-02 | Membranes and Maps
[arXiv] 2026-09-02 | CA-OPD: Confidence-Aware On-Policy Distillation for Structured Visual Prediction
[arXiv] 2026-09-02 | Strictly solvable $d=4$ quantum field theory models with unitarity violation. Possible implications for baryon asymmetry of the Universe and dark matter
[arXiv] 2026-09-02 | Inside-out growth and the kiloparsec-scale star formation main sequence for low-surface-brightness disk galaxies in MaNGA
[arXiv] 2026-09-02 | 3D hybrid cellular Potts model with a discrete deformable fiber network: modeling cell contraction and extracellular matrix remodeling
[arXiv] 2026-09-02 | Surprises of Klein paradox
[arXiv] 2026-09-02 | Information Density Imbalance in Visual Object Detection
[arXiv] 2026-09-02 | NE-R1: Enhancing Named Entity Recognition Model via Reinforcement Learning
[arXiv] 2026-09-02 | Towards a Foundational Ontology for Identifying and Resolving Contradictions in Dialogue-based Human-Robot Interactions
[arXiv] 2026-09-02 | Collective Cell Fluidity Controls Active Prestress Transmission in Cell-Extracellular-Matrix Tissues
[arXiv] 2026-09-02 | Fair Stable Matching: A Nash Social Welfare Approach
[arXiv] 2026-09-02 | Fungal Memory and Minimal Cognition
[arXiv] 2026-09-02 | SonicCaps: Large-Scale Diverse and Fine-Grained Captioning for Improved Audio-Retrieval
[arXiv] 2026-09-02 | Toward High-Resolution Detection of Target Fragmentation: TEA-Sensitized NIT for Proton Therapy Applications
[arXiv] 2026-09-02 | ORB-SVM : An Innovative Hybrid Framework for Efficient Brain Tumor Detection from MRI Scans
[arXiv] 2026-09-02 | Surface brightness inhomogeneity on the helium-rich hot subdwarf in the X-ray binary HD 49798
[arXiv] 2026-09-02 | Boundary-Geometry-Driven Black Hole Formation in Vacuum
[arXiv] 2026-09-02 | Affine Copies of Three-Point Patterns in Sets of Integers
[arXiv] 2026-09-02 | Improved uncertainty representation for reducing artificial energy production in structured input-output stability analysis
[arXiv] 2026-09-02 | Meeting the Coming Wave: The Emerging Politics of AI and Work across 33 Parliaments
[arXiv] 2026-09-02 | SEAL: Reinforcing Global Safety in Mixture-of-Experts through Shared Expert ALignment
[arXiv] 2026-09-02 | If It Moves, Radar Knows: A Physics-Aware Radar Transformer for Class-Agnostic Moving-Object Detection
[arXiv] 2026-09-02 | Disjoint strong transitive operators on Hilbert C*-modules
[arXiv] 2026-09-02 | Lyapunov graphs of Non-singular Morse-Smale flows on $S^1 \times S^2$
[arXiv] 2026-09-02 | Retrosynthesis of Synthetic Media for Explainable AI Provenance Forensics
[arXiv] 2026-09-02 | CAPTURE: Disentangling Preference Drift from Memory Poisoning in Personalized LLM Agents
[arXiv] 2026-09-02 | Quantization and process
[arXiv] 2026-09-02 | Scattered data interpolation on the torus by compactly supported multinode Shepard operators
[arXiv] 2026-09-02 | Bidirectional CFO Separation for Radial Velocity Estimation In 5G NR TDD V2X Links
[arXiv] 2026-09-02 | APEx: Distillation of Agent Procedural Experience for Adaptive Deep Research Question Answering
[arXiv] 2026-09-02 | DiffuSearch: How Hybrid Trajectory Planning Benefits from Aligned Objectives in Diffusion and Action Space
[arXiv] 2026-09-02 | Handwriting Trajectory Recovery via Autoregressive Ordered Stroke Instance Prediction
[arXiv] 2026-09-02 | PGPO: Potential-Guided Policy Optimization for Multi-Turn Agentic Tasks
[arXiv] 2026-09-02 | InfraPatch: Cross-Task Targeted Grayscale Patch Attacks on Infrared-Adapted Vision-Language Models
[arXiv] 2026-09-02 | PEARL: Path-Entity Aligned Relational Learning with Contextual Subgraphs for Inductive Knowledge Graph Completion
[arXiv] 2026-09-02 | ASCII Attack: Recontextualising Harmful Requests as Artistic Critique in Large Language Models
[arXiv] 2026-09-02 | Agentic Settlement Protocol: An Application Profile for Refundable, Delayed-Fulfilment Agent Commerce on Stablecoin Rails
[arXiv] 2026-09-02 | SMart: A Multi-source Multi-phase Time Series Representation Transfer Framework
[arXiv] 2026-09-02 | Double Gravity-Assist Rendezvous Trajectory to Halley's Comet Using Deep-Space Low Thrust
[arXiv] 2026-09-02 | Group-Aware Adaptive Retrieval for Evidence Navigation
[arXiv] 2026-09-02 | Lightweight Adaptation of General-Purpose VLMs for Multispectral and SAR Image Understanding
[arXiv] 2026-09-02 | Progressive Pseudo-Label Optimization for Point-Supervised Change Detection
[arXiv] 2026-09-02 | DMRL: Document-Mediated Reinforcement Learning for Skill Optimization in Advertising Recommendation
[arXiv] 2026-09-02 | Stochastic Optimal Control Problem under Inside Information
[arXiv] 2026-09-02 | Do Cantonese-Adapted Language Models Better Predict Cantonese Reading? A Cross-Model Eye-Tracking Evaluation
[arXiv] 2026-09-02 | OBJECTION! Lawyer Agents Mitigate Guilty Bias in Legal Judgment Prediction
[arXiv] 2026-09-02 | A Layered Taxonomy for Chinese Learner Grammatical Error Annotation
[arXiv] 2026-09-02 | Beyond Modality Harmony: Orthogonal Purification and Topology-Guided MoE for Conflict-Aware Multimodal Recommendation
[arXiv] 2026-09-02 | Electron acceleration by turbulent reconnection in solar flares
[arXiv] 2026-09-02 | Quasicrystalline Inflation: From the Cosmological Dipole to Primordial Diffraction
[arXiv] 2026-09-02 | Renormalization group and long-range conditional mutual information in hierarchical models
[arXiv] 2026-09-02 | Scalable Bayesian Optimization of Composite Functions for Image-Based Inverse Problems in Materials Characterization
[arXiv] 2026-09-02 | Actions of quantum groups on dual operator spaces and their crossed products
[arXiv] 2026-09-02 | Optical Reservoir Computing with Structural Nonlinearity for Forecasting Chaotic Time Series
[arXiv] 2026-09-02 | Spectral Initialization and Scheduled Graph Smoothness for Uncertain Knowledge Graph Completion
[arXiv] 2026-09-02 | Direct observation of flat bands in near-magic-angle twisted bilayer CVD graphene
[arXiv] 2026-09-02 | Spatially-resolved multiphoton photoemission from a lateral transition metal dichalcogenide heterostructure
[arXiv] 2026-09-02 | Transient discs around isolated accreting neutron stars
[arXiv] 2026-09-02 | Quantum MeanFlow: single-shot generative sampling on NISQ hardware
[arXiv] 2026-09-02 | 17 Yr of Magnetar Bursts Observed with the Fermi Gamma-ray Burst Monitor
[arXiv] 2026-09-02 | On the length conjecture for twist knots
[arXiv] 2026-09-02 | Spin Hall Magnetoresistance in Antiferromagnetic Insulators
[arXiv] 2026-09-02 | Integrable Generators of Polynomial Vector Fields for Complex Classical Lie Groups
[arXiv] 2026-09-02 | Bell inequality violation with momentum-entangled massive particles
[arXiv] 2026-09-02 | Discriminative World Models for Web Agents
[arXiv] 2026-09-02 | Repairing PBE-Spurious Metallicity for HSE06-Level Screening of 2D Photocatalysts for Green Hydrogen Production
[arXiv] 2026-09-02 | Overcoming the Randomness-Utility Trade-off in Answering Differentially Private Linear Queries
[arXiv] 2026-09-02 | Finite-Time Singularities of the Kähler--Ricci Flow on Fano Bundles
[arXiv] 2026-09-02 | Learning CNN Filters via Generalized Stein's Method
[arXiv] 2026-09-02 | Radiative and Dalitz decays of $Υ(1S)$ in the light of the ATOMKI X17 anomaly
[arXiv] 2026-09-02 | Localized Persistent Commutative Algebra
[arXiv] 2026-09-02 | High performance Stingray
[arXiv] 2026-09-02 | The Implications of Linguistic Illegibility for LLM Security
[arXiv] 2026-09-02 | Canonical-row Chern flow on Bott--Samelson towers: realizable-volume models for Schubert, Grothendieck, and Lascoux polynomials
[arXiv] 2026-09-02 | UE5M3 FP4 Block Scaling for Stable Language Model Pretraining
[arXiv] 2026-09-02 | Degeneracy bounds, stability, and a sharp gap for $B$-colorings
[arXiv] 2026-09-02 | Inverse scattering method for nonlinear negative first order coupled Klein-Gordon equation
[arXiv] 2026-09-02 | Petersson-Rigid Lattices in a Census of 100 Rank-Three Root Bases
[arXiv] 2026-09-02 | Non-Invariance in Nested Prediction Models under Selective Predictor Availability
[arXiv] 2026-09-02 | Duals of algebraic matroids need not be algebraic
[arXiv] 2026-09-02 | Quantitative explosion and percolation of the divisible sandpile
[arXiv] 2026-09-02 | AI Contextual Measurement for Recovering Individual and Group-Level Effects: Validation Against Survey Measures and an Occupational Application
[arXiv] 2026-09-02 | GDB-Reward: From Evaluation Metrics to Training Rewards for Graphic Design
[arXiv] 2026-09-02 | Do Better Imagined Rollouts Mean Better Robot Control? A Controlled Study of World-Model Evaluation Under Feedback
[arXiv] 2026-09-02 | frb100-40 After Two Decades: An Optimality Certificate and a Preregistered Search Study
[arXiv] 2026-09-02 | Global Gyrokinetic Simulations of Electromagnetic Turbulence in STEP
[arXiv] 2026-09-02 | GRINTA: a new Probe of the Dynamic Universe
[arXiv] 2026-09-02 | AutoCompass: Accurate Visual Localization on Public Maps by Learning from Weak Labels
[arXiv] 2026-09-02 | Dutch Books for Language Models
[arXiv] 2026-09-02 | Characterization of Stanley-Reisner varieties by their automorphism group
[arXiv] 2026-09-02 | Conditional validity of quantum event classifiers under collider systematics and quantum estimation uncertainty
[arXiv] 2026-09-02 | Divergence-Free Approximation in Sobolev and Lebesgue Spaces on General Unbounded Domains with Applications to Energy Equality in Fluid Dynamics
[arXiv] 2026-09-02 | Off-policy causal estimation in networks
[arXiv] 2026-09-02 | Balancing Frequencies and Pixels in Flow Matching
[arXiv] 2026-09-02 | Incremental Pooled LLM Evaluation for Cost-Effective Retrieval Model Selection
[arXiv] 2026-09-02 | QArray+: A physics-informed GPU-accelerated simulator for quantum dot arrays
[arXiv] 2026-09-02 | Revisiting orbital recurrence in the dimmings of Boyajian's star (KIC~8462852)
[arXiv] 2026-09-02 | Smooth Counterexamples to the Eisenbud--Schreyer--Weyman Ulrich Existence Problem
[arXiv] 2026-09-02 | Mathematical Koans and Cartan Convexity: $Γ$-Convex Hulls and Butterfly Realizations
[arXiv] 2026-09-02 | On divergence related to Riemann--von Mangoldt's explicit formula of the prime-counting function
[arXiv] 2026-09-02 | A choice-free proof of the Erdös--Dushnik--Miller theorem
[arXiv] 2026-09-02 | Generating Medical Image Counterfactuals using Causal Explanations
[arXiv] 2026-09-02 | Galactic tides in the Solar System within a non-axisymmetric Milky Way model adjusted to Gaia data
[arXiv] 2026-09-02 | Response of a Model Glass to Athermal Quasistatic Pinching
[arXiv] 2026-09-02 | Entanglement entropy minimization and global symmetry violation in scatterings
[arXiv] 2026-09-02 | The Bonnet-Myers theorem on Finsler manifolds with integral weighted Ricci curvature bounds
[arXiv] 2026-09-02 | Genesis: A Generative Engine for Hierarchical Satellite Image Synthesis
[arXiv] 2026-09-02 | Projective Affine Body Dynamics for Multibody Systems
[arXiv] 2026-09-02 | Estimation risk in conditional expectiles
[arXiv] 2026-09-02 | Liquid-liquid phase transitions in dipolar liquids. Insights into Supercooled Water
[arXiv] 2026-09-02 | Query Rewriting for Complex Object Segmentation in 4D Gaussian Representations
[arXiv] 2026-09-02 | Characterizing Text Branch Sensitivity in Medical Vision-Language Segmentation via Evidence Decoupling
[arXiv] 2026-09-02 | Dimension Dependent Correlation Gap Bounds under Restricted Independence
[arXiv] 2026-09-02 | Unfolding the Leech Lattice: Fused Multi-Shell Decoding and VRAM Layouts for 2-Bit LLM Weights
[arXiv] 2026-09-02 | Heuristically optimizing, synthesizing, and prioritizing measurement settings for quantum state tomography
[arXiv] 2026-09-02 | Polynomial Invariants for Probabilistic Transition Systems with Unbounded Support
[arXiv] 2026-09-02 | H3DNAS: Hardware-Aware ONNX-Native 3D Point Cloud Model Compression
[arXiv] 2026-09-02 | AlterSeeK-Path: Systematic construction of generalized band-structure paths for displaying altermagnetic spin splitting
[arXiv] 2026-09-02 | Energy asymptotics of holomorphic functions with application to Calderón-Zygmund theory in $\mathbb{C}$
[arXiv] 2026-09-02 | Ruelle--Pollicott Theory for Metastable Systems: A Unified Framework for Tipping Transitions
[arXiv] 2026-09-02 | Metrization of Quasi-Uniformities, Powerset Monads, and Qualitative Robustness Analysis
[arXiv] 2026-09-02 | What Would it Cost to End Extreme Poverty?
[arXiv] 2026-09-02 | Spin squeezing by geometric focusing in vacuum Rabi oscillations
[arXiv] 2026-09-02 | Almost Linear 3-Spanners of Temporal Cliques
[arXiv] 2026-09-02 | Learning Spectral-Like Mesh-Free Discretisations
[arXiv] 2026-09-02 | ARFT: A Synchronized Multimodal RF-Acoustic Dataset for Positioning in Distributed Environments
[arXiv] 2026-09-02 | WiFlow: Estimating Optical Flow using WiFi Channel State Information
[arXiv] 2026-09-02 | Contrastive Explanations in Quantitative Bipolar Argumentation Frameworks
[arXiv] 2026-09-02 | Linker Functionalization and pH Tuning Enhance Solar-Driven Catalytic CO$_2$ Reduction in MOF-5
[arXiv] 2026-09-02 | Double Parton Distributions in the nucleon: Lattice parameter dependence
[arXiv] 2026-09-02 | Competitive Market Behavior of LLMs
[arXiv] 2026-09-02 | Student responses to a modified Force Concept Inventory: The Newtonian Mechanics Quiz
[arXiv] 2026-09-02 | A Unified Rate-Distortion Perspective on Vector, Product, and Scalar Quantization
[arXiv] 2026-09-02 | Microcell Hot Spot and Smart Antennas Evaluation in WCDMA Macrocell System
[arXiv] 2026-09-02 | Nonreciprocal Magnon Hanle Effect in Antiferromagnetic $α$-Fe$_2$O$_3$
[arXiv] 2026-09-02 | Pure FENE Bond Potential for Soft Matter and Biological Simulations: Theory, HOOMD-blue Implementation, and Applications to Polymer, Colloidal, and Membrane Systems
[arXiv] 2026-09-02 | Interior Curvature Estimates for the Graphical Scalar Curvature Equation in All Dimensions
[arXiv] 2026-09-02 | The Analytical Solutions of Dyonic Black Holes in Einstein-Euler-Heisenberg Theory
[arXiv] 2026-09-02 | Chebyshev's method applied to polynomials with rotational symmetry
[arXiv] 2026-09-02 | GRADSOLVE: fast exact gradients for ODE ensembles on GPUs
[arXiv] 2026-09-02 | Estimating the number of real zeros of linear combinations of radicals of polynomials
[arXiv] 2026-09-02 | Inelastic Dark Photon Dark Matter for the LUX-ZEPLIN High-Recoil Event and the Galactic Halo Gamma-Ray Excess
[arXiv] 2026-09-02 | Magnetized accretion onto rapidly spinning binary black holes: mini-disk thermodynamics, magnetic transport, and dual jets
[arXiv] 2026-09-02 | PlantC2USeg: Cross-Scale Consistent Pre-Training for Few-Shot Unified Plant Point Cloud Segmentation
[arXiv] 2026-09-02 | MuyBridge: Mobile Human Center-of-Mass Estimation from Monocular Video via Sparse Fusion
[arXiv] 2026-09-02 | Tests on the POD-P controller of INELFE Spain-France VSC-HVDC interconnector
[arXiv] 2026-09-02 | Toward Robust LiDAR Semantic Segmentation for Real-World Deployment: Evaluation under Coarse Labels, Adverse Conditions, and Domain Shifts
[arXiv] 2026-09-02 | Model-level synthetic-flux control of hyperchaos order and matched-resource sensing in dissipative optomechanics
[arXiv] 2026-09-02 | Low-Temperature Transport in Li-Ion Battery EC/EMC/FEC Electrolytes: Molecular Dynamics and Machine-Learning Modeling
[arXiv] 2026-09-02 | Guidelines for the implementation of power oscillation damping controllers in power converters
[arXiv] 2026-09-02 | Global smooth behavior in Kuznetsov and Westervelt type viscous wave equations: A unifying approach covering $W^{1,q}$-small initial data
[arXiv] 2026-09-02 | Variational preparation of thermofield double states for SYK models via multi-angle QAOA: sequential angle pruning for circuit reduction
[arXiv] 2026-09-02 | Full-Model Optimality for Tunable Linear Generative Priors in Compressed Sensing
[arXiv] 2026-09-02 | ShikumiMiner: Mining Recurring Implementation Patterns in AI Codebases
[arXiv] 2026-09-02 | SafeEvolve: Harness-Policy Co-Evolution from Agent Experience for Safety Alignment
[arXiv] 2026-09-02 | Sharp convergence rates for the vanishing discount problem with hyperbolic Aubry sets
[arXiv] 2026-09-02 | Most $(0,1)$-polytopes are not normal
[arXiv] 2026-09-02 | Video-Based Palm-Vein Authentication under Challenging Conditions
[arXiv] 2026-09-02 | Strong Constraints on Higgsino Dark Matter from Solar Capture
[arXiv] 2026-09-02 | HyperStyler: Low-resource Authorship Style Transfer via Context-aware Style Navigation and Hypernetworks
[arXiv] 2026-09-02 | Quantum wreath products and Yang-Baxter equations
[arXiv] 2026-09-02 | HiPoly: a hierarchical polymer-native AI framework for property prediction and generative design
[arXiv] 2026-09-02 | LoRA-TSD: Tangent-Space Spectral Descent for LoRA via Muon-Style Updates
[arXiv] 2026-09-02 | RVSD: Retrieval Vision Sparse Decoding for Mitigating Visual Hallucinations in Large Vision-Language Models
[arXiv] 2026-09-02 | Twist as a Mechanical Switch for Reconfigurable Stacking in h-BN
[arXiv] 2026-09-02 | Insensitizing Control Problems for Coupled Stochastic Parabolic Systems with State and Gradient Observations
[arXiv] 2026-09-02 | From Goldene to Noblene: exhaustive enumeration of the ordered Au-Ag-Cu monolayer alloys
[arXiv] 2026-09-02 | A Top-Down Framework for Metric-Scale Athlete Localization from Single Broadcast Frames
[arXiv] 2026-09-02 | Halo-EFT: an effective and efficient tool to study reactions with halo nuclei
[arXiv] 2026-09-02 | Random-mapped intensity optical neural network: all-optical two-layer computing for multimodal optical-field inference
[arXiv] 2026-09-02 | From Proxy Learning to Driving Decisions: A Transfer-Based Framework for Evaluating Future-Aware Autonomous Driving Planners
[arXiv] 2026-09-02 | Multiwavelength View of Black Hole X-ray Binary Swift J151857.0-572147
[arXiv] 2026-09-02 | LoFi RADIO: A Distilled In-Domain Backbone Applied for Artifact-Severity Grading of Ultra-Low-Field Neonatal Brain MR
[arXiv] 2026-09-02 | Recommender System as Slow and Fast Thinkers
[arXiv] 2026-09-02 | Electronic Structure and Superconductivity in La$_{1.55}$Sr$_{0.45}$CuO$_4$/La$_2$CuO$_4$ Artificial High-$T_c$ Superlattices Probed by Hard and Soft X-ray Spectroscopy
[arXiv] 2026-09-02 | The Neutral Atomic Hydrogen in the solar neighborhood (NeAtHood) project I. Ghost in the shell: Neutral atomic hydrogen in the extended Orion nebula
[arXiv] 2026-09-02 | Differentiable Electricity-Market Clearing for Gradient-Based Planning
[arXiv] 2026-09-02 | Learning to Attract and Repel: Dual Quality Margin Learning for Face Recognition (DQM-Face)
[arXiv] 2026-09-02 | From Detection to Localization: A Unified Forensics Framework for Fully Synthetic and Tampered Images
[arXiv] 2026-09-02 | TaRA: Training-Aware Low-Rank Adaptation Initialization
[arXiv] 2026-09-02 | From topology learning to graph generation: A unifying perspective
[arXiv] 2026-09-02 | Unfolded Krylov complexity: universal chaotic dynamics without false positives
[arXiv] 2026-09-02 | The Maximum Number of Shortest Paths in Graphs
[arXiv] 2026-09-02 | Degree of irrationality of abelian surfaces
[arXiv] 2026-09-02 | A measurement-based approach to EPFD calculation, to quantify the impact of satellite mega-constellations on low-frequency radio astronomy
[arXiv] 2026-09-02 | Static and breathing dynamics of optical bullets in nonlinear GRIN fibers
[arXiv] 2026-09-02 | Percolation Dynamics in Optimization : Variance Cascades and Discrete Scale Invariance
[arXiv] 2026-09-02 | The Missing Temporal Link: Temporal Context Routing for Script-Driven Audio-Video Generation
[arXiv] 2026-09-02 | Farthest-cell triplet entropy: high-dimensional shell limits and hyperbolic curvature amplification
[arXiv] 2026-09-02 | Humanoid Safe Stop via Learned Stoppability Value
[arXiv] 2026-09-02 | Strategic Centrality and the Emergence of Core-Periphery Networks
[arXiv] 2026-09-02 | $\mathcal{F}$-Transitivity of Translation Semigroups on Directed Metric Trees
[arXiv] 2026-09-02 | SALA: Semantic-Aware Logical Alignment for Complex Reasoning in In-Context Learning
[arXiv] 2026-09-02 | Dispersion-engineered meta-coverslip for multimodal synthetic imaging
[arXiv] 2026-09-02 | Metastability of interacting stochastic systems with countably many metastable states: beyond positive recurrence
[arXiv] 2026-09-02 | On the counting function of square-full numbers
[arXiv] 2026-09-02 | Chirped-Pulse Forward Raman Amplification in Nonuniform Plasmas
[arXiv] 2026-09-02 | Quantum Workload Privacy Beyond Data Confidentiality
[arXiv] 2026-09-02 | Counter-GEO-Bench: Evaluating Defenses Against Information-Distorting Generative Engine Optimization
[arXiv] 2026-09-02 | The decomposition relations alone present the Goncharov Lie coalgebra
[arXiv] 2026-09-02 | Domain shift-robust object detection with GenAI image editing
[arXiv] 2026-09-02 | Existence and Blow-Up for Nonlinear Fokker-Planck with Controlled Drift Divergence
[arXiv] 2026-09-02 | VoRTeC: Taming Foundation Flow for One-step Real time Video Compression
[arXiv] 2026-09-02 | Frobenius Alexander quandles, knot colorings, and isogeny classes of abelian varieties over finite fields
[arXiv] 2026-09-02 | Heat transfer problem of a dense gas described by the Enskog equation with a modification of the Enskog factor
[arXiv] 2026-09-02 | The NC-CC dichotomy in ruthenium isotopes: Implications for the origin of the late veneer
[arXiv] 2026-09-02 | Vortex-core Majorana coupling to a chiral edge in a $p_x+ip_y$ superconductor: Nonmonotonic spectral reorganization and coherent fermion-parity dynamics
[arXiv] 2026-09-02 | T2LSC-Bench: Benchmarking Localized Semantic Control in Text-to-Image Generation
[arXiv] 2026-09-02 | Scientific performances of the XGIS instrument on-board THESEUS
[arXiv] 2026-09-02 | A proposal for a hybrid free-space optical quantum communication network with hexagonal boron nitride-based single photon sources
[arXiv] 2026-09-02 | Towards Global Federated Genome-Wide Association Meta-Analysis Using GA4GH TES
