[2026-07-04 22:57:39] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-03
正在获取论文...
[ACM] 2026-7-3 | SAND: Spatially Adaptive Network Depth for Fast Sampling of Neural Implicit Surfaces
[IEEE] 2026-7-3 | Interleaved Multiple Chirp Rate Modulation for Satellite Internet of Things Applications
[IEEE] 2026-7-3 | Highly Available Distributed VPN Architecture in Cloud-Native Environments: 5G Edge Integration Through API-Driven Orchestration
[IEEE] 2026-7-3 | Device-to-Architecture Co-Design of Monolithic 3D FPGA Using 2D Transistor
[IEEE] 2026-7-3 | A 5.7-6.8GHz Capacitively-Coupled Series-Assisted Parallel-Resonance VCO Achieving −148.8 dBc/Hz PN, 193.5 FoM, and 202.0 FoM
                    <sub>A</sub>
                    at 10MHz Offset
[IEEE] 2026-7-3 | Scalable and Stackable 2S1M SOT-MRAM Memory Cell Enabled by Two-Terminal Write and Read SNGCT Chalcogenide Selectors
[IEEE] 2026-7-3 | Flexible Monolithic 3D Integration of RRAM-based CIM, CNT CMOS Circuits and IGZO FET-based Sensor and Display for Augmented Reality Contact Lenses
[IEEE] 2026-7-3 | Evaluating the Potential of C-Band Radar as a Substitute for Optical Data to Monitor FAO-56 Crop Coefficients
[IEEE] 2026-7-3 | Enabling the Robotic Revolution: Bridging Performance Gap Between Present and Future
[IEEE] 2026-7-3 | 3D Orthogonal Die Stacking Technology for DRAM-on-GPU Integration Using Contactless Die-to-Die Interface
[IEEE] 2026-7-3 | Enhancing Maternal Health Risk Prediction Using Machine Learning–Based Data Augmentation
[IEEE] 2026-7-3 | Optical Communication Demands Induced by Front-View Cameras of Intelligent Driving Vehicles
[IEEE] 2026-7-3 | Fundamental Delay and Reliability Guarantees for Emergency UAV
[IEEE] 2026-7-3 | Detection of Myocardial Fibrosis Based on Cardiac Electrophysiological Characteristics
[IEEE] 2026-7-3 | Real-Time Person Re-Identification in CCTV Using YOLOv8, Bytetrack and OSNet
[IEEE] 2026-7-3 | A $\mathbf{2 n m}$ 37.4 Mbit $/ \text{mm}^{2}$ Dual-Rail SRAM with Row-Access Aware Read Tracking and Write Assist Circuits Enabling 2.28 pJ/Access Energy Efficient Operation
[IEEE] 2026-7-3 | Custom Spectacle Frame Modeling Recommendation Through Exact Facial Feature Analysis
[IEEE] 2026-7-3 | Uniform and Direction-Controllable Metal-Induced Lateral Crystallization for 3D NAND Flash Memory via $\text{NiSi}_{2}(111)$-Oriented Seed Layer Transfer
[IEEE] 2026-7-3 | An Efficient Single-Input Multi-Output Forward Converter for Electric Vehicle Charging Applications
[IEEE] 2026-7-3 | Bumpless Transfer Filtering for Continuous-Time Switched Systems with Admissible Dual-Modal Persistent Dwell-Time
[ACM] 2026-7-4 | Blockchain Reputation Oracles: An MCP-Based Study
[ACM] 2026-7-4 | Digital Twins for Science and Industry
[ACM] 2026-7-4 | Graphics In Medicine: From the Dev Floor to the Operating Room 2
[ACM] 2026-7-4 | Opportunities and Challenges for Data Quality in the Era of Quantum Computing
[ACM] 2026-7-4 | Creating Wireless Sensor Network Target Tracking Strategy and Data Fusion Based on Blockchain Technology Integration
[ACM] 2026-7-4 | An IoT-Based Smart Bedside Information System with Hybrid Encryption for Healthcare Applications
[IEEE] 2026-7-3 | Direct Synthesis of Multi-Stacked Channels and Doped Source/Drains for TMD CFETs
[ACM] 2026-7-3 | Proceedings of the 14th International Workshop on Genetic Improvement
[ACM] 2026-7-3 | HoloPathTracer: Fast and Accurate Wave Path Tracing for Holography
[ACM] 2026-7-3 | SQuadGen: Generating Simple Quad Layouts via Chart Distance Fields
[ACM] 2026-7-3 | Single-View Holographic Volumetric 3D Printing with Coupled Differentiable Wave-Optical and Photochemical Optimization
[ACM] 2026-7-3 | Invisible Holographic Window: Full-color 3D Image Reconstruction from Transparent Surface-relief Computer-generated Holograms
[IEEE] 2026-7-3 | A16 Angstrom-Class CMOS Technology Featuring Enhanced Nanosheet Transistors with Super Power Rail (Backside Direct Contact Power Delivery) for AI and HPC Applications
[IEEE] 2026-7-3 | Digital Twin-Based Cyber Threat Detection in Digital Power Systems with Multidimensional Telemetry
[IEEE] 2026-7-3 | Spiking Transformer-Based Framework for Modeling and Forecasting Energy Generation and Consumption
[IEEE] 2026-7-3 | Efficient and Lightweight Object Detection via Multi-Round Response-Based Knowledge Distillation
[IEEE] 2026-7-3 | Dynamic Resource Allocation Algorithms in Resource-Constrained Federated Learning Systems
[IEEE] 2026-7-3 | Extreme Value Theory-Based Rare Event Detection for Smart City Network Security
[IEEE] 2026-7-3 | First EUV-Enabled Integration Route for 50 nm Pitch N and PMOS Transistors with 2D Materials Channel from a 300 mm Fab
[IEEE] 2026-7-3 | Interfacial-Layer-Free NCFETs Achieving $\mathbf{2 mV}$ Hysteresis, $\mathbf{27 mV}$ /dec SS, $\mathbf{2 mV/V}$ DIBL, and Record $2088 \mu \mathrm{A} / \boldsymbol{\mu} \mathrm{m}$ Ion at $\mathrm{V}_{\text{DS}}=\mathrm{V}_{\text{ov}}=0.5 \mathrm{V}$
[IEEE] 2026-7-3 | New Insights into Multi-Level Cell Behavior in FeFET: Localization Effect Aware Write-Verify Scheme
[IEEE] 2026-7-3 | Comparative Analysis of Machine Learning Algorithms for Student Performance Prediction in E-Learning Environments
[IEEE] 2026-7-3 | Scalable Semantic Communication for Multi-User Systems with Heterogeneous Tasks
[IEEE] 2026-7-3 | Experimental and CFD Investigation of Heat Transfer Characteristics in a Double-Tube Heat Exchanger
[IEEE] 2026-7-3 | From Implicit to Explicit: a Theoretical Model of Pedagogical Design for Meta-Competencies under Conditions of Artificial Intelligence Integration
[IEEE] 2026-7-3 | ANFIS-Based Bidirectional Intelligent Power Management for EV-Integrated Hybrid Solar–Wind DC Micro grids
[IEEE] 2026-7-3 | Sirius: A Dual-Chiplet System for Multimodal Embodied AI with Heterogeneous RVV Cores, Dense and Sparse Accelerators
[IEEE] 2026-7-3 | Multithreading for Obfuscating Code Against Dynamic Analysis and Reverse Engineering
[IEEE] 2026-7-3 | Intelligent MPPT Control of a Multi-Input Multiout-Output Converter for Renewable-Powered EV Charging Systems
[IEEE] 2026-7-3 | Adaptive Image Inpainting by Classical and Deep Learning Completion for Digitized Mural Paintings
[IEEE] 2026-7-3 | Block-FRL: A Reputation-Aware Blockchain Framework for Secure Federated Reinforcement Learning in Internet of Vehicles
[IEEE] 2026-7-3 | A 1.39pJ/bit 224Gb/s PAM-4 Long-Reach SerDes Receiver in 3nm FinFET
[IEEE] 2026-7-3 | Enhanced Intrusion Detection in IEC 60870-5-104 Smart Grid Networks Using a Deep CNN-LSTM Model
[IEEE] 2026-7-3 | A comparison of delay and Doppler estimation methods for ISAC-capable vehicles
[IEEE] 2026-7-3 | From Full-Range Spectroscopy to Rgb Indices: A Decisionoriented Evaluation of Feature Compression for Sediment Organic Matter Prediction
[IEEE] 2026-7-3 | High Efficiency 1D - CNN for Vibration Based Road Surface Classification
[IEEE] 2026-7-3 | An Agentic AI Control Plane for 6G Network Slice Orchestration, Monitoring, and Trading
[IEEE] 2026-7-3 | IoT Object Integrity Self-Management
[IEEE] 2026-7-3 | Optimizing Wireless Multimedia Task Offloading in UAV-LEO Networks: A Bio-inspired Hybrid Approach
[IEEE] 2026-7-3 | Artificial Bee Colony based Energy Management System of Charging Station for Electric Vehicles with Machine Learning Technique
[IEEE] 2026-7-3 | A Diagnosis of Pneumonia by Multi-View Attentionenhanced Multi-domain Cross-domain Chest X-Ray Representation
[IEEE] 2026-7-3 | Three-Dimensional Surface Scanning for the Analysis of External Forearm Geometry
[IEEE] 2026-7-3 | A Fan-Shaped Ultra-Wideband Antenna for Short Range Communications
[IEEE] 2026-7-3 | Design and Prototype Evaluation of a Progressive Metadata-Driven Architecture for Encrypted C2 Detection in Enterprise Networks
[IEEE] 2026-7-3 | Pelican Optimization Based Intelligent Active Power Filter for Stability Enhancement in Microgrids
[IEEE] 2026-7-3 | A Few-Shot Transfer Learning Framework using MobilenetV2 for Remote Sensing Image Classification
[IEEE] 2026-7-3 | A Comparative Entropy Analysis of BJT Avalanche Noise, SDR Noise and Algorithmic PRNGs
[IEEE] 2026-7-3 | Physical Layer Modulation Benchmarking: Classical QAM Baselines for AI-Based 6G Transceiver Evaluation
[ACM] 2026-7-4 | The Previs Battleground: Precision Planning vs Creative Freedom
[IEEE] 2026-7-3 | From Semantics to Paths: Carrier-Aware Global Emergency Routing via Parallel Road Network and Land-Cover Inference
[IEEE] 2026-7-3 | Urban-Rural Bus-Assisted Drone Logistics Delivery With Time Window Considerations
[IEEE] 2026-7-3 | Copyright Page
[IEEE] 2026-7-3 | IEEE Journal on Flexible Electronics Publication Information
[IEEE] 2026-7-3 | Gridless Variational Bayesian DoA Estimation for Few-Bit Antenna Arrays
[IEEE] 2026-7-3 | Spinal Lesion Detection in X-Ray Images via Uncertainty-Guided Classification and Localization
[IEEE] 2026-7-3 | Energy Efficiency Improvement in Dual-Motor EVs via Simultaneous Force-Current Allocation
[IEEE] 2026-7-3 | Advertisers Index
[IEEE] 2026-7-3 | SNR Analysis and Channel Estimation for Multi-UAV Near-field Communications
[IEEE] 2026-7-3 | ISAC Enabled Anti-UAV: Joint Beamforming and Trajectory Design for Multi-UAVs
[IEEE] 2026-7-3 | Effects of Long-Lead Monitoring Requests on Driver Trust, Forward Gaze Rate, and Takeover Performance in Level 3 Automated Driving
[ACM] 2026-7-3 | A Sensor-Based Framework for Early Hazard Detection of Lithium-Ion Battery Incidents in Smart Waste Collection Fleets
[ACM] 2026-7-3 | Proceedings of the 2026 Australasian Computer Science Week
[ACM] 2026-7-3 | Persistence-guided Prescribed Topological Simplification
[ACM] 2026-7-3 | Applying Genetic Improvement Techniques for Automated Program Repair of Transpiled Code
[ACM] 2026-7-3 | Iskra: A System for Inverse Geometry Processing
[ACM] 2026-7-3 | UMA: Ultra-detailed Human Avatars via Multi-level Surface Alignment
[IEEE] 2026-7-3 | Improving Cancer Driver Gene Prediction using Biological knowledge-guided Prompts for LLM
[IEEE] 2026-7-3 | Dynamic Parking Pricing for Electric Vehicles in a Loss Queue
[IEEE] 2026-7-3 | Mask-guided Asymmetric Contrastive and Semantic Alignment for Unsupervised Person Re-Identification
[IEEE] 2026-7-3 | Infrared Spectroscopy with FPI for Quantitative Analysis of C
                    <sub>4</sub>
                    F
                    <sub>7</sub>
                    N in the C
                    <sub>4</sub>
                    F
                    <sub>7</sub>
                    N/CO
                    <sub>2</sub>
                    gas mixture
[IEEE] 2026-7-3 | Downlink Performance Analysis of Pinching Antenna Systems: WDMA or NOMA?_supp1-3708149.pdf
[IEEE] 2026-7-3 | Microscale-Searching Constrained Evolutionary Optimization for Diversity-Distribution-Guided Image Augmentation_supp3-3706679.docx
[IEEE] 2026-7-3 | Cuzco: A High-Performance RISC-V RVA23 Compatible CPU IP
[IEEE] 2026-7-3 | Sustainable TinyML-Enhanced Edge Intelligence for Human-to-Machine Applications over Optical Access Networks
[IEEE] 2026-7-3 | RBF-SAM: Robust Building Footprint Extraction from Off-Nadir Remote Sensing Images via Segment Anything Model
[IEEE] 2026-7-3 | Artificial Intelligence-Powered Crypto Ransomware Detection
[ACM] 2026-7-3 | Continuous Fluid Modeling of Credit-Based Flow Control for HPC Interconnection Networks
[ACM] 2026-7-3 | Graph Neural Network–Enhanced Knowledge Graph for Content Mining and Intelligent Decision-Making in Ideological and Political Courses
[IEEE] 2026-7-3 | Integrated Multi-Property Evaluation of Surface Modified Rutile-TiO₂ Nanocomposite Kraft Paper: Moisture-Driven Coupling Effects in Transformer Insulation
[IEEE] 2026-7-3 | Awards
[IEEE] 2026-7-3 | Broadband Ultrathin Terahertz Metamaterial Absorber With Switchable VO
                    <sub>2</sub>
                    Phase Transition
[IEEE] 2026-7-3 | QuGrid-Fed: Quantum-Assisted Federated IoV Energy and Security Management for Sustainable Urban Transportation Systems
[IEEE] 2026-7-3 | Investigation of Gate Field-Plate Effects on f
                    <sub>max</sub>
                    Improvement in GaN HEMTs for RF Applications
[IEEE] 2026-7-3 | Towards Region-Aware Finer Self-Supervised Learning for Fine-Grained Visual Recognition
[ACM] 2026-7-3 | “Live from LA!”: Facilitating Personal and Political Storytelling through Immersive Youth Theater
[ACM] 2026-7-3 | Proceedings of the Special Interest Group on Computer Graphics and Interactive Techniques Conference Educator's Forum
[ACM] 2026-7-3 | A Multimodal AI–IoT Framework for Monitoring Student Well-Being in Hybrid and Transnational Learning Environments
[ACM] 2026-7-3 | From Human Vision to Machine Vision
[IEEE] 2026-7-3 | Grid Stability and Power Quality Improvement in a Hybrid DC/AC Microgrid Using Coordinated Control and Dstatcom
[IEEE] 2026-7-3 | A Hybrid LDO with Region-Detection and Power-Supply-Rejection-Based Control Achieving High PSR and Fast Transient Response
[IEEE] 2026-7-3 | Intelligence Accelerated: Memory Innovations to Power the AI Era
[IEEE] 2026-7-3 | Evaluation of ERA5 and SM2RAIN-ASCAT Precipitation Datasets for Drought Monitoring in Morocco
[IEEE] 2026-7-3 | Redefining Trust Boundaries: A Holistic Synthesis of Zero-Trust Architecture Across Emerging Ecosystems
[IEEE] 2026-7-3 | Adaptive Distance Relaying to Cope the Adverse Effect of Resistive SFCL
[IEEE] 2026-7-3 | Method for Estimating the Position of the Mover In a Wave Energy Power Generation Drive System
[IEEE] 2026-7-3 | A 50-mm
                    <sup>2</sup>
                    Crystal-Free Bidirectional WPDT System with Carrier-Reuse Clocking for Implantable Neural Interfaces
[IEEE] 2026-7-3 | Electric Vehicle Charging and Discharging Effects on Voltage Control in Smart Transactive Grids
[IEEE] 2026-7-3 | Leveraging Relation Networks for Few-Shot Network Anomaly Detection
[IEEE] 2026-7-3 | Design and Implementation of Improved Wireless Charging for Drone Applications
[IEEE] 2026-7-3 | OTFS Modulation Aided Joint Resource Scheduling for LEO Satellite Downlink Transmission
[IEEE] 2026-7-3 | Context-Aware QoS Adaptation Framework for Vehicular Communications in 5G-MEC Networks
[IEEE] 2026-7-3 | Filter-Free Time-Gated Fluorescence CMOS Biochip with Fast Thermal Cycling for PoC DNA Testing
[IEEE] 2026-7-3 | A 28nm 44.15TFLOPS/W and 1.57TFLOPS/mm
                    <sup>2</sup>
                    Joint-Alignment Floating-Point CIM Macro with ISO26262 ASIL-D Safety Level for Autonomous Driving
[IEEE] 2026-7-3 | Automatic Extraction of Medical Entities from Uzbek Patient Records
[IEEE] 2026-7-3 | A Product-Oriented 3rd-Generation 2nm GAA Platform Technology with Enhanced Speed and Power Efficiency across Nanosheets
[IEEE] 2026-7-3 | PLC Modem With Hardware Implementation of Data Verification
[IEEE] 2026-7-3 | Adaptive Hybrid Access in Next Generation Networks Using PPO and GNN for RSMA-NOMA Optimization
[IEEE] 2026-7-3 | Enhanced Residential Load Forecasting Using Deep Neural Networks
[IEEE] 2026-7-3 | Collaborative Fault Tolerance Computing for Emergency Tasks in Lunar Radiation Environment
[IEEE] 2026-7-3 | Multiport Bidirectional Converter for Electric Vehicle Application
[IEEE] 2026-7-3 | PanScan: A Hybrid CNN-Transformer Framework for EarlyDisease Detection of Pancreatic Cancer from Medical Imaging
[IEEE] 2026-7-3 | Artificial Intelligence Driven Framework for Next Generation Network Attack Detection and Cybersecurity in 5G and Beyond Networks
[IEEE] 2026-7-3 | A 3.86 TOPS/W TTFS-Based Neuromorphic Image Sensor Featuring Clocked-Recharging SPAD Pixels and Sub-Pixel-Array-Level Processing
[IEEE] 2026-7-3 | UAV-Assisted Integrated Sensing, Communication, and Computation Edge Inference Network With Early-Exit Mechanism
[IEEE] 2026-7-3 | Analysis and Comparison of Adaptive P&amp;O and Adaptive Gradient Ascent Based MPP Techniques for PV Integrated Systems Under Dynamic Operating Conditions
[IEEE] 2026-7-3 | AI Powered Cognitive Adaptive Learning System
[IEEE] 2026-7-3 | First Demonstration of CVD Monolayer $\text{WSe}^{2}$ PFETs with Ultra-Short Channel Length of 16 nm: Achieving Record $\mathrm{I}_{\text{on}}$ of $1532 \mu \mathrm{A} / \mu \mathrm{m}$ at $\mathrm{V}_{\text{ds}}=-1 \mathrm{V}$ and Ballistic Efficiency of 81%
[IEEE] 2026-7-3 | Image Forgery Prevention Using Deep Learning
[IEEE] 2026-7-3 | RIS-Assisted Joint Resource Allocation for 6G FR3 IoT Networks
[IEEE] 2026-7-3 | A Ka-Band Time-Division Multi-Stream Phased-Array Transmitter with Built-in Spatial Notch Generation for 6G MIMO
[ACM] 2026-7-4 | Proceedings of the 8th International Workshop on Emerging Trends in Software Engineering for Blockchain
[ACM] 2026-7-4 | Towards an Intelligent Platform for Supporting Quality Assessment in Blockchain Systems
[ACM] 2026-7-4 | A Proof of Success and Reward Distribution Protocol for Multi-bridge Architecture in Cross-chain Communication
[ACM] 2026-7-4 | The Gas Burn Identity: Early Detection of Gas-Intensive Functions and Patterns in Smart Contracts
[IEEE] 2026-7-3 | Cyber Security-Enhanced Low-Voltage User Demand Response in Smart Grids via Lightweight Blockchain and Cloud Computing
[ACM] 2026-7-4 | BLISS: A Visual Modeling Notation for Engineering Energy-Harvesting IoT Systems
[ACM] 2026-7-4 | Proceedings of the 2025 Special Interest Group on Computer Graphics and Interactive Techniques Conference Panels
[ACM] 2026-7-4 | Aided Design Approach for Creating Sticker LINE Cartoon Characters by Stable Diffusion Model
[ACM] 2026-7-3 | EgoRelight: Egocentric Human Capture and Illumination Recovery for Relightable and Photoreal Avatar Rendering
[ACM] 2026-7-3 | Developing spatial reasoning skills using virtuality puppets
[ACM] 2026-7-3 | Q3Vision: A Vision-Based Framework for Game-State Reconstruction in Quake III Arena
[ACM] 2026-7-3 | A Hybrid Reactive-Proactive Auto-scaling Algorithm for SLA-Constrained Edge Computing
[ACM] 2026-7-3 | Spatially Accelerated Winding Numbers for Curved Geometry
[ACM] 2026-7-3 | Pixels2Peaks: Converting Terrain Images to Heightmaps
[ACM] 2026-7-3 | Privacy in Federated Learning Models for Intrusion Detection Systems
[ACM] 2026-7-3 | Efficient 3D Content Creation for Immersive Experiences
[IEEE] 2026-7-3 | Attack Detection, Isolation, and Mitigation for Nonlinear Uncertain Multiarea Power Systems: A Dead-Zone Function-Based Approach
[IEEE] 2026-7-3 | Mathworks—Medical
[IEEE] 2026-7-3 | Spectral Resilience: Defending Against Modality Inconsistencies in Visible-infrared Person Re-identification
[IEEE] 2026-7-3 | Buffered Prediction and Confidence-Weighted Covariance Intersection for Robust Distributed State Estimation in IoT Sensor Networks With Random Delays and Packet Losses
[IEEE] 2026-7-3 | Not All Synthetic Vulnerabilities Are What You Need for Training Deep Vulnerability Detectors
[IEEE] 2026-7-3 | Efficient Sim2Real Deep Learning for Device-Specific OFDM Frequency Offset Calibration
[IEEE] 2026-7-3 | Source Attribution of AI-Generated Images in Data Scarcity Conditions via Training-Free Resynthesis
[IEEE] 2026-7-3 | A
                    <i>Q</i>
                    -band High Power SiGe HBT Doherty Power Amplifier Leveraging 8-Shaped Inductor-Embedded Ultra Compact Doherty Passive Network
[IEEE] 2026-7-3 | Low-Complexity Greedy Antenna Reservation for MIMO-SWIPT Systems via QR Decomposition and SIC
[IEEE] 2026-7-3 | Uni-DPFM: Boosting Unified 3D Point Cloud Anomaly Detection via Dual-path Feature Matching
[IEEE] 2026-7-3 | Granular Ball-Based Noise-Resistant Fuzzy Multineighborhood Feature Selection via Label Enhancement and Feature Graph_supp1-3704362.docx
[IEEE] 2026-7-3 | Sponsors
[IEEE] 2026-7-3 | A Novel Differential Strain Detecting Method of Adjustable-Sensitivity Optical Cables Based on Continuous Fabricating
[IEEE] 2026-7-3 | Learning Topology-Aware Representations via Test-Time Adaptation for Anomaly Segmentation
[IEEE] 2026-7-3 | SkySched: A Hierarchical and Scalable Reinforcement Learning Framework for Multi-UAV Vehicular Edge Computing Network
[IEEE] 2026-7-3 | Verifiable and Fault-Tolerant Privacy-Preserving Data Aggregation for MEC-Enabled Consumer IoT
[IEEE] 2026-7-3 | ProtoAug: Prototype-Guided Uncertainty-Aware Augmentation for Long-Tail Motion Prediction
[IEEE] 2026-7-3 | A Convex Optimization Approach for Uncertainty Propagation and State Estimation for Systems with Black-Box Nonlinearities
[IEEE] 2026-7-3 | InferNose: A bio-inspired electronic nose system using chain-of-thought for olfactory reasoning
[IEEE] 2026-7-3 | A Wearable Wireless Capacitive Pressure Sensing System for Arteriovenous Fistula Site Monitoring_supp1-3709577.docx
[IEEE] 2026-7-3 | Humanoid Robot Locomotion in Unstructured Environments: A Survey and Perspectives
[ACM] 2026-7-4 | Software Engineering for Renewable Energy Research
[IEEE] 2026-7-3 | Analysis of multiscale fractals based on a new hybrid approach ANN-MoM-GEC
[IEEE] 2026-7-3 | Dual-Mode Hybrid Voltage Balancing Topology for Next-Generation Battery Management Systems
[IEEE] 2026-7-3 | Ultra Low-Power SRAM Technology on High Performance FinFET Platform for HPC, Mobile, and High-Reliability Applications
[IEEE] 2026-7-3 | Joint Task Offloading and Compressed Sensing in Satellite-Terrestrial Integrated Networks: A Deep Reinforcement Learning Approach
[IEEE] 2026-7-3 | A 4Mb 3Bits/Cell RRAM Macro in 12nm FinFET Technology with the Smallest 0.019μm
                    <sup>2</sup>
                    Bit-Cell, 100K-Cycle Endurance and 10 Years Retention up to 125°C
[IEEE] 2026-7-3 | QUEEN: QUantum-Inspired Optimized Energy Efficient Routing in Wireless Sensor Networks
[IEEE] 2026-7-3 | Polynomial Correntropy–Based DOA Estimation With an Improved Nested Array Under Impulsive Noise
[IEEE] 2026-7-3 | Closed-Loop Hybrid Digital Twin Platform for Connected and Automated Vehicle Validation
[IEEE] 2026-7-3 | Backside Contact Resistivity Reduction for Nanosheet Technologies Beyond 2nm by Backside Nanosecond Laser Anneal Without Impacting the Frontside Cu BEOL
[IEEE] 2026-7-3 | Heterovalent Doping of Cs
                    <sub>0.12</sub>
                    FA
                    <sub>0.88</sub>
                    PbI
                    <sub>3</sub>
                    With Over 2000 h Photochemical Stability*
[IEEE] 2026-7-3 | Toward Thousands-Layer 3D Nand: Unleashing the Block Size Constraint by Enabling Lateral Sub-Block Mode
[IEEE] 2026-7-3 | Streamlining Machine Learning in Agricultural Wireless Sensor Networks Through Data Preprocessing
[IEEE] 2026-7-3 | Segmentation and Counting of Touching Erythrocytes via Distance Map Regression and Morphological Optimization
[IEEE] 2026-7-3 | Adaptive UAV-Assisted Online Task Assignment for Mobile Crowdsensing
[IEEE] 2026-7-3 | Spatiotemporal Dynamics and Primary Drivers of Deforestation in the Dry Monsoon Forests: A Case Study of Anuradhapura, Sri Lanka (2000-2024)
[IEEE] 2026-7-3 | Advancing Package and System Integration for Next-Generation AI
[IEEE] 2026-7-3 | Proton-Induced Energy Deposition and Displacement Damage in Hybrid Halide Perovskites
[IEEE] 2026-7-3 | Comparative Evaluation of Transform-Based and Advanced Neural Network Techniques for Image Compression
