[2026-04-08 22:39:27] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-07
正在获取论文...
[arXiv] 2026-04-07 | The final version of a recent approach towards quantum foundation
[arXiv] 2026-04-07 | Joint Knowledge Base Completion and Question Answering by Combining Large Language Models and Small Language Models
[arXiv] 2026-04-07 | Distance spectral radius and perfect matchings in graphs with given fractional property
[arXiv] 2026-04-07 | When Do We Need LLMs? A Diagnostic for Language-Driven Bandits
[arXiv] 2026-04-07 | Loss analysis of Low Bandgap (Ag,Cu)(In,Ga)Se2 Solar Cells for Tandem Applications
[arXiv] 2026-04-07 | Reading Between the Pixels: An Inscriptive Jailbreak Attack on Text-to-Image Models
[arXiv] 2026-04-07 | Probing the Evolution of Dark Energy: A Joint Analysis of DESI DR2, Pantheon+, and Cosmic Chronometers
[arXiv] 2026-04-07 | Modeling Patient Care Trajectories with Transformer Hawkes Processes
[arXiv] 2026-04-07 | Near 13% efficient semitransparent Cu(In,Ga)S2 solar cells with band gap of 1.6 eV on transparent back contact
[arXiv] 2026-04-07 | Bivariate Causal Discovery Using Rate-Distortion MDL: An Information Dimension Approach
[arXiv] 2026-04-07 | Precise Aggressive Aerial Maneuvers with Sensorimotor Policies
[arXiv] 2026-04-07 | Hodge-to-de Rham degeneration and quasihomogeneous singularities of curves
[arXiv] 2026-04-07 | Reinforcement Learning with Negative Tests as Completeness Signal for Formal Specification Synthesis
[arXiv] 2026-04-07 | Unveiling axion signals in galactic supernovae with future MeV telescopes
[arXiv] 2026-04-07 | Observation of nuclear suppression in coherent $Υ$(1S) photoproduction off heavy nuclei at the LHC
[arXiv] 2026-04-07 | A Posteriori Second-Order Guarantees for Bolza Problems via Collocation
[arXiv] 2026-04-07 | Introduction to Mechanics and Structures
[arXiv] 2026-04-07 | Valence and Rydberg excited state bond dissociation curves of CO2 from orbital-optimized density functional calculations
[arXiv] 2026-04-07 | Kinetics of Salt Creeping on a Free Surface: From Nucleation to Saturation
[arXiv] 2026-04-07 | Quantum spin liquid ground state with the evidence of roton-like excitations at elevated temperatures in the triangular-lattice delafossite YbCuSe$_2$
[arXiv] 2026-04-07 | What Models Know, How Well They Know It: Knowledge-Weighted Fine-Tuning for Learning When to Say "I Don't Know"
[arXiv] 2026-04-07 | Effective Dynamics and Transition Pathways from Koopman-Inspired Neural Learning of Collective Variables
[arXiv] 2026-04-07 | PDMP: Rethinking Balanced Multimodal Learning via Performance-Dominant Modality Prioritization
[arXiv] 2026-04-07 | The LLM Effect on IR Benchmarks: A Meta-Analysis of Effectiveness, Baselines, and Contamination
[arXiv] 2026-04-07 | Pion Parton Distribution Functions in the Light-Cone Quark Model and Experimental Constraints
[arXiv] 2026-04-07 | Controlling Distributional Bias in Multi-Round LLM Generation via KL-Optimized Fine-Tuning
[arXiv] 2026-04-07 | Analytic exact solutions to the nonlinear Dirac equation
[arXiv] 2026-04-07 | Stability of syzygy bundles of Ulrich bundles
[arXiv] 2026-04-07 | On Iwasawa theory of abelian varieties over $\mathbb{Z}_p^2$-extension with applications to Diophantine stability and integally Diophantine extensions
[arXiv] 2026-04-07 | The spatio-temporal statistical structure of the turbulent dissipation field and its stochastic representation as a Gaussian Multiplicative Chaos
[arXiv] 2026-04-07 | Controllable Image Generation with Composed Parallel Token Prediction
[arXiv] 2026-04-07 | Single-Stage Signal Attenuation Diffusion Model for Low-Light Image Enhancement and Denoising
[arXiv] 2026-04-07 | GaussianGrow: Geometry-aware Gaussian Growing from 3D Point Clouds with Text Guidance
[arXiv] 2026-04-07 | MPM: Mutual Pair Merging for Efficient Vision Transformers
[arXiv] 2026-04-07 | Robust H(curl)-based finite element methods for the incompressible MHD system
[arXiv] 2026-04-07 | Bohr chaoticity, semi-horseshoes and full-entropy abundance
[arXiv] 2026-04-07 | SemLink: A Semantic-Aware Automated Test Oracle for Hyperlink Verification using Siamese Sentence-BERT
[arXiv] 2026-04-07 | Network Reconstruction in Consensus Algorithms with Hidden Agents
[arXiv] 2026-04-07 | Quantifying Control Performance Loss for a Least Significant Bits Authentication Scheme
[arXiv] 2026-04-07 | GraspSense: Physically Grounded Grasp and Grip Planning for a Dexterous Robotic Hand via Language-Guided Perception and Force Maps
[arXiv] 2026-04-07 | Monodromy-Matrix Description of Extremal Multi-centered Black Holes
[arXiv] 2026-04-07 | Tree-partitions and small-spread tree-decompositions
[arXiv] 2026-04-07 | Strong Lensing and Quasinormal modes of black hole around global monopole
[arXiv] 2026-04-07 | Improving Semantic Proximity in Information Retrieval through Cross-Lingual Alignment
[arXiv] 2026-04-07 | Paper Circle: An Open-source Multi-agent Research Discovery and Analysis Framework
[arXiv] 2026-04-07 | Mutual Linearity in and out of Stationarity for Markov Jump Processes: A Trajectory-Based Approach
[arXiv] 2026-04-07 | Random number generation from a self-chaotic broad-area VCSEL
[arXiv] 2026-04-07 | Sufficient conditions for proper posteriors in fully-Bayesian Functional PCA
[arXiv] 2026-04-07 | PoM: A Linear-Time Replacement for Attention with the Polynomial Mixer
[arXiv] 2026-04-07 | A Survey through Conformal Time
[arXiv] 2026-04-07 | Pixel-Translation-Equivariant Quantum Convolutional Neural Networks via Fourier Multiplexers
[arXiv] 2026-04-07 | Posterior Predictive Checks for Gravitational-wave Populations: Limitations and Improvements
[arXiv] 2026-04-07 | LAG-XAI: A Lie-Inspired Affine Geometric Framework for Interpretable Paraphrasing in Transformer Latent Spaces
[arXiv] 2026-04-07 | Short Data, Long Context: Distilling Positional Knowledge in Transformers
[arXiv] 2026-04-07 | Opportunistic Network-Level ISAC with Cooperative Sensing: A Meta-Distribution Analysis
[arXiv] 2026-04-07 | Star-planet magnetic interactions in photoevaporating exoplanets
[arXiv] 2026-04-07 | The moduli space of conically singular instantons over an SU(3)-manifold
[arXiv] 2026-04-07 | Fine-Grained Power and Energy Attribution on AMD GPU/APU-Based Exascale Nodes
[arXiv] 2026-04-07 | Quarkyonic Meson Matter for Finite Isospin Density
[arXiv] 2026-04-07 | Algorithmic Monoculture and its Critics
[arXiv] 2026-04-07 | The Separation Principle and the Dual-Certainty Equivalence Gap in Model Predictive Control
[arXiv] 2026-04-07 | The Cohesive Object Sequence: The Mass-Density Distribution of Astronomical Objects from Asteroids to Stars
[arXiv] 2026-04-07 | A Co-Design Framework for High-Performance Jumping of a Five-Bar Monoped with Actuator Optimization
[arXiv] 2026-04-07 | Testing parity with composite-field spectra of BOSS and DESI luminous red galaxies
[arXiv] 2026-04-07 | Gated-SwinRMT: Unifying Swin Windowed Attention with Retentive Manhattan Decay via Input-Dependent Gating
[arXiv] 2026-04-07 | Orbital inclination estimates for overcontact binaries using the derivatives of light curves
[arXiv] 2026-04-07 | Existence of holomorphic Lie algebroid connections in higher dimensions
[arXiv] 2026-04-07 | Search for soft unclustered energy patterns produced in association with a W or Z boson in proton-proton collisions at $\sqrt{s}$ = 13 TeV
[arXiv] 2026-04-07 | Direct Air Capture in Europe - Where to Integrate, Where to Store, and What Drives Cost?
[arXiv] 2026-04-07 | Analytic and combinatorial approaches to a weighted Catalan sum
[arXiv] 2026-04-07 | FinReporting: An Agentic Workflow for Localized Reporting of Cross-Jurisdiction Financial Disclosures
[arXiv] 2026-04-07 | Beyond Compromise: Pareto-Lenient Consensus for Efficient Multi-Preference LLM Alignment
[arXiv] 2026-04-07 | Does Pass Rate Tell the Whole Story? Evaluating Design Constraint Compliance in LLM-based Issue Resolution
[arXiv] 2026-04-07 | Edge Intelligence for Satellite-based Earth Observation: Scheduling Image Acquisition and Processing
[arXiv] 2026-04-07 | Quantitative stability of constant equilibria in a non-linear alignment model of self-propelled particles
[arXiv] 2026-04-07 | A note on input signal generators: A relaxation of Willems' fundamental lemma in the SISO case
[arXiv] 2026-04-07 | Jeffreys Flow: Robust Boltzmann Generators for Rare Event Sampling via Parallel Tempering Distillation
[arXiv] 2026-04-07 | Efficient High-order Mass-conserving and Energy-balancing Schemes for Schrödinger-Poisson Equations
[arXiv] 2026-04-07 | Bubble classification of immersions at the boundary of the moduli space with $8π$ Willmore energy
[arXiv] 2026-04-07 | A Tensor-Train Framework for Bayesian Inference in High-Dimensional Systems: Applications to MIMO Detection and Channel Decoding
[arXiv] 2026-04-07 | Generalized hydrodynamics of free fermions under extensive-charge monitoring
[arXiv] 2026-04-07 | Gamma-Ray Signatures of Thermal Misalignment Dark Matter
[arXiv] 2026-04-07 | Consensus-based optimization with $α$-stable jump processes
[arXiv] 2026-04-07 | JZ-Tree: GPU friendly neighbour search and friends-of-friends with dual tree walks in JAX plus CUDA
[arXiv] 2026-04-07 | PQC-Enhanced QKD Networks: A Layered Approach
[arXiv] 2026-04-07 | Topologically shadowed quantum criticality: A non-compact conformal manifold
[arXiv] 2026-04-07 | Beam energy dependence of identified particle production in heavy-ion collisions using a parton-hadron string dynamics model
[arXiv] 2026-04-07 | Dynamical decoupling and quantum error correction with SU(d) symmetries
[arXiv] 2026-04-07 | EfficientMonoHair: Fast Strand-Level Reconstruction from Monocular Video via Multi-View Direction Fusion
[arXiv] 2026-04-07 | Foundations for Agentic AI Investigations from the Forensic Analysis of OpenClaw
[arXiv] 2026-04-07 | Multilevel Coset Codes on Lattices
[arXiv] 2026-04-07 | Singular Relative Entropy Coding with Bits-Back Rejection Sampling
[arXiv] 2026-04-07 | ETR: Entropy Trend Reward for Efficient Chain-of-Thought Reasoning
[arXiv] 2026-04-07 | Large fringe trees for random trees with given vertex degrees
[arXiv] 2026-04-07 | Semantic analysis of behavior in a DNA-functionalized molecular swarm
[arXiv] 2026-04-07 | Diagnostic Consistency Tests of the Concordance Cosmology
[arXiv] 2026-04-07 | Model-independent constraints on generalized FLRW consistency relations with bootstrap-based symbolic regression
[arXiv] 2026-04-07 | Graph-Based Chain-of-Thought Pruning for Reducing Redundant Reflections in Reasoning LLMs
[arXiv] 2026-04-07 | Constraints on the Injection of Radiation in the Early Universe
[arXiv] 2026-04-07 | An 18 - 25 GHz spectroscopic survey of southern hemisphere dense cores
[arXiv] 2026-04-07 | Machine-State Embeddings as an Operational Coordinate System for Accelerator Operation
[arXiv] 2026-04-07 | Overview of Bayesian Solvers in EEG Distributed Source Models: Prior Selection, Algorithmic Implementation, and Depth Bias Reduction
[arXiv] 2026-04-07 | Well-posedness and Hurst parameter estimation for fluid equations driven by fractional transport noise
[arXiv] 2026-04-07 | The Transit Timing and Transmission Spectrum of Hot Jupiter WASP-43 b from a decade of Multi-band Transit Follow-up Observations
[arXiv] 2026-04-07 | Selective Aggregation of Attention Maps Improves Diffusion-Based Visual Interpretation
[arXiv] 2026-04-07 | Testing X-ray Periodicity and Long-Term Trend in PG 1553+113 via Targeted Swift-XRT Monitoring
[arXiv] 2026-04-07 | AICA-Bench: Holistically Examining the Capabilities of VLMs in Affective Image Content Analysis
[arXiv] 2026-04-07 | Physics-Aware Video Instance Removal Benchmark
[arXiv] 2026-04-07 | Asymptotic expansions of integrals and Nielsen's polylogarithms
[arXiv] 2026-04-07 | ALD Zinc Tin Oxide Buffers for Chalcopyrite Solar Cells: Electrical Barriers and Conduction Band Cliffs
[arXiv] 2026-04-07 | Hybrid Quantum-Classical Algorithm for Hamiltonian Simulation
[arXiv] 2026-04-07 | Comments on "The impact of Solar magnetic field configurations on the production of gamma rays at the Solar disk'' (arXiv:2512.01403)
[arXiv] 2026-04-07 | Learning Shared Sentiment Prototypes for Adaptive Multimodal Sentiment Analysis
[arXiv] 2026-04-07 | Swiss-Bench 003: Evaluating LLM Reliability and Adversarial Security for Swiss Regulatory Contexts
[arXiv] 2026-04-07 | Beyond Paper-to-Paper: Structured Profiling and Rubric Scoring for Paper-Reviewer Matching
[arXiv] 2026-04-07 | Quantum optomechanics of lossy bodies: general approach and structured squeezed vacuum effects
[arXiv] 2026-04-07 | Symmetry-Breaking and Hysteresis in a Duplex Voter Model
[arXiv] 2026-04-07 | Weight-Informed Self-Explaining Clustering for Mixed-Type Tabular Data
[arXiv] 2026-04-07 | Neural Network Pruning via QUBO Optimization
[arXiv] 2026-04-07 | Refined boundary layer asymptotics for elliptic equations with multiplicative nonlocal effects
[arXiv] 2026-04-07 | Evaluating Learner Representations for Differentiation Prior to Instructional Outcomes
[arXiv] 2026-04-07 | Effect of Cigarette Price and Tax Increases on Smoking in Europe: A Difference-in-Differences Study with Double Machine Learning
[arXiv] 2026-04-07 | Forward analytical model for the optical selection bias on galaxy cluster lensing profiles
[arXiv] 2026-04-07 | Local Sensitivity Analysis for Kernel-Regularized ARX Predictors in Data-Driven Predictive Control
[arXiv] 2026-04-07 | BiCoord: A Bimanual Manipulation Benchmark towards Long-Horizon Spatial-Temporal Coordination
[arXiv] 2026-04-07 | Reciprocal Trust and Distrust in Artificial Intelligence Systems: The Hard Problem of Regulation
[arXiv] 2026-04-07 | Deviations from thermal light statistics in ensembles of independent two-level emitters
[arXiv] 2026-04-07 | CLEAR: Cross-Lingual Enhancement in Alignment via Reverse-training
[arXiv] 2026-04-07 | Linear convergence of Gearhart-Koshy accelerated Kaczmarz methods for tensor linear systems
[arXiv] 2026-04-07 | Probing the Factorized Island Branch with the Capacity of Entanglement in JT Gravity
[arXiv] 2026-04-07 | Optically induced thermal demagnetization and switching of antiferromagnetic domains in NiO and CoO thin films
[arXiv] 2026-04-07 | Measuring What Matters!! Assessing Therapeutic Principles in Mental-Health Conversation
[arXiv] 2026-04-07 | Configuration Tuning for ISAC: Cost-Efficient Adaptation via RACE-CMA
[arXiv] 2026-04-07 | The Navier-Stokes equations in $\mathbb R^2_+$ with point vortex initial data: Zero-viscosity limit
[arXiv] 2026-04-07 | Quantum-Boosted Nonlinear Tunneling Driven by a Bright Squeezed Vacuum
[arXiv] 2026-04-07 | An Empirical Study of Perceptions of General LLMs and Multimodal LLMs on Hugging Face
[arXiv] 2026-04-07 | Universal Fibonacci sequences and UFS-groupoids
[arXiv] 2026-04-07 | From curvature to Kovacic: a geometric approach to integrability of scalar ODEs
[arXiv] 2026-04-07 | Accessing the performance of CC2 for excited state dynamics: a benchmark study with pyrazine
[arXiv] 2026-04-07 | FoleyDesigner: Immersive Stereo Foley Generation with Precise Spatio-Temporal Alignment for Film Clips
[arXiv] 2026-04-07 | An improved characterisation of inner automorphisms of groups
[arXiv] 2026-04-07 | The effect of Nb and O on the martensitic transformation in the Ti-Nb-O alloys
[arXiv] 2026-04-07 | Hackers or Hallucinators? A Comprehensive Analysis of LLM-Based Automated Penetration Testing
[arXiv] 2026-04-07 | Nonperturbative effects in second harmonic generation
[arXiv] 2026-04-07 | The Incidence-Multiplicity Bound for Linear Exact Repair in MDS Array Codes
[arXiv] 2026-04-07 | Terahertz and Optical Acceleration Techniques
[arXiv] 2026-04-07 | 3D Smoke Scene Reconstruction Guided by Vision Priors from Multimodal Large Language Models
[arXiv] 2026-04-07 | Analogical Reasoning as a Doctor: A Foundation Model for Gastrointestinal Endoscopy Diagnosis
[arXiv] 2026-04-07 | Determination of the mass transport parameters in thin membranes by phase-sensitive photoacoustics in the optically transparent and mixed regimes
[arXiv] 2026-04-07 | Causal Dynamical Triangulations: New Lattice Theory of Quantum Gravity
[arXiv] 2026-04-07 | PanopticQuery: Unified Query-Time Reasoning for 4D Scenes
[arXiv] 2026-04-07 | SGANet: Semantic and Geometric Alignment for Multimodal Multi-view Anomaly Detection
[arXiv] 2026-04-07 | Étale cohomology of Stein algebras
[arXiv] 2026-04-07 | Two-Dimensional Space-Time Groups: Classification and Applications
[arXiv] 2026-04-07 | Classes Testable with $O(1/ε)$ Queries for Small $ε$ Independent of the Number of Variables
[arXiv] 2026-04-07 | Forbidding Exactly One Hamming Distance
[arXiv] 2026-04-07 | Channel couplings redirect absorbed flux from peripheral loss to fusion in weakly bound nuclear reactions
[arXiv] 2026-04-07 | Minimal Generating Sets of Singular Reidemeister Moves and Their Classification
[arXiv] 2026-04-07 | Robust quantized thermal conductance of Majorana floating edge bands in d-wave superconductors
[arXiv] 2026-04-07 | WRF4CIR: Weight-Regularized Fine-Tuning Network for Composed Image Retrieval
[arXiv] 2026-04-07 | Resource Implications of Different Encodings for Quantum Computational Fluid Dynamics
[arXiv] 2026-04-07 | Bias Ahead: Sensitive Prompts as Early Warnings for Fairness in Large Language Models
[arXiv] 2026-04-07 | A coupled fully kinetic hydrogen transport and ductile phase-field fracture framework for modeling hydrogen embrittlement
[arXiv] 2026-04-07 | Partial sums of random multiplicative functions with supercritical divisor twists
[arXiv] 2026-04-07 | Physics-Aligned Spectral Mamba: Decoupling Semantics and Dynamics for Few-Shot Hyperspectral Target Detection
[arXiv] 2026-04-07 | An Iterative Test-and-Repair Framework for Competitive Code Generation
[arXiv] 2026-04-07 | SCOPE: A Dataset of Stereotyped Prompts for Counterfactual Fairness Assessment of LLMs
[arXiv] 2026-04-07 | Context-Agent: Dynamic Discourse Trees for Non-Linear Dialogue
[arXiv] 2026-04-07 | FastDiSS: Few-step Match Many-step Diffusion Language Model on Sequence-to-Sequence Generation--Full Version
[arXiv] 2026-04-07 | Cosmological collider signals of modular spontaneous CP breaking
[arXiv] 2026-04-07 | Channel-wise Retrieval for Multivariate Time Series Forecasting
[arXiv] 2026-04-07 | Prior-guided Fusion of Multimodal Features for Change Detection from Optical-SAR Images
[arXiv] 2026-04-07 | CrowdVLA: Embodied Vision-Language-Action Agents for Context-Aware Crowd Simulation
[arXiv] 2026-04-07 | Cross-Resolution Diffusion Models via Network Pruning
[arXiv] 2026-04-07 | Learned Elevation Models as a Lightweight Alternative to LiDAR for Radio Environment Map Estimation
[arXiv] 2026-04-07 | UniCreative: Unifying Long-form Logic and Short-form Sparkle via Reference-Free Reinforcement Learning
[arXiv] 2026-04-07 | Coupling Macro Dynamics and Micro States for Long-Horizon Social Simulation
[arXiv] 2026-04-07 | Measurement of charged-particle production in $\sqrt{s_\text{NN}}=9.62$ TeV proton-oxygen collisions as a probe of cosmic-ray air showers with the ATLAS detector
[arXiv] 2026-04-07 | Benchmarking Vision-Language Models under Contradictory Virtual Content Attacks in Augmented Reality
[arXiv] 2026-04-07 | From Pixels to Personas: Tracking the Evolution of Anime Characters
[arXiv] 2026-04-07 | JailWAM: Jailbreaking World Action Models in Robot Control
[arXiv] 2026-04-07 | A counterexample to the conjecture on Biclique Partition number of Split Graphs and related problems
[arXiv] 2026-04-07 | SCMAPR: Self-Correcting Multi-Agent Prompt Refinement for Complex-Scenario Text-to-Video Generation
[arXiv] 2026-04-07 | On the Role of Fault Localization Context for LLM-Based Program Repair
[arXiv] 2026-04-07 | A Synthetic Eye Movement Dataset for Script Reading Detection: Real Trajectory Replay on a 3D Simulator
[arXiv] 2026-04-07 | Quantitative analysis of fluctuating hydrodynamics in uniform shear flow
[arXiv] 2026-04-07 | Evaluating Black-Box Classifiers via Stable Adaptive Two-Sample Inference
[arXiv] 2026-04-07 | CUE-R: Beyond the Final Answer in Retrieval-Augmented Generation
[arXiv] 2026-04-07 | Waveguide to Meaning: Semantic-Aware NOMA for Pinching-Antenna Systems
[arXiv] 2026-04-07 | Nonlinear thermal gradient induced magnetization in $d^{\prime }$, $g^{\prime }$ and $i^{\prime }$ altermagnets
[arXiv] 2026-04-07 | Polynomial Stability of a Type II Porous Thermoelastic System with Local Memory Damping
[arXiv] 2026-04-07 | \textit{Ab initio} \textit{GW}-BSE theory of optical activity in $α$-quartz
[arXiv] 2026-04-07 | Kerr-Schild Double Copy of the Randall-Sundrum Black String
[arXiv] 2026-04-07 | Mode Conversion of Gaussian Beams at Dielectric Interfaces
