[2026-06-17 23:24:56] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-16
正在获取论文...
[arXiv] 2026-06-16 | OmniDroneX: An LLM-Assisted Holistic Drone-as-a-Service Ecosystem
[arXiv] 2026-06-16 | Compositional Skill Routing for LLM Agents: Decompose, Retrieve, and Compose
[arXiv] 2026-06-16 | Coupled spin dynamics in epitaxial trilayer heterostructures of ferrimagnetic garnet
[arXiv] 2026-06-16 | Recursive Scaling in Masked Diffusion Models
[arXiv] 2026-06-16 | A Double--Scaling Large--\(d\) Saddle of BFSS/BMN Matrix Quantum Mechanics
[arXiv] 2026-06-16 | Tracing the very early disruption of the Sagittarius dwarf galaxy in the distant Milky Way halo
[arXiv] 2026-06-16 | Mass Probe of Tetrahedral Symmetry in Atomic Nuclei
[arXiv] 2026-06-16 | Geometrical fairness in graph neural networks
[arXiv] 2026-06-16 | Do We Really Need Diffusion? A Fast U-Net for Paired Medical Image Translation
[arXiv] 2026-06-16 | Reservoir computing based on multicore fibers
[arXiv] 2026-06-16 | Hamiltonian formalism for Bose excitations in a plasma with a non-Abelian interaction: plasmon bremsstrahlung
[arXiv] 2026-06-16 | Non-asymptotic Tail Bounds for the Kostlan--Shub--Smale Field: Tensor PCA and Spherical $k$-Spin Complexity
[arXiv] 2026-06-16 | An Analysis of the Effectiveness of Synthetic Speech Data for ASR Fine-tuning in Selected Indic Languages
[arXiv] 2026-06-16 | A Risk Decomposition Framework for Pre-Hoc Fine-Tuning Prediction
[arXiv] 2026-06-16 | Toward Quantum-Enhanced ISAC: Active-RIS-Aided Integrated Sensing and Communication with Rydberg Atomic Receivers
[arXiv] 2026-06-16 | Homogeneous Boltzmann-type equations on dense graphs
[arXiv] 2026-06-16 | Unveiling topology in imaging problems via quasi-isometry and persistent homology
[arXiv] 2026-06-16 | OPD-Evolver: Cultivating Holistic Agent Evolver via On-Policy Distillation
[arXiv] 2026-06-16 | Divide, Deliberate, Decide: A Multi-Agent Framework for Fine-Grained Egocentric Action Recognition
[arXiv] 2026-06-16 | Photon anti-bunching in high harmonic generation
[arXiv] 2026-06-16 | Synergy between CSST and future gravitational-wave detectors: Probing primordial black holes by cross-correlating dark sirens with galaxies
[arXiv] 2026-06-16 | Towards Speech Impairment Prediction in German-Speaking Individuals with Amyotrophic Lateral Sclerosis
[arXiv] 2026-06-16 | PracRepair: LLM-Empowered Automated Program Repair Inspired by Human-Like Debugging Practices
[arXiv] 2026-06-16 | A coarse Menger theorem for hyperbolic graphs, finitely presented groups, and more
[arXiv] 2026-06-16 | OQ~208: A New Fe~II Changing-look Active Galactic Nucleus and Implications for the Nature of the Changing-look Phenomenon
[arXiv] 2026-06-16 | A posteriori study of Thermal-Large Eddy Simulation in solar receiver operating conditions
[arXiv] 2026-06-16 | Exact Algorithms for Edge Deletion to Cactus Graphs and Weighted Variants
[arXiv] 2026-06-16 | Cordon: Semantic Transactions for Tool-Using LLM Agents
[arXiv] 2026-06-16 | Reducing Learner Redundancy in Boosting via Residual Orthogonalization
[arXiv] 2026-06-16 | Spectral Intertwining Operators
[arXiv] 2026-06-16 | Characterizing Orbital Parameters of Hot Subdwarf Binaries with Multiple Spectroscopic Surveys
[arXiv] 2026-06-16 | An AI Security Agent for Banking: Multi-Vector Fraud and AML Detection Across Retail and Corporate Accounts
[arXiv] 2026-06-16 | Application of the coherent structure tracking to solar Doppler maps to determine horizontal velocity fields at the Sun's surface
[arXiv] 2026-06-16 | Reinforcing Dual-Path Reasoning in Spatial Vision Language Models
[arXiv] 2026-06-16 | MGUP: A Momentum-Gradient Alignment Update Policy for Stochastic Optimization
[arXiv] 2026-06-16 | A polynomial-time approximation scheme for minimum-weight decoding of topological codes
[arXiv] 2026-06-16 | Sensing the Inflationary Production of Scalars
[arXiv] 2026-06-16 | LLM-as-Judge in Education: A Curriculum-Grounded Marking Pipeline
[arXiv] 2026-06-16 | Critical spectral behavior and large deviations for geometric $α$-stable processes
[arXiv] 2026-06-16 | Revisiting Disk Winds in Active Galactic Nuclei as an Origin of Cosmic Gamma-ray and Neutrino Backgrounds
[arXiv] 2026-06-16 | Fourier-Preconditioned Path Deformations for Multi-Field Vacuum Tunnelling
[arXiv] 2026-06-16 | GeneralVLA-2: Geometry-Aware Reconstruction and Governed Memory for Robot Planning
[arXiv] 2026-06-16 | AIPatient Arena: EHR-grounded evaluation of large language models in end-to-end clinical consultation workflows
[arXiv] 2026-06-16 | Optional Stopping for Superhedging Supermartingales
[arXiv] 2026-06-16 | Credibility-Weighted Pricing of Autonomous Vehicle Liability Under Operational Design Domain Shift
[arXiv] 2026-06-16 | Principal symmetric ideals in the coordinate rings of curves
[arXiv] 2026-06-16 | MorphStrata: Layer-Specific Perturbations for Generating Morphence Students in Time-Series Moving Target Defense
[arXiv] 2026-06-16 | Bounded Difference Concentration for Infinitely Exchangeable Sequences with Applications to AI Benchmark Uncertainty
[arXiv] 2026-06-16 | Broadband High-Level Squeezed Light using Waveguide Optical Parametric Amplifiers with External Dispersion Compensation
[arXiv] 2026-06-16 | Feynman Kac Reweighted Schrödinger Bridge Matching for Surface-Based Tau PET Harmonization
[arXiv] 2026-06-16 | Pure or Unstable: A Generic Dichotomy for Strong Stackelberg Commitments
[arXiv] 2026-06-16 | Sender--Receiver Community Detection in Directed Networks via Node-Role-Constrained Edge Clustering
[arXiv] 2026-06-16 | Convergence of Scalar Curvature of Long Time Kähler-Ricci Flow on Kähler Manifold
[arXiv] 2026-06-16 | SoK: AI-Augmented Binary Reversing
[arXiv] 2026-06-16 | Designing Recommendation Exposure and Favorite Lists: A Field Experiment in a Spot-Work Platform
[arXiv] 2026-06-16 | A Differentiable GPU-Accelerated Finite Element Framework for Inverse Characterization of Finite-Strain Anisotropic Plasticity
[arXiv] 2026-06-16 | Agent Utilities over Generalized Voronoi Regions and their Gradients
[arXiv] 2026-06-16 | Supporting the Adoption of Privacy-Enhancing Technologies through Requirements Engineering
[arXiv] 2026-06-16 | Improving and Evaluating Hand-Object Interaction Detection
[arXiv] 2026-06-16 | Model Validation of Agentic AI Systems: A POMDP-Based Framework for Belief-State, Forecast, and Policy Validation
[arXiv] 2026-06-16 | RISE: Relay Inference and Online Scheduling for Efficient Edge-Device Collaborative Diffusion Model Services
[arXiv] 2026-06-16 | Performance-Driven Environment Abstraction with Multi-Timescale Learning
[arXiv] 2026-06-16 | Some General Remarks on Private Property
[arXiv] 2026-06-16 | Implicit vs. Explicit Prompting Strategies for LVLMs in Referential Communication
[arXiv] 2026-06-16 | Robust Signatures of Fragile Topology
[arXiv] 2026-06-16 | High-throughput Low-latency Hardware Implementation of BCH Decoders
[arXiv] 2026-06-16 | Hybrid Stars with Post-Merger Rotation Profiles
[arXiv] 2026-06-16 | Fixed-Point Reasoners: Stable and Adaptive Deep Looped Transformers
[arXiv] 2026-06-16 | High-energy Particle Transport in Three-dimensional Anisotropic Turbulent Magnetic Fields
[arXiv] 2026-06-16 | INI-VPINN: A Variational Physics-Informed Neural Network with Implicit Neumann and Interface Handling for Multi-Material Domains with Geometric Singularities
[arXiv] 2026-06-16 | UV/IR mixing as an artifact of non-covariant quantisation
[arXiv] 2026-06-16 | A homotopy-type-theoretic generalization of neurosymbolic inference
[arXiv] 2026-06-16 | Generalised Symmetries and Manifest Duality II: Curved Spacetime
[arXiv] 2026-06-16 | Inverse problems for a nonlinear dynamical Schrödinger operator with magnetic potential
[arXiv] 2026-06-16 | ELSA: Acoustic Event-Level Semantic Alignment for Fine-Grained Reference-Free Text-to-Audio Evaluation
[arXiv] 2026-06-16 | ShellGames: Speculative LLM-Driven SSH Deception
[arXiv] 2026-06-16 | Verifying LTL for Infinite State Systems via Termination Analysis
[arXiv] 2026-06-16 | Qwen-RobotNav Technical Report: A Scalable Navigation Model Designed for an Agentic Navigation System
[arXiv] 2026-06-16 | A combinatorial large sieve for Sidon sets, distances, and norm forms
[arXiv] 2026-06-16 | Detectability of deuterium in spectra of early-type stars
[arXiv] 2026-06-16 | Finite and disordered Kitaev chains: a large deviation study
[arXiv] 2026-06-16 | Damage Adaptation in Seconds for Architected Materials
[arXiv] 2026-06-16 | Optimizing the Principal Coefficient of Elliptic Equations using $L^p$-regularity, $p < \infty$
[arXiv] 2026-06-16 | Probing the QCD Phase Structure with Dileptons from SIS to LHC Energies
[arXiv] 2026-06-16 | Symplectic Transversality and Endpoint Green Estimates for Finite-Horizon Pontryagin Systems
[arXiv] 2026-06-16 | Constrained Optimization Algorithms for Orbital Optimization in Quantum Chemistry
[arXiv] 2026-06-16 | AC calorimetric study of magneto-quantum oscillations in anisotropic multiband V$_2$Ga$_5$ superconductor
[arXiv] 2026-06-16 | Alleviating the Hubble tension with the $Λ_{ω_s}$CDM model
[arXiv] 2026-06-16 | Computing Hyperfibonacci Numbers by Means of Matrix Transformations and Jordan Forms
[arXiv] 2026-06-16 | Observation of an Altered $a_{0}(980)$ Line shape in $D^{+} \rightarrow π^{+}ηη$
[arXiv] 2026-06-16 | GSPan: A Continuous Gaussian Primitive Representation for Arbitrary-Scale Pansharpening
[arXiv] 2026-06-16 | Absolutely continuous curves in spaces of compatly supported densities
[arXiv] 2026-06-16 | Minimizing Total Biharmonic Distance in Large Graphs via Link Recommendation
[arXiv] 2026-06-16 | SegTME-UNI2: A Foundation Model-Based Framework for Generalisable Multiclass Cell Segmentation and LLM-Driven Tumour Microenvironment Characterisation in Histopathology
[arXiv] 2026-06-16 | Action based approach to dissipative relativistic fluid systems
[arXiv] 2026-06-16 | Bridging Functional Correctness and Runtime Efficiency Gaps in LLM-Based Code Translation
[arXiv] 2026-06-16 | See First, Answer Later: Visual Evidence Pre-Alignment via Sufficiency-Driven RL
[arXiv] 2026-06-16 | TOPoS VII. Age-metallicity relation in the Galactic halo and assembly of the Milky Way
[arXiv] 2026-06-16 | Graphene Josephson diodes from inherent asymmetric disorder
[arXiv] 2026-06-16 | DeSRPA: Decoupled Speech Role-Playing Agent via Inference-Time Intervention
[arXiv] 2026-06-16 | Temporal Preference Optimization for Unsupervised Retrieval
[arXiv] 2026-06-16 | TuneAhead: Predicting Fine-tuning Performance Before Full Training Begins
[arXiv] 2026-06-16 | Ground-state properties of the $S=3/2$ anisotropic triangular lattice antiferromagnet Na$_3$Cr(PO$_4$)$_2$
[arXiv] 2026-06-16 | A Projection-Free Algorithm for Variational Inequalities in Hilbert Spaces with Strong Convergence
[arXiv] 2026-06-16 | Brick-DICL: Dynamic In-Context Learning for Automated Brick Schema Classification
[arXiv] 2026-06-16 | Principle of Entangled-Photon Thermometry for Ultrafast Laser Processing
[arXiv] 2026-06-16 | PSZ: The meta-catalogue of Planck Sunyaev-Zeldovich sources
[arXiv] 2026-06-16 | Quantum Computing Algebra (QCA), the theory and implementation
[arXiv] 2026-06-16 | RAVA: Retrieval-Augmented Viewpoint Alignment for Subject-Driven Image Generation
[arXiv] 2026-06-16 | Beyond Citations: Comparing Scholarly, Policy, and Patent Impact Across the FT50 Journals
[arXiv] 2026-06-16 | Lorentzian Regularization of the Type IIB Superstring Torus Vacuum
[arXiv] 2026-06-16 | Defect Localization by Stress Anisotropy in Active Nematic Turbulence
[arXiv] 2026-06-16 | Low-Thrust Orbital Differential Games with Speed Constraint Enforcement Using CostWeighting
[arXiv] 2026-06-16 | Harmonic immersions of the Sierpinski gasket into the hyperbolic plane
[arXiv] 2026-06-16 | On the entanglement induced by the deformation of phase-space
[arXiv] 2026-06-16 | Root-Selecting Fixed-Point Inversion for Rectified Flows via Trajectory Straightness
[arXiv] 2026-06-16 | LLM Features Can Hurt GNNs: Concatenation Interference on Homophilous Graph Benchmarks
[arXiv] 2026-06-16 | When Dynamics Models Read the Wrong Time Steps: Label-Free Event Credit Re-Anchoring for Robust Global Readouts
[arXiv] 2026-06-16 | AoiZora: Topology-Aware Auto-Parallel Optimization for Inference of Diffusion Transformers
[arXiv] 2026-06-16 | A Non-Multiplicable Upho Poset Constructed from the Petersen Graph
[arXiv] 2026-06-16 | Beyond the interface: Persistent Hopping Transport and Frequency Dispersion in Strong-inversion Cryogenic MOSFETs
[arXiv] 2026-06-16 | Deep Learning-Empowered Movable-Antenna Position Optimization with Partial CSI
[arXiv] 2026-06-16 | Offline Preference-Based Trajectory Evaluation
[arXiv] 2026-06-16 | TaFD: Threat-Aware Frequency Decoupling for Adversarial Robustness against Heterogeneous Attacks
[arXiv] 2026-06-16 | Anomalous Pairing Currents and a Second Topological Edge Channel in Bosonic Lattices
[arXiv] 2026-06-16 | Flat-Band Stoner Instability and Peierls-Phase Origin of the Transdimensional Anomalous Hall Effect in Rhombohedral Graphite
[arXiv] 2026-06-16 | Hyperuniform charge distributions and phase transitions in a generalized Aubry-André model
[arXiv] 2026-06-16 | Domain-Validity-Gated Metamorphic Testing of Scientific ML Surrogates
[arXiv] 2026-06-16 | Local Fault Repair of Perfect Resource Placements in Dense Gaussian Networks
[arXiv] 2026-06-16 | Beyond IGO-Flow: Toward Convergence Analysis of IGO in Continuous Spaces
[arXiv] 2026-06-16 | An expressivity analysis of hierarchical modelling in deep transformers via bounded-depth grammars
[arXiv] 2026-06-16 | GASE: Gaussian Splatting-Based Automated System for Reconstructing Embodied-Simulation Environments
[arXiv] 2026-06-16 | Killed resolvents and measure-valued stopping gains for reflected optimal stopping with max-type rewards
[arXiv] 2026-06-16 | Theory of clusterization in orbitally degenerate transition-metal compounds driven by lattice instabilities
[arXiv] 2026-06-16 | PhaseWin: An Efficient Search Algorithm for Faithful Visual Attribution
[arXiv] 2026-06-16 | Absence of critical mass phenomena in one-dimensional critical quasilinear Keller-Segel systems
[arXiv] 2026-06-16 | MeV Gamma-Ray Lines from Radioactive Nuclei in Magnetar Giant Flares
[arXiv] 2026-06-16 | Greedy Vector Balancing
[arXiv] 2026-06-16 | Gaussian Light Field Splatting: A Physical Prior-Driven Vision Transformer for Unsupervised Low-Light Image Enhancement
[arXiv] 2026-06-16 | Edge-Number Bounds for the Inversion Diameter of Graphs
[arXiv] 2026-06-16 | Auto-correlation Function Keying
[arXiv] 2026-06-16 | Reload-Mamba: Hierarchical Anti-Dilution State-Space Modeling for Multi-Class Semantic Segmentation
[arXiv] 2026-06-16 | A Neuro-Symbolic Approach to Strategy Synthesis for Strategic Logics
[arXiv] 2026-06-16 | An Average-Order Theorem for a Shifted Pairwise-Coprime Extremal Problem
[arXiv] 2026-06-16 | Revisiting quantum effects on dislocation glide in bcc metals from DFT calculations and machine-learning potentials
[arXiv] 2026-06-16 | MLLMs Get It Right, Then Get It Wrong: Tracing and Correcting Late-Layer Textual Bias
[arXiv] 2026-06-16 | A simplified engineering algorithm for collision risk assessment and classification of LEO satellites
[arXiv] 2026-06-16 | PepsiCo Deploys AI-Driven Pricing and Promotion Optimization at Scale
[arXiv] 2026-06-16 | Joint Analysis of Shannon and Tsallis Entropy and GRACE-FO driven Equivalent Water Height Anomalies for Pre- and Post-Rupture Monitoring: An Example of the 2023 Mw = 7.8 Kahramanmaraş Earthquake, Türkiye
[arXiv] 2026-06-16 | MoonSplat: Monocular Online Gaussian Splatting with Sim(3) Global Optimization
[arXiv] 2026-06-16 | On Injectivity of Phase Retrieval
[arXiv] 2026-06-16 | Asymptotics of the number of labelled connected sparse multitype graphs
[arXiv] 2026-06-16 | SPICE-Q and Large-Scale Quantum Chip Production
[arXiv] 2026-06-16 | Learn to Quantify Social Interaction with Constraints for Pedestrian Walking
[arXiv] 2026-06-16 | MathVis-Fine: Aligning Visual Supervision with Necessity via Progressive Dependency-Guided Training for Multimodal Mathematical Reasoning
[arXiv] 2026-06-16 | Frequency upconversion of infrared signals via molecular cavity optomechanical systems with gain
[arXiv] 2026-06-16 | Chirality-induced spin selectivity without intrinsic spin-orbit coupling: Role of current-induced molecular orbital moment
[arXiv] 2026-06-16 | High Mach number limit for the 3D Euler-Poisson equations of ion dynamics
[arXiv] 2026-06-16 | Riemann invariant-based alternative WENO scheme for a two-layer thin film model
[arXiv] 2026-06-16 | An Epistemic Analysis of Random Coordinated Attack
[arXiv] 2026-06-16 | Full $Γ-$expansion for the level-two large deviation rate functionals of non-reversible one-dimensional diffusions with periodic boundary conditions
[arXiv] 2026-06-16 | FlowRAG: Synergizing Explicit Reasoning via Frequency-Aware Multi-Granularity Graph Flow
[arXiv] 2026-06-16 | A Counterexample to Wegner's Conjecture for Axis-Parallel Rectangles
[arXiv] 2026-06-16 | Split-Head Quantum Generative Adversarial Network for Crystalline Material Discovery
[arXiv] 2026-06-16 | CUTh-Solver: GPU-Accelerated Sparse Matrix Solver for High-Resolution Thermal Simulation of 3D ICs
[arXiv] 2026-06-16 | Nonlinear Optical Probing of Ferroic-Octupolar Order Parameter in Collinear Altermagnet
[arXiv] 2026-06-16 | Multiple solutions and simulations for an Ion Flow Field problem applied to HVDC transmission lines
[arXiv] 2026-06-16 | High-Fidelity 3D Geometric Reconstruction of Pelvic Organs from MRI: A Hybrid Deep Learning and Iterative Optimization Approach
[arXiv] 2026-06-16 | From Drift to Coherence: Stabilizing Beliefs in LLMs
[arXiv] 2026-06-16 | Functional Equivalence in Attention: A Comprehensive Study with Applications to Linear Mode Connectivity
[arXiv] 2026-06-16 | When Multiple Scripts Matter: Evaluating ASR in Clinical Settings
[arXiv] 2026-06-16 | Beyond Native Success: Auditing Deployment-Interface Exposure of CLIP Backdoors
[arXiv] 2026-06-16 | Two-population model of type Ia supernovae and their associations with host galaxies in ZTF DR2
[arXiv] 2026-06-16 | Koopman Lifting with Certified Error Bounds for Joint Inference in Nonlinear Networks
[arXiv] 2026-06-16 | Cross-connections of the normed algebra of finite rank bounded operators on a Hilbert space
[arXiv] 2026-06-16 | The Slop Paradox: How Synthetic Standardization Erodes Clinical Uncertainty and Cross-Modal Alignment in AI-Rewritten Radiology Reports
[arXiv] 2026-06-16 | Toward Accessible Psychotherapy Training Using AI-Driven Interactive Patient Avatars
[arXiv] 2026-06-16 | Theoretical calculations on half-lives of spontaneous one-proton radioactivity
[arXiv] 2026-06-16 | Blind Recovery of Latent Domains via Unsupervised Symmetry Discovery
[arXiv] 2026-06-16 | Sphericality of spaces of conics on homogeneous spaces
[arXiv] 2026-06-16 | Quantum Routers: A Switching-Fabric Framework for Quantum-Native Forwarding
[arXiv] 2026-06-16 | Reconfigurable Computing Challenge: Transformer for Jet Tagging on Versal AI Engines
[arXiv] 2026-06-16 | Design principles for stable and generalizable data-driven discretizations for solving linear hyperbolic conservation laws
[arXiv] 2026-06-16 | Impact of Network Constraints on Fault-Tolerant Distributed Quantum Computing
[arXiv] 2026-06-16 | Decoding Hidden Deception in Reasoning LLMs: Activation Explainers for Deception Auditing
[arXiv] 2026-06-16 | Multi-Adapter PPO: A Cross-Attention Enhanced Wavelength Selection Framework for LIBS Quantitative Analysis
[arXiv] 2026-06-16 | PARSE: Provenance-Aware Retrieval Sanitization for Professional Domain LLM Agents
[arXiv] 2026-06-16 | Contextual Robust Optimization for AI Data Center Scheduling with Statistical Guarantees
[arXiv] 2026-06-16 | Perron--Frobenius Operator Matching for Generative Modeling
[arXiv] 2026-06-16 | WeaveLA: Event Driven Cross-Subtask Latent Memory Weaving for Repetitive Robot Manipulation
[arXiv] 2026-06-16 | ResAware: Cross-Environment Website Fingerprinting via Resource-Privileged Distillation
[arXiv] 2026-06-16 | Can LLMs Be CEOs? Benchmarking Strategic Resource Reallocation with Multi-Role Agent Simulation
[arXiv] 2026-06-16 | MapSatisfyBench: Benchmarking Satisfaction-Aware Map Agents through Behavior-Grounded Implicit Decision Factors
[arXiv] 2026-06-16 | A Machine-Learned Comorbidity Index
[arXiv] 2026-06-16 | AnnotateAnything: Automatic Annotation of 3D Assets for Robot Manipulation
[arXiv] 2026-06-16 | UoU: A Universal Fingerprint Foundation Model Based on Large-Scale Unsupervised Learning
[arXiv] 2026-06-16 | Order statistics for edge eigenvectors of Wigner matrices
[arXiv] 2026-06-16 | The dangers of using three-number summaries to estimate unknown standard deviations: sensitivity analyses and some possible improvements incorporating shape
[arXiv] 2026-06-16 | Martingale Doppelgänger-Eval: An Identification Framework for Auditing Candlestick Understanding in Vision-Language Models
