[2026-01-01 09:14:45] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-31
正在获取论文...
[arXiv] 2025-12-31 | GaMO: Geometry-aware Multi-view Diffusion Outpainting for Sparse-View 3D Reconstruction
[arXiv] 2025-12-31 | Novel exact solutions of the Duffing equation: stability analysis and application to real non-linear deformation tests
[arXiv] 2025-12-31 | Throughput Optimization in UAV-Mounted RIS under Jittering and Imperfect CSI via DRL
[arXiv] 2025-12-31 | On Prats' problem with anomalous diffusion
[arXiv] 2025-12-31 | Dream2Flow: Bridging Video Generation and Open-World Manipulation with 3D Object Flow
[arXiv] 2025-12-31 | OpenOneRec Technical Report
[arXiv] 2025-12-31 | Strategies for Overcoming Gradient Troughs in the ADAPT-VQE Algorithm
[arXiv] 2025-12-31 | Bubbling wormholes and matrix models
[arXiv] 2025-12-31 | Runaway electron avalanche and macroscopic beam formation: simulations of the DTT full power scenario
[arXiv] 2025-12-31 | Essential Principles and Practices in X-ray Photoelectron Spectroscopy
[arXiv] 2025-12-31 | Trustworthy Equipment Monitoring via Cascaded Anomaly Detection and Thermal Localization
[arXiv] 2025-12-31 | FlowBlending: Stage-Aware Multi-Model Sampling for Fast and High-Fidelity Video Generation
[arXiv] 2025-12-31 | FPGA Co-Design for Efficient N:M Sparse and Quantized Model Inference
[arXiv] 2025-12-31 | Average Consensus with Dynamic Quantization Framing and Finite-Time Termination over Limited-Bandwidth Directed Networks
[arXiv] 2025-12-31 | Strict germs on normal surface singularities
[arXiv] 2025-12-31 | Non-SUSY DW's in ISO(7) gauged supergravity
[arXiv] 2025-12-31 | Mobility-Assisted Decentralized Federated Learning: Convergence Analysis and A Data-Driven Approach
[arXiv] 2025-12-31 | Non-perturbative Thermodynamics of Quark Gluon Plasma and Gravitational Waves
[arXiv] 2025-12-31 | Counting Lattices with Local Hecke Series
[arXiv] 2025-12-31 | BatteryAgent: Synergizing Physics-Informed Interpretation with LLM Reasoning for Intelligent Battery Fault Diagnosis
[arXiv] 2025-12-31 | R-Debater: Retrieval-Augmented Debate Generation through Argumentative Memory
[arXiv] 2025-12-31 | CellSecInspector: Safeguarding Cellular Networks via Automated Security Analysis on Specifications
[arXiv] 2025-12-31 | Multi-modal cross-domain mixed fusion model with dual disentanglement for fault diagnosis under unseen working conditions
[arXiv] 2025-12-31 | Panchromatic Absorbing Materials: Molecular Design and Challenges in Photovoltaic Applications
[arXiv] 2025-12-31 | Destruction of the interstellar dust by a supernova
[arXiv] 2025-12-31 | An Effective Theory for Biased Tracers via the Boltzmann-Equation Approach
[arXiv] 2025-12-31 | Distributed Bilevel Optimization with Dual Pruning for Resource-limited Clients
[arXiv] 2025-12-31 | Variance Decomposition in Bohmian Mechanics with Weak Actual Value Field and Quantum Potential
[arXiv] 2025-12-31 | Aspects of Sommerfeld Enhancement in the light of Halo gamma-ray excess
[arXiv] 2025-12-31 | Rational Angle Bisection Problem in Higher Dimensional Spaces and Incenters of Simplices over Fields
[arXiv] 2025-12-31 | Characterizing Bugs and Quality Attributes in Quantum Software: A Large-Scale Empirical Study
[arXiv] 2025-12-31 | RoboMIND 2.0: A Multimodal, Bimanual Mobile Manipulation Dataset for Generalizable Embodied Intelligence
[arXiv] 2025-12-31 | Hybrid Motion Planning with Deep Reinforcement Learning for Mobile Robot Navigation
[arXiv] 2025-12-31 | DynaFix: Iterative Automated Program Repair Driven by Execution-Level Dynamic Information
[arXiv] 2025-12-31 | Soliton profiles: Classical Numerical Schemes vs. Neural Network - Based Solvers
[arXiv] 2025-12-31 | MoniRefer: A Real-world Large-scale Multi-modal Dataset based on Roadside Infrastructure for 3D Visual Grounding
[arXiv] 2025-12-31 | Band Structure and Dynamics of Single Photons in Atomic Lattices
[arXiv] 2025-12-31 | Multiple Testing of One-Sided Hypotheses with Conservative $p$-values
[arXiv] 2025-12-31 | Open quantum theory of magnetoresistance in mesoscopic magnetic materials
[arXiv] 2025-12-31 | Origins of spontaneous magnetic fields in Sr$_2$RuO$_4$
[arXiv] 2025-12-31 | Functional Calculi, Positivity, and Convolution of Matrices
[arXiv] 2025-12-31 | On the Effectiveness of Training Data Optimization for LLM-based Code Generation: An Empirical Study
[arXiv] 2025-12-31 | MCPAgentBench: A Real-world Task Benchmark for Evaluating LLM Agent MCP Tool Use
[arXiv] 2025-12-31 | HaluNet: Multi-Granular Uncertainty Modeling for Efficient Hallucination Detection in LLM Question Answering
[arXiv] 2025-12-31 | RGBT-Ground Benchmark: Visual Grounding Beyond RGB in Complex Real-World Scenarios
[arXiv] 2025-12-31 | Evolutionary Discovery of Sequence Acceleration Methods for Slab Geometry Neutron Transport
[arXiv] 2025-12-31 | Higgs and Nambu-Goldstone modes in a spin-1 \textit{XY} model with long-range interactions
[arXiv] 2025-12-31 | TLS-induced thermal nonlinearity in a micro-mechanical resonator
[arXiv] 2025-12-31 | Correctness of Extended RSA Public Key Cryptosystem
[arXiv] 2025-12-31 | A Magnified View into Heterogeneous-ISA Thread Migration Performance without State Transformation
[arXiv] 2025-12-31 | Exponential Convergence of Deep Composite Polynomial Approximation for Cusp-Type Functions
[arXiv] 2025-12-31 | SpaceTimePilot: Generative Rendering of Dynamic Scenes Across Space and Time
[arXiv] 2025-12-31 | Feeling Blue: Constructing a Robust SALT3 UV Template and Constraining its Redshift Dependency
[arXiv] 2025-12-31 | Local approximations of global Hamiltonian from inclusion of algebras
[arXiv] 2025-12-31 | AdaGReS:Adaptive Greedy Context Selection via Redundancy-Aware Scoring for Token-Budgeted RAG
[arXiv] 2025-12-31 | Thin Tree Verification is coNP-Complete
[arXiv] 2025-12-31 | Generative Classifiers Avoid Shortcut Solutions
[arXiv] 2025-12-31 | Testing Monotonicity in a Finite Population
[arXiv] 2025-12-31 | Universal Seesaw Pati-Salam Model with P for Strong CP
[arXiv] 2025-12-31 | On Nonlinear Inertial Transformations
[arXiv] 2025-12-31 | ResponseRank: Data-Efficient Reward Modeling through Preference Strength Learning
[arXiv] 2025-12-31 | Detector Response Matrices, Effective Areas, and Flash-Effective Areas for Radiation Detectors
[arXiv] 2025-12-31 | MAMA-Memeia! Multi-Aspect Multi-Agent Collaboration for Depressive Symptoms Identification in Memes
[arXiv] 2025-12-31 | The splitting field and generators of the elliptic surface $Y^2=X^3 +t^{360} +1$
[arXiv] 2025-12-31 | FoundationSLAM: Unleashing the Power of Depth Foundation Models for End-to-End Dense Visual SLAM
[arXiv] 2025-12-31 | Uniqueness for stochastic differential equations in Hilbert spaces with irregular drift
[arXiv] 2025-12-31 | Distributions of wide binary stars in theory and in Gaia data: III. Orbital momenta, masses, and manifestations of MOND
[arXiv] 2025-12-31 | Noise resilient real-time phase imaging via undetected light
[arXiv] 2025-12-31 | Mathieu Control of the Effective Coupling in Superconducting Qubits
[arXiv] 2025-12-31 | The Fourier extension conjecture for the paraboloid
[arXiv] 2025-12-31 | Best Practices for Modelling Electrides
[arXiv] 2025-12-31 | Any Clifford+T circuit can be controlled with constant T-depth overhead
[arXiv] 2025-12-31 | Cartier duality for gerbes of vector bundles
[arXiv] 2025-12-31 | Cosmic Himalayas in CROCODILE : Probing the Extreme Quasar Overdensities by Count-in-Cells analysis and Nearest Neighbor Distribution
[arXiv] 2025-12-31 | ShowUI-$π$: Flow-based Generative Models as GUI Dexterous Hands
[arXiv] 2025-12-31 | Data-Driven Spectral Analysis Through Pseudo-Resolvent Koopman Operator in Dynamical Systems
[arXiv] 2025-12-31 | HaineiFRDM: Explore Diffusion to Restore Defects in Fast-Movement Films
[arXiv] 2025-12-31 | Multi-particle quantum systems within the Worldline Monte Carlo formalism
[arXiv] 2025-12-31 | Iterative Deployment Improves Planning Skills in LLMs
[arXiv] 2025-12-31 | A finite element approach for minimizing line and surface energies arising in the study of singularities in liquid crystals
[arXiv] 2025-12-31 | Semi-Supervised Diversity-Aware Domain Adaptation for 3D Object detection
[arXiv] 2025-12-31 | Cosmological dynamics and observational constraints of an interacting early scalar field coupled to radiation
[arXiv] 2025-12-31 | Existence, uniqueness, and approximability of solutions to the classical Melan equation in suspension bridges
[arXiv] 2025-12-31 | Non-Equilibrium Dynamics in QCD and Holography
[arXiv] 2025-12-31 | Spectral Graph Neural Networks for Cognitive Task Classification in fMRI Connectomes
[arXiv] 2025-12-31 | Hidden long-range correlations in the ion distribution at the graphite / [bmim][NTf$_2$] electrified interface
[arXiv] 2025-12-31 | PRISM: A hierarchical multiscale approach for time series forecasting
[arXiv] 2025-12-31 | Hierarchical Dynamics and Time-Length Scale Superposition in Glassy Suspensions of Ultra-Low Crosslinked Microgels
[arXiv] 2025-12-31 | Description of Baryon Mass Spectrum by Open Strings and Diquarks
[arXiv] 2025-12-31 | Tensor Based Proximal Alternating Minimization Method for A Kind of Inhomogeneous Quartic Optimization Problem
[arXiv] 2025-12-31 | Encyclo-K: Evaluating LLMs with Dynamically Composed Knowledge Statements
[arXiv] 2025-12-31 | Antecedents of Consumer Regret Frequency: The Roles of Decision Agency, Status Signaling, and Online Shopping Preference
[arXiv] 2025-12-31 | QCD Wehrl and entanglement entropies in a gluon spectator model at small-$x$
[arXiv] 2025-12-31 | Boundedness of Fourier Integral Operators with complex phases on Fourier Lebesgue spaces
[arXiv] 2025-12-31 | VLN-MME: Diagnosing MLLMs as Language-guided Visual Navigation agents
[arXiv] 2025-12-31 | A Low Background Beta Detection System using a Time Projection Chamber
[arXiv] 2025-12-31 | Time-Reversal Symmetry Breaking Superconducting State and Collective Modes in Kagome Superconductors
[arXiv] 2025-12-31 | Experimental Study on Fracture Structure of Sumi-Wari
[arXiv] 2025-12-31 | Explaining Why Things Go Where They Go: Interpretable Constructs of Human Organizational Preferences
[arXiv] 2025-12-31 | Unsupervised Topological Phase Discovery in Periodically Driven Systems via Floquet-Bloch State
[arXiv] 2025-12-31 | Causality constraints and anisotropic states
[arXiv] 2025-12-31 | Upscaling from ab initio atomistic simulations to electrode scale: The case of manganese hexacyanoferrate, a cathode material for Na-ion batteries
[arXiv] 2025-12-31 | Efficient Joint Resource Allocation for Wireless Powered ISAC with Target Localization
[arXiv] 2025-12-31 | Probing gluons-enriched dark jets from Higgs boson exotic decays at the LHC
[arXiv] 2025-12-31 | Four collapsing one-dimensional particles: a dynamical system approach of the spherical billiard reduction
[arXiv] 2025-12-31 | Operator Entanglement from Non-Commutative Symmetries
[arXiv] 2025-12-31 | Active phase separation: role of attractive interactions from stalled particles
[arXiv] 2025-12-31 | Sidelink Positioning: Standardization Advancements, Challenges and Opportunities
[arXiv] 2025-12-31 | Non-Abelian Geometric Phases in Triangular Structures And Universal SU(2) Control in Shape Space
[arXiv] 2025-12-31 | Self-Supervised Neural Architecture Search for Multimodal Deep Neural Networks
[arXiv] 2025-12-31 | Projection-based Adversarial Attack using Physics-in-the-Loop Optimization for Monocular Depth Estimation
[arXiv] 2025-12-31 | Harmonic rigidity at fixed spectral gap in one dimension
[arXiv] 2025-12-31 | Digitalizing Over-the-Air Computation via The Novel Complement Coded Modulation
[arXiv] 2025-12-31 | A Dual-Tuned Concentric Multimodal RF Coil for 7T 1H/31P MRSI: Concurrently Enhancing B1 Efficiency Over Single-Tuned References
[arXiv] 2025-12-31 | A first approximation algorithm for the Bin Packing Problem with Setups
[arXiv] 2025-12-31 | Compute-Accuracy Pareto Frontiers for Open-Source Reasoning Large Language Models
[arXiv] 2025-12-31 | Phase Reduction of Limit Cycle Oscillators: A Tutorial Review with New Perspectives on Isochrons and an Outlook to Higher-Order Reductions
[arXiv] 2025-12-31 | Lessons from the Klein paradox
[arXiv] 2025-12-31 | LUNCH: A Lightweight Unified Deep-Learning Framework for General Transients Classification in High-Energy Time-Domain Astronomy
[arXiv] 2025-12-31 | Mobility-induced phase separation in a binary mixture of active Brownian particles
[arXiv] 2025-12-31 | Large language models and the entropy of English
[arXiv] 2025-12-31 | Are First-Order Diffusion Samplers Really Slower? A Fast Forward-Value Approach
[arXiv] 2025-12-31 | Dynamics of Interfacial Diffusion Control in Amphiphilic Lipid-Coated Micro-Particles for Stochastic Release Systems
[arXiv] 2025-12-31 | Emergence of 3D Superconformal Ising Criticality on the Fuzzy Sphere
[arXiv] 2025-12-31 | The PDE-ODI principle and cylindrical mean curvature flows
[arXiv] 2025-12-31 | Classification of ancient cylindrical mean curvature flows and the Mean Convex Neighborhood Conjecture
[arXiv] 2025-12-31 | Analyzing Communication Predictability in LLM Training
[arXiv] 2025-12-31 | Fairness-Aware Insurance Pricing: A Multi-Objective Optimization Approach
[arXiv] 2025-12-31 | The disordered Su-Schrieffer-Heeger model
[arXiv] 2025-12-31 | Structure of twisted Jacquet modules of principal series representations of $GL_{2n}(F)$
[arXiv] 2025-12-31 | Phase transitions in time complexity of Brownian circuits
[arXiv] 2025-12-31 | Cataloging the nonlinear waves excited by moving a charged body in the dusty plasma medium
[arXiv] 2025-12-31 | Equivalence of Personalized PageRank and Successor Representations
[arXiv] 2025-12-31 | Continuous-variable quantum key distribution network based on entangled states of optical frequency combs
[arXiv] 2025-12-31 | A proximal subgradient algorithm for constrained multiobjective DC-type optimization
[arXiv] 2025-12-31 | On $\mathscr{M}$-arrangements of conics and lines with ordinary singularities
[arXiv] 2025-12-31 | Interfacing Atomic Spins with Photons for Quantum Metrology, Simulation and Computation
[arXiv] 2025-12-31 | Dynamic Policy Learning for Legged Robot with Simplified Model Pretraining and Model Homotopy Transfer
[arXiv] 2025-12-31 | Waste-to-Energy-Coupled AI Data Centers: Cooling Efficiency and Grid Resilience
[arXiv] 2025-12-31 | Disentangle Intertwined Interactions in Correlated Charge Density Wave with Magnetic Impurities
[arXiv] 2025-12-31 | Hierarchical Online Optimization Approach for IRS-enabled Low-altitude MEC in Vehicular Networks
[arXiv] 2025-12-31 | Antagonistic Bowden-Cable Actuation of a Lightweight Robotic Hand: Toward Dexterous Manipulation for Payload Constrained Humanoids
[arXiv] 2025-12-31 | Thermodynamics Reconstructed from Information Theory:An Axiomatic Framework via Information-Volume Constraints and Path-Space KL Divergence
[arXiv] 2025-12-31 | How Do Agentic AI Systems Deal With Software Energy Concerns? A Pull Request-Based Study
[arXiv] 2025-12-31 | Branched polymers with loops coupled to the critical Ising model
[arXiv] 2025-12-31 | Average first-passage times for character sums
[arXiv] 2025-12-31 | AI-Driven Acoustic Voice Biomarker-Based Hierarchical Classification of Benign Laryngeal Voice Disorders from Sustained Vowels
[arXiv] 2025-12-31 | Volcano Architecture for Scalable Quantum Processor Units
[arXiv] 2025-12-31 | AutoFed: Manual-Free Federated Traffic Prediction via Personalized Prompt
[arXiv] 2025-12-31 | A Uniform Pilot and Data Payload Optimization Framework for OTFS-Based ISAC
[arXiv] 2025-12-31 | FireRescue: A UAV-Based Dataset and Enhanced YOLO Model for Object Detection in Fire Rescue Scenes
[arXiv] 2025-12-31 | LLHA-Net: A Hierarchical Attention Network for Two-View Correspondence Learning
[arXiv] 2025-12-31 | Arithmetic spectral transition for the unitary almost Mathieu operator
[arXiv] 2025-12-31 | Chat-Driven Optimal Management for Virtual Network Services
[arXiv] 2025-12-31 | Group Deliberation Oriented Multi-Agent Conversational Model for Complex Reasoning
[arXiv] 2025-12-31 | ExoAtom: A Database of Atomic Spectra in ExoMol Format
[arXiv] 2025-12-31 | Secure Digital Semantic Communications: Fundamentals, Challenges, and Opportunities
[arXiv] 2025-12-31 | Dynamic Phase Transitions in Periodically Driving 1D Ising Model
[arXiv] 2025-12-31 | A Tale of 1001 LoC: Potential Runtime Error-Guided Specification Synthesis for Verifying Large-Scale Programs
[arXiv] 2025-12-31 | QAOA-MaxCut has barren plateaus for almost all graphs
[arXiv] 2025-12-31 | Understanding and Steering the Cognitive Behaviors of Reasoning Models at Test-Time
[arXiv] 2025-12-31 | Power Minimization in Pinching-Antenna Systems under Probabilistic LoS Blockage
