[2026-01-23 09:18:15] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-01-22
正在获取论文...
[arXiv] 2026-01-22 | JADES: Evolution of nitrogen abundances in star-forming galaxies from z ~ 1.5-7
[arXiv] 2026-01-22 | LL-GaussianMap: Zero-shot Low-Light Image Enhancement via 2D Gaussian Splatting Guided Gain Maps
[arXiv] 2026-01-22 | Atlas-Assisted Segment Anything Model for Fetal Brain MRI (FeTal-SAM)
[arXiv] 2026-01-22 | Monolithic tantalum pentoxide microrings with intrinsic Q factors exceeding 4X10(6)
[arXiv] 2026-01-22 | Tabular Incremental Inference
[arXiv] 2026-01-22 | Heavy holographic correlators in defect conformal field theories
[arXiv] 2026-01-22 | Four-dimensional Lorentzian algebraic Ricci solitons
[arXiv] 2026-01-22 | DualShield: Safe Model Predictive Diffusion via Reachability Analysis for Interactive Autonomous Driving
[arXiv] 2026-01-22 | Towards Automated Kernel Generation in the Era of LLMs
[arXiv] 2026-01-22 | Interaction between the ejecta, the accretion disk, and the secondary star in the recurrent nova system U Sco
[arXiv] 2026-01-22 | Phase structure of lattice QCD in the heavy quark high-density region and the three-state Potts model
[arXiv] 2026-01-22 | Investigation of the Generalisation Ability of Genetic Programming-evolved Scheduling Rules in Dynamic Flexible Job Shop Scheduling
[arXiv] 2026-01-22 | Zero-Shot Product Attribute Labeling with Vision-Language Models: A Three-Tier Evaluation Framework
[arXiv] 2026-01-22 | Enhanced LULC Segmentation via Lightweight Model Refinements on ALOS-2 SAR Data
[arXiv] 2026-01-22 | Spin reorientations in structurally metastable, disordered, and hexagonal Cr7Te8
[arXiv] 2026-01-22 | Development of an early warning method incorporating pre-supernova neutrino light curves
[arXiv] 2026-01-22 | FARM: Field-Aware Resolution Model for Intelligent Trigger-Action Automation
[arXiv] 2026-01-22 | Parallelizable Riemannian Alternating Direction Method of Multipliers for Non-convex Pose Graph Optimization
[arXiv] 2026-01-22 | Consistency-Regularized GAN for Few-Shot SAR Target Recognition
[arXiv] 2026-01-22 | Arithmetic Properties of Colored Partitions Restricted by Parity of the Parts
[arXiv] 2026-01-22 | StreetDesignAI: A Multi-Persona Evaluation System for Inclusive Infrastructure Design
[arXiv] 2026-01-22 | Geometric wavefront sets of genuine Iwahori-spherical representations
[arXiv] 2026-01-22 | Emergence of spatiotemporal patterns in a fuel-driven coupled cooperative supramolecular system
[arXiv] 2026-01-22 | Scaling-Based Quantization of Spacetime Microstructure
[arXiv] 2026-01-22 | SuperOcc: Toward Cohesive Temporal Modeling for Superquadric-based Occupancy Prediction
[arXiv] 2026-01-22 | Machine Failure Detection Based on Projected Quantum Models
[arXiv] 2026-01-22 | The $V_1$- and $V_2$-polynomials of a long virtual knot
[arXiv] 2026-01-22 | Qwen3-TTS Technical Report
[arXiv] 2026-01-22 | Existence and uniqueness of $L^1$-solutions to time-fractional nonlinear diffusion equations
[arXiv] 2026-01-22 | Tensor-based phase difference estimation on time series analysis
[arXiv] 2026-01-22 | Region-aware Spatiotemporal Modeling with Collaborative Domain Generalization for Cross-Subject EEG Emotion Recognition
[arXiv] 2026-01-22 | Does 6G Need a New Waveform: Comparing Zak-OTFS with CP-OFDM
[arXiv] 2026-01-22 | Overpartitions with repeated smallest non-overlined part
[arXiv] 2026-01-22 | Parallelism and Generation Order in Masked Diffusion Language Models: Limits Today, Potential Tomorrow
[arXiv] 2026-01-22 | YuFeng-XGuard: A Reasoning-Centric, Interpretable, and Flexible Guardrail Model for Large Language Models
[arXiv] 2026-01-22 | Multi-band Reconstruction of Sixteen Gravitational Lens Systems using PISCO data
[arXiv] 2026-01-22 | Screening for Choice Sets
[arXiv] 2026-01-22 | σh-Broken Induced Topological quasi-BIC
[arXiv] 2026-01-22 | Discovery of Density Limit Disruption Induced by Core-localized Alfv${é}$nic Ion Temperature Gradient Instabilities in a Tokamak Plasma
[arXiv] 2026-01-22 | LLM or Human? Perceptions of Trust and Information Quality in Research Summaries
[arXiv] 2026-01-22 | Modulation of superconducting properties by the charge density wave at the surface of 2H-NbSe2
[arXiv] 2026-01-22 | Learning Neural Operators from Partial Observations via Latent Autoregressive Modeling
[arXiv] 2026-01-22 | Beyond validation loss: Clinically-tailored optimization metrics improve a model's clinical performance
[arXiv] 2026-01-22 | A Mobile Magnetic Manipulation Platform for Gastrointestinal Navigation with Deep Reinforcement Learning Control
[arXiv] 2026-01-22 | Gauge Theory and Skein Modules
[arXiv] 2026-01-22 | Why Can't I Open My Drawer? Mitigating Object-Driven Shortcuts in Zero-Shot Compositional Action Recognition
[arXiv] 2026-01-22 | LLM-in-Sandbox Elicits General Agentic Intelligence
[arXiv] 2026-01-22 | Cyclic sunspot activity during the first millennium CE as reconstructed from radiocarbon
[arXiv] 2026-01-22 | Generalized Bassian Modules over Non-primitive Dedekind Prime Rings
[arXiv] 2026-01-22 | Provable Robustness in Multimodal Large Language Models via Feature Space Smoothing
[arXiv] 2026-01-22 | PAL*M: Property Attestation for Large Generative Models
[arXiv] 2026-01-22 | Magnon equilibrium spin current in collinear antiferromagnets
[arXiv] 2026-01-22 | Gaussian maps on trigonal curves
[arXiv] 2026-01-22 | Metric-uniform spectral inequality for the Laplacian on manifolds with bounded sectional curvature
[arXiv] 2026-01-22 | Fixed-point proportion of geometric iterated Galois groups
[arXiv] 2026-01-22 | Reanalyzing DESI DR1: 4. Percent-Level Cosmological Constraints from Combined Probes and Robust Evidence for the Normal Neutrino Mass Hierarchy
[arXiv] 2026-01-22 | Cosmos Policy: Fine-Tuning Video Models for Visuomotor Control and Planning
[arXiv] 2026-01-22 | Maximal toroids and Cartan subgroups of algebraic groups
[arXiv] 2026-01-22 | CONTEX-T: Contextual Privacy Exploitation via Transformer Spectral Analysis for IoT Device Fingerprinting
[arXiv] 2026-01-22 | Interconnection-based Model Reduction for Linear Hybrid Systems
[arXiv] 2026-01-22 | On the rationality of the Weil Representation and the local theta correspondence
[arXiv] 2026-01-22 | LLM Prompt Evaluation for Educational Applications
[arXiv] 2026-01-22 | Modular Weil representation and compatibility of cuspidals with congruences
[arXiv] 2026-01-22 | Replicating Human Motivated Reasoning Studies with LLMs
[arXiv] 2026-01-22 | Langevin equations with non-Gaussian thermal noise: Valid but superfluous
[arXiv] 2026-01-22 | Efficiently Learning Robust Torque-based Locomotion Through Reinforcement with Model-Based Supervision
[arXiv] 2026-01-22 | Intersections of Convex Hulls of Polynomial Shifts and Critical Points
[arXiv] 2026-01-22 | Matrix Bootstrap Approximation without Positivity Constraint
[arXiv] 2026-01-22 | Clustering-Guided Spatial-Spectral Mamba for Hyperspectral Image Classification
[arXiv] 2026-01-22 | A forward-only scheme for online learning of proposal distributions in particle filters
[arXiv] 2026-01-22 | Improve the autonomy of the SE2(3) group based Extended Kalman Filter for Integrated Navigation: Application
[arXiv] 2026-01-22 | DNF formulas are efficiently testable with relative error
[arXiv] 2026-01-22 | The Hyperrigidity Conjecture for Spectrahedra
[arXiv] 2026-01-22 | On the Stable Euclidean Distance Degree of Algebraic Layers
[arXiv] 2026-01-22 | On damage of interpolation to adversarial robustness in regression
[arXiv] 2026-01-22 | Physics-Informed Neural Networks for Viscoacoustic Wave Propagation: Forward Modelling, Inversion and Discretization Sensitivity
[arXiv] 2026-01-22 | Physical and Dielectric Properties of Polycrystalline LaV$_{0.5}$Nb$_{0.5}$O$_4$
[arXiv] 2026-01-22 | Dynamic Tactile Sensing System and Soft Actor Critic Reinforcement Learning for Inclusion Characterization
[arXiv] 2026-01-22 | Facile Optimization of Combinatorial Sputtering Processes with Arbitrary Numbers of Components for Targeted Compositions
[arXiv] 2026-01-22 | Hybrid Channel Estimation with Quantized Phase Feedback for Over-the-Air Computation
[arXiv] 2026-01-22 | DextER: Language-driven Dexterous Grasp Generation with Embodied Reasoning
[arXiv] 2026-01-22 | A Second-Order Dynamical System for Solving Generalized Inverse Mixed Variational Inequality problems
[arXiv] 2026-01-22 | Exact Kerr-Newman-(A)dS and other spacetimes in bumblebee gravity: employing a novel generating technique
[arXiv] 2026-01-22 | Collision-Free Humanoid Traversal in Cluttered Indoor Scenes
[arXiv] 2026-01-22 | Universal Refusal Circuits Across LLMs: Cross-Model Transfer via Trajectory Replay and Concept-Basis Reconstruction
[arXiv] 2026-01-22 | Modeling the Impact of Unresolved Stellar Companions on Detection Sensitivity in Kepler's Small Planet Occurrence Rates
[arXiv] 2026-01-22 | Stacked Intelligent Metasurface-Aided Wave-Domain Signal Processing: From Communications to Sensing and Computing
[arXiv] 2026-01-22 | Deja Vu in Plots: Leveraging Cross-Session Evidence with Retrieval-Augmented LLMs for Live Streaming Risk Assessment
[arXiv] 2026-01-22 | The role of the apical oxygen in cuprate high-temperature superconductors
[arXiv] 2026-01-22 | Nonlinear tails of massive scalar fields around a black hole
[arXiv] 2026-01-22 | The Role of Cognitive Abilities in Requirements Inspection: Comparing UML and Textual Representations
[arXiv] 2026-01-22 | Critical speed of a binary superfuid of light
[arXiv] 2026-01-22 | A multi-wavelength approach of AGN feedback in LINERs: The case of NGC 4438
[arXiv] 2026-01-22 | A sharp criterion and complete classification of global-in-time solutions and finite time blow-up of solutions to a chemotaxis system in supercritical dimensions
[arXiv] 2026-01-22 | Unveiling and Simulating Short-Video Addiction Behaviors via Economic Addiction Theory
[arXiv] 2026-01-22 | HE0144-4657: A Carbon-Enhanced Ultra Metal-Poor Star ([Fe/H] ~ -4.1) from the Helmi Stream Disrupted Dwarf Galaxy
[arXiv] 2026-01-22 | Universal Digitized Counterdiabatic Driving
[arXiv] 2026-01-22 | Iteration complexity of the Difference-of-Convex Algorithm for unconstrained optimization: a simple proof
[arXiv] 2026-01-22 | String Breaking and Glueball Dynamics in $2+1$D Quantum Link Electrodynamics
[arXiv] 2026-01-22 | Rankin--Cohen brackets in Representation Theory
[arXiv] 2026-01-22 | The second Delannoy category
[arXiv] 2026-01-22 | Generalized Information Inequalities via Submodularity, and Two Combinatorial Problems
[arXiv] 2026-01-22 | Limit behavior of linearly edge-reinforced random walks on the half-line
[arXiv] 2026-01-22 | Random Walks Across Dimensions: Exploring Simplicial Complexes
[arXiv] 2026-01-22 | Synthetic Differential Jet Bundles are Reduced
[arXiv] 2026-01-22 | Data-Free Privacy-Preserving for LLMs via Model Inversion and Selective Unlearning
[arXiv] 2026-01-22 | Dancing in Chains: Strategic Persuasion in Academic Rebuttal via Theory of Mind
[arXiv] 2026-01-22 | Hydrodynamic simulations of the recurrent nova T Coronae Borealis: Nucleosynthesis predictions
[arXiv] 2026-01-22 | Segregation-Controlled Diffusion-Induced Grain Boundary Migration in Alloy 690
[arXiv] 2026-01-22 | FlexLLM: Composable HLS Library for Flexible Hybrid LLM Accelerator Design
[arXiv] 2026-01-22 | D-Optimality-Guided Reinforcement Learning for Efficient Open-Loop Calibration of a 3-DOF Ankle Rehabilitation Robot
[arXiv] 2026-01-22 | Improving Methodologies for LLM Evaluations Across Global Languages
[arXiv] 2026-01-22 | Beyond Visual Safety: Jailbreaking Multimodal Large Language Models for Harmful Image Generation via Semantic-Agnostic Inputs
[arXiv] 2026-01-22 | Balancing Security and Privacy: The Pivotal Role of AI in Modern Healthcare Systems
[arXiv] 2026-01-22 | What Patients Really Ask: Exploring the Effect of False Assumptions in Patient Information Seeking
[arXiv] 2026-01-22 | Enhancing guidance for missing data in diffusion-based sequential recommendation
[arXiv] 2026-01-22 | Skywork UniPic 3.0: Unified Multi-Image Composition via Sequence Modeling
[arXiv] 2026-01-22 | Non-Ambipolarity of Microturbulent Transport
[arXiv] 2026-01-22 | Toward Trustworthy Short-Range Forecasts with AFNO: From Skill Metrics to Conservation Checks
[arXiv] 2026-01-22 | Enhancing the Size of Phase-Space States Containing Sub-Planck-Scale Structures via Non-Gaussian Operations
[arXiv] 2026-01-22 | Distributed Multichannel Active Noise Control with Asynchronous Communication
[arXiv] 2026-01-22 | Evolving Without Ending: Unifying Multimodal Incremental Learning for Continual Panoptic Perception
[arXiv] 2026-01-22 | An optical transistor of the nonlinear resonant structure
[arXiv] 2026-01-22 | Structures of elastoinertial turbulence in pipe flow
[arXiv] 2026-01-22 | Side-Channel Attacks on Open vSwitch
[arXiv] 2026-01-22 | CogToM: A Comprehensive Theory of Mind Benchmark inspired by Human Cognition for Large Language Models
[arXiv] 2026-01-22 | Bridging Qualitative Rubrics and AI: A Binary Question Framework for Criterion-Referenced Grading in Engineering
[arXiv] 2026-01-22 | Design, Modelling, and Control of Magnetic Ball Suspension System
[arXiv] 2026-01-22 | Lucas sequences, Pell's equations, and automorphisms of K3 surfaces
[arXiv] 2026-01-22 | Gravitational equal-area law and critical phenomena of cuspy black hole shadow
[arXiv] 2026-01-22 | Degree-choosability of proper conflict-free list coloring of sparse graphs
[arXiv] 2026-01-22 | ToxiTwitch: Toward Emote-Aware Hybrid Moderation for Live Streaming Platforms
[arXiv] 2026-01-22 | Autonomous Business System via Neuro-symbolic AI
[arXiv] 2026-01-22 | Neural Nonlinear Shrinkage of Covariance Matrices for Minimum Variance Portfolio Optimization
[arXiv] 2026-01-22 | Extended symmetry of the Maxwell theory with a gauge coupling constant as a conserved charge
[arXiv] 2026-01-22 | A Wild Steiner-Lehmus Chase
[arXiv] 2026-01-22 | Density Limit Experiments and Core-localized Kinetic MHD Activities in HL-2A Ohmic Heating Plasmas
[arXiv] 2026-01-22 | Deep Learning for Perishable Inventory Systems with Human Knowledge
[arXiv] 2026-01-22 | Optimized Slice-Phase Control of Mirror Pulse in Cold-Atom Interferometry with Finite Response Time
[arXiv] 2026-01-22 | Global solution curves for first order periodic problems, with applications
[arXiv] 2026-01-22 | A Modified Center-of-Mass Conservation Law in Finite-Domain Simulations of the Zakharov--Kuznetsov Equation
[arXiv] 2026-01-22 | Verified polynomial-time reductions in Lean 4: formalizing the complexity of decision-relevant information
[arXiv] 2026-01-22 | Stabilizing Welfare-Maximizing Decisions via Endogenous Transfers
[arXiv] 2026-01-22 | From Generation to Collaboration: Using LLMs to Edit for Empathy in Healthcare
[arXiv] 2026-01-22 | There Is More to Outshining: 2D Dust Effects on Stellar Mass Estimates at $3 \leq z < 9$ with JWST in the JADES Field
[arXiv] 2026-01-22 | JWST Advanced Deep Extragalactic Survey (JADES) Data Release 5: Photometrically Selected Galaxy Candidates at z > 8
[arXiv] 2026-01-22 | JWST Advanced Deep Extragalactic Survey (JADES) Data Release 5: NIRCam Imaging in GOODS-S and GOODS-N
[arXiv] 2026-01-22 | EVolSplat4D: Efficient Volume-based Gaussian Splatting for 4D Urban Scene Synthesis
[arXiv] 2026-01-22 | ICON: Invariant Counterfactual Optimization with Neuro-Symbolic Priors for Text-Based Person Search
[arXiv] 2026-01-22 | MMGRid: Navigating Temporal-aware and Cross-domain Generative Recommendation via Model Merging
[arXiv] 2026-01-22 | A Remark on Downlink Massive Random Access
[arXiv] 2026-01-22 | A new proof of unboundedness of Riesz operator in $L^\infty$ and applications to mild ill-posedness in $W^{1,\infty}$ of the Euler type equations
[arXiv] 2026-01-22 | Dominant Thermal Resonant Mechanism for Low-Scale Leptogenesis
[arXiv] 2026-01-22 | Does the solar oxygen abundance change over the solar cycle? An investigation into activity-induced variations of the O I infrared triplet
[arXiv] 2026-01-22 | A Multi-View Pipeline and Benchmark Dataset for 3D Hand Pose Estimation in Surgery
[arXiv] 2026-01-22 | CVD grown bilayer MoS2 based artificial optoelectronic synapses for arithmetic computing and image recognition applications
[arXiv] 2026-01-22 | Strain as a topological selector in altermagnetic CrSb
[arXiv] 2026-01-22 | The Latency Wall: Benchmarking Off-the-Shelf Emotion Recognition for Real-Time Virtual Avatars
[arXiv] 2026-01-22 | Convergence to shock profiles for Burgers equation with singular fast-diffusion and boundary effect
[arXiv] 2026-01-22 | ThermoSplat: Cross-Modal 3D Gaussian Splatting with Feature Modulation and Geometry Decoupling
[arXiv] 2026-01-22 | 2-Equivariant 2-Vector bundles and 2K-theories
[arXiv] 2026-01-22 | RadJEPA: Radiology Encoder for Chest X-Rays via Joint Embedding Predictive Architecture
[arXiv] 2026-01-22 | A Stabilized Hybrid Active Noise Control Algorithm of GFANC and FxNLMS with Online Clustering
[arXiv] 2026-01-22 | Search for the Axion-Like-Particles in the $η\toπ^{+}π^{-}e^{+}e^{-}$ decay with HADES detector
[arXiv] 2026-01-22 | EvoCUA: Evolving Computer Use Agents via Learning from Scalable Synthetic Experience
[arXiv] 2026-01-22 | Towards mathematical spaces for biological processes
[arXiv] 2026-01-22 | Practical applications of Set Shaping Theory to Non-Uniform Sequences
[arXiv] 2026-01-22 | Determination of the longitude difference between Baghdad and Khwarezm using a lunar eclipse (the method of Abu Rayhan al-Biruni and Abu al-Wafa al-Buzjani)
[arXiv] 2026-01-22 | Effects of pulsed and continuous light and heavy ion irradiation on the morphology and electrical properties of Ag+C60 and Au+C60 composite thin films
[arXiv] 2026-01-22 | Magnetoelastic coupling at the field-induced transition in EuAl$_{12}$O$_{19}$
[arXiv] 2026-01-22 | Quantum Coherence Spaces Revisited: A von Neumann (Co)Algebraic Approach
[arXiv] 2026-01-22 | Black hole based general relativistic limit of f(R) theory of gravity
[arXiv] 2026-01-22 | Failed ejection and oscillations of a current-carrying filament balanced by gravity
[arXiv] 2026-01-22 | ExDR: Explanation-driven Dynamic Retrieval Enhancement for Multimodal Fake News Detection
[arXiv] 2026-01-22 | Photorefraction Management in Lithium Niobate Waveguides: High-Temperature vs. Cryogenic Solutions
[arXiv] 2026-01-22 | A Mobile Application for Flower Recognition System Based on Convolutional Neural Networks
[arXiv] 2026-01-22 | SteerEval: Inference-time Interventions Strengthen Multilingual Generalization in Neural Summarization Metrics
[arXiv] 2026-01-22 | Algebraic Statistics in OSCAR
[arXiv] 2026-01-22 | A Beacon Based Solution for Autonomous UUVs GNSS-Denied Stealthy Navigation
[arXiv] 2026-01-22 | VitalDiagnosis: AI-Driven Ecosystem for 24/7 Vital Monitoring and Chronic Disease Management
[arXiv] 2026-01-22 | Forward Spectator Detector for CBM
[arXiv] 2026-01-22 | Adaptive Non-Uniform Sampling of Bandlimited Signals via Algorithm-Encoder Co-Design
[arXiv] 2026-01-22 | Agentic Confidence Calibration
[arXiv] 2026-01-22 | Glove2UAV: A Wearable IMU-Based Glove for Intuitive Control of UAV
[arXiv] 2026-01-22 | Stochastically forced compressible Navier-Stokes equations with slip boundary conditions of friction type
[arXiv] 2026-01-22 | NMRGym: A Comprehensive Benchmark for Nuclear Magnetic Resonance Based Molecular Structure Elucidation
[arXiv] 2026-01-22 | NL4ST: A Natural Language Query Tool for Spatio-Temporal Databases
[arXiv] 2026-01-22 | CTL* Model Checking on Infinite Families of Finite-State Labeled Transition Systems (Technical Report)
[arXiv] 2026-01-22 | Hallucination Mitigating for Medical Report Generation
[arXiv] 2026-01-22 | FAIR-ESI: Feature Adaptive Importance Refinement for Electrophysiological Source Imaging
[arXiv] 2026-01-22 | CoNRec: Context-Discerning Negative Recommendation with LLMs
[arXiv] 2026-01-22 | High-resolution neutron diffraction determination of noncollinear antiferromagnetic order in the honeycomb magnetoelectric Fe$_{4}$Nb$_{2}$O$_{9}$
[arXiv] 2026-01-22 | CamPilot: Improving Camera Control in Video Diffusion Model with Efficient Camera Reward Feedback
[arXiv] 2026-01-22 | Point Bridge: 3D Representations for Cross Domain Policy Learning
[arXiv] 2026-01-22 | Stochastic Control Barrier Functions under State Estimation: From Euclidean Space to Lie Groups
[arXiv] 2026-01-22 | Inference on the Significance of Modalities in Multimodal Generalized Linear Models
[arXiv] 2026-01-22 | The Pohozaev identity for the Spectral Fractional Laplacian
[arXiv] 2026-01-22 | A general spectral solver for the axisymmetric Jeans equations: fast galaxy modelling with arbitrary anisotropy
[arXiv] 2026-01-22 | Beyond Predictive Uncertainty: Reliable Representation Learning with Structural Constraints
[arXiv] 2026-01-22 | Non-Linearly Separable Distributed Computing: A Sparse Tensor Factorization Approach
[arXiv] 2026-01-22 | Domain-Incremental Continual Learning for Robust and Efficient Keyword Spotting in Resource Constrained Systems
[arXiv] 2026-01-22 | All ascents exponential from valued constraint graphs of pathwidth three
[arXiv] 2026-01-22 | On the Ginzburg-Landau approximation for quasilinear pattern forming reaction-diffusion-advection systems
[arXiv] 2026-01-22 | A hybrid reconstruction of piece-wise smooth functions from non-uniform Fourier data
[arXiv] 2026-01-22 | Experimental prime factorization via a feedback quantum control
[arXiv] 2026-01-22 | Variable Splitting Binary Tree Models Based on Bayesian Context Tree Models for Time Series Segmentation
[arXiv] 2026-01-22 | The Eisenbud-Goto conjecture for projectively normal varieties with mild singularities
[arXiv] 2026-01-22 | On the spherical cardioid distribution and its goodness-of-fit
[arXiv] 2026-01-22 | On Seshadri constants of adjoint divisors on surfaces and threefolds in arbitrary characteristic
[arXiv] 2026-01-22 | Birational automorphism groups in families of hyper-Kähler manifolds
[arXiv] 2026-01-22 | Probably Approximately Correct Maximum A Posteriori Inference
[arXiv] 2026-01-22 | Masked Modeling for Human Motion Recovery Under Occlusions
[arXiv] 2026-01-22 | Explainable AI to Improve Machine Learning Reliability for Industrial Cyber-Physical Systems
[arXiv] 2026-01-22 | DTP: A Simple yet Effective Distracting Token Pruning Framework for Vision-Language Action Models
[arXiv] 2026-01-22 | Designing faster mixed integer linear programming algorithm via learning the optimal path
[arXiv] 2026-01-22 | Fujita exponents on quantum Euclidean spaces
[arXiv] 2026-01-22 | Electric-Switchable Chiral Magnons in PT-Symmetric Antiferromagnets
[arXiv] 2026-01-22 | Can Platform Design Encourage Curiosity? Evidence from an Independent Social Media Experiment
[arXiv] 2026-01-22 | The flux of particles in a one-dimensional Fleming-Viot process
[arXiv] 2026-01-22 | Timbre-Aware LLM-based Direct Speech-to-Speech Translation Extendable to Multiple Language Pairs
[arXiv] 2026-01-22 | Spatially resolved stellar-to-total dynamical mass relation: Radial variations, gradients and profiles of galaxy stellar populations
[arXiv] 2026-01-22 | Mecellem Models: Turkish Models Trained from Scratch and Continually Pre-trained for the Legal Domain
[arXiv] 2026-01-22 | Low-Complexity Sparse Superimposed Coding for Ultra Reliable Low Latency Communications
[arXiv] 2026-01-22 | PhysicsMind: Sim and Real Mechanics Benchmarking for Physical Reasoning and Prediction in Foundational VLMs and World Models
[arXiv] 2026-01-22 | Time-Optimal Switching Surfaces for Triple Integrator under Full Box Constraints
[arXiv] 2026-01-22 | Engineering quantum Mpemba effect by Liouvillian skin effect
[arXiv] 2026-01-22 | Hysteretic Excitation in Non-collinear Antiferromagnetic Spin-Torque Oscillators: A Terminal Velocity Motion Perspective
[arXiv] 2026-01-22 | Efficient Cloud-edge Collaborative Approaches to SPARQL Queries over Large RDF graphs
[arXiv] 2026-01-22 | Radiative corrections to decays of the 125 GeV Higgs boson in the complex Higgs triplet model
[arXiv] 2026-01-22 | Mid-infrared high-sensitive cavity-free in-situ CO gas sensing based on up-conversion detection
[arXiv] 2026-01-22 | Weyl-transverse gravity with boundaries
[arXiv] 2026-01-22 | Reaching the intrinsic performance limits of superconducting strip photon detectors up to 0.1 mm wide
[arXiv] 2026-01-22 | 360Anything: Geometry-Free Lifting of Images and Videos to 360°
[arXiv] 2026-01-22 | Fair sampling with temperature-targeted QAOA based on quantum-classical correspondence theory
[arXiv] 2026-01-22 | Frictional work and entropy production in integrable and non-integrable spin chains
[arXiv] 2026-01-22 | Primes and almost primes between cubes
[arXiv] 2026-01-22 | Quantum Metrology under Coarse-Grained Measurement
[arXiv] 2026-01-22 | Minimax-optimal Halpern iterations for Lipschitz maps
[arXiv] 2026-01-22 | Rokhlin dimension for actions of residually compact groups
[arXiv] 2026-01-22 | Unsplit Spreading: An Overlooked Signature of Long-Range Interaction
[arXiv] 2026-01-22 | K-DRIFT Science Theme: Galactic Cirrus Clouds and Circumgalactic Medium
[arXiv] 2026-01-22 | Model-Free Inference for Characterizing Protein Mutations through a Coevolutionary Lens
[arXiv] 2026-01-22 | Classical Simulation of Noiseless Quantum Dynamics without Randomness
[arXiv] 2026-01-22 | A compact object with a K type star companion in the solar neighborhood: a wide post common envelope binary with a white dwarf candidate
[arXiv] 2026-01-22 | Automated quantum circuit optimization with randomized replacements
[arXiv] 2026-01-22 | Introducing the Generative Application Firewall (GAF)
