[2026-04-28 22:57:19] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-27
正在获取论文...
[arXiv] 2026-04-27 | The Last Human-Written Paper: Agent-Native Research Artifacts
[arXiv] 2026-04-27 | See Further, Think Deeper: Advancing VLM's Reasoning Ability with Low-level Visual Cues and Reflection
[arXiv] 2026-04-27 | Amplified Urban Climate Extremes from Global Warming-Urbanization Synergy: Toward a Physics-Informed Intelligence Paradigm
[arXiv] 2026-04-27 | Monocular Depth Estimation via Neural Network with Learnable Algebraic Group and Ring Structures
[arXiv] 2026-04-27 | Existence of stationary solutions for some systems of integro-differential equations with Laplace and bi-Laplace operators
[arXiv] 2026-04-27 | X-NegoBox: An Explainable Privacy-Budget Negotiation Framework for Secure Peer-to-Peer Energy Data Exchange
[arXiv] 2026-04-27 | The FLAMINGO simulations data release
[arXiv] 2026-04-27 | A Tour of Locality Sensitive Filtering on the Sphere
[arXiv] 2026-04-27 | Generative Design of a Gas Turbine Combustor Using Invertible Neural Networks
[arXiv] 2026-04-27 | Complementary-polarity double-layer LiTaO3 resonators for symmetry-selective SH2 excitation with ultrahigh electromechanical coupling (kt^2 = 25.7%)
[arXiv] 2026-04-27 | Differentiable Faithfulness Alignment for Cross-Model Circuit Transfer
[arXiv] 2026-04-27 | Gyration Stability for Products
[arXiv] 2026-04-27 | ReVSI: Rebuilding Visual Spatial Intelligence Evaluation for Accurate Assessment of VLM 3D Reasoning
[arXiv] 2026-04-27 | Cosine bands, flat bands and superconductivity in orthorhombic iron selenide
[arXiv] 2026-04-27 | $H^\infty$--functional calculus for generators of semigroups that admit lower bounds
[arXiv] 2026-04-27 | Latent-Hysteresis Graph ODEs: Modeling Coupled Topology-Feature Evolution via Continuous Phase Transitions
[arXiv] 2026-04-27 | Bounds on nonlinear effective field theories via resurgent relative entropy
[arXiv] 2026-04-27 | Resonant RF Wakefield Coupling for Radiation-Reaction Control of 3D Betatron Dynamics in Hybrid Laser Plasma Accelerators
[arXiv] 2026-04-27 | Model-Free Inference of Investor Preferences: A Relative Entropy IRL Approach
[arXiv] 2026-04-27 | Functional Dismantling of Network Relaxation through Slow-Branch Susceptibility
[arXiv] 2026-04-27 | SVOM/C-GFT: Instrumentation and Performances on the SVOM Alerts
[arXiv] 2026-04-27 | GRM Scientific Pipeline
[arXiv] 2026-04-27 | Overview of Ground-based Wide-Angle Cameras array
[arXiv] 2026-04-27 | SVOM/VT: Preliminary Calibration Analysis
[arXiv] 2026-04-27 | The SVOM / ECLAIRs Scientific Analysis Pipeline
[arXiv] 2026-04-27 | The Microchannel X-ray Telescope on board the SVOM mission: in-flight scientific performance
[arXiv] 2026-04-27 | On a family of strong fractional maximal operators
[arXiv] 2026-04-27 | GeoEdit: Local Frames for Fast, Training-Free On-Manifold Editing in Diffusion Models
[arXiv] 2026-04-27 | Graph-augmented Segmentation of Complex Shapes in Laser Powder bed Fusion for Enhanced In Situ Inspection
[arXiv] 2026-04-27 | Precision extraction of the deuteron electric polarizability via the Baldin sum rule with full low-energy coverage
[arXiv] 2026-04-27 | RefEvo: Agentic Design with Co-Evolutionary Verification for Agile Reference Model Generation
[arXiv] 2026-04-27 | Dichroic Raman probes for chiral edge modes
[arXiv] 2026-04-27 | MultiDx: A Multi-Source Knowledge Integration Framework towards Diagnostic Reasoning
[arXiv] 2026-04-27 | Dynamic Cyber Ranges
[arXiv] 2026-04-27 | POCA: Pareto-Optimal Curriculum Alignment for Visual Text Generation
[arXiv] 2026-04-27 | Defusing the Trigger: Plug-and-Play Defense for Backdoored LLMs via Tail-Risk Intrinsic Geometric Smoothing
[arXiv] 2026-04-27 | The Ethical Knowledge Gap: Dispersed Knowledge, Sensemaking Failures, and Epistemic Dependence
[arXiv] 2026-04-27 | Semi-Discrete Approximation of Aubry and Mather sets
[arXiv] 2026-04-27 | Synchronized molecular dynamics method for thin-layer flows of complex fluids
[arXiv] 2026-04-27 | Near-Optimal Heaps and Dijkstra on Pointer Machines
[arXiv] 2026-04-27 | Quantum algorithm for solving high-dimensional linear stochastic differential equations via amplitude encoding of the noise term
[arXiv] 2026-04-27 | The Benjamin-Ono equation with 2D control input: approximate controllability and its application
[arXiv] 2026-04-27 | Finite-Gap Solutions of the Pohlmeyer--Lund--Regge Equation and the Associated Curve Evolution
[arXiv] 2026-04-27 | Geometry selective colossal negative dielectric permittivity in CaFe2O4 nanostructures
[arXiv] 2026-04-27 | Photon Surfaces in Higher-Curvature Gravity: Implications for Quasinormal Modes and Gravitational Lensing
[arXiv] 2026-04-27 | Learning is Revelation in Disguise: Improved Regret and Equivalence Results for Dynamic Pricing
[arXiv] 2026-04-27 | AsyncShield: A Plug-and-Play Edge Adapter for Asynchronous Cloud-based VLA Navigation
[arXiv] 2026-04-27 | Neural Enhancement of Analytical Appearance Models
[arXiv] 2026-04-27 | Dynamic Grammar-Compressed Self-Index in $delta$-Optimal Space
[arXiv] 2026-04-27 | The Pragmatic Persona: Discovering LLM Persona through Bridging Inference
[arXiv] 2026-04-27 | Distilling Self-Consistency into Verbal Confidence: A Pre-Registered Negative Result and Post-Hoc Rescue on Gemma 3 4B
[arXiv] 2026-04-27 | DataClaw: An Autonomous Data Agent with Instant Messaging Integration
[arXiv] 2026-04-27 | Analysis of Stability and Performance of Economic Model Predictive Control with State-Independent Costs
[arXiv] 2026-04-27 | Low-energy hadronic physics in holographic $\mathrm{QCD_{3}}$ with anisotropy
[arXiv] 2026-04-27 | AgenticCache: Cache-Driven Asynchronous Planning for Embodied AI Agents
[arXiv] 2026-04-27 | ServImage: An Image Generation and Editing Benchmark from Real-world Commercial Imaging Services
[arXiv] 2026-04-27 | QubitQuest: Learning Quantum Computing through Mini-Games
[arXiv] 2026-04-27 | Single-Cycle Multidirectional EOG Classification Faster than Human Reaction Time for Wearable Human-Computer Interactions
[arXiv] 2026-04-27 | IntentVLM: Open-Vocabulary Intention Recognition through Forward-Inverse Modeling with Video-Language Models
[arXiv] 2026-04-27 | Adaptive-Distribution Randomized Neural Networks for PDEs: A Low-Dimensional Distribution-Learning Framework
[arXiv] 2026-04-27 | When to Commit? Towards Variable-Size Self-Contained Blocks for Discrete Diffusion Language Models
[arXiv] 2026-04-27 | Fix Initial Codes and Iteratively Refine Textual Directions Toward Safe Multi-Turn Code Correction
[arXiv] 2026-04-27 | SUDA-Muon: Structural Design Principles and Boundaries for Fully Decentralized Muon
[arXiv] 2026-04-27 | Making Sense of Scams: Understanding Scam Conversations Through Multi-Level Alignment
[arXiv] 2026-04-27 | Task-guided Spatiotemporal Network with Diffusion Augmentation for EEG-based Dementia Diagnosis and MMSE Prediction
[arXiv] 2026-04-27 | Multi-Robot Motions in Milliseconds: Vector-Accelerated Primitives for Sampling-Based Planning
[arXiv] 2026-04-27 | $q$-Derivative Grammar
[arXiv] 2026-04-27 | Hard Probes in Ultraperipheral Collisions at LHCb
[arXiv] 2026-04-27 | Viewport-Unaware Blind Omnidirectional Image Quality Assessment: A Unified and Generalized Approach
[arXiv] 2026-04-27 | What Did They Mean? How LLMs Resolve Ambiguous Social Situations across Perspectives and Roles
[arXiv] 2026-04-27 | Robust and Clinically Reliable EEG Biomarkers: A Cross Population Framework for Generalizable Parkinson's Disease Detection
[arXiv] 2026-04-27 | Nearly Optimal Subdata Selection
[arXiv] 2026-04-27 | Agentic AI platforms for autonomous training and rule induction of human-human and virus-human protein-protein interactions
[arXiv] 2026-04-27 | High Harmonic Radiation from a Low-K Biharmonic Planar Undulator
[arXiv] 2026-04-27 | A Theoretical Study of the Structure and Elemental Abundances of HD 20794
[arXiv] 2026-04-27 | Waning Immunity Fails to Restore a Positive Epidemic Threshold on Power-Law Networks
[arXiv] 2026-04-27 | A Spectral Gap Informed Parameter Schedule for QAOA
[arXiv] 2026-04-27 | Nuclear non-resonant photoexcitation assisted by electron recombination
[arXiv] 2026-04-27 | Dynamical Fluctuation-Response Relations
[arXiv] 2026-04-27 | Balancing Quantum Memories in Asymmetric Repeaters for High-Fidelity Entanglement Distribution
[arXiv] 2026-04-27 | Large-Scale Photogrammetric Documentation of St. John's Co-Cathedral: A Workflow for Cultural Heritage Preservation
[arXiv] 2026-04-27 | Multilevel radial basis function surrogates for noise-robust DSMC-CFD coupling
[arXiv] 2026-04-27 | Optical depth dictates universal bounds on many-body decay in atomic ensembles
[arXiv] 2026-04-27 | Errors that matter: Uncertainty-aware universal machine-learning potentials calibrated on experiments
[arXiv] 2026-04-27 | Scheduling and Routing in the Flexible Job Shop with Heterogeneous Transbots and Zoning: A Constraint Programming Approach
[arXiv] 2026-04-27 | Beam Scheduling for Cross-Layer ISAC: A Deep Reinforcement Learning Approach
[arXiv] 2026-04-27 | Sub-acoustic resolution photoacoustic imaging through scattering layers using speckle correlations
[arXiv] 2026-04-27 | The lifetime of 100,000 molecular clouds in the nearby Universe
[arXiv] 2026-04-27 | Personalized Worked Example Generation from Student Code Submissions using Pattern-based Knowledge Components
[arXiv] 2026-04-27 | Spectral Evidence of Heavy Nuclei from the Neutron Star Crust in Magnetar Bursts
[arXiv] 2026-04-27 | Nonintegral Flux Trapping in Frustrated Josephson Networks of Triplet Superconductors
[arXiv] 2026-04-27 | Efficient Multivariate Kelly Optimization Reveals Sigmoidal Scaling Laws
[arXiv] 2026-04-27 | Sentiment and Emotion Classification of Indonesian E-Commerce Reviews via Multi-Task BiLSTM and AutoML Benchmarking
[arXiv] 2026-04-27 | Gate-dependent offset charge shifts and anharmonicity in gatemon qubits in the weak tunneling regime
[arXiv] 2026-04-27 | Long-Context Aware Upcycling: A New Frontier for Hybrid LLM Scaling
[arXiv] 2026-04-27 | Contextual Linear Activation Steering of Language Models
[arXiv] 2026-04-27 | Benchmarking Source-Sensitive Reasoning in Turkish: Humans and LLMs under Evidential Trust Manipulation
[arXiv] 2026-04-27 | Survey on topological methods for Allen--Cahn equations and systems
[arXiv] 2026-04-27 | The moduli space of Higgs pairs
[arXiv] 2026-04-27 | MAS-SZZ: Multi-Agentic SZZ Algorithm for Vulnerability-Inducing Commit Identification
[arXiv] 2026-04-27 | Global Context or Local Detail? Adaptive Visual Grounding for Hallucination Mitigation
[arXiv] 2026-04-27 | Weak solutions to distribution-dependent stochastic Volterra equations
[arXiv] 2026-04-27 | Mapping Reversal Pathways and Interaction Fields in Artificial Spin Ice
[arXiv] 2026-04-27 | Certified geometric robustness -- Super-DeepG
[arXiv] 2026-04-27 | Culture-Aware Machine Translation in Large Language Models: Benchmarking and Investigation
[arXiv] 2026-04-27 | DPEPO: Diverse Parallel Exploration Policy Optimization for LLM-based Agents
[arXiv] 2026-04-27 | Strong convergence and temporal-spatial regularity for tamed Euler approximations of Lévy-driven SDEs
[arXiv] 2026-04-27 | Role of heavy neutral lepton in lepton number violating $B$ meson decays
[arXiv] 2026-04-27 | Local automorphisms of some classical groups
[arXiv] 2026-04-27 | Coloring for dispersion: A polynomial-time algorithm for cardinality-constrained 2-anticlustering
[arXiv] 2026-04-27 | BitRL: Reinforcement Learning with 1-bit Quantized Language Models for Resource-Constrained Edge Deployment
[arXiv] 2026-04-27 | SVOM/VT: Real-Time Onboard Data Processing
[arXiv] 2026-04-27 | The VHF alert network of the SVOM mission
[arXiv] 2026-04-27 | COLIBRI (SVOM/FM-GFT): Instrumentation and Performances on the SVOM Alerts
[arXiv] 2026-04-27 | The SVOM mission, its profile and its system
[arXiv] 2026-04-27 | SVOM/ECLAIRs detection plane: main features and performance
[arXiv] 2026-04-27 | SVOM Science User Support at FSC
[arXiv] 2026-04-27 | The SVOM French Science Center Infrastructure
[arXiv] 2026-04-27 | SVOM/VT: Instrument Overview, Science Objectives, and First-Year Performance
[arXiv] 2026-04-27 | A Particle Multi-Relaxation Bhatnagar-Gross-Krook Method for Rarefied Monatomic Gas Mixtures
[arXiv] 2026-04-27 | OpenPodcar2: a robust, ROS2 vehicle for self-driving research
[arXiv] 2026-04-27 | Nitrogen doping induced metal-insulator transition with iso-symmetric character in rutile VO2
[arXiv] 2026-04-27 | Deep Learning-Enabled Dissolved Oxygen Sensing in Biofouling Environments for Ocean Monitoring
[arXiv] 2026-04-27 | The Flat CR Twistor Model $Q^{2,2}$ and Its Algebraic Sections
[arXiv] 2026-04-27 | Density protected states in active matter under virtual confinement
[arXiv] 2026-04-27 | On the complexity of edge subdivision to $H$-free graphs
[arXiv] 2026-04-27 | On Detecting $H$-Induced Minors for Small $H$
[arXiv] 2026-04-27 | Dynamical generation of stable optical-microwave squeezing in structured reservoirs
[arXiv] 2026-04-27 | Empowering Autonomous Debugging Agents with Efficient Dynamic Analysis
[arXiv] 2026-04-27 | Graph Neural Ordinary Differential Equations for Power System Identification
[arXiv] 2026-04-27 | Converging Zero Trust and IoT Security: A Multivocal Literature Review
[arXiv] 2026-04-27 | Bound state in the continuum induced room-temperature superfluorescence
[arXiv] 2026-04-27 | Agentic Witnessing: Pragmatic and Scalable TEE-Enabled Privacy-Preserving Auditing
[arXiv] 2026-04-27 | The Three Hundred project: cosmic web identification from 2D gas and Compton-$y$ maps of galaxy clusters outskirts
[arXiv] 2026-04-27 | Rewarding the Scientific Process: Process-Level Reward Modeling for Agentic Data Analysis
[arXiv] 2026-04-27 | Three-core fiber Fabry-Perot resonator for dual-frequency comb generation
[arXiv] 2026-04-27 | Computer Vision-Based Early Detection of Container Loss at Sea
[arXiv] 2026-04-27 | Generalizable Friction Coefficient Estimation via Material Embedding and Proxy Interaction Modeling
[arXiv] 2026-04-27 | $M^2$-VLA: Boosting Vision-Language Models for Generalizable Manipulation via Layer Mixture and Meta-Skills
[arXiv] 2026-04-27 | Liouville Quantum Duality and Random Planar Maps II
[arXiv] 2026-04-27 | Meta-Aligner: Bidirectional Preference-Policy Optimization for Multi-Objective LLMs Alignment
[arXiv] 2026-04-27 | Selected Topics in Quark-Hadron Physics: From Scalar Nonets to Topological Glueballs
[arXiv] 2026-04-27 | Explanation Quality Assessment as Ranking with Listwise Rewards
[arXiv] 2026-04-27 | PEPS: Positional Encoding Projected Sampling -- Extended
[arXiv] 2026-04-27 | Diagrammatics for lax and Frobenius monoidal functors and weak morphism classifiers
[arXiv] 2026-04-27 | A Bornological Perspective on the Representability of Derived Moduli Stacks of Solutions to PDEs
[arXiv] 2026-04-27 | Robust Deepfake Detection, NTIRE 2026 Challenge: Report
[arXiv] 2026-04-27 | Quantum Prediction of Transport Dynamics in Discretized State Spaces
[arXiv] 2026-04-27 | AgentWard: A Lifecycle Security Architecture for Autonomous AI Agents
[arXiv] 2026-04-27 | Déjà Vu Packing: Optimizing FPGA Logic Clustering Runtime via Pattern Memoization
[arXiv] 2026-04-27 | DepthKV: Layer-Dependent KV Cache Pruning for Long-Context LLM Inference
[arXiv] 2026-04-27 | Reduced-Order Data Assimilation for Thermospheric Density Using Physics-informed SINDyc Models
[arXiv] 2026-04-27 | $k$-step nilpotent symplectic Lie algebras associated with graphs
[arXiv] 2026-04-27 | XGRAG: A Graph-Native Framework for Explaining KG-based Retrieval-Augmented Generation
[arXiv] 2026-04-27 | CF-VLA: Efficient Coarse-to-Fine Action Generation for Vision-Language-Action Policies
[arXiv] 2026-04-27 | CaTherine wheels
[arXiv] 2026-04-27 | Accurate distances of the Galactic spiral arms from dust-scattered X-ray emission of gamma-ray bursts
[arXiv] 2026-04-27 | Learning to Route Queries to Heads for Attention-based Re-ranking with Large Language Models
[arXiv] 2026-04-27 | PRP, HS and LS Conjugate Gradient Methods for Interval-Valued Multiobjective Optimization Problems
[arXiv] 2026-04-27 | Quantum vs. Classical Spin: A Comparative Study of Dipolar Spin Dynamics and the Onset of Chaos
[arXiv] 2026-04-27 | A systematic evaluation of vision-language models for observational astronomical reasoning tasks
[arXiv] 2026-04-27 | Hyper-Operations and Extension of Scalars from $\mathbb{F}_1$ to $\mathbb{Z}$
[arXiv] 2026-04-27 | Efficient learning by implicit exploration in bandit problems with side observations
[arXiv] 2026-04-27 | BoomHQ: Learning to Boost Multiple Hybrid Queries on Vector DBMSs
[arXiv] 2026-04-27 | Mono2Sls: Automated Monolith-to-Serverless Migration via Multi-Stage Pipeline with Static Analysis
[arXiv] 2026-04-27 | STELLAR-E: a Synthetic, Tailored, End-to-end LLM Application Rigorous Evaluator
[arXiv] 2026-04-27 | The Polynomial Hierarchy and $ω$-categorical CSPs
[arXiv] 2026-04-27 | Hierarchical Causal Uplift Modeling in Overlapping Customer Journeys
[arXiv] 2026-04-27 | How Do Software Engineering Students Use Generative AI in Real-World Capstone Projects? An Empirical Baseline Study
[arXiv] 2026-04-27 | StarCLR: Contrastive Learning Representation for Astronomical Light Curves
[arXiv] 2026-04-27 | Newman's Tauberian theorem, the Riemann-Lebesgue Lemma, and abstract analytic number theory
[arXiv] 2026-04-27 | Comparative Evaluation of Modern Deep Learning Methodologies for Portfolio Optimization
[arXiv] 2026-04-27 | Zero-to-CAD: Agentic Synthesis of Interpretable CAD Programs at Million-Scale Without Real Data
[arXiv] 2026-04-27 | Heterogeneous-Horizon Exact-Weight Local SGD
[arXiv] 2026-04-27 | Characterizing Vision-Language-Action Models across XPUs: Constraints and Acceleration for On-Robot Deployment
[arXiv] 2026-04-27 | PhysNote: Self-Knowledge Notes for Evolvable Physical Reasoning in Vision-Language Model
[arXiv] 2026-04-27 | Combined shrinkage of fixed and random effects in linear mixed models using empirical Bayes
[arXiv] 2026-04-27 | BandRouteNet: An Adaptive Band Routing Neural Network for EEG Artifact Removal
[arXiv] 2026-04-27 | Phase-Separated Complex Hilbert PCA on Markerless 3D Pose Estimation Data: A Global Phase Network and Its Extension to a Continuous Field on the Body Surface
[arXiv] 2026-04-27 | The Alignment Target Problem: Divergent Moral Judgments of Humans, AI Systems, and Their Designers
[arXiv] 2026-04-27 | 6thGrid-Net: Unified Remote Sensing Image Dehazing Based on Color Restoration and Edge-Preserving
[arXiv] 2026-04-27 | Pressure sensing by electro-mechanical coupling in compliant dielectric membranes polarized by a bias voltage
[arXiv] 2026-04-27 | Near-tight Bounds for Computing the Fréchet Distance in d-Dimensional Grid Graphs and the Implications for λ-low Dense Curves
[arXiv] 2026-04-27 | Detecting Avalanche Effect in Adversarial Settings: Spotting the Encryption Loops in Ransomware
[arXiv] 2026-04-27 | Natural-orbital locking reveals hidden steady-state skin order in Gaussian open fermion chains
[arXiv] 2026-04-27 | Optimal Planning and Control under Signal Temporal Logic Specifications
[arXiv] 2026-04-27 | SemML 2.0: Synthesizing Controllers for LTL
[arXiv] 2026-04-27 | $g_{tt}g_{rr} =-1$ black hole thermodynamics in extended quasi-topological gravity
[arXiv] 2026-04-27 | The Number of Isomorphism Classes of Beauville Surfaces with Beauville $p$-Group
[arXiv] 2026-04-27 | TACO: Efficient Communication Compression of Intermediate Tensors for Scalable Tensor-Parallel LLM Training
[arXiv] 2026-04-27 | An exponentially small gap of the Perron vector on independent sets
[arXiv] 2026-04-27 | PeeriScope: A Multi-Faceted Framework for Evaluating Peer Review Quality
[arXiv] 2026-04-27 | Grounding Before Generalizing: How AI Differs from Humans in Causal Transfer
[arXiv] 2026-04-27 | A Road-Mobile GNSS-Disciplined Oscillator for Accurate Synchronization of Vehicular Microwave Measurements
[arXiv] 2026-04-27 | CLLAP: Contrastive Learning-based LiDAR-Augmented Pretraining for Enhanced Radar-Camera Fusion
[arXiv] 2026-04-27 | End-to-End Learning for Partially-Observed Time Series with PyPOTS
[arXiv] 2026-04-27 | Vulnerability Identification by Harnessing Inter-connected Multi-Source Information
[arXiv] 2026-04-27 | Non-Hermitian Synthetic Phase Shifter: Topologically-Protected Phase Control via Tunable Losses
[arXiv] 2026-04-27 | IPRU: Input-Perturbation-based Radio Frequency Fingerprinting Unlearning for LAWNs
[arXiv] 2026-04-27 | Room-temperature shape-memory effect in Sr(Ni$_{1-x}$Cu$_x$)$_2$P$_2$
[arXiv] 2026-04-27 | Neyman Jackknife: Design-Based Variance Estimation for Causal Inference under Interference
[arXiv] 2026-04-27 | Hindsight Preference Optimization for Financial Time Series Advisory
[arXiv] 2026-04-27 | Continual Calibration: Coverage Can Collapse Before Accuracy in Lifelong LLM Fine-Tuning
[arXiv] 2026-04-27 | Financial Market as a Self-Organized Ecosystem: Simulation via Learning with Heterogeneous Preferences
[arXiv] 2026-04-27 | Quantum Knowledge Graph: Modeling Context-Dependent Triplet Validity
