[2026-01-27 09:21:01] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-01-26
正在获取论文...
[arXiv] 2026-01-26 | On-chip control of the coherence matrix of four-mode partially coherent light: rank, entropy, and modal Stokes parameters
[arXiv] 2026-01-26 | Divisible design graphs from Higmanian association schemes
[arXiv] 2026-01-26 | Symplecticity-Preserving Prediction of Hamiltonian Dynamics by Generalized Kernel Interpolation
[arXiv] 2026-01-26 | Graphical composition of mapping spaces between modules of configuration-space-type
[arXiv] 2026-01-26 | Integrating HAPS, LEO, and Terrestrial Networks: A Cost-Performance Study for IoT Connectivity
[arXiv] 2026-01-26 | On fractional semilinear wave equations in non-cylindrical domains
[arXiv] 2026-01-26 | Code over Words: Overcoming Semantic Inertia via Code-Grounded Reasoning
[arXiv] 2026-01-26 | On the Subspace Orbit Problem and the Simultaneous Skolem Problem
[arXiv] 2026-01-26 | Analytic Incremental Learning For Sound Source Localization With Imbalance Rectification
[arXiv] 2026-01-26 | Overalignment in Frontier LLMs: An Empirical Study of Sycophantic Behaviour in Healthcare
[arXiv] 2026-01-26 | A Tumor Aware DenseNet Swin Hybrid Learning with Boosted and Hierarchical Feature Spaces for Large-Scale Brain MRI Classification
[arXiv] 2026-01-26 | Unusual Dual Flat Bands and two-dimensional Dirac-node Arc State in Kagome Metal Ni3In2S2
[arXiv] 2026-01-26 | Effect of ballistic re-solution on the nucleation kinetics of precipitates in diluted binary alloys under irradiation. Part 2: Cr-rich alpha' precipitates in Fe-Cr alloys
[arXiv] 2026-01-26 | A Master Class on Reproducibility: A Student Hackathon on Advanced MRI Reconstruction Methods
[arXiv] 2026-01-26 | Effect of ballistic re-solution on the nucleation kinetics of precipitates in diluted binary alloys under irradiation. Part 1: Stoichiometric gamma' precipitates in Ni-Al alloys
[arXiv] 2026-01-26 | A Generative AI-Driven Reliability Layer for Action-Oriented Disaster Resilience
[arXiv] 2026-01-26 | Laser interferometry as a robust neuromorphic platform for machine learning
[arXiv] 2026-01-26 | Heat flow of harmonic maps into CAT($0$)-spaces
[arXiv] 2026-01-26 | SKETCH: Semantic Key-Point Conditioning for Long-Horizon Vessel Trajectory Prediction
[arXiv] 2026-01-26 | Non-equilibrium symmetry of cyclic first-passage times
[arXiv] 2026-01-26 | daVinci-Dev: Agent-native Mid-training for Software Engineering
[arXiv] 2026-01-26 | TAM-Eval: Evaluating LLMs for Automated Unit Test Maintenance
[arXiv] 2026-01-26 | Handling Scope Checks (Extended Version)
[arXiv] 2026-01-26 | Scaling up Privacy-Preserving ML: A CKKS Implementation of Llama-2-7B
[arXiv] 2026-01-26 | Gradient-Informed Machine Learning in Electromagnetics
[arXiv] 2026-01-26 | RG flows of minimal $\mathcal W$-algebra CFTs via non-invertible symmetries
[arXiv] 2026-01-26 | Non-Destructive Beam Monitoring via Secondary Radiation Detection with Ce-Doped Silica Fibers
[arXiv] 2026-01-26 | Probing electromagnetic moments of the tau lepton in PbPb collisions at the FCC-hh
[arXiv] 2026-01-26 | U-Fold: Dynamic Intent-Aware Context Folding for User-Centric Agents
[arXiv] 2026-01-26 | VissimRL: A Multi-Agent Reinforcement Learning Framework for Traffic Signal Control Based on Vissim
[arXiv] 2026-01-26 | Voltage-controlled topological spin textures in the monolayer limit
[arXiv] 2026-01-26 | The Most Luminous H$β$ Reverberation Mapping of E1821+643 Indicates the Lower Boundary of the Radius-Luminosity Relation
[arXiv] 2026-01-26 | Depth to Anatomy: Learning Internal Organ Locations from Surface Depth Images
[arXiv] 2026-01-26 | Tensor-driven geometric phase in nonlinear AlGaAs metasurfaces
[arXiv] 2026-01-26 | Generative AI in Saudi Arabia: A National Survey of Adoption, Risks, and Public Perceptions
[arXiv] 2026-01-26 | ShopSimulator: Evaluating and Exploring RL-Driven LLM Agent for Shopping Assistants
[arXiv] 2026-01-26 | On the Generalized Conditional Gradient Method for Mean Field Games with Local Coupling Terms
[arXiv] 2026-01-26 | PaperTok: Exploring the Use of Generative AI for Creating Short-form Videos for Research Communication
[arXiv] 2026-01-26 | Dynamical Mass Loss at the End of TP-AGB stars
[arXiv] 2026-01-26 | InkIdeator: Supporting Chinese-Style Visual Design Ideation via AI-Infused Exploration of Chinese Paintings
[arXiv] 2026-01-26 | Smooth, Sparse, and Stable: Finite-Time Exact Skeleton Recovery via Smoothed Proximal Gradients
[arXiv] 2026-01-26 | A strictly geostrophic product of sea-surface velocities from the SWOT fast-sampling phase
[arXiv] 2026-01-26 | General tropical convergence of harmonic amoebas
[arXiv] 2026-01-26 | Lip-Siri: Contactless Open-Sentence Silent Speech with Wi-Fi Backscatter
[arXiv] 2026-01-26 | A new fine-scale Berry-Esseen-type Gumbel-limit theorem for multivariate maxima
[arXiv] 2026-01-26 | TempDiffReg: Temporal Diffusion Model for Non-Rigid 2D-3D Vascular Registration
[arXiv] 2026-01-26 | Functionalities of Au2O, Au2O3, Au2O3-x, and nanosheets, including spontaneous polarization, using DFT and hybrid functional
[arXiv] 2026-01-26 | Lifecycle Cost-Effectiveness Modeling for Redundancy-Enhanced Multi-Chiplet Architectures
[arXiv] 2026-01-26 | AttenMIA: LLM Membership Inference Attack through Attention Signals
[arXiv] 2026-01-26 | Text-Pass Filter: An Efficient Scene Text Detector
[arXiv] 2026-01-26 | Sparks of Cooperative Reasoning: LLMs as Strategic Hanabi Agents
[arXiv] 2026-01-26 | Secure Beamforming and Reflection Design for RIS-ISAC Systems under Collusion of Passive and Active Eavesdroppers
[arXiv] 2026-01-26 | Di-Graphs with tightly connected Clusters: Effective Graph Laplacians and Resolvent Convergence
[arXiv] 2026-01-26 | Neurocomputational Mechanisms of Syntactic Transfer in Bilingual Sentence Production
[arXiv] 2026-01-26 | Large Coupling Limits Beyond Definiteness
[arXiv] 2026-01-26 | REMAC: Reference-Based Martian Asymmetrical Image Compression
[arXiv] 2026-01-26 | GenAgent: Scaling Text-to-Image Generation via Agentic Multimodal Reasoning
[arXiv] 2026-01-26 | XFit: Global Optimization and Degeneracy Mapping in X-ray Spectral Modeling
[arXiv] 2026-01-26 | Evaluating Morphological Plausibility of Subword Tokenization via Statistical Alignment with Morpho-Syntactic Features
[arXiv] 2026-01-26 | N.E.O.N.-Bridge Geometry Determination: Turbulence Modeling of Individual N.E.O.N.-Bridge Segment
[arXiv] 2026-01-26 | Scalable Transit Delay Prediction at City Scale: A Systematic Approach with Multi-Resolution Feature Engineering and Deep Learning
[arXiv] 2026-01-26 | Fibers of phase tropicalizations
[arXiv] 2026-01-26 | Quantum Key Distribution with a Negatively Charged Quantum Dot Single-Photon Source
[arXiv] 2026-01-26 | LipNeXt: Scaling up Lipschitz-based Certified Robustness to Billion-parameter Models
[arXiv] 2026-01-26 | Using Large Language Models to Construct Virtual Top Managers: A Method for Organizational Research
[arXiv] 2026-01-26 | Imperfect blockade in Rydberg superatoms
[arXiv] 2026-01-26 | Pointwise-in-time convergence analysis of an Alikhanov scheme for a 2D nonlinear subdiffusion equation
[arXiv] 2026-01-26 | DV-VLN: Dual Verification for Reliable LLM-Based Vision-and-Language Navigation
[arXiv] 2026-01-26 | An obstruction to fiberwise Anosov flows over 3-dimensional Anosov flows
[arXiv] 2026-01-26 | Physics-Informed Hybrid Quantum-Classical Dispatching for Large-Scale Renewable Power Systems:A Noise-Resilient Framework
[arXiv] 2026-01-26 | Repellent properties of perfect powers on partition functions: a heuristic approach
[arXiv] 2026-01-26 | Expert Evaluation and the Limits of Human Feedback in Mental Health AI Safety Testing
[arXiv] 2026-01-26 | Vanishing Compactness Gap and Fermionic Compact Dark Matter in Hořava-Lifshitz Gravity
[arXiv] 2026-01-26 | Holographic timelike entanglement and subregion complexity with scalar hair
[arXiv] 2026-01-26 | Data-Efficient Electromagnetic Surrogate Solver Through Dissipative Relaxation Transfer Learning
[arXiv] 2026-01-26 | tilepy: A Flexible Open-Source Scheduling Engine for Time-Domain and Multi-Messenger Astronomy
[arXiv] 2026-01-26 | Synchronization and Localization in Ad-Hoc ICAS Networks Using a Two-Stage Kuramoto Method
[arXiv] 2026-01-26 | Information Hidden in Gradients of Regression with Target Noise
[arXiv] 2026-01-26 | Robust Learning of a Group DRO Neuron
[arXiv] 2026-01-26 | Semi-Supervised Hyperspectral Image Classification with Edge-Aware Superpixel Label Propagation and Adaptive Pseudo-Labeling
[arXiv] 2026-01-26 | Reuse your FLOPs: Scaling RL on Hard Problems by Conditioning on Very Off-Policy Prefixes
[arXiv] 2026-01-26 | MEGnifying Emotion: Sentiment Analysis from Annotated Brain Data
[arXiv] 2026-01-26 | Unsupervised Text Segmentation via Kernel Change-Point Detection on Sentence Embeddings
[arXiv] 2026-01-26 | A Novel Lensed Point Source Modeling Pipeline using GIGA-Lens with Application to SN Zwicky and SN iPTF16geu
[arXiv] 2026-01-26 | OptiGAN for Crystal Arrays: Physics-Informed Generative Modeling of Optical Photon Transport in PET Detector Arrays
[arXiv] 2026-01-26 | Col-OSSOS: Investigating the Origins of Different Surfaces in the Primordial Kuiper Belt
[arXiv] 2026-01-26 | Dep-Search: Learning Dependency-Aware Reasoning Traces with Persistent Memory
[arXiv] 2026-01-26 | Equality between two general ridge estimators and applications in several linear models
[arXiv] 2026-01-26 | Two Hornich-Hlawka-type and Buzano-type inequalities
[arXiv] 2026-01-26 | Learning to Discover: A Generalized Framework for Raga Identification without Forgetting
[arXiv] 2026-01-26 | From Access Control to Usage Control with User-Managed Access
[arXiv] 2026-01-26 | $α^3$-SecBench: A Large-Scale Evaluation Suite of Security, Resilience, and Trust for LLM-based UAV Agents over 6G Networks
[arXiv] 2026-01-26 | HalluGuard: Demystifying Data-Driven and Reasoning-Driven Hallucinations in LLMs
[arXiv] 2026-01-26 | A Scanning-Based Indoor Optical Wireless Positioning System with Single VCSEL
[arXiv] 2026-01-26 | One Adapts to Any: Meta Reward Modeling for Personalized LLM Alignment
[arXiv] 2026-01-26 | On the Stochastic-Quantum Correspondence
[arXiv] 2026-01-26 | Detection of high-frequency gravitational waves using SRF cavities
[arXiv] 2026-01-26 | Additive sink subtraction
[arXiv] 2026-01-26 | Giant Resonant Enhancement of Photoinduced Dynamical Cooper Pairing, far above $T_c$
[arXiv] 2026-01-26 | SMART: Scalable Mesh-free Aerodynamic Simulations from Raw Geometries using a Transformer-based Surrogate Model
[arXiv] 2026-01-26 | TEA-Bench: A Systematic Benchmarking of Tool-enhanced Emotional Support Dialogue Agent
[arXiv] 2026-01-26 | Neural Multi-Speaker Voice Cloning for Nepali in Low-Resource Settings
[arXiv] 2026-01-26 | LLAMA LIMA: A Living Meta-Analysis on the Effects of Generative AI on Learning Mathematics
[arXiv] 2026-01-26 | Any Light Particle Searches with ALPS II: first science campaign
[arXiv] 2026-01-26 | A Unique Inverse Decomposition of Positive Definite Matrices under Linear Constraints
[arXiv] 2026-01-26 | McSAS3: improved Monte Carlo small-angle scattering analysis software for dilute and dense scatterers
[arXiv] 2026-01-26 | Impact of Rastall gravity on hydrostatic mass of galaxy clusters
[arXiv] 2026-01-26 | Learning Real-Life Approval Elections
[arXiv] 2026-01-26 | Closure models for the feedback of energetic particles on plasma turbulence
[arXiv] 2026-01-26 | FadeMem: Biologically-Inspired Forgetting for Efficient Agent Memory
[arXiv] 2026-01-26 | Unheard in the Digital Age: Rethinking AI Bias and Speech Diversity
[arXiv] 2026-01-26 | TwinPurify: Purifying gene expression data to reveal tumor-intrinsic transcriptional programs via self-supervised learning
[arXiv] 2026-01-26 | The Compounded BSDE method: A fully-forward method for option pricing and optimal stopping problems in finance
[arXiv] 2026-01-26 | Splat-Portrait: Generalizing Talking Heads with Gaussian Splatting
[arXiv] 2026-01-26 | AdaReasoner: Dynamic Tool Orchestration for Iterative Visual Reasoning
[arXiv] 2026-01-26 | ExoGS: A 4D Real-to-Sim-to-Real Framework for Scalable Manipulation Data Collection
[arXiv] 2026-01-26 | Spin-redirection Berry phase with planar rays
[arXiv] 2026-01-26 | Duality in $SIM(2)$ topologically massive models with $B\wedge F$ term
[arXiv] 2026-01-26 | Broadband tunable narrow-linewidth laser based on scattering-enhanced fiber covering E-S-C-L bands
[arXiv] 2026-01-26 | Hybrid integrated narrow linewidth laser with external distributed optical feedback from a silicon strip waveguide
[arXiv] 2026-01-26 | Atmospheric Circulation of High-Obliquity Mini-Neptunes
[arXiv] 2026-01-26 | Asymptotics of the d'Arcais Numbers at Small $k$
[arXiv] 2026-01-26 | Radio streaks in the Lighthouse Nebula discovered with MeerKAT -- Particles escaping from the tail and illuminating the ambient magnetic field
[arXiv] 2026-01-26 | K-Myriad: Jump-starting reinforcement learning with unsupervised parallel agents
[arXiv] 2026-01-26 | Self-Refining Video Sampling
[arXiv] 2026-01-26 | Stable Matching with Deviators and Conformists
[arXiv] 2026-01-26 | Semilinear Diffusion Equations on Infinite Graphs: The Dissipative and Lipschitz Cases
[arXiv] 2026-01-26 | Enhancing Control Policy Smoothness by Aligning Actions with Predictions from Preceding States
[arXiv] 2026-01-26 | Dualband OFDM Delay Estimation for Multi-Target Localization
[arXiv] 2026-01-26 | Latent Knowledge as a Predictor of Fact Acquisition in Fine-Tuned Large Language Models
[arXiv] 2026-01-26 | Rethinking AI in the age of climate collapse: Ethics, power, and responsibility
[arXiv] 2026-01-26 | Scaling Behaviors of Evolutionary Algorithms on GPUs: When Does Parallelism Pay Off?
[arXiv] 2026-01-26 | A coarse Gallai theorem
[arXiv] 2026-01-26 | Properties of calculus in r-Complexity 2025
[arXiv] 2026-01-26 | The Quantum Cliff: A Critical Proton Tunneling Threshold Determines Clinical Severity in RPE65-Mediated Retinal Disease
[arXiv] 2026-01-26 | Nuclear effects on longitudinal-transverse structure function ratio in the deuteron
[arXiv] 2026-01-26 | A brush problem. Homogenization involving thin domains and PDEs in graphs
[arXiv] 2026-01-26 | Biorthogonal ensembles of derivative type
[arXiv] 2026-01-26 | Time-reversed Shannon entropy as a chaos indicator for non-integrable systems
[arXiv] 2026-01-26 | Refinement and Performance Benchmark for Range-Separated Water Force Field
[arXiv] 2026-01-26 | Exploring the role of accretion shocks in galaxy clusters as sources of ultrahigh-energy cosmic rays
[arXiv] 2026-01-26 | Linear Response for Intermittent Circle Maps
[arXiv] 2026-01-26 | Cohomologically or numerically trivial automorphisms of surfaces of general type
[arXiv] 2026-01-26 | Estimation of geometric transformation matrices using grid-shaped pilot signals
[arXiv] 2026-01-26 | Quantum Error Correction on Error-mitigated Physical Qubits
[arXiv] 2026-01-26 | Analysis of freeze-in scenario with a scalar Leptoquark and a scalar Dark Matter
[arXiv] 2026-01-26 | Socioeconomic Determinants of the COVID-19 Infodemic
[arXiv] 2026-01-26 | Hierarchical Text Classification with LLM-Refined Taxonomies
[arXiv] 2026-01-26 | Potential of Graphene/AlGaN/GaN heterostructures to study the drag and two-stream instability effects
[arXiv] 2026-01-26 | A short note on $A_α$-eigenvalues for simple graphs
[arXiv] 2026-01-26 | Making medical vision-language models think causally across modalities with retrieval-augmented cross-modal reasoning
[arXiv] 2026-01-26 | When Domain Pretraining Interferes with Instruction Alignment: An Empirical Study of Adapter Merging in Medical LLMs
[arXiv] 2026-01-26 | Maps of Tournaments: Distances, Experiments, and Data
[arXiv] 2026-01-26 | Q-Bench-Portrait: Benchmarking Multimodal Large Language Models on Portrait Image Quality Perception
[arXiv] 2026-01-26 | Structural Gender Bias in Credit Scoring: Proxy Leakage
[arXiv] 2026-01-26 | Agentic Much? Adoption of Coding Agents on GitHub
[arXiv] 2026-01-26 | PPISP: Physically-Plausible Compensation and Control of Photometric Variations in Radiance Field Reconstruction
[arXiv] 2026-01-26 | Scalable Repeater Architecture for Long-Range Quantum Energy Teleportation in Gapped Systems
[arXiv] 2026-01-26 | TC-IDM: Grounding Video Generation for Executable Zero-shot Robot Motion
[arXiv] 2026-01-26 | Residual Learning for Neural Ambisonics Encoders
[arXiv] 2026-01-26 | Black Hole Interior and Time-like Entanglement Entropy
[arXiv] 2026-01-26 | CovertComBench: The First Domain-Specific Testbed for LLMs in Wireless Covert Communication
[arXiv] 2026-01-26 | Photoexcitation spectroscopy of highly charged ions for application to astronomy using a compact electron beam ion trap (EBIT) at the synchrotron radiation facility SPring-8
[arXiv] 2026-01-26 | Dicey Games: Shared Sources of Randomness in Distributed Systems
[arXiv] 2026-01-26 | Contextual Range-View Projection for 3D LiDAR Point Clouds
[arXiv] 2026-01-26 | Acceleration of Modelling with Physics Informed Learning: Frameworks and Perspectives for Real-Time Control of Electrochemical Devices
[arXiv] 2026-01-26 | Temp-R1: A Unified Autonomous Agent for Complex Temporal KGQA via Reverse Curriculum Reinforcement Learning
[arXiv] 2026-01-26 | Noise-Robust Contrastive Learning with an MFCC-Conformer For Coronary Artery Disease Detection
[arXiv] 2026-01-26 | Closed Eyes and Coil Size -- Effects on Motor Threshold and Intracortical Inhibition, measured with TMS
[arXiv] 2026-01-26 | Think-Augmented Function Calling: Improving LLM Parameter Accuracy Through Embedded Reasoning
