[2026-08-08 22:28:38] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-07
正在获取论文...
[IEEE] 2026-8-7 | Resolving Cognitive Dissonance for Agentic AI via Self-Distilled Collaborative Perception
[IEEE] 2026-8-7 | Pressure-Preserving Transfer Technology for Hadal Macro-Organisms Based on Modular Chamber Docking: Design and Experimental Study
[IEEE] 2026-8-7 | Parametric Design on Three Ordered Levels of Product Design
[IEEE] 2026-8-7 | A Secure and Scalable Digital Healthcare System Based on Blockchain Telemedicine Architecture
[IEEE] 2026-8-7 | Next-Gen Secure Access Using Intelligent Zero Trust Network Architecture
[IEEE] 2026-8-7 | Research on Digital Flow Design of Ancient Book with the Aid of Artificial Intelligence
[IEEE] 2026-8-7 | Exploring New Paradigms in Chinese Font Library Design Under the Context of Artificial Intelligence
[IEEE] 2026-8-7 | Side-Scan Sonar Image Correction Method Based on Histogram Partitioning Estimation
[IEEE] 2026-8-7 | Research on Personalized Learning Path Recommendation in Vocational Education Based on Deep Learning
[IEEE] 2026-8-7 | Research on the Construction Path and Practice of the “Golden Curriculum System” for AI-Empowered Intelligent Manufacturing Professional Group Under the Background of “Double High Construction (2025-2029)”
[IEEE] 2026-8-7 | Offshore Floating Wind Development in Iberian Coastal Waters: A GIS-Based Tool to Assess Technical, Economic, and Industrial Value Chains
[IEEE] 2026-8-7 | Research on Intelligent Design and Dynamic Interaction of Digital Twin Systems for Heritage Sites—A Case Study on the Living Digitization of Yuanmingyuan Cultural Heritage
[IEEE] 2026-8-7 | IoT-Based Emergency Vehicle Priority Traffic Control Using Realtime Signal Adjustment
[IEEE] 2026-8-7 | A hybrid continuous-discrete nonlinear observer for real-time SOC estimation for Supercapacitor
[IEEE] 2026-8-7 | Research on Enhancing Adolescent Cultural Heritage Cognition Through Gamified Multimodal Interaction
[ACM] 2026-8-8 | A Neural Frame Streaming Framework with a Simultaneous Prior for End-cloud Collaborative Rendering
[ACM] 2026-8-7 | Generalizing GNNs with Tokenized Mixture of Experts
[ACM] 2026-8-7 | Artificial Social Intelligence
[ACM] 2026-8-7 | EHRBench: An Automated and Reliable EHR-based Benchmark for Clinical Decision Making with LLMs
[ACM] 2026-8-7 | OneLive: Dynamically Unified Generative Framework for Live-Streaming Recommendation
[ACM] 2026-8-7 | From Latent to Observable Position-Based Click Models in Carousel Interfaces
[ACM] 2026-8-7 | FOUNDv2: Learning Unified User Quantized Tokenizers for User Representation
[ACM] 2026-8-7 | MEMTS: Internalizing Domain Knowledge via Parameterized Memory for Retrieval-Free Domain Adaptation of Time Series Foundation Models
[IEEE] 2026-8-7 | Eddy Current Compensation Design for Robust Indoor Navigation in Magnetic Field Distortion Environment
[IEEE] 2026-8-7 | Parametric Lattices Are Better Quantizers in Dimensions 13 and 14_supp1-3721285.pdf
[IEEE] 2026-8-7 | Joint Optimization of Hyperspectral Band Selection and Computation Offloading in LEO–GEO Collaborative Satellite Networks
[IEEE] 2026-8-7 | Multimodal Analysis of Performance Resilience Under Increasing Cognitive Load Using Eye-Tracking and Behavioral Measures
[IEEE] 2026-8-7 | A Verification and Harmonic Reference Kit for RF Contact Harmonic Test Setup Characterization
[IEEE] 2026-8-7 | Contributors
[IEEE] 2026-8-7 | Optimal DC Fault Ride-Through Control for Crossing Thyristor Branches-Based Hybrid MMCs Under UFB-SM Failures
[IEEE] 2026-8-7 | Optimization and Electricity Substitution Study of Alumina Industrial Hybrid System Considering Reliable Wind Power Forecasting
[IEEE] 2026-8-7 | RouteFormer: A Transformer-Based Routing Framework for Autonomous Vehicles
[IEEE] 2026-8-7 | Deterministic Ambiguity Regions in TDOA Multilateration_supp2-3721450.pdf
[IEEE] 2026-8-7 | Human-VLM Collaborative Labeling Framework with Consistency-Guided Viewpoint Optimization for Preference-Based Reinforcement Learning
[IEEE] 2026-8-7 | IEEE Feedback
[IEEE] 2026-8-7 | Numerical Investigation and Comparison of Flow Noise and Flow-Induced Vibration Noise for a Submarine Model
[IEEE] 2026-8-7 | Study on Enhancement of Landscape Vitality of Waterfront Space in the Core Section of Hun River in Shenyang Based on AIGC
[IEEE] 2026-8-7 | Vision-Based Lightweight Recognition Method for AUV Propeller Fault Diagnosis
[IEEE] 2026-8-7 | Evaluation of Energy Efficiency of Transportation Solutions for Last-Mile Delivery
[IEEE] 2026-8-7 | Scheduling with Minimum Unproductive Energy in Job-Shops
[IEEE] 2026-8-7 | Systematic Optimization of Two-Terminal α-In
                    <sub>2</sub>
                    Se
                    <sub>3</sub>
                    Ferroelectric Memory Properties
[IEEE] 2026-8-7 | Stabilizing Adaptive Performance Control of Mobile Systems with Guaranteed Collision Avoidance
[IEEE] 2026-8-7 | AI-Empowered Cultural Heritage Preservation and Museum Public Engagement: A Case Study Approach from an Interaction Design Perspective
[IEEE] 2026-8-7 | WarmFlex: Coordinated Stabilization of Cold-Start Frequency and Idle Containers in Serverless Platforms
[IEEE] 2026-8-7 | An Effective Solution for Target Tracking Using Passive Directional Buoys
[IEEE] 2026-8-7 | Towards Energy-Efficient Underwater Visual Perception via an FPGA Accelerator of Vision Transformers
[IEEE] 2026-8-7 | Order Sensitivity of Integrated Electronics Supply Networks in Emergent Customer and Market Conditions
[IEEE] 2026-8-7 | Terrain traversability calculation using visual friction estimation and geometric information fusion for sloped terrains
[IEEE] 2026-8-7 | Fair Charging under Grid Constraints: A Receding-Horizon Game Approach for Electric Vehicle Charging Parks
