[2026-08-28 02:37:48] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-27
正在获取论文...
[arXiv] 2026-08-27 | Bochner Stability for B-stable DIRK Schemes
[arXiv] 2026-08-27 | Laser induced ultrafast Co 3d and Ho 4f spin dynamics in CoHo ferrimagnetic alloys
[arXiv] 2026-08-27 | Tabular Deep Learning for Algorithmic Trading: Cross-Regime Bayesian Optimisation for Equity Signal Generation
[arXiv] 2026-08-27 | On the Levi map of nondegenerate CR submanifolds
[arXiv] 2026-08-27 | SpatialCrafter: Single Image World Modeling with Generative 3D Proxies
[arXiv] 2026-08-27 | Qualitative Properties of Ground States for the Stationary Magnetopolaron with a Weak Magnetic Field
[arXiv] 2026-08-27 | Ternary-Valued Finite-Difference Time-Domain Method: Equivalence with the Yee Scheme Through Noise-Shaped Quantisation
[arXiv] 2026-08-27 | Beyond Classification: Task-Dependent Learnability under Privacy-Motivated Image Transformations
[arXiv] 2026-08-27 | Video-OPSD: Exploiting Privileged Visual Evidence for On-Policy Self-Distillation in Video Large Language Models
[arXiv] 2026-08-27 | Giant bulk photovoltaic effect driven by interfacial symmetry breaking in MoS2/Ta2NiSe5 heterostructures
[arXiv] 2026-08-27 | Algorithms for optimizing model-based incomplete block designs
[arXiv] 2026-08-27 | How far can symmetry help? Phase transitions and symmetry selection in sparse functional data analysis
[arXiv] 2026-08-27 | Anatomy-Guided Foundation Model Adaptation with Within-Case Prototype Supervision for Standard Plane Detection in Fetal Ultrasound Blind Sweeps
[arXiv] 2026-08-27 | Soft Active Electromyography Interface for Machine Learning-Enabled Silent Speech Recognition
[arXiv] 2026-08-27 | Neighborhood Watch: Privacy Risks in Seeded Local Combination Synthetic Data
[arXiv] 2026-08-27 | Discrete eigenvalue optimization from entropic smoothing and first-order methods
[arXiv] 2026-08-27 | Conformal Cyclic Cosmology from Varying Fundamental Constants
[arXiv] 2026-08-27 | Magnon-induced phononic Chern insulator
[arXiv] 2026-08-27 | Topology-Masked Unified Backbone for Joint Feature Interaction and Multi-Domain Sequence Modeling
[arXiv] 2026-08-27 | Prayer-Gait-Auth: Smartphone IMU-based Behavioral Biometrics from Structured Islamic Prayer Movements
[arXiv] 2026-08-27 | Selfless Reduced Crossed Product $C^{*}$-Algebras Arising from Almost Periodic Actions
[arXiv] 2026-08-27 | Perturbations of black holes with primary hair: time evolutions, quasinormal modes and greybody factors
[arXiv] 2026-08-27 | JudgeStealer: Extracting LLM Judging Capabilities across Evaluation Protocols
[arXiv] 2026-08-27 | The Randomized Query Complexity of Finding Minimal Elements in Bounded-Width Posets
[arXiv] 2026-08-27 | Why not to use the Gaussian kernel
[arXiv] 2026-08-27 | TEMPLAR Wales: A georeferenced environmental and toponymic dataset of Welsh settlements
[arXiv] 2026-08-27 | Scalable conformal electronics based on roll-to-roll exfoliated van der Waals semiconductors
[arXiv] 2026-08-27 | Turbulent diffusivity and effective rise velocity of buoyant particles in a free-surface boundary layer
[arXiv] 2026-08-27 | Three-dimensional SPH simulations of the Caloris basin-forming impact: basin scaling, the gravity anomaly, and antipodal effects
[arXiv] 2026-08-27 | A Catalog of User Authentication Patterns
[arXiv] 2026-08-27 | Finite semisimplicial sets, differential graded algebras, and cellular sheaves
[arXiv] 2026-08-27 | Energy-Neutral Coverage Optimization by Joint Deployment and Scheduling in Ambient IoT Devices with Directional Sensing
[arXiv] 2026-08-27 | Isotropic Nanoscale Quantum Sensor at Room-Temperature
[arXiv] 2026-08-27 | Dynamic Haven Selection for Multi-Agent Pickup and Delivery in Constrained Warehouses
[arXiv] 2026-08-27 | Optimal fractional discrete Hardy inequalities on the half-line
[arXiv] 2026-08-27 | Anisotropy-driven constraints on the transition from Galactic to extragalactic cosmic-ray sources
[arXiv] 2026-08-27 | Contact-Aided Factor-Graph Localization for Underwater Sampling
[arXiv] 2026-08-27 | Stiff Norm Estimates for Variable-Stepsize Peer Two-Step Methods
[arXiv] 2026-08-27 | Hyperarithmetic directions can all be exceptional for Marstrand's projection theorem
[arXiv] 2026-08-27 | Evaluating human and LLM screening workflows in a conceptually complex scoping review: Recall--workload trade-offs and run-to-run consistency
[arXiv] 2026-08-27 | The true masses of radial-velocity exoplanets constrained by stability
[arXiv] 2026-08-27 | A fast solver for many-particle elastic scattering in layered media
[arXiv] 2026-08-27 | Failure of Higher-Order Truth within Intuitionistic Propositional Logic
[arXiv] 2026-08-27 | C-Unseen: Weak Signal Detection in Dynamic Temporal Knowledge Graphs via LLM Reasoning
[arXiv] 2026-08-27 | Observation of dodecagonal replica bands in 30$^{\circ}$-twisted bilayer WSe$_2$
[arXiv] 2026-08-27 | Information Flow Control in Off-Chain Components
[arXiv] 2026-08-27 | A Bayesian Framework for Constraining Magnetar Magnetic Fields from Repeating FRB Statistics
[arXiv] 2026-08-27 | Functional identities of degree 2 at two-sided zero products on incidence algebras
[arXiv] 2026-08-27 | Comparative Assessment of Frequency Scans using EMT and RMS Models
[arXiv] 2026-08-27 | Inverted Parabola as a Stable Steady Solution of the Surface Growth Model
[arXiv] 2026-08-27 | Density Field of Dilute Particle Flow in Two-Fluid Model with Incompressible Carrier Flow
[arXiv] 2026-08-27 | RuleWeaver: Benchmarking Rule-Centered Scenario Reasoning for Large Language Models
[arXiv] 2026-08-27 | Bridging short- and medium-range weather forecasting with machine learning
[arXiv] 2026-08-27 | TemporalFlow-VLA: Learning Physically Grounded Execution History for Long-Horizon Robot Manipulation
[arXiv] 2026-08-27 | LLaVAFlow: Preserving Latent Alignment Flow for Parameter-Efficient Multimodal Fine-Tuning
[arXiv] 2026-08-27 | The Cartesian product of exact approximation sets
[arXiv] 2026-08-27 | Hyperspectral Diffusion Equivariant Imaging (HyDiff-EI): A Self-supervised Framework for Hyperspectral Image Inpainting
[arXiv] 2026-08-27 | A review of simulation, measurement techniques, and development in chip thermal design
[arXiv] 2026-08-27 | A Discontinuous Galerkin discretization for the sea ice dynamics
[arXiv] 2026-08-27 | Thinking on Shots: Consistent Multi-Shot Video Editing with Agentic Reasoning
[arXiv] 2026-08-27 | The Hurwitz Action in the Affine Symmetric Group
[arXiv] 2026-08-27 | Digital Signal Processing for Beam Instrumentation
[arXiv] 2026-08-27 | Decoupling Planning and Control for Instructable Agents
[arXiv] 2026-08-27 | Observing relativistic trajectories of single photons
[arXiv] 2026-08-27 | Gravity current fronts advancing along a heated wall
[arXiv] 2026-08-27 | Study on the Venusian Atmospheric Thermal Structure: A Comparative Analysis between VEX/Akatsuki and Venus-GRAM/VCD
[arXiv] 2026-08-27 | Beyond Client Averaging: A Client-Independent Second-Order Stationary-Bias Component in Stochastic SCAFFOLD
[arXiv] 2026-08-27 | HOLMES: In-Context Failure-Center Localization for High-Dimensional Yield Estimation
[arXiv] 2026-08-27 | Beyond Execution: Auditing Experimental Fidelity in LLM-Driven Scientific Research
[arXiv] 2026-08-27 | Glass Surface Detection Grounded in 3D Visual Geometry
[arXiv] 2026-08-27 | Interlayer-engineering of Charge Order Wave Vector in Kagome Metals
[arXiv] 2026-08-27 | Self-Augmented Diffusion Guidance for Physics-Informed Generation
[arXiv] 2026-08-27 | Asymmetric Coupling Anisotropy for Causal Information Filtering in Physical Reservoirs
[arXiv] 2026-08-27 | A wall-law approximation for Jeffery-Hamel flows in rough wedges
[arXiv] 2026-08-27 | Carbon in J0815+4729: Casting A Shadow of Doubt on the Interpretation of CH Absorption in the Most Primitive Stars
[arXiv] 2026-08-27 | Weyl's law and Pólya's conjecture for the Vladimirov-Taibleson operator
[arXiv] 2026-08-27 | Near-Horizon BMS Symmetry and Implications on Black Hole Entropy
[arXiv] 2026-08-27 | GeoMAD: Geometry-Aware Multi-View Anomaly Detection via Deformable Fusion and Distributional Alignment
[arXiv] 2026-08-27 | An Exponential Lower Bound for the Permanent of Random Bernoulli Matrix
[arXiv] 2026-08-27 | Towards Expert Financial QA via Self-Improving RAG
[arXiv] 2026-08-27 | Non-Hermitian Skin Effect from Radiative Coupling in a Reciprocal Chiral Medium
[arXiv] 2026-08-27 | Uncertainty quantification for expectation-calibrated predictions
[arXiv] 2026-08-27 | Accelerating Scientific Research with Gemini in the Real-World
[arXiv] 2026-08-27 | Relational Over-Regularization: Graph-Based AI-Generated Text Detection via Sentence Transition Deviation
[arXiv] 2026-08-27 | High-Dimensional Spectral Limits for Gaussian KL-Unbalanced Optimal Transport
[arXiv] 2026-08-27 | Optimal Parameter-Free Gradient Minimization in $\ell_p$ Geometry
[arXiv] 2026-08-27 | A linear mass-lumped finite element method for the Landau-Lifshitz-Gilbert equation: unconditional energy dissipation and length preservation
[arXiv] 2026-08-27 | Fractional Brownian motion with multivariate time: persistence exponents
[arXiv] 2026-08-27 | FOCUS & RePAIR: Mitigating Text Degeneration via Token-Level Guidance for Pruned Large Language Models
[arXiv] 2026-08-27 | How Does Science Education Research Respond to Sociopolitical Change? A BERTopic Analysis of Korean Research
[arXiv] 2026-08-27 | Do LLMs Understand Personality? Rethinking Persona Fidelity Evaluation through Structured Behavioral Inference
[arXiv] 2026-08-27 | Relativistic Modeling for Solid Earth Tide Estimation via Space-to-Ground Clock Comparison
[arXiv] 2026-08-27 | RECAP-Forcing: Retaining Content Appearances for Long Video Generation
[arXiv] 2026-08-27 | A Barrier Primal Dual Hybrid Gradient Method for Solving Linear Programming Problems
[arXiv] 2026-08-27 | Optical Discovery of New and Candidate Galactic Supernova Remnants Plus Optical Imaging of the Monogem Ring Supernova Remnant
[arXiv] 2026-08-27 | Strain-driven orbital-selective reconstruction and bicollinear-to-stripe evolution in FeTe
[arXiv] 2026-08-27 | Hierarchical Channel Stacking: A Structured Decision Framework for AI-Generated Image Detection
[arXiv] 2026-08-27 | Quadratic Convexification of a Square Truncated by a Hyperbola
[arXiv] 2026-08-27 | Which Metrics Save the Most Human Annotation? Prediction-Powered Evaluation and Meta-Evaluation
[arXiv] 2026-08-27 | Z-Fold Wing Aeroelasticity: Compositional Modeling, 1:2 Double-Hopf Dynamics, and Nonlinear Stiffness Effects
[arXiv] 2026-08-27 | $\mathbb{F}_q$-linear relations among Thakur's multiple zeta values in positive characteristic
[arXiv] 2026-08-27 | Lower bound on the thickness of broadband dielectric mirrors
[arXiv] 2026-08-27 | Open Problems in Mathematical Logic
[arXiv] 2026-08-27 | Relaxation-Aware Multimodal Sensing of Soft Gripper Driven by Structure-Perception-Learning
[arXiv] 2026-08-27 | When dissipative steady states admit thermodynamic occupation laws
[arXiv] 2026-08-27 | Influence of twist direction and large deformation on soft material torsional contact
[arXiv] 2026-08-27 | FU-Mamba: A Frequency-Enhanced Dynamic Scanning Framework for Oralscan Image Segmentation
[arXiv] 2026-08-27 | Analyzing Within-Subject Experiments: Identification, Testing, and Sensitivity
[arXiv] 2026-08-27 | Faster FPRAS for the Permanent via Restricted Poincaré Inequalities and Coupled Flows
[arXiv] 2026-08-27 | Kawamata--Miyaoka type inequality for weak Fano varieties
[arXiv] 2026-08-27 | SimCast-S2S: An Efficient Generative Model for Subseasonal Precipitation Forecasting via Transfer Learning from Climate Simulations
[arXiv] 2026-08-27 | DPA-I2P: Depth-Guided Projective Alignment for Image-to-Point-Cloud Registration in Autonomous Driving
[arXiv] 2026-08-27 | J-Zero: Unified Challenger--Solver--Judge Co-Evolution from Zero Data
[arXiv] 2026-08-27 | Atomic investigations on the mechanical properties of CoCrNi medium-entropy alloy nanowires
[arXiv] 2026-08-27 | Optimizing API Gateway Placement in Multi-Cloud Kubernetes
[arXiv] 2026-08-27 | Geometric $K$-homology and operator $K$-theory for Hilbert manifolds
[arXiv] 2026-08-27 | A Unified Adaptive Enrichment Design for Power Enhancement
[arXiv] 2026-08-27 | Physics-Informed Stochastic Configuration Machine: A Backpropagation-Free Neural Network with Fast Training for Nonlinear Differential Equations
[arXiv] 2026-08-27 | Chart2SVG: Editable SVG Generation from Raster Chart Images
[arXiv] 2026-08-27 | Posterior consistency for subdiffusion inverse problems
[arXiv] 2026-08-27 | Multi2AV-Safety: Benchmarking Safety in Multimodal-to-Audio-Video Generation
[arXiv] 2026-08-27 | FAN-LoRA: A Fourier-Adaptive Nonlinear Low-Rank Adaptor for Medical Foundation Model Domain Adaptation
[arXiv] 2026-08-27 | High Probability Derivative Bounds for Random tanh Neural Networks on a Hypercube
[arXiv] 2026-08-27 | Background Intensity Estimation for Cassini-ISS Image Using Deep Learning-Based Diffusion Model
[arXiv] 2026-08-27 | Algorithmic Principles For Multiclass Learning Are Hard To Come By: Limits of Regularization and Proper Learning
[arXiv] 2026-08-27 | Volume Growth and Recurrence of Fractional Powers of the Laplace--Beltrami Operator
[arXiv] 2026-08-27 | Regularity for convex viscosity solutions of $σ_3$ equation
[arXiv] 2026-08-27 | Explicit Bounds on the Entropy of Piecewise Hölder Graphon Models
[arXiv] 2026-08-27 | Learning Woody Clearing With Loss Alignment for Zero-Shot Regrowth and Woody Segmentation
[arXiv] 2026-08-27 | Production Scheduling Identification: An Inverse Optimization Approach for Industrial Load Modeling Using Smart Meter Data
[arXiv] 2026-08-27 | Microstructure evolution as a game
[arXiv] 2026-08-27 | Zero-Shot Video Restoration and Enhancement with Text-to-Image Latent Diffusion Models and Multi-Modal References
[arXiv] 2026-08-27 | Power and Sample Size Calculations for Hybrid Controlled Trials
[arXiv] 2026-08-27 | The Atacama Cosmology Telescope: Constraints on the anisotropic screening and birefringence effects with DR6
[arXiv] 2026-08-27 | UrbanGround: From Local Perception to Spatial Agency in a Real-Scale City
[arXiv] 2026-08-27 | CritICL: Inference-Time Weak-to-Strong Generalization from Small Language Model Failure Modes
[arXiv] 2026-08-27 | Koszul duality and Morita categories
[arXiv] 2026-08-27 | Factorized Boolean representations for efficient quantum synthesis
[arXiv] 2026-08-27 | Persona-Execution Separation: An Architecture Pattern for Evolving LLM Agents under Execution Audit
[arXiv] 2026-08-27 | Detuning- and Stark-robust Rydberg gates
[arXiv] 2026-08-27 | Leading term strandings for webs
[arXiv] 2026-08-27 | Reservoir: A Large-Scale Simulated Dataset for Training and Evaluating Epidemiological Models
[arXiv] 2026-08-27 | Reconstructing Humans and Objects in Interaction using Large Reconstruction Models
[arXiv] 2026-08-27 | How Language Models Organize and Structure Moral Knowledge
[arXiv] 2026-08-27 | Map of the Interstellar Continuum FUV Field within 800 Parsecs
[arXiv] 2026-08-27 | Making Clinical Language Models Auditable: Concept-Guided Fine-Tuning for Robust Prediction
[arXiv] 2026-08-27 | RATIO: A Benchmark for Retrieval Across Typed Ideation Operations in Scientific Literature
[arXiv] 2026-08-27 | Stochastic transport of a Goldstone mode in a self-organized atomic crystal
[arXiv] 2026-08-27 | The Project Scheduling Interdiction Problem with Delay Groups
[arXiv] 2026-08-27 | Real-Time Emergence of Charge-Transfer-to-Solvent States from Core Excitation
[arXiv] 2026-08-27 | FlashVLA: Streaming Action Decoding for Fast and Asynchronous VLA Inference
[arXiv] 2026-08-27 | Universality and sharp thresholds for ellipsoid fitting
[arXiv] 2026-08-27 | $N$-body simulations of the open cluster population in the Milky Way and the impact of GMC encounters
[arXiv] 2026-08-27 | INTENT-AS-A-TOOL Makes it Easy to Track Agentic Misalignment
[arXiv] 2026-08-27 | Blindfolded pursuit with delays of your choice
[arXiv] 2026-08-27 | Not All Eval-Awareness Is Equal: Capabilities Framing Predicts Compliance
[arXiv] 2026-08-27 | Beyond Parallel Blindness: Information Floors and Model Gaps in Block Drafting
[arXiv] 2026-08-27 | Dynamics-based nonclassicality witness under dissipative dynamics
[arXiv] 2026-08-27 | Why Three Phases? A Historical and Engineering Reassessment of Phase Order in AC Power Transmission
[arXiv] 2026-08-27 | A blueprint for the formalization of norm-variation of multiple ergodic averages for commuting transformations
[arXiv] 2026-08-27 | Hyperuniformity as a unifying organizational principle across diatom architectures
[arXiv] 2026-08-27 | A Finite Sample Analysis for Quantile Temporal Difference Learning in Distributional Reinforcement Learning
[arXiv] 2026-08-27 | Nash Loci
[arXiv] 2026-08-27 | Astar: Learning to Propose Evolution Directions for Self-Evolving Industrial AI Systems
[arXiv] 2026-08-27 | MM-Spectrum: Multimodal Multi-spectral Molecular Structural Elucidation with a Stable MoE Framework
[arXiv] 2026-08-27 | TADP: Task-Aware Deformable Prediction for Single-Stage 3D Object Detection
[arXiv] 2026-08-27 | Benchmarking of Fast and Interpretable UF Machine Learning Potentials
[arXiv] 2026-08-27 | Efficient Quantum Simulations of Yang-Mills theory with Maximal-tree Gauge
[arXiv] 2026-08-27 | Design and performance of the Fast Beam Condition Monitor for luminosity and background measurement at the CMS Experiment in LHC Run 3
[arXiv] 2026-08-27 | What Makes Good Agentic Data? An ACE Lens on Data Generation for LLM Agents
[arXiv] 2026-08-27 | An Axial $U_A(1)_{L_μ-L_τ}$: UV Completion and Experimental Searches
[arXiv] 2026-08-27 | Kronecker Products, Polarity Quotients and Large Graph Constructions
[arXiv] 2026-08-27 | Compositional Online Learning for Semantic Data Processing Systems
[arXiv] 2026-08-27 | Importance Scoring of Transformer Attention Heads in Learning Tabular Data
[arXiv] 2026-08-27 | SPA: Securing Persistent LLM Agents Across Queries with Plan-First Information-Flow Control
[arXiv] 2026-08-27 | On di-Cayley graphs and their spectrum
[arXiv] 2026-08-27 | Tight Bounds for Purity and Product Testing from Partial Transposition
[arXiv] 2026-08-27 | QH-GEM: Quantum-Hydrodynamic Generative Modeling
[arXiv] 2026-08-27 | CODE: Cross-Modal Calibration and Dynamic Suppression for Open World Object Detection
[arXiv] 2026-08-27 | Waveguiding in systems of high contrast resonators: Theory and fast computations
[arXiv] 2026-08-27 | Muon acceleration at J-PARC
[arXiv] 2026-08-27 | Signless Laplacian spectral conditions for rainbow matchings in a collection of bipartite graphs
[arXiv] 2026-08-27 | Topologically protected perfect crossed Andreev reflection in flux-engineered quantum wire junctions
[arXiv] 2026-08-27 | KubeCap: A Framework for Capability Minimization in Kubernetes via Static Analysis and LLM-Assisted Rule Inference
[arXiv] 2026-08-27 | Adiabatic Otto-like quantum thermodynamical cycle in the non-quasi-static regime
[arXiv] 2026-08-27 | Beyond Reflection: Affirmation as a Promising Behavioral Marker Associated with Quality in Text-Based Counseling
[arXiv] 2026-08-27 | Reason in the Words You Speak: Idiolectal Paraphrasing Off-Policy Traces for Reasoning Distillation in VideoLLMs
[arXiv] 2026-08-27 | From Thermal History to Multi-Messenger Signatures in $\mathbb{Z}_3$ Symmetric Dark Sector
[arXiv] 2026-08-27 | ANRe-M1: a GPU-accelerated numerical relativity code with multi-energy M1 neutrino transport
[arXiv] 2026-08-27 | Visible Dielectric Metastructure for Generating Ultranarrow-band Perfect Absorption and Bound States in the Continuum
[arXiv] 2026-08-27 | Widely Tunable, Etch-free Multi-dielectric Fano Metasurfaces in the Visible
[arXiv] 2026-08-27 | Hull First, Wake Second: Wake-Reliance Suppression for Robust Maritime Vessel Detection
[arXiv] 2026-08-27 | Boundary-Moment Universality and Curvature Corrections in Random Geometric Graphs on Riemannian Manifolds
[arXiv] 2026-08-27 | PailitaoGR: Latent Think-with-Images for Generative Image Retrieval
[arXiv] 2026-08-27 | CoGeo-GS: Concept-Driven and Geometry-Aware Multi-Object Removal in 3D Scenes
[arXiv] 2026-08-27 | Tissue-Mixture Entropy-Weighted Reconstruction for Partial-Volume-Aware Brain MRI Super-Resolution
[arXiv] 2026-08-27 | Real-time Unsupervised Object Discovery from Asynchronous Event Streams
[arXiv] 2026-08-27 | A Centroid Framework for Operator-Valued Haagerup Inequalities
[arXiv] 2026-08-27 | Quantum-enhanced single and multiparameter metrology in qutrit ensembles by generalized twisting dynamics
[arXiv] 2026-08-27 | Launch-Bound and Substitutable: Why Three Inference Optimizations Fail to Pay Off in Mixture-of-Experts Models
[arXiv] 2026-08-27 | hoBIT: A Profile-Aware Retrieval-Augmented Chatbot for University Academic Advising
[arXiv] 2026-08-27 | The Thousand-Graph Hypothesis: A Testable Hypothesis of Task-Conditioned Relation Materialization in Repository-Level Code Reasoning
[arXiv] 2026-08-27 | Extending Low Latency Service Across the Internet
[arXiv] 2026-08-27 | Current-Limiting Control for Fault Ride-Through of LLC-based Solid-State Transformer in Data Centers
[arXiv] 2026-08-27 | Comparing v-numbers of symbolic and ordinary powers of squarefree monomial ideals
[arXiv] 2026-08-27 | Surgical Alignment in Knowledge Graph Training for Clinical Diagnosis with Large Language Models
[arXiv] 2026-08-27 | SOLO: Stable Omni-terrain Long-Horizon Perceptive Humanoid Locomotion
[arXiv] 2026-08-27 | Activation Outliers Matter: Robust Recovery for Quantized Multimodal LLMs
[arXiv] 2026-08-27 | Preference Flow Matching with Spectral Factorization for Micro-video Recommendation
[arXiv] 2026-08-27 | Arrive and Survive: Scaling Safe Goal-Conditioned Policy Learning from One-Bit Failure Signals
[arXiv] 2026-08-27 | From twelve to three active qubits: Ancilla-recycled rodeo filtering for trapped neutron-proton scattering
[arXiv] 2026-08-27 | Nil-Bohr Sets and Sums with Bounded Gaps
[arXiv] 2026-08-27 | SPT: Skills as Pre-Training Data for Agentic Language Models
[arXiv] 2026-08-27 | Local Product Structure of Expansive Flows with Shadowing Property
[arXiv] 2026-08-27 | Comparison of Two-Atom Cross Spectra in de Sitter Spacetime, Uniformly Accelerated Minkowski Vacuum, and a Thermal Bath
[arXiv] 2026-08-27 | IBLTs Measure Before They Decode: Self-Sizing Set Reconciliation from Pre-Peeling Counts
[arXiv] 2026-08-27 | Barrier Function Conformal Safety Clearance Certification with CVaR for Driving Trajectory Selection
[arXiv] 2026-08-27 | Atomic structure calculations for constraining new electron-electron forces
[arXiv] 2026-08-27 | Frequentist prediction intervals for random-effects meta-analysis via confidence-distribution propagation
[arXiv] 2026-08-27 | Visualizing Disequilibrium: Tracing Two-Point Correlations to Specific Spatial Structures in the Milky Way
[arXiv] 2026-08-27 | Cheaper by the Batch: Shared Traversal for Genotype Graph Editing
[arXiv] 2026-08-27 | Efficient Scheduling of Discrete Industrial Processes Through Continuous Modeling
[arXiv] 2026-08-27 | Zero-Shot Self-Orchestration with Ledger-Based Control for Improved LLM Coding Performance
[arXiv] 2026-08-27 | RubricRM: Generative Reward Modeling via Dynamic Rubrics for Image Generation and Editing
[arXiv] 2026-08-27 | A Table Is Worth 64 Tokens: Pixel-level Compression for Multi-Table Document Question Answering
[arXiv] 2026-08-27 | KISS-GS: 3D Gaussian Splatting Compression Kept Simple
[arXiv] 2026-08-27 | 4DSynth: Controllable Procedural World Synthesis for Dynamic Embodied Simulation
[arXiv] 2026-08-27 | Low-temperature magnetism and spin dynamics in the disordered triangular-lattice Yb$^{3+}$ compound LiCaYb$_5$(BO$_3$)$_6$
[arXiv] 2026-08-27 | Data-driven Koopman mode approximation: A neural power iteration algorithm
[arXiv] 2026-08-27 | Cavity-assisted homodyne detection with a single photodiode
[arXiv] 2026-08-27 | A Bayesian Longitudinal Model for Imputing Item-Level Missing Data in Trial-Based Economic Evaluations
[arXiv] 2026-08-27 | Rank Two Sheaves With Maximal Third Chern Class on the Fano Threefold of Index 2 and Degree 5
[arXiv] 2026-08-27 | Non-existence of separating morphisms of low degree
[arXiv] 2026-08-27 | AraMS-28k: The Largest Publicly Released Line-Level Dataset of Historical Arabic Manuscripts with Margin and Insertion-Anchor Annotations
[arXiv] 2026-08-27 | Bumpy inflation from explosive particle production
[arXiv] 2026-08-27 | Quenched activity induces nonuniversal scaling in nonreciprocal XY Models and surfaces
[arXiv] 2026-08-27 | Minimum Rate For Partially Observable Linear System with Side Information: LQG Plant and Gaussian-Markov Source
[arXiv] 2026-08-27 | Corrections induced by the GUP to the Lamb shift of an accelerated atom interacting with a quantum scalar field
[arXiv] 2026-08-27 | TOPIQ: Statistical Error Propagation for Quantity-of-Interest Prediction under Lossy Compression
[arXiv] 2026-08-27 | Band offsets and electronic structure at $α$/$β$-Ga$_2$O$_3$ and $κ$/$β$-Ga$_2$O$_3$ phase heterojunctions
[arXiv] 2026-08-27 | A novel Grand-Potential Phase-Field Lattice-Boltzmann model for multi-phase solidification with convection
[arXiv] 2026-08-27 | Climate Physics Dynamic Matching
[arXiv] 2026-08-27 | Relation graphs of the sedenion algebra
[arXiv] 2026-08-27 | Measure-valued free-energy minimizers for trapped bosons with repulsive Coulomb interaction
[arXiv] 2026-08-27 | Correcting Connectivity in Arc-Based QUBO Models for Fixed-Fleet Vehicle Routing
[arXiv] 2026-08-27 | Spectral Convergence of the Multipole Expansion Method for Acoustic Scattering in Three Dimensions
[arXiv] 2026-08-27 | Liouville theorems and removable sets for bounded $p$-harmonic and quasiharmonic functions on metric spaces under local assumptions
[arXiv] 2026-08-27 | The Bomb, the Hubris, and the Spectre
[arXiv] 2026-08-27 | FIDA: Feature Instability-Driven Attack on Self-Supervised Facial Representation
[arXiv] 2026-08-27 | Robust Lottery Compression for Metric Voting: A Transfer Principle for Bounded Randomness
[arXiv] 2026-08-27 | Towards Safe Reinforcement Learning with Reduced Conservativeness: A Case Study on Drone Flight Control
