[2026-06-08 23:12:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-07
正在获取论文...
[ACM] 2026-6-8 | An Intelligent Assessment of Machine Vision Courses Based on HA-GNN
[IEEE] 2026-6-8 | Cloud-based Intelligent Brain Tumor Detection and Segmentation Framework using Hybrid Deep Representation Learning Approach
[IEEE] 2026-6-8 | Optimized Microenvironments for Battery Cell Production: Space-Efficient Handling Systems and Economic Feasibility
[IEEE] 2026-6-8 | Classification of Edible and Poisonous Mushrooms Using Lightweight Deep Learning Models on Mobile Devices
[IEEE] 2026-6-8 | Intracavity Temperature Sensor Based on Phase-Shifted Fiber Bragg Grating in a Fiber Laser
[IEEE] 2026-6-8 | Rotor load decoupling method based on geometric modal projection
[IEEE] 2026-6-8 | CityPulse 360 – AI-Powered Real-Time Urban Happiness and Sentiment Analysis
[IEEE] 2026-6-8 | Time-Series Forecasting of Cloud Resource Utilization Using Hybrid LSTM Models
[IEEE] 2026-6-8 | A Radar-Based Contactless Stethoscope for Phonocardiogram Reconstruction
[IEEE] 2026-6-8 | IAC-TecMed Database for Infrared Thermography-Based Diabetic Foot Monitoring
[IEEE] 2026-6-8 | Non-Invasive Diagnosis of Circulating Blood or Cardiac Inflammatory Diseases Through Microwave Technology
[IEEE] 2026-6-8 | Evaluating Data Poisoning Resilience of Large Language Models for Cybersecurity Applications
[IEEE] 2026-6-8 | PSO-Based Optimization of a CMOS Switched-Capacitance Current-Starved Ring VCO in 0.18-μm Technology
[IEEE] 2026-6-8 | Follow the Sun and Catch the Wind: A Spatio-Temporal GNN-DRL Routing Framework for Carbon-Neutral Geo-Distributed Data Centers
[IEEE] 2026-6-8 | Comparative Evaluation of Prompting Strategies for LLM-Based Combinatorial Optimization
[IEEE] 2026-6-8 | Mitigating Misalignment of Excitation Sources in Low-Frequency Mammography
[IEEE] 2026-6-8 | Efficient Assessment Method for the Temperature Rise Limit of Degaussing Coil Systems Based on Sparse Simulation and Model Extrapolation
[IEEE] 2026-6-8 | Deep Learning-Based Prediction of Pulsed Electric Field and Biological Parameters from In Vitro Experiments
[IEEE] 2026-6-8 | A Machine Learning-Assisted Approach for High-Precision PV Module Characterization
[IEEE] 2026-6-8 | Performance Comparison of Radiative Transfer Simulation Tools Based on Land Surface Radiance in Beihang Green Garden
[IEEE] 2026-6-8 | IoT-Enabled EV Parking Station Powered by Renewable Energy
[IEEE] 2026-6-8 | GridInsu-Net: An Efficient Algorithm for Defect Detection of Transmission Line Insulators
[IEEE] 2026-6-8 | New approach to improve low-noise amplifier performances for 2.45 GHz wireless applications
[IEEE] 2026-6-8 | Energy-Efficient AI Models for Large-Scale Technical Data Collection in Cyber-Physical Systems
[IEEE] 2026-6-8 | Deep Hybrid Architecture for Cybersecurity Threat Detection in IIOT Networks: CNN–BiGRU Approach
[IEEE] 2026-6-8 | A Dual-Level Data-Driven Framework for Reducing Financial Fraud in Banking
[IEEE] 2026-6-8 | Reliability-Guided Frequency Compensation Network for Multi-Exposure Image Fusion
[IEEE] 2026-6-8 | Research on Construction and Virtual Commissioning of Intelligent Warehousing System Based on PQFactory Platform
[IEEE] 2026-6-8 | Inchiscope: A Modular Triple-Balloon Soft Robotic Endoscope for Navigating the Small Bowel
[IEEE] 2026-6-8 | Efficient Minimum $k$-Truss Search: A Decomposition-Based Approach
[IEEE] 2026-6-8 | Hybrid Consistency Policy: Decoupling Multi-Modal Diversity and Real-Time Efficiency in Robotic Manipulation
[IEEE] 2026-6-8 | H-VSJ: A Hybrid Stiff-Compliant Variable Stiffness Joint With Decoupling Position and Stiffness Modulation
[IEEE] 2026-6-8 | A Review of Vision-Based Vehicle Detection for UAV-Based Traffic Monitoring: Experimental Insights and Future Directions
[IEEE] 2026-6-8 | Real-Time Detection of Subsurface Defects in CFRP Using Line-laser Scanning Thermography and CSDNet
[IEEE] 2026-6-8 | Pointing Calibration Study for the HADAR Experiment
[IEEE] 2026-6-8 | Robust Beamforming Design for STAR-RIS Assisted MISO Secure Communication System
[IEEE] 2026-6-8 | Untethering EIT: An Integrated Wireless Tactile Interface for Human&amp;#x2013;Machine Interaction_supp3-3688715.mp4
[IEEE] 2026-6-8 | Surrogate-Assisted Framework for Log-Periodic Feedlines based Filter Optimization
[IEEE] 2026-6-8 | Hybrid Bit and Semantic Communications for UAV-Enabled Wireless Power Transfer Networks: A Decision-Assisted Deep Reinforcement Learning Approach
[IEEE] 2026-6-8 | FDSCBAM-YOLO: Integrating Frequency-Domain Attention with Depthwise Separable Convolution for Data-Scarce SAR Vehicle Detection
[IEEE] 2026-6-8 | When Does Artificial Intelligence Matter for Knowledge Management? Empirical Insights from Indonesian Organizations
[IEEE] 2026-6-8 | Artificial Intelligence Techniques for Dynamic Analysis Predictions of Regular Building Structures in Morocco
[IEEE] 2026-6-8 | A Deep Learning Approach for Metal and Plastic Waste Segregation
[IEEE] 2026-6-8 | Quaternary Reversible Circuit Optimization for Scalable Multiplexer and Demultiplexer
[IEEE] 2026-6-8 | Evaluating the Importance of Marine Ecological Protection: A Case Study of the Dalian Sea Area, Liaoning Province
[IEEE] 2026-6-8 | Multi-Scale Object Detection for Autonomous Driving Based on Multimodal Feature Fusion
[IEEE] 2026-6-8 | Emotionally Adaptive Conversational AI for Personalized Learning
[IEEE] 2026-6-8 | Investigating the Synergy between Industry 4.0 Technologies, Lean Tools, and Lean Wastes
[IEEE] 2026-6-8 | Harnessing Large Language Models for Next-Generation Artificial Intelligence Applications
[IEEE] 2026-6-8 | Interface and Transport-Layer Engineering for CdS / BaZrS
                    <sub>3</sub>
                    / CuSCN Solar Cells: Device Simulation, Band Alignment and Defect Effects
[IEEE] 2026-6-8 | A Unified Deep Learning-Based Architecture for Real-Time Monitoring and Classification of Fungal and Viral Crop Infections in Precision Agriculture
[ACM] 2026-6-8 | Subgroup and Longitudinal Measurement Invariance of the Computational Thinking Test Short (CTt-S)
[ACM] 2026-6-8 | Project SmartAvatar: A Human-Avatar Interface
[IEEE] 2026-6-8 | Detection of Arbitrary Polarization States Based on Spoof Surface Plasmon Polaritons
[IEEE] 2026-6-8 | Unfolded Coprime Padded L-Shaped Array Design From Fourth-Order Difference Co-Array Concept
[IEEE] 2026-6-8 | Construction of Digital Terrain Maps from Multi-view Satellite Imagery using Neural Volume Rendering
[IEEE] 2026-6-8 | A High-Throughput Custom Accelerator Architecture for Transformer Models on Edge Devices
[IEEE] 2026-6-8 | Stability Study of Advance Mining Roadways in Fault Zones Under Mining Disturbance
[IEEE] 2026-6-8 | Beyond Three Doors: A Comprehensive Analysis of Generalized Monty Hall Problem
[IEEE] 2026-6-8 | Robust Variational Bayesian Inference for Full-Duplex Computational Microwave Imaging
[IEEE] 2026-6-8 | Cost-Constrained Real-Time Optimization of Multi-Chip Interconnection Architecture for Power Load Forecasting
[IEEE] 2026-6-8 | Koopman Neural Operator for Multi-Task Modeling in Optical Fiber Communications with NTK Analysis
[IEEE] 2026-6-8 | Geometry Optimization of Non-Ideal Through-Glass Vias (TGVs) for Enhanced Electrical and Mechanical Performance
[IEEE] 2026-6-8 | Parameter Efficient Emotional Transfer for Fine-Grained Emotional Audio-Driven Talking Portrait Generation_supp1-3699022.mp4
[IEEE] 2026-6-8 | Improving Lightweight Convolutional Neural Networks Performance for Colorectal Cancer Diagnosis via Knowledge Distillation
[IEEE] 2026-6-8 | Optimizing Cloud Resource Allocation with Predictive Big Data Models
[IEEE] 2026-6-8 | The Capacity of the Weighted Read Channel
[IEEE] 2026-6-8 | A Novel Deep Learning Framework with Feature Engineering for Stroke Risk Prediction
[IEEE] 2026-6-8 | A Comparative Analysis of Multi-Head Self-Attention and Axial Attention in Transformer Architectures
[IEEE] 2026-6-8 | Finite-Time LQR Control With Redundant Inputs for Continuous-Time Systems
[IEEE] 2026-6-8 | Target-centered Micro-motion Tracking and Measurement with Commodity WiFi
[IEEE] 2026-6-8 | Rate Optimization in Hybrid Multi-RIS Assisted NOMA Systems Based on WMMSE Algorithm
[IEEE] 2026-6-8 | Systematic Evaluation of Interpolation Strategies for Soil Moisture Retrieval Using Sentinel-1/2 Data: A Case Study in Shandian River Basin
[IEEE] 2026-6-8 | Microwave Hyperthermia Treatment Planning Via Combination of Focused Patterns and Low-Dimensional Global Optimization
[IEEE] 2026-6-8 | Transient Synchronization Stability Analysis of a Grid-connected VSC Based on Black-box Model
[IEEE] 2026-6-8 | Breast Cancer Classification in Ultrasound Images Using DenseNet169 and Advanced Transfer Learning
[IEEE] 2026-6-8 | Real-Time Vision-based Vehicle Speed Estimation using YOLOv8 and Enhanced Deep SORT
[IEEE] 2026-6-8 | An Effectiveness Evaluation Method for Spaceborne Calibration Network Based on the Optimal Theory
[IEEE] 2026-6-8 | Multi-Modal Remote Sensing Image Change Detection Based on DSAT and Decision-Level Fusion
[IEEE] 2026-6-8 | A Two-Stage Modular Speech-to-Language Recognition Framework for Low-Resource Tibetan
[IEEE] 2026-6-8 | EV-ProveBox: A Dynamic, Renewable, and Provenance-Aware S-Box Framework for Secure Healthcare IoT Encryption
[IEEE] 2026-6-8 | Moroccan License Plate Detection for Intelligent Transportation Systems Using YOLOv8 and YOLOv11
[IEEE] 2026-6-8 | Integrating AI Technologies in Higher Education in the Arab Region: A Systematic Synthesis and Implementation Roadmap
[IEEE] 2026-6-8 | Data Replication and Protection Mechanism for Secure Distributed Cloud Databases
[IEEE] 2026-6-8 | Ocular Disease Classification and Diabetic Retinopathy Detection using Convolutional Neural Networks
[IEEE] 2026-6-8 | An analysis study of the use of Artificial Intelligence (AI) to improve the management of colic in horses: Survival Prediction, Decision Support, and Automated Monitoring
[IEEE] 2026-6-8 | The Impact of AI Usage on Digital Leadership: Analyzing Direct and Indirect Effects through Technological Self-Efficacy
[IEEE] 2026-6-8 | Cost-Sensitive Machine Learning for Cloud Network Intrusion Detection
[IEEE] 2026-6-8 | TGN-IDS: Detecting Lateral Movement with Temporal Graph Neural Networks
[IEEE] 2026-6-8 | CAP-FL: A Context-Aware Personalized Federated Learning Framework for Next-Word Prediction
[IEEE] 2026-6-8 | Performance Analysis and Optimization of Eulerian Video Magnification for Vital Signs Estimation in Resource-Constrained Embedded Systems
[IEEE] 2026-6-8 | Interference-Induced Acoustic Transparency in Hybrid Resonator System for Selective and HighSensitivity Gas Detection
[IEEE] 2026-6-8 | An Intelligent Vehicle Target Detection Method Based on LiDAR
[IEEE] 2026-6-8 | Analytical Modeling of Microstrip Antenna using Green House Analysis
[IEEE] 2026-6-8 | Saturated fault-tolerant control for uncertain switched systems with actuator faults*
[IEEE] 2026-6-8 | Artificial Immune System–Based Anomaly Detection for IoT Network Security
[IEEE] 2026-6-8 | Multi-Sensor Information Fusion for Indoor Positioning Based on UWB and IMU with Deep Learning Optimization
[IEEE] 2026-6-8 | Comparative Study of Surrogate Models for Aeroelastic Wind Turbine Blade
[IEEE] 2026-6-8 | High-Gain 24 GHz Microstrip Patch Antenna Array Using a Corporate Wilkinson Power Divider
[IEEE] 2026-6-8 | Impregnation Process Parameters Tuning by Computational Fluid Dynamics Simulations
[IEEE] 2026-6-8 | Design of Circularly Polarized Antenna Arrays on Different Substrates for Rectenna Integration
[IEEE] 2026-6-8 | 2026 IEEE MTT-S International Microwave Biomedical Conference (IMBioC)
[IEEE] 2026-6-8 | Multi-Objective Optimization for Privacy-Preserving Federated Threat Intelligence: A Pareto-Based Approach
[IEEE] 2026-6-8 | Finite-Time Distributed Time-Varying Optimization of High-Order Agents With Unknown Gradient Derivative
[IEEE] 2026-6-8 | A Soft Worm Robot for Sub-Centimeter Scale Pipeline Inspection_supp2-3699247.mp4
[IEEE] 2026-6-8 | A Soft Worm Robot for Sub-Centimeter Scale Pipeline Inspection_supp4-3699247.mp4
[IEEE] 2026-6-8 | Graph Processing with Contrastive Learning for Social Recommendation in IoT Interaction Networks
[IEEE] 2026-6-8 | Upper Limb Movement Assistance through Model-Based Path Planning and Control of Hybrid FES-Exoskeleton Systems_supp1-3700177.mp4
[IEEE] 2026-6-8 | A Heterogeneous System Architecture for Monocular Depth Estimation and Parallel Multi-Task Vision on Edge Devices
[IEEE] 2026-6-8 | Edge Computing-based IoT System for Real-Time Environmental Monitoring and Decision Making
[IEEE] 2026-6-8 | Non-conventional hydrodynamic pad bearing bi-objective design optimization
[IEEE] 2026-6-8 | Small Models, Big Insights: Compact Vision– Language Intelligence for Biomedical Imaging
[IEEE] 2026-6-8 | Microbial Electrolysis Cells for Sustainable Biohydrogen Production and Wastewater Valorization
[IEEE] 2026-6-8 | Smart Mining Helmet for Health Monitoring and Safety Assistance
[IEEE] 2026-6-8 | Real-Time Food Products Nutrition Analysis Using Deep Learning
[IEEE] 2026-6-8 | An Optimized Deep Learning-based Lesion Segmentation Model for Early Gastric Cancer Diagnosis Using Pre-processed Gastroscopic Images
[IEEE] 2026-6-8 | An Ultra-High-Resolution Detection Framework for Micro-Scale PCB Surface Defects
[IEEE] 2026-6-8 | Constraint-Aware Hybrid Metaheuristic Optimization for Joint IDS Placement and Key-Refresh Scheduling in Resource-Constrained IoT Edge Networks
[IEEE] 2026-6-8 | Adaptive Transformer-Based Neural Network for Robust Stereo Image Pair Rectification
[IEEE] 2026-6-8 | Design of A FCRD9T SRAM cell for Low-Power Wireless Communications
[IEEE] 2026-6-8 | Securing Identities Without Cryptography: A Survey of Alternative Authentication Mechanisms
[IEEE] 2026-6-8 | Sarcasm detection enhancement through a perspectivist features approach
[ACM] 2026-6-8 | Scalable Floating-Point Satisfiability via Staged Optimization
[ACM] 2026-6-8 | Solvable Tuple Patterns and Their Applications to Program Verification
[ACM] 2026-6-8 | Investigating Quality of Experience and Performance in AR-Based Skill Training for Gaelic Football
[ACM] 2026-6-8 | A Sneak Peek into AI-Generated 3D Immersive Memories
[ACM] 2026-6-8 | From Talking Heads to Moving Bodies: Understanding Video-Mediated Dance Instruction
[ACM] 2026-6-8 | Towards Pluriversal Computing
[ACM] 2026-6-8 | Diagrams Are Structures: Reframing Accessibility for Data Structure Diagrams
[ACM] 2026-6-8 | "Aha Workshop": A Low-Barrier Intervention for Embedding Accessibility in Computing Education
[IEEE] 2026-6-8 | The Design and Fabrication of a Compact Band-Stop Filter Based on Bulk Acoustic Resonator
[ACM] 2026-6-8 | Bridging Coverage and Confidence: Reliable Static False Alarm Elimination via Input-Agnosticity
[ACM] 2026-6-8 | SAQR-QC: A Logic for Scalable but Approximate Quantitative Reasoning about Quantum Circuits
[ACM] 2026-6-8 | Editorial Message
[IEEE] 2026-6-8 | A numerical study of thermoelectric coupling in a photovoltaic-thermal system with a new heat exchanger compared to a photovoltaic module
[IEEE] 2026-6-8 | Adaptive Optimization of Circular Economy Strategies Under Uncertainty
[IEEE] 2026-6-8 | Multi Level Functional Connectivity Fusion Classification Framework for Brain Disease Diagnosis
[IEEE] 2026-6-8 | Advancing FCEVs/FCHEVs: Overcoming Challenges for Scalable Zero-Emission Transport
[IEEE] 2026-6-8 | Table of Contents
[IEEE] 2026-6-8 | A Context-Aware Heuristic for Meal Planning: Aggregation-Driven Filtering and Dynamic Weighted Sampling
[IEEE] 2026-6-8 | Extractive Summarization using TextRank with FastText Word Embedding and Cosine Similarity for News Summarization
[IEEE] 2026-6-8 | Buckling Detection of Truss Members in Steel Bridges using Photogrammetric Principle with Computer Vision Technique
[IEEE] 2026-6-8 | QUBO: A New Framework for Traffic Control in Metropolitan Cities Using Quantum Optimization Technique
[IEEE] 2026-6-8 | Research on Adaptive Topology Optimization for Power Communication Networks Based on an Improved Genetic Algorithm
[IEEE] 2026-6-8 | RZSL-PSR: Noise-Disentangled Retinex Zero-Shot Framework for Lunar PSR Image Enhancement
[IEEE] 2026-6-8 | Vision Transformer-Based Deepfake Detection: A Comprehensive Approach for Identifying Manipulated Video Content
[IEEE] 2026-6-8 | LLM-Assisted Carbon-Aware Coordinated EV Charging for Decarbonization
[IEEE] 2026-6-8 | LS-Interpret: A Multi-Algorithm Gradient Boosting Framework with Three-Tier SHAP Explainability for Geospatial Landslide Susceptibility Prediction
[IEEE] 2026-6-8 | Improved Yolov8 for Monitoring of Coconut Trees Before and After the Typhoon
[IEEE] 2026-6-8 | From Black-Box to Explainable Clinical Support: Benchmarking ConvNeXt and Swin Transformer on the Class-Imbalanced OCTDL Dataset
[IEEE] 2026-6-8 | Monkeypox Diagnosis Using Transfer Learning via Skin Lesion Images
[IEEE] 2026-6-8 | Metaheuristic Optimization for Pavement Deformation Prediction: A Comparative Study of PSO, FA and AFSA
[IEEE] 2026-6-8 | RHLMA: A Role-Hierarchical LLM Multi-Agent Framework for Airborne Software Requirement Review
[IEEE] 2026-6-8 | Analysis of Digital Twin Ecosystem for the Renal System: Improving Patient Outcomes in Chronic Renal Disease and Dialysis Need Prediction
[IEEE] 2026-6-8 | EEG-based Machine and Deep Learning Approaches for Alzheimer’s and Frontotemporal Dementia: A Systematic Review of the OpenNeuro ds004504 Dataset
[IEEE] 2026-6-8 | Multi-Path Parallel Quantum Convolutional Neural Network
[IEEE] 2026-6-8 | Design of an Intelligent Information System for Spaceborne Remote Sensing Data Processing
[IEEE] 2026-6-8 | Preliminary assessment of how land cover changes can affect temperature in urban areas
[IEEE] 2026-6-8 | Design of a retributive optimal cooperative energy trading and its blockchain-based implementation
[IEEE] 2026-6-8 | Real-Time Tea Leaf Disease Detection Using Attention-Driven YOLO Framework for Precision Plantation Management
[IEEE] 2026-6-8 | Random Forest based Predictive Vehicle Breakdown Management System for Intelligent Roadside Assistance
[IEEE] 2026-6-8 | Bridging Knowledge and Reasoning: The Role of Large Language Models in AI Evolution
[IEEE] 2026-6-8 | Bridge Structural Health Monitoring Using Vision Transformers and Graph Neural Networks
[IEEE] 2026-6-8 | Finite Element Analysis and Design Optimization of an Electric Vehicle Chassis
[IEEE] 2026-6-8 | Context-Aware Pervasive Computing Framework for Intelligent Smart Space Environments
[IEEE] 2026-6-8 | From Static Surveys to Adaptive Questionnaires: A Systematic Review of Generative AI–Driven Personalization in Education
[IEEE] 2026-6-8 | Unveiling the Drivers of E-Grocery Usage Behaviour in Urban Areas
[IEEE] 2026-6-8 | Emergence of artificial intelligence in electroencephalogram analysis
[IEEE] 2026-6-8 | Lightweight Machine Learning for Intrusion Detection in Zero-Trust Systems
[IEEE] 2026-6-8 | Multi-Modal Perception for Intelligent Robotic Systems
[IEEE] 2026-6-8 | Offline Photo-Shield Automatic System for Finding and Redacting Privacy-Sensitive Information in Images
[IEEE] 2026-6-8 | Rethinking AI Ethics in Education: From Restrictive Policies to Learning-Oriented Design
[IEEE] 2026-6-8 | Secure Edge–Fog Architecture for Social IoT and Opportunistic Network Applications
[IEEE] 2026-6-8 | Enhancing EEG Data Quality with Explainable AI-Based Artifact Detection Models
[IEEE] 2026-6-8 | Autonomous Multi-Agent Cyber Defense for Mitigating AI-Generated Threats
[IEEE] 2026-6-8 | Hybrid Wind-Solar Grid Integrated Energy System Simulation with MPPT Control In Matlab/Simulink
[IEEE] 2026-6-8 | Variational Enhancement of Coded Fringes via Bi-directional Coded Content Similarity for Structured-light 3D Measurement
[IEEE] 2026-6-8 | ACT-Net: Adaptive Compensation Transformer Network for Real-Time Detection in Remote Sensing Multimodal Imagery
[IEEE] 2026-6-8 | Distributed Fixed-Time Control With Adaptive Barrier Function in AC Microgrid Under Dynamic Event-Triggered Mechanism
[IEEE] 2026-6-8 | IEEE Foundation
[IEEE] 2026-6-8 | Hierarchical Multi-Terminal DC System for Large-Scale Renewable Integration: Topology and Coordinated Control
[IEEE] 2026-6-8 | Passivity-Based Pinning Synchronization Control of Switched Directed Networks With Improved Switching Strategy
[IEEE] 2026-6-8 | Icarus: High-Altitude Platform Station Navigation with LEO Satellites
[IEEE] 2026-6-8 | Coupled Half-Bridge LLC Resonant Converter With Reduced Switches and Current Sharing Ability
[IEEE] 2026-6-8 | Wholesale Market Participation via Competitive DER Aggregation
[IEEE] 2026-6-8 | Congruent kinesthetic and tactile haptic rendering accelerates the learning of highly dynamic virtual sensorimotor tasks_supp2-3698607.mp4
[IEEE] 2026-6-8 | A 144-
                    <i>μW</i>
                    Phase-Interval Balanced RVCO With 142% Tuning Range and 218.2-dBc/Hz FoM
                    <sub>
                      <i>TA</i>
                    </sub>
[IEEE] 2026-6-8 | FedTransformer-Edge: A Unified Framework for Resource-Adaptive Federated Transformer Learning with Cross-Modal Attention in Heterogeneous IIoT Networks
[IEEE] 2026-6-8 | Modeling, Simulation, and Prototype Fabrication of a Saturable-Core Reactor
[IEEE] 2026-6-8 | Pretrained Model Recommendation for Downstream Fine-tuning
[IEEE] 2026-6-8 | A Soft Worm Robot for Sub-Centimeter Scale Pipeline Inspection_supp1-3699247.mp4
[IEEE] 2026-6-8 | Robust Rigid Body Pose Estimation for Sparse Point Sets Under Heteroscedastic Noise
[IEEE] 2026-6-8 | Reconstructing Temporal Heterogeneity: A Multi-domain Collaborative Analysis Framework for Robust Time-Series Forecasting
[IEEE] 2026-6-8 | An Actively Controlled Quasi-Resonant Excitation Topology for High-Resolution Transient Electromagnetic Sensors
[IEEE] 2026-6-8 | LCSM: A Local Chart-based Statistical Model for Femoral Shape Analysis
[IEEE] 2026-6-8 | Evaluating the Generalization Ability of an Ensemble-Based Fake News Detection Model across Multiple Domains
[IEEE] 2026-6-8 | A Predictive Machine Learning Framework for Crane Component Fatigue Under Cyclic Loads
[IEEE] 2026-6-8 | Moringa Leaf Quality Grading Prediction using Deep Learning
[IEEE] 2026-6-8 | Analysis of HEXAD player types and GUESS user experience in FPS game case studies: Valorant, Counter Strike 2, and Rainbow Six Siege
[IEEE] 2026-6-8 | A Comprehensive Comparison of Vanilla GAN, WGAN, and DCGAN Variations
[IEEE] 2026-6-8 | Explainable Employee Attrition Prediction using PCA-Optimized Random Forest and SHAP
[IEEE] 2026-6-8 | Effect of Surface Shape on Electric Contact Resistance for High-Current Copper Conductors
[IEEE] 2026-6-8 | Quantum-Enhanced Hybrid Variational Neural Network for IoT Intrusion Detection
[IEEE] 2026-6-8 | Beamforming Enhancement Using Unipolar Directivity of Pressure-Gradient Vector Hydrophone
[IEEE] 2026-6-8 | Does Bullying Harm Academic Achievement? Causal Machine Learning Evidence from Moroccan Students
[IEEE] 2026-6-8 | Pulse Repetition Frequency Tuned Low-Intensity Focused Ultrasound Neuromodulation for Tibial Nerve Targeted Bladder Function Modulation
[IEEE] 2026-6-8 | A Multi-Dimensional Framework for Adaptive Scaffolding in Large Language Model
[IEEE] 2026-6-8 | Optimized Cluster Head Selection with Enhanced Energy Efficiency
[IEEE] 2026-6-8 | Energy-Efficient UAV Delivery Optimization via Clustering and Layered Path Planning
[IEEE] 2026-6-8 | The Use of Artificial Intelligence in The Visual Exploration Stage of Children’s Book Character Design
[IEEE] 2026-6-8 | Evaluation and improvement of the thermal performance of power modules using the Finite-Element-Method (FEM) and Multi-Material Additive Manufacturing (MMAM)
[IEEE] 2026-6-8 | How Social Media Algorithms and Financial Influencer Reach Effect on Investment Decisions of Gen Z
[IEEE] 2026-6-8 | CuDi: Curve Distillation for Efficient and Controllable Exposure Adjustment
[ACM] 2026-6-8 | Beyond Correctness: A Design Vocabulary for Perceived Response Dynamics in Affective Adaptation
[ACM] 2026-6-8 | Behavioral and Perceptual Responses to 3D Character and Volumetric Avatars Under Conflicting Guidance in Mixed Reality
[ACM] 2026-6-8 | Understanding Why Viewers Turn on Subtitles: Towards Context-Aware, Reactive and Adaptive Subtitling Systems
[ACM] 2026-6-8 | AI-Driven MetaHuman for Immersive VR Property Tours: Design and Early Evaluation
[IEEE] 2026-6-8 | Decision letter for "End-to-End Depositional Microfacies Identification from Variable-Log Inputs Using CNN and Attention-CRF"
[IEEE] 2026-6-8 | Online Coreset Selection for Learning Dynamic Systems
[IEEE] 2026-6-8 | Parameter Estimation of Intermittent Sampling Repeater Jamming Based on Orthogonal Block-Concatenated Waveform Design
[IEEE] 2026-6-8 | 2026 6th International Conference on Pervasive Computing and Social Networking (ICPCSN)
[IEEE] 2026-6-8 | MU-MIA: Machine Unlearning for Membership Inference Attacks
[IEEE] 2026-6-8 | Fast and Accurate Beam Direction Calibration Method for Phased Array Antennas Using PCA
