[2025-12-06 09:09:12] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-05
正在获取论文...
[IEEE] 2025-12-5 | Energy Harvesting in Solar-Powered UAV Communication With Rate Splitting Multiple Access
[IEEE] 2025-12-5 | Net 400-Gb/s/lane O-band IM-DD Transmission Using 182-GBd PAM-6 with KP4+SFEC over 20-km SSMF
[IEEE] 2025-12-5 | Post-Quantum Cryptography for Securing Next-Generation Communication Networks
[IEEE] 2025-12-5 | Reliability Analysis based on Fault Tree Analysis for SSCB Snubber Circuit Employing Inverse Current Injection Method
[IEEE] 2025-12-5 | Mid-Span Optically Powered Remote Sensor Module Using Residual Raman Pump Light
[IEEE] 2025-12-5 | Evaluation of Various Sequential Constructive Approaches for Optimizing Vehicle Routing Problem with Time Windows
[IEEE] 2025-12-5 | Collaborative Optimization for Green Carbon Reduction in New Power Systems: Multi-Entity Interaction Across Research, Standards, and Industry
[IEEE] 2025-12-5 | A Blockchain Integrated Machine Learning Framework for Cryptographic Algorithm Identification
[ACM] 2025-12-6 | Research on the Construction of Dynamic Matching Matrix and Its Adaptation to Educational Scenarios from the Perspective of Cognitive Symbiosisc
[ACM] 2025-12-6 | Construction and Secondary Optimization of a Voltage Quality Control Knowledge Graph Based on Large Language Models
[ACM] 2025-12-6 | GDPR Constraints on AI-Generated Music: Privacy Protection Challenges in Training Data
[ACM] 2025-12-6 | Gradient Shaping Beyond Clipping: A Functional Perspective on Update Magnitude Control
[ACM] 2025-12-6 | Construction and Practice of an AIoT Practical Course Based on Agile Teaching Methodology
[ACM] 2025-12-6 | An Evaluation of Open Source Data Anonymisation Tools for Medical Data
[ACM] 2025-12-6 | SynSpeech: A Dataset and Benchmark for Fake Speech Detection
[ACM] 2025-12-6 | DS-IB Net: Ultra-Lightweight Weakly-Supervised Video Anomaly Detection through Synergistic Dual Streams and Information Bottleneck
[ACM] 2025-12-6 | CSSA-Fusion: Channel Selective and Spatial Alignment Infrared-Visible Image Fusion
[ACM] 2025-12-6 | Mitigating Hallucinations in Large Vision-Language Models via Dual Contrastive Decoding
[ACM] 2025-12-6 | Multi-contrastive Regularization for Single Image Portrait Relighting
[ACM] 2025-12-5 | Freehand Sketch-Based 3D Reconstruction with Contour Constraints via Elastic Metrics
[ACM] 2025-12-5 | Vibrotactile Feedback to Make Real Walking in Virtual Reality More Accessible for People With and Without Mobility Impairments
[ACM] 2025-12-5 | Multi-User VR Assembly and Manufacture Design: Multimodal Object Modeling and High-Fidelity Gesture Interaction with WebGL Integration
[ACM] 2025-12-5 | Echoing Verses: A Generative AR System for Cultural Tourism based on Locative Narrative
[ACM] 2025-12-5 | Five-day research-in-the-wild observation of notifications on smartglasses: A double edged sword
[ACM] 2025-12-6 | Brook-2PL: Tolerating High Contention Workloads with A Deadlock-Free Two-Phase Locking Protocol
[ACM] 2025-12-5 | Semantics in Robotics: Environmental Data Can’t Yield Conventions of Human Behaviour
[ACM] 2025-12-5 | Loss of Consciousness Early Warning Modelling with EEG Signals
[IEEE] 2025-12-5 | Spatiotemporal Source Trajectory Tracking using Multiplexed Optomechanical Fiber-Optic FPI Sensors_supp1-3640121.pdf
[IEEE] 2025-12-5 | 3D-Printed Sensor on a Multicore Fiber for Triple-Parameter Sensing
[IEEE] 2025-12-5 | Efficient and Scalable Point Cloud Generation With Sparse Point-Voxel Diffusion Models_supp1-3636409.mp4
[IEEE] 2025-12-5 | IEEE Transactions on Industrial Electronics Information for Authors
[IEEE] 2025-12-5 | APWiMob 2025 Cover Page
[IEEE] 2025-12-5 | Three-Dimensional Coordinate Positioning Approach Based on Hypersonic Vehicle-Borne SAR with Spiral Trajectory
[IEEE] 2025-12-5 | Active Circulator GaN Front-Ends With Integrated Tunable Cancellers for Multifunction Phased Arrays
[IEEE] 2025-12-5 | A Stable Locality-Aware Task Scheduling Mechanism for Mobile Edge Computing With Workflow Task Offloading
[IEEE] 2025-12-5 | Reliable Federated Multi-View Learning for Heterogeneous Information Fusion in Mobile Edge Computing
[IEEE] 2025-12-5 | Non-contact Sleep Apnea-Hypopnea Syndrome Detection Using Variational Mode Decomposition-based Respiratory Signals and Deep Neural Networks
[IEEE] 2025-12-5 | TVG-SLAM: Robust Gaussian Splatting SLAM with Tri-view Geometric Constraints
[IEEE] 2025-12-5 | COMET: A Dual Swashplate Autonomous Coaxial Bi-copter AAV with High-Maneuverability and Long-Endurance
[IEEE] 2025-12-5 | Higher-Order Dynamic Modeling and Robust Optimization of Fully Decoupled MEMS Gyroscope with Fabrication Errors
[IEEE] 2025-12-5 | Establishing Reality-Virtuality Interconnections in Urban Digital Twins for Superior Intelligent Road Inspection and Simulation
[ACM] 2025-12-5 | EPM-LTD: Exact Penalty Method for Anchor-Level Constrained Optimization in Long-Tailed Object Detection
[ACM] 2025-12-5 | Research on warhead parameter optimization method based on improved genetic algorithm
[ACM] 2025-12-5 | Computational Structural Bioinformatics Workshop (CSBW): Editorial
[IEEE] 2025-12-5 | Fixed-Time Active Fault-Tolerant Tracking Control of an Unmanned Aerial Vehicle with Sensor Faults and Stochastic Disturbances
[IEEE] 2025-12-5 | Bidirectional transfer-based fault diagnosis network for planetary gearboxes
[IEEE] 2025-12-5 | A Topology-Driven CNN Framework for Stock Price Prediction Using News Sentiment and Market Dynamics
[IEEE] 2025-12-5 | Multiplicative Watermarking for Replay Attack Detection in Distributed DC Microgrids
[IEEE] 2025-12-5 | Broadband Athermal Silicon Nitride Microring Resonators with Improved Stability
[IEEE] 2025-12-5 | OCR AND NER Based Generic Medicine Recommendation System
[IEEE] 2025-12-5 | Logical Numerical Modeling of Battery Energy Storage Systems for Modern Power Grid Integrations
[IEEE] 2025-12-5 | DMT vs PAM: An Experimental Comparison Over VCSEL-MMF Links for Intra-Datacenter Connections
[IEEE] 2025-12-5 | A Web-Based Image Segmentation Tool for Educational Purposes Using Java
[IEEE] 2025-12-5 | The Impact of Digitalization on Operational Efficiency in Ports: A Case Study of Borusan Port
[IEEE] 2025-12-5 | AI-Driven Computational Materials Science for Advanced Energy Materials Development
[IEEE] 2025-12-5 | In-Field Demonstration of Multi-Tech Sensing on Terrestrial Optical Data Network using State Of Polarization and Phase Monitoring
[IEEE] 2025-12-5 | Fault warning model of wind turbine pitch system based on BiGRU and multi-attention mechanism
[IEEE] 2025-12-5 | Yellowfin Tuna Meat Grading Using Computer Vision and k-Nearest Neighbors Algorithm
[IEEE] 2025-12-5 | End-to-End AI for Distributed Fiber Optics Sensing: Eliminating Intermediate Processing via Raw Data Learning
[IEEE] 2025-12-5 | Real-World Anomaly Detection in Surveillance Videos A Review
[IEEE] 2025-12-5 | Application of Genetic Algorithm Optimized Feature Mode Decomposition in Brake Disc Dynamic Balance Vibration Detection
[IEEE] 2025-12-5 | Multi-Agent Adversarial Training for Text-to-Image GANs
[IEEE] 2025-12-5 | MIMO for Joint Compensation of Mode Coupling, Frequency Offset and Carrier Phase Noise for Optical Carrier-Asynchronous SDM System via Frequency-Domain Pilot Tones
[IEEE] 2025-12-5 | Metaheuristic-Based Unknown Interference Suppression for Advanced Antenna Systems
[IEEE] 2025-12-5 | Charging Pile Fault Detection Based on WOA-Optimized Bidirectional LSTM
[IEEE] 2025-12-5 | A Topology-Loss Aware Framework for Addressing Oversegmentation in Brain Tumor Segmentation
[IEEE] 2025-12-5 | A Decision Tree Based System for Real Time Fall Detection in Geriatric Population
[IEEE] 2025-12-5 | Integrated Multi-Band Photonic Filter Based on MRR–SSG for Tunable Frequency Hopping
[IEEE] 2025-12-5 | Impact of Non-Uniform Fibre's Zero-Dispersion Wavelength on Four-Wave Mixing in 10-Km IMDD LWDM Systems
[IEEE] 2025-12-5 | Blockchain and Federated Learning(BFL) for Robust IoT Security: NONU
[IEEE] 2025-12-5 | RFID-Based Physical Unclonable Functions (PUFs) Enabled by Laser-Induced Graphene (LIG)
[IEEE] 2025-12-5 | Functional Reliability Analysis of Self-Healing Passive UHF RFID Tag Under Mechanical Damage: Cutting and Stretching Effects
[IEEE] 2025-12-5 | Neural Adaptive Observer Design For Takagi-Sugeno Fuzzy System
[IEEE] 2025-12-5 | Analysis of the thermal runaway propagation and dynamic threshold of lithium-ion batteries under different cooling conditions
[IEEE] 2025-12-5 | Optimizing Hyperparameters in Machine Learning for Enhanced Fake News Detection on Social Media
[IEEE] 2025-12-5 | $150-\text{GHz}$ Bandwidth, −30 dB CMRR Balanced Photodetector for High-Baud Rate PSK Signal Detection
[IEEE] 2025-12-5 | Application of Optimization Algorithms for Various Scenarios in Gasoline and Diesel Engines
[IEEE] 2025-12-5 | New Tools for Tracking Small Invertebrates Using Harmonic Radar
[IEEE] 2025-12-5 | A Fault Diagnosis Method for Multi-UAVs Based on Belief Rule Base with Wavelet Transformation
[IEEE] 2025-12-5 | Review of Artificial Intelligence Applications in Performance Prediction of Advanced Energy Materials
[IEEE] 2025-12-5 | Submarine Optical Fibers: A Window Into Climate Change
[IEEE] 2025-12-5 | Impact of Inter-Core Crosstalk on Coherent Optical Time-Domain Reflectometry in Repeatered Multicore Fibre Systems
[IEEE] 2025-12-5 | System Identification for Resonant Converters Through Correlation Analysis Scheme
[IEEE] 2025-12-5 | Next-Generation E-Voting Security using Blockchain Technology
[IEEE] 2025-12-5 | Temporal Deep Learning for Disease Onset Forecasting from Longitudinal Health Data
[IEEE] 2025-12-5 | Edge Authentication Using a Cryptographic Accumulator
[ACM] 2025-12-6 | Reorienting OOP Curriculum: From Knowledge-Centric Projects to Agentic AI-Driven Problem Solving
[ACM] 2025-12-6 | Multi-Task Learning with Adaptive Fusion for Point-of-Interest Recommendation
[ACM] 2025-12-6 | Hint-Guided Video Frame Interpolation for Video Compression
[ACM] 2025-12-6 | SAFE-AKT: Kazakh Image-Text Retrieval via Semantic-Agnostic Feature Enhancement and Adaptive Knowledge Transfer
[ACM] 2025-12-6 | InstructTrack: Language-Guided Multi-Object Tracking with Semantic-Aware Association
[ACM] 2025-12-6 | Dual-Branch Feature Modeling and Multi-Directional Motion Perception for Video Compression
[ACM] 2025-12-6 | Hybrid Mamba-Transformer Model for Lightweight Image Super-Resolution
[ACM] 2025-12-6 | Distortion-Aware Network for Zero-Reference Retinal Image Enhancement
[ACM] 2025-12-6 | Joint Optimization for Image Compression and Deblurring via Blur-Aware Guidance
[ACM] 2025-12-6 | Design of Public Physical Education Curriculum Management System Based on Blockchain Technology
[ACM] 2025-12-5 | Towards Generative and Expressive 3D Facial Animations
[ACM] 2025-12-5 | Animated Transitions for Abstract and Concrete Immersive Visualizations: A Design Space and Experiment
[ACM] 2025-12-5 | The Effect of Avatar Transparency on Collaboration in Shared Virtual Spaces
[ACM] 2025-12-5 | SpatialMouse: A Hybrid Pointing Device for Seamless Interaction Across 2D and 3D Spaces
[ACM] 2025-12-5 | See It and Hear It: Multimodal Guidance in MR-Based Neurosurgical Simulation for Skill Retention
[IEEE] 2025-12-5 | Understanding and Reducing the Risk of Extreme Photovoltaic Degradation_supp1-3627676.docx
[ACM] 2025-12-6 | RABIT: Efficient Range Queries with Bitmap Indexing
[ACM] 2025-12-5 | A Study of Deadzone Structure for Multi-Dimensional Haptic Force Perception
[ACM] 2025-12-5 | Towards On-Device Personalization: Cloud-device Collaborative Data Augmentation for Efficient On-device Language Model
[ACM] 2025-12-5 | Tutorial: Mixed-Criticality Computing with the Quest RTOS and Quest-V Partitioning Hypervisor
[IEEE] 2025-12-5 | Joint Preamble and DSP Design for Burst-Mode Coherent PONs with Enhanced Wavelength Drift Tolerance
[IEEE] 2025-12-5 | Field Trial of High-Sensitivity Forward-Transmission Sensing for Real-World Event Detection over Live Urban Fiber Networks
[IEEE] 2025-12-5 | The interaction of market power and dynamic capabilities in shaping digital transformations success
[IEEE] 2025-12-5 | Speeding up the Iron Losses Calculation using Clustering Technics
[IEEE] 2025-12-5 | Magnetic Properties and Magnetocaloric Performance in a Dy-Pt-In Multiphase Alloy
[IEEE] 2025-12-5 | TFZ: Topology-Preserving Compression of 2D Symmetric and Asymmetric Second-Order Tensor Fields
[IEEE] 2025-12-5 | Lean Healthcare 4.0: Integrating AI, Lean Principles, and Simulation for Laboratory Process Improvement
[IEEE] 2025-12-5 | Position Leakage by Charging Power: Privacy Attacks and Efficient Protection in WRSNs
[IEEE] 2025-12-5 | Distributed Leaderless Attitude Consensus of Multi-Spacecraft Systems With Full-State Constraints Under Switching Directed Graphs
[IEEE] 2025-12-5 | LPATR-Net: Learnable Piecewise Affine Transformation Regression Assisted Data-Driven Dehazing Framework
[IEEE] 2025-12-5 | Multilevel Plug-and-Play Image Restoration
