[2026-03-20 09:28:40] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-19
正在获取论文...
[arXiv] 2026-03-19 | Matryoshka Gaussian Splatting
[arXiv] 2026-03-19 | Interplay between evolutionary and epidemic time scales challenges the outcome of control policies
[arXiv] 2026-03-19 | VesselTok: Tokenizing Vessel-like 3D Biomedical Graph Representations for Reconstruction and Generation
[arXiv] 2026-03-19 | Evolution of the early-type fraction in massive galaxies at $z<2$: how did early-type morphology form?
[arXiv] 2026-03-19 | Angularly-Resolved 3D Foliage Modeling and Measurements at 60 and 80 GHz: From Stochastic Geometry to Deterministic Channel Characterization
[arXiv] 2026-03-19 | ViTac-Tracing: Visual-Tactile Imitation Learning of Deformable Object Tracing
[arXiv] 2026-03-19 | Points-to-3D: Structure-Aware 3D Generation with Point Cloud Priors
[arXiv] 2026-03-19 | SRRM: Improving Recursive Transport Surrogates in the Small-Discrepancy Regime
[arXiv] 2026-03-19 | Physics-grounded Mechanism Design for Spectrum Sharing between Passive and Active Users
[arXiv] 2026-03-19 | Automatic Configuration of LLM Post-Training Pipelines
[arXiv] 2026-03-19 | On single-frequency asymptotics for the Maxwell-Bloch equations: mixed states
[arXiv] 2026-03-19 | Implicit Grading Bias in Large Language Models: How Writing Style Affects Automated Assessment Across Math, Programming, and Essay Tasks
[arXiv] 2026-03-19 | Reverse Mathematics and Dimension of Posets
[arXiv] 2026-03-19 | DA-Mamba: Learning Domain-Aware State Space Model for Global-Local Alignment in Domain Adaptive Object Detection
[arXiv] 2026-03-19 | The red-blue-yellow matching problem
[arXiv] 2026-03-19 | Direct observation of strain and confinement shaping the hole subbands of Ge quantum wells
[arXiv] 2026-03-19 | Automatic detection of Gen-AI texts: A comparative framework of neural models
[arXiv] 2026-03-19 | ROFT-VINS: Robust Feature Tracking-based Visual-Inertial State Estimation for Harsh Environment
[arXiv] 2026-03-19 | The edge of the Milky Way's star-forming disc: Evidence from a 'U-shaped' stellar age profile
[arXiv] 2026-03-19 | Green Architectural Tactics in ML-enabled Systems: An LLM-based Repository Mining Study
[arXiv] 2026-03-19 | Geometric blockade in a quantum dot coupled to two-dimensional and three dimensional electron gases
[arXiv] 2026-03-19 | Comment on "Association between quantum paradoxes based on weak values and a realistic interpretation of quantum measurements"
[arXiv] 2026-03-19 | Correlator of heavy-light quark currents in HQET in the large $β_0$ limit
[arXiv] 2026-03-19 | Origin of Reduced Coercive Field in ScAlN: Synergy of Structural Softening and Dynamic Atomic Correlations
[arXiv] 2026-03-19 | From ex(p) to poly: Gaussian Splatting with Polynomial Kernels
[arXiv] 2026-03-19 | A mathematical framework for time-delay reservoir computing analysis
[arXiv] 2026-03-19 | A more accurate rational non-commutative algorithm for multiplying 4x4 matrices using 48 multiplications
[arXiv] 2026-03-19 | Revisiting Label Inference Attacks in Vertical Federated Learning: Why They Are Vulnerable and How to Defend
[arXiv] 2026-03-19 | On-chip Parametric Amplification in a Double Quantum Dots Circuit
[arXiv] 2026-03-19 | Surface-related white light emission phenomenon in transparent solids
[arXiv] 2026-03-19 | Enhancing Multi-Corpus Training in SSL-Based Anti-Spoofing Models: Domain-Invariant Feature Extraction
[arXiv] 2026-03-19 | QuaQue: Design and SQL Implementation of Condensed Algebra for Concurrent Versioning of Knowledge Graphs
[arXiv] 2026-03-19 | Robust Discrete Pricing Optimization via Multiple-Choice Knapsack Reductions
[arXiv] 2026-03-19 | PhysVideo: Physically Plausible Video Generation with Cross-View Geometry Guidance
[arXiv] 2026-03-19 | Training-Free Sparse Attention for Fast Video Generation via Offline Layer-Wise Sparsity Profiling and Online Bidirectional Co-Clustering
[arXiv] 2026-03-19 | SwiftGS: Episodic Priors for Immediate Satellite Surface Recovery
[arXiv] 2026-03-19 | Reduced-order turbulent flow solver to simulate streamwise periodic fins with iso-thermal walls
[arXiv] 2026-03-19 | Topological superconductivity of a two-dimensional electron gas at the (001) LaAlO\textsubscript{3}/SrTiO\textsubscript{3} interface
[arXiv] 2026-03-19 | Learning to Self-Evolve
[arXiv] 2026-03-19 | Hierarchical Incentives and the Evolution of Local Cooperation in Wartime: A Continuous Strategy Approach
[arXiv] 2026-03-19 | Radiation damping of the soliton internal mode in 1D quadratic Klein-Gordon equation
[arXiv] 2026-03-19 | Improving Joint Audio-Video Generation with Cross-Modal Context Learning
[arXiv] 2026-03-19 | Design and implementation of a high-density sub-nanosecond timing system for a C-band photocathode electron gun test platform
[arXiv] 2026-03-19 | HAViT: Historical Attention Vision Transformer
[arXiv] 2026-03-19 | Model Reference Adaptive Control For Gust Load Allevation of Nonlinear Aeroelastic
[arXiv] 2026-03-19 | Higgs boson decay to massive bottom quarks at order $α_s^4$ induced by top-quark Yukawa couplings
[arXiv] 2026-03-19 | SpecForge: A Flexible and Efficient Open-Source Training Framework for Speculative Decoding
[arXiv] 2026-03-19 | Dark Matter and Strong CP Problem in Type IIA String Theory
[arXiv] 2026-03-19 | End-to-End QGAN-Based Image Synthesis via Neural Noise Encoding and Intensity Calibration
[arXiv] 2026-03-19 | Data-efficient pre-training by scaling synthetic megadocs
[arXiv] 2026-03-19 | When Names Change Verdicts: Intervention Consistency Reveals Systematic Bias in LLM Decision-Making
[arXiv] 2026-03-19 | OnlinePG: Online Open-Vocabulary Panoptic Mapping with 3D Gaussian Splatting
[arXiv] 2026-03-19 | Recovering Sparse Neural Connectivity from Partial Measurements: A Covariance-Based Approach with Granger-Causality Refinement
[arXiv] 2026-03-19 | NymeriaPlus: Enriching Nymeria Dataset with Additional Annotations and Data
[arXiv] 2026-03-19 | FILT3R: Latent State Adaptive Kalman Filter for Streaming 3D Reconstruction
[arXiv] 2026-03-19 | The Effect of Corneal Topography and Mucins on Tear Film Rupture
[arXiv] 2026-03-19 | EntropyCache: Decoded Token Entropy Guided KV Caching for Diffusion Language Models
[arXiv] 2026-03-19 | TexEditor: Structure-Preserving Text-Driven Texture Editing
[arXiv] 2026-03-19 | There are many 5-holes
[arXiv] 2026-03-19 | The Truncation Blind Spot: How Decoding Strategies Systematically Exclude Human-Like Token Choices
[arXiv] 2026-03-19 | CyberJustice Tutor: An Agentic AI Framework for Cybersecurity Learning via Think-Plan-Act Reasoning and Pedagogical Scaffolding
[arXiv] 2026-03-19 | AcceRL: A Distributed Asynchronous Reinforcement Learning and World Model Framework for Vision-Language-Action Models
[arXiv] 2026-03-19 | Simulating Quantum Error Correction beyond Pauli Stochastic Errors
[arXiv] 2026-03-19 | UT-ACA: Uncertainty-Triggered Adaptive Context Allocation for Long-Context Inference
[arXiv] 2026-03-19 | The influence of hypothetical exomoons on planetary thermal phase curves
[arXiv] 2026-03-19 | AS2 -- Attention-Based Soft Answer Sets: An End-to-End Differentiable Neuro-Soft-Symbolic Reasoning Architecture
[arXiv] 2026-03-19 | Halfway between Heaven and Hell
[arXiv] 2026-03-19 | MLOW: Interpretable Low-Rank Frequency Magnitude Decomposition of Multiple Effects for Time Series Forecasting
[arXiv] 2026-03-19 | AndroTMem: From Interaction Trajectories to Anchored Memory in Long-Horizon GUI Agents
[arXiv] 2026-03-19 | R&D: Balancing Reliability and Diversity in Synthetic Data Augmentation for Semantic Segmentation
[arXiv] 2026-03-19 | The Spillover Effects of Peer AI Rinsing on Corporate Green Innovation
[arXiv] 2026-03-19 | Graph-of-Constraints Model Predictive Control for Reactive Multi-agent Task and Motion Planning
[arXiv] 2026-03-19 | Accelerated Rydberg-EIT quantum memory via shortcuts to adiabaticity
[arXiv] 2026-03-19 | FlowMS: Flow Matching for De Novo Structure Elucidation from Mass Spectra
[arXiv] 2026-03-19 | RE-SAC: Disentangling aleatoric and epistemic risks in bus fleet control: A stable and robust ensemble DRL approach
[arXiv] 2026-03-19 | Where are the Hidden Gems? Applying Transformer Models for Design Discussion Detection
[arXiv] 2026-03-19 | Progressive Integrality Outer-Inner Approximation for AC Unit Commitment with Conic Formulation
[arXiv] 2026-03-19 | Multiparameter quantum estimation and Stirling Engine Performance in a Gravitational Cat State System
[arXiv] 2026-03-19 | Non-Hermitian Structure and Exceptional Points in Yang-Mills Theory from Analytic Continuation of Nc
[arXiv] 2026-03-19 | Uniqueness and locality of the ground state of the disordered Monomer-Dimer models on independently weighted Unimodular Bienaymé-Galton-Watson trees
[arXiv] 2026-03-19 | RADIUS: Ranking, Distribution, and Significance - A Comprehensive Alignment Suite for Survey Simulation
[arXiv] 2026-03-19 | Regret Bounds for Competitive Resource Allocation with Endogenous Costs
[arXiv] 2026-03-19 | A Sub-electron-noise Skipper-CCD Readout ASIC with Improved Channel-to-channel Isolation and an Integrated Cryogenic Voltage Reference
[arXiv] 2026-03-19 | Meanings and Measurements: Multi-Agent Probabilistic Grounding for Vision-Language Navigation
[arXiv] 2026-03-19 | An automata-based test for bricks over string algebras
[arXiv] 2026-03-19 | Proceedings of the 2nd Workshop on Advancing Artificial Intelligence through Theory of Mind
[arXiv] 2026-03-19 | $S^3$ partition functions and Equivariant CY$_4 $/ CY$_3$ correspondence from Quantum curves
[arXiv] 2026-03-19 | XCOM: Full Mesh Network Synchronization and Low-Latency Communication for QICK (Quantum Instrumentation Control Kit)
[arXiv] 2026-03-19 | Longitudinal Nonreciprocal Charge Transport with Time Reversal Symmetry
[arXiv] 2026-03-19 | Rotation-triggered Kelvin-Helmholtz and counter-superflow instabilities in a three-component Bose-Einstein condensate
[arXiv] 2026-03-19 | Complexity bounds on neural networks for the solution of structured linear systems of equations
[arXiv] 2026-03-19 | GWTC-4.0: Tests of General Relativity. I. Overview and General Tests
[arXiv] 2026-03-19 | Best-of-Both-Worlds Multi-Dueling Bandits: Unified Algorithms for Stochastic and Adversarial Preferences under Condorcet and Borda Objectives
[arXiv] 2026-03-19 | Ontology-Guided Diffusion for Zero-Shot Visual Sim2Real Transfer
[arXiv] 2026-03-19 | Spatially Indirect Exciton Condensation in Two-Dimensional Strongly Correlated Semimetals
[arXiv] 2026-03-19 | On the Finsler variational nature of autoparallels in metric-affine geometry
[arXiv] 2026-03-19 | Hadronic screening masses in thermal QCD up to the electroweak scale
[arXiv] 2026-03-19 | A Theoretical Comparison of No-U-Turn Sampler Variants: Necessary and Su?cient Convergence Conditions and Mixing Time Analysis under Gaussian Targets
[arXiv] 2026-03-19 | Holey Hyperbolic Polyforms
[arXiv] 2026-03-19 | Secure Cell-Free Massive MIMO ISAC Systems: Joint AP Selection and Power Allocation Against Eavesdropping
[arXiv] 2026-03-19 | Single-particle strength toward N = 32: Spectroscopy of 51 Ca via the 50 Ca(d, p) reaction
[arXiv] 2026-03-19 | Robust mean-field games under entropy-based uncertainty
[arXiv] 2026-03-19 | Agentic Flow Steering and Parallel Rollout Search for Spatially Grounded Text-to-Image Generation
[arXiv] 2026-03-19 | GEAR: Geography-knowledge Enhanced Analog Recognition Framework in Extreme Environments
[arXiv] 2026-03-19 | REST: Receding Horizon Explorative Steiner Tree for Zero-Shot Object-Goal Navigation
[arXiv] 2026-03-19 | Periodicity and Rotation Number for Random Circle Homeomorphisms
[arXiv] 2026-03-19 | AutORAN: LLM-driven Natural Language Programming for Agile xApp Development
[arXiv] 2026-03-19 | Complementary Text-Guided Attention for Zero-Shot Adversarial Robustness
[arXiv] 2026-03-19 | Elastic Weight Consolidation Done Right for Continual Learning
[arXiv] 2026-03-19 | Language Model Maps for Prompt-Response Distributions via Log-Likelihood Vectors
[arXiv] 2026-03-19 | Distribution of fidelity zeros in two-band topological models
[arXiv] 2026-03-19 | Benchmarking Visual Feature Representations for LiDAR-Inertial-Visual Odometry Under Challenging Conditions
[arXiv] 2026-03-19 | AU Codes, Language, and Synthesis: Translating Anatomy to Text for Facial Behavior Synthesis
[arXiv] 2026-03-19 | Subleading soft dressings for QED scattering states
[arXiv] 2026-03-19 | Breaking Hard Isomorphism Benchmarks with DRESS
[arXiv] 2026-03-19 | ICE: Intervention-Consistent Explanation Evaluation with Statistical Grounding for LLMs
[arXiv] 2026-03-19 | Dream the Dream: Futuring Communication between LGBTQ+ and Cisgender Groups in Metaverse
[arXiv] 2026-03-19 | Attack by Unlearning: Unlearning-Induced Adversarial Attacks on Graph Neural Networks
[arXiv] 2026-03-19 | Transformers Learn Robust In-Context Regression under Distributional Uncertainty
[arXiv] 2026-03-19 | Reasonably reasoning AI agents can avoid game-theoretic failures in zero-shot, provably
[arXiv] 2026-03-19 | Scalarization of charged Taub-NUT black hole and the entropy bound
[arXiv] 2026-03-19 | High-threshold magic state distillation with quantum quadratic residue codes
[arXiv] 2026-03-19 | HiMu: Hierarchical Multimodal Frame Selection for Long Video Question Answering
[arXiv] 2026-03-19 | On the origin of non-Arrhenius behavior of grain growth
[arXiv] 2026-03-19 | Borsuk-Ulam type theorem for Stiefel manifolds and orthogonal mass partitions
[arXiv] 2026-03-19 | Quantifying Memory Cells Vulnerability for DRAM Security
[arXiv] 2026-03-19 | Measuring ESG Risk in Supply Networks
[arXiv] 2026-03-19 | Remedying Target-Domain Astigmatism for Cross-Domain Few-Shot Object Detection
[arXiv] 2026-03-19 | Beyond Passive Aggregation: Active Auditing and Topology-Aware Defense in Decentralized Federated Learning
[arXiv] 2026-03-19 | Rethink Web Service Resilience in Space: A Radiation-Aware and Sustainable Transmission Solution
[arXiv] 2026-03-19 | Wind accretion onto planets orbiting an evolving Solar-like star and their detectability
[arXiv] 2026-03-19 | 3DreamBooth: High-Fidelity 3D Subject-Driven Video Generation Model
[arXiv] 2026-03-19 | Emission-line Variable Active Galactic Nuclei at Cosmic Noon from HETDEX
[arXiv] 2026-03-19 | Gravitational Wave-Induced Scrambling Delay in SYK Wormhole Teleportation
[arXiv] 2026-03-19 | Expert Personas Improve LLM Alignment but Damage Accuracy: Bootstrapping Intent-Based Persona Routing with PRISM
[arXiv] 2026-03-19 | One-week optical observations of pulsed emission from the Crab pulsar with IMONY on the 3.8 m Seimei telescope
[arXiv] 2026-03-19 | Cross-Domain Demo-to-Code via Neurosymbolic Counterfactual Reasoning
[arXiv] 2026-03-19 | Phase Transitions in a Modified Ising Spin Glass Model: A Tensor-Network-based Sampling Approach
[arXiv] 2026-03-19 | GAIN: A Benchmark for Goal-Aligned Decision-Making of Large Language Models under Imperfect Norms
[arXiv] 2026-03-19 | Recolour What Matters: Region-Aware Colour Editing via Token-Level Diffusion
[arXiv] 2026-03-19 | Impact of Differentials in SIMON32 Algorithm for Lightweight Security of Internet of Things
[arXiv] 2026-03-19 | Pólya Thresholds Graphs
[arXiv] 2026-03-19 | Generalizations of Backup Control Barrier Functions: Expansion and Adaptation for Input-Bounded Safety-Critical Control
[arXiv] 2026-03-19 | CNT: Safety-oriented Function Reuse across LLMs via Cross-Model Neuron Transfer
[arXiv] 2026-03-19 | Topological Obstructions to the Existence of Control Barrier Functions
[arXiv] 2026-03-19 | Self-Tuning Sparse Attention: Multi-Fidelity Hyperparameter Optimization for Transformer Acceleration
[arXiv] 2026-03-19 | Pixel-Accurate Epipolar Guided Matching
[arXiv] 2026-03-19 | Weighted Time Averages and Weak Convergence to Equilibrium in Quantum Integrable Systems
[arXiv] 2026-03-19 | Probing the Color-Octet Mechanism via Dihadron Fragmentation in $χ_b$ Decays
[arXiv] 2026-03-19 | DriftGuard: Mitigating Asynchronous Data Drift in Federated Learning
[arXiv] 2026-03-19 | Through the Looking-Glass: AI-Mediated Video Communication Reduces Interpersonal Trust and Confidence in Judgments
[arXiv] 2026-03-19 | Data-driven construction of machine-learning-based interatomic potentials for gas-surface scattering dynamics: the case of NO on graphite
[arXiv] 2026-03-19 | Matter radii from interaction cross sections using microscopic nuclear densities
[arXiv] 2026-03-19 | RewardFlow: Topology-Aware Reward Propagation on State Graphs for Agentic RL with Large Language Models
[arXiv] 2026-03-19 | PAPR-Aware Waveform Design for Energy-Efficient MIMO-OFDM SWIPT
[arXiv] 2026-03-19 | HORNet: Task-Guided Frame Selection for Video Question Answering with Vision-Language Models
[arXiv] 2026-03-19 | Decorated Local Systems and Character Varieties
[arXiv] 2026-03-19 | Robust Beamforming for Practical RIS-Aided RSMA Systems with Imperfect SIC under Transceiver Hardware Impairments
[arXiv] 2026-03-19 | A Model Ensemble-Based Post-Processing Framework for Fairness-Aware Prediction
[arXiv] 2026-03-19 | Agent Control Protocol: Admission Control for Agent Actions
[arXiv] 2026-03-19 | Detecting Basic Values in A Noisy Russian Social Media Text Data: A Multi-Stage Classification Framework
[arXiv] 2026-03-19 | Extreme value statistics and some applications in statistical physics
[arXiv] 2026-03-19 | The Legend of Masaki Kashiwara and Algebraic Analysis
[arXiv] 2026-03-19 | Rethinking Uncertainty Quantification and Entanglement in Image Segmentation
[arXiv] 2026-03-19 | Phonon Band Center: A Robust Descriptor to Capture Anharmonicity
[arXiv] 2026-03-19 | Enhancing the Parameterization of Reservoir Properties for Data Assimilation Using Deep VAE-GAN
[arXiv] 2026-03-19 | ProCal: Probability Calibration for Neighborhood-Guided Source-Free Domain Adaptation
[arXiv] 2026-03-19 | Quantum confinement in semiconductor random alloys: a case study on Si/SiGe/Si
[arXiv] 2026-03-19 | A stray light analysis for SO/PHI-HRT and an updated comparison of the inferred magnetic field with SDO/HMI
[arXiv] 2026-03-19 | Memento-Skills: Let Agents Design Agents
[arXiv] 2026-03-19 | 6Bit-Diffusion: Inference-Time Mixed-Precision Quantization for Video Diffusion Models
[arXiv] 2026-03-19 | Spatial resolution improvement of PICOSEC Micromegas precise timing detectors
[arXiv] 2026-03-19 | Reconstructions of Single Pixel X-Ray Transforms with Applications in Nuclear-Disarmament Verification
[arXiv] 2026-03-19 | Non-linear in-band interference cancellation on base of conjugate gradients method
[arXiv] 2026-03-19 | Bass numbers of local cohomology modules at the first and last non-vanishing levels
[arXiv] 2026-03-19 | A Hybrid Physical--Digital Framework for Annotated Fracture Reduction Data Evaluated using Clinically Relevant 3D metrics
[arXiv] 2026-03-19 | Holter-to-Sleep: AI-Enabled Repurposing of Single-Lead ECG for Sleep Phenotyping
[arXiv] 2026-03-19 | Accurate and Efficient Multi-Channel Time Series Forecasting via Sparse Attention Mechanism
[arXiv] 2026-03-19 | Cohomology of dilute Temperley--Lieb algebras
[arXiv] 2026-03-19 | Assessing performance tradeoffs in hierarchical organizations using a diffusive coupling model
[arXiv] 2026-03-19 | High-Performance Portable GPU Primitives for Arbitrary Types and Operators in Julia
[arXiv] 2026-03-19 | TurboMem: High-Performance Lock-Free Memory Pool with Transparent Huge Page Auto-Merging for DPDK
[arXiv] 2026-03-19 | A note on compact almost Yamabe solitons
[arXiv] 2026-03-19 | Weak Localization and Magnetoconductance in Percolative Superconducting Aluminum Films
[arXiv] 2026-03-19 | Thinking with Constructions: A Benchmark and Policy Optimization for Visual-Text Interleaved Geometric Reasoning
[arXiv] 2026-03-19 | Mean-field control barrier functions for stochastic multi-agent systems
[arXiv] 2026-03-19 | Click-to-Ask: An AI Live Streaming Assistant with Offline Copywriting and Online Interactive QA
[arXiv] 2026-03-19 | Birkhoff normal forms, Dirac brackets and symplectic reduction
[arXiv] 2026-03-19 | Beyond TVLA: Anderson-Darling Leakage Assessment for Neural Network Side-Channel Leakage Detection
[arXiv] 2026-03-19 | Dust, gas activity and morphology of comet 12P/Pons-Brooks at heliocentric distances beyond 1.1 au
[arXiv] 2026-03-19 | The Geometry of Polycons and a Counterexample to Wachspress' Conjecture
[arXiv] 2026-03-19 | TiBCLaG: A Trigger-induced Bistable Compliant Laparoscopic Grasper
[arXiv] 2026-03-19 | A Warm Massive Pair of Planets around TOI-1232 Revealed with Transit-timing Variations and Doppler Spectroscopy
[arXiv] 2026-03-19 | $\mathrm{PGL}(3)$-invariant integrable systems from factorisation of linear differential and difference operators
[arXiv] 2026-03-19 | Optimal strategies for controlled growth in metastable Kawasaki dynamics
[arXiv] 2026-03-19 | Duality of generalized Maxwell theories as an equivalence in derived geometry
[arXiv] 2026-03-19 | Weaver: Fuzzing JavaScript Engines at the JavaScript-WebAssembly Boundary
[arXiv] 2026-03-19 | Schrödinger Bridges via the Hacking of Bayesian Priors in Classical and Quantum Regimes
[arXiv] 2026-03-19 | UGC 2369S: a Kpc Scale Triple Merger Candidate Identified in a Nearby Luminous Infrared Galaxy
[arXiv] 2026-03-19 | Robotic Agentic Platform for Intelligent Electric Vehicle Disassembly
[arXiv] 2026-03-19 | A bilinear inverse problem with forward operator inaccuracy applied to neonatal atlas-based diffuse optical tomography
[arXiv] 2026-03-19 | Joint ergodicity - 40 years on
[arXiv] 2026-03-19 | HECATEv2: An all-sky galaxy catalogue for multimessenger astrophysics
[arXiv] 2026-03-19 | Observational Signatures of Rotating Ayón-Beato-García Black Holes: Shadows, Accretion Disks and Images
[arXiv] 2026-03-19 | Deterministic nucleation of nanocrystal superlattices on 2D perovskites for light-funneling heterostructures
[arXiv] 2026-03-19 | Transverse spin effects and light-quark dipole moments at colliders
[arXiv] 2026-03-19 | Unified Taxonomy for Multivariate Time Series Anomaly Detection using Deep Learning
[arXiv] 2026-03-19 | Scale-Dependent Emergence of Hindered Diffusion in the Brain Extracellular Space
[arXiv] 2026-03-19 | On the Duality of Coverings in Hilbert Geometry
[arXiv] 2026-03-19 | Quantum and classical approaches to the optimization of highway platooning: the two-vehicle matching problem
[arXiv] 2026-03-19 | Agentic Business Process Management: A Research Manifesto
[arXiv] 2026-03-19 | Geometric Dynamics of Turbulence
[arXiv] 2026-03-19 | Measurement of the $\mathbf{B^0}$-meson production cross section in proton--proton collisions at $\mathbf{\sqrt{\textit{s}}=13.6}$ TeV
[arXiv] 2026-03-19 | Variations in the 6.2 $μ$m polycyclic aromatic hydrocarbon band in Active Galactic Nuclei- and Starburst-dominated galaxies
