[2026-02-04 09:31:02] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-03
正在获取论文...
[arXiv] 2026-02-03 | Mići Princ -- A Little Boy Teaching Speech Technologies the Chakavian Dialect
[arXiv] 2026-02-03 | Clarify Before You Draw: Proactive Agents for Robust Text-to-CAD Generation
[arXiv] 2026-02-03 | Plasmonic Spin Meron Lattices with Height-Sensitive Topology Evolution
[arXiv] 2026-02-03 | Special Lagrangians and Bridgeland stable objects beyond geometric stability conditions: the product case
[arXiv] 2026-02-03 | Device variability of Josephson junctions induced by interface roughness
[arXiv] 2026-02-03 | LatentMem: Customizing Latent Memory for Multi-Agent Systems
[arXiv] 2026-02-03 | From Grism to IFU: Revising the Redshift and Nature of the Massive Dusty Galaxy S1 with JWST and ALMA
[arXiv] 2026-02-03 | Visual Reasoning over Time Series via Multi-Agent System
[arXiv] 2026-02-03 | Consistency Deep Equilibrium Models
[arXiv] 2026-02-03 | Subaru/HSC NB395 view of NGC 5466: metallicity, mass function, and the nature of its tidal stream
[arXiv] 2026-02-03 | Thinking inside the Convolution for Image Inpainting: Reconstructing Texture via Structure under Global and Local Side
[arXiv] 2026-02-03 | Ultralow radiative heat flux by Anderson localization in quasiperiodic plasmonic chains
[arXiv] 2026-02-03 | Causal Graph Spatial-Temporal Autoencoder for Reliable and Interpretable Process Monitoring
[arXiv] 2026-02-03 | Tri-Hybrid Holographic Beamforming for Integrated Sensing and Communication
[arXiv] 2026-02-03 | SharpTimeGS: Sharp and Stable Dynamic Gaussian Splatting via Lifespan Modulation
[arXiv] 2026-02-03 | NLI:Non-uniform Linear Interpolation Approximation of Nonlinear Operations for Efficient LLMs Inference
[arXiv] 2026-02-03 | Large-Scale LLM Inference with Heterogeneous Workloads: Prefill-Decode Contention and Asymptotically Optimal Control
[arXiv] 2026-02-03 | Fisher-Information-Based Sensor Placement for Structural Digital Twins: Analytic Results and Benchmarks
[arXiv] 2026-02-03 | Where Norms and References Collide: Evaluating LLMs on Normative Reasoning
[arXiv] 2026-02-03 | SceneLinker: Compositional 3D Scene Generation via Semantic Scene Graph from RGB Sequences
[arXiv] 2026-02-03 | TRACE: Temporal Radiology with Anatomical Change Explanation for Grounded X-ray Report Generation
[arXiv] 2026-02-03 | The index of a certain quotient of the Hecke algebra in its normalization
[arXiv] 2026-02-03 | Nüwa: Mending the Spatial Integrity Torn by VLM Token Pruning
[arXiv] 2026-02-03 | 3D-Learning: Diffusion-Augmented Distributionally Robust Decision-Focused Learning
[arXiv] 2026-02-03 | Efficient Three-Dimensional Sub-Doppler Cooling of $^{40}$Ca$^+$ in a Penning Trap
[arXiv] 2026-02-03 | Equal Access, Unequal Interaction: A Counterfactual Audit of LLM Fairness
[arXiv] 2026-02-03 | Quantum Christoffel Nonlinear Magnetization
[arXiv] 2026-02-03 | Efficient Algorithms for Partial Constraint Satisfaction Problems over Control-flow Graphs
[arXiv] 2026-02-03 | Stability of the weak Haagerup property under graph products
[arXiv] 2026-02-03 | Unconventional superconductivity from lattice quantum disorder
[arXiv] 2026-02-03 | The compressible Euler system with damping in hybrid Besov spaces: global well-posedness and relaxation limit
[arXiv] 2026-02-03 | Stability of Haagerup property under graph product
[arXiv] 2026-02-03 | Post-impulsive millimeter emission of the 2022-05-04 solar flare
[arXiv] 2026-02-03 | EarResp-ANS : Audio-Based On-Device Respiration Rate Estimation on Earphones with Adaptive Noise Suppression
[arXiv] 2026-02-03 | Sequential Linear Contracts on Matroids
[arXiv] 2026-02-03 | Constrained Dynamic Gaussian Splatting
[arXiv] 2026-02-03 | MatGPTQ: Accurate and Efficient Post-Training Matryoshka Quantization
[arXiv] 2026-02-03 | D3PIA: A Discrete Denoising Diffusion Model for Piano Accompaniment Generation From Lead sheet
[arXiv] 2026-02-03 | QRC-Lab: An Educational Toolbox for Quantum Reservoir Computing
[arXiv] 2026-02-03 | Learning to Reason Faithfully through Step-Level Faithfulness Maximization
[arXiv] 2026-02-03 | Reparameterization Flow Policy Optimization
[arXiv] 2026-02-03 | Least but not Last: Fine-tuning Intermediate Principal Components for Better Performance-Forgetting Trade-Offs
[arXiv] 2026-02-03 | Detecting and Explaining Malware Family Evolution Using Rule-Based Drift Analysis
[arXiv] 2026-02-03 | When Routing Collapses: On the Degenerate Convergence of LLM Routers
[arXiv] 2026-02-03 | Design of a 60.8 K superconducting hydride LiMgZr2H12 at ambient pressure via Lithium doping
[arXiv] 2026-02-03 | Reading Between the Code Lines: On the Use of Self-Admitted Technical Debt for Security Analysis
[arXiv] 2026-02-03 | RAL-Bench: Benchmarking for Application-Level Functional Correctness and Non-Functional Quality Attributes
[arXiv] 2026-02-03 | Hydrodynamic simulations of expanded warm dense foil heated by pulsed-power
[arXiv] 2026-02-03 | Hierarchical Concept-to-Appearance Guidance for Multi-Subject Image Generation
[arXiv] 2026-02-03 | Accelerated Electromagnetic Simulation of MRI RF Interactions with Graphene Microtransistor-Based Neural Probes for Electrophysiology-fMRI Integration
[arXiv] 2026-02-03 | DiscoverLLM: From Executing Intents to Discovering Them
[arXiv] 2026-02-03 | On singular Galerkin discretizations for three models in high-frequency scattering
[arXiv] 2026-02-03 | Towards Distillation-Resistant Large Language Models: An Information-Theoretic Perspective
[arXiv] 2026-02-03 | From Vicious to Virtuous Cycles: Synergistic Representation Learning for Unsupervised Video Object-Centric Learning
[arXiv] 2026-02-03 | Chain-of-Goals Hierarchical Policy for Long-Horizon Offline Goal-Conditioned RL
[arXiv] 2026-02-03 | An Approximate Ascent Approach To Prove Convergence of PPO
[arXiv] 2026-02-03 | Dynamic Programming for Epistemic Uncertainty in Markov Decision Processes
[arXiv] 2026-02-03 | PlanTRansformer: Unified Prediction and Planning with Goal-conditioned Transformer
[arXiv] 2026-02-03 | Multi-Resolution Alignment for Voxel Sparsity in Camera-Based 3D Semantic Scene Completion
[arXiv] 2026-02-03 | Pursuing Best Industrial Practices for Retrieval-Augmented Generation in the Medical Domain
[arXiv] 2026-02-03 | Novel exact black hole solution in Dehnen $\left(1,4,\frac32\right)$ halo thermodynamics, photon circular motion and eikonal quasinormal modes
[arXiv] 2026-02-03 | Beyond Exposure: Optimizing Ranking Fairness with Non-linear Time-Income Functions
[arXiv] 2026-02-03 | MARADONER: Motif Activity Response Analysis Done Right
[arXiv] 2026-02-03 | MentalSeek-Dx: Towards Progressive Hypothetico-Deductive Reasoning for Real-world Psychiatric Diagnosis
[arXiv] 2026-02-03 | Synthetic topological device for advancing elastic energy harvesting
[arXiv] 2026-02-03 | $L^2$-Dolbeault resolutions and Nadel vanishing on weakly pseudoconvex complex spaces with singular Hermitian metrics
[arXiv] 2026-02-03 | Thermal conductivity in noncollinear magnets
[arXiv] 2026-02-03 | A Novel approach to portfolio construction
[arXiv] 2026-02-03 | Weighted finite difference methods for a nonlinear Klein--Gordon equation with high oscillations in space and time
[arXiv] 2026-02-03 | Emergence and co-existence of periodic and unstructured motion in future-avoiding random walks
[arXiv] 2026-02-03 | GRAM: Spatial general-purpose audio representations for real-world environments
[arXiv] 2026-02-03 | medR: Reward Engineering for Clinical Offline Reinforcement Learning via Tri-Drive Potential Functions
[arXiv] 2026-02-03 | Uniformity of extremal graph-codes
[arXiv] 2026-02-03 | Anomaly Detection via Mean Shift Density Enhancement
[arXiv] 2026-02-03 | A3-TTA: Adaptive Anchor Alignment Test-Time Adaptation for Image Segmentation
[arXiv] 2026-02-03 | A Pipeline for ADNI Resting-State Functional MRI Processing and Quality Control
[arXiv] 2026-02-03 | BlockRR: A Unified Framework of RR-type Algorithms for Label Differential Privacy
[arXiv] 2026-02-03 | Computational Tools in EN-MME: Implicit and Explicit Finite-Element Simulations
[arXiv] 2026-02-03 | The Mutual-Visibility Problem In Directed Graphs
[arXiv] 2026-02-03 | Link Fraction Mixed Membership Reveals Community Diversity in Aggregated Social Networks
[arXiv] 2026-02-03 | Beyond Suffixes: Token Position in GCG Adversarial Attacks on Large Language Models
[arXiv] 2026-02-03 | Collision Detection with Analytical Derivatives of Contact Kinematics
[arXiv] 2026-02-03 | Investigating Quantum Circuit Designs Using Neuro-Evolution
[arXiv] 2026-02-03 | Distributed Roughness-Induced Transition on a Blunt Body at Mach 6: a Numerical Investigation
[arXiv] 2026-02-03 | On the Summability Problem of Multivariate Rational Functions in the Mixed Case
[arXiv] 2026-02-03 | Classification of noncommutative central conics
[arXiv] 2026-02-03 | PLATE: Plasticity-Tunable Efficient Adapters for Geometry-Aware Continual Learning
[arXiv] 2026-02-03 | Cosmological Correlator Discontinuities from Scattering Amplitudes
[arXiv] 2026-02-03 | Understanding and Exploiting Weight Update Sparsity for Communication-Efficient Distributed RL
[arXiv] 2026-02-03 | Perfect Network Resilience in Polynomial Time
[arXiv] 2026-02-03 | Continuous Control of Editing Models via Adaptive-Origin Guidance
[arXiv] 2026-02-03 | Preference-based Conditional Treatment Effects and Policy Learning
[arXiv] 2026-02-03 | On the Quantization-Dequantization Correspondence for (co)Poisson Hopf Algebras
[arXiv] 2026-02-03 | Bridging Online and Offline RL: Contextual Bandit Learning for Multi-Turn Code Generation
[arXiv] 2026-02-03 | Prediction of Critical Heat Flux in Rod Bundles Using Tube-Based Hybrid Machine Learning Models in CTF
[arXiv] 2026-02-03 | Origin of mixed anisotropy in crystalline Permalloy and amorphous Cobalt thin films individually deposited on Si substrate
[arXiv] 2026-02-03 | Computing submodules of points of general Drinfeld modules over finite fields
[arXiv] 2026-02-03 | Digital-Twin Empowered Deep Reinforcement Learning For Site-Specific Radio Resource Management in NextG Wireless Aerial Corridor
[arXiv] 2026-02-03 | Conformal Reachability for Safe Control in Unknown Environments
[arXiv] 2026-02-03 | FullStack-Agent: Enhancing Agentic Full-Stack Web Coding via Development-Oriented Testing and Repository Back-Translation
[arXiv] 2026-02-03 | Manifold Random Features
[arXiv] 2026-02-03 | Generative AI for Enzyme Design and Biocatalysis
[arXiv] 2026-02-03 | DiffLOB: Diffusion Models for Counterfactual Generation in Limit Order Books
[arXiv] 2026-02-03 | Reasoning Cache: Continual Improvement Over Long Horizons via Short-Horizon RL
[arXiv] 2026-02-03 | See-through: Single-image Layer Decomposition for Anime Characters
[arXiv] 2026-02-03 | A combinatorial approach to the stronger Central Sets Theorem for semigroups
[arXiv] 2026-02-03 | Efficient Variance-reduced Estimation from Generative EHR Models: The SCOPE and REACH Estimators
[arXiv] 2026-02-03 | Spectral gap for Pollicott-Ruelle resonances on random coverings of Anosov surfaces
[arXiv] 2026-02-03 | SWE-Refactor: A Repository-Level Benchmark for Real-World LLM-Based Code Refactoring
[arXiv] 2026-02-03 | VR-VFL: Joint Rate and Client Selection for Vehicular Federated Learning Under Imperfect CSI
[arXiv] 2026-02-03 | No Shortcuts to Culture: Indonesian Multi-hop Question Answering for Complex Cultural Understanding
[arXiv] 2026-02-03 | Universal Characterization of Quantum Vacuum Measurement Engines
[arXiv] 2026-02-03 | A Formal Analysis of Capacity Scaling Algorithms for Minimum-Cost Flows
[arXiv] 2026-02-03 | Constraining cosmological simulations with peculiar velocities: a forward-modeling approach
[arXiv] 2026-02-03 | Data-Driven Graph Filters via Adaptive Spectral Shaping
[arXiv] 2026-02-03 | Input-to-State Safe Backstepping: Robust Safety-Critical Control with Unmatched Uncertainties
[arXiv] 2026-02-03 | Universal One-third Time Scaling in Learning Peaked Distributions
[arXiv] 2026-02-03 | ContraLog: Log File Anomaly Detection with Contrastive Learning and Masked Language Modeling
[arXiv] 2026-02-03 | Instruction Anchors: Dissecting the Causal Dynamics of Modality Arbitration
[arXiv] 2026-02-03 | Mitigating Conversational Inertia in Multi-Turn Agents
[arXiv] 2026-02-03 | Dirac Observables for Gowdy Cosmologies regular at the Big Bang
[arXiv] 2026-02-03 | Probing Direct $CP$ Violation in $Λ_b^0 \to P_c^+ h^-$ $(h=π,K)$ with Final-State Rescattering
[arXiv] 2026-02-03 | Recent advances in Brill--Noether theory and the geometry of Brill--Noether curves
[arXiv] 2026-02-03 | Resolving Quantum Criticality in the Honeycomb Hubbard Model
[arXiv] 2026-02-03 | RAGTurk: Best Practices for Retrieval Augmented Generation in Turkish
[arXiv] 2026-02-03 | Broadband infrared spectroscopy of methanol isotopologues in pure, H2O-rich, and CO-rich ice analogues
[arXiv] 2026-02-03 | Search-R2: Enhancing Search-Integrated Reasoning via Actor-Refiner Collaboration
[arXiv] 2026-02-03 | The largest prime factor of an irreducible cubic polynomial
[arXiv] 2026-02-03 | Light-Curve and Spectral Properties of Type II Supernovae from the ATLAS survey
[arXiv] 2026-02-03 | Probing quantum geometric nonlinear magnetization via second-harmonic magneto-optical Kerr effect
[arXiv] 2026-02-03 | TRE: Encouraging Exploration in the Trust Region
[arXiv] 2026-02-03 | SPWOOD: Sparse Partial Weakly-Supervised Oriented Object Detection
[arXiv] 2026-02-03 | CALM: A Self-Adaptive Orchestration Approach for QoS-Aware Routing in Small Language Model based Systems
[arXiv] 2026-02-03 | A case for Case A: detailed look at binary black hole formation through stable mass transfer
[arXiv] 2026-02-03 | Multi-Objective Optimization for Synthetic-to-Real Style Transfer
[arXiv] 2026-02-03 | Quasi-multimodal-based pathophysiological feature learning for retinal disease diagnosis
[arXiv] 2026-02-03 | Learning Query-Specific Rubrics from Human Preferences for DeepResearch Report Generation
[arXiv] 2026-02-03 | Optimal Effective Hamiltonian for Quantum Computing and Simulation
[arXiv] 2026-02-03 | On the Influence of Pluto on Twotino Dynamics Through Their Mutual 4:3 Mean Motion Resonance
[arXiv] 2026-02-03 | Simulation-Based Inference via Regression Projection and Batched Discrepancies
[arXiv] 2026-02-03 | Explanations Leak: Membership Inference with Differential Privacy and Active Learning Defense
[arXiv] 2026-02-03 | Scalable non-separable spatio-temporal Gaussian process models for large-scale short-term weather prediction
[arXiv] 2026-02-03 | Sleep or Transmit: Dual-Mode Energy-Efficient Design for NOMA-Enabled Backscatter Networks
[arXiv] 2026-02-03 | Bekenstein's bound for wave packets
[arXiv] 2026-02-03 | Evidence for Many-Body States in NiPS$_3$ Revealed by Angle-Resolved Photoelectron Spectroscopy
[arXiv] 2026-02-03 | Narrow absorption lines from intervening material in supernovae: III. Supernovae and their environments
[arXiv] 2026-02-03 | Fast-MWEM: Private Data Release in Sublinear Time
[arXiv] 2026-02-03 | Anti-Critical Quantum Metrology
[arXiv] 2026-02-03 | Enhancing Quantum Diffusion Models for Complex Image Generation
[arXiv] 2026-02-03 | The Personality Trap: How LLMs Embed Bias When Generating Human-Like Personas
[arXiv] 2026-02-03 | WST-X Series: Wavelet Scattering Transform for Interpretable Speech Deepfake Detection
[arXiv] 2026-02-03 | EventNeuS: 3D Mesh Reconstruction from a Single Event Camera
[arXiv] 2026-02-03 | Parallel-Probe: Towards Efficient Parallel Thinking via 2D Probing
[arXiv] 2026-02-03 | Tracking stall cell dynamics at high Reynolds numbers
[arXiv] 2026-02-03 | Exploring Higgs EFT in $t\bar{t}hh$ at High Luminosity LHC
[arXiv] 2026-02-03 | PrevizWhiz: Combining Rough 3D Scenes and 2D Video to Guide Generative Video Previsualization
[arXiv] 2026-02-03 | An Open Database of Lunar Regolith and Simulants Properties
[arXiv] 2026-02-03 | Robust Intervention Learning from Emergency Stop Interventions
[arXiv] 2026-02-03 | Features of clustering in a supersonic argon jet when using a conical nozzle
[arXiv] 2026-02-03 | SymPlex: A Structure-Aware Transformer for Symbolic PDE Solving
[arXiv] 2026-02-03 | Fast-Slow Efficient Training for Multimodal Large Language Models via Visual Token Pruning
[arXiv] 2026-02-03 | Enhancing Imbalanced Node Classification via Curriculum-Guided Feature Learning and Three-Stage Attention Network
[arXiv] 2026-02-03 | BridgeV2W: Bridging Video Generation Models to Embodied World Models via Embodiment Masks
[arXiv] 2026-02-03 | QVLA: Not All Channels Are Equal in Vision-Language-Action Model's Quantization
[arXiv] 2026-02-03 | Polytype-Dependent Upconversion Photoluminescence in 3R-MoS2
[arXiv] 2026-02-03 | UniGeM: Unifying Data Mixing and Selection via Geometric Exploration and Mining
[arXiv] 2026-02-03 | Global existence for the fully parabolic Keller--Segel system with critical mass on the plane
[arXiv] 2026-02-03 | FOVI: A biologically-inspired foveated interface for deep vision models
[arXiv] 2026-02-03 | RAWDet-7: A Multi-Scenario Benchmark for Object Detection and Description on Quantized RAW Images
[arXiv] 2026-02-03 | Improving Deep Learning Library Testing with Machine Learning
[arXiv] 2026-02-03 | Test-Time Conditioning with Representation-Aligned Visual Features
[arXiv] 2026-02-03 | Quantum speed limit time for bipartite entanglement in neutrino oscillations in matter with non-standard interactions
[arXiv] 2026-02-03 | LIVE: Long-horizon Interactive Video World Modeling
[arXiv] 2026-02-03 | Occlusion-Free Conformal Lensing for Spatiotemporal Visualization in 3D Urban Analytics
[arXiv] 2026-02-03 | Edge-Optimized Vision-Language Models for Underground Infrastructure Assessment
[arXiv] 2026-02-03 | On the compatibility between the spatial moments and the codomain of a real random field
[arXiv] 2026-02-03 | Semiseparability of induction functors in a monoidal category
[arXiv] 2026-02-03 | CUBO: Self-Contained Retrieval-Augmented Generation on Consumer Laptops 10 GB Corpora, 16 GB RAM, Single-Device Deployment
[arXiv] 2026-02-03 | Modern Machine Learning and Particle Physics Phenomenology at the LHC
[arXiv] 2026-02-03 | Parity of $k$-differentials in genus zero and one
[arXiv] 2026-02-03 | Machine-Learning Optimization of Detector-Grade Yield in High-Purity Germanium Crystal Growth
[arXiv] 2026-02-03 | Training Multi-Turn Search Agent via Contrastive Dynamic Branch Sampling
[arXiv] 2026-02-03 | A Narrowband Fully-Analog Multi-Antenna Transmitter
[arXiv] 2026-02-03 | Thermodynamics of the Heisenberg XXX chain with negative spin
[arXiv] 2026-02-03 | On Zero-Dimensional Glicci Monomial Ideals
[arXiv] 2026-02-03 | Anytime Pretraining: Horizon-Free Learning-Rate Schedules with Weight Averaging
[arXiv] 2026-02-03 | LLM-Inspired Pretrain-Then-Finetune for Small-Data, Large-Scale Optimization
[arXiv] 2026-02-03 | Rethinking the Reranker: Boundary-Aware Evidence Selection for Robust Retrieval-Augmented Generation
[arXiv] 2026-02-03 | TodyComm: Task-Oriented Dynamic Communication for Multi-Round LLM-based Multi-Agent System
[arXiv] 2026-02-03 | Efficient Investment in Multi-Agent Models of Public Transportation
[arXiv] 2026-02-03 | Symmetry-restoring finite counterterms of SMEFT four-fermion operator insertions at one loop
[arXiv] 2026-02-03 | Neural Attention Search Linear: Towards Adaptive Token-Level Hybrid Attention Models
[arXiv] 2026-02-03 | Architectures of Planetary Systems II: Trends with Host Star Mass and Metallicity
[arXiv] 2026-02-03 | A Probabilistic Model-Checking Framework for Cognitive Assessment and Training
[arXiv] 2026-02-03 | CTTVAE: Latent Space Structuring for Conditional Tabular Data Generation on Imbalanced Datasets
[arXiv] 2026-02-03 | Variance-Reduced Model Predictive Path Integral via Quadratic Model Approximation
[arXiv] 2026-02-03 | Ultra Fast PDE Solving via Physics Guided Few-step Diffusion
[arXiv] 2026-02-03 | KTV: Keyframes and Key Tokens Selection for Efficient Training-Free Video LLMs
[arXiv] 2026-02-03 | Generator-based Graph Generation via Heat Diffusion
[arXiv] 2026-02-03 | Lookahead Path Likelihood Optimization for Diffusion LLMs
[arXiv] 2026-02-03 | Decoupling Skeleton and Flesh: Efficient Multimodal Table Reasoning with Disentangled Alignment and Structure-aware Guidance
[arXiv] 2026-02-03 | Skyrmions in 2D chiral magnets with noncollinear ground states stabilized by higher-order interactions
[arXiv] 2026-02-03 | Preferences for Idiomatic Language are Acquired Slowly -- and Forgotten Quickly: A Case Study on Swedish
[arXiv] 2026-02-03 | Kriging for large datasets via penalized neighbor selection
[arXiv] 2026-02-03 | On the uniform dimension of subextensions in skew polynomial rings
[arXiv] 2026-02-03 | Recursive Energy Efficient Agreement
[arXiv] 2026-02-03 | Scaling Continual Learning with Bi-Level Routing Mixture-of-Experts
[arXiv] 2026-02-03 | Inlier-Centric Post-Training Quantization for Object Detection Models
[arXiv] 2026-02-03 | Unbiased Estimation of Central Moments in Unbalanced Two- and Three-Level Models
[arXiv] 2026-02-03 | Internal free boundary problem for cold plasma equations
[arXiv] 2026-02-03 | Beyond Variance: Prompt-Efficient RLVR via Rare-Event Amplification and Bidirectional Pairing
[arXiv] 2026-02-03 | Score-based diffusion models for diffuse optical tomography with uncertainty quantification
[arXiv] 2026-02-03 | HetroD: A High-Fidelity Drone Dataset and Benchmark for Autonomous Driving in Heterogeneous Traffic
[arXiv] 2026-02-03 | CRL-VLA: Continual Vision-Language-Action Learning
[arXiv] 2026-02-03 | A New Expression for the Bernoulli Numbers and its Applications
[arXiv] 2026-02-03 | Ontology-to-tools compilation for executable semantic constraint enforcement in LLM agents
[arXiv] 2026-02-03 | When control meets large language models: From words to dynamics
[arXiv] 2026-02-03 | Solving models with generalized free fermions I: Algebras and eigenstates
[arXiv] 2026-02-03 | Origin Lens: A Privacy-First Mobile Framework for Cryptographic Image Provenance and AI Detection
[arXiv] 2026-02-03 | SWE-World: Building Software Engineering Agents in Docker-Free Environments
[arXiv] 2026-02-03 | FactNet: A Billion-Scale Knowledge Graph for Multilingual Factual Grounding
[arXiv] 2026-02-03 | Most Convolutional Networks Suffer from Small Adversarial Perturbations
[arXiv] 2026-02-03 | Socratic-Geo: Synthetic Data Generation and Geometric Reasoning via Multi-Agent Interaction
[arXiv] 2026-02-03 | In Search of Approximate Polynomial Dependencies Among the Derivatives of the Alternating Zeta Function
[arXiv] 2026-02-03 | Feasible strategies for conflict resolution within intuitionistic fuzzy preference-based conflict situations
[arXiv] 2026-02-03 | Symbol-Aware Reasoning with Masked Discrete Diffusion for Handwritten Mathematical Expression Recognition
[arXiv] 2026-02-03 | Tiled Prompts: Overcoming Prompt Underspecification in Image and Video Super-Resolution
[arXiv] 2026-02-03 | PWAVEP: Purifying Imperceptible Adversarial Perturbations in 3D Point Clouds via Spectral Graph Wavelets
[arXiv] 2026-02-03 | Bayesian Conformal Prediction as a Decision Risk Problem
[arXiv] 2026-02-03 | Invariant Extremal Projections for Operator-Ordered Families
[arXiv] 2026-02-03 | Neutron skin thickness and its volume and surface contributions
[arXiv] 2026-02-03 | Information-Theoretic Multi-Model Fusion for Target-Oriented Adaptive Sampling in Materials Design
[arXiv] 2026-02-03 | Memora: A Harmonic Memory Representation Balancing Abstraction and Specificity
[arXiv] 2026-02-03 | PQTNet: Pixel-wise Quantitative Thermography Neural Network for Estimating Defect Depth in Polylactic Acid Parts by Additive Manufacturing
[arXiv] 2026-02-03 | Multi-Level Testing of Conversational AI Systems
[arXiv] 2026-02-03 | On Poincaré-Sobolev level involving fractional GJMS operators on hyperbolic space
[arXiv] 2026-02-03 | Single crystal growth and properties of Au- and Ge-substituted EuPd$_2$Si$_2$
[arXiv] 2026-02-03 | LogicScan: An LLM-driven Framework for Detecting Business Logic Vulnerabilities in Smart Contracts
[arXiv] 2026-02-03 | Black to white hole transition as a change of the topology of the event horizon
[arXiv] 2026-02-03 | Agent Alpha: Tree Search Unifying Generation, Exploration and Evaluation for Computer-Use Agents
[arXiv] 2026-02-03 | Data-driven stabilization of continuous-time systems with noisy input-output data
[arXiv] 2026-02-03 | Dynamic High-frequency Convolution for Infrared Small Target Detection
[arXiv] 2026-02-03 | Generative Engine Optimization: A VLM and Agent Framework for Pinterest Acquisition Growth
[arXiv] 2026-02-03 | Human-Centric Traffic Signal Control for Equity: A Multi-Agent Action Branching Deep Reinforcement Learning Approach
[arXiv] 2026-02-03 | Asymptotically Optimal Quantum Universal Quickest Change Detection
[arXiv] 2026-02-03 | A vector logic for intensional formal semantics
[arXiv] 2026-02-03 | A Correspondence between Billiards and Geodesics
[arXiv] 2026-02-03 | Joint Network-and-Server Congestion in Multi-Source Traffic Allocation: A Convex Formulation and Price-Based Decentralization
[arXiv] 2026-02-03 | Generalized Time-Varying Drude Model for Dispersive and Lossy Modulations
