[2026-07-05 23:01:14] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-04
正在获取论文...
[ACM] 2026-7-4 | Opportunities and Challenges for Data Quality in the Era of Quantum Computing
[ACM] 2026-7-4 | Evolving Competencies in Blockchain Engineering: A Longitudinal Replication Study
[ACM] 2026-7-4 | Proceedings of the 2026 International Workshop on Responsible AI Engineering
[ACM] 2026-7-4 | A Wearable Shader-ball (Invited Talk)
[ACM] 2026-7-4 | Advancing Virtual Production: Technical Innovations and Collaborative Pipelines for Film, TV &amp; Live Events
[ACM] 2026-7-4 | Application of Technology Readiness Level to Research Software
[ACM] 2026-7-5 | AgenticFlict: A Large-Scale Dataset of Merge Conflicts in AI Coding Agent Pull Requests on GitHub
[ACM] 2026-7-5 | Neural-Symbolic Multi-objective Optimization for Performance-Aware ORM Database Design
[ACM] 2026-7-5 | How Robustly Do LLMs Understand Execution Semantics?
[ACM] 2026-7-4 | Automated Ontology Construction: An AI Framework for Research Software Engineering
[ACM] 2026-7-4 | Building Better Research Software (Are you sure?): Why Technical Refactoring Does Not Lead To Software Quality
[ACM] 2026-7-4 | Preliminary Usability Experimentation of a Pattern-Driven Middleware for IoT Data Processing in Research Environments
[ACM] 2026-7-4 | Enabling Digital Twins in Built Environments with Object-Oriented Models
[ACM] 2026-7-4 | Generative AI-Based Defense Against Deepfakes in Intelligent Audio Systems
[ACM] 2026-7-4 | QuSim-Join: Provably Optimal Quadratic Speedup in Set Similarity Joins via Quantum Amplitude Estimation
[ACM] 2026-7-4 | Lightweight Deep Learning for Automated Stroke Detection in Non-Contrast CT Imaging
[ACM] 2026-7-4 | Automating the Handoff: From Hardcoded QC Scripts to a Multi-Agent Architecture for Layout- to-Animation Reviews
[ACM] 2026-7-4 | Towards a Graphics-Silicon Gymnasium to Shape the Future of Micro-Embodied AI
[ACM] 2026-7-5 | Accountable Agents in Software Engineering: An Analysis of Terms of Service and a Research Roadmap
[ACM] 2026-7-5 | Zombie Agents: Detecting Semantic Livelock in Long-Horizon Autonomous Software
[ACM] 2026-7-5 | VeriTrans: Fine-Tuned LLM-Assisted NL→PL Translation via a Deterministic Neuro-symbolic Pipeline
[ACM] 2026-7-4 | Quantum Index Advisors: Beyond Configuration Selection?
[ACM] 2026-7-4 | An Adversarial-Attack Approach to Assess Bias in Text-to-Image Models
[ACM] 2026-7-4 | Predicting Benefits from Event Logs using Generative AI
[ACM] 2026-7-5 | Fixpad++: Automated Bug Fix Verification using LLM Agents
[ACM] 2026-7-5 | Artifact Readiness Gates with Saturation Stop Rules and Host-Parity Admissibility for FM Release Evaluation
[ACM] 2026-7-4 | Accessing Web3 Onboarding and Trust via Vipps
[ACM] 2026-7-4 | Challenge: What Does Context Mean for Research Software?
[ACM] 2026-7-4 | Evaluating ML Methods for Classifying RSE Personas on GitHub
[ACM] 2026-7-4 | A Construction of Precision Agriculture for Tea Plantation Using Green Energy Mechanism
[ACM] 2026-7-4 | A Study of International Standards for Safe and Responsible AI for the Brazilian National Council of Justice
[ACM] 2026-7-4 | Reliable SOC LLM Agent with Workflow Generation
[ACM] 2026-7-4 | Automating Gold Market: An N8N LINE Chatbot Approach
[ACM] 2026-7-5 | SecMutBench: Evaluating LLM-Generated Security Tests via Mutation-Based Vulnerability Detection
[ACM] 2026-7-4 | Reverse Engineering and Control-Aware Security Analysis of the ArduPilot UAV Framework
[ACM] 2026-7-4 | Proceedings of the 2026 1st International Workshop on Software Engineering and Research Software
[ACM] 2026-7-4 | Previs to Final Pixels: Rethinking feature animation production in real-time
[ACM] 2026-7-4 | Quantum Hypergraph Partitioning
[ACM] 2026-7-5 | A Dataset of Agentic AI Coding Tool Configurations
[ACM] 2026-7-4 | Quantum Machine Learning: Bridging Quantum Computing &amp; Machine Learning
[ACM] 2026-7-4 | Trusted Execution Environments in Systems-of-Systems: A Systematic Mapping Study
[ACM] 2026-7-4 | A Toolbox to Understand the Physics of Quantum Data Management
[ACM] 2026-7-4 | KPop Chibi Face
[ACM] 2026-7-5 | Kubernetes Misconfigurations in the Wild: Taxonomy, Evolution, and Automated Repair with Large Language Models
[ACM] 2026-7-4 | LINE Health Today: An n8n Automation Workflow for Accessible Public Health Communication
[ACM] 2026-7-4 | End-to-End Building Model Generation and Validation with CITYdata and MetamEnTh
[ACM] 2026-7-5 | SOSecure: The Wisdom of the Crowd for Safer AI-Generated Code
[ACM] 2026-7-4 | Towards Holistic IoT Systems Profiling: Integrating Energy Consumption with Performance Metrics using SPECTRA
[ACM] 2026-7-4 | Designing AI-Powered Healthcare Applications with No-Code Tools: A Usability Study Using Design Sprint Methodology
[ACM] 2026-7-4 | Mitigating Diversity Decline in Low-Resource Text Generation: A Rewrite-and-Select Framework with Training-Time Optimization
[ACM] 2026-7-4 | Anonymous-by-Construction: An LLM-Driven Framework for Privacy-Preserving Text
[ACM] 2026-7-4 | Retrospective Simulation of LLM-Guided Smart Contract Policies Using Real IoT Energy Data
[ACM] 2026-7-5 | AgentTelemetry: A Fault Detection Benchmark and Toolkit for LLM Agent Observability
[ACM] 2026-7-5 | REBench: A Procedural, Fair-by-Construction Benchmark for LLMs on Stripped-Binary Types and Names
[ACM] 2026-7-5 | Collaborator or Assistant? How AI Coding Agents Partition Work across Pull Request Lifecycles
[ACM] 2026-7-4 | Experiments in Gaussian Splatting for VFX Scene Reconstruction
[ACM] 2026-7-4 | Proceedings of the Special Interest Group on Computer Graphics and Interactive Techniques Conference Frontiers
[ACM] 2026-7-4 | Transforming legacy Research Software into Free Software: Early impressions from Participant Observation
[ACM] 2026-7-4 | Managing Reproducibility Debt in Scientific Software: A Practical Framework
[ACM] 2026-7-4 | Proceedings of the 3rd workshop on Quantum Computing and Quantum-Inspired Technology for Data-Intensive Systems and Applications
[ACM] 2026-7-4 | Enhancing Air Pollution Awareness in Bangkok: A Mobile HCI Approach Integrating Real-Time Alerts and Gamification
[ACM] 2026-7-4 | Mobile-ARTiFACT: An Augmented Reality Learning Platform for Cultural Heritage Digitization and Education
[ACM] 2026-7-4 | Philos: A DSRM Method for improving Interoperability in Systems-of-Information-Systems through API Semantic Analysis
[ACM] 2026-7-4 | Intelligent integration of data on software ecosystem platforms to support data-intensive applications
[ACM] 2026-7-4 | When Code Meets Things: The FLOSS Side of IoT Systems
[ACM] 2026-7-4 | BreachT5: Ensembling CodeT5+ Models for Multi-Label Vulnerability Detection in Smart Contracts
[ACM] 2026-7-5 | SWE-Bench+: Enhanced LLM Coding Benchmark
[ACM] 2026-7-4 | Smart Set Assembly
[ACM] 2026-7-4 | An Agentic LLM Framework for Inventory Replenishment Planning in E-Commerce SMEs
[ACM] 2026-7-4 | Connecting Probabilistic Databases to Quantum Computing and Tensor Networks via Graphical Models
[ACM] 2026-7-5 | From Assistance to Agency: Rethinking Autonomy and Control in CI/CD Pipelines
[ACM] 2026-7-5 | VISOR: A Vision-Language Model-Based Test Oracle for Testing Robots
[ACM] 2026-7-5 | Co-located Tests, Better AI Code: How Test Syntax Structure Affects Foundation Model Code Generation
[ACM] 2026-7-5 | Detecting Unsoundness in Neural Network Verifiers via Concrete–Abstract Consistency
[ACM] 2026-7-4 | Adding Workflow to a Workbench for Digital Geosystems for a more agile Research Software Engineering approach
[ACM] 2026-7-4 | CTRL-G: Controllable Generative Graphics for Games
[ACM] 2026-7-4 | Proceedings of the Digital Production Symposium
[ACM] 2026-7-4 | From Brief to Scene: Agentic AI for Asset Production at Ubisoft
[ACM] 2026-7-4 | The Energy Consumption Graph: A Model-Based Architecture for IIoT-based Industrial Energy Auditing
[ACM] 2026-7-5 | Using Mutation-Analysis to Examine an LLM's Ability to Summarize Code
[ACM] 2026-7-4 | Metamorphic Testing of Research Software with GeoMetaMorph
[ACM] 2026-7-4 | A Conceptual Model of Systems-of-Systems for Wildfire Response: Insights from a Rapid Review Applied to the Cerrado Biome
[ACM] 2026-7-4 | Evolving Research Software: an Experience Report
[ACM] 2026-7-4 | QUALITY ASSURANCE STATION FOR BARCODE VERIFICATION UTILIZING IMAGE PROCESSING TECHNOLOGY
[ACM] 2026-7-4 | Optimizing Human-AI Collaboration in Portfolio Management: A Performance and Trust Analysis of Hybrid Advisory Systems
[ACM] 2026-7-4 | Algorithms for Solving the Traveling Salesman Problem Based on Randomly Distributed Data
[ACM] 2026-7-4 | Forensic Blind Spots in Ephemeral Cloud VMs: Evaluating Amazon Inspector and Detective with Memory Forensics
[ACM] 2026-7-5 | Beyond Translation Accuracy: Addressing False Failures in LLM-Based Code Translation
[ACM] 2026-7-4 | Proceedings of the 8th International Workshop on Software Engineering Research and Practices for the IoT
[ACM] 2026-7-4 | Multilevel Edge-Disjoint Fiber-Tree Planning and Spectrum Assignment for Filterless Optical Networks
[ACM] 2026-7-4 | Leveraging IoT and Blockchain to Reduce Food Waste: A Case Study
[ACM] 2026-7-4 | Kora: A Physics-Based Fire Pipeline and Toolset
[ACM] 2026-7-5 | ClassEval-Pro: A Cross-Domain Benchmark for Class-Level Code Generation
[ACM] 2026-7-5 | Towards AI as a Collaborative Partner: A Taxonomy of AI Agent Behavior in Software Engineering
[ACM] 2026-7-5 | Towards Migrating Neural Network Implementations
[ACM] 2026-7-4 | SSR: A Swapping-Sweeping-and-Rewriting Optimizer for Quantum Circuit Transformation
[ACM] 2026-7-4 | Squid: USD Material Authoring At Scale
[ACM] 2026-7-4 | UNIX V4 and the Utah Teapot
[ACM] 2026-7-5 | Testing AIware Systems: A Software Engineering Survey
[ACM] 2026-7-5 | CrossCommitVuln-Bench: A Dataset of Multi-commit Python Vulnerabilities Invisible to Per-Commit Static Analysis
[ACM] 2026-7-5 | RustBuildEq: A Benchmark for Binary Equivalence under Build Variability
[ACM] 2026-7-4 | Examining Transparency Requirements for AI-Based Chatbots and Websites
[ACM] 2026-7-4 | Leveraging Machine Learning Models to Predict Road Crash Severity Based on Environmental Factors
[ACM] 2026-7-4 | Quantum Annealing for Multiobjective Query Optimization
[ACM] 2026-7-4 | A Hybrid AHP-TOPSIS Approach for Selecting Message Brokers in IoT Applications
[ACM] 2026-7-4 | The Perpetual Pipeline – 50 Years of Symbiosis in Computer Graphics
[ACM] 2026-7-5 | Configuring Agentic AI Coding Tools: An Exploratory Study
[ACM] 2026-7-5 | Is Artificial Intelligence an Elixir to the Software Engineering Community? An Empirical Study among Managers
[ACM] 2026-7-5 | When Code Authors Are Agents: A Large-Scale Study of Human–Agent Collaboration in Pull Requests
[ACM] 2026-7-4 | Open Source Software Ecosystem for Cloud Observability: An Overview and Trends
[ACM] 2026-7-4 | From Robotic to IoT Systems: Exploring the Reuse of a Robotic Orchestration DSL in the IoT domain
[ACM] 2026-7-5 | A Preliminary Study on Explaining Risk of Code Changes using LLM-Based Prediction Models
[ACM] 2026-7-4 | Understanding the Impact of Research Software Engineers on Scientific Software Development: A Mixed-Methods Study
[ACM] 2026-7-4 | Proceedings of the 2026 8th Asia Pacific Information Technology Conference
[ACM] 2026-7-5 | Operationalizing Ethics for AI Agents: How Developers Encode Values into Repository Context Files
[ACM] 2026-7-5 | When AI Coding Assistants Leak Training Data: A Study of LLM Memorization in Code Generation
[ACM] 2026-7-4 | Bootstrapping IoT Provisioning with PoMA
[ACM] 2026-7-4 | Dronevision, Holodecks, and Spatial Computing Using Flying Light Specks
[ACM] 2026-7-4 | Write Once, Read ALWAYS
[ACM] 2026-7-5 | Auditing Who Appears to Belong: A Large-Scale Empirical Study of Bias in Deployed Text-to-Image Systems for Software Engineering
[ACM] 2026-7-4 | Evaluating the Adoption of AI-Driven No-Code Platforms Using the Technology Acceptance Model (TAM) in Achieving Sustainable Development Goals: The SafeDrive Mobile Application
[ACM] 2026-7-4 | CRITICAL INFRASTRUCTURE SECURITY EXPLORATION AND MITIGATION FROM POSSIBLE THREATS: A CASE STUDY OF CONTROL ROOM
[ACM] 2026-7-4 | A Visual Block Programming Environment for Home Assistant: A Progress Report
[ACM] 2026-7-4 | The Shared Language of Crowds: A Crowd sourced Approach to Mapping Research Software Engineering and Software Engineering Research Terminology
[ACM] 2026-7-4 | Debian: A sustainable ecosystem for the distribution and use of Research Software
[ACM] 2026-7-4 | Finding RSEs: Challenges in Recruiting Research Software Engineers for Research
[ACM] 2026-7-4 | Quantum-Optimized Spatial Permutations: Minimizing Submatrix Rank for Block-Low-Rank Space-Filling Curves
[ACM] 2026-7-5 | TriORM: Workload-Aware Neural-Symbolic Multi-objective Optimization for ORM Mapping Design
[ACM] 2026-7-5 | Wink: Recovering from Misbehaviors in Coding Agents
[ACM] 2026-7-4 | Scalable Hybrid Quantum-Classical Optimization for the Traveling Salesman Problem
[ACM] 2026-7-5 | From Correctness to Consistency: Redefining Reliability for the Agentware Era
[ACM] 2026-7-5 | An Empirical Study of Reasoning Steps in Thinking Code LLMs
[ACM] 2026-7-4 | Foundations for Multi-Logic Modelling and Supervision of Cyber–Physical IoT Agents
[ACM] 2026-7-4 | Algorithmic Discrimination in Healthcare: A Scoping Study
[ACM] 2026-7-4 | A Real-Time Mobile System for Ground-Based Cloud Classification Using Lightweight Models
[ACM] 2026-7-5 | Quality and Security Signals in AI-Generated Python Refactoring Pull Requests
[ACM] 2026-7-4 | Authorship, Bias, and Collaboration: Navigating AI Integration in Creative Industries
[ACM] 2026-7-4 | An Explainable Machine Learning Framework for Risk Factor Analysis in Healthcare: A Case Study on Breast Cancer
[ACM] 2026-7-4 | Proceedings of the 14th IEEE/ACM International Workshop on Software Engineering for Systems-of-Systems and Software Ecosystems
[ACM] 2026-7-4 | Beyond Vendor Lock-In: Hybrid EVM-based Event-Driven Architecture for Cross-Organization Collaboration
[ACM] 2026-7-5 | SecVulEval: Context-Aware Benchmarking of LLMs for Vulnerability Detection
[ACM] 2026-7-4 | Rule-based approach for finding the maximum set of shortest vertex-independent paths
[ACM] 2026-7-5 | Can LLMs Really Reason about Code? Studying How Well LLMs Understand the Relation between Input, Code, and Output
[ACM] 2026-7-5 | TOGBench: A Developer-Written Multi-variant Dataset and Benchmark Suite for Test Oracle Generation
[ACM] 2026-7-4 | Testing Research Software using International Standards and Practices
[ACM] 2026-7-4 | Towards moving target defense for IoT malware detection
[ACM] 2026-7-4 | Enhancing Understandability and Transparency of Research Software: Tracing Research to Code
[ACM] 2026-7-4 | From Front-End to Final Frames: Building a 2D/3D Hybrid Back-End Pipeline for Feature Animation at Scale
[ACM] 2026-7-4 | WiRCA: Categorizing Research Software Code Based on its Purpose
[ACM] 2026-7-4 | Form and Function: A Hands-On Workshop on Computationally Designing and Fabricating Barrier-Grid Animations
[ACM] 2026-7-4 | Framework Design and Application of AI Agent Ecosystems for SMEs
[ACM] 2026-7-5 | Proceedings of the 3rd ACM International Conference on AI-Powered Software
[ACM] 2026-7-5 | From Code Review to Spec-Driven Contracts: A Vision for Auditable AIWare Systems
[ACM] 2026-7-4 | Cross-Organizational Data Governance for Industrial Digital Twins Using Blockchain and IPFS
[ACM] 2026-7-4 | A Hybrid Forecasting Approach using Holt-Winters Forecasting Technique and Monte Carlo Simulation with a Neural Network for High-Variance Data
[ACM] 2026-7-4 | Leveraging Quantum Annealing for Materialized View Selection
[ACM] 2026-7-5 | Understanding Conversational Patterns in Multi-agent Programming: A Case Study on Fibonacci Game Development
[ACM] 2026-7-5 | HEJ-Robust: A Robustness Benchmark for LLM-Based Automated Program Repair
共写入 178 条记录，保存到 papers/paper2026-07-04.json。
论文获取成功，文件路径: papers/paper2026-07-04.json
正在筛选、翻译并发送邮件...
[NO] 1/178 | Opportunities and Challenges for Data Quality in the Era of Quantum Computing
[NO] 2/178 | Characterizing the Set of Information Systems of a Brazilian State Court as a System-of-Systems
[NO] 3/178 | ObsAct: a Programming Model for Opportunistic IoT Applications using the Mobile-Hub
[NO] 4/178 | JunoBench: A Benchmark Dataset of Crashes in Python Machine Learning Jupyter Notebooks
[NO] 5/178 | Digital Twins for Science and Industry
[NO] 6/178 | Graphics In Medicine: From the Dev Floor to the Operating Room 2
[NO] 7/178 | Creating Wireless Sensor Network Target Tracking Strategy and Data Fusion Based on Blockchain Technology Integration
[NO] 8/178 | An IoT-Based Smart Bedside Information System with Hybrid Encryption for Healthcare Applications
[NO] 9/178 | Blockchain Reputation Oracles: An MCP-Based Study
[NO] 10/178 | The Previs Battleground: Precision Planning vs Creative Freedom
[YES] 11/178 | Deterministic vs. LLM-Controlled Orchestration for COBOL-to-Python Modernization
[NO] 12/178 | Towards an Intelligent Platform for Supporting Quality Assessment in Blockchain Systems
[NO] 13/178 | A Proof of Success and Reward Distribution Protocol for Multi-bridge Architecture in Cross-chain Communication
[YES] 14/178 | The Gas Burn Identity: Early Detection of Gas-Intensive Functions and Patterns in Smart Contracts
[NO] 15/178 | Proceedings of the 8th International Workshop on Emerging Trends in Software Engineering for Blockchain
[NO] 16/178 | Aided Design Approach for Creating Sticker LINE Cartoon Characters by Stable Diffusion Model
[NO] 17/178 | BLISS: A Visual Modeling Notation for Engineering Energy-Harvesting IoT Systems
[NO] 18/178 | Proceedings of the 2025 Special Interest Group on Computer Graphics and Interactive Techniques Conference Panels
[YES] 19/178 | Do Agents Dream of Root Shells? Partial-Credit Evaluation of LLM Agents in Capture the Flag Challenges
[NO] 20/178 | Executable but Unlearnable: Designing Code That Resists LLM-Based Learning
[NO] 21/178 | Software Engineering for Renewable Energy Research
[NO] 22/178 | Evolving Competencies in Blockchain Engineering: A Longitudinal Replication Study
[NO] 23/178 | Proceedings of the 2026 International Workshop on Responsible AI Engineering
[NO] 24/178 | A Wearable Shader-ball (Invited Talk)
[NO] 25/178 | Advancing Virtual Production: Technical Innovations and Collaborative Pipelines for Film, TV &amp; Live Events
[NO] 26/178 | Application of Technology Readiness Level to Research Software
[YES] 27/178 | AgenticFlict: A Large-Scale Dataset of Merge Conflicts in AI Coding Agent Pull Requests on GitHub
[NO] 28/178 | Neural-Symbolic Multi-objective Optimization for Performance-Aware ORM Database Design
[YES] 29/178 | How Robustly Do LLMs Understand Execution Semantics?
[NO] 30/178 | Automated Ontology Construction: An AI Framework for Research Software Engineering
[YES] 31/178 | Building Better Research Software (Are you sure?): Why Technical Refactoring Does Not Lead To Software Quality
[NO] 32/178 | Preliminary Usability Experimentation of a Pattern-Driven Middleware for IoT Data Processing in Research Environments
[NO] 33/178 | Enabling Digital Twins in Built Environments with Object-Oriented Models
[NO] 34/178 | Generative AI-Based Defense Against Deepfakes in Intelligent Audio Systems
[NO] 35/178 | QuSim-Join: Provably Optimal Quadratic Speedup in Set Similarity Joins via Quantum Amplitude Estimation
[NO] 36/178 | Lightweight Deep Learning for Automated Stroke Detection in Non-Contrast CT Imaging
[NO] 37/178 | Automating the Handoff: From Hardcoded QC Scripts to a Multi-Agent Architecture for Layout- to-Animation Reviews
[NO] 38/178 | Towards a Graphics-Silicon Gymnasium to Shape the Future of Micro-Embodied AI
[NO] 39/178 | Accountable Agents in Software Engineering: An Analysis of Terms of Service and a Research Roadmap
[NO] 40/178 | Zombie Agents: Detecting Semantic Livelock in Long-Horizon Autonomous Software
[YES] 41/178 | VeriTrans: Fine-Tuned LLM-Assisted NL→PL Translation via a Deterministic Neuro-symbolic Pipeline
[NO] 42/178 | Quantum Index Advisors: Beyond Configuration Selection?
[NO] 43/178 | An Adversarial-Attack Approach to Assess Bias in Text-to-Image Models
[NO] 44/178 | Predicting Benefits from Event Logs using Generative AI
[YES] 45/178 | Fixpad++: Automated Bug Fix Verification using LLM Agents
[NO] 46/178 | Artifact Readiness Gates with Saturation Stop Rules and Host-Parity Admissibility for FM Release Evaluation
[NO] 47/178 | Accessing Web3 Onboarding and Trust via Vipps
[NO] 48/178 | Challenge: What Does Context Mean for Research Software?
[NO] 49/178 | Evaluating ML Methods for Classifying RSE Personas on GitHub
[NO] 50/178 | A Construction of Precision Agriculture for Tea Plantation Using Green Energy Mechanism
[NO] 51/178 | A Study of International Standards for Safe and Responsible AI for the Brazilian National Council of Justice
[YES] 52/178 | Reliable SOC LLM Agent with Workflow Generation
[NO] 53/178 | Automating Gold Market: An N8N LINE Chatbot Approach
[YES] 54/178 | SecMutBench: Evaluating LLM-Generated Security Tests via Mutation-Based Vulnerability Detection
[NO] 55/178 | Reverse Engineering and Control-Aware Security Analysis of the ArduPilot UAV Framework
[YES] 56/178 | Proceedings of the 2026 1st International Workshop on Software Engineering and Research Software
[NO] 57/178 | Previs to Final Pixels: Rethinking feature animation production in real-time
[NO] 58/178 | Quantum Hypergraph Partitioning
[YES] 59/178 | A Dataset of Agentic AI Coding Tool Configurations
[NO] 60/178 | Quantum Machine Learning: Bridging Quantum Computing &amp; Machine Learning
[NO] 61/178 | Trusted Execution Environments in Systems-of-Systems: A Systematic Mapping Study
[NO] 62/178 | A Toolbox to Understand the Physics of Quantum Data Management
[NO] 63/178 | KPop Chibi Face
[YES] 64/178 | Kubernetes Misconfigurations in the Wild: Taxonomy, Evolution, and Automated Repair with Large Language Models
[NO] 65/178 | LINE Health Today: An n8n Automation Workflow for Accessible Public Health Communication
[NO] 66/178 | End-to-End Building Model Generation and Validation with CITYdata and MetamEnTh
[YES] 67/178 | SOSecure: The Wisdom of the Crowd for Safer AI-Generated Code
[NO] 68/178 | Towards Holistic IoT Systems Profiling: Integrating Energy Consumption with Performance Metrics using SPECTRA
[NO] 69/178 | Designing AI-Powered Healthcare Applications with No-Code Tools: A Usability Study Using Design Sprint Methodology
[NO] 70/178 | Mitigating Diversity Decline in Low-Resource Text Generation: A Rewrite-and-Select Framework with Training-Time Optimization
[NO] 71/178 | Anonymous-by-Construction: An LLM-Driven Framework for Privacy-Preserving Text
[NO] 72/178 | Retrospective Simulation of LLM-Guided Smart Contract Policies Using Real IoT Energy Data
[YES] 73/178 | AgentTelemetry: A Fault Detection Benchmark and Toolkit for LLM Agent Observability
[NO] 74/178 | REBench: A Procedural, Fair-by-Construction Benchmark for LLMs on Stripped-Binary Types and Names
[YES] 75/178 | Collaborator or Assistant? How AI Coding Agents Partition Work across Pull Request Lifecycles
[NO] 76/178 | Experiments in Gaussian Splatting for VFX Scene Reconstruction
[NO] 77/178 | Proceedings of the Special Interest Group on Computer Graphics and Interactive Techniques Conference Frontiers
[NO] 78/178 | Transforming legacy Research Software into Free Software: Early impressions from Participant Observation
[NO] 79/178 | Managing Reproducibility Debt in Scientific Software: A Practical Framework
[NO] 80/178 | Proceedings of the 3rd workshop on Quantum Computing and Quantum-Inspired Technology for Data-Intensive Systems and Applications
[NO] 81/178 | Enhancing Air Pollution Awareness in Bangkok: A Mobile HCI Approach Integrating Real-Time Alerts and Gamification
[NO] 82/178 | Mobile-ARTiFACT: An Augmented Reality Learning Platform for Cultural Heritage Digitization and Education
[NO] 83/178 | Philos: A DSRM Method for improving Interoperability in Systems-of-Information-Systems through API Semantic Analysis
[NO] 84/178 | Intelligent integration of data on software ecosystem platforms to support data-intensive applications
[NO] 85/178 | When Code Meets Things: The FLOSS Side of IoT Systems
[YES] 86/178 | BreachT5: Ensembling CodeT5+ Models for Multi-Label Vulnerability Detection in Smart Contracts
[YES] 87/178 | SWE-Bench+: Enhanced LLM Coding Benchmark
[NO] 88/178 | Smart Set Assembly
[NO] 89/178 | An Agentic LLM Framework for Inventory Replenishment Planning in E-Commerce SMEs
[NO] 90/178 | Connecting Probabilistic Databases to Quantum Computing and Tensor Networks via Graphical Models
[NO] 91/178 | From Assistance to Agency: Rethinking Autonomy and Control in CI/CD Pipelines
[NO] 92/178 | VISOR: A Vision-Language Model-Based Test Oracle for Testing Robots
[YES] 93/178 | Co-located Tests, Better AI Code: How Test Syntax Structure Affects Foundation Model Code Generation
[NO] 94/178 | Detecting Unsoundness in Neural Network Verifiers via Concrete–Abstract Consistency
[NO] 95/178 | Adding Workflow to a Workbench for Digital Geosystems for a more agile Research Software Engineering approach
[NO] 96/178 | CTRL-G: Controllable Generative Graphics for Games
[NO] 97/178 | Proceedings of the Digital Production Symposium
[NO] 98/178 | From Brief to Scene: Agentic AI for Asset Production at Ubisoft
[NO] 99/178 | The Energy Consumption Graph: A Model-Based Architecture for IIoT-based Industrial Energy Auditing
[NO] 100/178 | Using Mutation-Analysis to Examine an LLM's Ability to Summarize Code
[NO] 101/178 | Metamorphic Testing of Research Software with GeoMetaMorph
[NO] 102/178 | A Conceptual Model of Systems-of-Systems for Wildfire Response: Insights from a Rapid Review Applied to the Cerrado Biome
[NO] 103/178 | Evolving Research Software: an Experience Report
[NO] 104/178 | QUALITY ASSURANCE STATION FOR BARCODE VERIFICATION UTILIZING IMAGE PROCESSING TECHNOLOGY
[NO] 105/178 | Optimizing Human-AI Collaboration in Portfolio Management: A Performance and Trust Analysis of Hybrid Advisory Systems
[NO] 106/178 | Algorithms for Solving the Traveling Salesman Problem Based on Randomly Distributed Data
[NO] 107/178 | Forensic Blind Spots in Ephemeral Cloud VMs: Evaluating Amazon Inspector and Detective with Memory Forensics
[YES] 108/178 | Beyond Translation Accuracy: Addressing False Failures in LLM-Based Code Translation
[NO] 109/178 | Proceedings of the 8th International Workshop on Software Engineering Research and Practices for the IoT
[NO] 110/178 | Multilevel Edge-Disjoint Fiber-Tree Planning and Spectrum Assignment for Filterless Optical Networks
[NO] 111/178 | Leveraging IoT and Blockchain to Reduce Food Waste: A Case Study
[NO] 112/178 | Kora: A Physics-Based Fire Pipeline and Toolset
[YES] 113/178 | ClassEval-Pro: A Cross-Domain Benchmark for Class-Level Code Generation
[YES] 114/178 | Towards AI as a Collaborative Partner: A Taxonomy of AI Agent Behavior in Software Engineering
[YES] 115/178 | Towards Migrating Neural Network Implementations
[NO] 116/178 | SSR: A Swapping-Sweeping-and-Rewriting Optimizer for Quantum Circuit Transformation
[NO] 117/178 | Squid: USD Material Authoring At Scale
