[2026-07-15 22:58:11] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-14
正在获取论文...
[arXiv] 2026-07-14 | Unknotting number, ribbon concordance, and singular instantons
[arXiv] 2026-07-14 | MetaInfer: A Knowledge Only LLM Inference Engine Generator SKILL Toolbox
[arXiv] 2026-07-14 | Graph-space well-posedness for diffusion equations with degenerate instantaneous diffusion
[arXiv] 2026-07-14 | End-to-End Quantum Key Distribution Across Hybrid Fiber and Free-Space Links with All-Optical Encoding Conversion
[arXiv] 2026-07-14 | Southern massive stars at high angular resolution: WR 25 is a massive hierarchical triple system
[arXiv] 2026-07-14 | Contrast-Free ICA and Causal Inference via Wasserstein Distances to the Gaussian
[arXiv] 2026-07-14 | Knowledgeless Language Models: Suppressing Parametric Recall for Evidence-Grounded Language Modeling
[arXiv] 2026-07-14 | EP-FXT Observations of Abell 1795: X-ray Properties and Structure out to $R_{200}$
[arXiv] 2026-07-14 | Supernova Neutrinos and the Origin of Biomolecular Homochirality
[arXiv] 2026-07-14 | Dispersion-Guided Physics-Aware Deep Inverse Operator for Surface Wave Mode Separation
[arXiv] 2026-07-14 | Spatial-Frequency Cued Generative Fixed-Filter Active Noise Control Based on Deep Learning in Reverberant Environments
[arXiv] 2026-07-14 | Enhanced wavefront sensing for the Roman Coronagraph Instrument: Gaussian probes and compact model validation
[arXiv] 2026-07-14 | A Least Squares Weak Galerkin Finite Element Method for Fokker-Planck Type Equations
[arXiv] 2026-07-14 | A Variational Surrogate Approach to Finite-Horizon Quantum Control via Hardware-Efficient Ansatz
[arXiv] 2026-07-14 | On interacting non-Abelian antisymmetric tensor field models
[arXiv] 2026-07-14 | Silent Alarm: A J-Space Protocol for Comparing Danger Recognition Across Models and Quantization Levels
[arXiv] 2026-07-14 | Learning-enabled Acceleration of Scenario-based Model Predictive Control
[arXiv] 2026-07-14 | EvoGraph-R1: Self-Evolving Multimodal Knowledge Hypergraphs for Agentic Retrieval
[arXiv] 2026-07-14 | Constraint-Aware Aggregation for Federated Reinforcement Learning in Microgrid Energy Coordination
[arXiv] 2026-07-14 | Scalable Multi-BD Access for OFDM-Based Symbiotic Backscatter Communications
[arXiv] 2026-07-14 | A nonlocal elliptic problem on a Heisenberg group
[arXiv] 2026-07-14 | Epistemic Stance Flexibility Probing: Measuring Prompt-Conditioned Register Shift in Large Language Models
[arXiv] 2026-07-14 | Homogenization of the Navier-Stokes-Cahn-Hilliard system in the small-hole regime
[arXiv] 2026-07-14 | An internal shock model calibrated with real gamma-ray burst light curves using a genetic algorithm
[arXiv] 2026-07-14 | Learning-based Probabilistic Load Forecasting with Post-hoc and In-model Uncertainty
[arXiv] 2026-07-14 | Ascent and descent of bounded linear operators
[arXiv] 2026-07-14 | Bulkhead: Automated Semantic Detection and Remediation of Container Escape Vulnerabilities
[arXiv] 2026-07-14 | Auditable and Transparent Fully Authenticated Disk Encryption via USB Storage Interposition
[arXiv] 2026-07-14 | Superimposed Transmission for Cooperative Cellular and Cell-Free Massive MIMO Systems
[arXiv] 2026-07-14 | Symbiotic binaries in the Gaia data. II. Symbiotic candidates from general variability classification in DR3
[arXiv] 2026-07-14 | Stability Analysis of Grid-Following and Grid-Forming Converters Connected to Generators
[arXiv] 2026-07-14 | ngVLTI: Cost and Feasibility of a Four-Telescope VLTI Expansion for Milliarcsecond-Scale Imaging
[arXiv] 2026-07-14 | Symbiotic binaries in the Gaia data. I. Known symbiotics in DR3 and FPR
[arXiv] 2026-07-14 | From Critic to Confidence: PPO for Language-Based Quantitative Prediction with Confidence Estimation
[arXiv] 2026-07-14 | The subsonic limit of the 3D Zakharov system
[arXiv] 2026-07-14 | MambaPSA: A Mamba-based Replacement for C2PSA in YOLO26
[arXiv] 2026-07-14 | Maximizing All-Paths Phylogenetic Diversity: Parameterized Approaches for Networks
[arXiv] 2026-07-14 | Physically Aware Radiomics Without Interpolation: Disentangling Voxel Geometry and Signal Modification in CT and MRI
[arXiv] 2026-07-14 | Ring-Zero: Scaling Zero RL to a Trillion Parameters for Emergent Reasoning
[arXiv] 2026-07-14 | ReDiTT: Retrieval Augmented Conditional Diffusion Transformers for Asynchronous Time Series
[arXiv] 2026-07-14 | Measurement-induced phase transition in space
[arXiv] 2026-07-14 | PM-Bench: Evaluating Prospective Memory in LLM Agents
[arXiv] 2026-07-14 | SeamGen: Artist-Aligned UV Seam Generation via Graph Flow Matching
[arXiv] 2026-07-14 | Coloring $(P_6,C_4)$-free graphs with $Δ- 1$ colors
[arXiv] 2026-07-14 | Lost in Visual Translation: A VLM-Assisted Perceptual-Semantic Coherence Framework for EEG-to-Image Reconstruction
[arXiv] 2026-07-14 | Implicit 4D Gaussian Splatting for Fast Motion with Large Inter-Frame Displacements
[arXiv] 2026-07-14 | Cover numbers by graph families bounded by certain graph parameters
[arXiv] 2026-07-14 | Reduction of relative multisymplectic manifolds
[arXiv] 2026-07-14 | Forecasting Inflation with Microdata: An Adaptive Machine Learning Approach
[arXiv] 2026-07-14 | Skills That Don't Exist: A Large-Scale Study of Hallucinated Skill Recommendation in LLM Agents
[arXiv] 2026-07-14 | Gradient Flow Dynamics and Implicit Bias of Diagonal Linear Networks under Infinitesimal Initialization
[arXiv] 2026-07-14 | Peak-Decomposition-Free Inverse Metrology of Hyperspectral Moiré Photoluminescence
[arXiv] 2026-07-14 | DM-KG: A Novel Method for Boosting Spatial Cognition of Vision-Language Models in Street View Imagery
[arXiv] 2026-07-14 | Selective avoidance of multiple line-of-sight obstacles at 130~m using locally bending space-time wave packets
[arXiv] 2026-07-14 | Solvent Mixing Effect on Free-Energy Barrier and Stability for Molecular Recognition Driven by the Translational Motion of Solvent Molecules
[arXiv] 2026-07-14 | Adaptive Cross-Modal Fusion with Sparse Attention for Pedestrian Crossing Intention Prediction
[arXiv] 2026-07-14 | Asymptotic forms of the Ursell edge waves on a gently sloping beach
[arXiv] 2026-07-14 | SlimPer: Make Personalization Model Slim and Smart
[arXiv] 2026-07-14 | Auditing Data Leakage in Whole-Slide Image Multimodal Benchmarks
[arXiv] 2026-07-14 | Quantum Port-Hamiltonian Neural Networks: Learning Conservative and Dissipative Dynamics via Measurement-Induced Nonlinearity
[arXiv] 2026-07-14 | DiffRadar: Differentiable Physics-Aware Radar SLAM with Gaussian Fields
[arXiv] 2026-07-14 | Understanding Structured Health Data through Interaction-Aware Mixture-of-Experts
[arXiv] 2026-07-14 | When Directional Accuracy Lies: A Base-Rate-Honest Benchmark for LoRA-Adapted TimesFM on Equity Forecasting
[arXiv] 2026-07-14 | The Center of the Temperley-Lieb Algebra
[arXiv] 2026-07-14 | Gradient-Free Topology Adaptation for Power Flow Surrogates via In-Context Whitening
[arXiv] 2026-07-14 | A new dual-population constrained multi-objective evolutionary optimization algorithm with repair constraint handling for structural optimization
[arXiv] 2026-07-14 | Speculate with Memory: Lossless Acceleration for LLM Agents
[arXiv] 2026-07-14 | The GEST-Engine: From Event Graphs to Synthetic Video. A Full Technical Report
[arXiv] 2026-07-14 | Proof Theory and Dependent Type Theory: Distinct Foundations for Designing Proof Assistants
[arXiv] 2026-07-14 | Evidence-Grounded Verified Agentic Reasoning: A Path Toward Eliminating LLM Hallucination in Empirical Inference via Tool-Attested Kernel Proofs
[arXiv] 2026-07-14 | Switched-Feed Pinching-Antenna Systems for Wideband Terahertz Communications
[arXiv] 2026-07-14 | Off-shell equivalence in quantum field theory and gravity
[arXiv] 2026-07-14 | A Learning-Rate-Gated Failure of GRPO in a Small Language and Vision-Language Model Web Agent: A Controlled Null and Its Mechanism
[arXiv] 2026-07-14 | Instance-Enriched Semantic Maps for Visual Language Navigation
[arXiv] 2026-07-14 | Learning Forced Multibody Dynamics on Lie Groups
[arXiv] 2026-07-14 | PVDetector: Detecting Prompt Injection Attacks on Purpose-Specific LLM Agents through Policy-Violation Concept Analysis
[arXiv] 2026-07-14 | Streamlining stereo differentiable rendering for marker-free real-time tracking of surgical robots
[arXiv] 2026-07-14 | Unraveling the Generation Mechanism of a Mid-Latitude Plasma Blob and the Evidence of Its Rare Interaction with a MSTID Phase Front
[arXiv] 2026-07-14 | Improving Autonomous Nano-drones Performance via Automated End-to-End Optimization and Deployment of DNNs
[arXiv] 2026-07-14 | Thermo-electric transport in non-extensive QCD matter in presence of magnetic field
[arXiv] 2026-07-14 | Scaling Synthetic-Image Pre-Training for Federated Fine-Tuning of Large Vision Models
[arXiv] 2026-07-14 | Cheaper is Better: A Discount-Aware Network for Conversion Rate Prediction in E-commerce Recommendation System
[arXiv] 2026-07-14 | Survey on periodic vortex patches
[arXiv] 2026-07-14 | Activating thermally charged quantum batteries in finite time: Thermodynamic trade-offs between correlations, work, and information
[arXiv] 2026-07-14 | TrustVLA: Mechanism-Guided Inference-Time Defense Against Vision-Language-Action Backdoors
[arXiv] 2026-07-14 | The Infinitesimal Structure of Quantum Information
[arXiv] 2026-07-14 | FM-Receiver: A Foundation Model Enabled Unified Inner and Outer Neural Receiver Towards AI-Native Wireless Communications
[arXiv] 2026-07-14 | Mind the Gap: Promises and Pitfalls of Hierarchical Planning in LeWorldModel
[arXiv] 2026-07-14 | Quantum Weakest Preconditions Revisited: Pre-expectations for Expected Runtime Analysis
[arXiv] 2026-07-14 | Modification and extension of the Bayesian clinical trial design using external data for single-arm and hybrid-controlled trials
[arXiv] 2026-07-14 | Cellular Signal Constructed Convolutional Vision Transformer for High Accuracy Positioning
[arXiv] 2026-07-14 | Submetries in non-positive signature and applications
[arXiv] 2026-07-14 | A Bearing-Strength Method for Motion Estimation of Unknown Energy Emitters
[arXiv] 2026-07-14 | Coherence enhancement of Rydberg polaritons
[arXiv] 2026-07-14 | On multiplicativity of directed graphs
[arXiv] 2026-07-14 | Homomorphisms between standard modules of generalized Reedy categories
[arXiv] 2026-07-14 | DOA Estimation from One-Bit Magnitude-Only Measurements via Sign-Consistency Optimization
[arXiv] 2026-07-14 | A Fast Concentric-disk Contour Integration Method For Microlensing Limb-darkening Effect
[arXiv] 2026-07-14 | Ito-Wentzell Formula and Dupire Stochastic PDE
[arXiv] 2026-07-14 | Strongly regular Banach spaces with big weakly open subsets in the unit ball
[arXiv] 2026-07-14 | An Omnilingual-ASR-Based Speech-LLM System for the 2nd MLC-SLM Challenge
[arXiv] 2026-07-14 | Steering Diffusion Models via Class-Contrastive Influence for Few-Shot Medical Classification
[arXiv] 2026-07-14 | Renormalisation of Inhomogeneous Random Graphs
[arXiv] 2026-07-14 | Euler Characteristics of Generic Quiver Grassmannians: Semi-Invariants and Localization
[arXiv] 2026-07-14 | Let RGB Be the Language of Vision
[arXiv] 2026-07-14 | Measuring Ultralight-Axion Coherence with Galaxy Polarization Correlations
[arXiv] 2026-07-14 | Magnetothermopower and particle-hole symmetry in a cuprate strange metal
[arXiv] 2026-07-14 | Singular and nearly singular quadrature in arbitrary dimensions
[arXiv] 2026-07-14 | On Tree-Network Distinguishability and Full Identifiability of Phylogenetic Networks
[arXiv] 2026-07-14 | Investigating the Integration of Spatial Information in Foundation-Model-Based Speaker Diarization
[arXiv] 2026-07-14 | Accepted Prefixes Are Not All You Need: A Negative Result on PEFT-Based Block-Diffusion Drafting
[arXiv] 2026-07-14 | Virtual Chromoendscopy with Tunable Visibility Enhancement
[arXiv] 2026-07-14 | Meromorphic Group Actions and the Support Theorem for Lagrangian Fibrations
[arXiv] 2026-07-14 | A Theorem of Wolpert, and some Variations
[arXiv] 2026-07-14 | ANGLE: Angular Neural Generative Learning via Engression
[arXiv] 2026-07-14 | Genus-zero links with prescribed knots as components
[arXiv] 2026-07-14 | MaxSAT-Based Feedback for Guiding Vision-Language Models in Sudoku
[arXiv] 2026-07-14 | Building Extensible Program Logics through Effect Handlers
[arXiv] 2026-07-14 | Plasma chemistry and electron-moderated pathways in substellar atmospheres: a new perspective on the L/T transition
[arXiv] 2026-07-14 | Benchmarking loss functions for trainable quantum feature maps
[arXiv] 2026-07-14 | Compatibility of Martensitic Microstructures in Polycrystals
[arXiv] 2026-07-14 | A mixed precision algorithm for the matrix square root
[arXiv] 2026-07-14 | Wasserstein gradient flows for Coulomb discrepancies
[arXiv] 2026-07-14 | GPU-Accelerated Optimisation of Symmetric Bidirectional Ultrawideband Coherent Transmission Under Launch Power Constraints
[arXiv] 2026-07-14 | Prism Effect in Quantum Gravity
[arXiv] 2026-07-14 | Watermark Forensics for Generative Models: An Information-Theoretic Perspective
[arXiv] 2026-07-14 | Fixed-Boost Wigner Noise: Strict Trace-Distance Contraction without Quantum Degradability
[arXiv] 2026-07-14 | X-Lens: Real-Time Metric Depth Estimation with Heterogeneous Cameras
[arXiv] 2026-07-14 | Recursion Relations for Classical Gravity
[arXiv] 2026-07-14 | Low-Precision Rank Compensation for Matrices and Tensor Trains
[arXiv] 2026-07-14 | Dynamical modelling of giant radio quasars in the HETDEX Spring Field
[arXiv] 2026-07-14 | Active Quantum Nematics: The First Quantization
[arXiv] 2026-07-14 | ViCo3D: Empowering LiDAR-based Collaborative 3D Object Detection with Vision Foundation Models
[arXiv] 2026-07-14 | Naturally quality-safe GeV axion with charm coupling
[arXiv] 2026-07-14 | Structure and Dynamics of the Inner Corona Measured from the DEB Initiative 2024 Eclipse Image Sequence
[arXiv] 2026-07-14 | RecRec: Latent Interests Recursive Reasoning for Sequential Recommendation
[arXiv] 2026-07-14 | Sharp Optimal Algorithm for Derivative-Free Stochastic Convex Optimization in One Dimension
[arXiv] 2026-07-14 | Large sets of mutually orthogonal quantum Latin squares
[arXiv] 2026-07-14 | Balancing innovation and assimilation in research communities
[arXiv] 2026-07-14 | Genus and Gonality of Small Curves, Dynamical Uniform Boundedness, and Bifurcation
[arXiv] 2026-07-14 | Capillary prisms, Coxeter gluing, and the $π_2$-systole of 3-manifolds with positive scalar curvature
[arXiv] 2026-07-14 | Clifford semigroups and the monoidal Grothendieck construction
[arXiv] 2026-07-14 | Symmetry-Informed Deep Learning for Electromagnetic Scattering
[arXiv] 2026-07-14 | Exploring Hu-Sawicki-like modified gravity with Genetic Algorithms
[arXiv] 2026-07-14 | James-Stein estimation for quantum sensing schemes
[arXiv] 2026-07-14 | Trust but Verify? Uncovering the Security Debt of Autonomous Coding Agents
[arXiv] 2026-07-14 | Non-Abelian $A_4$ vortices in $SO(3)$ gauge theory and non-invertible symmetries
[arXiv] 2026-07-14 | TerraZero: Procedural Driving Simulation for Zero-Demonstration Self-Play at Scale
[arXiv] 2026-07-14 | ExtraGS: Enhancing Endoscopic View Extrapolation via Diffusion-Guided 3D Gaussian Splatting
[arXiv] 2026-07-14 | Optimal preparation and reachable-state constraints in the Mpemba effect
[arXiv] 2026-07-14 | Alternating Extremes in Graceful Labelings of Full Binary Trees and Spider Trees
[arXiv] 2026-07-14 | MQAdapter: Multi-Modal Quantum Adapter for Coarse-to-Fine VLM Fine-tuning
[arXiv] 2026-07-14 | PolarBM: Complex-valued Boltzmann Machine for Modeling Audio Signals in Polar and Log-polar Coordinates
[arXiv] 2026-07-14 | The Conjugacy Problem in Wreath Products
[arXiv] 2026-07-14 | Mechanical Analysis of Parachute Suspension Line Deployment with Binding Tapes Using PINN
[arXiv] 2026-07-14 | Tunable Signal Penetration and Response Plateaus in Bistable Mechanical Media
[arXiv] 2026-07-14 | Systematic modulation of superconducting gap dynamics in YBCO|BNT|YBCO Josephson Junctions through THz field interaction and BNT ferroelectric barrier
[arXiv] 2026-07-14 | Initial pre-algebras as a generalization of dendriform algebras
[arXiv] 2026-07-14 | Thompson Sampling Is 2-Competitive for Mistakes
[arXiv] 2026-07-14 | Hierarchical Bayesian inversion using the Karhunen-Loève expansion with analytical eigenpairs of the squared exponential kernel
[arXiv] 2026-07-14 | Local statistics and average rank of genus $g$ hyperelliptic curves with a Weierstrass point
[arXiv] 2026-07-14 | SinAE: A Single-Architecture Flow-Matching Autoencoder for Cross-Domain Atomic Systems
[arXiv] 2026-07-14 | IQA-T1: Tool-based Visual Evidence Reasoning for Image Quality Assessment
[arXiv] 2026-07-14 | Quantum Space-Time Tradeoffs for TSP via Extremal Set Systems
[arXiv] 2026-07-14 | An Adaptive Fourier Spectral Method for the Vlasov-Poisson system
[arXiv] 2026-07-14 | Detecting Rendering Bugs in Imperative Data Visualization Libraries via Equivalent Mutations
[arXiv] 2026-07-14 | A Gaussian-Remainder Hierarchy for Sums of Random Variables with Big-Jump Statistics
[arXiv] 2026-07-14 | Residual-Certified Adaptive Tracking of Solution Manifolds in Parametric Dynamical Systems
[arXiv] 2026-07-14 | Degree Lower Bounds for Torus Polynomials and $MAJORITY$ vs $ACC^0$
[arXiv] 2026-07-14 | Eigenvalue-Based Approach to Manipulate and Reconstruct Nonlinear Pulses: Towards Soliton Tomography
[arXiv] 2026-07-14 | How Many Tasks Are Enough for Agent Benchmark Decisions? A Replay Analysis of Public LLM Agent Benchmarks
[arXiv] 2026-07-14 | On the p-torsional rigidity of compact metric graphs: a sharp Kohler--Jobin inequality
[arXiv] 2026-07-14 | Curious identities involving Legendre polynomials and Apéry-like numbers
[arXiv] 2026-07-14 | Real-time Generation of Listener Nodding via Prediction of Kinematic Parameters for Avatar Dialogue Systems
[arXiv] 2026-07-14 | Engineering Two-Dimensional Hybrid-Order Topological Insulators via Trilayer Coupling
[arXiv] 2026-07-14 | What Does a Temporal Benchmark Score Measure? Decomposing Channel Use in Video VLM Evaluation
[arXiv] 2026-07-14 | MobileSAM2: Lightweight Segment Anything for Spatial Intelligence
[arXiv] 2026-07-14 | A Longitudinal Analysis of Public Discourse on AI Ethics in Education Using Twitter Data
[arXiv] 2026-07-14 | Nonlinear Tearing Modes in Current-Vortex Sheets
[arXiv] 2026-07-14 | Pulsar anti-glitches: starquakes driven by magnetism?
[arXiv] 2026-07-14 | Not Only NTP: Extending Training Signal Coverage for Generative Recommendation
[arXiv] 2026-07-14 | FinResearchBench II: A Deep Research Benchmark with Consensus-Derived Gold Rubrics for Distinguishing Financial Report Quality
[arXiv] 2026-07-14 | $p$-adic Sum-Product, Projections, and Furstenberg Sets
[arXiv] 2026-07-14 | Experimental demonstration of scalable quantum blockchain with exponentially superior quantum communication complexity
[arXiv] 2026-07-14 | ORRAM: An OpenROAD-Integrated RAM Generator Using Standard Cells
[arXiv] 2026-07-14 | Towards Knitted Textile Electromechanical Systems
[arXiv] 2026-07-14 | A Semi-Automated System for Generating Dialogue-Based TTS Lessons Using Large Language Models: An Exploratory Study of Educational Potential
[arXiv] 2026-07-14 | Bounded Analog Complexity
[arXiv] 2026-07-14 | Fin-Analyst at FinMMEval 2026 Task 3: A Live Hybrid Trading Agent with LLM Specialists and Rule-Based Signals
[arXiv] 2026-07-14 | Profiling and Scheduling Complex O-RAN Applications Across the 5G Edge and Cloud
[arXiv] 2026-07-14 | SHEAF: Self-profiled Hardness Estimation from Answer-set Flux for Predicting Query Hardness in Graph-based ANN Search
[arXiv] 2026-07-14 | Nonequilibrium thermodynamics of the acoustoelectric quantum vacuum
[arXiv] 2026-07-14 | A Strategy Language for Controlled Proof Search
[arXiv] 2026-07-14 | SpeedyGS: Content-Aware 3D Gaussian Splatting Compression via Two-Stage Optimization
[arXiv] 2026-07-14 | Exploiting the latent space of deep AutoEncoders for the identification of signal pulses in noisy time-series
[arXiv] 2026-07-14 | Mean-field interpretation of star-in-a-box simulations of red giants
[arXiv] 2026-07-14 | Quantum tests via inequalities for joint statistics
[arXiv] 2026-07-14 | From phase space to Krylov space, one shell at a time
[arXiv] 2026-07-14 | Entropy Transport in Programmable Quantum Junctions
[arXiv] 2026-07-14 | How Agentic Is Agentic Commerce? A Population-Scale Measurement of x402 Adoption and Authenticity
[arXiv] 2026-07-14 | Traceback Translators Against Forgetting in Continual Fake Speech Detection
[arXiv] 2026-07-14 | Intelligent Control for Path-Following of an Unmanned Mass-Centric Surface Vehicle
[arXiv] 2026-07-14 | Gaussian Mixture Modeling for Event-Aware Visual Allocation in Long Video Understanding
[arXiv] 2026-07-14 | VanillaBench: The Hidden Accuracy Cost of Adversarial Robustness
[arXiv] 2026-07-14 | On the second-order regularity of widely degenerate elliptic systems
[arXiv] 2026-07-14 | Effect of the local field and dipole-dipole interaction on the spontaneous ordering of dipole moments in bismuth monolayers with an orthorhombic structure
[arXiv] 2026-07-14 | DiTailed: Ensuring Visual Object Consistency in Text-Image-to-Image Flow Matching Models
[arXiv] 2026-07-14 | $π$-Properties, Uniformly Convexity and Uniform Ball Coverings Properties
[arXiv] 2026-07-14 | Context Distribution Restoration for Social Surveys: A Recoverability-Adaptive Transport Framework
[arXiv] 2026-07-14 | Evidence-Grounded AI for Musculoskeletal Care
[arXiv] 2026-07-14 | From Preimage Search To Source-Grounded Feature Inversion
[arXiv] 2026-07-14 | Open-Source Intelligence for Code Provenance and the Security Patterns that Separate Human and Large-Language-Model Implementations of Common Programming Tasks
[arXiv] 2026-07-14 | Möbius functions for pseudo-Levi subgroups in finite general linear and symplectic groups
[arXiv] 2026-07-14 | On Hankel Determinants of $β$-Spirallike Mappings in Complex Banach Spaces
[arXiv] 2026-07-14 | Multi-Hadron Scattering from Lattice Quantum Chromodynamics
[arXiv] 2026-07-14 | Symbolic Weak-form Recovery of 2-D Stochastic Generators
[arXiv] 2026-07-14 | TerraLogic: A Benchmark for Hierarchical Geospatial Reasoning in Earth Observation
[arXiv] 2026-07-14 | Estimation of the laser guide star uplink tip-tilt using aperture size diversity
[arXiv] 2026-07-14 | Discrimination of Tectonic, Swarm and Impact-related Marsquakes using Spectral Characteristics
[arXiv] 2026-07-14 | Sample Efficient Generative Optimization for Molecular Design
[arXiv] 2026-07-14 | Scenario-Free Uncertainty-Aware DLMP-Based Bilevel Coordination of EV Charging and Reactive Power Support in Distribution Networks
[arXiv] 2026-07-14 | TRACE: An Operational Reasoning Schema for Auditable Agentic Commitments
[arXiv] 2026-07-14 | Extension of the safeguarding stepsize interval in Adaptive Gradient Descent
[arXiv] 2026-07-14 | Local flag algebras
[arXiv] 2026-07-14 | Automatic Testing of Interacting Autonomous Vehicles
[arXiv] 2026-07-14 | Language Identification with Succinct Machine-Independent Traces
[arXiv] 2026-07-14 | Direct Observation of Nanoscale Chiral Light-Matter Interactions Governed by Optical Chirality
[arXiv] 2026-07-14 | Ricci Focusing Degeneracy between Dynamical Dark Energy and Matter Inhomogeneity
[arXiv] 2026-07-14 | Model-Based Diffusion Optimal Control for Multi-Robot Motion Planning
[arXiv] 2026-07-14 | DeGuNet: Depth-Guided Ultra-Compact Backbones for Efficient LiDAR-Camera 3D Detection
[arXiv] 2026-07-14 | Obstructions to Deformation Quantization of Bundles
[arXiv] 2026-07-14 | Real-time fall detection based on vision for low-power edge platforms
[arXiv] 2026-07-14 | On generating functions and Mehler--Heine formulas for discrete Charlier and Meixner Sobolev-type orthogonal polynomials
[arXiv] 2026-07-14 | A Multi-Agent System for Autonomous, Fine-Tuning-Free Clinical Symptom Detection: Development and Validation Study
[arXiv] 2026-07-14 | What Would You Click? Personalized Video Thumbnail Generation with Preference-aware Highlight Retrieval
[arXiv] 2026-07-14 | The super Alternative Daugavet property, unconditional bases and SCD geometry
[arXiv] 2026-07-14 | Observation of pair production of longitudinally polarized $Z$ bosons in four-lepton final state with the ATLAS detector
[arXiv] 2026-07-14 | Low-Latency Neural Models for Real-Time Music Enhancement
[arXiv] 2026-07-14 | Can deleterious mutations surf deterministic population waves?
[arXiv] 2026-07-14 | Comparison Theorems for Fractional GJMS Operators
[arXiv] 2026-07-14 | Higher-order Spillover Effects Under Partial Interference
[arXiv] 2026-07-14 | K 1-6 is a photoionised ISM nebula shaped by a fast-moving hot white dwarf in a triple system
[arXiv] 2026-07-14 | Strong-Field Coulomb Explosion of Ethane, Propane, and Butane in Circularly Polarized Laser Fields
[arXiv] 2026-07-14 | Thermal Suppression of Dynamical Quantum Phase Transitions in Finite-Dimensional Systems A Quasi-Hermitian Framework
[arXiv] 2026-07-14 | Can LLMs Write Reliable Rubrics? A Meta-Evaluation for Experiment Reproduction
[arXiv] 2026-07-14 | Accelerating Masked Diffusion Large Language Models: A Survey of Efficient Inference Techniques
[arXiv] 2026-07-14 | The MICADO first-light imager for the ELT: first steps of the SCAO system MAIT
[arXiv] 2026-07-14 | Autonomous Tracking and Terminal Guidance of Moving Targets for Fixed-Wing UAVs
