[2026-07-14 22:56:35] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-13
正在获取论文...
[arXiv] 2026-07-13 | Fundamental Limitations of Fixed-Budget Best-Arm Identification
[arXiv] 2026-07-13 | The combinatorics of sector renormalization
[arXiv] 2026-07-13 | Synchrotron radiation in nonuniform magnetic field
[arXiv] 2026-07-13 | Signatures of $10-10^4\,{\rm M}_{\odot}$ Dark Matter halos in LISA via Stochastic Diffraction
[arXiv] 2026-07-13 | Requential Coding: Pushing the Limits of Model Compression with Self-Generated Training Data
[arXiv] 2026-07-13 | Optimal Parameter-Free First-Order Methods for Convex Optimization with Unknown Growth and Smoothness
[arXiv] 2026-07-13 | Paraparticles intrinsically exhibit Hardy-space breakdown
[arXiv] 2026-07-13 | Direct writing of individual quantum dots
[arXiv] 2026-07-13 | Magnitude homology of tope graphs
[arXiv] 2026-07-13 | Effective dynamics and quantum information in de Sitter wedge holography
[arXiv] 2026-07-13 | Improved Global Ocean Heat Content Estimation by Modeling Vertical Spatio-Temporal Dependence
[arXiv] 2026-07-13 | MicroCharNet: Less is More for License Plate Character Detection
[arXiv] 2026-07-13 | Modular structures in the DSSYK partition function
[arXiv] 2026-07-13 | Transformer-Guided Swarm Intelligence for Frugal Neural Architecture Search
[arXiv] 2026-07-13 | MM-ToolSandBox: A Unified Framework for Evaluating Visual Tool-Calling Agents
[arXiv] 2026-07-13 | Analytical Markov Chain for Spatiotemporal Flux Evolution of the Inner Filter Effect in Fluorescent Media
[arXiv] 2026-07-13 | Anisotropic separate universe : Long-wavelength perturbations and conserved quantities
[arXiv] 2026-07-13 | Supporting Reflection in LLM-based Exploratory Search
[arXiv] 2026-07-13 | Why gas-focused microjets are so fast: kinetically resolved, shear-driven flow focusing in vacuum
[arXiv] 2026-07-13 | Encoder-Side Neuron Identification and Amplification for Acoustic Perception in Large Audio-Language Models
[arXiv] 2026-07-13 | Universal scalings and switching entropy in yield-stress fluids
[arXiv] 2026-07-13 | Extending the Mpemba effect to the underdamped realm
[arXiv] 2026-07-13 | Riesz Theorem and Riesz-Fejér inequality for weighted harmonic Bergman spaces with applications to Möbius invariant spaces
[arXiv] 2026-07-13 | Forgetting Our Way to Shared Meaning: Effects of Forgetting on Conceptual Alignment in a Non-Partnership Coordination Game
[arXiv] 2026-07-13 | Destabilization of temperature-gradient-driven plasma turbulence by equilibrium $\vec{E}\times \vec{B}$ flow shear
[arXiv] 2026-07-13 | How Temperature Shapes Ideological Discourse in Retrieval-Augmented Generation?
[arXiv] 2026-07-13 | Néron--Severi groups of proper schemes over finite fields
[arXiv] 2026-07-13 | A way to constrain a graviton mass from astronomical observations
[arXiv] 2026-07-13 | A Fokker-Planck approach to a stochastic multiplicative wealth model with taxation and redistribution
[arXiv] 2026-07-13 | When Local Monitors Miss Compositional Harm: Diagnosing Distributed Backdoors in Multi-Agent Systems
[arXiv] 2026-07-13 | HiFi-LLP: High-Fidelity, Low-Cost Latency Predictors with Confidence for Robust HW-NAS
[arXiv] 2026-07-13 | Philosopher and Prophet Inequalities for Divisible Items
[arXiv] 2026-07-13 | AutoPath: Learning Transferable Goal-Conditioned Stochastic Path Prior for Safe Navigation Without Human Demonstrations
[arXiv] 2026-07-13 | Ab initio calculations of two-neutrino and neutrinoless double-$\boldsymbolβ$ decay of $^{48}$Ca and related Gamow-Teller strength distributions
[arXiv] 2026-07-13 | Inf-Sup Neural Networks for High Dimensional PDEs
[arXiv] 2026-07-13 | Contextual Stochastic Optimization with Decision-Dependent Uncertainty via Nonparametric Learning
[arXiv] 2026-07-13 | VoxENES 2026: Benchmarking Generalization of Speech Spoofing Detectors Against LLM-Era TTS and Voice Conversion
[arXiv] 2026-07-13 | Production and Perception in LLMs: A Token Probability Approach
[arXiv] 2026-07-13 | $\mathtt{Q^2SAR}$: overcoming classical bottlenecks in drug discovery via quantum multiple kernel learning
[arXiv] 2026-07-13 | Targeting DNA Methylation: New Paradigms and the Advent of Gene-Selective Tools
[arXiv] 2026-07-13 | Think Through a Bottleneck: Hourglass Reasoning for Rigorous Induction
[arXiv] 2026-07-13 | Normal ordering in the $(p,q)$-deformed generalized Weyl algebra. III: The binomial formula
[arXiv] 2026-07-13 | Self-Healing Visual Recovery for Autonomous Ground Vehicles Using Camera-Only Visual Odometry
[arXiv] 2026-07-13 | Illuminant-Adaptive 3D Lookup Tables for Camera Color Correction
[arXiv] 2026-07-13 | Electronic tuning of the soft-phonon transport anomaly in Ta$_2$Ni(S$_x$Se$_{1-x}$)$_5$
[arXiv] 2026-07-13 | The flexibility of $m$-suspensions constructed via a local slice
[arXiv] 2026-07-13 | Up, Up, and Away? Quantifying ISM Fallback using Ram Pressure Stripping Simulations
[arXiv] 2026-07-13 | Unstable magnetospheric accretion on the T Tauri star TW Hya
[arXiv] 2026-07-13 | How to Tame Grokking: Representation Geometry as a Control Signal
[arXiv] 2026-07-13 | Is there ghost and tachyon free bounce in UV complete gravity theory?
[arXiv] 2026-07-13 | Regularity for the fractional logarithmic $p$-Laplacian
[arXiv] 2026-07-13 | All simplices exhibit canonical Ramsey property
[arXiv] 2026-07-13 | Operational Concealment of Measurement Incompatibility by Quantum Channels
[arXiv] 2026-07-13 | On The Eigenvalue Rigidity of the Laguerre Unitary Ensemble
[arXiv] 2026-07-13 | An Edge-Based Formulation for the Exact Computation of High-Order Zernike Moments of 2D Shapes and Images
[arXiv] 2026-07-13 | Genericity of hyperbolic 3-manifolds via Dehn surgery
[arXiv] 2026-07-13 | Compact and Stable Representation of Real-Frequency Spectral Functions for Machine Learning
[arXiv] 2026-07-13 | Bet on Features: Anytime-Valid and Feature-Aware Auditing of Conditional Quantile Forecasters
[arXiv] 2026-07-13 | Charting the life of Billboard hits through memory, turnover, and predictability
[arXiv] 2026-07-13 | Search for GeV gamma-ray emission from PSZ G181.06+48.47 galaxy cluster using Fermi-LAT data
[arXiv] 2026-07-13 | Graph-Induced Rotational Twisted States in Systems of Identical Oscillators
[arXiv] 2026-07-13 | Local-global compatibility of automorphic Galois representations over CM fields at $p$
[arXiv] 2026-07-13 | Copositive Characterizations of Convex Hull Pricing
[arXiv] 2026-07-13 | Deploying and validating a metropolitan QKD secure network: architecture and field performance
[arXiv] 2026-07-13 | Potential Solar Precursors to Magnetic Switchbacks
[arXiv] 2026-07-13 | Vinci2: Providing Proactive Assistance in Continuous Egocentric Videos
[arXiv] 2026-07-13 | Fixed-point-free elements in two-orbit permutation groups
[arXiv] 2026-07-13 | Can LLMs Perform Deep Technical Comprehension of Computer Architecture Papers?
[arXiv] 2026-07-13 | Synthesis imaging with a lunar orbit array: III. Augmented lagrangian Multiplier Imaging using Gradient descent Optimization (AMIGO)
[arXiv] 2026-07-13 | From GUI Tests to Conversational Interaction: A New Perspective on App-Specific Voice Assistants
[arXiv] 2026-07-13 | Diffusion MRI preprocessing affects ADC estimation and automatic PI-RADS v2.1 classification in bi-parametric prostate MRI
[arXiv] 2026-07-13 | Conformal Nature of Quantum Phase Transitions via Fuzzy Three-Sphere Regularization
[arXiv] 2026-07-13 | Benchmarking Edge Inference Strategies for Deep Learning Models in Industrial Machine Vision
[arXiv] 2026-07-13 | Towards a Geometric Characterization of Multiverse Analysis
[arXiv] 2026-07-13 | Verifier-Guided Twelve-Tone Composition: A Generate-Verify-Repair Harness for Symbolic Music Generation
[arXiv] 2026-07-13 | Large $N$ conformal bootstrap and chirality
[arXiv] 2026-07-13 | Intrinsic ergodicity for $\mathfrak{B}$-free integers in number fields
[arXiv] 2026-07-13 | Strategic OTC market making with reputation feedback
[arXiv] 2026-07-13 | Prompt Generation Technical Report
[arXiv] 2026-07-13 | Chandra and XMM-Newton X-ray Study on the Core-collapse Supernova Remnant N63A in an H II Region
[arXiv] 2026-07-13 | Metacommunity persistence on spatially heterogeneous landscapes
[arXiv] 2026-07-13 | The Devil Is in the Leakage: A Disentangled Dual-Purification Framework for High-Fidelity Hairstyle Transfer
[arXiv] 2026-07-13 | Automated Textbook Auditing with Multi-Agent LLM Systems
[arXiv] 2026-07-13 | Enhancing LLMs through human feedback: a journey towards self-improvement
[arXiv] 2026-07-13 | Valid $\ne$ Necessary: Diagnosing Latent Inefficiency in Chain-of-Thought
[arXiv] 2026-07-13 | Semantic Sampling via Learnable Observation Front Ends
[arXiv] 2026-07-13 | Cosmology from Nx2pt Analyses of SKAO Wide-Area Surveys
[arXiv] 2026-07-13 | 4x4 Matrix Representation of Hybrid Numbers, Gram Matrix and Golden Ratio
[arXiv] 2026-07-13 | An augmented Lagrangian algorithm for constrained nonlinear least-squares
[arXiv] 2026-07-13 | Anisotropic hot carrier relaxation mediated by electron phonon scattering in TiN thin films
[arXiv] 2026-07-13 | DeepBias: Adaptive In-depth Probing of Social Biases in LVLMs
[arXiv] 2026-07-13 | Heterogeneous Agent Cohorts for Safe Open-Ended Exploration with Runtime Constraint Memory
[arXiv] 2026-07-13 | Integral closure for (additively idempotent) semirings
[arXiv] 2026-07-13 | Q-BridgeNet: A Quantization Network for Cross-Lingual Sign Language Translation
[arXiv] 2026-07-13 | Decoupling Corruption and Horizon in Robust Contextual Pricing
[arXiv] 2026-07-13 | ProgramTab: Boosting Table Reasoning of LLMs via Programmatic Paradigm
[arXiv] 2026-07-13 | Weak Observability Characterization for Abstract Wave Equations
[arXiv] 2026-07-13 | RepTran: Search-Based Repair of Transformer Models
[arXiv] 2026-07-13 | Temperature dependence of charge-to-spin conversion in rhombohedral (110) bismuth thin film
[arXiv] 2026-07-13 | Electric field induced Berry curvature dipole in quasi-one-dimensional Bi$_4$I$_4$
[arXiv] 2026-07-13 | Abnormal motions of optical vortex-antivortex-coupled wavepackets in the parabolic potential
[arXiv] 2026-07-13 | Vectorial driving of multistable materials: singularities, pt-graphs, and non-generic paths
[arXiv] 2026-07-13 | Cartan calculus in tangent categories
[arXiv] 2026-07-13 | Query-Focused Event Summarization: A Dataset and Benchmark
[arXiv] 2026-07-13 | Where Speech Enhancement Hurts Recognition: An Inference Time Polar Projection Diagnosis
[arXiv] 2026-07-13 | The Hidden Footprint: Making Storage a First-Class Metric for LLM Agent Evaluation
[arXiv] 2026-07-13 | SynCLIP: Synonym-Coherent Language-Image Pretraining for Robust Open-Vocabulary Dense Perception
[arXiv] 2026-07-13 | Affordance-Based Manipulation Planning with Text Goals and Sim-to-Real Generalisation via Real-to-Sim Image Conversion
[arXiv] 2026-07-13 | Wearing A Coat: Dual-Arm Robot-Assisted Dressing with Differentiable Clothing Simulation
[arXiv] 2026-07-13 | AsySplat: Efficient Asymmetric 3D Gaussian Splatting for Long-Sequence Scene Modeling
[arXiv] 2026-07-13 | Confidence Scores in Open-Vocabulary Detection Are a Biased Mixture of Scale and Semantics
[arXiv] 2026-07-13 | LoSA-Net: A Localized and Scale-Adaptive Network for Boundary-Sensitive Prediction of Perineural Invasion in 3D MRI
[arXiv] 2026-07-13 | Real-Time Rulebook-Aware Nonlinear MPC for Autonomous Driving with Priority-Biased Tiered Slacks
[arXiv] 2026-07-13 | Understanding the Theory--Experiment Discrepancy in Pressure Drop of Dilute Polymer Solutions in Channel Flows
[arXiv] 2026-07-13 | Enhanced Byzantine-Robust Federated Learning Via Truncated-Quadratic Loss for Heterogeneous Data
[arXiv] 2026-07-13 | SVR-R1: Bootstrapping Multi-modal Reasoning with Self-verification in Reinforcement Learning
[arXiv] 2026-07-13 | Molecular Dynamics-Derived Coloured Noise Mediates Anderson Localisation and Environment-Assisted Transport of Tryptophan Excitons in Tubulin
[arXiv] 2026-07-13 | Spinoptics in the presence of axion-like particles in curved spacetime
[arXiv] 2026-07-13 | Evading Cosmological Strong Coupling in Non-minimally Coupled Vector Gravity
[arXiv] 2026-07-13 | Implicit Neural Networks as Static Controllers: Certificates and Performance Separation
[arXiv] 2026-07-13 | Simple Features and Honest Calibration for Ambivalence and Hesitancy Recognition in Video
[arXiv] 2026-07-13 | VIA: Visual Interface Agent for Robot Control
[arXiv] 2026-07-13 | MusicMark: A Robust Generative Watermarking Framework for Music Generation
[arXiv] 2026-07-13 | $\mathfrak{so}_n(\mathbb{C})$-modules which are free over an abelian nilradical
[arXiv] 2026-07-13 | A Tractable Pseudo-Metric on Non-Parametric Exponential Statistical Manifolds via SPD Geometry
[arXiv] 2026-07-13 | Adapting Evidential Neural Networks to Test-Time Neighbor Fusion Improves Molecular Property Prediction
[arXiv] 2026-07-13 | MJ: Multi-turn LLM Jailbreaking via Decomposed Credit Assignment
[arXiv] 2026-07-13 | Tight-Frame Reconstruction for Acoustic Intensity Estimation Using Cardioid Microphone Pairs
[arXiv] 2026-07-13 | Oxygen isotope fractionation in the Martian atmosphere induced by CO$_2$ photolysis and O$_3$ formation
[arXiv] 2026-07-13 | Retrieval-Oriented Code Representations in Agentic Bug Localization
[arXiv] 2026-07-13 | Efficient hot electron generation via low-coherence lasers
[arXiv] 2026-07-13 | Disproofs of two conjectures concerning nondeficient numbers
[arXiv] 2026-07-13 | SegDiff: Segmented Trajectory Diffusion for Consistent and Adaptive Robot Manipulation
[arXiv] 2026-07-13 | QwenPaw-Data: Bridging Facts, Methodology, and Execution for Autonomous Enterprise Data Analytics
[arXiv] 2026-07-13 | Holographic MIMO-assisted Multiuser Transmission with Electromagnetic Exposure Constraints
[arXiv] 2026-07-13 | The storage capacity of the Ising perceptron: verification of the outstanding numerical conditions
[arXiv] 2026-07-13 | Closing the Loop: An Access-Control Architecture for Automated, Anomaly-Driven Network Revocation in IoT Deployments
[arXiv] 2026-07-13 | Event-RGB Adaptive Tracking for Nighttime Highway Perception
[arXiv] 2026-07-13 | Motion4Motion: Motion Transfer Across Subjects at Inference
[arXiv] 2026-07-13 | On the uniqueness of surfaces of constant spacetime mean curvature in asymptotically Schwarzschildean lightcones
[arXiv] 2026-07-13 | Machine Learning-Based Reconstruction for Resistive Silicon Sensors
[arXiv] 2026-07-13 | Trotter error compensation with polylogarithmic precision and nested-commutator scaling without ancillas
[arXiv] 2026-07-13 | A Nearable Soft Mat Based on Distributed Optical Fiber Sensing for Physiological Monitoring
[arXiv] 2026-07-13 | Multi-Agent LLMs Fail to Explore Each Other
[arXiv] 2026-07-13 | Gravitationally Lensed View of DSFG-1 in PLCK G165.7+67.0: Strong Dust Emission and Spatially Resolved Stellar Population Analysis with JWST and SMA
[arXiv] 2026-07-13 | Constraints on Annihilating Dark Matter from Gamma-Ray Background-Galaxy Shape Correlations: Model-independent Null Results and Moderate Template-based Signals
[arXiv] 2026-07-13 | The Time-Space Complexity of Checking Multiple Assertions in Quantum Programs
[arXiv] 2026-07-13 | Fractal uncertainty principle over $\mathbb{Q}_p$
[arXiv] 2026-07-13 | Atomic physical measures for non-invertible random dynamical systems
[arXiv] 2026-07-13 | Microscopic Study of Charge Properties in Halo Nuclei
[arXiv] 2026-07-13 | Collisionless whistler heat-flux instability in ultra-high-$β$ plasmas
[arXiv] 2026-07-13 | Amorphous materials as a frontier challenge for universal interatomic potentials
[arXiv] 2026-07-13 | Learning to control switching nonlinear systems with Koopman operator regression
[arXiv] 2026-07-13 | Asymptotic expansion of induced Grassmannian Chern forms and distribution of random degeneracy sets
[arXiv] 2026-07-13 | Thermal Dilepton Polarization under Rotation or Magnetic Field in Heavy-ion Collisions
[arXiv] 2026-07-13 | Two local zero-sum problems
[arXiv] 2026-07-13 | Lie-Algebraic Subspace Quantization for Zero-Shot Quantum Learning and Barren-Plateau Mitigation
[arXiv] 2026-07-13 | Comparison-Based Ordinal Learning for Proactive Driving Risk Assessment
[arXiv] 2026-07-13 | Do LLMs Fabricate Legal Citations? A Bilingual Benchmark on Saudi Data Protection Law and the GDPR
[arXiv] 2026-07-13 | BeatEdit: Symbolic Music Generation as Explicit Editing
[arXiv] 2026-07-13 | Proving Optimality for the Bandwidth Multicoloring Problem via SAT
[arXiv] 2026-07-13 | GHOST: Geometry-Guided Hallucination of Opaque Surface Textures
[arXiv] 2026-07-13 | Higher-Order Congruence for Reciprocal Power Sums and Generalized Lehmer-Type Products
[arXiv] 2026-07-13 | Tiling decomposition multiplicity predicts stability of GaN(0001) surface reconstructions
[arXiv] 2026-07-13 | Development and validation of a local neoclassical transport module in NLT with applications to EAST-relevant impurity transport and trapped-electron-mode stability
[arXiv] 2026-07-13 | Difference-Driven Gating: Adaptive Feature Fusion for U-Net Decoder
[arXiv] 2026-07-13 | Existence of a far-flung Gorenstein numerical semigroup attaining the Herzog--Kumashiro--Stamate bound
[arXiv] 2026-07-13 | Rethinking MCP Security: A Large-Scale Study of Runtime MCP Servers and Security Scanner Reliability
[arXiv] 2026-07-13 | Controlling Motion Transfer in Diffusion Transformers via Attention Heads
[arXiv] 2026-07-13 | Effect of annealing temperature on the structure and properties of co-sputtered Fe-Mn-Sn films near 2:1:1 ratio
[arXiv] 2026-07-13 | Link Adaptation Using Joint-Thompson Sampling
[arXiv] 2026-07-13 | ResearchQA: Benchmarking Citation-Grounded Question-Answering on Scientific Papers
[arXiv] 2026-07-13 | Neural Network-Based Impedance Identification and Stability Analysis for Double-Sided Feeding Railway Systems
[arXiv] 2026-07-13 | Sharp Ternary Martingale Isoperimetry and $n$-adic Takagi-Type Lower Bounds
[arXiv] 2026-07-13 | Blow-up phenomena for the $σ_2$-Yamabe equation
[arXiv] 2026-07-13 | Generalized Keldysh formalism for nonequilibrium correlation functions and its application to fluctuation dynamics
[arXiv] 2026-07-13 | Continuous Query for Top-$K$ Maximal Sum Intervals over Streaming Data
[arXiv] 2026-07-13 | RTFVE: Realtime Face Video Enhancement
[arXiv] 2026-07-13 | LLM-Generated Design Problems for Assessing Higher-Order Thinking in Project-Based Learning
[arXiv] 2026-07-13 | Dimensionality in Satisfaction Ratings
[arXiv] 2026-07-13 | Regret-weighted Bayes Fusion for Distributed Experimental Design
[arXiv] 2026-07-13 | When the Reward Suite Is Leaky: A Preregistered Causal Contrast of Natural Verifier False Positives in RLVR
[arXiv] 2026-07-13 | Exploring the origin of D$^0$ meson elliptic flow in PbPb collisions at $\sqrt{s_\mathrm{NN}}$ = 5.02 TeV using event shape engineering
[arXiv] 2026-07-13 | Overcoming Fourier Locking in Quantum Data Re-uploading Classifiers via Spectral Homotopy
[arXiv] 2026-07-13 | EasyOPD: An Easy-to-use On-Policy Distillation Framework for Large Language Models
[arXiv] 2026-07-13 | Layer-Resolved Topological Metals in the Bilayer Lieb Lattice
[arXiv] 2026-07-13 | Actor-Critic Learning for Extended Mean Field Control with Deterministic Policies
[arXiv] 2026-07-13 | Analytical mobility edge in nonreciprocal quasiperiodic lattices with next-nearest-neighbor hopping
[arXiv] 2026-07-13 | MMA-Former: Multi-Window Mixture-of-Head Attention Transformer for Adaptive PNI Prediction in 3D MRI
[arXiv] 2026-07-13 | Revisiting wormhole-induced global symmetry breaking
[arXiv] 2026-07-13 | Structure-preserving variational neural fields: Uncertainty-quantified reduced-order modeling of nonlinear conservation laws
[arXiv] 2026-07-13 | A transient depth-averaged lava flow model with a Herschel-Bulkley rheology accounting for three phases
[arXiv] 2026-07-13 | Sufficient conditions for $(K_2 \cup kK_1)$-free graphs to be Hamilton-connected
[arXiv] 2026-07-13 | Weak essentially undecidable theories of hereditarily finite multisets
[arXiv] 2026-07-13 | Kaluzhnin-Krasner embedding theorem for monoids
[arXiv] 2026-07-13 | Efficient Tuning Before Low-Bit Post-Training Quantization for Stochastic Gradient Descent-optimized Models
[arXiv] 2026-07-13 | RefineEvo: Planning-Guided Heuristic Evolution with Bidirectional Experience
[arXiv] 2026-07-13 | Iron-Based Superconductors: A Decade of Materials, Magnetism, and Mechanisms
[arXiv] 2026-07-13 | Characterising AI Models for Cataloguing
[arXiv] 2026-07-13 | Compile, Then Page: Executable SOP Programs and a Capability-Gated Runtime for Procedural LLM Agents
[arXiv] 2026-07-13 | Finding Nearly-Periodic Components in Digraphs and Markov Chains from the Spectrum of Rotated Laplacian Matrices
[arXiv] 2026-07-13 | Calibrated e-CUSUM Decoding for Quantized Reasoning Models: Why Token Log-Probability Is the Wrong Observable for Decoding Monitors
[arXiv] 2026-07-13 | Controlling the Inhomogeneous Broadening and Impedance Matching of a Spin Ensemble
[arXiv] 2026-07-13 | Programming Language Policy as an AI Literacy Equity Problem: A 15-Nation Comparative Analysis
[arXiv] 2026-07-13 | SLVMBench: Skill Learning from Video Memory
[arXiv] 2026-07-13 | Information geometric quantification of effective privacy in quantum metrology
[arXiv] 2026-07-13 | Twist tunable resonances in photonic bilayer for second harmonic generation
[arXiv] 2026-07-13 | A Numerical Criterion for the 2-Hessian Equation on Compact Kähler Manifolds
[arXiv] 2026-07-13 | From Tool Invocation to Source-Mechanism Exploration: Protected White-Box DSE for Open-Source EDA
[arXiv] 2026-07-13 | Multi-Catheter Digitization in Brachytherapy via Few-Shot Synthetic-to-Real Learning and Structure-Aware Tracking
[arXiv] 2026-07-13 | Mako: A Self-Evolving Agentic Operating System (SE-AOS) for Autonomous Web Exploitation
[arXiv] 2026-07-13 | SalientGS: Unified SfM-to-3DGS with Importance-Guided MCMC Gaussian Allocation
[arXiv] 2026-07-13 | The limit law of the maximum of discrete partial-sums distribution II
[arXiv] 2026-07-13 | Fixed-Protocol Amortized MPS Tomography with Conformalized Predictive Uncertainty
[arXiv] 2026-07-13 | Can looser ties sustain marriage? A dynamic matching model of specialisation and divorce
[arXiv] 2026-07-13 | Geometry-Optimized Complex-Domain error-diffusion encoding for Fourier Single-Pixel Imaging
[arXiv] 2026-07-13 | p-adic Properties of Translated Division Polynomials and Somos Sequences
[arXiv] 2026-07-13 | Hidden or Formal Architects: Understanding Who Makes Architectural Decisions in Practice
[arXiv] 2026-07-13 | Tingley's Problem for Schatten \(p\)-Classes, $0<p\ne 2<\infty$
[arXiv] 2026-07-13 | From PBS to ePBS: the Microstructure of Block Building
[arXiv] 2026-07-13 | Chiral lasing via broken parity-time symmetry in bound-state-in-the-continuum metasurfaces
[arXiv] 2026-07-13 | Which Classicality? Incidence, Simplex, and Product-Rule Tests in Finite Quantum Logics
[arXiv] 2026-07-13 | Structure-Detail Decoupled Autoregressive Generation for Fast and High-Fidelity Virtual Try-On
[arXiv] 2026-07-13 | Combinatorial interpretation of the coefficients of the order polynomial of fence posets
[arXiv] 2026-07-13 | Extending valuations of local domains to complete local domains without changing the value group
[arXiv] 2026-07-13 | HandFlow: Fully Generative 4D Hand Recovery with Flow Matching
[arXiv] 2026-07-13 | Distributed Semantics for Distributed Quantum Computing
[arXiv] 2026-07-13 | When the Target Domain Changes: AI-Mediated Construct Drift in High-Stakes English Language AssessmenW
[arXiv] 2026-07-13 | Uncertainty-Aware Structure-Property Mapping of Spinodoid Metamaterials via Heteroscedastic Gaussian Process Regression
[arXiv] 2026-07-13 | Parallax Portrait Matting
[arXiv] 2026-07-13 | The plasma-wall dynamic: wellposedness
[arXiv] 2026-07-13 | What We Talk About When We Talk About LLM Planning: Evidence for Two Distinct Planning Abilities
[arXiv] 2026-07-13 | GDP.pdf: Benchmarking Grounded Multimodal Reasoning over Professional PDF Documents
[arXiv] 2026-07-13 | Observation of the centrality-dependent difference in directed flow between charged kaons and $K^{*0}$ resonances in Au+Au collisions at $\sqrt{s_{\mathrm{NN}}}$ = 14.6, 19.6 and 27 GeV
