[2026-08-07 22:34:34] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-06
正在获取论文...
[arXiv] 2026-08-06 | Periods of E-operators
[arXiv] 2026-08-06 | Robust logarithmic lower bound on shared-resource cost for $f$-routing
[arXiv] 2026-08-06 | Accelerating nanodrug development in continuous flow systems using informed prediction models based on low-cost surrogate nanoparticles
[arXiv] 2026-08-06 | Beyond Relevance: Bayesian Evidence Acquisition for Agentic Whole-Slide Image Reasoning
[arXiv] 2026-08-06 | GRAVITY+: reducing non-common-path aberrations for sub-10 μas astrometric accuracy
[arXiv] 2026-08-06 | Finite Quantum Histories: Holonomy Spectra, Minimal Clocks, and Exact Clock-Change Covariance
[arXiv] 2026-08-06 | Subliminal Learning is Non-Semantic Distillation
[arXiv] 2026-08-06 | Sparse Mutual Information Graph Averaging for Improving Random Indexing Embeddings
[arXiv] 2026-08-06 | PhyLatent: Learning Dynamics-Relevant Representations for JEPA World Models
[arXiv] 2026-08-06 | Hijacking Robots with a Piece of Paper: A Systematic Study of Physical Prompt Injection in VLM-Controlled Robots
[arXiv] 2026-08-06 | RA-CAD: Learning Post-Execution Critique for State-Aware Text-to-CAD Generation
[arXiv] 2026-08-06 | G$^2$ARD-GS: Geometry-Guided Anchor-Regularized Gaussian Splatting Distillation
[arXiv] 2026-08-06 | SEAM: Global consistency beyond local accuracy in scientific machine learning
[arXiv] 2026-08-06 | Mixed local and nonlocal weighted singular quasilinear elliptic problem and its associated Sobolev-type inequality
[arXiv] 2026-08-06 | Wireless Linear Computation Broadcast
[arXiv] 2026-08-06 | Grounded Well-Condition Anomaly Detection on the Volve Field: Constructed Labels, a Baseline, and a Dual-Head Model
[arXiv] 2026-08-06 | A geometric approach to the (generalized) Noether theorem for Hamiltonian systems on (non)-uniform q-contact manifolds
[arXiv] 2026-08-06 | Periodic Solutions to the Steady Viscous Burgers Equation: A Constructive Example
[arXiv] 2026-08-06 | Risk in a Data-Rich Model
[arXiv] 2026-08-06 | Consistency Has a Computable Blind Spot: A Commutation Theory of Label-Free Reliability for Vision-Language Figure Reading
[arXiv] 2026-08-06 | When Does Consensus Mean Correctness? Measuring the Agreement-Accuracy Coupling with Semantics-Preserving Re-Rendering
[arXiv] 2026-08-06 | SafeDivertor: Faithful Divertor Heat Flux Reconstruction from Macroscopic Plasma State Signals via Time-Frequency Prior Exploitation
[arXiv] 2026-08-06 | F$^2$Agent: Financial Fusion of Agentic Intelligence for Multimodal Trading
[arXiv] 2026-08-06 | Vorch-Streamer: Extending Human Audio-Visual Generation to Real-Time Long-Form Streaming
[arXiv] 2026-08-06 | On the Numerical Terao Conjecture
[arXiv] 2026-08-06 | Studying People to Study AI: Expert Perspectives on the Epistemic Fit and Barriers of Human Research in AI Safety & Ethics
[arXiv] 2026-08-06 | Refining Over Resampling: Test-Time Self-Correction for LLM Reasoning
[arXiv] 2026-08-06 | Charged Penrose Extraction in RN--AdS Black Holes with Dark Energy: Ergosphere Geometry and Rigorous Efficiency Bounds
[arXiv] 2026-08-06 | Transcutaneous Spinal Cord Stimulation Disrupts Conscious Ankle Proprioception and Produces a More Constrained Locomotor Pattern in Unimpaired Adults
[arXiv] 2026-08-06 | TruthLens: Object Hallucination Detection via Self-Evaluating Truthfulness Scores in LVLMs
[arXiv] 2026-08-06 | Structured Dimension-Matched Joint Variational Transdimensional Inference
[arXiv] 2026-08-06 | Compact balanced threefolds and LCK manifolds with constant holomorphic sectional curvature
[arXiv] 2026-08-06 | An Ordered-Reliability-Bits Chase Decoding Algorithm for BCH Codes
[arXiv] 2026-08-06 | On the Asymptotic Normality and Unimodality of Genus Distributions of Wheels
[arXiv] 2026-08-06 | Detecting Safety Training Modification in Language Models via Activation Analysis
[arXiv] 2026-08-06 | A Multi-Layer System for Ultra-High-Resolution Static 360-Degree Telepresence
[arXiv] 2026-08-06 | CoordRefer: Coordinate-Aware 3D Visual Grounding from Multiview Images
[arXiv] 2026-08-06 | SDDmiP.jl: A Software Package with a Provably Convergent Benders Algorithm for Multi-Stage Stochastic Mixed-Integer Programming
[arXiv] 2026-08-06 | Lorenz Links that are not Horseshoe and Rossler Links
[arXiv] 2026-08-06 | A Self-Explainable Deep Architecture for Security Applications
[arXiv] 2026-08-06 | omni-macos: On-Device Omni-Modal Search on Apple Silicon
[arXiv] 2026-08-06 | Splitting methods for Intermediate Long Wave and perturbed Benjamin--Ono models
[arXiv] 2026-08-06 | A Unified Framework for Iterate Convergence of Bregman Proximal Methods
[arXiv] 2026-08-06 | Quantum information loss
[arXiv] 2026-08-06 | Iwasawa invariants and exceptional pairs of certain abelian fields
[arXiv] 2026-08-06 | EG-VAE: A Unified Framework for Electric Guitar Tone Transfer and Removal
[arXiv] 2026-08-06 | AffectDF: The Most Comprehensive Benchmark for Speech Deepfake Detection against Emotionally Expressive Attacks
[arXiv] 2026-08-06 | The TASSIE Program. II: Three Close-In Companions Orbiting Sun-Like Stars
[arXiv] 2026-08-06 | Morphology of frozen labyrinths from irreversible threshold dynamics
[arXiv] 2026-08-06 | Hyperbolicity and Ergodicity in Randomly Perturbed Billiard Systems
[arXiv] 2026-08-06 | BioKD: Selective Physiology-to-Video Knowledge Distillation via Reliability Gate for Emotion Recognition
[arXiv] 2026-08-06 | ProDVI: Programmatic Dynamics Priors for Value Network Initialization
[arXiv] 2026-08-06 | OneEmo: A Unified Multimodal Reasoning Model for Emotion Perception, Understanding, and Interaction
[arXiv] 2026-08-06 | Adaptive-WAM: Quality-Guided Early-Exit Planning from Intermediate Video-Diffusion Features
[arXiv] 2026-08-06 | TensorCast: The Missing Tensor Management Layer in Large Language Model Infrastructure
[arXiv] 2026-08-06 | TLNM: Externally Validated Tooth Detection, Numbering and Segmentation from Smartphone Photographs Using Mask R-CNN
[arXiv] 2026-08-06 | The Illusion of Visual Tool-Use: A Causal Audit of Thinking with Images
[arXiv] 2026-08-06 | An "inside-out" approach to modeling supermassive black hole binary inspiral
[arXiv] 2026-08-06 | Almost sure path localisation for the derivative martingale of branching Brownian motion
[arXiv] 2026-08-06 | On uniform eventowns
[arXiv] 2026-08-06 | Fundamental limits of parameter estimation with heralded optical non-Gaussian states generated from Gaussian resources
[arXiv] 2026-08-06 | Global vs. Product Observables in Bipartite Quantum Systems: The Sharp Bound
[arXiv] 2026-08-06 | EmoWorld: A Decoupled Affective Field for Controllable Emotional Video Generation
[arXiv] 2026-08-06 | Neural CRC Prediction for 5G NR URLLC
[arXiv] 2026-08-06 | Unconventional Scaling of Electric Hall Effect in Magnetic Weyl Semimetals
[arXiv] 2026-08-06 | Beyond Marginal Validity: Finite-Sample Guarantees for Localized Conformal Prediction
[arXiv] 2026-08-06 | Beyond Electrons: Radiative Thermal Computing and Neural Networks at the Near-Field Limit
[arXiv] 2026-08-06 | Fractional Dehn twist coefficients and rank bounds for categorified link invariants
[arXiv] 2026-08-06 | EnvACE: Internalizing Environment Dynamics via World Rehearsal for Agentic Reinforcement Learning
[arXiv] 2026-08-06 | Quantum fluctuation relations in first-detection processes
[arXiv] 2026-08-06 | Inverse ambiguous maps on infinite groups
[arXiv] 2026-08-06 | MicroEvo: Knowledge-Guided LLM Sampling for Efficient Microarchitecture Design Space Exploration
[arXiv] 2026-08-06 | Search for an all-sky and a Galactic Ridge diffuse neutrino emission with the first 2 years of KM3NeT/ARCA data
[arXiv] 2026-08-06 | Stochastic Choice with Distribution-Dependent Preferences
[arXiv] 2026-08-06 | Quantum Amplitude Estimation for Travel Time Estimation in Stochastic Vehicle Routing Problems
[arXiv] 2026-08-06 | Learning visual representations for compositional analysis of artworks and photographs
[arXiv] 2026-08-06 | Explicit and Stable Pseudospectral Time-Domain Method for the Föppl-von Kármán Equations
[arXiv] 2026-08-06 | Hardware Keystores for AI Agent Signing Workflows: A Zero-Trust MCP Enforcement Architecture
[arXiv] 2026-08-06 | Poli-Bias: Understanding and Measuring Large Language Model Biases in International Political Conflicts
[arXiv] 2026-08-06 | Calculations of the Krypton Phase Diagram and Novel Plasticity
[arXiv] 2026-08-06 | DCAS: Decoupling CLI Agent Scaffolding to Internalize Planning across Scaffolds
[arXiv] 2026-08-06 | Beyond Sequence Order: Syntax-Informed Positional Embeddings for Transformers
[arXiv] 2026-08-06 | IcFuzz: Fuzzing Isaac Sim with Semantic Stage Guidance and Multi-level Mutation
[arXiv] 2026-08-06 | Dense-Cast: A lightweight ensemble of deep learning architectures for precipitation nowcasting
[arXiv] 2026-08-06 | Training-Free Token-Level Steering for LLM Personalized Co-Writing
[arXiv] 2026-08-06 | Cleo: A Transparent and Controllable Chatbot for Conversational Commerce
[arXiv] 2026-08-06 | Strong Weil Degree Divisibility at Higher Levels
[arXiv] 2026-08-06 | Partition Functions of Hermitian and PT-Symmetric Oscillators from Integrable Models
[arXiv] 2026-08-06 | On $\{2\}$-Roman graph recognition of Partner Limited graphs
[arXiv] 2026-08-06 | Learning When to Trust via Selective Context Preference Optimization
[arXiv] 2026-08-06 | A Coprimality Topology on the Gaussian Integers: Kolmogorov Quotient and Gaussian Prime Density
[arXiv] 2026-08-06 | Investigating Artificial Intelligence Digital Sovereignty in Mobile Shopping Apps: A Case Study of Nigeria
[arXiv] 2026-08-06 | Structured coherence: A modern perspective on optical coherence as a resource
[arXiv] 2026-08-06 | RP-OPSD: Reasoning-Pivot-Guided On-Policy Self-Distillation for Multilingual Reasoning Transfer
[arXiv] 2026-08-06 | Multi-State Geometry of Density Matrices and Rectification Sum Rules
[arXiv] 2026-08-06 | Sharp Tail Bounds Beyond Twice the Mean
[arXiv] 2026-08-06 | Benchmarking and Enhancing LLMs for Rule-Intensive Review of National Standard Documents
[arXiv] 2026-08-06 | Metal-Coordination Effects on the Stability and ORR/OER Activity of Layered Organometallic Single-Atom Catalysts: A Theoretical Study
[arXiv] 2026-08-06 | Beyond Top-K: Replacing Black-Box Retrieval with Interpretable Agentic Operations
[arXiv] 2026-08-06 | Relative Cohomology and Deformations of Logarithmic Foliations on Complex Spaces
[arXiv] 2026-08-06 | Exact renewal laws for minimal common-denominator profiles in simultaneous Laurent-series approximation
[arXiv] 2026-08-06 | Fault Diagnosis and Prognosis in Partially-Observed Discrete Event Systems with Delayed Observations
[arXiv] 2026-08-06 | Automatic Translation of Unstructured Requirements into Linear Temporal Logic through Large Language Models
[arXiv] 2026-08-06 | Quantum Lifts of Noninteger Power Law Field Theories
[arXiv] 2026-08-06 | Near-field Hydrodynamics Disentangles Angular Correlations in Confined Active Suspensions
[arXiv] 2026-08-06 | A Damped Subspace Splitting Algorithm for Constrained Density Functional Theory
[arXiv] 2026-08-06 | The Judgment-Consequence Gap: LLM Moral Reasoning in Healthcare Decisions
[arXiv] 2026-08-06 | Prandtl--Batchelor and flux-expulsion selection for steady MHD flows in a disk
[arXiv] 2026-08-06 | Towards fault-tolerance with universal phase-error-transparent gates for high-spin cat codes
[arXiv] 2026-08-06 | An Optimal Agnostic PAC Algorithm
[arXiv] 2026-08-06 | Nonproportional Response of a GAGG Scintillator to Beta and Gamma Radiation over a Wide Energy Range in PIKACHU
[arXiv] 2026-08-06 | A Gaussian Covariance Matrix for Joint Pre- and Post-Reconstruction Full-Shape Power Spectrum Analysis
[arXiv] 2026-08-06 | Schreier Sets of Intervals, Super-Schreier Sets, and Catalan Numbers
[arXiv] 2026-08-06 | Area and Perimeter Rules of Velocity Circulation in Two-Dimensional Turbulence with Large-scale Absolute Equilibrium
[arXiv] 2026-08-06 | A Quantum Circuit Framework for Protein Ensemble-Level Energetics
[arXiv] 2026-08-06 | Gradient Descent on Point Clouds and Applications in Learned Operator Correction
[arXiv] 2026-08-06 | Visual Grounding in Zero-Shot Vision-Language Control
[arXiv] 2026-08-06 | Prior-SG: Task and Prior Driven Region Segmentation for Scene Graphs in Arbitrarily-Structured Environments
[arXiv] 2026-08-06 | Implicit Computation of Filtered Prime Implicants
[arXiv] 2026-08-06 | Quantum error correction with global control
[arXiv] 2026-08-06 | X-Z Round Scheduling for the Surface Code with Defects under Biased Noise
[arXiv] 2026-08-06 | Jsymm: A Python package for symmetry analysis of exchange tensors in magnetic Hamiltonians
[arXiv] 2026-08-06 | Curriculum Multiple Shooting for Robust Training of Neural and Universal Differential Equations
[arXiv] 2026-08-06 | Phonon spectral functions of low-density polaron metals
[arXiv] 2026-08-06 | A Two-Tier Perspective on Inference-Time Parallelism in Multi-Agent LLM Systems
[arXiv] 2026-08-06 | A Gap in the 42-Queue Layout Algorithm for Planar Graphs
[arXiv] 2026-08-06 | A Second-Order Monolithic Scheme for the Coupled Stokes--Biot Model Using Total Pressure
[arXiv] 2026-08-06 | APQF: Agentic Profiling-Guided Structured Pruning and Mixed-Precision Quantization with Adaptive Fine-Tuning
[arXiv] 2026-08-06 | VideoArgus: Agentic Rubric-Grounded Unified Evaluation for Video Generation and Editing
[arXiv] 2026-08-06 | Newton's Second Law: A Theoretical Identity Derived from the Principle of Excluded Perpetual Motion and the Weak Equivalence Principle
[arXiv] 2026-08-06 | Hypothesis Testing with Conditional Queries: Learnability and the Value of Interaction
[arXiv] 2026-08-06 | A Paturi Theorem for Signed Subcube Representations
[arXiv] 2026-08-06 | Toward Deployable Bangla Sign Language Recognition with Expert-Validated Data and a Lightweight Attention-Based Model
[arXiv] 2026-08-06 | Localized Stabilization of Transport PDEs by Interior Flux Feedback
[arXiv] 2026-08-06 | DASH: Divergence-Adaptive Supervision Horizons for On-Policy Self-Distillation of Reasoning Models
[arXiv] 2026-08-06 | Timestep-Conditioned Transformers for Global Weather Forecasting
[arXiv] 2026-08-06 | Well-posedness of stochastic time-nonlocal telegraph equations with Hölder diffusion coefficient: hereditary phase-space lifting and novel generalized coupling method
[arXiv] 2026-08-06 | The mean absolute deviation of the classical discrete distributions: collapse identities, complete asymptotic expansions, and enveloping series
[arXiv] 2026-08-06 | A Neutron Star Hidden Inside a Black Hole
[arXiv] 2026-08-06 | Design and Evaluation of a Touchscreen-Based Teleoperation Interface for Robotic Manipulators
[arXiv] 2026-08-06 | ErgoSurf: Ergodic Control for the Coverage of Unknown Surfaces
[arXiv] 2026-08-06 | VENUSS: a unified finite-element model of solidifying lava
[arXiv] 2026-08-06 | HOPE: Hand-Object Pressure Estimation from Monocular Videos
[arXiv] 2026-08-06 | Routing LLM Inference to the Cleanest Grid in Real Time
[arXiv] 2026-08-06 | EvReflection: Event-Driven Micro-Dynamics for Reflection Removal
[arXiv] 2026-08-06 | On Same-Sample and Independent-Sample Stochastic Extragradient for Monotone Variational Inequalities
[arXiv] 2026-08-06 | Dual-Faraday-laser-pumped cesium beam clock with $7.7\times 10^{-13}/\sqrtτ$ frequency stability
[arXiv] 2026-08-06 | What out-of-the-box LLMs can(t) do in law? A Turing test in Italian exams for lawyers, judges and notaries
[arXiv] 2026-08-06 | Simulation of positronium laser cooling using the Lindblad master equation
[arXiv] 2026-08-06 | CogVis: Must Open-Vocabulary Change Detection Perceive the Scene Anew for Every Query?
[arXiv] 2026-08-06 | Errorless Irrationality: A unified computational account of the inverse base-rate effect across predictive, observational, and unsupervised procedures
[arXiv] 2026-08-06 | Pseudoreal AMSB: Troubling Tensions with Tumbling
[arXiv] 2026-08-06 | PLB: Priority-Aware Load Balancing for Replicated Databases under Constrained Resources
[arXiv] 2026-08-06 | Fundamental groups of the complements to reducible curves on smooth surfaces with restricted classes of components
[arXiv] 2026-08-06 | ChromOps.jl: High-order simulation and discrete forward sensitivity analysis for chromatography models
[arXiv] 2026-08-06 | Search for the charged lepton flavour violating decay $η'\to eμ$
[arXiv] 2026-08-06 | Kastor: An efficient fine-tuning strategy for generative emulation of PDE simulations
[arXiv] 2026-08-06 | Does Latent Context Help? A Controlled Evaluation of Inverse Reinforcement Learning in Arctic Shipping
[arXiv] 2026-08-06 | MultiMoQ: Multi-Access Media-Over-QUIC for Robust Immersive Video Streaming
[arXiv] 2026-08-06 | An Effective String Theory Toolbox for Quantum Hall Interfaces III: Open Worldsheets, Endpoint Conditions, and Branes
[arXiv] 2026-08-06 | An Effective String Theory Toolbox for Quantum Hall Interfaces II: Majorana Fermions on Fluctuating Moore-Read Worldsheets
[arXiv] 2026-08-06 | Strategic Heterogeneity: Welfare Gains from Secession and Immigration
[arXiv] 2026-08-06 | "I don't know anything about laptops!" - User Perception of Digital Product Advisors Adapting to Their Knowledge Levels
[arXiv] 2026-08-06 | Wave scattering around a submerged vertical permeable breakwater
[arXiv] 2026-08-06 | Signal or Spurious Cue? A Randomized Audit of Survey-Country Metadata in LLM Social Inference
[arXiv] 2026-08-06 | Domain-Grounded Candidate Selection for Agentic Image Editing: A Shadow Removal Case
[arXiv] 2026-08-06 | Balanced Routing for Symmetric Quantum Circuits
[arXiv] 2026-08-06 | Bar-JEPA: Extracting Values from Bar Chart with Joint-Embedding Predictive Architecture
[arXiv] 2026-08-06 | DARAD: Dual Adapters and Ranking-Aware Distillation for Continual Remote Sensing Image-Text Retrieval
[arXiv] 2026-08-06 | Fixed-Effect Saturation Is Not Weak Identification: Certifying Inference under Measurement Error
[arXiv] 2026-08-06 | Tracking performance of RLS algorithms in WSSUS channels
[arXiv] 2026-08-06 | Quaternionic Quantum q-Oscillator And Unbounded Subnormal Operators In Quantum Economics
[arXiv] 2026-08-06 | PaCoNet: Deep Data Extraction for Parallel Coordinates
[arXiv] 2026-08-06 | Minimization-based polynomial corrections for high-order curved boundaries on fixed and moving domains: assessment on finite volume and discontinuous Galerkin schemes
[arXiv] 2026-08-06 | QSCI-CMP: Quantum-Selected Configuration Interaction with Chemically Motivated Preselection
[arXiv] 2026-08-06 | Foundation Model-Assisted Full Waveform Inversion
[arXiv] 2026-08-06 | A note on generalized BV mean curvature flow with a critical forcing term
[arXiv] 2026-08-06 | How to Recognize New Words: A Comparison Between Context Biasing Methods and Speech LLMs
[arXiv] 2026-08-06 | Cross-Sectional Heterogeneity in LSTM Networks for Financial Time Series
[arXiv] 2026-08-06 | UniVVT: A Unified End-to-End Framework for High-Fidelity Video Virtual Try-on
[arXiv] 2026-08-06 | ConceptADapt: Concept-guided Adaptive Feature Reconstruction with Dynamic Attention for Few-Shot Industrial Anomaly Detection
[arXiv] 2026-08-06 | Algebraic Cryptanalytic Extraction on Hard-Label Neural Networks
[arXiv] 2026-08-06 | Closed-Loop Decision-Focused Learning for User-Aware Cloud Orchestration under Uncertainty
[arXiv] 2026-08-06 | From chiral to conformal anomalies: a double copy perspective for CFT correlators
[arXiv] 2026-08-06 | LILAC: An Idempotent Neural Speech Codec
[arXiv] 2026-08-06 | Kinematically Resolving the Fe K Complex in Her X-1: The Accretion Disk and Ionized Wind Across X-ray Eclipses
[arXiv] 2026-08-06 | Multilayer Dual-polarized Microstrip Antenna Design by Topology Optimization with Enhanced Bandwidth
[arXiv] 2026-08-06 | Positive Solutions for a One-Dimensional Minkowski-Curvature Equation with a Sign-Changing Nonlinearity under Mixed Boundary Conditions
[arXiv] 2026-08-06 | Symbolic extension of $\mathcal{C}^{1,α}$ maps in arbitrary dimensions
[arXiv] 2026-08-06 | Constrained Correlation Clustering: Towards Optimality
[arXiv] 2026-08-06 | BORAY-3D: A ray tracing code for three-dimensional magnetized plasma configurations
[arXiv] 2026-08-06 | Breaking Customized LLMs for Coding: Automated Red Teaming for Instruction Backdoor Attacks
[arXiv] 2026-08-06 | Two base rates, two weights: base-rate neglect has a second axis
[arXiv] 2026-08-06 | Reconnection Jets Detected during the Footpoint Drift of a CME Flux Rope: New Signatures of Ongoing 3D Arcade-Flux Rope Reconnection
[arXiv] 2026-08-06 | Bayesian Expected Uncertainty Reduction (B-EUR) Model: A Computational Account of What Makes Design Options Worth Trying
[arXiv] 2026-08-06 | Benefits of Shifting Passenger Traffic from Air to Rail: A Case Study of California High-Speed Rail
[arXiv] 2026-08-06 | ChronoVision: Temporal Reasoning via Latent State Reconstruction
[arXiv] 2026-08-06 | Impact of spin-orbit coupling on electron correlation corrections to the density of states in anisotropic conductors
[arXiv] 2026-08-06 | ALTER: Modeling Longitudinal Changes via Regional Differencing for 3D CT Report Generation
[arXiv] 2026-08-06 | SkillZip: Contract-Preserving Graph Compression for Scalable Agent Skill Libraries
[arXiv] 2026-08-06 | Epistemic Trustworthiness in Generative AI: A Normative Framework for Warranted Reliance in High-Stakes Workflows
[arXiv] 2026-08-06 | Uncertainty-Aware World Model for Aerial Image-Goal Navigation
[arXiv] 2026-08-06 | How Much Reconstruction Does Quantum Machine Learning Need? Late Fusion of Independently Trained Quantum Subcircuits
[arXiv] 2026-08-06 | JTA: Joint Testability Architecture for Scenario-Based Validation of Safety-Critical Software
[arXiv] 2026-08-06 | Effect of Discharge on the Nonlinear Bar Growth: A Flume Experiment
[arXiv] 2026-08-06 | Efficient higher-order multi-scale method and its convergence estimate for dynamic nonlinear hygro-thermo-mechanical coupling problems of heterogeneous structures
[arXiv] 2026-08-06 | Where Models Converge and Humans Diverge: A Coverage Framework for Distributional Pluralism in Open-Ended Generation
[arXiv] 2026-08-06 | Viveka: Context-Aware Sensing for Energy Efficiency in Smart Wearables
[arXiv] 2026-08-06 | Sharp Bounds on the Independence Number of Simplicial Spheres
[arXiv] 2026-08-06 | ESVR: 3D Ellipsoid-based Sparse Volume Rendering via Structure-aware Primitive Learning and Per-primitive Ray Sampling
[arXiv] 2026-08-06 | Exploring Dependence, Overreliance, and Addiction Related Behaviors Associated with Large Language Model Use Among Software Engineers
[arXiv] 2026-08-06 | A Recentered-Domain Yau-Yau Filter for Target Tracking
[arXiv] 2026-08-06 | Turing's Frist Imitation Game: Design Concepts and a Human-Approximates-Machine Reading
[arXiv] 2026-08-06 | Ruelle's inequality and the Pesin formula for geodesic flows on manifolds without conjugate points
[arXiv] 2026-08-06 | A Bitopological Approach to Finite Reduction and Bounded Exact-Value Certificates for Fitting's Finite Heyting-valued Modal Logic
[arXiv] 2026-08-06 | Divergence-free interpolation of tangential vector fields via matrix-valued kernels
[arXiv] 2026-08-06 | Ulam Median is NP-hard for Four Permutations
[arXiv] 2026-08-06 | Hyper-ES: Effective Evolution Strategies for LLM Reasoning via Descent Direction Merging
[arXiv] 2026-08-06 | Coherent and Stochastic Axion Dark Matter from Thermal Relaxation
[arXiv] 2026-08-06 | A Roadmap for Transient Hunters: Mapping Stellar Mass and Star Formation Rate Anisotropies in the Local Universe
[arXiv] 2026-08-06 | Topometric Autonomous Vehicle Localization by Combining Visual Embeddings and Feed-Forward 3D Models
[arXiv] 2026-08-06 | Strong averaging principle for multiscale time-inhomogeneous SDEs with multiplicative $α$-stable noises
[arXiv] 2026-08-06 | Measurement-induced entanglement Hamiltonian
[arXiv] 2026-08-06 | Knowledge-Optimising Investment Decisions with Informative Datasets
[arXiv] 2026-08-06 | Thermal Non-equilibrium Cycles in a Non-eruptive Pseudo-Streamer
[arXiv] 2026-08-06 | Dissipation-induced bulk and boundary criticality in the Haldane chain
[arXiv] 2026-08-06 | Multi-Year Geospatial Reasoning using Interannually-Consistent Historical Predictions as a Free Input Modality
[arXiv] 2026-08-06 | Diff-VF: Training-free High-quality Long Video Generation via Diffusion Model
[arXiv] 2026-08-06 | Coherent End-to-End Search for Generic Extreme-Mass-Ratio Inspirals
[arXiv] 2026-08-06 | SkillMemo: Expert-guided Skill Memory Framework for Compositional Embodied Manipulation
[arXiv] 2026-08-06 | Big, Bright, or Invisible: A Frozen-Feature Benchmark of 3D CT Foundation Models
[arXiv] 2026-08-06 | Why do massive stars form bow shocks? Bulk ISM motion as the main driver of bow shock formation and geometry
