[2026-09-02 23:53:00] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-01
正在获取论文...
[arXiv] 2026-09-01 | It Takes Two to Match: Co-Evolving Generative Retriever with Reinforcement Learning
[arXiv] 2026-09-01 | Text Capability Loss in Vision-Language Adaptation: An Attention-Sink Diagnosis
[arXiv] 2026-09-01 | The Price of Remembering: A Calibrated Energy Law for Computation
[arXiv] 2026-09-01 | Scaling of boundary-layer disturbances exposed to free-stream turbulence
[arXiv] 2026-09-01 | Addressing the low-wind effect with the Lyot-based low-order wavefront sensor on SCExAO
[arXiv] 2026-09-01 | Modalities in non-classical variations of $\mathsf{S4}$
[arXiv] 2026-09-01 | Finite permutation groups that act with fixity 4
[arXiv] 2026-09-01 | Agentic Empirical Asset Pricing: Methodological Foundations
[arXiv] 2026-09-01 | MaskCode: Mask Transformer for Feedback-Assisted Coding With Linear Block Codes
[arXiv] 2026-09-01 | EarthLD: Towards Unified Open-World Landslide Understanding via Vision-Language Guided Diffusion Models
[arXiv] 2026-09-01 | PhantomCall: Evading ML Malware Detectors via Function Call Graph Perturbation
[arXiv] 2026-09-01 | Direct laser-written optomechanical double membranes in an optical microcavity
[arXiv] 2026-09-01 | Design and Physical Constraints of Synthetic-Frequency Photonic Switching Fabrics
[arXiv] 2026-09-01 | Quantifying Sky Map Resolution Requirements for Beam Chromaticity Correction in Sky-Averaged 21 cm Experiments
[arXiv] 2026-09-01 | Unbalanced spectral Turán problem for color-critical graphs with prescribed large maximum degree
[arXiv] 2026-09-01 | ClinTraceBench: Source-Verifiable Longitudinal Clinical Reasoning over EHR-Derived Dialogues
[arXiv] 2026-09-01 | Reliable LLM-Generated Programs for High-Energy Physics Experiments through Graph-Grounded Software Knowledge
[arXiv] 2026-09-01 | Fine-Tuning Large Language Models to Classify Pull Request-Issue Alignments: Going Beyond Prompting
[arXiv] 2026-09-01 | The real-rootedness of the toric $g$-contribution polynomials
[arXiv] 2026-09-01 | The thermal emission for knot A of radio galaxy M87 by Chandra
[arXiv] 2026-09-01 | Trap Dynamics and Conductivity Changes in AlGaN/GaN Heterostructures Under Ultrasonic Loading
[arXiv] 2026-09-01 | A threshold phenomenon for embeddings of Euclidean snowflakes and impossibility of dimension reduction
[arXiv] 2026-09-01 | JENGA: Exploiting Counter-Based RowHammer Countermeasures to Break Real-Time Predictability
[arXiv] 2026-09-01 | Text-guided flow matching enables sample-efficient crystal structure generation
[arXiv] 2026-09-01 | OTFS Channel Estimation Utilizing Sparse Bayesian Generative Modelling
[arXiv] 2026-09-01 | Asymptotically Optimal List Size of Random Linear Codes
[arXiv] 2026-09-01 | Space Generative AI with Solar Energy Harvesting
[arXiv] 2026-09-01 | Dyn-3D: Unveiling and Resolving Ego-Motion Ambiguity in Vision-Language Models
[arXiv] 2026-09-01 | ARISE-RL: Agentic Rubric-Grounded Iterative Self-Evolution with Reinforcement Learning
[arXiv] 2026-09-01 | Active Visual Semantics: A large-scale MEG and eye-tracking dataset for understanding visual intelligence in action
[arXiv] 2026-09-01 | Archival transients detected with the MeerLICHT telescope I: Supernovae
[arXiv] 2026-09-01 | HiveTraceGuard-Pro: A Compact Generative Guardrail for Prompt Injection, Jailbreaks, and Adversarial Obfuscation
[arXiv] 2026-09-01 | From Truncation to Commitment: Persistent Context in Uniform Discrete Diffusion
[arXiv] 2026-09-01 | Data-Driven Persona-Conditioned Agents for A/B Test Simulation
[arXiv] 2026-09-01 | AKRASIA: Stealthy Backdoor Attack on Reasoning-based Code LLMs
[arXiv] 2026-09-01 | Phrase-Localized Language-Contrastive Guidance: Training-Free Localized Accent Control for Code-Switching Text-to-Speech
[arXiv] 2026-09-01 | Revisiting candidates for non-pulsating stars located in the Cepheid instability strip in the Large Magellanic Cloud
[arXiv] 2026-09-01 | Inspicio: Open-Vocabulary, LLM-Based Sense Retrieval for Historical Languages
[arXiv] 2026-09-01 | The Missing MeV Window for Identifying Galactic PeVatrons: the need for a dedicated MeV Observatory
[arXiv] 2026-09-01 | On the Human and Computer Alignment of Attribute-Based Music Matches
[arXiv] 2026-09-01 | Near-extremal asymptotics and strong cosmic censorship for black holes immersed in a Chaplygin-like dark fluid
[arXiv] 2026-09-01 | ReFlowSET: Representation-Aligned Latent Flow Matching for SAR-to-EO Image Translation
[arXiv] 2026-09-01 | The injective envelope of simple modules over Leavitt path algebras I: simple left ideals
[arXiv] 2026-09-01 | Robust CZ gate against flux line memory
[arXiv] 2026-09-01 | Exact Payload-Decoupling Conditions for Pilot-Only BEM Channel Estimation With Application to OTFS
[arXiv] 2026-09-01 | The Morse Index, Nullity and Jacobi Fields of Constant-Curvature 2-Spheres in Complex Projective Spaces
[arXiv] 2026-09-01 | VIBE-Bench: Evaluating Personalized Large Language Models When Profiles Don't Mean Preferences
[arXiv] 2026-09-01 | Electric Dipole Moments in the CP-violating Generational Three-Higgs-Doublet Model
[arXiv] 2026-09-01 | SwapRec: Warming Up Cold Items Through Training-Time Swaps
[arXiv] 2026-09-01 | Pricing the DeFi Tail: Do Protocols or Depositors Price Operational Risk?
[arXiv] 2026-09-01 | In-Context Neurofeedback: Can LLMs Control Their Internal Representations through Privileged Access?
[arXiv] 2026-09-01 | FTU-Seek: Foundation Model-Guided Hard-Negative Learning for Sparse Functional Tissue Unit Segmentation
[arXiv] 2026-09-01 | Flavor-Violating Higgs and Top Decays in the Type 1B Flavorful Two-Higgs-Doublet Model with a Twist
[arXiv] 2026-09-01 | A unification of Euler-Maclaurin and Euler-Boole summation formulas
[arXiv] 2026-09-01 | Context-Aware Intelligent Vehicles
[arXiv] 2026-09-01 | Operationalizing open-ended biological discovery across single-cell representations
[arXiv] 2026-09-01 | Robust dimension-free estimation of simple random tensors: optimal guarantees under heavy tails and adversarial contamination
[arXiv] 2026-09-01 | Diagnosing Latent Energy Decomposition in Machine-Learning Interatomic Potentials via Interacting Quantum Atoms
[arXiv] 2026-09-01 | From Saliency to Discriminability: Rank-Preserving Visual Token Pruning for VLM Rerankers
[arXiv] 2026-09-01 | Perturbations and stability of black holes with static scalar hair in general GLPV theories
[arXiv] 2026-09-01 | SciTrue: Reliable Scientific Claim Validation with Frontier and Open Language Models at the NTCIR SciClaimEval Task
[arXiv] 2026-09-01 | Characterizing High-dimensional Dynamics by Combinatorial-Topological Methods on a Latent Space
[arXiv] 2026-09-01 | Kinematic Relationship Between Solar Extreme Ultraviolet Waves and Type II Metric Radio Bursts
[arXiv] 2026-09-01 | Further analysis and extension of the higher-order Newton method of Ahmadi, Chaudhry, and Zhang
[arXiv] 2026-09-01 | Solaris: Towards Interfaces That Are Generated, Not Coded
[arXiv] 2026-09-01 | Deterministic Leave-One-Cluster-Out Cross-Validation for Multilevel Bayesian Structural Equation Models
[arXiv] 2026-09-01 | An exact and fast solution of the inverse Regularized Optimal Transport problem
[arXiv] 2026-09-01 | Slow stellar halo rotation as a signature of disc flips and GES-like mergers
[arXiv] 2026-09-01 | Optimal Gradient-Norm Minimization in Non-Euclidean Hölder-Smooth Convex Optimization
[arXiv] 2026-09-01 | Dual-polarized, mid-infrared nonreciprocal absorption
[arXiv] 2026-09-01 | The Complexity of Approximating the Value in Revealing POMDPs with Long-Run Average Objectives
[arXiv] 2026-09-01 | Adaptive Critical Token-Aware Retrieval for Repository-Level Code Generation
[arXiv] 2026-09-01 | Higgsino Above the Sea of Fog
[arXiv] 2026-09-01 | Lp Brunn-Minkowski inequality for the eigenvalue of generalized Monge-Ampère equation
[arXiv] 2026-09-01 | Optimizing Byzantine Node Placement in Decentralized Federated Learning
[arXiv] 2026-09-01 | Science Of Nuclear Fusion: Insights and Ideas
[arXiv] 2026-09-01 | Supercritical mean--field limit for magnetized Hamiltonian dynamic
[arXiv] 2026-09-01 | Directional Response Optimization through Linear Recombination of Time-Delay Interferometry Channels in Space-based Gravitational Wave Detection
[arXiv] 2026-09-01 | Dynamical regimes of QAOA gradient response
[arXiv] 2026-09-01 | Joint PAPR and OOBE Reduction for AFDM via Chirp Parameter Tuning
[arXiv] 2026-09-01 | Are You Thinking What I am Thinking? : Examining Conceptual Separation in Neural Architectures
[arXiv] 2026-09-01 | Accelerating the Improved Arrow--Hurwicz Iteration via the Anderson Algorithm for Steady-State Navier--Stokes Equations
[arXiv] 2026-09-01 | On smallest synchronizing terms over constant alphabets
[arXiv] 2026-09-01 | Don't You Know, Pump it Up! Investigating Cryptocurrency Manipulation in Telegram-Driven Activity
[arXiv] 2026-09-01 | Benchmarking Vision-Language Models for Automated Pathology Diagnosis and Report Generation
[arXiv] 2026-09-01 | A counterexample to the localization problem for AB rings
[arXiv] 2026-09-01 | Neutrino masses and mixing angles in the Plan B Model
[arXiv] 2026-09-01 | Spectral Bounds for Kernel Quadrature
[arXiv] 2026-09-01 | Where the Verifier Fails: A Category-Level Audit of Reward Signals in RLVR
[arXiv] 2026-09-01 | CHARM: Character Hallucination for Multicultural Role Play Benchmark
[arXiv] 2026-09-01 | Singular Rotational Self-Similar Tori for Odd $σ_k$-Curvature Flows
[arXiv] 2026-09-01 | Integrating Traffic Noise Emission Modelling into Variable Speed Limit Control
[arXiv] 2026-09-01 | Multiphase Reactive Transport in a Heterogeneous Flow Field: Channel Formation in Hydrocarbon-Bearing Carbonate Rock
[arXiv] 2026-09-01 | Total positivity in coordinate algebras
[arXiv] 2026-09-01 | Reliability Challenges in Diffusion Vision-Language Models
[arXiv] 2026-09-01 | MIDR: Enrichment-Augmented Indexing for Multimodal Document Retrieval
[arXiv] 2026-09-01 | Why Is Cubic-Phase Airy Beamforming Sufficient for Blockage Recovery?
[arXiv] 2026-09-01 | Inversion-symmetric topological insulators in cut-and-project binary chains
[arXiv] 2026-09-01 | GazeRefine: Expert Gaze as a Test-Time Prompt for Training-Free Medical Image Segmentation
[arXiv] 2026-09-01 | CMRVision: A Foundation Model for Cardiac MR Image Analysis
[arXiv] 2026-09-01 | Deformation theory and the controlling $L_{\infty}$-structure of extended Rota-Baxter algebras
[arXiv] 2026-09-01 | Thickness-Dependent Orbital-to-Spin Torque Signatures in Cr/Gd/Co Thin Films
[arXiv] 2026-09-01 | Emerging Personas and Tools for Hybrid Quantum-HPC Systems
[arXiv] 2026-09-01 | Explore Before Committing: Hypothesis-Guided Search for Deep Research Agents
[arXiv] 2026-09-01 | TriSLA: A Preventive and Closed-Loop SLA-Aware Architecture for Multidomain Decision-Making with Explainable Artificial Intelligence in 5G Networks
[arXiv] 2026-09-01 | Optimal Inflow Control for Transport Equations with Uncertain Velocities and Demand
[arXiv] 2026-09-01 | Soft Posterior Speaker Injection for Multi-Talker Speech Recognition
[arXiv] 2026-09-01 | HiLRP: Toward One Trustworthy Explanation for Vision Transformer: Conservation-Valid Attribution via Attention Primitives
[arXiv] 2026-09-01 | EmbodiedSkills: A Unified Framework for Orchestrating, Training, and Deploying VLA Agents
[arXiv] 2026-09-01 | TimeSteer: Inference-Time Speech Scheduling in Joint Audio-Visual Diffusion Models
[arXiv] 2026-09-01 | From Base Rollouts to RL Reasoning: A Budgeted Search Perspective
[arXiv] 2026-09-01 | What Does an Agentic Software Engineering Benchmark Measure? Profiling Task Demands and Agent Behaviour Beyond What Category Labels Reveal
[arXiv] 2026-09-01 | Solving In-Table Prediction Problems by Deep Neural Networks with Performance Evaluation Using Synthetic Data
[arXiv] 2026-09-01 | On the Non-Negativity of Longitudinal Velocity Autocorrelations in Homogeneous Isotropic Turbulence: Kinematic Constraints, Convexity, and Spectral Broadening
[arXiv] 2026-09-01 | From Language to Behavior: Scaling Sequence Transformers for Industrial Recommendation Ranking with Rec-Native Designs
[arXiv] 2026-09-01 | Geometry-Controlled Magnetic and Electronic Landscapes in Anisotropic van der Waals Materials
[arXiv] 2026-09-01 | A Unified Uncertainty-Aware Back-End for Speaker Verification: Scoring, Normalization, and Calibration
[arXiv] 2026-09-01 | Robust thermodynamics constrain disorder and pairing in far-overdoped Tl$_2$Ba$_2$CuO$_6$
[arXiv] 2026-09-01 | The Physical Conditions of Low-Mass Galaxies at z=3.5-7.0 from JWST Spectroscopy: The Behaviour of Spectral Line Ratios with Burstiness
[arXiv] 2026-09-01 | Rough differential equations on manifolds via natural bundles
[arXiv] 2026-09-01 | The lower mean curvature bound in Gromov's mean-of-the-mean-curvature conjecture
[arXiv] 2026-09-01 | PersuaRL: Reinforcement Learning-Driven Multi-Expert Selection for Persuasive Dialogue Generation in Insurance
[arXiv] 2026-09-01 | Athena: Vulnerability-Affected Library Identification via Knowledge Graph Completion
[arXiv] 2026-09-01 | Polynomiality for algebras of invariants associated with some Inönü-Wigner contractions in type A
[arXiv] 2026-09-01 | Jailbreaking Text-to-Image Models Through Cracks: Navigating Heterogeneous Safety Filters via Multi-Agent Debate
[arXiv] 2026-09-01 | Nonparametric inference for density-dependent McKean--Vlasov diffusions
[arXiv] 2026-09-01 | The cosmic multipoles: a consistency test for the Szekeres cosmological model
[arXiv] 2026-09-01 | Constraints on Buchdahl-Inspired Gravity from Future Pulsar Timing near Sgr A*
[arXiv] 2026-09-01 | The fraction of clumpy star-forming galaxies in nearby galaxies from CLAUDS and HSC-SSP
[arXiv] 2026-09-01 | Subword Segmental BabyLMs: Learning to Tokenise for Sample-Efficient Pretraining
[arXiv] 2026-09-01 | Constraining the Planetary Obliquity Distribution of Warm Jupiters
[arXiv] 2026-09-01 | Understanding the superconducting proximity effect in semiconductors through quantum oscillations
[arXiv] 2026-09-01 | Fermionic Dark Matter Absorption and the High-Energy Event in LUX-ZEPLIN
[arXiv] 2026-09-01 | TeV Higgsino Dark Matter from LZ Nuclear Recoil to Fermi-LAT Gamma Rays
[arXiv] 2026-09-01 | The Structure of Quantization Damage in LLMs: Why the Next Bit Should Be Spent Globally
[arXiv] 2026-09-01 | Families of relative periodic orbits in the planar three-body problem via consecutive alignments
[arXiv] 2026-09-01 | Higgsino Dark Matter Interpretation of the LUX-ZEPLIN 248 keV Nuclear-Recoil Event
[arXiv] 2026-09-01 | SG-AMP: Scene-Graph-Guided Active Perception and Semantics-Aware Motion Planning for Pepper Plants
[arXiv] 2026-09-01 | Pointwise Majorization for sub-Weibull and Mixed Tail Processes with Applications in Quadratic Chaos and Ergodic Diffusions
[arXiv] 2026-09-01 | Analytic discs and compactness of the $\bar\partial$-Neumann operator
[arXiv] 2026-09-01 | H3-World: Turning Language Understanding into World Control
[arXiv] 2026-09-01 | Erlang Loss Model with Energy Constrained Servers
[arXiv] 2026-09-01 | $L^\infty$ Variational Approximation of the Aubry Set
[arXiv] 2026-09-01 | Deformed Convolution, Cumulant Transforms, and Semigroup Generators in Hurwitz Series Rings
[arXiv] 2026-09-01 | SDARE-Bench: Evaluating Large Language Models on Conversational Stigma Detection and Response in Dyadic and Group Dialogue
[arXiv] 2026-09-01 | Homeomorphisms of surfaces in $4$-manifolds
[arXiv] 2026-09-01 | Trajectory Analysis of ECG Motif Dynamics in the Run-up to Sudden Cardiac Arrest
[arXiv] 2026-09-01 | Revisiting Cross-View Completion: Self-Supervised Pre-Training via Reconstruction Error Comparison
[arXiv] 2026-09-01 | Sierpiński--Knopp Wasserstein Distance for Persistence Diagrams and Applications to 2-Wasserstein Approximation
[arXiv] 2026-09-01 | Performance Characterization of SPEC CPU 2026 on AMD EPYC 9755 Processor
[arXiv] 2026-09-01 | EvoSCM: Scientific Belief Revision Through Causal Model Evolution and Experimentation
[arXiv] 2026-09-01 | Fabrication and characterization of lithium-diffused inverted coaxial point-contact HPGe detectors
[arXiv] 2026-09-01 | 144 real circles tangent to three conics
[arXiv] 2026-09-01 | When Guardrails Look Effective: Construct Validity Failures in LLM Agent Commerce Evaluation
[arXiv] 2026-09-01 | DualDiff3D: Dual Structure-Appearance Diffusion Priors for Reliability-Enhanced 3D Gaussian Splatting
[arXiv] 2026-09-01 | TempCloze: Can Video-LLMs Identify the Missing Middle?
[arXiv] 2026-09-01 | An Independent Border-Free Type-A Cover of Q221 and Improved Asymptotic Bounds for Queen Domination
[arXiv] 2026-09-01 | LatentPress: Context Compression Beyond Text and Vision
[arXiv] 2026-09-01 | The Data Problem in Software Vulnerability Analysis: Artifacts, Quality, and Consumption
[arXiv] 2026-09-01 | Parsing the Stream: A Live Trace Model for Long-Horizon Agents and Their Observers
[arXiv] 2026-09-01 | Polar nanoregions and reentrant-like ferroelectric behavior in SrTiO$_3$
[arXiv] 2026-09-01 | $A_1$ - Coulomb branches over finite fields and Selberg Character sums
[arXiv] 2026-09-01 | Bose--Einstein Condensation without an Initial Low-Energy Concentration Assumption
[arXiv] 2026-09-01 | Score-Based Generative Data Assimilation for Integrating Aggregated Surveillance Data into Agent-Based Models in Epidemic Tracking
[arXiv] 2026-09-01 | Efficiently Estimating Optimal Hyperparameter Scaling Laws through Power-Law Entropy Search
[arXiv] 2026-09-01 | CATeye: Coupled Attribute-Topology Invariance Learning for Voucher Abuse Detection
[arXiv] 2026-09-01 | Exact Virtual Channel Programming with Vanishing Excess Overhead
[arXiv] 2026-09-01 | Provably Safe Sim-to-Real Transfer
[arXiv] 2026-09-01 | EdiTikZ: Scientific Figure Editing from Revision Trajectories
[arXiv] 2026-09-01 | Energy deposited by black holes in the hot X-ray gas of elliptical galaxies, groups and clusters
[arXiv] 2026-09-01 | Contribution-Aware Bandwidth Allocation for Multimodal Split Learning
[arXiv] 2026-09-01 | Scalar wave scattering by black holes embedded in dark matter halos
[arXiv] 2026-09-01 | The quiescent states of V745 Sco and V3890 Sgr: VLT/X-shooter and Swift/XRT+UVOT observations
[arXiv] 2026-09-01 | IntroConformal: Conformal Factuality Guarantees for Large Vision-Language Models via Introspective Signals
[arXiv] 2026-09-01 | Accurate Reconstruction of Gas Turbine Blade Geometry Using 3D/2D Rigid Registration and CT View Optimization
[arXiv] 2026-09-01 | A Certificate-Producing Cascade for Equational Implication: The SAIR EQT2 Stage 2 Solver
[arXiv] 2026-09-01 | On the rigidity of sloped height functions in $d\ge 3$ and non-crossing surfaces
[arXiv] 2026-09-01 | SOVER: Formal Certification of Optimization Reformulations via LLM-Assisted SMT Verification
[arXiv] 2026-09-01 | StainPresetNet: Stain Preset Network for Fast Multi-to-Multi Stain Normalization
[arXiv] 2026-09-01 | Revisiting Face Recognition for Monozygotic Twins: The Celeb Twins Test Set
[arXiv] 2026-09-01 | Quantum antidipolar systems in two-dimensional geometries
[arXiv] 2026-09-01 | Overfitting Mitigation via Singular Value Decomposition in Minimum Bayes Risk Decoding
[arXiv] 2026-09-01 | Replicating TRACE: A Practitioner's Guide to Its Threshold and Particle Budget
[arXiv] 2026-09-01 | Hints Help But Do They Teach? Evaluating Skills Transfer in Code Generation
[arXiv] 2026-09-01 | The asymptotic Plateau problem for Hypersurfaces of constant $H_{k}$ curvature in hyperbolic space
[arXiv] 2026-09-01 | Galilean Kalb-Ramond Field
[arXiv] 2026-09-01 | New extremal Kähler metrics on projective bundles
[arXiv] 2026-09-01 | Subliminal Learning as Trait-Direction Drift: A Mechanism and Targeted Control under SFT Distillation
[arXiv] 2026-09-01 | Hardware Acceleration of Block-Diffusion LLM for Edge Devices
[arXiv] 2026-09-01 | World Model-Guided Reinforcement Learning via Counterfactual User Engagement Simulation
[arXiv] 2026-09-01 | Artificial Rosetta Stone: Constrained Maximum A Posteriori (MAP) Reconstruction of Symbolic Raga Sequences via Order-k Markov Models
[arXiv] 2026-09-01 | What Limits Robustness in Deep Image Watermarking: An Analysis of Mechanisms and Their Scaling Across Capacities
[arXiv] 2026-09-01 | Behavioral calibration of mobile-phone GPS data for population-representative analyses
[arXiv] 2026-09-01 | On Synthesis of Metric Interval Temporal Logics
[arXiv] 2026-09-01 | Euler obstructions and Verdier specializations
[arXiv] 2026-09-01 | Figures as Programs: Recursive Generation of Editable Scientific Figures
[arXiv] 2026-09-01 | SinkPruner: Sink-Free Visual Token Pruning for Multimodal Large Language Models
[arXiv] 2026-09-01 | Numerical study of the grain-growth-induced non-parabolic kinetics of a solid-state reaction
[arXiv] 2026-09-01 | EvoGS: Modeling Deformation Evolution for Dynamic Gaussian Splatting
[arXiv] 2026-09-01 | AInfer-PD: Communication-Safe In-Place Prefill-Decode Multiplexing for Distributed MoE Rollouts
[arXiv] 2026-09-01 | A Galactic microblazar as a potential accelerator of ultra-high-energy particles
[arXiv] 2026-09-01 | Disclosure-Gated User Simulation for Companion-Agent Evaluation
[arXiv] 2026-09-01 | On Algebraic Integrability of Vector Fields with Rational Function Coefficients that Separate Variables
[arXiv] 2026-09-01 | Conditional Flow Matching for Cross-Field MRI Harmonisation
[arXiv] 2026-09-01 | Learning the Shoreline: A Very High-Resolution Approach to Reef Island Dynamics
[arXiv] 2026-09-01 | The injective envelope of simple modules over Leavitt path algebras II: simples arising from exclusive cycles
[arXiv] 2026-09-01 | The Ramsey threshold for trees versus odd cycles
[arXiv] 2026-09-01 | Illiquidity at Risk
[arXiv] 2026-09-01 | Extended Abstract of Counting Divisorial Contractions with Centre a $cA_n$-Singularity
[arXiv] 2026-09-01 | Optical free space extreme learning machine for the implementation of emergent complex systems
[arXiv] 2026-09-01 | Cavity-control of Majorana bound states in superconductor-semiconductor heterostructures
[arXiv] 2026-09-01 | Lightweight CFR-Based Modulation Adaptation in a Real-Time MIMO-OFDM SDR Testbed
[arXiv] 2026-09-01 | DramaChain Bench: An End-to-End Benchmark for Short-Drama Generation
[arXiv] 2026-09-01 | Towards Effective Structured Context Modeling for Conversational Recommender Systems via Dual-node Monte Carlo Tree Search
[arXiv] 2026-09-01 | An efficient EM algorithm for both element-wise and structural missingness in matrix-variate normal mixture models
[arXiv] 2026-09-01 | BME-like Quartet Weights for Phylogenetic Trees
[arXiv] 2026-09-01 | The Minimum Q-Order of BFGS with Exact Line Search Is One
[arXiv] 2026-09-01 | CRAFT: Fine-Tuning Pre-hoc Explainability in AI-native 6G RAN
[arXiv] 2026-09-01 | Bond-number-controlled durability of cohesive granular materials under repeated vibration
[arXiv] 2026-09-01 | Real-Time Neuromorphic Spectrum Intelligence Simulator
[arXiv] 2026-09-01 | A 21-Coloring of the Plane Without Monochromatic Unit-Area Rectangles
[arXiv] 2026-09-01 | Consistency Without Alignment: Item-Sensitive Language Models Indistinguishable From Random
[arXiv] 2026-09-01 | Expanding the trilayer Ruddlesden-Popper nickelate family: Synthesis and characterization of Sm$_4$Ni$_3$O$_{10-δ}$ single crystals
